tick,day,reload_id,scene_id,reload_probe,restored_agent,restored_reaction_label,restored_inventory_count,reaction_restore_ok,inventory_restore_ok,dialogue_cursor_restore_ok,reload_reaction_score
37,3,v22-reload-0037,v22-scene-d03,0,Keth,curious,1,1,1,1,1.0
38,3,v22-reload-0038,v22-scene-d03,0,Keth,curious,0,1,1,1,1.0
39,3,v22-reload-0039,v22-scene-d03,0,Keth,asks-space,0,1,1,1,1.0
40,3,v22-reload-0040,v22-scene-d03,0,Keth,asks-space,0,1,1,1,1.0
41,3,v22-reload-0041,v22-scene-d03,1,Keth,asks-space,0,1,1,1,1.0
42,3,v22-reload-0042,v22-scene-d03,0,Keth,asks-space,0,1,1,1,1.0
43,3,v22-reload-0043,v22-scene-d03,0,Keth,asks-space,0,1,1,1,1.0
44,3,v22-reload-0044,v22-scene-d03,1,Keth,curious,0,1,1,1,1.0
45,3,v22-reload-0045,v22-scene-d03,1,Keth,curious,0,1,1,1,1.0
46,3,v22-reload-0046,v22-scene-d03,0,Keth,curious,0,1,1,1,1.0
47,3,v22-reload-0047,v22-scene-d03,0,Keth,curious,0,1,1,1,1.0
48,4,v22-reload-0048,v22-scene-d04,1,Keth,curious,0,1,1,1,1.0
49,4,v22-reload-0049,v22-scene-d04,0,Keth,watching,0,1,1,1,1.0
50,4,v22-reload-0050,v22-scene-d04,0,Keth,curious,0,1,1,1,1.0
51,4,v22-reload-0051,v22-scene-d04,0,Keth,curious,0,1,1,1,1.0
52,4,v22-reload-0052,v22-scene-d04,0,Keth,curious,0,1,1,1,1.0
53,4,v22-reload-0053,v22-scene-d04,0,Keth,asks-space,0,1,1,1,1.0
54,4,v22-reload-0054,v22-scene-d04,0,Keth,asks-space,0,1,1,1,1.0
55,4,v22-reload-0055,v22-scene-d04,1,Keth,asks-space,0,1,1,1,1.0
56,4,v22-reload-0056,v22-scene-d04,0,Keth,curious,0,1,1,1,1.0
57,4,v22-reload-0057,v22-scene-d04,0,Keth,softens,0,1,1,1,1.0
58,4,v22-reload-0058,v22-scene-d04,1,Keth,softens,0,1,0,1,0.75
59,4,v22-reload-0059,v22-scene-d04,0,Keth,curious,0,1,1,1,1.0
60,4,v22-reload-0060,v22-scene-d04,0,Keth,softens,0,1,1,1,1.0
61,4,v22-reload-0061,v22-scene-d04,0,Keth,curious,0,1,1,1,1.0
62,4,v22-reload-0062,v22-scene-d04,0,Keth,curious,0,1,1,1,1.0
63,4,v22-reload-0063,v22-scene-d04,0,Keth,softens,0,1,1,1,1.0
64,5,v22-reload-0064,v22-scene-d05,1,Keth,softens,0,1,1,1,1.0
65,5,v22-reload-0065,v22-scene-d05,0,Keth,curious,0,1,1,1,1.0
66,5,v22-reload-0066,v22-scene-d05,1,Keth,curious,0,0,1,0,0.25
67,5,v22-reload-0067,v22-scene-d05,1,Keth,approaches,0,1,1,1,1.0
68,5,v22-reload-0068,v22-scene-d05,1,Keth,softens,0,1,1,1,1.0
69,5,v22-reload-0069,v22-scene-d05,0,Keth,softens,0,1,1,1,1.0
70,5,v22-reload-0070,v22-scene-d05,1,Keth,softens,0,0,0,1,0.5
71,5,v22-reload-0071,v22-scene-d05,0,Keth,curious,0,1,1,1,1.0
72,5,v22-reload-0072,v22-scene-d05,0,Keth,curious,0,1,1,1,1.0
73,5,v22-reload-0073,v22-scene-d05,0,Keth,curious,1,1,1,1,1.0
74,5,v22-reload-0074,v22-scene-d05,0,Keth,curious,2,1,1,1,1.0
75,5,v22-reload-0075,v22-scene-d05,1,Keth,curious,2,1,1,1,1.0
76,5,v22-reload-0076,v22-scene-d05,0,Keth,curious,2,1,1,1,1.0
77,5,v22-reload-0077,v22-scene-d05,1,Keth,curious,2,1,1,1,1.0
78,5,v22-reload-0078,v22-scene-d05,0,Keth,curious,1,1,1,1,1.0
79,5,v22-reload-0079,v22-scene-d05,1,Keth,curious,1,1,1,1,1.0
80,6,v22-reload-0080,v22-scene-d06,1,Keth,softens,1,1,1,1,1.0
81,6,v22-reload-0081,v22-scene-d06,0,Keth,curious,0,1,1,1,1.0
82,6,v22-reload-0082,v22-scene-d06,0,Keth,curious,1,1,1,1,1.0
83,6,v22-reload-0083,v22-scene-d06,1,Keth,softens,0,1,0,1,0.75
84,6,v22-reload-0084,v22-scene-d06,1,Keth,softens,0,1,1,1,1.0
85,6,v22-reload-0085,v22-scene-d06,0,Keth,curious,0,1,1,1,1.0
86,6,v22-reload-0086,v22-scene-d06,1,Keth,softens,0,1,1,1,1.0
87,6,v22-reload-0087,v22-scene-d06,0,Keth,curious,0,1,1,1,1.0
88,6,v22-reload-0088,v22-scene-d06,1,Keth,curious,0,1,1,1,1.0
89,6,v22-reload-0089,v22-scene-d06,0,Keth,softens,0,1,1,1,1.0
90,6,v22-reload-0090,v22-scene-d06,1,Keth,curious,0,1,1,1,1.0
91,6,v22-reload-0091,v22-scene-d06,1,Keth,curious,0,1,1,1,1.0
92,6,v22-reload-0092,v22-scene-d06,0,Keth,curious,0,1,1,1,1.0
93,6,v22-reload-0093,v22-scene-d06,0,Keth,curious,0,1,1,1,1.0
94,6,v22-reload-0094,v22-scene-d06,1,Keth,curious,1,1,1,1,1.0
95,6,v22-reload-0095,v22-scene-d06,1,Keth,curious,0,1,1,1,1.0
96,7,v22-reload-0096,v22-scene-d07,0,Keth,curious,0,1,1,1,1.0
97,7,v22-reload-0097,v22-scene-d07,1,Keth,approaches,0,1,1,1,1.0
98,7,v22-reload-0098,v22-scene-d07,0,Keth,softens,0,1,1,1,1.0
99,7,v22-reload-0099,v22-scene-d07,1,Keth,curious,0,1,1,1,1.0
100,7,v22-reload-0100,v22-scene-d07,1,Keth,curious,0,1,1,1,1.0
101,7,v22-reload-0101,v22-scene-d07,1,Keth,curious,0,1,0,1,0.75
102,7,v22-reload-0102,v22-scene-d07,0,Keth,curious,0,1,1,1,1.0
103,7,v22-reload-0103,v22-scene-d07,0,Keth,approaches,0,1,1,1,1.0
104,7,v22-reload-0104,v22-scene-d07,1,Keth,approaches,0,1,1,1,1.0
105,7,v22-reload-0105,v22-scene-d07,0,Keth,approaches,0,1,1,1,1.0
106,7,v22-reload-0106,v22-scene-d07,0,Keth,curious,0,1,1,1,1.0
107,7,v22-reload-0107,v22-scene-d07,0,Keth,curious,0,1,1,1,1.0
108,7,v22-reload-0108,v22-scene-d07,0,Keth,softens,0,1,1,1,1.0
109,7,v22-reload-0109,v22-scene-d07,0,Keth,softens,0,1,1,1,1.0
110,7,v22-reload-0110,v22-scene-d07,1,Keth,softens,0,1,1,1,1.0
111,7,v22-reload-0111,v22-scene-d07,0,Keth,approaches,0,1,1,1,1.0
112,8,v22-reload-0112,v22-scene-d08,0,Keth,curious,0,1,1,1,1.0
113,8,v22-reload-0113,v22-scene-d08,0,Keth,softens,0,1,1,1,1.0
114,8,v22-reload-0114,v22-scene-d08,0,Keth,curious,0,1,1,1,1.0
115,8,v22-reload-0115,v22-scene-d08,0,Keth,approaches,0,1,1,1,1.0
116,8,v22-reload-0116,v22-scene-d08,0,Keth,approaches,0,1,1,1,1.0
117,8,v22-reload-0117,v22-scene-d08,0,Keth,approaches,0,1,1,1,1.0
118,8,v22-reload-0118,v22-scene-d08,0,Keth,curious,0,1,1,1,1.0
119,8,v22-reload-0119,v22-scene-d08,0,Keth,approaches,0,1,1,1,1.0
120,8,v22-reload-0120,v22-scene-d08,0,Keth,curious,0,1,1,1,1.0
121,8,v22-reload-0121,v22-scene-d08,1,Keth,curious,0,1,1,1,1.0
122,8,v22-reload-0122,v22-scene-d08,1,Keth,curious,0,1,1,1,1.0
123,8,v22-reload-0123,v22-scene-d08,1,Keth,curious,0,0,1,1,0.75
124,8,v22-reload-0124,v22-scene-d08,0,Keth,softens,0,1,1,1,1.0
125,8,v22-reload-0125,v22-scene-d08,0,Keth,approaches,0,1,1,1,1.0
126,8,v22-reload-0126,v22-scene-d08,0,Keth,curious,0,1,1,1,1.0
127,8,v22-reload-0127,v22-scene-d08,0,Keth,approaches,0,1,1,1,1.0
128,9,v22-reload-0128,v22-scene-d09,0,Keth,approaches,0,1,1,1,1.0
129,9,v22-reload-0129,v22-scene-d09,0,Keth,approaches,0,1,1,1,1.0
130,9,v22-reload-0130,v22-scene-d09,1,Keth,curious,0,1,1,1,1.0
131,9,v22-reload-0131,v22-scene-d09,0,Keth,approaches,0,1,1,1,1.0
132,9,v22-reload-0132,v22-scene-d09,1,Keth,curious,0,0,0,1,0.5
133,9,v22-reload-0133,v22-scene-d09,1,Keth,curious,0,1,1,1,1.0
134,9,v22-reload-0134,v22-scene-d09,0,Keth,approaches,0,1,1,1,1.0
135,9,v22-reload-0135,v22-scene-d09,0,Keth,curious,0,1,1,1,1.0
136,9,v22-reload-0136,v22-scene-d09,0,Keth,curious,0,1,1,1,1.0
137,9,v22-reload-0137,v22-scene-d09,0,Keth,curious,0,1,1,1,1.0
138,9,v22-reload-0138,v22-scene-d09,0,Keth,softens,0,1,1,1,1.0
139,9,v22-reload-0139,v22-scene-d09,0,Keth,approaches,0,1,1,1,1.0
140,9,v22-reload-0140,v22-scene-d09,0,Keth,approaches,0,1,1,1,1.0
141,9,v22-reload-0141,v22-scene-d09,0,Keth,approaches,0,1,1,1,1.0
142,9,v22-reload-0142,v22-scene-d09,0,Keth,approaches,0,1,1,1,1.0
143,9,v22-reload-0143,v22-scene-d09,1,Keth,approaches,0,1,1,1,1.0
144,10,v22-reload-0144,v22-scene-d10,1,Keth,softens,0,1,1,1,1.0
145,10,v22-reload-0145,v22-scene-d10,1,Keth,curious,0,1,1,1,1.0
146,10,v22-reload-0146,v22-scene-d10,0,Keth,approaches,0,1,1,1,1.0
147,10,v22-reload-0147,v22-scene-d10,1,Keth,approaches,0,1,1,1,1.0
148,10,v22-reload-0148,v22-scene-d10,0,Keth,approaches,0,1,1,1,1.0
149,10,v22-reload-0149,v22-scene-d10,0,Keth,approaches,0,1,1,1,1.0
150,10,v22-reload-0150,v22-scene-d10,1,Keth,softens,0,1,1,1,1.0
151,10,v22-reload-0151,v22-scene-d10,0,Keth,curious,0,1,1,1,1.0
152,10,v22-reload-0152,v22-scene-d10,1,Keth,curious,0,1,0,1,0.75
153,10,v22-reload-0153,v22-scene-d10,0,Keth,softens,0,1,1,1,1.0
154,10,v22-reload-0154,v22-scene-d10,1,Keth,curious,0,1,1,1,1.0
155,10,v22-reload-0155,v22-scene-d10,0,Keth,approaches,0,1,1,1,1.0
156,10,v22-reload-0156,v22-scene-d10,1,Keth,curious,0,1,1,1,1.0
157,10,v22-reload-0157,v22-scene-d10,0,Keth,approaches,0,1,1,1,1.0
158,10,v22-reload-0158,v22-scene-d10,1,Keth,approaches,0,1,1,1,1.0
159,10,v22-reload-0159,v22-scene-d10,0,Keth,approaches,0,1,1,1,1.0
160,11,v22-reload-0160,v22-scene-d11,0,Keth,approaches,0,1,1,1,1.0
161,11,v22-reload-0161,v22-scene-d11,0,Keth,approaches,0,1,1,1,1.0
162,11,v22-reload-0162,v22-scene-d11,0,Keth,softens,0,1,1,1,1.0
163,11,v22-reload-0163,v22-scene-d11,1,Keth,curious,0,1,0,1,0.75
164,11,v22-reload-0164,v22-scene-d11,0,Keth,approaches,0,1,1,1,1.0
165,11,v22-reload-0165,v22-scene-d11,1,Keth,approaches,0,1,1,1,1.0
166,11,v22-reload-0166,v22-scene-d11,1,Keth,approaches,0,1,1,1,1.0
167,11,v22-reload-0167,v22-scene-d11,1,Keth,curious,0,1,1,1,1.0
168,11,v22-reload-0168,v22-scene-d11,0,Keth,curious,0,1,1,1,1.0
169,11,v22-reload-0169,v22-scene-d11,0,Keth,approaches,0,1,1,1,1.0
170,11,v22-reload-0170,v22-scene-d11,0,Keth,approaches,0,1,1,1,1.0
171,11,v22-reload-0171,v22-scene-d11,0,Keth,curious,0,1,1,1,1.0
172,11,v22-reload-0172,v22-scene-d11,1,Keth,curious,0,1,1,1,1.0
173,11,v22-reload-0173,v22-scene-d11,0,Keth,approaches,0,1,1,1,1.0
174,11,v22-reload-0174,v22-scene-d11,1,Keth,approaches,0,1,1,1,1.0
175,11,v22-reload-0175,v22-scene-d11,0,Keth,approaches,0,1,1,1,1.0
176,12,v22-reload-0176,v22-scene-d12,1,Keth,approaches,0,0,1,0,0.5
177,12,v22-reload-0177,v22-scene-d12,1,Keth,approaches,0,1,1,1,1.0
178,12,v22-reload-0178,v22-scene-d12,0,Keth,approaches,0,1,1,1,1.0
179,12,v22-reload-0179,v22-scene-d12,1,Keth,curious,0,1,1,1,1.0
180,12,v22-reload-0180,v22-scene-d12,0,Keth,softens,0,1,1,1,1.0
181,12,v22-reload-0181,v22-scene-d12,0,Keth,curious,0,1,1,1,1.0
182,12,v22-reload-0182,v22-scene-d12,0,Keth,approaches,0,1,1,1,1.0
183,12,v22-reload-0183,v22-scene-d12,1,Keth,approaches,0,1,1,1,1.0
184,12,v22-reload-0184,v22-scene-d12,0,Keth,curious,1,1,1,1,1.0
185,12,v22-reload-0185,v22-scene-d12,0,Keth,softens,0,1,1,1,1.0
186,12,v22-reload-0186,v22-scene-d12,1,Keth,curious,1,1,1,1,1.0
187,12,v22-reload-0187,v22-scene-d12,1,Keth,curious,1,1,1,1,1.0
188,12,v22-reload-0188,v22-scene-d12,1,Keth,curious,1,1,1,1,1.0
189,12,v22-reload-0189,v22-scene-d12,0,Keth,softens,0,1,1,1,1.0
190,12,v22-reload-0190,v22-scene-d12,0,Keth,approaches,0,1,1,1,1.0
191,12,v22-reload-0191,v22-scene-d12,0,Keth,approaches,0,1,1,1,1.0
192,13,v22-reload-0192,v22-scene-d13,1,Keth,approaches,0,1,1,1,1.0
193,13,v22-reload-0193,v22-scene-d13,0,Keth,curious,0,1,1,1,1.0
194,13,v22-reload-0194,v22-scene-d13,0,Keth,curious,0,1,1,1,1.0
195,13,v22-reload-0195,v22-scene-d13,0,Keth,softens,0,1,1,1,1.0
196,13,v22-reload-0196,v22-scene-d13,1,Keth,softens,0,1,1,1,1.0
197,13,v22-reload-0197,v22-scene-d13,0,Keth,softens,0,1,1,1,1.0
198,13,v22-reload-0198,v22-scene-d13,1,Keth,softens,0,1,1,1,1.0
199,13,v22-reload-0199,v22-scene-d13,0,Keth,curious,0,1,1,1,1.0
200,13,v22-reload-0200,v22-scene-d13,1,Keth,curious,1,1,1,1,1.0
201,13,v22-reload-0201,v22-scene-d13,0,Keth,softens,0,1,1,1,1.0
202,13,v22-reload-0202,v22-scene-d13,0,Keth,curious,0,1,1,1,1.0
203,13,v22-reload-0203,v22-scene-d13,0,Keth,curious,0,1,1,1,1.0
204,13,v22-reload-0204,v22-scene-d13,1,Keth,curious,0,1,1,1,1.0
205,13,v22-reload-0205,v22-scene-d13,0,Keth,curious,0,1,1,1,1.0
206,13,v22-reload-0206,v22-scene-d13,0,Keth,curious,1,1,1,1,1.0
207,13,v22-reload-0207,v22-scene-d13,1,Keth,curious,1,1,1,1,0.75
208,14,v22-reload-0208,v22-scene-d14,0,Keth,curious,1,1,1,1,1.0
209,14,v22-reload-0209,v22-scene-d14,1,Keth,curious,1,1,1,1,1.0
210,14,v22-reload-0210,v22-scene-d14,0,Keth,curious,1,1,1,1,1.0
211,14,v22-reload-0211,v22-scene-d14,0,Keth,curious,0,1,1,1,1.0
212,14,v22-reload-0212,v22-scene-d14,0,Keth,curious,0,1,1,1,1.0
213,14,v22-reload-0213,v22-scene-d14,0,Keth,softens,0,1,1,1,1.0
214,14,v22-reload-0214,v22-scene-d14,0,Keth,curious,0,1,1,1,1.0
215,14,v22-reload-0215,v22-scene-d14,0,Keth,curious,0,1,1,1,1.0
216,14,v22-reload-0216,v22-scene-d14,1,Keth,curious,0,1,1,1,1.0
217,14,v22-reload-0217,v22-scene-d14,0,Keth,curious,0,1,1,1,1.0
218,14,v22-reload-0218,v22-scene-d14,0,Keth,curious,0,1,1,1,1.0
219,14,v22-reload-0219,v22-scene-d14,0,Keth,curious,0,1,1,1,1.0
220,14,v22-reload-0220,v22-scene-d14,1,Keth,curious,1,1,1,1,1.0
221,14,v22-reload-0221,v22-scene-d14,0,Keth,approaches,1,1,1,1,1.0
222,14,v22-reload-0222,v22-scene-d14,0,Keth,curious,1,1,1,1,1.0
223,14,v22-reload-0223,v22-scene-d14,1,Keth,curious,1,1,1,1,1.0
224,15,v22-reload-0224,v22-scene-d15,0,Keth,curious,2,1,1,1,1.0
225,15,v22-reload-0225,v22-scene-d15,0,Keth,curious,2,1,1,1,1.0
226,15,v22-reload-0226,v22-scene-d15,0,Keth,curious,2,1,1,1,1.0
227,15,v22-reload-0227,v22-scene-d15,0,Keth,curious,1,1,1,1,1.0
228,15,v22-reload-0228,v22-scene-d15,0,Keth,curious,0,1,1,1,1.0
229,15,v22-reload-0229,v22-scene-d15,1,Keth,curious,0,0,1,1,0.75
230,15,v22-reload-0230,v22-scene-d15,0,Keth,softens,0,1,1,1,1.0
231,15,v22-reload-0231,v22-scene-d15,1,Keth,curious,0,1,0,1,0.75
232,15,v22-reload-0232,v22-scene-d15,1,Keth,curious,0,1,1,1,1.0
233,15,v22-reload-0233,v22-scene-d15,0,Keth,curious,1,1,1,1,1.0
234,15,v22-reload-0234,v22-scene-d15,1,Keth,curious,1,1,1,1,1.0
235,15,v22-reload-0235,v22-scene-d15,0,Keth,approaches,2,1,1,1,1.0
236,15,v22-reload-0236,v22-scene-d15,0,Keth,curious,2,1,1,1,1.0
237,15,v22-reload-0237,v22-scene-d15,0,Keth,curious,2,1,1,1,1.0
238,15,v22-reload-0238,v22-scene-d15,1,Keth,curious,2,1,1,1,1.0
239,15,v22-reload-0239,v22-scene-d15,1,Sova,watching,2,1,1,1,1.0
240,16,v22-reload-0240,v22-scene-d16,1,Sova,softens,2,1,1,1,1.0
241,16,v22-reload-0241,v22-scene-d16,0,Keth,curious,1,1,1,1,1.0
242,16,v22-reload-0242,v22-scene-d16,1,Keth,curious,1,1,1,1,1.0
243,16,v22-reload-0243,v22-scene-d16,0,Keth,softens,0,1,1,1,1.0
244,16,v22-reload-0244,v22-scene-d16,1,Keth,softens,0,1,1,1,1.0
245,16,v22-reload-0245,v22-scene-d16,0,Keth,curious,0,1,1,1,1.0
246,16,v22-reload-0246,v22-scene-d16,1,Keth,curious,0,1,0,1,0.75
247,16,v22-reload-0247,v22-scene-d16,1,Keth,softens,0,1,1,1,1.0
248,16,v22-reload-0248,v22-scene-d16,0,Keth,softens,0,1,1,1,1.0
249,16,v22-reload-0249,v22-scene-d16,0,Keth,curious,0,1,1,1,1.0
250,16,v22-reload-0250,v22-scene-d16,0,Sova,approaches,0,1,1,1,1.0
251,16,v22-reload-0251,v22-scene-d16,0,Sova,approaches,0,1,1,1,1.0
252,16,v22-reload-0252,v22-scene-d16,1,Sova,approaches,0,1,1,1,1.0
253,16,v22-reload-0253,v22-scene-d16,1,Sova,approaches,0,1,1,1,1.0
254,16,v22-reload-0254,v22-scene-d16,0,Sova,approaches,0,1,1,1,1.0
255,16,v22-reload-0255,v22-scene-d16,0,Sova,approaches,0,1,1,1,1.0
256,17,v22-reload-0256,v22-scene-d17,0,Sova,softens,0,1,1,1,1.0
257,17,v22-reload-0257,v22-scene-d17,0,Sova,approaches,0,1,1,1,1.0
258,17,v22-reload-0258,v22-scene-d17,0,Keth,curious,0,1,1,1,1.0
259,17,v22-reload-0259,v22-scene-d17,1,Keth,curious,0,1,1,1,1.0
260,17,v22-reload-0260,v22-scene-d17,0,Keth,softens,0,1,1,1,1.0
261,17,v22-reload-0261,v22-scene-d17,0,Sova,curious,0,1,1,1,1.0
262,17,v22-reload-0262,v22-scene-d17,0,Sova,curious,1,1,1,1,1.0
263,17,v22-reload-0263,v22-scene-d17,0,Sova,softens,0,1,1,1,1.0
264,17,v22-reload-0264,v22-scene-d17,1,Sova,softens,0,1,1,1,1.0
265,17,v22-reload-0265,v22-scene-d17,0,Sova,curious,0,1,1,1,1.0
266,17,v22-reload-0266,v22-scene-d17,1,Sova,curious,0,1,1,0,0.75
267,17,v22-reload-0267,v22-scene-d17,0,Sova,curious,0,1,1,1,1.0
268,17,v22-reload-0268,v22-scene-d17,0,Sova,curious,0,1,1,1,1.0
269,17,v22-reload-0269,v22-scene-d17,0,Sova,curious,0,1,1,1,1.0
270,17,v22-reload-0270,v22-scene-d17,0,Sova,curious,0,1,1,1,1.0
271,17,v22-reload-0271,v22-scene-d17,0,Sova,curious,0,1,1,1,1.0
272,18,v22-reload-0272,v22-scene-d18,0,Sova,curious,0,1,1,1,1.0
273,18,v22-reload-0273,v22-scene-d18,0,Sova,curious,0,1,1,1,1.0
274,18,v22-reload-0274,v22-scene-d18,1,Sova,softens,0,1,1,1,1.0
275,18,v22-reload-0275,v22-scene-d18,1,Sova,softens,0,1,1,1,1.0
276,18,v22-reload-0276,v22-scene-d18,0,Sova,softens,0,1,1,1,1.0
277,18,v22-reload-0277,v22-scene-d18,0,Sova,softens,0,1,1,1,1.0
278,18,v22-reload-0278,v22-scene-d18,0,Sova,curious,1,1,1,1,1.0
279,18,v22-reload-0279,v22-scene-d18,0,Sova,curious,2,1,1,1,1.0
280,18,v22-reload-0280,v22-scene-d18,0,Sova,curious,2,1,1,1,1.0
281,18,v22-reload-0281,v22-scene-d18,0,Sova,curious,2,1,1,1,1.0
282,18,v22-reload-0282,v22-scene-d18,0,Sova,curious,1,1,1,1,1.0
283,18,v22-reload-0283,v22-scene-d18,1,Sova,curious,1,1,1,1,1.0
284,18,v22-reload-0284,v22-scene-d18,0,Sova,curious,1,1,1,1,1.0
285,18,v22-reload-0285,v22-scene-d18,1,Sova,curious,1,1,1,1,1.0
286,18,v22-reload-0286,v22-scene-d18,1,Sova,curious,1,1,1,1,1.0
287,18,v22-reload-0287,v22-scene-d18,0,Sova,curious,0,1,1,1,1.0
288,19,v22-reload-0288,v22-scene-d19,0,Sova,curious,0,1,1,1,1.0
289,19,v22-reload-0289,v22-scene-d19,0,Sova,curious,0,1,1,1,1.0
290,19,v22-reload-0290,v22-scene-d19,0,Sova,curious,0,1,1,1,1.0
291,19,v22-reload-0291,v22-scene-d19,0,Sova,curious,0,1,1,1,1.0
292,19,v22-reload-0292,v22-scene-d19,0,Sova,softens,0,1,1,1,1.0
293,19,v22-reload-0293,v22-scene-d19,1,Sova,softens,0,1,0,1,0.75
294,19,v22-reload-0294,v22-scene-d19,0,Sova,curious,0,1,1,1,1.0
295,19,v22-reload-0295,v22-scene-d19,0,Sova,curious,0,1,1,1,1.0
296,19,v22-reload-0296,v22-scene-d19,0,Sova,curious,0,1,1,1,1.0
297,19,v22-reload-0297,v22-scene-d19,1,Sova,approaches,0,1,1,1,1.0
298,19,v22-reload-0298,v22-scene-d19,0,Sova,softens,0,1,1,1,1.0
299,19,v22-reload-0299,v22-scene-d19,0,Sova,curious,0,1,1,1,1.0
300,19,v22-reload-0300,v22-scene-d19,1,Sova,curious,0,1,1,1,1.0
301,19,v22-reload-0301,v22-scene-d19,0,Sova,curious,0,1,1,1,1.0
302,19,v22-reload-0302,v22-scene-d19,0,Sova,softens,0,1,1,1,1.0
303,19,v22-reload-0303,v22-scene-d19,1,Sova,softens,0,0,1,1,0.75
304,20,v22-reload-0304,v22-scene-d20,0,Sova,curious,0,1,1,1,1.0
305,20,v22-reload-0305,v22-scene-d20,1,Sova,softens,0,1,0,1,0.75
306,20,v22-reload-0306,v22-scene-d20,0,Sova,curious,0,1,1,1,1.0
307,20,v22-reload-0307,v22-scene-d20,0,Sova,approaches,0,1,1,1,1.0
308,20,v22-reload-0308,v22-scene-d20,1,Sova,approaches,0,0,1,1,0.75
309,20,v22-reload-0309,v22-scene-d20,0,Sova,softens,0,1,1,1,1.0
310,20,v22-reload-0310,v22-scene-d20,0,Sova,curious,0,1,1,1,1.0
311,20,v22-reload-0311,v22-scene-d20,0,Keth,curious,0,1,1,1,1.0
312,20,v22-reload-0312,v22-scene-d20,0,Sova,curious,0,1,1,1,1.0
313,20,v22-reload-0313,v22-scene-d20,1,Sova,curious,0,1,1,1,1.0
314,20,v22-reload-0314,v22-scene-d20,1,Sova,approaches,0,1,1,1,1.0
315,20,v22-reload-0315,v22-scene-d20,0,Sova,curious,0,1,1,1,1.0
316,20,v22-reload-0316,v22-scene-d20,0,Sova,curious,0,1,1,1,1.0
317,20,v22-reload-0317,v22-scene-d20,0,Sova,curious,0,1,1,1,1.0
318,20,v22-reload-0318,v22-scene-d20,0,Sova,softens,0,1,1,1,1.0
