tick,day,slot,avatar_room,avatar_action_key,resident,project,trust_before,trust_after,obligation_before,obligation_after,schedule_before,schedule_after,visible_consequence,avatar_agency_bound,resident_agency_bound,replay_key
19,2,1,arrival court,interrupt_work,Tovan,dry seed store,0.330445,0.310445,0.304355,0.334355,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-00019
20,2,2,tool alcove,wait_offscreen,Nia,sort herb shelf,0.325225,0.323225,0.11379,0.10779,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-00020
21,2,3,rain court,repair_trust,Ari,map safe route,0.52461,0.54061,0.103597,0.077597,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00021
22,2,4,fiber loft,move,Fay,dry seed store,0.66397,0.66797,0.28365,0.28165,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-00022
23,2,5,west hearth,talk,Milo,sort herb shelf,0.638015,0.658015,0.47954,0.45354,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00023
24,2,6,river gate,offer_help,Sera,map safe route,0.492203,0.512203,0.501519,0.475519,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00024
25,2,7,arrival court,borrow_tool,Tovan,dry seed store,0.34964,0.32964,0.328297,0.358297,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-00025
26,2,8,tool alcove,return_tool,Nia,sort herb shelf,0.33426,0.35026,0.127666,0.101666,work,rest,trust warms and obligation decreases,True,True,v58-loop-00026
27,2,9,rain court,interrupt_work,Ari,map safe route,0.527837,0.507837,0.093965,0.123965,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-00027
28,2,10,fiber loft,wait_offscreen,Fay,dry seed store,0.664465,0.662465,0.25984,0.25384,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-00028
29,2,11,west hearth,repair_trust,Milo,sort herb shelf,0.642997,0.662997,0.464616,0.438616,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00029
30,2,12,river gate,move,Sera,map safe route,0.474954,0.478954,0.509937,0.507937,care duty,private task,position changes but history remains intact,True,True,v58-loop-00030
31,2,13,arrival court,talk,Tovan,dry seed store,0.319201,0.335201,0.351903,0.325903,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00031
32,2,14,tool alcove,offer_help,Nia,sort herb shelf,0.317836,0.333836,0.143593,0.117593,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00032
33,2,15,rain court,borrow_tool,Ari,map safe route,0.503653,0.483653,0.086787,0.116787,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-00033
34,2,16,fiber loft,return_tool,Fay,dry seed store,0.652998,0.668998,0.236509,0.210509,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00034
35,2,17,west hearth,interrupt_work,Milo,sort herb shelf,0.647135,0.627135,0.447731,0.477731,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-00035
36,3,0,arrival court,repair_trust,Sera,repair awning,0.461305,0.481305,0.410609,0.384609,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00036
37,3,1,tool alcove,move,Tovan,fix bridge peg,0.340803,0.344803,0.194101,0.192101,private task,recover focus,position changes but history remains intact,True,True,v58-loop-00037
38,3,2,rain court,talk,Nia,patch cloak,0.339241,0.355241,0.080172,0.054172,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00038
39,3,3,fiber loft,offer_help,Ari,repair awning,0.535635,0.551635,0.179179,0.153179,work,rest,trust warms and obligation decreases,True,True,v58-loop-00039
40,3,4,west hearth,borrow_tool,Fay,fix bridge peg,0.641816,0.621816,0.395219,0.425219,rest,seek tool,work is delayed and debt marker increases,True,False,v58-loop-00040
41,3,5,river gate,return_tool,Milo,patch cloak,0.614259,0.634259,0.519025,0.493025,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00041
42,3,6,arrival court,interrupt_work,Sera,repair awning,0.466909,0.446909,0.430673,0.460673,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-00042
43,3,7,tool alcove,wait_offscreen,Tovan,fix bridge peg,0.319515,0.321515,0.215745,0.209745,care duty,private task,residents continue without avatar,True,True,v58-loop-00043
44,3,8,rain court,repair_trust,Nia,patch cloak,0.325385,0.341385,0.08243,0.05643,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00044
45,3,9,fiber loft,move,Ari,repair awning,0.516789,0.520789,0.159864,0.157864,recover focus,work,position changes but history remains intact,True,True,v58-loop-00045
46,3,10,west hearth,talk,Fay,fix bridge peg,0.649899,0.665899,0.373041,0.347041,work,rest,trust warms and obligation decreases,True,True,v58-loop-00046
47,3,11,river gate,offer_help,Milo,patch cloak,0.62419,0.64419,0.515466,0.489466,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00047
48,3,12,arrival court,borrow_tool,Sera,repair awning,0.45972,0.43972,0.449181,0.479181,negotiate debt,care duty,work is delayed and debt marker increases,True,False,v58-loop-00048
49,3,13,tool alcove,return_tool,Tovan,fix bridge peg,0.333676,0.349676,0.238392,0.212392,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00049
50,3,14,rain court,interrupt_work,Nia,patch cloak,0.329381,0.309381,0.087279,0.117279,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-00050
51,3,15,fiber loft,wait_offscreen,Ari,repair awning,0.529091,0.531091,0.142219,0.136219,private task,recover focus,residents continue without avatar,True,True,v58-loop-00051
52,3,16,west hearth,repair_trust,Fay,fix bridge peg,0.645382,0.661382,0.349992,0.323992,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00052
53,3,17,river gate,move,Milo,patch cloak,0.629257,0.633257,0.509341,0.507341,work,rest,position changes but history remains intact,True,True,v58-loop-00053
54,4,0,tool alcove,offer_help,Sera,dry seed store,0.457015,0.473015,0.301055,0.275055,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00054
55,4,1,rain court,borrow_tool,Tovan,sort herb shelf,0.308059,0.288059,0.112054,0.142054,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-00055
56,4,2,fiber loft,return_tool,Nia,map safe route,0.346763,0.362763,0.105106,0.079106,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00056
57,4,3,west hearth,interrupt_work,Ari,dry seed store,0.533599,0.513599,0.286942,0.316942,private task,work,work is delayed and debt marker increases,True,True,v58-loop-00057
58,4,4,river gate,wait_offscreen,Fay,sort herb shelf,0.645107,0.643107,0.481426,0.475426,recover focus,work,residents continue without avatar,True,True,v58-loop-00058
59,4,5,arrival court,repair_trust,Milo,map safe route,0.639831,0.659831,0.500172,0.474172,work,rest,trust warms and obligation decreases,True,True,v58-loop-00059
60,4,6,tool alcove,move,Sera,dry seed store,0.452898,0.456898,0.325022,0.323022,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-00060
61,4,7,rain court,talk,Tovan,sort herb shelf,0.33352,0.34952,0.125634,0.099634,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00061
62,4,8,fiber loft,offer_help,Nia,map safe route,0.322297,0.338297,0.095145,0.069145,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00062
63,4,9,west hearth,borrow_tool,Ari,dry seed store,0.541693,0.521693,0.263089,0.293089,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-00063
64,4,10,river gate,return_tool,Fay,sort herb shelf,0.652324,0.672324,0.466786,0.440786,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00064
65,4,11,arrival court,interrupt_work,Milo,map safe route,0.637712,0.617712,0.508926,0.538926,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-00065
66,4,12,tool alcove,wait_offscreen,Sera,dry seed store,0.464552,0.462552,0.34869,0.34269,work,rest,residents continue without avatar,True,True,v58-loop-00066
67,4,13,rain court,repair_trust,Tovan,sort herb shelf,0.314102,0.330102,0.14129,0.11529,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00067
68,4,14,fiber loft,move,Nia,map safe route,0.342015,0.346015,0.087624,0.085624,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-00068
69,4,15,west hearth,talk,Ari,dry seed store,0.531735,0.547735,0.239676,0.213676,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00069
70,4,16,river gate,offer_help,Fay,sort herb shelf,0.649108,0.669108,0.45016,0.42416,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00070
71,4,17,arrival court,borrow_tool,Milo,map safe route,0.621035,0.601035,0.515192,0.545192,private task,work,work is delayed and debt marker increases,True,True,v58-loop-00071
72,5,0,rain court,interrupt_work,Sera,fix bridge peg,0.462328,0.442328,0.191221,0.221221,work,negotiate debt,work is delayed and debt marker increases,True,False,v58-loop-00072
73,5,1,fiber loft,wait_offscreen,Tovan,patch cloak,0.335367,0.337367,0.080067,0.074067,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-00073
74,5,2,west hearth,repair_trust,Nia,repair awning,0.341907,0.357907,0.181951,0.155951,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00074
75,5,3,river gate,move,Ari,fix bridge peg,0.543773,0.547773,0.398183,0.396183,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-00075
76,5,4,arrival court,talk,Fay,patch cloak,0.659153,0.679153,0.519311,0.493311,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00076
77,5,5,tool alcove,offer_help,Milo,repair awning,0.623225,0.643225,0.428003,0.402003,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00077
78,5,6,rain court,borrow_tool,Sera,fix bridge peg,0.451105,0.431105,0.212706,0.242706,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-00078
79,5,7,fiber loft,return_tool,Tovan,patch cloak,0.310436,0.326436,0.081966,0.055966,work,rest,trust warms and obligation decreases,True,True,v58-loop-00079
80,5,8,west hearth,interrupt_work,Nia,repair awning,0.328355,0.308355,0.162424,0.192424,rest,seek tool,work is delayed and debt marker increases,True,False,v58-loop-00080
81,5,9,river gate,wait_offscreen,Ari,fix bridge peg,0.551476,0.553476,0.376145,0.370145,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-00081
82,5,10,arrival court,repair_trust,Fay,patch cloak,0.652367,0.672367,0.516108,0.490108,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00082
83,5,11,tool alcove,move,Milo,repair awning,0.615318,0.619318,0.446739,0.444739,care duty,private task,position changes but history remains intact,True,True,v58-loop-00083
84,5,12,rain court,talk,Sera,fix bridge peg,0.449983,0.465983,0.235231,0.209231,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00084
85,5,13,fiber loft,offer_help,Tovan,patch cloak,0.317226,0.333226,0.086462,0.060462,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00085
86,5,14,west hearth,borrow_tool,Nia,repair awning,0.354497,0.334497,0.144536,0.174536,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-00086
87,5,15,river gate,return_tool,Ari,fix bridge peg,0.565666,0.581666,0.3532,0.3272,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00087
88,5,16,arrival court,interrupt_work,Fay,patch cloak,0.668422,0.648422,0.510332,0.540332,negotiate debt,care duty,work is delayed and debt marker increases,True,False,v58-loop-00088
89,5,17,tool alcove,wait_offscreen,Milo,repair awning,0.626301,0.628301,0.463726,0.457726,seek tool,care duty,residents continue without avatar,True,True,v58-loop-00089
90,6,0,fiber loft,move,Sera,sort herb shelf,0.426234,0.430234,0.11036,0.10836,private task,recover focus,position changes but history remains intact,True,True,v58-loop-00090
91,6,1,west hearth,talk,Tovan,map safe route,0.312239,0.328239,0.106659,0.080659,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00091
92,6,2,river gate,offer_help,Nia,dry seed store,0.35414,0.37014,0.290238,0.264238,work,rest,trust warms and obligation decreases,True,True,v58-loop-00092
93,6,3,arrival court,borrow_tool,Ari,sort herb shelf,0.570001,0.550001,0.483273,0.513273,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-00093
94,6,4,tool alcove,return_tool,Fay,map safe route,0.682361,0.702361,0.498781,0.472781,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00094
95,6,5,rain court,interrupt_work,Milo,dry seed store,0.617899,0.597899,0.32174,0.35174,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-00095
96,6,6,fiber loft,wait_offscreen,Sera,sort herb shelf,0.421273,0.419273,0.123641,0.117641,care duty,private task,residents continue without avatar,True,True,v58-loop-00096
97,6,7,west hearth,repair_trust,Tovan,map safe route,0.316007,0.332007,0.096372,0.070372,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00097
98,6,8,river gate,move,Nia,dry seed store,0.350458,0.354458,0.266346,0.264346,recover focus,work,position changes but history remains intact,True,True,v58-loop-00098
99,6,9,arrival court,talk,Ari,sort herb shelf,0.56303,0.58303,0.46892,0.44292,work,rest,trust warms and obligation decreases,True,True,v58-loop-00099
100,6,10,tool alcove,offer_help,Fay,map safe route,0.664522,0.684522,0.507869,0.481869,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00100
101,6,11,rain court,borrow_tool,Milo,dry seed store,0.618963,0.598963,0.345467,0.375467,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-00101
102,6,12,fiber loft,return_tool,Sera,sort herb shelf,0.435824,0.451824,0.139023,0.113023,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00102
103,6,13,west hearth,interrupt_work,Tovan,map safe route,0.328429,0.308429,0.088509,0.118509,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-00103
104,6,14,river gate,wait_offscreen,Nia,dry seed store,0.356186,0.354186,0.242856,0.236856,private task,recover focus,residents continue without avatar,True,True,v58-loop-00104
105,6,15,arrival court,repair_trust,Ari,sort herb shelf,0.550655,0.570655,0.452555,0.426555,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00105
106,6,16,tool alcove,move,Fay,map safe route,0.663114,0.667114,0.514482,0.512482,work,rest,position changes but history remains intact,True,True,v58-loop-00106
107,6,17,rain court,talk,Milo,dry seed store,0.603931,0.619931,0.368651,0.342651,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00107
108,7,0,west hearth,borrow_tool,Sera,patch cloak,0.420035,0.400035,0.08001,0.11001,seek tool,private task,work is delayed and debt marker increases,True,False,v58-loop-00108
109,7,1,river gate,return_tool,Tovan,repair awning,0.311357,0.327357,0.184748,0.158748,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00109
110,7,2,arrival court,interrupt_work,Nia,fix bridge peg,0.375599,0.355599,0.401125,0.431125,private task,work,work is delayed and debt marker increases,True,True,v58-loop-00110
111,7,3,tool alcove,wait_offscreen,Ari,patch cloak,0.589765,0.591765,0.519547,0.513547,recover focus,work,residents continue without avatar,True,True,v58-loop-00111
112,7,4,rain court,repair_trust,Fay,repair awning,0.683706,0.703706,0.425305,0.399305,work,rest,trust warms and obligation decreases,True,True,v58-loop-00112
113,7,5,fiber loft,move,Milo,fix bridge peg,0.601577,0.605577,0.209687,0.207687,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-00113
114,7,6,west hearth,talk,Sera,patch cloak,0.434711,0.450711,0.08155,0.05555,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00114
115,7,7,river gate,offer_help,Tovan,repair awning,0.326827,0.342827,0.165015,0.139015,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00115
116,7,8,arrival court,borrow_tool,Nia,fix bridge peg,0.367228,0.347228,0.379232,0.409232,care duty,recover focus,work is delayed and debt marker increases,True,False,v58-loop-00116
117,7,9,tool alcove,return_tool,Ari,patch cloak,0.560696,0.580696,0.516702,0.490702,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00117
118,7,10,rain court,interrupt_work,Fay,repair awning,0.650771,0.630771,0.444264,0.474264,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-00118
119,7,11,fiber loft,wait_offscreen,Milo,fix bridge peg,0.581452,0.583452,0.232085,0.226085,work,rest,residents continue without avatar,True,True,v58-loop-00119
120,7,12,west hearth,repair_trust,Sera,patch cloak,0.42863,0.44463,0.085692,0.059692,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00120
121,7,13,river gate,move,Tovan,repair awning,0.30217,0.30617,0.146888,0.144888,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-00121
122,7,14,arrival court,talk,Nia,fix bridge peg,0.361199,0.377199,0.356396,0.330396,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00122
123,7,15,tool alcove,offer_help,Ari,patch cloak,0.588352,0.608352,0.511276,0.485276,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00123
124,7,16,rain court,borrow_tool,Fay,repair awning,0.681675,0.661675,0.461504,0.491504,private task,work,work is delayed and debt marker increases,True,False,v58-loop-00124
125,7,17,fiber loft,return_tool,Milo,fix bridge peg,0.60717,0.62317,0.255291,0.229291,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00125
126,8,0,river gate,wait_offscreen,Sera,map safe route,0.427901,0.425901,0.108255,0.102255,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-00126
127,8,1,arrival court,repair_trust,Tovan,dry seed store,0.322637,0.338637,0.293535,0.267535,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00127
128,8,2,tool alcove,move,Nia,sort herb shelf,0.378565,0.382565,0.485077,0.483077,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-00128
129,8,3,rain court,talk,Ari,map safe route,0.566931,0.586931,0.497345,0.471345,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00129
130,8,4,fiber loft,offer_help,Fay,dry seed store,0.676718,0.692718,0.318454,0.292454,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00130
131,8,5,west hearth,borrow_tool,Milo,sort herb shelf,0.579932,0.559932,0.121688,0.151688,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-00131
132,8,6,river gate,return_tool,Sera,map safe route,0.406855,0.422855,0.097644,0.071644,work,rest,trust warms and obligation decreases,True,True,v58-loop-00132
133,8,7,arrival court,interrupt_work,Tovan,dry seed store,0.305043,0.285043,0.269611,0.299611,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-00133
134,8,8,tool alcove,wait_offscreen,Nia,sort herb shelf,0.372818,0.370818,0.471015,0.465015,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-00134
135,8,9,rain court,repair_trust,Ari,map safe route,0.583802,0.603802,0.506765,0.480765,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00135
136,8,10,fiber loft,move,Fay,dry seed store,0.684326,0.688326,0.342233,0.340233,care duty,private task,position changes but history remains intact,True,True,v58-loop-00136
137,8,11,west hearth,talk,Milo,sort herb shelf,0.588052,0.604052,0.136792,0.110792,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00137
138,8,12,river gate,offer_help,Sera,map safe route,0.400709,0.416709,0.089442,0.063442,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00138
139,8,13,arrival court,borrow_tool,Tovan,dry seed store,0.309696,0.289696,0.246049,0.276049,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-00139
140,8,14,tool alcove,return_tool,Nia,sort herb shelf,0.372983,0.392983,0.454915,0.428915,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00140
141,8,15,rain court,interrupt_work,Ari,map safe route,0.56959,0.54959,0.513723,0.543723,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-00141
142,8,16,fiber loft,wait_offscreen,Fay,dry seed store,0.676772,0.674772,0.365509,0.359509,seek tool,care duty,residents continue without avatar,True,True,v58-loop-00142
143,8,17,west hearth,repair_trust,Milo,sort herb shelf,0.594094,0.610094,0.153839,0.127839,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00143
144,9,0,arrival court,talk,Sera,repair awning,0.390033,0.406033,0.187572,0.161572,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00144
145,9,1,tool alcove,offer_help,Tovan,fix bridge peg,0.292674,0.312674,0.404044,0.378044,work,rest,trust warms and obligation decreases,True,True,v58-loop-00145
146,9,2,rain court,borrow_tool,Nia,patch cloak,0.388201,0.368201,0.519734,0.549734,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-00146
147,9,3,fiber loft,return_tool,Ari,repair awning,0.611099,0.631099,0.422579,0.396579,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00147
148,9,4,west hearth,interrupt_work,Fay,fix bridge peg,0.675152,0.655152,0.206688,0.236688,seek tool,private task,work is delayed and debt marker increases,True,False,v58-loop-00148
149,9,5,river gate,wait_offscreen,Milo,patch cloak,0.571236,0.573236,0.081184,0.075184,care duty,private task,residents continue without avatar,True,True,v58-loop-00149
150,9,6,arrival court,repair_trust,Sera,repair awning,0.41591,0.43191,0.167635,0.141635,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00150
151,9,7,tool alcove,move,Tovan,fix bridge peg,0.314951,0.318951,0.382302,0.380302,recover focus,work,position changes but history remains intact,True,True,v58-loop-00151
152,9,8,rain court,talk,Nia,patch cloak,0.389879,0.409879,0.517247,0.491247,work,rest,trust warms and obligation decreases,True,True,v58-loop-00152
153,9,9,fiber loft,offer_help,Ari,repair awning,0.603405,0.623405,0.441756,0.415756,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00153
154,9,10,west hearth,borrow_tool,Fay,fix bridge peg,0.671188,0.651188,0.228953,0.258953,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-00154
155,9,11,river gate,return_tool,Milo,patch cloak,0.562361,0.578361,0.08497,0.05897,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00155
156,9,12,arrival court,interrupt_work,Sera,repair awning,0.403545,0.383545,0.149275,0.179275,care duty,recover focus,work is delayed and debt marker increases,True,False,v58-loop-00156
157,9,13,tool alcove,wait_offscreen,Tovan,fix bridge peg,0.293964,0.295964,0.359579,0.353579,private task,recover focus,residents continue without avatar,True,True,v58-loop-00157
158,9,14,rain court,repair_trust,Nia,patch cloak,0.394637,0.414637,0.512172,0.486172,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00158
159,9,15,fiber loft,move,Ari,repair awning,0.597391,0.601391,0.459245,0.457245,work,rest,position changes but history remains intact,True,True,v58-loop-00159
160,9,16,west hearth,talk,Fay,fix bridge peg,0.663421,0.679421,0.252065,0.226065,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00160
161,9,17,river gate,offer_help,Milo,patch cloak,0.566717,0.582717,0.091317,0.065317,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00161
162,10,0,tool alcove,return_tool,Sera,dry seed store,0.396094,0.412094,0.296835,0.270835,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00162
163,10,1,rain court,interrupt_work,Tovan,sort herb shelf,0.300786,0.280786,0.486841,0.516841,private task,work,work is delayed and debt marker increases,True,True,v58-loop-00163
164,10,2,fiber loft,wait_offscreen,Nia,map safe route,0.397179,0.395179,0.495864,0.489864,recover focus,work,residents continue without avatar,True,True,v58-loop-00164
165,10,3,west hearth,repair_trust,Ari,dry seed store,0.622048,0.638048,0.315164,0.289164,work,rest,trust warms and obligation decreases,True,True,v58-loop-00165
166,10,4,river gate,move,Fay,sort herb shelf,0.663643,0.667643,0.119776,0.117776,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-00166
167,10,5,arrival court,talk,Milo,map safe route,0.550741,0.566741,0.098961,0.072961,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00167
168,10,6,tool alcove,offer_help,Sera,dry seed store,0.391611,0.407611,0.272883,0.246883,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00168
169,10,7,rain court,borrow_tool,Tovan,sort herb shelf,0.311459,0.291459,0.473071,0.503071,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-00169
170,10,8,fiber loft,return_tool,Nia,map safe route,0.389566,0.409566,0.505615,0.479615,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00170
171,10,9,west hearth,interrupt_work,Ari,dry seed store,0.615084,0.595084,0.33899,0.36899,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-00171
172,10,10,river gate,wait_offscreen,Fay,sort herb shelf,0.662821,0.660821,0.134597,0.128597,work,rest,residents continue without avatar,True,True,v58-loop-00172
