tick_id,day,session_id,settlement_id,resident_id,project_id,failure_mode,failure_trigger,work_integrity_before,work_integrity_after,recovery_action,recovery_option_visible,failed_work_not_erased,retry_available,relationship_damage_bounded,recovered_enough_to_continue
40,3,session-001,cinder_garden,Juno,f754fc777c,heat spike,path/tool/material uncertainty,0.68,0.695,swap worn tool,True,True,True,True,True
41,3,session-001,lichen_bridge,Luma,7017cc792d,bell mistune,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
42,3,session-001,orchid_engine,Dax,947f5c8b39,orchid dim,path/tool/material uncertainty,0.68,0.695,schedule retry,True,True,True,True,True
43,3,session-001,moss_ward,Tala,f91d6085d8,wet footing,explicit recovery step,0.68,0.701,step back,True,True,True,True,True
44,3,session-001,glass_harbor,Nia,7d03d3d3f1,net tear,path/tool/material uncertainty,0.68,0.695,ask resident lead,True,True,True,True,True
46,3,session-001,lichen_bridge,Rin,b522b59c7e,rope slack,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
48,3,session-001,moss_ward,Ari,acb2c21249,ledger miscopy,path/tool/material uncertainty,0.68,0.695,step back,True,True,True,True,True
49,3,session-001,glass_harbor,Oren,65ab173ea1,lamp sputter,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
50,3,session-001,cinder_garden,Vale,7525471538,basket spill,explicit recovery step,0.68,0.701,swap worn tool,True,True,True,True,True
51,3,session-001,lichen_bridge,Sol,032f2286f3,token shortage,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
52,3,session-001,orchid_engine,Bea,a0d3597080,valve knock,path/tool/material uncertainty,0.68,0.695,schedule retry,True,True,True,True,True
54,4,session-001,cinder_garden,Pax,cfb8cd3fed,heat spike,path/tool/material uncertainty,0.68,0.695,schedule retry,True,True,True,True,True
56,4,session-001,orchid_engine,Eli,3f711d3e3b,orchid dim,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
58,4,session-001,glass_harbor,Oren,f949aa8fd3,net tear,path/tool/material uncertainty,0.68,0.695,restore material,True,True,True,True,True
60,4,session-001,lichen_bridge,Sol,910495b9ec,rope slack,explicit recovery step,0.68,0.701,step back,True,True,True,True,True
62,4,session-001,moss_ward,Fay,9c82c8d116,ledger miscopy,path/tool/material uncertainty,0.68,0.695,swap worn tool,True,True,True,True,True
63,4,session-001,glass_harbor,Puck,4a73f95e3d,lamp sputter,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
64,4,session-001,cinder_garden,Wren,9ee5bba78b,basket spill,path/tool/material uncertainty,0.68,0.689,schedule retry,True,True,True,True,True
66,4,session-001,orchid_engine,Cai,aa06bc447d,valve knock,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
67,4,session-001,moss_ward,Milo,214b5191fa,cord snap,explicit recovery step,0.68,0.695,swap worn tool,True,True,True,True,True
68,4,session-001,glass_harbor,Sera,35df557118,fog seal leak,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
70,4,session-001,lichen_bridge,Luma,a72c4caf94,bell mistune,path/tool/material uncertainty,0.68,0.689,step back,True,True,True,True,True
72,5,session-001,glass_harbor,Puck,19e61c2da4,net tear,path/tool/material uncertainty,0.695,0.71,step back,True,True,True,True,True
74,5,session-001,lichen_bridge,Kio,0c14394478,rope slack,path/tool/material uncertainty,0.68,0.695,swap worn tool,True,True,True,True,True
75,5,session-001,orchid_engine,Cai,80ecb7dbcd,gear jam,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
76,5,session-001,moss_ward,Milo,4f19e26857,ledger miscopy,path/tool/material uncertainty,0.689,0.704,schedule retry,True,True,True,True,True
77,5,session-001,glass_harbor,Sera,ee1d01c438,lamp sputter,explicit recovery step,0.68,0.701,step back,True,True,True,True,True
78,5,session-001,cinder_garden,Juno,9c5554028b,basket spill,path/tool/material uncertainty,0.701,0.716,ask resident lead,True,True,True,True,True
80,5,session-001,orchid_engine,Dax,8d36ca6708,valve knock,path/tool/material uncertainty,0.695,0.704,restore material,True,True,True,True,True
82,5,session-001,glass_harbor,Nia,24a6670b6c,fog seal leak,path/tool/material uncertainty,0.695,0.71,step back,True,True,True,True,True
83,5,session-001,cinder_garden,Pax,9dfff354ca,heat spike,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
84,5,session-001,lichen_bridge,Rin,48fc2b7680,bell mistune,explicit recovery step,0.695,0.716,swap worn tool,True,True,True,True,True
85,5,session-001,orchid_engine,Eli,86759406ca,orchid dim,path/tool/material uncertainty,0.701,0.71,restore material,True,True,True,True,True
86,5,session-001,moss_ward,Ari,da0f22a6f5,wet footing,path/tool/material uncertainty,0.695,0.71,schedule retry,True,True,True,True,True
88,5,session-001,cinder_garden,Vale,58b08d67ce,calendar mismatch,path/tool/material uncertainty,0.695,0.71,ask resident lead,True,True,True,True,True
90,6,session-001,moss_ward,Tala,572744cec7,ledger miscopy,path/tool/material uncertainty,0.695,0.704,ask resident lead,True,True,True,True,True
92,6,session-001,cinder_garden,Pax,1e5830ef22,basket spill,path/tool/material uncertainty,0.68,0.695,restore material,True,True,True,True,True
94,6,session-001,orchid_engine,Eli,a3b8dc6d55,valve knock,explicit recovery step,0.695,0.716,step back,True,True,True,True,True
96,6,session-001,glass_harbor,Oren,d2b7153668,fog seal leak,path/tool/material uncertainty,0.695,0.71,swap worn tool,True,True,True,True,True
97,6,session-001,cinder_garden,Vale,b4da23a954,heat spike,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
98,6,session-001,lichen_bridge,Sol,85cb036eb5,bell mistune,path/tool/material uncertainty,0.689,0.698,schedule retry,True,True,True,True,True
100,6,session-001,moss_ward,Fay,6a7b5adb25,wet footing,path/tool/material uncertainty,0.695,0.704,ask resident lead,True,True,True,True,True
101,6,session-001,glass_harbor,Puck,c10ea1470a,net tear,explicit recovery step,0.68,0.701,swap worn tool,True,True,True,True,True
102,6,session-001,cinder_garden,Wren,81aa359945,calendar mismatch,path/tool/material uncertainty,0.701,0.71,restore material,True,True,True,True,True
104,6,session-001,orchid_engine,Cai,2fe151eb17,gear jam,path/tool/material uncertainty,0.695,0.704,step back,True,True,True,True,True
106,6,session-001,glass_harbor,Sera,768a4d2ad8,lamp sputter,path/tool/material uncertainty,0.695,0.71,swap worn tool,True,True,True,True,True
108,7,session-002,orchid_engine,Bea,a0d3597080,valve knock,path/tool/material uncertainty,0.695,0.71,swap worn tool,True,True,True,True,True
110,7,session-002,glass_harbor,Puck,d99abac1ce,fog seal leak,path/tool/material uncertainty,0.68,0.695,schedule retry,True,True,True,True,True
111,7,session-002,cinder_garden,Wren,efccb1106a,heat spike,explicit recovery step,0.68,0.701,step back,True,True,True,True,True
112,7,session-002,lichen_bridge,Kio,096f63fbc9,bell mistune,path/tool/material uncertainty,0.701,0.716,ask resident lead,True,True,True,True,True
114,7,session-002,moss_ward,Milo,42164b006a,wet footing,path/tool/material uncertainty,0.695,0.71,restore material,True,True,True,True,True
116,7,session-002,cinder_garden,Juno,f754fc777c,calendar mismatch,path/tool/material uncertainty,0.695,0.71,step back,True,True,True,True,True
117,7,session-002,lichen_bridge,Luma,7017cc792d,rope slack,path/tool/material uncertainty,0.689,0.698,ask resident lead,True,True,True,True,True
118,7,session-002,orchid_engine,Dax,947f5c8b39,gear jam,explicit recovery step,0.695,0.71,swap worn tool,True,True,True,True,True
119,7,session-002,moss_ward,Tala,f91d6085d8,ledger miscopy,path/tool/material uncertainty,0.701,0.71,restore material,True,True,True,True,True
120,7,session-002,glass_harbor,Nia,7d03d3d3f1,lamp sputter,path/tool/material uncertainty,0.695,0.71,schedule retry,True,True,True,True,True
121,7,session-002,cinder_garden,Pax,2ac4db2919,basket spill,path/tool/material uncertainty,0.68,0.689,step back,True,True,True,True,True
122,7,session-002,lichen_bridge,Rin,b522b59c7e,token shortage,path/tool/material uncertainty,0.689,0.704,ask resident lead,True,True,True,True,True
124,7,session-002,moss_ward,Ari,acb2c21249,cord snap,path/tool/material uncertainty,0.695,0.71,restore material,True,True,True,True,True
125,7,session-002,glass_harbor,Oren,65ab173ea1,fog seal leak,explicit recovery step,0.689,0.71,schedule retry,True,True,True,True,True
126,8,session-002,lichen_bridge,Luma,a72c4caf94,bell mistune,path/tool/material uncertainty,0.689,0.704,restore material,True,True,True,True,True
127,8,session-002,orchid_engine,Dax,e5be4a3317,orchid dim,path/tool/material uncertainty,0.68,0.689,schedule retry,True,True,True,True,True
128,8,session-002,moss_ward,Tala,ab7eb655b8,wet footing,explicit recovery step,0.68,0.695,step back,True,True,True,True,True
130,8,session-002,cinder_garden,Pax,cfb8cd3fed,calendar mismatch,path/tool/material uncertainty,0.695,0.71,swap worn tool,True,True,True,True,True
132,8,session-002,orchid_engine,Eli,3f711d3e3b,gear jam,path/tool/material uncertainty,0.689,0.704,schedule retry,True,True,True,True,True
134,8,session-002,glass_harbor,Oren,f949aa8fd3,lamp sputter,path/tool/material uncertainty,0.695,0.704,ask resident lead,True,True,True,True,True
135,8,session-002,cinder_garden,Vale,6b0dbec2ed,basket spill,explicit recovery step,0.68,0.695,swap worn tool,True,True,True,True,True
136,8,session-002,lichen_bridge,Sol,910495b9ec,token shortage,path/tool/material uncertainty,0.701,0.716,restore material,True,True,True,True,True
138,8,session-002,moss_ward,Fay,9c82c8d116,cord snap,path/tool/material uncertainty,0.695,0.71,step back,True,True,True,True,True
140,8,session-002,cinder_garden,Wren,9ee5bba78b,heat spike,path/tool/material uncertainty,0.689,0.704,swap worn tool,True,True,True,True,True
142,8,session-002,orchid_engine,Cai,aa06bc447d,orchid dim,explicit recovery step,0.689,0.71,schedule retry,True,True,True,True,True
144,9,session-002,cinder_garden,Vale,58b08d67ce,calendar mismatch,path/tool/material uncertainty,0.71,0.725,schedule retry,True,True,True,True,True
145,9,session-002,lichen_bridge,Sol,6a6945c048,rope slack,explicit recovery step,0.68,0.695,step back,True,True,True,True,True
146,9,session-002,orchid_engine,Bea,1a39418cc8,gear jam,path/tool/material uncertainty,0.695,0.71,ask resident lead,True,True,True,True,True
148,9,session-002,glass_harbor,Puck,19e61c2da4,lamp sputter,path/tool/material uncertainty,0.71,0.725,restore material,True,True,True,True,True
150,9,session-002,lichen_bridge,Kio,0c14394478,token shortage,path/tool/material uncertainty,0.695,0.71,step back,True,True,True,True,True
151,9,session-002,orchid_engine,Cai,80ecb7dbcd,valve knock,path/tool/material uncertainty,0.689,0.698,ask resident lead,True,True,True,True,True
152,9,session-002,moss_ward,Milo,4f19e26857,cord snap,explicit recovery step,0.704,0.725,swap worn tool,True,True,True,True,True
153,9,session-002,glass_harbor,Sera,ee1d01c438,fog seal leak,path/tool/material uncertainty,0.701,0.71,restore material,True,True,True,True,True
154,9,session-002,cinder_garden,Juno,9c5554028b,heat spike,path/tool/material uncertainty,0.716,0.731,schedule retry,True,True,True,True,True
156,9,session-002,orchid_engine,Dax,8d36ca6708,orchid dim,path/tool/material uncertainty,0.704,0.713,ask resident lead,True,True,True,True,True
158,9,session-002,glass_harbor,Nia,24a6670b6c,net tear,path/tool/material uncertainty,0.71,0.725,restore material,True,True,True,True,True
159,9,session-002,cinder_garden,Pax,9dfff354ca,calendar mismatch,explicit recovery step,0.689,0.71,schedule retry,True,True,True,True,True
160,9,session-002,lichen_bridge,Rin,48fc2b7680,rope slack,path/tool/material uncertainty,0.716,0.731,step back,True,True,True,True,True
162,10,session-002,glass_harbor,Sera,768a4d2ad8,lamp sputter,explicit recovery step,0.71,0.731,step back,True,True,True,True,True
163,10,session-002,cinder_garden,Juno,2b1e35e8a1,basket spill,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
164,10,session-002,lichen_bridge,Luma,450c18baea,token shortage,path/tool/material uncertainty,0.689,0.704,swap worn tool,True,True,True,True,True
166,10,session-002,moss_ward,Tala,572744cec7,cord snap,path/tool/material uncertainty,0.704,0.719,schedule retry,True,True,True,True,True
168,10,session-002,cinder_garden,Pax,1e5830ef22,heat spike,path/tool/material uncertainty,0.695,0.704,ask resident lead,True,True,True,True,True
169,10,session-002,lichen_bridge,Rin,9611f49c07,bell mistune,explicit recovery step,0.68,0.695,swap worn tool,True,True,True,True,True
170,10,session-002,orchid_engine,Eli,a3b8dc6d55,orchid dim,path/tool/material uncertainty,0.716,0.725,restore material,True,True,True,True,True
172,10,session-002,glass_harbor,Oren,d2b7153668,net tear,path/tool/material uncertainty,0.71,0.725,step back,True,True,True,True,True
173,10,session-002,cinder_garden,Vale,b4da23a954,calendar mismatch,path/tool/material uncertainty,0.689,0.698,ask resident lead,True,True,True,True,True
174,10,session-002,lichen_bridge,Sol,85cb036eb5,rope slack,path/tool/material uncertainty,0.698,0.707,swap worn tool,True,True,True,True,True
176,10,session-002,moss_ward,Fay,6a7b5adb25,ledger miscopy,explicit recovery step,0.704,0.725,schedule retry,True,True,True,True,True
178,10,session-002,cinder_garden,Wren,81aa359945,basket spill,path/tool/material uncertainty,0.71,0.725,ask resident lead,True,True,True,True,True
180,11,session-002,moss_ward,Ari,acb2c21249,cord snap,path/tool/material uncertainty,0.71,0.725,ask resident lead,True,True,True,True,True
182,11,session-002,cinder_garden,Vale,7525471538,heat spike,path/tool/material uncertainty,0.701,0.716,restore material,True,True,True,True,True
184,11,session-002,orchid_engine,Bea,a0d3597080,orchid dim,path/tool/material uncertainty,0.71,0.725,step back,True,True,True,True,True
185,11,session-002,moss_ward,Fay,72cfe9f03b,wet footing,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
186,11,session-002,glass_harbor,Puck,d99abac1ce,net tear,explicit recovery step,0.695,0.71,swap worn tool,True,True,True,True,True
187,11,session-002,cinder_garden,Wren,efccb1106a,calendar mismatch,path/tool/material uncertainty,0.701,0.71,restore material,True,True,True,True,True
188,11,session-002,lichen_bridge,Kio,096f63fbc9,rope slack,path/tool/material uncertainty,0.716,0.731,schedule retry,True,True,True,True,True
190,11,session-002,moss_ward,Milo,42164b006a,ledger miscopy,path/tool/material uncertainty,0.71,0.719,ask resident lead,True,True,True,True,True
191,11,session-002,glass_harbor,Sera,b557cb5ab1,lamp sputter,path/tool/material uncertainty,0.689,0.698,swap worn tool,True,True,True,True,True
192,11,session-002,cinder_garden,Juno,f754fc777c,basket spill,path/tool/material uncertainty,0.71,0.725,restore material,True,True,True,True,True
193,11,session-002,lichen_bridge,Luma,7017cc792d,token shortage,explicit recovery step,0.698,0.719,schedule retry,True,True,True,True,True
194,11,session-002,orchid_engine,Dax,947f5c8b39,valve knock,path/tool/material uncertainty,0.71,0.725,step back,True,True,True,True,True
196,11,session-002,glass_harbor,Nia,7d03d3d3f1,fog seal leak,path/tool/material uncertainty,0.71,0.725,swap worn tool,True,True,True,True,True
197,11,session-002,cinder_garden,Pax,2ac4db2919,heat spike,path/tool/material uncertainty,0.689,0.698,restore material,True,True,True,True,True
198,12,session-002,orchid_engine,Cai,aa06bc447d,orchid dim,path/tool/material uncertainty,0.71,0.725,swap worn tool,True,True,True,True,True
199,12,session-002,moss_ward,Milo,214b5191fa,wet footing,path/tool/material uncertainty,0.695,0.704,restore material,True,True,True,True,True
200,12,session-002,glass_harbor,Sera,35df557118,net tear,path/tool/material uncertainty,0.689,0.704,schedule retry,True,True,True,True,True
202,12,session-002,lichen_bridge,Luma,a72c4caf94,rope slack,path/tool/material uncertainty,0.704,0.713,ask resident lead,True,True,True,True,True
203,12,session-002,orchid_engine,Dax,e5be4a3317,gear jam,explicit recovery step,0.689,0.704,swap worn tool,True,True,True,True,True
204,12,session-002,moss_ward,Tala,ab7eb655b8,ledger miscopy,path/tool/material uncertainty,0.695,0.71,restore material,True,True,True,True,True
206,12,session-002,cinder_garden,Pax,cfb8cd3fed,basket spill,path/tool/material uncertainty,0.71,0.725,step back,True,True,True,True,True
208,12,session-002,orchid_engine,Eli,3f711d3e3b,valve knock,path/tool/material uncertainty,0.704,0.719,swap worn tool,True,True,True,True,True
210,12,session-002,glass_harbor,Oren,f949aa8fd3,fog seal leak,explicit recovery step,0.704,0.725,schedule retry,True,True,True,True,True
212,12,session-002,lichen_bridge,Sol,910495b9ec,bell mistune,path/tool/material uncertainty,0.716,0.731,ask resident lead,True,True,True,True,True
214,12,session-002,moss_ward,Fay,9c82c8d116,wet footing,path/tool/material uncertainty,0.71,0.719,restore material,True,True,True,True,True
216,13,session-003,lichen_bridge,Rin,48fc2b7680,rope slack,path/tool/material uncertainty,0.731,0.74,restore material,True,True,True,True,True
218,13,session-003,moss_ward,Ari,da0f22a6f5,ledger miscopy,path/tool/material uncertainty,0.71,0.725,step back,True,True,True,True,True
219,13,session-003,glass_harbor,Oren,9f03b2f23d,lamp sputter,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
220,13,session-003,cinder_garden,Vale,58b08d67ce,basket spill,explicit recovery step,0.725,0.746,swap worn tool,True,True,True,True,True
221,13,session-003,lichen_bridge,Sol,6a6945c048,token shortage,path/tool/material uncertainty,0.695,0.704,restore material,True,True,True,True,True
222,13,session-003,orchid_engine,Bea,1a39418cc8,valve knock,path/tool/material uncertainty,0.71,0.725,schedule retry,True,True,True,True,True
224,13,session-003,glass_harbor,Puck,19e61c2da4,fog seal leak,path/tool/material uncertainty,0.725,0.734,ask resident lead,True,True,True,True,True
226,13,session-003,lichen_bridge,Kio,0c14394478,bell mistune,path/tool/material uncertainty,0.71,0.719,restore material,True,True,True,True,True
227,13,session-003,orchid_engine,Cai,80ecb7dbcd,orchid dim,explicit recovery step,0.698,0.719,schedule retry,True,True,True,True,True
228,13,session-003,moss_ward,Milo,4f19e26857,wet footing,path/tool/material uncertainty,0.725,0.734,step back,True,True,True,True,True
230,13,session-003,cinder_garden,Juno,9c5554028b,calendar mismatch,path/tool/material uncertainty,0.731,0.746,swap worn tool,True,True,True,True,True
231,13,session-003,lichen_bridge,Luma,5fbf6bf7bd,rope slack,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
232,13,session-003,orchid_engine,Dax,8d36ca6708,gear jam,path/tool/material uncertainty,0.713,0.722,schedule retry,True,True,True,True,True
233,13,session-003,moss_ward,Tala,690cd7241e,ledger miscopy,path/tool/material uncertainty,0.68,0.689,step back,True,True,True,True,True
234,14,session-003,cinder_garden,Wren,81aa359945,basket spill,path/tool/material uncertainty,0.725,0.734,schedule retry,True,True,True,True,True
236,14,session-003,orchid_engine,Cai,2fe151eb17,valve knock,path/tool/material uncertainty,0.704,0.713,ask resident lead,True,True,True,True,True
237,14,session-003,moss_ward,Milo,b03af16c10,cord snap,explicit recovery step,0.689,0.704,swap worn tool,True,True,True,True,True
238,14,session-003,glass_harbor,Sera,768a4d2ad8,fog seal leak,path/tool/material uncertainty,0.731,0.74,restore material,True,True,True,True,True
240,14,session-003,lichen_bridge,Luma,450c18baea,bell mistune,path/tool/material uncertainty,0.704,0.719,step back,True,True,True,True,True
241,14,session-003,orchid_engine,Dax,363676d602,orchid dim,path/tool/material uncertainty,0.695,0.704,ask resident lead,True,True,True,True,True
242,14,session-003,moss_ward,Tala,572744cec7,wet footing,path/tool/material uncertainty,0.719,0.734,swap worn tool,True,True,True,True,True
244,14,session-003,cinder_garden,Pax,1e5830ef22,calendar mismatch,explicit recovery step,0.704,0.725,schedule retry,True,True,True,True,True
245,14,session-003,lichen_bridge,Rin,9611f49c07,rope slack,path/tool/material uncertainty,0.695,0.704,step back,True,True,True,True,True
246,14,session-003,orchid_engine,Eli,a3b8dc6d55,gear jam,path/tool/material uncertainty,0.725,0.74,ask resident lead,True,True,True,True,True
248,14,session-003,glass_harbor,Oren,d2b7153668,lamp sputter,path/tool/material uncertainty,0.725,0.74,restore material,True,True,True,True,True
249,14,session-003,cinder_garden,Vale,b4da23a954,basket spill,path/tool/material uncertainty,0.698,0.707,schedule retry,True,True,True,True,True
250,14,session-003,lichen_bridge,Sol,85cb036eb5,token shortage,path/tool/material uncertainty,0.707,0.716,step back,True,True,True,True,True
251,14,session-003,orchid_engine,Bea,3935fa5efe,valve knock,explicit recovery step,0.68,0.701,ask resident lead,True,True,True,True,True
252,15,session-003,glass_harbor,Nia,7d03d3d3f1,fog seal leak,path/tool/material uncertainty,0.725,0.74,step back,True,True,True,True,True
253,15,session-003,cinder_garden,Pax,2ac4db2919,heat spike,path/tool/material uncertainty,0.698,0.707,ask resident lead,True,True,True,True,True
254,15,session-003,lichen_bridge,Rin,b522b59c7e,bell mistune,explicit recovery step,0.704,0.725,swap worn tool,True,True,True,True,True
255,15,session-003,orchid_engine,Eli,e4ebf8a5c3,orchid dim,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
256,15,session-003,moss_ward,Ari,acb2c21249,wet footing,path/tool/material uncertainty,0.725,0.74,schedule retry,True,True,True,True,True
258,15,session-003,cinder_garden,Vale,7525471538,calendar mismatch,path/tool/material uncertainty,0.716,0.731,ask resident lead,True,True,True,True,True
260,15,session-003,orchid_engine,Bea,a0d3597080,gear jam,path/tool/material uncertainty,0.725,0.74,restore material,True,True,True,True,True
261,15,session-003,moss_ward,Fay,72cfe9f03b,ledger miscopy,explicit recovery step,0.689,0.71,schedule retry,True,True,True,True,True
262,15,session-003,glass_harbor,Puck,d99abac1ce,lamp sputter,path/tool/material uncertainty,0.71,0.719,step back,True,True,True,True,True
264,15,session-003,lichen_bridge,Kio,096f63fbc9,token shortage,path/tool/material uncertainty,0.731,0.746,swap worn tool,True,True,True,True,True
265,15,session-003,orchid_engine,Cai,7b17b6bca2,valve knock,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
266,15,session-003,moss_ward,Milo,42164b006a,cord snap,path/tool/material uncertainty,0.719,0.728,schedule retry,True,True,True,True,True
267,15,session-003,glass_harbor,Sera,b557cb5ab1,fog seal leak,path/tool/material uncertainty,0.698,0.707,step back,True,True,True,True,True
268,15,session-003,cinder_garden,Juno,f754fc777c,heat spike,explicit recovery step,0.725,0.746,ask resident lead,True,True,True,True,True
270,16,session-003,moss_ward,Fay,9c82c8d116,wet footing,path/tool/material uncertainty,0.719,0.728,ask resident lead,True,True,True,True,True
271,16,session-003,glass_harbor,Puck,4a73f95e3d,net tear,explicit recovery step,0.689,0.71,swap worn tool,True,True,True,True,True
272,16,session-003,cinder_garden,Wren,9ee5bba78b,calendar mismatch,path/tool/material uncertainty,0.704,0.713,restore material,True,True,True,True,True
274,16,session-003,orchid_engine,Cai,aa06bc447d,gear jam,path/tool/material uncertainty,0.725,0.734,step back,True,True,True,True,True
276,16,session-003,glass_harbor,Sera,35df557118,lamp sputter,path/tool/material uncertainty,0.704,0.719,swap worn tool,True,True,True,True,True
278,16,session-003,lichen_bridge,Luma,a72c4caf94,token shortage,explicit recovery step,0.713,0.734,schedule retry,True,True,True,True,True
280,16,session-003,moss_ward,Tala,ab7eb655b8,cord snap,path/tool/material uncertainty,0.71,0.725,ask resident lead,True,True,True,True,True
282,16,session-003,cinder_garden,Pax,cfb8cd3fed,heat spike,path/tool/material uncertainty,0.725,0.734,restore material,True,True,True,True,True
284,16,session-003,orchid_engine,Eli,3f711d3e3b,orchid dim,path/tool/material uncertainty,0.719,0.728,step back,True,True,True,True,True
285,16,session-003,moss_ward,Ari,808faa30ed,wet footing,explicit recovery step,0.68,0.701,ask resident lead,True,True,True,True,True
286,16,session-003,glass_harbor,Oren,f949aa8fd3,net tear,path/tool/material uncertainty,0.725,0.74,swap worn tool,True,True,True,True,True
288,17,session-003,orchid_engine,Dax,8d36ca6708,gear jam,explicit recovery step,0.722,0.737,swap worn tool,True,True,True,True,True
289,17,session-003,moss_ward,Tala,690cd7241e,ledger miscopy,path/tool/material uncertainty,0.689,0.698,restore material,True,True,True,True,True
290,17,session-003,glass_harbor,Nia,24a6670b6c,lamp sputter,path/tool/material uncertainty,0.725,0.74,schedule retry,True,True,True,True,True
291,17,session-003,cinder_garden,Pax,9dfff354ca,basket spill,path/tool/material uncertainty,0.71,0.719,step back,True,True,True,True,True
