tick,day,replay_id,scene_id,includes_keyboard_input,includes_mutated_state,includes_collision_prompt,includes_object_ceremony_state,includes_storage_snapshot,deterministic_order,replay_integrity_score
112,8,v21-replay-0112,v21-scene-d08,1,1,1,1,1,1,1.0
113,8,v21-replay-0113,v21-scene-d08,1,1,1,1,1,1,1.0
114,8,v21-replay-0114,v21-scene-d08,1,1,1,1,1,1,1.0
115,8,v21-replay-0115,v21-scene-d08,1,1,1,1,1,1,0.993333
116,8,v21-replay-0116,v21-scene-d08,1,1,0,1,1,1,0.917143
117,8,v21-replay-0117,v21-scene-d08,1,1,1,1,1,1,0.993333
118,8,v21-replay-0118,v21-scene-d08,1,1,1,1,1,1,0.971429
119,8,v21-replay-0119,v21-scene-d08,1,1,1,1,1,1,1.0
120,9,v21-replay-0120,v21-scene-d09,1,1,1,1,1,1,0.993333
121,9,v21-replay-0121,v21-scene-d09,1,1,0,1,1,1,0.945714
122,9,v21-replay-0122,v21-scene-d09,1,1,1,1,1,1,0.993333
123,9,v21-replay-0123,v21-scene-d09,1,1,1,1,1,1,1.0
124,9,v21-replay-0124,v21-scene-d09,1,1,1,1,1,1,1.0
125,9,v21-replay-0125,v21-scene-d09,1,1,1,1,1,1,1.0
126,9,v21-replay-0126,v21-scene-d09,1,1,0,0,1,1,0.91
127,9,v21-replay-0127,v21-scene-d09,1,1,1,1,1,1,0.964762
128,9,v21-replay-0128,v21-scene-d09,1,1,0,1,1,1,0.917143
129,9,v21-replay-0129,v21-scene-d09,1,1,1,1,1,1,1.0
130,9,v21-replay-0130,v21-scene-d09,1,1,1,1,1,1,1.0
131,9,v21-replay-0131,v21-scene-d09,1,1,1,1,1,1,1.0
132,9,v21-replay-0132,v21-scene-d09,1,1,1,1,1,1,0.964762
133,9,v21-replay-0133,v21-scene-d09,1,1,1,1,1,1,0.993333
134,9,v21-replay-0134,v21-scene-d09,1,1,1,1,1,1,0.957619
135,10,v21-replay-0135,v21-scene-d10,1,1,1,1,1,1,1.0
136,10,v21-replay-0136,v21-scene-d10,1,1,1,1,1,1,1.0
137,10,v21-replay-0137,v21-scene-d10,1,1,1,1,1,1,0.993333
138,10,v21-replay-0138,v21-scene-d10,1,1,1,1,1,1,0.993333
139,10,v21-replay-0139,v21-scene-d10,1,1,1,1,1,1,0.993333
140,10,v21-replay-0140,v21-scene-d10,1,1,1,1,1,1,1.0
141,10,v21-replay-0141,v21-scene-d10,1,1,1,1,1,1,1.0
142,10,v21-replay-0142,v21-scene-d10,1,1,1,1,1,1,1.0
143,10,v21-replay-0143,v21-scene-d10,1,1,1,1,1,1,0.993333
144,10,v21-replay-0144,v21-scene-d10,1,1,1,1,1,1,0.993333
145,10,v21-replay-0145,v21-scene-d10,1,1,1,1,1,1,1.0
146,10,v21-replay-0146,v21-scene-d10,1,1,1,1,1,1,1.0
147,10,v21-replay-0147,v21-scene-d10,1,1,1,1,1,1,1.0
148,10,v21-replay-0148,v21-scene-d10,1,1,1,1,1,1,1.0
149,10,v21-replay-0149,v21-scene-d10,1,1,1,1,1,1,0.993333
150,11,v21-replay-0150,v21-scene-d11,1,1,1,1,1,1,1.0
151,11,v21-replay-0151,v21-scene-d11,1,1,1,1,1,1,1.0
152,11,v21-replay-0152,v21-scene-d11,1,1,1,1,1,1,1.0
153,11,v21-replay-0153,v21-scene-d11,1,1,1,1,1,1,1.0
154,11,v21-replay-0154,v21-scene-d11,1,1,1,1,1,1,0.993333
155,11,v21-replay-0155,v21-scene-d11,1,1,1,1,1,1,0.971429
156,11,v21-replay-0156,v21-scene-d11,1,1,1,1,1,1,0.964762
157,11,v21-replay-0157,v21-scene-d11,1,1,1,0,1,1,0.935714
158,11,v21-replay-0158,v21-scene-d11,1,1,1,1,1,1,1.0
159,11,v21-replay-0159,v21-scene-d11,1,1,0,1,1,1,0.952381
160,11,v21-replay-0160,v21-scene-d11,1,1,1,1,1,1,0.993333
161,11,v21-replay-0161,v21-scene-d11,1,1,1,1,1,1,0.993333
162,11,v21-replay-0162,v21-scene-d11,1,1,1,1,1,1,0.993333
163,11,v21-replay-0163,v21-scene-d11,1,1,1,1,1,1,1.0
164,11,v21-replay-0164,v21-scene-d11,1,1,1,1,1,1,1.0
165,12,v21-replay-0165,v21-scene-d12,1,1,1,1,1,1,0.993333
166,12,v21-replay-0166,v21-scene-d12,1,1,1,1,1,1,0.993333
167,12,v21-replay-0167,v21-scene-d12,1,1,1,1,1,1,0.993333
168,12,v21-replay-0168,v21-scene-d12,1,1,1,1,1,1,1.0
169,12,v21-replay-0169,v21-scene-d12,1,1,1,1,1,1,1.0
170,12,v21-replay-0170,v21-scene-d12,1,1,1,1,1,1,1.0
171,12,v21-replay-0171,v21-scene-d12,1,1,0,0,1,1,0.91
172,12,v21-replay-0172,v21-scene-d12,1,1,1,1,1,1,0.993333
173,12,v21-replay-0173,v21-scene-d12,1,1,1,1,1,1,0.964762
174,12,v21-replay-0174,v21-scene-d12,1,1,1,1,1,1,1.0
175,12,v21-replay-0175,v21-scene-d12,1,1,1,1,1,1,1.0
176,12,v21-replay-0176,v21-scene-d12,1,1,1,0,1,1,0.964286
177,12,v21-replay-0177,v21-scene-d12,1,1,1,1,1,1,0.957619
178,12,v21-replay-0178,v21-scene-d12,1,1,1,1,1,1,0.993333
179,12,v21-replay-0179,v21-scene-d12,1,1,1,1,1,1,0.993333
180,13,v21-replay-0180,v21-scene-d13,1,1,1,1,1,1,1.0
181,13,v21-replay-0181,v21-scene-d13,1,0,1,1,1,1,0.857143
182,13,v21-replay-0182,v21-scene-d13,1,1,1,1,1,1,0.993333
183,13,v21-replay-0183,v21-scene-d13,1,1,1,1,1,1,0.993333
184,13,v21-replay-0184,v21-scene-d13,1,1,1,1,1,1,0.993333
185,13,v21-replay-0185,v21-scene-d13,1,1,1,1,1,1,0.964762
186,13,v21-replay-0186,v21-scene-d13,1,1,1,1,1,1,1.0
187,13,v21-replay-0187,v21-scene-d13,1,1,1,1,1,1,0.993333
188,13,v21-replay-0188,v21-scene-d13,1,1,1,0,1,1,0.957619
189,13,v21-replay-0189,v21-scene-d13,1,1,1,1,1,1,0.993333
190,13,v21-replay-0190,v21-scene-d13,1,1,0,1,1,1,0.945714
191,13,v21-replay-0191,v21-scene-d13,1,1,1,1,1,1,0.993333
192,13,v21-replay-0192,v21-scene-d13,1,1,1,1,1,1,0.971429
193,13,v21-replay-0193,v21-scene-d13,1,1,1,1,1,1,0.993333
194,13,v21-replay-0194,v21-scene-d13,1,1,1,1,1,1,0.993333
195,14,v21-replay-0195,v21-scene-d14,1,1,1,1,1,1,0.993333
196,14,v21-replay-0196,v21-scene-d14,1,1,0,0,0,1,0.846429
197,14,v21-replay-0197,v21-scene-d14,1,1,1,1,1,1,1.0
198,14,v21-replay-0198,v21-scene-d14,1,1,1,1,1,1,0.993333
199,14,v21-replay-0199,v21-scene-d14,1,1,1,1,1,1,0.993333
200,14,v21-replay-0200,v21-scene-d14,1,1,1,1,1,1,0.993333
201,14,v21-replay-0201,v21-scene-d14,1,1,0,1,1,1,0.945714
202,14,v21-replay-0202,v21-scene-d14,1,1,1,1,1,1,0.993333
203,14,v21-replay-0203,v21-scene-d14,1,1,1,1,1,1,1.0
204,14,v21-replay-0204,v21-scene-d14,1,1,1,1,1,1,0.993333
205,14,v21-replay-0205,v21-scene-d14,1,1,1,1,1,1,0.993333
206,14,v21-replay-0206,v21-scene-d14,1,1,1,1,1,1,0.993333
207,14,v21-replay-0207,v21-scene-d14,1,1,1,1,1,1,0.993333
208,14,v21-replay-0208,v21-scene-d14,1,1,1,1,1,1,0.993333
209,14,v21-replay-0209,v21-scene-d14,1,1,1,1,1,1,1.0
210,15,v21-replay-0210,v21-scene-d15,1,1,1,1,1,1,0.993333
211,15,v21-replay-0211,v21-scene-d15,1,1,0,1,1,1,0.945714
212,15,v21-replay-0212,v21-scene-d15,1,1,1,1,1,1,0.993333
213,15,v21-replay-0213,v21-scene-d15,1,1,1,1,1,1,1.0
214,15,v21-replay-0214,v21-scene-d15,1,1,1,1,0,1,0.942857
215,15,v21-replay-0215,v21-scene-d15,1,1,1,1,1,1,1.0
216,15,v21-replay-0216,v21-scene-d15,1,1,0,0,1,1,0.875
217,15,v21-replay-0217,v21-scene-d15,1,1,1,1,1,1,1.0
218,15,v21-replay-0218,v21-scene-d15,1,1,1,1,1,1,0.993333
219,15,v21-replay-0219,v21-scene-d15,1,1,1,0,1,1,0.964286
220,15,v21-replay-0220,v21-scene-d15,1,1,1,1,1,1,0.964286
221,15,v21-replay-0221,v21-scene-d15,1,1,0,1,1,1,0.952381
222,15,v21-replay-0222,v21-scene-d15,1,1,1,1,1,1,0.993333
223,15,v21-replay-0223,v21-scene-d15,1,1,1,1,1,1,0.993333
224,15,v21-replay-0224,v21-scene-d15,1,1,1,1,1,1,0.993333
225,16,v21-replay-0225,v21-scene-d16,1,1,1,1,1,1,1.0
226,16,v21-replay-0226,v21-scene-d16,1,1,1,1,1,1,1.0
227,16,v21-replay-0227,v21-scene-d16,1,1,1,1,1,1,0.993333
228,16,v21-replay-0228,v21-scene-d16,1,1,1,1,1,1,0.993333
229,16,v21-replay-0229,v21-scene-d16,1,1,1,1,1,1,0.964762
230,16,v21-replay-0230,v21-scene-d16,1,1,1,1,1,1,1.0
231,16,v21-replay-0231,v21-scene-d16,1,1,1,1,1,1,1.0
232,16,v21-replay-0232,v21-scene-d16,1,1,1,1,1,1,1.0
233,16,v21-replay-0233,v21-scene-d16,1,1,1,1,1,1,0.993333
234,16,v21-replay-0234,v21-scene-d16,1,1,1,1,1,1,0.993333
235,16,v21-replay-0235,v21-scene-d16,1,1,1,1,1,1,0.993333
236,16,v21-replay-0236,v21-scene-d16,1,1,1,1,1,1,1.0
237,16,v21-replay-0237,v21-scene-d16,1,1,1,1,1,1,1.0
238,16,v21-replay-0238,v21-scene-d16,1,1,1,1,1,1,0.993333
239,16,v21-replay-0239,v21-scene-d16,1,1,1,1,1,1,0.993333
240,17,v21-replay-0240,v21-scene-d17,1,1,1,1,1,1,0.993333
241,17,v21-replay-0241,v21-scene-d17,1,1,1,1,1,1,1.0
242,17,v21-replay-0242,v21-scene-d17,1,1,1,1,1,1,1.0
243,17,v21-replay-0243,v21-scene-d17,1,1,1,1,1,1,0.964762
244,17,v21-replay-0244,v21-scene-d17,1,1,1,1,1,1,0.993333
245,17,v21-replay-0245,v21-scene-d17,1,1,1,1,1,1,0.993333
246,17,v21-replay-0246,v21-scene-d17,1,1,1,1,1,1,0.993333
247,17,v21-replay-0247,v21-scene-d17,1,1,1,1,1,1,1.0
248,17,v21-replay-0248,v21-scene-d17,1,1,1,1,1,1,1.0
249,17,v21-replay-0249,v21-scene-d17,1,1,1,1,1,1,1.0
250,17,v21-replay-0250,v21-scene-d17,1,1,1,0,1,1,0.929048
251,17,v21-replay-0251,v21-scene-d17,1,1,1,1,1,1,0.993333
252,17,v21-replay-0252,v21-scene-d17,1,1,0,1,1,1,0.917143
253,17,v21-replay-0253,v21-scene-d17,1,1,1,1,1,1,1.0
254,17,v21-replay-0254,v21-scene-d17,1,1,1,1,1,1,1.0
255,18,v21-replay-0255,v21-scene-d18,1,1,1,1,1,1,0.964762
256,18,v21-replay-0256,v21-scene-d18,1,1,0,0,0,1,0.852857
257,18,v21-replay-0257,v21-scene-d18,1,1,1,1,1,1,0.993333
258,18,v21-replay-0258,v21-scene-d18,1,1,1,1,1,1,1.0
259,18,v21-replay-0259,v21-scene-d18,1,1,1,1,1,1,1.0
260,18,v21-replay-0260,v21-scene-d18,1,1,1,1,1,1,0.993333
261,18,v21-replay-0261,v21-scene-d18,1,1,0,0,1,1,0.91
262,18,v21-replay-0262,v21-scene-d18,1,1,1,1,1,1,0.993333
263,18,v21-replay-0263,v21-scene-d18,1,1,1,1,1,1,0.957619
264,18,v21-replay-0264,v21-scene-d18,1,1,1,1,1,1,1.0
265,18,v21-replay-0265,v21-scene-d18,1,1,1,1,1,1,1.0
266,18,v21-replay-0266,v21-scene-d18,1,1,1,1,1,1,0.971429
267,18,v21-replay-0267,v21-scene-d18,1,1,1,1,1,1,0.993333
268,18,v21-replay-0268,v21-scene-d18,1,1,1,1,1,1,0.993333
269,18,v21-replay-0269,v21-scene-d18,1,1,1,1,1,1,0.993333
270,19,v21-replay-0270,v21-scene-d19,1,1,1,1,1,1,1.0
271,19,v21-replay-0271,v21-scene-d19,1,1,1,1,1,1,1.0
272,19,v21-replay-0272,v21-scene-d19,1,1,1,1,1,1,0.964762
273,19,v21-replay-0273,v21-scene-d19,1,1,1,1,1,1,1.0
274,19,v21-replay-0274,v21-scene-d19,1,1,1,1,1,1,0.857143
275,19,v21-replay-0275,v21-scene-d19,1,1,1,1,1,1,1.0
276,19,v21-replay-0276,v21-scene-d19,1,1,1,1,1,1,1.0
277,19,v21-replay-0277,v21-scene-d19,1,1,1,1,1,1,1.0
278,19,v21-replay-0278,v21-scene-d19,1,1,1,1,1,1,0.993333
279,19,v21-replay-0279,v21-scene-d19,1,1,1,1,1,1,1.0
280,19,v21-replay-0280,v21-scene-d19,1,1,1,1,1,1,1.0
281,19,v21-replay-0281,v21-scene-d19,1,1,1,0,1,1,0.964286
282,19,v21-replay-0282,v21-scene-d19,1,1,1,1,1,1,1.0
283,19,v21-replay-0283,v21-scene-d19,1,1,0,1,1,1,0.952381
284,19,v21-replay-0284,v21-scene-d19,1,1,1,1,1,1,0.993333
285,20,v21-replay-0285,v21-scene-d20,1,1,1,1,1,1,0.993333
286,20,v21-replay-0286,v21-scene-d20,1,1,1,1,1,1,1.0
287,20,v21-replay-0287,v21-scene-d20,1,1,1,1,1,1,1.0
288,20,v21-replay-0288,v21-scene-d20,1,1,1,1,1,1,1.0
289,20,v21-replay-0289,v21-scene-d20,1,1,1,1,1,1,0.993333
290,20,v21-replay-0290,v21-scene-d20,1,1,1,1,1,1,1.0
291,20,v21-replay-0291,v21-scene-d20,1,1,0,1,1,1,0.945714
292,20,v21-replay-0292,v21-scene-d20,1,1,1,1,1,1,0.993333
293,20,v21-replay-0293,v21-scene-d20,1,1,1,1,1,1,1.0
294,20,v21-replay-0294,v21-scene-d20,1,1,1,1,1,1,1.0
295,20,v21-replay-0295,v21-scene-d20,1,1,1,1,1,1,0.993333
296,20,v21-replay-0296,v21-scene-d20,1,1,1,1,1,1,0.971429
297,20,v21-replay-0297,v21-scene-d20,1,1,1,1,1,1,0.993333
298,20,v21-replay-0298,v21-scene-d20,1,1,1,1,1,1,0.993333
299,20,v21-replay-0299,v21-scene-d20,1,1,1,1,1,1,0.989524
300,21,v21-replay-0300,v21-scene-d21,1,1,1,1,1,1,0.993333
301,21,v21-replay-0301,v21-scene-d21,1,1,1,1,1,1,0.971429
302,21,v21-replay-0302,v21-scene-d21,1,1,1,1,1,1,0.993333
303,21,v21-replay-0303,v21-scene-d21,1,1,1,1,1,1,0.971429
304,21,v21-replay-0304,v21-scene-d21,1,1,1,1,1,1,1.0
305,21,v21-replay-0305,v21-scene-d21,1,1,1,1,1,1,1.0
306,21,v21-replay-0306,v21-scene-d21,1,1,0,1,1,1,0.91
307,21,v21-replay-0307,v21-scene-d21,1,1,1,1,1,1,1.0
308,21,v21-replay-0308,v21-scene-d21,1,1,1,1,1,1,0.993333
309,21,v21-replay-0309,v21-scene-d21,1,1,1,1,1,1,1.0
310,21,v21-replay-0310,v21-scene-d21,1,1,1,1,1,1,1.0
311,21,v21-replay-0311,v21-scene-d21,1,1,1,1,1,1,1.0
312,21,v21-replay-0312,v21-scene-d21,1,1,1,0,1,1,0.964286
313,21,v21-replay-0313,v21-scene-d21,1,1,1,1,1,1,1.0
314,21,v21-replay-0314,v21-scene-d21,1,1,0,1,1,1,0.952381
315,22,v21-replay-0315,v21-scene-d22,1,1,1,1,1,1,1.0
316,22,v21-replay-0316,v21-scene-d22,1,1,1,1,1,1,1.0
317,22,v21-replay-0317,v21-scene-d22,1,1,1,1,1,1,1.0
318,22,v21-replay-0318,v21-scene-d22,1,1,1,1,1,1,1.0
319,22,v21-replay-0319,v21-scene-d22,1,1,1,1,1,1,0.993333
320,22,v21-replay-0320,v21-scene-d22,1,1,1,1,1,1,1.0
321,22,v21-replay-0321,v21-scene-d22,1,1,1,1,1,1,1.0
322,22,v21-replay-0322,v21-scene-d22,1,1,1,1,1,1,1.0
323,22,v21-replay-0323,v21-scene-d22,1,1,1,1,1,1,1.0
324,22,v21-replay-0324,v21-scene-d22,1,1,1,1,1,1,1.0
325,22,v21-replay-0325,v21-scene-d22,1,1,1,1,1,1,1.0
326,22,v21-replay-0326,v21-scene-d22,1,1,1,1,1,1,1.0
327,22,v21-replay-0327,v21-scene-d22,1,1,1,1,1,1,1.0
328,22,v21-replay-0328,v21-scene-d22,1,1,1,1,1,1,1.0
329,22,v21-replay-0329,v21-scene-d22,1,1,1,1,1,1,1.0
330,23,v21-replay-0330,v21-scene-d23,1,1,1,1,1,1,0.971429
331,23,v21-replay-0331,v21-scene-d23,1,1,1,1,1,1,1.0
332,23,v21-replay-0332,v21-scene-d23,1,1,1,1,1,1,1.0
333,23,v21-replay-0333,v21-scene-d23,1,1,1,1,1,1,1.0
334,23,v21-replay-0334,v21-scene-d23,1,1,1,1,1,1,0.993333
335,23,v21-replay-0335,v21-scene-d23,1,1,1,1,1,1,1.0
336,23,v21-replay-0336,v21-scene-d23,1,1,1,1,1,1,0.993333
337,23,v21-replay-0337,v21-scene-d23,1,1,1,1,1,1,0.971429
338,23,v21-replay-0338,v21-scene-d23,1,1,1,1,1,1,1.0
339,23,v21-replay-0339,v21-scene-d23,1,1,1,1,1,1,1.0
340,23,v21-replay-0340,v21-scene-d23,1,1,1,1,1,1,0.964762
341,23,v21-replay-0341,v21-scene-d23,1,0,1,0,1,1,0.815
342,23,v21-replay-0342,v21-scene-d23,1,1,1,1,1,1,0.993333
343,23,v21-replay-0343,v21-scene-d23,1,1,1,0,1,1,0.935714
344,23,v21-replay-0344,v21-scene-d23,1,1,1,1,1,1,1.0
345,24,v21-replay-0345,v21-scene-d24,1,1,0,1,1,1,0.945714
346,24,v21-replay-0346,v21-scene-d24,1,1,1,1,1,1,0.993333
347,24,v21-replay-0347,v21-scene-d24,1,1,1,1,1,1,0.993333
348,24,v21-replay-0348,v21-scene-d24,1,1,1,1,1,1,1.0
349,24,v21-replay-0349,v21-scene-d24,1,1,1,1,1,1,0.964286
350,24,v21-replay-0350,v21-scene-d24,1,1,1,1,1,1,1.0
351,24,v21-replay-0351,v21-scene-d24,1,1,0,1,1,1,0.945714
352,24,v21-replay-0352,v21-scene-d24,1,1,1,1,1,1,0.993333
353,24,v21-replay-0353,v21-scene-d24,1,1,1,1,1,1,1.0
354,24,v21-replay-0354,v21-scene-d24,1,1,1,1,1,1,1.0
355,24,v21-replay-0355,v21-scene-d24,1,1,1,1,1,1,1.0
356,24,v21-replay-0356,v21-scene-d24,1,1,1,1,1,1,1.0
357,24,v21-replay-0357,v21-scene-d24,1,1,1,1,1,1,0.993333
358,24,v21-replay-0358,v21-scene-d24,1,1,1,1,1,1,0.993333
