frame_id,generation,simulated_year,household,public_lineage_marker,public_learning_marker,public_avatar_legacy_marker,private_inheritance_hint,welfare_marker,replay_checkpoint,trace_integrity_token
1,1,52,Hearthnest,gen 1 year 52: Hearthnest carries 7 stories,adult_transmission learns lum-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.40,hash=5f361899d797; strongest=lum-g10; semantic=0.99,welfare inheritance intact,r246-gen01-Hearthnest,r246:1:e9d4944b0c
25,5,260,Hearthnest,gen 5 year 260: Hearthnest carries 11 stories,adult_transmission learns ori-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.51,hash=c2138f34e313; strongest=lum-g50; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:25:57edfe40f4
26,5,260,Routehall,gen 5 year 260: Routehall carries 11 stories,adult_transmission learns nari-voice; confidence=0.84,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.49,hash=8a99a6d67def; strongest=tek-g50; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:26:0bf6ec3d2e
27,5,260,Marketroof,gen 5 year 260: Marketroof carries 11 stories,adult_transmission learns keth-voice; confidence=0.84,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.49,hash=4b59817e5d0b; strongest=melo-g50; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:27:5ee0f89979
28,5,260,Quietledger,gen 5 year 260: Quietledger carries 12 stories,adult_transmission learns vonn-voice; confidence=0.84,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.49,hash=0306bcf24d96; strongest=nari-g50; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:28:b28a477ac9
29,5,260,Orchardring,gen 5 year 260: Orchardring carries 11 stories,adult_transmission learns melo-voice; confidence=0.84,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.49,hash=8f9c85544b23; strongest=lum-g50; semantic=0.97,welfare inheritance needs review,no_checkpoint,r246:29:26772f24da
30,5,260,Rainloft,gen 5 year 260: Rainloft carries 12 stories,adult_transmission learns vonn-voice; confidence=0.84,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.49,hash=6b9bb4fae763; strongest=sova-g50; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:30:551db89893
31,6,312,Hearthnest,gen 6 year 312: Hearthnest carries 12 stories,adult_transmission learns sova-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.53,hash=1da8cc6bfc25; strongest=lum-g00; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:31:d23a40c8d3
32,6,312,Routehall,gen 6 year 312: Routehall carries 12 stories,adult_transmission learns keth-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.51,hash=76ac1f3200b8; strongest=tek-g00; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:32:fd1e896ed3
33,6,312,Marketroof,gen 6 year 312: Marketroof carries 12 stories,adult_transmission learns vonn-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.51,hash=8b07bcefa5a0; strongest=melo-g00; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:33:27e1d16add
34,6,312,Quietledger,gen 6 year 312: Quietledger carries 13 stories,adult_transmission learns sova-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.50,hash=b9e1495d5090; strongest=nari-g00; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:34:24278f08b0
35,6,312,Orchardring,gen 6 year 312: Orchardring carries 12 stories,adult_transmission learns tek-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.51,hash=b3efc0e2cb8c; strongest=lum-g00; semantic=0.98,welfare inheritance needs review,no_checkpoint,r246:35:7c22077c59
36,6,312,Rainloft,gen 6 year 312: Rainloft carries 13 stories,adult_transmission learns nari-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.51,hash=2af1c546823b; strongest=sova-g00; semantic=1.00,welfare inheritance intact,r246-gen06-Rainloft,r246:36:226b1a143e
37,7,364,Hearthnest,gen 7 year 364: Hearthnest carries 13 stories,adult_transmission learns lum-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.54,hash=755750c55087; strongest=lum-g10; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:37:8e978282c6
38,7,364,Routehall,gen 7 year 364: Routehall carries 13 stories,adult_transmission learns tek-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.52,hash=a570290bfdc5; strongest=tek-g10; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:38:fc292e9e68
39,7,364,Marketroof,gen 7 year 364: Marketroof carries 13 stories,adult_transmission learns melo-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.53,hash=5db00a903bfb; strongest=melo-g10; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:39:a3ca5d23f2
40,7,364,Quietledger,gen 7 year 364: Quietledger carries 14 stories,adult_transmission learns nari-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.52,hash=81b2bf46503c; strongest=nari-g10; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:40:ace887ea26
41,7,364,Orchardring,gen 7 year 364: Orchardring carries 13 stories,adult_transmission learns lum-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.53,hash=e6b38ffeb982; strongest=lum-g10; semantic=0.98,welfare inheritance needs review,no_checkpoint,r246:41:672e9e49ad
42,7,364,Rainloft,gen 7 year 364: Rainloft carries 14 stories,adult_transmission learns sova-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.52,hash=09fd6d0f0678; strongest=sova-g10; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:42:6f736eff2d
43,8,416,Hearthnest,gen 8 year 416: Hearthnest carries 14 stories,adult_transmission learns ori-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.56,hash=478cdbd36216; strongest=lum-g20; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:43:d9285ff651
44,8,416,Routehall,gen 8 year 416: Routehall carries 14 stories,adult_transmission learns nari-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.54,hash=85001db07deb; strongest=tek-g20; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:44:0c9c5e3ed3
45,8,416,Marketroof,gen 8 year 416: Marketroof carries 14 stories,adult_transmission learns keth-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.54,hash=7fc52faab503; strongest=melo-g20; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:45:df3e7a2fec
46,8,416,Quietledger,gen 8 year 416: Quietledger carries 15 stories,adult_transmission learns vonn-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.53,hash=11b120e398f2; strongest=nari-g20; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:46:f38b965041
47,8,416,Orchardring,gen 8 year 416: Orchardring carries 14 stories,adult_transmission learns melo-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.54,hash=cf0ca7293110; strongest=lum-g20; semantic=0.98,welfare inheritance needs review,no_checkpoint,r246:47:eb572ba3de
48,8,416,Rainloft,gen 8 year 416: Rainloft carries 15 stories,adult_transmission learns vonn-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.54,hash=b7c4b3a5a9f3; strongest=sova-g20; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:48:ee58b2ed9c
49,9,468,Hearthnest,gen 9 year 468: Hearthnest carries 15 stories,adult_transmission learns sova-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.58,hash=ca0cb928ef37; strongest=lum-g30; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:49:b0cfba0d52
50,9,468,Routehall,gen 9 year 468: Routehall carries 15 stories,adult_transmission learns keth-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.55,hash=2a1b408a8c0a; strongest=tek-g30; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:50:3614a72f38
51,9,468,Marketroof,gen 9 year 468: Marketroof carries 15 stories,adult_transmission learns vonn-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.55,hash=88395d819e4f; strongest=melo-g30; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:51:70da7c3859
52,9,468,Quietledger,gen 9 year 468: Quietledger carries 16 stories,adult_transmission learns sova-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.55,hash=4c53b755cb5e; strongest=nari-g30; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:52:21a65b0303
53,9,468,Orchardring,gen 9 year 468: Orchardring carries 15 stories,adult_transmission learns tek-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.56,hash=0ec80187abb2; strongest=lum-g30; semantic=0.98,welfare inheritance needs review,no_checkpoint,r246:53:5d6f26a771
54,9,468,Rainloft,gen 9 year 468: Rainloft carries 16 stories,adult_transmission learns nari-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.55,hash=1d17f500d219; strongest=sova-g30; semantic=1.00,welfare inheritance intact,r246-gen09-Rainloft,r246:54:725151085f
55,10,520,Hearthnest,gen 10 year 520: Hearthnest carries 16 stories,adult_transmission learns lum-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.59,hash=bd456f7da4c5; strongest=lum-g40; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:55:b23dcd3d7a
56,10,520,Routehall,gen 10 year 520: Routehall carries 16 stories,adult_transmission learns tek-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.56,hash=ce8ec4321fd9; strongest=tek-g40; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:56:5c56b48a96
57,10,520,Marketroof,gen 10 year 520: Marketroof carries 16 stories,adult_transmission learns melo-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.57,hash=d0c09744724a; strongest=melo-g40; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:57:d4c88892da
58,10,520,Quietledger,gen 10 year 520: Quietledger carries 17 stories,adult_transmission learns nari-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.56,hash=b501e593cacb; strongest=nari-g40; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:58:41324541be
59,10,520,Orchardring,gen 10 year 520: Orchardring carries 16 stories,adult_transmission learns lum-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.57,hash=fd0d5a553905; strongest=lum-g40; semantic=0.97,welfare inheritance needs review,no_checkpoint,r246:59:5080e9297c
60,10,520,Rainloft,gen 10 year 520: Rainloft carries 17 stories,adult_transmission learns sova-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.56,hash=277e2524cf97; strongest=sova-g40; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:60:ec7616d665
61,11,572,Hearthnest,gen 11 year 572: Hearthnest carries 17 stories,adult_transmission learns ori-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.60,hash=e59ea5912711; strongest=lum-g50; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:61:ae8cf62fbd
62,11,572,Routehall,gen 11 year 572: Routehall carries 17 stories,adult_transmission learns nari-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.57,hash=f0737303b5f9; strongest=tek-g50; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:62:fa8c2fd039
63,11,572,Marketroof,gen 11 year 572: Marketroof carries 17 stories,adult_transmission learns keth-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.58,hash=0822c72e656a; strongest=melo-g50; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:63:75e289b1d9
64,11,572,Quietledger,gen 11 year 572: Quietledger carries 18 stories,adult_transmission learns vonn-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.57,hash=e695dc188872; strongest=nari-g50; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:64:cbbba48754
65,11,572,Orchardring,gen 11 year 572: Orchardring carries 17 stories,adult_transmission learns melo-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.58,hash=dfaa2f53c42b; strongest=lum-g50; semantic=0.98,welfare inheritance needs review,no_checkpoint,r246:65:517307b000
66,11,572,Rainloft,gen 11 year 572: Rainloft carries 18 stories,adult_transmission learns vonn-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.57,hash=bcceb5fdd065; strongest=sova-g50; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:66:e2d29f8ef8
67,12,624,Hearthnest,gen 12 year 624: Hearthnest carries 18 stories,adult_transmission learns sova-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.61,hash=ee961add3407; strongest=lum-g00; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:67:c781fb83e8
68,12,624,Routehall,gen 12 year 624: Routehall carries 18 stories,adult_transmission learns keth-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.58,hash=3b1b2ca6e5e1; strongest=tek-g00; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:68:df85a14b87
69,12,624,Marketroof,gen 12 year 624: Marketroof carries 18 stories,adult_transmission learns vonn-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.59,hash=faed1833b235; strongest=melo-g00; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:69:bf5718182e
70,12,624,Quietledger,gen 12 year 624: Quietledger carries 19 stories,adult_transmission learns sova-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.58,hash=e5660825bc3b; strongest=nari-g00; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:70:148dad34d6
71,12,624,Orchardring,gen 12 year 624: Orchardring carries 18 stories,adult_transmission learns tek-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.59,hash=52a243d6a7e8; strongest=lum-g00; semantic=0.97,welfare inheritance needs review,no_checkpoint,r246:71:11c3cb0fe6
72,12,624,Rainloft,gen 12 year 624: Rainloft carries 19 stories,adult_transmission learns nari-voice; confidence=0.86,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.58,hash=4fe62020b70d; strongest=sova-g00; semantic=1.00,welfare inheritance intact,r246-gen12-Rainloft,r246:72:2e38a6f941
73,13,676,Hearthnest,gen 13 year 676: Hearthnest carries 19 stories,adult_transmission learns lum-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=13baf1c301d6; strongest=lum-g10; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:73:babeed2214
74,13,676,Routehall,gen 13 year 676: Routehall carries 19 stories,adult_transmission learns tek-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.59,hash=ca865a229361; strongest=tek-g10; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:74:6a0545d3f1
75,13,676,Marketroof,gen 13 year 676: Marketroof carries 19 stories,adult_transmission learns melo-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.59,hash=cbaf5e89fda1; strongest=melo-g10; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:75:13a78766ed
76,13,676,Quietledger,gen 13 year 676: Quietledger carries 20 stories,adult_transmission learns nari-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.59,hash=45ce7c6ced84; strongest=nari-g10; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:76:80d812a4dd
77,13,676,Orchardring,gen 13 year 676: Orchardring carries 19 stories,adult_transmission learns lum-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.60,hash=be6b4dfa263b; strongest=lum-g10; semantic=0.97,welfare inheritance needs review,no_checkpoint,r246:77:e6614dd033
78,13,676,Rainloft,gen 13 year 676: Rainloft carries 20 stories,adult_transmission learns sova-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.59,hash=9fd75f63f6d7; strongest=sova-g10; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:78:c88f2c07f1
79,14,728,Hearthnest,gen 14 year 728: Hearthnest carries 20 stories,adult_transmission learns ori-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.63,hash=cc43fc9992cd; strongest=lum-g20; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:79:25acaa21be
80,14,728,Routehall,gen 14 year 728: Routehall carries 20 stories,adult_transmission learns nari-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.60,hash=c9054425360d; strongest=tek-g20; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:80:6003abe996
81,14,728,Marketroof,gen 14 year 728: Marketroof carries 20 stories,adult_transmission learns keth-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.60,hash=0f34da2d053a; strongest=melo-g20; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:81:a71d046f90
82,14,728,Quietledger,gen 14 year 728: Quietledger carries 21 stories,adult_transmission learns vonn-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.60,hash=b12ff34af8e7; strongest=nari-g20; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:82:036b2a481d
83,14,728,Orchardring,gen 14 year 728: Orchardring carries 20 stories,adult_transmission learns melo-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.61,hash=e517a987c9ab; strongest=lum-g20; semantic=0.97,welfare inheritance needs review,no_checkpoint,r246:83:88fa9db6ce
84,14,728,Rainloft,gen 14 year 728: Rainloft carries 21 stories,adult_transmission learns vonn-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.60,hash=28b9a2912196; strongest=sova-g20; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:84:203aa837af
85,15,780,Hearthnest,gen 15 year 780: Hearthnest carries 21 stories,adult_transmission learns sova-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.64,hash=a739af982126; strongest=lum-g30; semantic=0.96,welfare inheritance intact,no_checkpoint,r246:85:d470193cfa
86,15,780,Routehall,gen 15 year 780: Routehall carries 21 stories,adult_transmission learns keth-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.61,hash=bc5425eeaeff; strongest=tek-g30; semantic=0.96,welfare inheritance intact,no_checkpoint,r246:86:603019efcc
87,15,780,Marketroof,gen 15 year 780: Marketroof carries 21 stories,adult_transmission learns vonn-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.61,hash=124d093e4e7e; strongest=melo-g30; semantic=0.96,welfare inheritance intact,no_checkpoint,r246:87:a3b0d8f711
88,15,780,Quietledger,gen 15 year 780: Quietledger carries 22 stories,adult_transmission learns sova-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.60,hash=c354b71506de; strongest=nari-g30; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:88:83522636f1
89,15,780,Orchardring,gen 15 year 780: Orchardring carries 21 stories,adult_transmission learns tek-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=48541cfc94e8; strongest=lum-g30; semantic=0.96,welfare inheritance needs review,no_checkpoint,r246:89:666ea99c5e
90,15,780,Rainloft,gen 15 year 780: Rainloft carries 22 stories,adult_transmission learns nari-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.60,hash=1bd7bd278b4e; strongest=sova-g30; semantic=1.00,welfare inheritance intact,r246-gen15-Rainloft,r246:90:d387fc0386
