tick,day,visit_id,scene_id,agent,avatar_action,visit_number_for_agent,open_obligation_count_before,open_obligation_count_after,visit_bound_to_prior_state,scene_visit_score
72,5,v24-visit-nari-013,v24-scene-d05,Nari,return,13,0,0,0,0.75
73,5,v24-visit-keth-012,v24-scene-d05,Keth,repair,12,0,0,0,0.75
74,5,v24-visit-sova-013,v24-scene-d05,Sova,return,13,0,0,0,0.75
75,5,v24-visit-sova-014,v24-scene-d05,Sova,repair,14,0,1,1,1.0
76,5,v24-visit-melo-014,v24-scene-d05,Melo,return,14,0,0,0,0.75
77,5,v24-visit-vonn-013,v24-scene-d05,Vonn,listen,13,0,0,0,0.75
78,5,v24-visit-sova-015,v24-scene-d05,Sova,defer,15,1,1,1,1.0
79,5,v24-visit-melo-015,v24-scene-d05,Melo,return,15,0,0,0,0.75
80,5,v24-visit-ori-013,v24-scene-d05,Ori,return,13,0,0,0,0.75
81,5,v24-visit-keth-013,v24-scene-d05,Keth,return,13,0,0,0,0.75
82,5,v24-visit-melo-016,v24-scene-d05,Melo,wait,16,0,1,1,1.0
83,5,v24-visit-vonn-014,v24-scene-d05,Vonn,return,14,0,0,0,0.75
84,5,v24-visit-keth-014,v24-scene-d05,Keth,return,14,0,0,0,0.75
85,5,v24-visit-sova-016,v24-scene-d05,Sova,return,16,1,0,1,1.0
86,5,v24-visit-ori-014,v24-scene-d05,Ori,defer,14,0,1,1,1.0
87,5,v24-visit-keth-015,v24-scene-d05,Keth,return,15,0,1,1,1.0
88,5,v24-visit-keth-016,v24-scene-d05,Keth,return,16,1,0,1,1.0
89,5,v24-visit-ori-015,v24-scene-d05,Ori,wait,15,1,1,1,1.0
90,6,v24-visit-melo-017,v24-scene-d06,Melo,return,17,1,1,1,1.0
91,6,v24-visit-ori-016,v24-scene-d06,Ori,return,16,1,0,1,1.0
92,6,v24-visit-melo-018,v24-scene-d06,Melo,return,18,1,1,1,1.0
93,6,v24-visit-keth-017,v24-scene-d06,Keth,listen,17,0,0,0,0.75
94,6,v24-visit-keth-018,v24-scene-d06,Keth,return,18,0,0,0,0.75
95,6,v24-visit-ori-017,v24-scene-d06,Ori,return,17,0,0,0,0.75
96,6,v24-visit-melo-019,v24-scene-d06,Melo,return,19,1,0,1,1.0
97,6,v24-visit-melo-020,v24-scene-d06,Melo,return,20,0,0,0,0.75
98,6,v24-visit-ori-018,v24-scene-d06,Ori,return,18,0,0,0,0.75
99,6,v24-visit-ori-019,v24-scene-d06,Ori,return,19,0,0,0,0.75
100,6,v24-visit-melo-021,v24-scene-d06,Melo,defer,21,0,1,1,1.0
101,6,v24-visit-melo-022,v24-scene-d06,Melo,return,22,1,0,1,1.0
102,6,v24-visit-vonn-015,v24-scene-d06,Vonn,return,15,0,0,0,0.75
103,6,v24-visit-melo-023,v24-scene-d06,Melo,return,23,0,0,0,0.75
104,6,v24-visit-sova-017,v24-scene-d06,Sova,defer,17,0,1,1,1.0
105,6,v24-visit-sova-018,v24-scene-d06,Sova,return,18,1,1,1,1.0
106,6,v24-visit-sova-019,v24-scene-d06,Sova,return,19,1,0,1,1.0
107,6,v24-visit-ori-020,v24-scene-d06,Ori,return,20,0,0,0,0.75
108,7,v24-visit-nari-014,v24-scene-d07,Nari,repair,14,0,0,0,0.75
109,7,v24-visit-vonn-016,v24-scene-d07,Vonn,offer_help,16,0,0,0,0.75
110,7,v24-visit-vonn-017,v24-scene-d07,Vonn,ask,17,0,1,1,1.0
111,7,v24-visit-keth-019,v24-scene-d07,Keth,defer,19,0,1,1,1.0
112,7,v24-visit-nari-015,v24-scene-d07,Nari,return,15,0,0,0,0.75
113,7,v24-visit-melo-024,v24-scene-d07,Melo,return,24,0,0,0,0.75
114,7,v24-visit-ori-021,v24-scene-d07,Ori,return,21,0,0,0,0.75
115,7,v24-visit-melo-025,v24-scene-d07,Melo,listen,25,0,1,1,1.0
116,7,v24-visit-ori-022,v24-scene-d07,Ori,return,22,0,0,0,0.75
117,7,v24-visit-keth-020,v24-scene-d07,Keth,return,20,1,0,1,1.0
118,7,v24-visit-melo-026,v24-scene-d07,Melo,return,26,1,0,1,1.0
119,7,v24-visit-keth-021,v24-scene-d07,Keth,defer,21,0,1,1,1.0
120,7,v24-visit-nari-016,v24-scene-d07,Nari,return,16,0,0,0,0.75
121,7,v24-visit-melo-027,v24-scene-d07,Melo,defer,27,0,0,0,0.75
122,7,v24-visit-ori-023,v24-scene-d07,Ori,take,23,0,1,1,1.0
123,7,v24-visit-ori-024,v24-scene-d07,Ori,return,24,1,0,1,1.0
124,7,v24-visit-vonn-018,v24-scene-d07,Vonn,return,18,1,1,1,0.75
125,7,v24-visit-nari-017,v24-scene-d07,Nari,ignore,17,0,0,0,0.75
126,8,v24-visit-melo-028,v24-scene-d08,Melo,defer,28,0,1,1,1.0
127,8,v24-visit-keth-022,v24-scene-d08,Keth,return,22,1,0,1,1.0
128,8,v24-visit-sova-020,v24-scene-d08,Sova,return,20,0,0,0,0.75
129,8,v24-visit-sova-021,v24-scene-d08,Sova,listen,21,0,0,0,0.75
130,8,v24-visit-sova-022,v24-scene-d08,Sova,offer_help,22,0,0,0,0.75
131,8,v24-visit-keth-023,v24-scene-d08,Keth,return,23,0,0,0,0.75
132,8,v24-visit-ori-025,v24-scene-d08,Ori,return,25,0,0,0,0.75
133,8,v24-visit-sova-023,v24-scene-d08,Sova,wait,23,0,0,0,0.75
134,8,v24-visit-nari-018,v24-scene-d08,Nari,offer_help,18,0,0,0,0.75
135,8,v24-visit-sova-024,v24-scene-d08,Sova,return,24,0,0,0,0.75
136,8,v24-visit-ori-026,v24-scene-d08,Ori,return,26,0,0,0,0.75
137,8,v24-visit-ori-027,v24-scene-d08,Ori,return,27,0,0,0,0.75
138,8,v24-visit-vonn-019,v24-scene-d08,Vonn,return,19,1,1,1,1.0
139,8,v24-visit-melo-029,v24-scene-d08,Melo,return,29,1,0,1,1.0
140,8,v24-visit-keth-024,v24-scene-d08,Keth,return,24,0,0,0,0.75
141,8,v24-visit-sova-025,v24-scene-d08,Sova,repair,25,0,0,0,0.75
142,8,v24-visit-sova-026,v24-scene-d08,Sova,return,26,0,0,0,0.75
143,8,v24-visit-ori-028,v24-scene-d08,Ori,return,28,0,1,1,1.0
144,9,v24-visit-melo-030,v24-scene-d09,Melo,defer,30,0,1,1,1.0
145,9,v24-visit-sova-027,v24-scene-d09,Sova,ask,27,0,0,0,0.75
146,9,v24-visit-melo-031,v24-scene-d09,Melo,return,31,1,0,1,1.0
147,9,v24-visit-melo-032,v24-scene-d09,Melo,return,32,0,0,0,0.75
148,9,v24-visit-ori-029,v24-scene-d09,Ori,take,29,1,2,1,1.0
149,9,v24-visit-melo-033,v24-scene-d09,Melo,ignore,33,0,0,0,0.75
150,9,v24-visit-keth-025,v24-scene-d09,Keth,return,25,0,0,0,0.75
151,9,v24-visit-sova-028,v24-scene-d09,Sova,return,28,0,0,0,0.75
152,9,v24-visit-melo-034,v24-scene-d09,Melo,ask,34,0,1,1,1.0
153,9,v24-visit-vonn-020,v24-scene-d09,Vonn,return,20,1,1,1,0.75
154,9,v24-visit-keth-026,v24-scene-d09,Keth,return,26,0,0,0,0.75
155,9,v24-visit-nari-019,v24-scene-d09,Nari,repair,19,0,1,1,1.0
156,9,v24-visit-keth-027,v24-scene-d09,Keth,return,27,0,0,0,0.75
157,9,v24-visit-nari-020,v24-scene-d09,Nari,return,20,1,0,1,1.0
158,9,v24-visit-vonn-021,v24-scene-d09,Vonn,return,21,1,1,1,1.0
159,9,v24-visit-sova-029,v24-scene-d09,Sova,wait,29,0,1,1,1.0
160,9,v24-visit-keth-028,v24-scene-d09,Keth,return,28,0,1,1,1.0
161,9,v24-visit-ori-030,v24-scene-d09,Ori,return,30,2,1,1,1.0
162,10,v24-visit-ori-031,v24-scene-d10,Ori,return,31,1,0,1,1.0
163,10,v24-visit-melo-035,v24-scene-d10,Melo,defer,35,1,1,1,1.0
164,10,v24-visit-keth-029,v24-scene-d10,Keth,return,29,1,0,1,1.0
165,10,v24-visit-keth-030,v24-scene-d10,Keth,wait,30,0,0,0,0.75
166,10,v24-visit-ori-032,v24-scene-d10,Ori,ask,32,0,1,1,1.0
167,10,v24-visit-sova-030,v24-scene-d10,Sova,return,30,1,0,1,1.0
168,10,v24-visit-melo-036,v24-scene-d10,Melo,return,36,1,0,1,1.0
169,10,v24-visit-nari-021,v24-scene-d10,Nari,listen,21,0,0,0,0.75
170,10,v24-visit-nari-022,v24-scene-d10,Nari,defer,22,0,1,1,1.0
171,10,v24-visit-melo-037,v24-scene-d10,Melo,return,37,0,0,0,0.75
172,10,v24-visit-ori-033,v24-scene-d10,Ori,return,33,1,1,1,1.0
173,10,v24-visit-ori-034,v24-scene-d10,Ori,return,34,1,0,1,1.0
174,10,v24-visit-keth-031,v24-scene-d10,Keth,defer,31,0,1,1,1.0
175,10,v24-visit-vonn-022,v24-scene-d10,Vonn,ignore,22,1,1,1,1.0
176,10,v24-visit-keth-032,v24-scene-d10,Keth,return,32,1,0,1,1.0
177,10,v24-visit-ori-035,v24-scene-d10,Ori,ask,35,0,0,0,0.75
178,10,v24-visit-vonn-023,v24-scene-d10,Vonn,repair,23,1,0,1,1.0
179,10,v24-visit-sova-031,v24-scene-d10,Sova,return,31,0,0,0,0.75
180,11,v24-visit-melo-038,v24-scene-d11,Melo,return,38,0,0,0,0.75
181,11,v24-visit-sova-032,v24-scene-d11,Sova,ask,32,0,0,0,0.75
182,11,v24-visit-ori-036,v24-scene-d11,Ori,return,36,0,0,0,0.75
183,11,v24-visit-vonn-024,v24-scene-d11,Vonn,return,24,0,0,0,0.75
184,11,v24-visit-melo-039,v24-scene-d11,Melo,return,39,0,0,0,0.75
185,11,v24-visit-nari-023,v24-scene-d11,Nari,take,23,1,1,1,1.0
186,11,v24-visit-sova-033,v24-scene-d11,Sova,return,33,0,0,0,0.75
187,11,v24-visit-nari-024,v24-scene-d11,Nari,return,24,1,0,1,1.0
188,11,v24-visit-vonn-025,v24-scene-d11,Vonn,defer,25,0,1,1,1.0
189,11,v24-visit-melo-040,v24-scene-d11,Melo,wait,40,0,0,0,0.75
190,11,v24-visit-vonn-026,v24-scene-d11,Vonn,ignore,26,1,1,1,1.0
191,11,v24-visit-ori-037,v24-scene-d11,Ori,return,37,0,0,0,0.75
192,11,v24-visit-ori-038,v24-scene-d11,Ori,defer,38,0,1,1,1.0
193,11,v24-visit-keth-033,v24-scene-d11,Keth,return,33,0,0,0,0.75
194,11,v24-visit-nari-025,v24-scene-d11,Nari,return,25,0,1,1,1.0
195,11,v24-visit-keth-034,v24-scene-d11,Keth,return,34,0,0,0,0.75
196,11,v24-visit-keth-035,v24-scene-d11,Keth,repair,35,0,0,0,0.75
197,11,v24-visit-keth-036,v24-scene-d11,Keth,return,36,0,0,0,0.75
198,12,v24-visit-melo-041,v24-scene-d12,Melo,return,41,0,0,0,0.75
199,12,v24-visit-nari-026,v24-scene-d12,Nari,wait,26,1,1,1,1.0
200,12,v24-visit-keth-037,v24-scene-d12,Keth,return,37,0,0,0,0.75
201,12,v24-visit-vonn-027,v24-scene-d12,Vonn,ignore,27,1,1,1,1.0
202,12,v24-visit-melo-042,v24-scene-d12,Melo,return,42,0,0,0,0.75
203,12,v24-visit-nari-027,v24-scene-d12,Nari,wait,27,1,2,1,1.0
204,12,v24-visit-vonn-028,v24-scene-d12,Vonn,take,28,1,1,1,1.0
205,12,v24-visit-keth-038,v24-scene-d12,Keth,listen,38,0,0,0,0.75
206,12,v24-visit-ori-039,v24-scene-d12,Ori,return,39,1,1,1,1.0
207,12,v24-visit-ori-040,v24-scene-d12,Ori,take,40,1,1,1,1.0
208,12,v24-visit-sova-034,v24-scene-d12,Sova,return,34,0,0,0,0.75
209,12,v24-visit-melo-043,v24-scene-d12,Melo,return,43,0,0,0,0.75
210,12,v24-visit-vonn-029,v24-scene-d12,Vonn,take,29,1,1,1,1.0
211,12,v24-visit-sova-035,v24-scene-d12,Sova,return,35,0,1,1,0.75
212,12,v24-visit-sova-036,v24-scene-d12,Sova,return,36,1,1,1,1.0
213,12,v24-visit-keth-039,v24-scene-d12,Keth,return,39,0,0,0,0.75
214,12,v24-visit-ori-041,v24-scene-d12,Ori,offer_help,41,1,0,1,1.0
215,12,v24-visit-keth-040,v24-scene-d12,Keth,return,40,0,0,0,0.75
216,13,v24-visit-sova-037,v24-scene-d13,Sova,return,37,1,0,1,1.0
217,13,v24-visit-ori-042,v24-scene-d13,Ori,offer_help,42,0,0,0,0.75
218,13,v24-visit-ori-043,v24-scene-d13,Ori,listen,43,0,1,1,1.0
219,13,v24-visit-sova-038,v24-scene-d13,Sova,return,38,0,0,0,0.75
220,13,v24-visit-nari-028,v24-scene-d13,Nari,return,28,2,1,1,1.0
221,13,v24-visit-keth-041,v24-scene-d13,Keth,ignore,41,0,0,0,0.75
222,13,v24-visit-nari-029,v24-scene-d13,Nari,return,29,1,0,1,1.0
223,13,v24-visit-nari-030,v24-scene-d13,Nari,return,30,0,1,1,1.0
224,13,v24-visit-ori-044,v24-scene-d13,Ori,return,44,1,0,1,1.0
225,13,v24-visit-nari-031,v24-scene-d13,Nari,take,31,1,1,1,1.0
226,13,v24-visit-nari-032,v24-scene-d13,Nari,return,32,1,0,1,1.0
227,13,v24-visit-melo-044,v24-scene-d13,Melo,return,44,0,0,0,0.75
228,13,v24-visit-melo-045,v24-scene-d13,Melo,return,45,0,1,1,1.0
229,13,v24-visit-keth-042,v24-scene-d13,Keth,repair,42,0,0,0,0.75
230,13,v24-visit-nari-033,v24-scene-d13,Nari,return,33,0,0,0,0.75
231,13,v24-visit-melo-046,v24-scene-d13,Melo,return,46,1,0,1,1.0
232,13,v24-visit-ori-045,v24-scene-d13,Ori,offer_help,45,0,0,0,0.75
233,13,v24-visit-nari-034,v24-scene-d13,Nari,wait,34,0,0,0,0.75
234,14,v24-visit-ori-046,v24-scene-d14,Ori,return,46,0,0,0,0.75
235,14,v24-visit-vonn-030,v24-scene-d14,Vonn,listen,30,1,1,1,1.0
236,14,v24-visit-ori-047,v24-scene-d14,Ori,listen,47,0,1,1,1.0
237,14,v24-visit-keth-043,v24-scene-d14,Keth,ignore,43,0,0,0,0.75
238,14,v24-visit-keth-044,v24-scene-d14,Keth,return,44,0,0,0,0.75
239,14,v24-visit-keth-045,v24-scene-d14,Keth,return,45,0,0,0,0.75
240,14,v24-visit-keth-046,v24-scene-d14,Keth,defer,46,0,1,1,0.75
241,14,v24-visit-sova-039,v24-scene-d14,Sova,wait,39,0,0,0,0.75
242,14,v24-visit-melo-047,v24-scene-d14,Melo,return,47,0,0,0,0.75
243,14,v24-visit-nari-035,v24-scene-d14,Nari,defer,35,0,1,1,1.0
244,14,v24-visit-melo-048,v24-scene-d14,Melo,return,48,0,0,0,0.75
245,14,v24-visit-sova-040,v24-scene-d14,Sova,repair,40,0,0,0,0.75
246,14,v24-visit-vonn-031,v24-scene-d14,Vonn,wait,31,1,1,1,1.0
247,14,v24-visit-melo-049,v24-scene-d14,Melo,defer,49,0,1,1,1.0
248,14,v24-visit-nari-036,v24-scene-d14,Nari,return,36,1,0,1,1.0
249,14,v24-visit-ori-048,v24-scene-d14,Ori,return,48,1,0,1,1.0
250,14,v24-visit-sova-041,v24-scene-d14,Sova,return,41,0,0,0,0.75
251,14,v24-visit-sova-042,v24-scene-d14,Sova,defer,42,0,1,1,1.0
252,15,v24-visit-nari-037,v24-scene-d15,Nari,return,37,0,0,0,0.75
253,15,v24-visit-keth-047,v24-scene-d15,Keth,return,47,1,0,1,1.0
254,15,v24-visit-keth-048,v24-scene-d15,Keth,defer,48,0,1,1,1.0
255,15,v24-visit-keth-049,v24-scene-d15,Keth,return,49,1,0,1,1.0
256,15,v24-visit-melo-050,v24-scene-d15,Melo,return,50,1,0,1,1.0
257,15,v24-visit-keth-050,v24-scene-d15,Keth,wait,50,0,0,0,0.75
258,15,v24-visit-melo-051,v24-scene-d15,Melo,defer,51,0,1,1,1.0
259,15,v24-visit-melo-052,v24-scene-d15,Melo,return,52,1,0,1,1.0
260,15,v24-visit-ori-049,v24-scene-d15,Ori,return,49,0,0,0,0.75
261,15,v24-visit-keth-051,v24-scene-d15,Keth,listen,51,0,0,0,0.75
262,15,v24-visit-melo-053,v24-scene-d15,Melo,ask,53,0,1,1,1.0
263,15,v24-visit-melo-054,v24-scene-d15,Melo,return,54,1,0,1,1.0
264,15,v24-visit-keth-052,v24-scene-d15,Keth,return,52,0,0,0,0.75
265,15,v24-visit-nari-038,v24-scene-d15,Nari,wait,38,0,0,0,0.75
266,15,v24-visit-keth-053,v24-scene-d15,Keth,return,53,0,0,0,0.75
267,15,v24-visit-melo-055,v24-scene-d15,Melo,return,55,0,0,0,0.75
268,15,v24-visit-melo-056,v24-scene-d15,Melo,return,56,0,0,0,0.75
269,15,v24-visit-vonn-032,v24-scene-d15,Vonn,listen,32,1,0,1,1.0
270,16,v24-visit-ori-050,v24-scene-d16,Ori,return,50,0,0,0,0.75
271,16,v24-visit-keth-054,v24-scene-d16,Keth,return,54,0,0,0,0.75
272,16,v24-visit-keth-055,v24-scene-d16,Keth,return,55,0,0,0,0.75
273,16,v24-visit-vonn-033,v24-scene-d16,Vonn,repair,33,0,0,0,0.75
274,16,v24-visit-keth-056,v24-scene-d16,Keth,return,56,0,1,1,1.0
275,16,v24-visit-ori-051,v24-scene-d16,Ori,return,51,0,0,0,0.75
276,16,v24-visit-nari-039,v24-scene-d16,Nari,return,39,0,0,0,0.75
277,16,v24-visit-keth-057,v24-scene-d16,Keth,return,57,1,1,1,1.0
278,16,v24-visit-vonn-034,v24-scene-d16,Vonn,return,34,0,0,0,0.75
279,16,v24-visit-melo-057,v24-scene-d16,Melo,return,57,0,1,1,1.0
280,16,v24-visit-ori-052,v24-scene-d16,Ori,wait,52,0,1,1,1.0
281,16,v24-visit-sova-043,v24-scene-d16,Sova,return,43,1,0,1,1.0
282,16,v24-visit-sova-044,v24-scene-d16,Sova,return,44,0,0,0,0.75
283,16,v24-visit-vonn-035,v24-scene-d16,Vonn,offer_help,35,0,0,0,0.75
284,16,v24-visit-nari-040,v24-scene-d16,Nari,defer,40,0,1,1,1.0
285,16,v24-visit-melo-058,v24-scene-d16,Melo,return,58,1,0,1,1.0
286,16,v24-visit-vonn-036,v24-scene-d16,Vonn,return,36,0,0,0,0.75
287,16,v24-visit-keth-058,v24-scene-d16,Keth,offer_help,58,1,0,1,1.0
288,17,v24-visit-melo-059,v24-scene-d17,Melo,return,59,0,0,0,0.75
289,17,v24-visit-keth-059,v24-scene-d17,Keth,wait,59,0,0,0,0.75
290,17,v24-visit-melo-060,v24-scene-d17,Melo,return,60,0,0,0,0.75
291,17,v24-visit-vonn-037,v24-scene-d17,Vonn,defer,37,0,1,1,1.0
292,17,v24-visit-sova-045,v24-scene-d17,Sova,return,45,0,0,0,0.75
293,17,v24-visit-vonn-038,v24-scene-d17,Vonn,return,38,1,0,1,1.0
294,17,v24-visit-nari-041,v24-scene-d17,Nari,return,41,1,0,1,1.0
295,17,v24-visit-vonn-039,v24-scene-d17,Vonn,offer_help,39,0,0,0,0.75
296,17,v24-visit-vonn-040,v24-scene-d17,Vonn,defer,40,0,1,1,1.0
297,17,v24-visit-ori-053,v24-scene-d17,Ori,return,53,1,0,1,1.0
298,17,v24-visit-vonn-041,v24-scene-d17,Vonn,listen,41,1,1,1,0.75
299,17,v24-visit-vonn-042,v24-scene-d17,Vonn,wait,42,1,1,1,1.0
300,17,v24-visit-vonn-043,v24-scene-d17,Vonn,take,43,1,1,1,1.0
301,17,v24-visit-nari-042,v24-scene-d17,Nari,repair,42,0,0,0,0.75
302,17,v24-visit-ori-054,v24-scene-d17,Ori,return,54,0,0,0,0.75
303,17,v24-visit-nari-043,v24-scene-d17,Nari,defer,43,0,1,1,1.0
304,17,v24-visit-keth-060,v24-scene-d17,Keth,return,60,0,0,0,0.75
305,17,v24-visit-vonn-044,v24-scene-d17,Vonn,repair,44,1,1,1,1.0
306,18,v24-visit-sova-046,v24-scene-d18,Sova,listen,46,0,1,1,1.0
307,18,v24-visit-keth-061,v24-scene-d18,Keth,return,61,0,0,0,0.75
308,18,v24-visit-ori-055,v24-scene-d18,Ori,return,55,0,1,1,1.0
309,18,v24-visit-keth-062,v24-scene-d18,Keth,offer_help,62,0,0,0,0.75
310,18,v24-visit-keth-063,v24-scene-d18,Keth,return,63,0,0,0,0.75
311,18,v24-visit-ori-056,v24-scene-d18,Ori,return,56,1,1,1,1.0
312,18,v24-visit-vonn-045,v24-scene-d18,Vonn,ignore,45,1,1,1,1.0
313,18,v24-visit-nari-044,v24-scene-d18,Nari,listen,44,1,1,1,1.0
314,18,v24-visit-keth-064,v24-scene-d18,Keth,return,64,0,0,0,0.75
315,18,v24-visit-vonn-046,v24-scene-d18,Vonn,ignore,46,1,1,1,1.0
316,18,v24-visit-sova-047,v24-scene-d18,Sova,return,47,1,1,1,1.0
317,18,v24-visit-melo-061,v24-scene-d18,Melo,ask,61,0,0,0,0.75
318,18,v24-visit-keth-065,v24-scene-d18,Keth,return,65,0,0,0,0.75
319,18,v24-visit-vonn-047,v24-scene-d18,Vonn,ignore,47,1,1,1,1.0
320,18,v24-visit-keth-066,v24-scene-d18,Keth,defer,66,0,1,1,1.0
321,18,v24-visit-melo-062,v24-scene-d18,Melo,return,62,0,0,0,0.75
322,18,v24-visit-ori-057,v24-scene-d18,Ori,return,57,1,0,1,1.0
