tick_id,day,settlement_id,resident_id,plan_id,turn_number,plan_state,avatar_offer,resident_counter,agreed_next_step,plan_quality_before,plan_quality_after,trust_before,trust_after,multi_turn_visible,history_not_erased
44,3,glass_harbor,Nia,f3e72b2c9d,1,accepted,wait for resident lead,do not dim lamp,resident keeps lead; avatar waits,0.448,0.458,0.604,0.61,True,True
46,3,lichen_bridge,Rin,a95a6156c5,1,refused,repair together,meal room welcomes,resident keeps lead; avatar waits,0.444,0.454,0.588,0.594,True,True
48,3,moss_ward,Ari,68aeb7351b,2,countered,translate phrase,ask before loom repair,revise plan around do not move root ledger,0.444,0.468,0.596,0.604,True,True
50,3,cinder_garden,Vale,248f6f47cb,1,accepted,wait for resident lead,do not cross seed rows,resident keeps lead; avatar waits,0.444,0.454,0.588,0.594,True,True
52,3,orchid_engine,Bea,3a816ca3d9,2,refused,repair together,orchid keeper decides,resident keeps lead; avatar waits,0.448,0.458,0.604,0.61,True,True
54,4,cinder_garden,Juno,53f44c3429,2,revised,step back,shade caller leads,revise plan around do not cross seed rows,0.464,0.488,0.606,0.614,True,True
56,4,orchid_engine,Dax,864d30811e,3,deferred,carry object,do not turn valve key,schedule later with phrase marker,0.482,0.496,0.614,0.618,True,True
58,4,glass_harbor,Nia,cce721b6a3,2,proposed,watch route,tea before crossing,do first safe step for brass lantern,0.458,0.476,0.61,0.616,True,True
60,4,lichen_bridge,Rin,c25c35aa60,2,revised,step back,signal keeper answers,revise plan around do not step on tension rope,0.454,0.478,0.594,0.602,True,True
62,4,moss_ward,Ari,c78c5bfc71,3,deferred,carry object,do not move root ledger,schedule later with phrase marker,0.468,0.482,0.608,0.612,True,True
64,4,cinder_garden,Vale,6c8f1c601d,3,proposed,watch route,cool bowl shared,do first safe step for shade pole,0.454,0.472,0.594,0.6,True,True
66,4,orchid_engine,Bea,2a20761fd1,4,revised,step back,keep gear lane open,revise plan around do not turn valve key,0.458,0.482,0.616,0.624,True,True
68,4,glass_harbor,Puck,cfbfeac115,3,deferred,carry object,do not dim lamp,schedule later with phrase marker,0.454,0.468,0.6,0.604,True,True
70,4,lichen_bridge,Kio,98b747f9ef,3,proposed,watch route,meal room welcomes,do first safe step for rope kit,0.482,0.5,0.608,0.614,True,True
72,5,glass_harbor,Nia,df5eb7e031,4,accepted,wait for resident lead,net keeper decides,resident keeps lead; avatar waits,0.476,0.486,0.616,0.622,True,True
74,5,lichen_bridge,Rin,fc722ed149,4,refused,repair together,do not step on tension rope,resident keeps lead; avatar waits,0.478,0.488,0.608,0.614,True,True
76,5,moss_ward,Ari,881633b724,4,countered,translate phrase,rain path first,revise plan around ask before loom repair,0.482,0.506,0.618,0.626,True,True
78,5,cinder_garden,Vale,78d3fe7fa7,4,accepted,wait for resident lead,shade caller leads,resident keeps lead; avatar waits,0.472,0.482,0.6,0.606,True,True
80,5,orchid_engine,Bea,8520f0239f,1,refused,repair together,do not turn valve key,resident keeps lead; avatar waits,0.482,0.492,0.63,0.636,True,True
82,5,glass_harbor,Puck,527f07ba37,1,countered,translate phrase,tea before crossing,revise plan around net keeper decides,0.468,0.492,0.604,0.612,True,True
84,5,lichen_bridge,Kio,ac4af64c1e,1,accepted,wait for resident lead,signal keeper answers,resident keeps lead; avatar waits,0.5,0.51,0.614,0.62,True,True
86,5,moss_ward,Milo,f3e3b15f13,1,refused,repair together,do not move root ledger,resident keeps lead; avatar waits,0.458,0.468,0.602,0.608,True,True
88,5,cinder_garden,Juno,229d56d9c9,1,countered,translate phrase,cool bowl shared,revise plan around shade caller leads,0.488,0.512,0.62,0.628,True,True
90,6,moss_ward,Ari,a5d1eb53bb,2,deferred,carry object,ask before loom repair,schedule later with phrase marker,0.506,0.52,0.626,0.63,True,True
92,6,cinder_garden,Vale,053e194b3d,2,proposed,watch route,do not cross seed rows,do first safe step for shade pole,0.482,0.5,0.612,0.618,True,True
94,6,orchid_engine,Bea,c346a2bc1f,2,revised,step back,orchid keeper decides,revise plan around keep gear lane open,0.492,0.516,0.642,0.65,True,True
96,6,glass_harbor,Puck,27853793da,2,deferred,carry object,net keeper decides,schedule later with phrase marker,0.492,0.506,0.612,0.616,True,True
98,6,lichen_bridge,Kio,66bc907162,2,proposed,watch route,do not step on tension rope,do first safe step for rope kit,0.51,0.528,0.626,0.632,True,True
100,6,moss_ward,Milo,eb4c219eaf,3,revised,step back,rain path first,revise plan around ask before loom repair,0.468,0.492,0.608,0.616,True,True
102,6,cinder_garden,Juno,891c709fe9,3,deferred,carry object,shade caller leads,schedule later with phrase marker,0.512,0.526,0.632,0.636,True,True
104,6,orchid_engine,Dax,43858d7946,3,proposed,watch route,do not turn valve key,do first safe step for valve key,0.496,0.514,0.624,0.63,True,True
106,6,glass_harbor,Nia,961b07d532,3,revised,step back,tea before crossing,revise plan around net keeper decides,0.486,0.51,0.628,0.636,True,True
108,7,orchid_engine,Bea,00f7889758,4,refused,repair together,keep gear lane open,resident keeps lead; avatar waits,0.516,0.526,0.65,0.656,True,True
110,7,glass_harbor,Puck,fb05b9401b,4,countered,translate phrase,do not dim lamp,revise plan around tea before crossing,0.506,0.53,0.622,0.63,True,True
112,7,lichen_bridge,Kio,0fc868e0c2,3,accepted,wait for resident lead,meal room welcomes,resident keeps lead; avatar waits,0.528,0.538,0.636,0.642,True,True
114,7,moss_ward,Milo,6f82554ef0,4,refused,repair together,ask before loom repair,resident keeps lead; avatar waits,0.492,0.502,0.622,0.628,True,True
116,7,cinder_garden,Juno,b9110b31e0,4,countered,translate phrase,do not cross seed rows,revise plan around cool bowl shared,0.526,0.55,0.642,0.65,True,True
118,7,orchid_engine,Dax,9cf21398dc,1,accepted,wait for resident lead,orchid keeper decides,resident keeps lead; avatar waits,0.514,0.524,0.63,0.636,True,True
120,7,glass_harbor,Nia,45a493e5a5,1,refused,repair together,net keeper decides,resident keeps lead; avatar waits,0.51,0.52,0.636,0.642,True,True
122,7,lichen_bridge,Rin,3835046ab1,4,countered,translate phrase,do not step on tension rope,revise plan around meal room welcomes,0.488,0.512,0.614,0.622,True,True
124,7,moss_ward,Ari,58af399a7d,1,accepted,wait for resident lead,rain path first,resident keeps lead; avatar waits,0.52,0.53,0.636,0.642,True,True
126,8,lichen_bridge,Kio,4267e85904,1,proposed,watch route,signal keeper answers,do first safe step for rope kit,0.538,0.556,0.648,0.654,True,True
128,8,moss_ward,Milo,07fdc54ebe,2,revised,step back,do not move root ledger,revise plan around rain path first,0.502,0.526,0.634,0.642,True,True
130,8,cinder_garden,Juno,85af79a193,1,deferred,carry object,cool bowl shared,schedule later with phrase marker,0.55,0.564,0.65,0.654,True,True
132,8,orchid_engine,Dax,53df834ba0,2,proposed,watch route,keep gear lane open,do first safe step for valve key,0.524,0.542,0.642,0.648,True,True
134,8,glass_harbor,Nia,287cd4badb,2,revised,step back,do not dim lamp,revise plan around tea before crossing,0.52,0.544,0.648,0.656,True,True
136,8,lichen_bridge,Rin,2de8b91e4e,2,deferred,carry object,meal room welcomes,schedule later with phrase marker,0.512,0.526,0.622,0.626,True,True
138,8,moss_ward,Ari,f7e183cf86,3,proposed,watch route,ask before loom repair,do first safe step for rain jar,0.53,0.548,0.648,0.654,True,True
140,8,cinder_garden,Vale,1175405aee,2,revised,step back,do not cross seed rows,revise plan around cool bowl shared,0.5,0.524,0.622,0.63,True,True
142,8,orchid_engine,Bea,71e00f7f76,3,deferred,carry object,orchid keeper decides,schedule later with phrase marker,0.526,0.54,0.662,0.666,True,True
144,9,cinder_garden,Juno,476d3f6137,3,countered,translate phrase,shade caller leads,revise plan around do not cross seed rows,0.564,0.588,0.654,0.662,True,True
146,9,orchid_engine,Dax,254624c9a0,4,accepted,wait for resident lead,do not turn valve key,resident keeps lead; avatar waits,0.542,0.552,0.652,0.658,True,True
148,9,glass_harbor,Nia,ef68acdf39,3,refused,repair together,tea before crossing,resident keeps lead; avatar waits,0.544,0.554,0.656,0.662,True,True
150,9,lichen_bridge,Rin,20f77d08ce,3,countered,translate phrase,signal keeper answers,revise plan around do not step on tension rope,0.526,0.55,0.626,0.634,True,True
152,9,moss_ward,Ari,2a21a744ce,4,accepted,wait for resident lead,do not move root ledger,resident keeps lead; avatar waits,0.548,0.558,0.66,0.666,True,True
154,9,cinder_garden,Vale,2d57f887fa,4,refused,repair together,cool bowl shared,resident keeps lead; avatar waits,0.524,0.534,0.63,0.636,True,True
156,9,orchid_engine,Bea,b154726f3b,1,countered,translate phrase,keep gear lane open,revise plan around do not turn valve key,0.54,0.564,0.666,0.674,True,True
158,9,glass_harbor,Puck,6e17e5f00d,4,accepted,wait for resident lead,do not dim lamp,resident keeps lead; avatar waits,0.53,0.54,0.63,0.636,True,True
160,9,lichen_bridge,Kio,5b41afe674,4,refused,repair together,meal room welcomes,resident keeps lead; avatar waits,0.556,0.566,0.658,0.664,True,True
162,10,glass_harbor,Nia,07abc33474,1,revised,step back,net keeper decides,revise plan around do not dim lamp,0.554,0.578,0.662,0.67,True,True
164,10,lichen_bridge,Rin,48c255099e,1,deferred,carry object,do not step on tension rope,schedule later with phrase marker,0.55,0.564,0.64,0.644,True,True
166,10,moss_ward,Ari,c9713a9040,1,proposed,watch route,rain path first,do first safe step for rain jar,0.558,0.576,0.672,0.678,True,True
168,10,cinder_garden,Vale,34fa1cf719,1,revised,step back,shade caller leads,revise plan around do not cross seed rows,0.534,0.558,0.642,0.65,True,True
170,10,orchid_engine,Bea,bff528dc46,2,deferred,carry object,do not turn valve key,schedule later with phrase marker,0.564,0.578,0.678,0.682,True,True
172,10,glass_harbor,Puck,e2846c53d1,2,proposed,watch route,tea before crossing,do first safe step for brass lantern,0.54,0.558,0.636,0.642,True,True
174,10,lichen_bridge,Kio,5e9afec0fb,2,revised,step back,signal keeper answers,revise plan around do not step on tension rope,0.566,0.59,0.664,0.672,True,True
176,10,moss_ward,Milo,648d49a956,2,deferred,carry object,do not move root ledger,schedule later with phrase marker,0.526,0.54,0.642,0.646,True,True
178,10,cinder_garden,Juno,5a8ce61ce4,2,proposed,watch route,cool bowl shared,do first safe step for shade pole,0.588,0.606,0.666,0.672,True,True
180,11,moss_ward,Ari,a1e4d1e141,3,accepted,wait for resident lead,ask before loom repair,resident keeps lead; avatar waits,0.576,0.586,0.684,0.69,True,True
182,11,cinder_garden,Vale,f9a6b5bd7b,3,refused,repair together,do not cross seed rows,resident keeps lead; avatar waits,0.558,0.568,0.656,0.662,True,True
184,11,orchid_engine,Bea,726bfb1348,3,countered,translate phrase,orchid keeper decides,revise plan around keep gear lane open,0.578,0.602,0.682,0.69,True,True
186,11,glass_harbor,Puck,112cf1953c,3,accepted,wait for resident lead,net keeper decides,resident keeps lead; avatar waits,0.558,0.568,0.642,0.648,True,True
188,11,lichen_bridge,Kio,194051ed0b,3,refused,repair together,do not step on tension rope,resident keeps lead; avatar waits,0.59,0.6,0.678,0.684,True,True
190,11,moss_ward,Milo,3f9944b54d,4,countered,translate phrase,rain path first,revise plan around ask before loom repair,0.54,0.564,0.646,0.654,True,True
192,11,cinder_garden,Juno,619953f4c4,4,accepted,wait for resident lead,shade caller leads,resident keeps lead; avatar waits,0.606,0.616,0.678,0.684,True,True
194,11,orchid_engine,Dax,775a01bffe,4,refused,repair together,do not turn valve key,resident keeps lead; avatar waits,0.552,0.562,0.658,0.664,True,True
196,11,glass_harbor,Nia,628c4925fa,4,countered,translate phrase,tea before crossing,revise plan around net keeper decides,0.578,0.602,0.676,0.684,True,True
198,12,orchid_engine,Bea,6649215be2,1,deferred,carry object,keep gear lane open,schedule later with phrase marker,0.602,0.616,0.69,0.694,True,True
200,12,glass_harbor,Puck,6bae6e71bf,1,proposed,watch route,do not dim lamp,do first safe step for brass lantern,0.568,0.586,0.654,0.66,True,True
202,12,lichen_bridge,Kio,70746d0efc,4,revised,step back,meal room welcomes,revise plan around signal keeper answers,0.6,0.624,0.684,0.692,True,True
204,12,moss_ward,Milo,1875a77dc7,1,deferred,carry object,ask before loom repair,schedule later with phrase marker,0.564,0.578,0.654,0.658,True,True
206,12,cinder_garden,Juno,ba8a63d1c8,1,proposed,watch route,do not cross seed rows,do first safe step for shade pole,0.616,0.634,0.69,0.696,True,True
208,12,orchid_engine,Dax,b159515f41,2,revised,step back,orchid keeper decides,revise plan around keep gear lane open,0.562,0.586,0.664,0.672,True,True
210,12,glass_harbor,Nia,7b2114302d,2,deferred,carry object,net keeper decides,schedule later with phrase marker,0.602,0.616,0.688,0.692,True,True
212,12,lichen_bridge,Rin,ec36a02bc0,1,proposed,watch route,do not step on tension rope,do first safe step for rope kit,0.564,0.582,0.644,0.65,True,True
214,12,moss_ward,Ari,7b8057595d,2,revised,step back,rain path first,revise plan around ask before loom repair,0.586,0.61,0.696,0.704,True,True
216,13,lichen_bridge,Kio,0a9575d331,2,refused,repair together,signal keeper answers,resident keeps lead; avatar waits,0.624,0.634,0.692,0.698,True,True
218,13,moss_ward,Milo,17af5df14f,3,countered,translate phrase,do not move root ledger,revise plan around rain path first,0.578,0.602,0.664,0.672,True,True
220,13,cinder_garden,Juno,1a5fcf33cc,2,accepted,wait for resident lead,cool bowl shared,resident keeps lead; avatar waits,0.634,0.644,0.696,0.702,True,True
222,13,orchid_engine,Dax,f8aade0af6,3,refused,repair together,keep gear lane open,resident keeps lead; avatar waits,0.586,0.596,0.672,0.678,True,True
224,13,glass_harbor,Nia,ebf5a65353,3,countered,translate phrase,do not dim lamp,revise plan around tea before crossing,0.616,0.64,0.698,0.706,True,True
226,13,lichen_bridge,Rin,4d74bab19f,3,accepted,wait for resident lead,meal room welcomes,resident keeps lead; avatar waits,0.582,0.592,0.65,0.656,True,True
228,13,moss_ward,Ari,b468139e01,4,refused,repair together,ask before loom repair,resident keeps lead; avatar waits,0.61,0.62,0.71,0.716,True,True
230,13,cinder_garden,Vale,fc560fce31,3,countered,translate phrase,do not cross seed rows,revise plan around cool bowl shared,0.568,0.592,0.668,0.676,True,True
232,13,orchid_engine,Bea,5dbaf98a0c,4,accepted,wait for resident lead,orchid keeper decides,resident keeps lead; avatar waits,0.616,0.626,0.7,0.706,True,True
234,14,cinder_garden,Juno,69b4d056e8,4,proposed,watch route,shade caller leads,do first safe step for shade pole,0.644,0.662,0.702,0.708,True,True
236,14,orchid_engine,Dax,5d1ab0e85c,1,revised,step back,do not turn valve key,revise plan around orchid keeper decides,0.596,0.62,0.684,0.692,True,True
238,14,glass_harbor,Nia,f267c30732,4,deferred,carry object,tea before crossing,schedule later with phrase marker,0.64,0.654,0.71,0.714,True,True
240,14,lichen_bridge,Rin,ebd685543e,4,proposed,watch route,signal keeper answers,do first safe step for rope kit,0.592,0.61,0.656,0.662,True,True
242,14,moss_ward,Ari,b89819f46a,1,revised,step back,do not move root ledger,revise plan around rain path first,0.62,0.644,0.722,0.73,True,True
244,14,cinder_garden,Vale,248d87a1f5,1,deferred,carry object,cool bowl shared,schedule later with phrase marker,0.592,0.606,0.676,0.68,True,True
246,14,orchid_engine,Bea,fd4cc778f1,2,proposed,watch route,keep gear lane open,do first safe step for valve key,0.626,0.644,0.706,0.712,True,True
248,14,glass_harbor,Puck,46fd1c973f,1,revised,step back,do not dim lamp,revise plan around tea before crossing,0.586,0.61,0.664,0.672,True,True
250,14,lichen_bridge,Kio,b64340c248,1,deferred,carry object,meal room welcomes,schedule later with phrase marker,0.634,0.648,0.704,0.708,True,True
252,15,glass_harbor,Nia,0688f284f2,2,countered,translate phrase,net keeper decides,revise plan around do not dim lamp,0.654,0.678,0.72,0.728,True,True
254,15,lichen_bridge,Rin,8a6e1b33f3,2,accepted,wait for resident lead,do not step on tension rope,resident keeps lead; avatar waits,0.61,0.62,0.666,0.672,True,True
256,15,moss_ward,Ari,2d59a0e61b,2,refused,repair together,rain path first,resident keeps lead; avatar waits,0.644,0.654,0.73,0.736,True,True
258,15,cinder_garden,Vale,32cbf0c3f3,2,countered,translate phrase,shade caller leads,revise plan around do not cross seed rows,0.606,0.63,0.68,0.688,True,True
260,15,orchid_engine,Bea,aeb48c6799,3,accepted,wait for resident lead,do not turn valve key,resident keeps lead; avatar waits,0.644,0.654,0.718,0.724,True,True
262,15,glass_harbor,Puck,4b20794ea7,3,refused,repair together,tea before crossing,resident keeps lead; avatar waits,0.61,0.62,0.678,0.684,True,True
264,15,lichen_bridge,Kio,71fd5c0fbd,3,countered,translate phrase,signal keeper answers,revise plan around do not step on tension rope,0.648,0.672,0.708,0.716,True,True
266,15,moss_ward,Milo,34e1bb83ce,3,accepted,wait for resident lead,do not move root ledger,resident keeps lead; avatar waits,0.602,0.612,0.678,0.684,True,True
268,15,cinder_garden,Juno,749b228cb7,3,refused,repair together,cool bowl shared,resident keeps lead; avatar waits,0.662,0.672,0.714,0.72,True,True
270,16,moss_ward,Ari,f9a7471569,4,revised,step back,ask before loom repair,revise plan around do not move root ledger,0.654,0.678,0.742,0.75,True,True
272,16,cinder_garden,Vale,8fa00403b4,4,deferred,carry object,do not cross seed rows,schedule later with phrase marker,0.63,0.644,0.694,0.698,True,True
274,16,orchid_engine,Bea,7d9ec05600,4,proposed,watch route,orchid keeper decides,do first safe step for valve key,0.654,0.672,0.724,0.73,True,True
276,16,glass_harbor,Puck,dd075e35b3,4,revised,step back,net keeper decides,revise plan around do not dim lamp,0.62,0.644,0.69,0.698,True,True
278,16,lichen_bridge,Kio,b4e8326822,4,deferred,carry object,do not step on tension rope,schedule later with phrase marker,0.672,0.686,0.72,0.724,True,True
280,16,moss_ward,Milo,9fd4309f51,1,proposed,watch route,rain path first,do first safe step for rain jar,0.612,0.63,0.69,0.696,True,True
282,16,cinder_garden,Juno,9c0219bb74,1,revised,step back,shade caller leads,revise plan around do not cross seed rows,0.672,0.696,0.72,0.728,True,True
284,16,orchid_engine,Dax,2b67736133,1,deferred,carry object,do not turn valve key,schedule later with phrase marker,0.62,0.634,0.692,0.696,True,True
286,16,glass_harbor,Nia,4cadc485f6,1,proposed,watch route,tea before crossing,do first safe step for brass lantern,0.678,0.696,0.732,0.738,True,True
288,17,orchid_engine,Bea,e800f823dc,2,accepted,wait for resident lead,keep gear lane open,resident keeps lead; avatar waits,0.672,0.682,0.73,0.736,True,True
290,17,glass_harbor,Puck,a80d08d312,2,refused,repair together,do not dim lamp,resident keeps lead; avatar waits,0.644,0.654,0.704,0.71,True,True
292,17,lichen_bridge,Kio,9a4b6b1eb9,1,countered,translate phrase,meal room welcomes,revise plan around signal keeper answers,0.686,0.71,0.724,0.732,True,True
294,17,moss_ward,Milo,8840679c09,2,accepted,wait for resident lead,ask before loom repair,resident keeps lead; avatar waits,0.63,0.64,0.696,0.702,True,True
296,17,cinder_garden,Juno,58aa5420d2,2,refused,repair together,do not cross seed rows,resident keeps lead; avatar waits,0.696,0.706,0.734,0.74,True,True
298,17,orchid_engine,Dax,ad73bec608,3,countered,translate phrase,orchid keeper decides,revise plan around keep gear lane open,0.634,0.658,0.696,0.704,True,True
300,17,glass_harbor,Nia,a5c53131a9,3,accepted,wait for resident lead,net keeper decides,resident keeps lead; avatar waits,0.696,0.706,0.738,0.744,True,True
302,17,lichen_bridge,Rin,7d0b6ab854,2,refused,repair together,do not step on tension rope,resident keeps lead; avatar waits,0.62,0.63,0.678,0.684,True,True
304,17,moss_ward,Ari,f3ca0467ef,3,countered,translate phrase,rain path first,revise plan around ask before loom repair,0.678,0.702,0.756,0.764,True,True
306,18,lichen_bridge,Kio,a79b5bda8d,3,deferred,carry object,signal keeper answers,schedule later with phrase marker,0.71,0.724,0.732,0.736,True,True
308,18,moss_ward,Milo,1248117a67,4,proposed,watch route,do not move root ledger,do first safe step for rain jar,0.64,0.658,0.708,0.714,True,True
310,18,cinder_garden,Juno,e5869b337f,3,revised,step back,cool bowl shared,revise plan around shade caller leads,0.706,0.73,0.746,0.754,True,True
312,18,orchid_engine,Dax,521c24e86a,4,deferred,carry object,keep gear lane open,schedule later with phrase marker,0.658,0.672,0.704,0.708,True,True
314,18,glass_harbor,Nia,2f93fd71a5,4,proposed,watch route,do not dim lamp,do first safe step for brass lantern,0.706,0.724,0.75,0.756,True,True
316,18,lichen_bridge,Rin,d0733950d4,4,revised,step back,meal room welcomes,revise plan around signal keeper answers,0.63,0.654,0.69,0.698,True,True
318,18,moss_ward,Ari,6fcd76f541,1,deferred,carry object,ask before loom repair,schedule later with phrase marker,0.702,0.716,0.764,0.768,True,True
320,18,cinder_garden,Vale,1cb8ef33ca,4,proposed,watch route,do not cross seed rows,do first safe step for shade pole,0.644,0.662,0.704,0.71,True,True
322,18,orchid_engine,Bea,a3adb843b5,1,revised,step back,orchid keeper decides,revise plan around keep gear lane open,0.682,0.706,0.742,0.75,True,True
324,19,cinder_garden,Juno,c02a681f75,1,refused,repair together,shade caller leads,resident keeps lead; avatar waits,0.73,0.74,0.76,0.766,True,True
326,19,orchid_engine,Dax,d08bc7c67f,2,countered,translate phrase,do not turn valve key,revise plan around orchid keeper decides,0.672,0.696,0.714,0.722,True,True
328,19,glass_harbor,Nia,a2a6773111,1,accepted,wait for resident lead,tea before crossing,resident keeps lead; avatar waits,0.724,0.734,0.756,0.762,True,True
330,19,lichen_bridge,Rin,c38c9e6727,1,refused,repair together,signal keeper answers,resident keeps lead; avatar waits,0.654,0.664,0.698,0.704,True,True
332,19,moss_ward,Ari,ff5abc5fbb,2,countered,translate phrase,do not move root ledger,revise plan around rain path first,0.716,0.74,0.774,0.782,True,True
334,19,cinder_garden,Vale,fcbc7826fb,2,accepted,wait for resident lead,cool bowl shared,resident keeps lead; avatar waits,0.662,0.672,0.71,0.716,True,True
336,19,orchid_engine,Bea,7f39af0aac,3,refused,repair together,keep gear lane open,resident keeps lead; avatar waits,0.706,0.716,0.756,0.762,True,True
338,19,glass_harbor,Puck,b6ee5a5f98,2,countered,translate phrase,do not dim lamp,revise plan around tea before crossing,0.654,0.678,0.71,0.718,True,True
340,19,lichen_bridge,Kio,bccb47778f,2,accepted,wait for resident lead,meal room welcomes,resident keeps lead; avatar waits,0.724,0.734,0.742,0.748,True,True
342,20,glass_harbor,Nia,bf8dbe98d0,3,proposed,watch route,net keeper decides,do first safe step for brass lantern,0.734,0.752,0.762,0.768,True,True
344,20,lichen_bridge,Rin,bdcdb86161,3,revised,step back,do not step on tension rope,revise plan around meal room welcomes,0.664,0.688,0.71,0.718,True,True
346,20,moss_ward,Ari,7d3de97be5,3,deferred,carry object,rain path first,schedule later with phrase marker,0.74,0.754,0.782,0.786,True,True
348,20,cinder_garden,Vale,ccf335ed72,3,proposed,watch route,shade caller leads,do first safe step for shade pole,0.672,0.69,0.716,0.722,True,True
350,20,orchid_engine,Bea,502aad4113,4,revised,step back,do not turn valve key,revise plan around orchid keeper decides,0.716,0.74,0.768,0.776,True,True
352,20,glass_harbor,Puck,c386742210,4,deferred,carry object,tea before crossing,schedule later with phrase marker,0.678,0.692,0.724,0.728,True,True
354,20,lichen_bridge,Kio,38a1ddb188,4,proposed,watch route,signal keeper answers,do first safe step for rope kit,0.734,0.752,0.754,0.76,True,True
356,20,moss_ward,Milo,56ae7a25ca,4,revised,step back,do not move root ledger,revise plan around rain path first,0.658,0.682,0.718,0.726,True,True
358,20,cinder_garden,Juno,e7b6e81bf6,4,deferred,carry object,cool bowl shared,schedule later with phrase marker,0.74,0.754,0.772,0.776,True,True
360,21,moss_ward,Ari,cbb90517ad,1,countered,translate phrase,ask before loom repair,revise plan around do not move root ledger,0.754,0.778,0.786,0.794,True,True
362,21,cinder_garden,Vale,a0ee08d35d,1,accepted,wait for resident lead,do not cross seed rows,resident keeps lead; avatar waits,0.69,0.7,0.726,0.732,True,True
364,21,orchid_engine,Bea,88e61a946c,1,refused,repair together,orchid keeper decides,resident keeps lead; avatar waits,0.74,0.75,0.776,0.782,True,True
366,21,glass_harbor,Puck,6b4eb84e96,1,countered,translate phrase,net keeper decides,revise plan around do not dim lamp,0.692,0.716,0.734,0.742,True,True
368,21,lichen_bridge,Kio,f74ba627f7,1,accepted,wait for resident lead,do not step on tension rope,resident keeps lead; avatar waits,0.752,0.762,0.766,0.772,True,True
370,21,moss_ward,Milo,76125aec09,2,refused,repair together,rain path first,resident keeps lead; avatar waits,0.682,0.692,0.726,0.732,True,True
372,21,cinder_garden,Juno,d03e1e1f01,2,countered,translate phrase,shade caller leads,revise plan around do not cross seed rows,0.754,0.778,0.776,0.784,True,True
