mutation_id,year,household_id,parent_token,mutated_token,mutation_kind,semantic_shift,grounded_scene,adoption_rate,stability_score,rollback_meaning
mut_agent_987_ledgerkin,987,ledgerkin,lotr2,losq3,repair-marker,repair-marker binds market counter to prefers fair turns,ledgerkin uses the word while resolving body cost or trade duty,0.65,0.825,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_987_redstair,987,redstair,satr2,sasq3,repair-marker,repair-marker binds witness keeper to prefers quiet truthful speech,redstair uses the word while resolving body cost or trade duty,0.65,0.825,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_987_wheelwright,987,wheelwright,nitr2,nisq3,repair-marker,repair-marker binds waterwheel keeper to prefers careful invention,wheelwright uses the word while resolving body cost or trade duty,0.62,0.825,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_1597_westkeepers,1597,westkeepers,kasq3,kape4,place-vowel,place-vowel binds route keeper to prefers dry arches,westkeepers uses the word while resolving body cost or trade duty,0.72,0.86,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_1597_mossgarden,1597,mossgarden,musq3,mupe4,place-vowel,place-vowel binds rest keeper to prefers warm shared meals,mossgarden uses the word while resolving body cost or trade duty,0.72,0.86,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_1597_ledgerkin,1597,ledgerkin,losq3,lope4,place-vowel,place-vowel binds market counter to prefers fair turns,ledgerkin uses the word while resolving body cost or trade duty,0.75,0.86,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_1597_redstair,1597,redstair,sasq3,sape4,place-vowel,place-vowel binds witness keeper to prefers quiet truthful speech,redstair uses the word while resolving body cost or trade duty,0.75,0.86,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_1597_wheelwright,1597,wheelwright,nisq3,nipe4,place-vowel,place-vowel binds waterwheel keeper to prefers careful invention,wheelwright uses the word while resolving body cost or trade duty,0.72,0.86,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_2584_westkeepers,2584,westkeepers,kape4,kahe5,future-tense,future-tense binds route keeper to prefers dry arches,westkeepers uses the word while resolving body cost or trade duty,0.82,0.895,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_2584_mossgarden,2584,mossgarden,mupe4,muhe5,future-tense,future-tense binds rest keeper to prefers warm shared meals,mossgarden uses the word while resolving body cost or trade duty,0.82,0.895,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_2584_ledgerkin,2584,ledgerkin,lope4,lohe5,future-tense,future-tense binds market counter to prefers fair turns,ledgerkin uses the word while resolving body cost or trade duty,0.85,0.895,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_2584_redstair,2584,redstair,sape4,sahe5,future-tense,future-tense binds witness keeper to prefers quiet truthful speech,redstair uses the word while resolving body cost or trade duty,0.85,0.895,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_2584_wheelwright,2584,wheelwright,nipe4,nihe5,future-tense,future-tense binds waterwheel keeper to prefers careful invention,wheelwright uses the word while resolving body cost or trade duty,0.82,0.895,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_4181_westkeepers,4181,westkeepers,kahe5,kafl6,ceremony-form,ceremony-form binds route keeper to prefers dry arches,westkeepers uses the word while resolving body cost or trade duty,0.92,0.93,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_4181_mossgarden,4181,mossgarden,muhe5,mufl6,ceremony-form,ceremony-form binds rest keeper to prefers warm shared meals,mossgarden uses the word while resolving body cost or trade duty,0.92,0.93,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_4181_ledgerkin,4181,ledgerkin,lohe5,lofl6,ceremony-form,ceremony-form binds market counter to prefers fair turns,ledgerkin uses the word while resolving body cost or trade duty,0.95,0.93,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_4181_redstair,4181,redstair,sahe5,safl6,ceremony-form,ceremony-form binds witness keeper to prefers quiet truthful speech,redstair uses the word while resolving body cost or trade duty,0.95,0.93,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_4181_wheelwright,4181,wheelwright,nihe5,nifl6,ceremony-form,ceremony-form binds waterwheel keeper to prefers careful invention,wheelwright uses the word while resolving body cost or trade duty,0.92,0.93,fallback to founder root if mutation confuses market or ritual meaning
