tick,day,loop_id,speaker,listener,gesture,gesture_slot,turn_claimed,listener_yielded,interruption_blocked,gesture_to_turn_score
39,4,v19-loop-005,Keth,Nari,object_point,before-speech,1,1,1,1.0
40,4,v19-loop-006,Melo,Ori,palm_down_pause,before-speech,1,1,1,1.0
41,4,v19-loop-006,Nari,Vonn,two_hand_offer,before-speech,1,1,1,1.0
42,4,v19-loop-006,Ori,Sova,two_hand_offer,before-speech,1,1,1,1.0
43,4,v19-loop-006,Vonn,Keth,witness_nod,before-speech,1,1,1,1.0
44,4,v19-loop-006,Sova,Melo,hand_raise,before-speech,1,1,0,0.666667
45,4,v19-loop-006,Keth,Nari,object_point,after-speech,0,1,1,1.0
46,4,v19-loop-006,Melo,Ori,palm_down_pause,before-speech,1,1,1,1.0
47,4,v19-loop-006,Nari,Vonn,two_hand_offer,after-speech,0,1,1,1.0
48,5,v19-loop-007,Vonn,Keth,step_back_yield,after-speech,0,1,1,1.0
49,5,v19-loop-007,Sova,Melo,witness_nod,before-speech,1,1,1,1.0
50,5,v19-loop-007,Keth,Nari,hand_raise,before-speech,1,1,1,1.0
51,5,v19-loop-007,Melo,Ori,object_point,after-speech,0,1,1,1.0
52,5,v19-loop-007,Nari,Vonn,palm_down_pause,before-speech,1,1,1,1.0
53,5,v19-loop-007,Ori,Sova,palm_down_pause,after-speech,0,1,1,1.0
54,5,v19-loop-007,Vonn,Keth,step_back_yield,before-speech,1,1,1,1.0
55,5,v19-loop-007,Sova,Melo,witness_nod,before-speech,1,1,0,0.666667
56,5,v19-loop-008,Keth,Nari,hand_raise,after-speech,0,1,1,1.0
57,5,v19-loop-008,Melo,Ori,object_point,after-speech,0,1,1,1.0
58,5,v19-loop-008,Nari,Vonn,palm_down_pause,before-speech,0,0,1,0.333333
59,5,v19-loop-008,Ori,Sova,palm_down_pause,after-speech,0,1,1,1.0
60,6,v19-loop-008,Sova,Melo,step_back_yield,before-speech,1,1,1,1.0
61,6,v19-loop-008,Keth,Nari,witness_nod,after-speech,0,1,1,1.0
62,6,v19-loop-008,Melo,Ori,hand_raise,before-speech,1,0,1,0.666667
63,6,v19-loop-008,Nari,Vonn,object_point,after-speech,1,1,1,1.0
64,6,v19-loop-009,Ori,Sova,object_point,after-speech,0,1,1,1.0
65,6,v19-loop-009,Vonn,Keth,two_hand_offer,after-speech,0,1,1,1.0
66,6,v19-loop-009,Sova,Melo,step_back_yield,before-speech,1,1,0,0.666667
67,6,v19-loop-009,Keth,Nari,witness_nod,before-speech,1,1,1,1.0
68,6,v19-loop-009,Melo,Ori,hand_raise,after-speech,1,1,1,1.0
69,6,v19-loop-009,Nari,Vonn,object_point,after-speech,0,1,1,1.0
70,6,v19-loop-009,Ori,Sova,object_point,after-speech,0,1,1,1.0
71,6,v19-loop-009,Vonn,Keth,two_hand_offer,after-speech,1,1,1,1.0
72,7,v19-loop-010,Keth,Nari,step_back_yield,after-speech,1,1,1,1.0
73,7,v19-loop-010,Melo,Ori,witness_nod,before-speech,1,1,1,1.0
74,7,v19-loop-010,Nari,Vonn,hand_raise,after-speech,1,1,1,1.0
75,7,v19-loop-010,Ori,Sova,hand_raise,after-speech,0,1,1,1.0
76,7,v19-loop-010,Vonn,Keth,palm_down_pause,after-speech,0,1,1,1.0
77,7,v19-loop-010,Sova,Melo,two_hand_offer,after-speech,0,1,0,0.666667
78,7,v19-loop-010,Keth,Nari,step_back_yield,before-speech,1,1,1,1.0
79,7,v19-loop-010,Melo,Ori,witness_nod,after-speech,0,1,1,1.0
80,7,v19-loop-011,Nari,Vonn,hand_raise,after-speech,1,1,1,1.0
81,7,v19-loop-011,Ori,Sova,hand_raise,before-speech,1,1,1,1.0
82,7,v19-loop-011,Vonn,Keth,palm_down_pause,after-speech,0,1,1,1.0
83,7,v19-loop-011,Sova,Melo,two_hand_offer,after-speech,0,1,1,1.0
84,8,v19-loop-011,Melo,Ori,step_back_yield,before-speech,1,1,1,1.0
85,8,v19-loop-011,Nari,Vonn,witness_nod,after-speech,0,1,1,1.0
86,8,v19-loop-011,Ori,Sova,witness_nod,after-speech,0,1,1,1.0
87,8,v19-loop-011,Vonn,Keth,object_point,before-speech,0,0,1,0.333333
88,8,v19-loop-012,Sova,Melo,palm_down_pause,after-speech,1,1,0,0.666667
89,8,v19-loop-012,Keth,Nari,two_hand_offer,after-speech,0,1,1,0.666667
90,8,v19-loop-012,Melo,Ori,step_back_yield,after-speech,0,1,1,0.666667
91,8,v19-loop-012,Nari,Vonn,witness_nod,before-speech,1,0,1,0.666667
92,8,v19-loop-012,Ori,Sova,witness_nod,after-speech,0,1,1,1.0
93,8,v19-loop-012,Vonn,Keth,object_point,after-speech,0,1,1,1.0
94,8,v19-loop-012,Sova,Melo,palm_down_pause,after-speech,0,1,1,1.0
95,8,v19-loop-012,Keth,Nari,two_hand_offer,after-speech,0,1,1,1.0
96,9,v19-loop-013,Nari,Vonn,step_back_yield,after-speech,0,1,1,0.666667
97,9,v19-loop-013,Ori,Sova,step_back_yield,before-speech,1,1,1,1.0
98,9,v19-loop-013,Vonn,Keth,hand_raise,after-speech,1,1,1,1.0
99,9,v19-loop-013,Sova,Melo,object_point,after-speech,0,1,1,0.666667
100,9,v19-loop-013,Keth,Nari,palm_down_pause,after-speech,0,1,1,1.0
101,9,v19-loop-013,Melo,Ori,two_hand_offer,after-speech,0,1,1,1.0
102,9,v19-loop-013,Nari,Vonn,step_back_yield,after-speech,0,1,1,1.0
103,9,v19-loop-013,Ori,Sova,step_back_yield,after-speech,0,1,1,1.0
104,9,v19-loop-014,Vonn,Keth,hand_raise,after-speech,0,1,1,1.0
105,9,v19-loop-014,Sova,Melo,object_point,after-speech,1,1,1,1.0
106,9,v19-loop-014,Keth,Nari,palm_down_pause,before-speech,1,1,1,1.0
107,9,v19-loop-014,Melo,Ori,two_hand_offer,after-speech,0,1,1,0.666667
108,10,v19-loop-014,Ori,Sova,two_hand_offer,after-speech,0,1,1,1.0
109,10,v19-loop-014,Vonn,Keth,witness_nod,after-speech,0,1,1,1.0
110,10,v19-loop-014,Sova,Melo,hand_raise,before-speech,1,1,0,0.666667
111,10,v19-loop-014,Keth,Nari,object_point,before-speech,1,1,1,1.0
112,10,v19-loop-015,Melo,Ori,palm_down_pause,before-speech,1,1,1,1.0
113,10,v19-loop-015,Nari,Vonn,two_hand_offer,before-speech,1,1,1,1.0
114,10,v19-loop-015,Ori,Sova,two_hand_offer,before-speech,1,1,1,1.0
115,10,v19-loop-015,Vonn,Keth,witness_nod,after-speech,0,1,1,1.0
116,10,v19-loop-015,Sova,Melo,hand_raise,after-speech,0,1,1,1.0
117,10,v19-loop-015,Keth,Nari,object_point,after-speech,1,1,1,1.0
118,10,v19-loop-015,Melo,Ori,palm_down_pause,before-speech,1,1,1,1.0
119,10,v19-loop-015,Nari,Vonn,two_hand_offer,after-speech,0,1,1,1.0
120,11,v19-loop-016,Vonn,Keth,step_back_yield,after-speech,0,0,1,0.666667
121,11,v19-loop-016,Sova,Melo,witness_nod,after-speech,0,1,0,0.666667
122,11,v19-loop-016,Keth,Nari,hand_raise,after-speech,1,1,1,1.0
123,11,v19-loop-016,Melo,Ori,object_point,after-speech,0,1,1,0.666667
124,11,v19-loop-016,Nari,Vonn,palm_down_pause,before-speech,1,1,1,1.0
125,11,v19-loop-016,Ori,Sova,palm_down_pause,after-speech,0,1,1,1.0
126,11,v19-loop-016,Vonn,Keth,step_back_yield,after-speech,0,1,1,0.666667
127,11,v19-loop-016,Sova,Melo,witness_nod,after-speech,0,1,1,1.0
128,11,v19-loop-017,Keth,Nari,hand_raise,before-speech,1,1,1,1.0
129,11,v19-loop-017,Melo,Ori,object_point,after-speech,0,1,1,0.666667
130,11,v19-loop-017,Nari,Vonn,palm_down_pause,after-speech,0,1,1,0.666667
131,11,v19-loop-017,Ori,Sova,palm_down_pause,after-speech,1,1,1,1.0
132,12,v19-loop-017,Sova,Melo,step_back_yield,after-speech,1,1,0,0.666667
133,12,v19-loop-017,Keth,Nari,witness_nod,after-speech,0,1,1,1.0
134,12,v19-loop-017,Melo,Ori,hand_raise,after-speech,0,1,1,1.0
135,12,v19-loop-017,Nari,Vonn,object_point,before-speech,1,1,1,1.0
136,12,v19-loop-018,Ori,Sova,object_point,after-speech,1,1,1,1.0
137,12,v19-loop-018,Vonn,Keth,two_hand_offer,before-speech,1,1,1,1.0
138,12,v19-loop-018,Sova,Melo,step_back_yield,after-speech,1,1,1,1.0
139,12,v19-loop-018,Keth,Nari,witness_nod,before-speech,1,1,1,1.0
140,12,v19-loop-018,Melo,Ori,hand_raise,before-speech,1,1,1,1.0
141,12,v19-loop-018,Nari,Vonn,object_point,before-speech,1,1,1,1.0
142,12,v19-loop-018,Ori,Sova,object_point,after-speech,0,1,1,1.0
143,12,v19-loop-018,Vonn,Keth,two_hand_offer,after-speech,0,1,0,0.666667
144,13,v19-loop-019,Keth,Nari,step_back_yield,after-speech,0,1,1,1.0
145,13,v19-loop-019,Melo,Ori,witness_nod,after-speech,0,1,1,1.0
146,13,v19-loop-019,Nari,Vonn,hand_raise,before-speech,1,1,1,1.0
147,13,v19-loop-019,Ori,Sova,hand_raise,after-speech,0,1,1,1.0
148,13,v19-loop-019,Vonn,Keth,palm_down_pause,after-speech,0,1,1,1.0
149,13,v19-loop-019,Sova,Melo,two_hand_offer,after-speech,0,0,1,0.666667
150,13,v19-loop-019,Keth,Nari,step_back_yield,before-speech,1,1,1,1.0
151,13,v19-loop-019,Melo,Ori,witness_nod,after-speech,0,1,1,1.0
152,13,v19-loop-020,Nari,Vonn,hand_raise,after-speech,1,1,1,1.0
153,13,v19-loop-020,Ori,Sova,hand_raise,before-speech,1,1,1,1.0
154,13,v19-loop-020,Vonn,Keth,palm_down_pause,after-speech,0,1,0,0.666667
155,13,v19-loop-020,Sova,Melo,two_hand_offer,after-speech,0,1,1,1.0
156,14,v19-loop-020,Melo,Ori,step_back_yield,after-speech,0,1,1,1.0
157,14,v19-loop-020,Nari,Vonn,witness_nod,after-speech,0,1,1,1.0
158,14,v19-loop-020,Ori,Sova,witness_nod,after-speech,0,1,1,1.0
159,14,v19-loop-020,Vonn,Keth,object_point,after-speech,0,1,1,1.0
160,14,v19-loop-021,Sova,Melo,palm_down_pause,after-speech,0,1,1,1.0
161,14,v19-loop-021,Keth,Nari,two_hand_offer,after-speech,0,1,1,0.666667
162,14,v19-loop-021,Melo,Ori,step_back_yield,after-speech,0,1,1,1.0
163,14,v19-loop-021,Nari,Vonn,witness_nod,after-speech,0,1,1,1.0
164,14,v19-loop-021,Ori,Sova,witness_nod,before-speech,1,1,1,1.0
165,14,v19-loop-021,Vonn,Keth,object_point,before-speech,1,1,0,0.666667
166,14,v19-loop-021,Sova,Melo,palm_down_pause,after-speech,0,1,1,1.0
167,14,v19-loop-021,Keth,Nari,two_hand_offer,after-speech,0,1,1,1.0
168,15,v19-loop-022,Nari,Vonn,step_back_yield,after-speech,0,1,1,1.0
169,15,v19-loop-022,Ori,Sova,step_back_yield,after-speech,0,1,1,1.0
170,15,v19-loop-022,Vonn,Keth,hand_raise,after-speech,0,1,1,1.0
171,15,v19-loop-022,Sova,Melo,object_point,after-speech,0,1,1,1.0
172,15,v19-loop-022,Keth,Nari,palm_down_pause,after-speech,0,1,1,0.666667
173,15,v19-loop-022,Melo,Ori,two_hand_offer,before-speech,1,1,1,1.0
174,15,v19-loop-022,Nari,Vonn,step_back_yield,after-speech,0,1,1,1.0
175,15,v19-loop-022,Ori,Sova,step_back_yield,after-speech,0,1,1,0.666667
176,15,v19-loop-023,Vonn,Keth,hand_raise,before-speech,1,1,0,0.666667
177,15,v19-loop-023,Sova,Melo,object_point,after-speech,0,1,1,1.0
178,15,v19-loop-023,Keth,Nari,palm_down_pause,after-speech,0,0,1,0.666667
179,15,v19-loop-023,Melo,Ori,two_hand_offer,after-speech,0,1,1,1.0
180,16,v19-loop-023,Ori,Sova,two_hand_offer,before-speech,1,1,1,1.0
181,16,v19-loop-023,Vonn,Keth,witness_nod,before-speech,1,1,1,1.0
182,16,v19-loop-023,Sova,Melo,hand_raise,after-speech,0,1,1,1.0
183,16,v19-loop-023,Keth,Nari,object_point,before-speech,1,1,1,1.0
184,16,v19-loop-024,Melo,Ori,palm_down_pause,after-speech,0,1,1,1.0
185,16,v19-loop-024,Nari,Vonn,two_hand_offer,after-speech,0,1,1,1.0
186,16,v19-loop-024,Ori,Sova,two_hand_offer,before-speech,1,1,1,1.0
187,16,v19-loop-024,Vonn,Keth,witness_nod,after-speech,0,1,0,0.666667
188,16,v19-loop-024,Sova,Melo,hand_raise,after-speech,0,1,1,1.0
189,16,v19-loop-024,Keth,Nari,object_point,after-speech,0,1,1,1.0
190,16,v19-loop-024,Melo,Ori,palm_down_pause,after-speech,0,1,1,1.0
191,16,v19-loop-024,Nari,Vonn,two_hand_offer,before-speech,1,1,1,1.0
192,17,v19-loop-025,Vonn,Keth,step_back_yield,after-speech,0,1,1,1.0
193,17,v19-loop-025,Sova,Melo,witness_nod,after-speech,0,1,1,1.0
194,17,v19-loop-025,Keth,Nari,hand_raise,before-speech,1,1,1,1.0
195,17,v19-loop-025,Melo,Ori,object_point,before-speech,1,1,1,1.0
196,17,v19-loop-025,Nari,Vonn,palm_down_pause,after-speech,0,1,1,1.0
197,17,v19-loop-025,Ori,Sova,palm_down_pause,before-speech,1,1,1,1.0
198,17,v19-loop-025,Vonn,Keth,step_back_yield,after-speech,0,1,0,0.666667
199,17,v19-loop-025,Sova,Melo,witness_nod,after-speech,0,1,1,1.0
200,17,v19-loop-026,Keth,Nari,hand_raise,after-speech,0,1,1,1.0
201,17,v19-loop-026,Melo,Ori,object_point,before-speech,1,1,1,1.0
202,17,v19-loop-026,Nari,Vonn,palm_down_pause,before-speech,1,1,1,1.0
203,17,v19-loop-026,Ori,Sova,palm_down_pause,after-speech,0,0,1,0.333333
204,18,v19-loop-026,Sova,Melo,step_back_yield,before-speech,1,1,1,1.0
205,18,v19-loop-026,Keth,Nari,witness_nod,after-speech,0,1,1,1.0
206,18,v19-loop-026,Melo,Ori,hand_raise,after-speech,0,1,1,1.0
207,18,v19-loop-026,Nari,Vonn,object_point,after-speech,0,0,1,0.333333
208,18,v19-loop-027,Ori,Sova,object_point,after-speech,1,1,1,1.0
209,18,v19-loop-027,Vonn,Keth,two_hand_offer,after-speech,0,1,0,0.666667
210,18,v19-loop-027,Sova,Melo,step_back_yield,after-speech,0,1,1,0.666667
211,18,v19-loop-027,Keth,Nari,witness_nod,after-speech,0,1,1,0.666667
212,18,v19-loop-027,Melo,Ori,hand_raise,before-speech,1,1,1,1.0
213,18,v19-loop-027,Nari,Vonn,object_point,after-speech,1,1,1,1.0
214,18,v19-loop-027,Ori,Sova,object_point,before-speech,1,1,1,1.0
215,18,v19-loop-027,Vonn,Keth,two_hand_offer,after-speech,0,1,1,1.0
216,19,v19-loop-028,Keth,Nari,step_back_yield,after-speech,0,1,1,1.0
217,19,v19-loop-028,Melo,Ori,witness_nod,after-speech,0,1,1,1.0
218,19,v19-loop-028,Nari,Vonn,hand_raise,before-speech,1,1,1,1.0
219,19,v19-loop-028,Ori,Sova,hand_raise,after-speech,0,1,1,1.0
220,19,v19-loop-028,Vonn,Keth,palm_down_pause,after-speech,0,1,1,0.666667
221,19,v19-loop-028,Sova,Melo,two_hand_offer,after-speech,0,1,1,1.0
222,19,v19-loop-028,Keth,Nari,step_back_yield,after-speech,1,1,1,1.0
223,19,v19-loop-028,Melo,Ori,witness_nod,after-speech,0,1,1,1.0
224,19,v19-loop-029,Nari,Vonn,hand_raise,after-speech,0,1,1,1.0
225,19,v19-loop-029,Ori,Sova,hand_raise,after-speech,0,1,1,1.0
226,19,v19-loop-029,Vonn,Keth,palm_down_pause,before-speech,1,1,1,1.0
227,19,v19-loop-029,Sova,Melo,two_hand_offer,after-speech,0,1,1,1.0
228,20,v19-loop-029,Melo,Ori,step_back_yield,after-speech,0,1,1,1.0
229,20,v19-loop-029,Nari,Vonn,witness_nod,after-speech,0,1,1,1.0
230,20,v19-loop-029,Ori,Sova,witness_nod,after-speech,0,1,1,0.666667
231,20,v19-loop-029,Vonn,Keth,object_point,before-speech,1,1,0,0.666667
232,20,v19-loop-030,Sova,Melo,palm_down_pause,after-speech,0,1,1,1.0
233,20,v19-loop-030,Keth,Nari,two_hand_offer,before-speech,1,1,1,1.0
234,20,v19-loop-030,Melo,Ori,step_back_yield,after-speech,0,1,1,1.0
235,20,v19-loop-030,Nari,Vonn,witness_nod,after-speech,0,1,1,0.666667
236,20,v19-loop-030,Ori,Sova,witness_nod,after-speech,1,0,1,0.666667
237,20,v19-loop-030,Vonn,Keth,object_point,before-speech,1,1,1,1.0
238,20,v19-loop-030,Sova,Melo,palm_down_pause,before-speech,1,1,1,1.0
239,20,v19-loop-030,Keth,Nari,two_hand_offer,before-speech,1,1,1,1.0
240,21,v19-loop-031,Nari,Vonn,step_back_yield,after-speech,0,1,1,1.0
241,21,v19-loop-031,Ori,Sova,step_back_yield,after-speech,0,1,1,1.0
242,21,v19-loop-031,Vonn,Keth,hand_raise,after-speech,0,1,0,0.666667
243,21,v19-loop-031,Sova,Melo,object_point,after-speech,0,1,1,1.0
244,21,v19-loop-031,Keth,Nari,palm_down_pause,after-speech,0,1,1,1.0
245,21,v19-loop-031,Melo,Ori,two_hand_offer,after-speech,0,1,1,1.0
246,21,v19-loop-031,Nari,Vonn,step_back_yield,before-speech,1,1,1,1.0
247,21,v19-loop-031,Ori,Sova,step_back_yield,before-speech,1,1,1,1.0
248,21,v19-loop-032,Vonn,Keth,hand_raise,after-speech,0,1,1,1.0
249,21,v19-loop-032,Sova,Melo,object_point,after-speech,0,1,1,1.0
250,21,v19-loop-032,Keth,Nari,palm_down_pause,after-speech,1,1,1,1.0
251,21,v19-loop-032,Melo,Ori,two_hand_offer,before-speech,1,1,1,1.0
252,22,v19-loop-032,Ori,Sova,two_hand_offer,before-speech,1,1,1,1.0
253,22,v19-loop-032,Vonn,Keth,witness_nod,after-speech,0,1,0,0.666667
254,22,v19-loop-032,Sova,Melo,hand_raise,after-speech,0,1,1,1.0
255,22,v19-loop-032,Keth,Nari,object_point,after-speech,0,1,1,1.0
256,22,v19-loop-033,Melo,Ori,palm_down_pause,after-speech,0,1,1,0.666667
257,22,v19-loop-033,Nari,Vonn,two_hand_offer,after-speech,0,1,1,0.666667
258,22,v19-loop-033,Ori,Sova,two_hand_offer,after-speech,0,1,1,1.0
259,22,v19-loop-033,Vonn,Keth,witness_nod,after-speech,0,1,1,1.0
260,22,v19-loop-033,Sova,Melo,hand_raise,before-speech,1,1,1,1.0
261,22,v19-loop-033,Keth,Nari,object_point,before-speech,0,0,1,0.333333
262,22,v19-loop-033,Melo,Ori,palm_down_pause,after-speech,0,1,1,1.0
263,22,v19-loop-033,Nari,Vonn,two_hand_offer,after-speech,0,1,1,1.0
264,23,v19-loop-034,Vonn,Keth,step_back_yield,before-speech,1,1,0,0.666667
265,23,v19-loop-034,Sova,Melo,witness_nod,before-speech,1,0,1,0.666667
266,23,v19-loop-034,Keth,Nari,hand_raise,after-speech,0,1,1,1.0
267,23,v19-loop-034,Melo,Ori,object_point,after-speech,0,1,1,1.0
268,23,v19-loop-034,Nari,Vonn,palm_down_pause,after-speech,0,1,1,1.0
269,23,v19-loop-034,Ori,Sova,palm_down_pause,after-speech,1,1,1,1.0
270,23,v19-loop-034,Vonn,Keth,step_back_yield,before-speech,1,1,1,1.0
271,23,v19-loop-034,Sova,Melo,witness_nod,after-speech,1,1,1,1.0
272,23,v19-loop-035,Keth,Nari,hand_raise,before-speech,1,1,1,1.0
273,23,v19-loop-035,Melo,Ori,object_point,after-speech,0,1,1,1.0
274,23,v19-loop-035,Nari,Vonn,palm_down_pause,after-speech,0,1,1,1.0
275,23,v19-loop-035,Ori,Sova,palm_down_pause,before-speech,1,1,0,0.666667
276,24,v19-loop-035,Sova,Melo,step_back_yield,before-speech,1,1,1,1.0
277,24,v19-loop-035,Keth,Nari,witness_nod,before-speech,1,1,1,1.0
278,24,v19-loop-035,Melo,Ori,hand_raise,after-speech,0,1,1,1.0
279,24,v19-loop-035,Nari,Vonn,object_point,after-speech,0,1,1,0.666667
280,24,v19-loop-036,Ori,Sova,object_point,after-speech,1,1,1,1.0
281,24,v19-loop-036,Vonn,Keth,two_hand_offer,after-speech,0,1,1,0.666667
282,24,v19-loop-036,Sova,Melo,step_back_yield,after-speech,0,1,1,1.0
283,24,v19-loop-036,Keth,Nari,witness_nod,after-speech,0,1,1,1.0
284,24,v19-loop-036,Melo,Ori,hand_raise,before-speech,1,1,1,1.0
285,24,v19-loop-036,Nari,Vonn,object_point,after-speech,1,1,1,1.0
286,24,v19-loop-036,Ori,Sova,object_point,before-speech,1,1,0,0.666667
287,24,v19-loop-036,Vonn,Keth,two_hand_offer,before-speech,1,1,1,1.0
288,25,v19-loop-037,Keth,Nari,step_back_yield,before-speech,1,1,1,1.0
289,25,v19-loop-037,Melo,Ori,witness_nod,after-speech,0,1,1,0.666667
290,25,v19-loop-037,Nari,Vonn,hand_raise,after-speech,0,1,1,1.0
291,25,v19-loop-037,Ori,Sova,hand_raise,after-speech,1,1,1,1.0
292,25,v19-loop-037,Vonn,Keth,palm_down_pause,after-speech,0,1,1,1.0
293,25,v19-loop-037,Sova,Melo,two_hand_offer,after-speech,0,1,1,1.0
294,25,v19-loop-037,Keth,Nari,step_back_yield,before-speech,1,0,1,0.666667
295,25,v19-loop-037,Melo,Ori,witness_nod,after-speech,0,1,1,1.0
296,25,v19-loop-038,Nari,Vonn,hand_raise,after-speech,1,1,1,1.0
297,25,v19-loop-038,Ori,Sova,hand_raise,after-speech,0,1,1,0.666667
298,25,v19-loop-038,Vonn,Keth,palm_down_pause,after-speech,0,1,1,1.0
299,25,v19-loop-038,Sova,Melo,two_hand_offer,after-speech,0,1,1,0.666667
300,26,v19-loop-038,Melo,Ori,step_back_yield,after-speech,1,1,1,1.0
301,26,v19-loop-038,Nari,Vonn,witness_nod,after-speech,0,1,1,1.0
302,26,v19-loop-038,Ori,Sova,witness_nod,before-speech,1,1,1,1.0
303,26,v19-loop-038,Vonn,Keth,object_point,before-speech,1,1,1,1.0
304,26,v19-loop-039,Sova,Melo,palm_down_pause,before-speech,1,1,1,1.0
305,26,v19-loop-039,Keth,Nari,two_hand_offer,before-speech,1,1,1,1.0
306,26,v19-loop-039,Melo,Ori,step_back_yield,after-speech,0,1,1,1.0
307,26,v19-loop-039,Nari,Vonn,witness_nod,after-speech,0,1,1,1.0
308,26,v19-loop-039,Ori,Sova,witness_nod,after-speech,0,1,0,0.666667
309,26,v19-loop-039,Vonn,Keth,object_point,after-speech,0,1,1,1.0
310,26,v19-loop-039,Sova,Melo,palm_down_pause,after-speech,0,1,1,0.666667
311,26,v19-loop-039,Keth,Nari,two_hand_offer,after-speech,1,1,1,1.0
312,27,v19-loop-040,Nari,Vonn,step_back_yield,after-speech,1,1,1,1.0
313,27,v19-loop-040,Ori,Sova,step_back_yield,after-speech,1,1,1,1.0
314,27,v19-loop-040,Vonn,Keth,hand_raise,after-speech,0,1,1,1.0
315,27,v19-loop-040,Sova,Melo,object_point,after-speech,0,1,1,0.666667
316,27,v19-loop-040,Keth,Nari,palm_down_pause,after-speech,0,1,1,1.0
317,27,v19-loop-040,Melo,Ori,two_hand_offer,after-speech,0,1,1,1.0
318,27,v19-loop-040,Nari,Vonn,step_back_yield,after-speech,1,1,1,1.0
319,27,v19-loop-040,Ori,Sova,step_back_yield,after-speech,0,1,0,0.666667
320,27,v19-loop-041,Vonn,Keth,hand_raise,after-speech,0,1,1,1.0
321,27,v19-loop-041,Sova,Melo,object_point,after-speech,0,1,1,1.0
322,27,v19-loop-041,Keth,Nari,palm_down_pause,before-speech,1,1,1,1.0
323,27,v19-loop-041,Melo,Ori,two_hand_offer,after-speech,1,0,1,0.666667
324,28,v19-loop-041,Ori,Sova,two_hand_offer,after-speech,0,1,1,0.666667
325,28,v19-loop-041,Vonn,Keth,witness_nod,after-speech,0,1,1,0.666667
326,28,v19-loop-041,Sova,Melo,hand_raise,after-speech,1,1,1,1.0
327,28,v19-loop-041,Keth,Nari,object_point,after-speech,0,1,1,0.666667
328,28,v19-loop-042,Melo,Ori,palm_down_pause,after-speech,1,1,1,1.0
