tick_id,day,tick,route_id,speaker,listener,dialogue_choice,keyframe_index,pose,gesture,gaze_target,mouth_shape,screen_x,screen_y,animation_visible,private_workspace_sealed
40,4,4,orchard_riverbend,Ivo,Ari,ask rollback,0,open forward lean,step back,avatar,soft close,0.58,0.32,True,True
41,4,5,central_repair_ring,Pax,Juno,ask merge,2,relieved reset stance,tight grip,avatar,long syllable,0.694,0.39,True,True
42,4,6,riverbend_roofward,Ari,Fay,none,4,open forward lean,small nod,route board,rest,0.208,0.46,True,True
43,4,7,roofward_archive,Nia,Fay,ask rollback,0,open forward lean,tight grip,avatar,long syllable,0.322,0.32,True,True
44,4,8,archive_signal,Nia,Milo,none,2,open forward lean,small nod,route board,rest,0.38,0.39,True,True
45,4,9,signal_orchard,Ivo,Milo,none,4,open forward lean,small nod,route board,rest,0.494,0.46,False,True
46,4,10,orchard_riverbend,Ivo,Ari,ask rollback,0,open forward lean,step back,avatar,rest,0.608,0.32,True,True
47,4,11,central_repair_ring,Pax,Juno,ask merge,2,relieved reset stance,tight grip,avatar,pause,0.722,0.39,True,True
48,5,0,riverbend_roofward,Ari,Fay,none,5,open forward lean,small nod,route board,rest,0.18,0.495,True,True
49,5,1,roofward_archive,Nia,Fay,ask rollback,1,guarded crossed arms,small nod,avatar,long syllable,0.294,0.355,True,True
50,5,2,archive_signal,Nia,Milo,none,3,guarded crossed arms,small nod,route board,rest,0.408,0.425,False,True
51,5,3,signal_orchard,Ivo,Milo,none,5,open forward lean,small nod,route board,rest,0.522,0.495,True,True
52,5,4,orchard_riverbend,Ivo,Ari,ask rollback,1,guarded crossed arms,two-hand offer,avatar,rest,0.58,0.355,True,True
53,5,5,central_repair_ring,Pax,Juno,none,3,relieved reset stance,small nod,route board,rest,0.694,0.425,True,True
54,5,6,riverbend_roofward,Ari,Fay,none,5,open forward lean,small nod,route board,rest,0.208,0.495,True,True
55,5,7,roofward_archive,Nia,Fay,ask rollback,1,guarded crossed arms,small nod,avatar,pause,0.322,0.355,True,True
56,5,8,archive_signal,Nia,Milo,none,3,guarded crossed arms,small nod,route board,rest,0.38,0.425,True,True
57,5,9,signal_orchard,Ivo,Milo,none,5,guarded crossed arms,small nod,route board,rest,0.494,0.495,True,True
58,5,10,orchard_riverbend,Ivo,Ari,ask rollback,1,guarded crossed arms,two-hand offer,avatar,short syllable,0.608,0.355,True,True
59,5,11,central_repair_ring,Pax,Juno,none,3,relieved reset stance,small nod,route board,rest,0.722,0.425,True,True
60,6,0,roofward_archive,Fay,Nia,none,1,listening tilt,small nod,route board,rest,0.28,0.355,False,True
61,6,1,archive_signal,Milo,Nia,ask merge,3,careful pointing,two-hand offer,avatar,soft close,0.394,0.425,True,True
62,6,2,signal_orchard,Milo,Ivo,ask merge,5,route-board reach,small nod,avatar,long syllable,0.508,0.495,True,True
63,6,3,orchard_riverbend,Ari,Ivo,none,1,open forward lean,small nod,route board,rest,0.622,0.355,True,True
64,6,4,central_repair_ring,Juno,Pax,ask merge,3,careful pointing,small nod,avatar,long syllable,0.68,0.425,True,True
65,6,5,riverbend_roofward,Fay,Ari,none,5,listening tilt,small nod,route board,rest,0.194,0.495,False,True
66,6,6,roofward_archive,Fay,Nia,none,1,listening tilt,small nod,route board,rest,0.308,0.355,True,True
67,6,7,archive_signal,Milo,Nia,ask merge,3,careful pointing,two-hand offer,avatar,rest,0.422,0.425,True,True
68,6,8,signal_orchard,Milo,Ivo,ask rollback,5,route-board reach,small nod,avatar,pause,0.48,0.495,True,True
69,6,9,orchard_riverbend,Ari,Ivo,none,1,open forward lean,small nod,route board,rest,0.594,0.355,True,True
70,6,10,central_repair_ring,Juno,Pax,ask merge,3,careful pointing,small nod,avatar,pause,0.708,0.425,True,True
71,6,11,riverbend_roofward,Fay,Ari,none,5,listening tilt,small nod,route board,rest,0.222,0.495,True,True
72,7,0,roofward_archive,Fay,Nia,none,2,listening tilt,small nod,route board,rest,0.28,0.39,True,True
73,7,1,archive_signal,Milo,Nia,ask merge,4,listening tilt,open palm,avatar,rest,0.394,0.46,True,True
74,7,2,signal_orchard,Milo,Ivo,none,0,listening tilt,small nod,route board,rest,0.508,0.32,True,True
75,7,3,orchard_riverbend,Ari,Ivo,none,2,open forward lean,small nod,route board,rest,0.622,0.39,False,True
76,7,4,central_repair_ring,Juno,Pax,ask rollback,4,listening tilt,route point,avatar,pause,0.68,0.46,True,True
77,7,5,riverbend_roofward,Fay,Ari,none,0,listening tilt,small nod,route board,rest,0.194,0.32,True,True
78,7,6,roofward_archive,Fay,Nia,none,2,listening tilt,small nod,route board,rest,0.308,0.39,True,True
79,7,7,archive_signal,Milo,Nia,ask merge,4,listening tilt,open palm,avatar,short syllable,0.422,0.46,True,True
80,7,8,signal_orchard,Milo,Ivo,none,0,listening tilt,small nod,route board,rest,0.48,0.32,False,True
81,7,9,orchard_riverbend,Ari,Ivo,none,2,open forward lean,small nod,route board,rest,0.594,0.39,True,True
82,7,10,central_repair_ring,Juno,Pax,ask rollback,4,listening tilt,route point,avatar,soft close,0.708,0.46,True,True
83,7,11,riverbend_roofward,Fay,Ari,none,0,listening tilt,small nod,route board,rest,0.222,0.32,True,True
84,8,0,roofward_archive,Fay,Nia,ask rollback,3,careful pointing,step back,avatar,pause,0.28,0.425,True,True
85,8,1,archive_signal,Milo,Nia,ask merge,5,route-board reach,tight grip,avatar,short syllable,0.394,0.495,True,True
86,8,2,signal_orchard,Milo,Ivo,none,1,route-board reach,small nod,route board,rest,0.508,0.355,True,True
87,8,3,orchard_riverbend,Ari,Ivo,none,3,open forward lean,small nod,route board,rest,0.622,0.425,True,True
88,8,4,central_repair_ring,Juno,Pax,ask rollback,5,route-board reach,step back,avatar,soft close,0.68,0.495,True,True
89,8,5,riverbend_roofward,Fay,Ari,none,1,careful pointing,small nod,route board,rest,0.194,0.355,True,True
90,8,6,roofward_archive,Fay,Nia,ask rollback,3,careful pointing,step back,avatar,soft close,0.308,0.425,True,True
91,8,7,archive_signal,Milo,Nia,ask merge,5,route-board reach,tight grip,avatar,long syllable,0.422,0.495,True,True
92,8,8,signal_orchard,Milo,Ivo,none,1,route-board reach,small nod,route board,rest,0.48,0.355,True,True
93,8,9,orchard_riverbend,Ari,Ivo,none,3,open forward lean,small nod,route board,rest,0.594,0.425,True,True
94,8,10,central_repair_ring,Juno,Pax,ask rollback,5,route-board reach,step back,avatar,rest,0.708,0.495,True,True
95,8,11,riverbend_roofward,Fay,Ari,none,1,careful pointing,small nod,route board,rest,0.222,0.355,False,True
96,9,0,roofward_archive,Fay,Nia,none,4,careful pointing,small nod,route board,rest,0.28,0.46,True,True
97,9,1,archive_signal,Milo,Nia,ask rollback,0,open forward lean,small nod,avatar,short syllable,0.394,0.32,True,True
98,9,2,signal_orchard,Milo,Ivo,none,2,open forward lean,small nod,route board,rest,0.508,0.39,True,True
99,9,3,orchard_riverbend,Ari,Ivo,none,4,open forward lean,small nod,route board,rest,0.622,0.46,True,True
100,9,4,central_repair_ring,Juno,Pax,ask rollback,0,open forward lean,two-hand offer,avatar,soft close,0.68,0.32,True,True
101,9,5,riverbend_roofward,Fay,Ari,ask merge,2,relieved reset stance,small nod,avatar,long syllable,0.194,0.39,True,True
102,9,6,roofward_archive,Fay,Nia,none,4,relieved reset stance,small nod,route board,rest,0.308,0.46,True,True
103,9,7,archive_signal,Milo,Nia,ask rollback,0,open forward lean,small nod,avatar,long syllable,0.422,0.32,True,True
104,9,8,signal_orchard,Milo,Ivo,none,2,open forward lean,small nod,route board,rest,0.48,0.39,True,True
105,9,9,orchard_riverbend,Ari,Ivo,none,4,open forward lean,small nod,route board,rest,0.594,0.46,False,True
106,9,10,central_repair_ring,Juno,Pax,ask rollback,0,open forward lean,two-hand offer,avatar,rest,0.708,0.32,True,True
107,9,11,riverbend_roofward,Fay,Ari,ask merge,2,relieved reset stance,small nod,avatar,pause,0.222,0.39,True,True
108,10,0,roofward_archive,Fay,Nia,none,5,relieved reset stance,small nod,route board,rest,0.28,0.495,True,True
109,10,1,archive_signal,Milo,Nia,ask rollback,1,guarded crossed arms,route point,avatar,long syllable,0.394,0.355,True,True
110,10,2,signal_orchard,Milo,Ivo,none,3,guarded crossed arms,small nod,route board,rest,0.508,0.425,False,True
111,10,3,orchard_riverbend,Ari,Ivo,none,5,open forward lean,small nod,route board,rest,0.622,0.495,True,True
112,10,4,central_repair_ring,Juno,Pax,ask rollback,1,guarded crossed arms,open palm,avatar,rest,0.68,0.355,True,True
113,10,5,riverbend_roofward,Fay,Ari,none,3,relieved reset stance,small nod,route board,rest,0.194,0.425,True,True
114,10,6,roofward_archive,Fay,Nia,none,5,relieved reset stance,small nod,route board,rest,0.308,0.495,True,True
115,10,7,archive_signal,Milo,Nia,ask rollback,1,guarded crossed arms,route point,avatar,pause,0.422,0.355,True,True
116,10,8,signal_orchard,Milo,Ivo,none,3,guarded crossed arms,small nod,route board,rest,0.48,0.425,True,True
117,10,9,orchard_riverbend,Ari,Ivo,none,5,open forward lean,small nod,route board,rest,0.594,0.495,True,True
118,10,10,central_repair_ring,Juno,Pax,ask rollback,1,guarded crossed arms,open palm,avatar,short syllable,0.708,0.355,True,True
119,10,11,riverbend_roofward,Fay,Ari,none,3,relieved reset stance,small nod,route board,rest,0.222,0.425,True,True
120,11,0,roofward_archive,Fay,Nia,none,0,relieved reset stance,small nod,route board,rest,0.28,0.32,False,True
121,11,1,archive_signal,Milo,Nia,ask rollback,2,relieved reset stance,step back,avatar,pause,0.394,0.39,True,True
122,11,2,signal_orchard,Milo,Ivo,none,4,relieved reset stance,small nod,route board,rest,0.508,0.46,True,True
123,11,3,orchard_riverbend,Ari,Ivo,none,0,open forward lean,small nod,route board,rest,0.622,0.32,True,True
124,11,4,central_repair_ring,Juno,Pax,ask rollback,2,relieved reset stance,tight grip,avatar,short syllable,0.68,0.39,True,True
125,11,5,riverbend_roofward,Fay,Ari,none,4,relieved reset stance,small nod,route board,rest,0.194,0.46,False,True
126,11,6,roofward_archive,Fay,Nia,none,0,relieved reset stance,small nod,route board,rest,0.308,0.32,True,True
127,11,7,archive_signal,Milo,Nia,ask rollback,2,relieved reset stance,step back,avatar,soft close,0.422,0.39,True,True
128,11,8,signal_orchard,Milo,Ivo,none,4,relieved reset stance,small nod,route board,rest,0.48,0.46,True,True
129,11,9,orchard_riverbend,Ari,Ivo,none,0,open forward lean,small nod,route board,rest,0.594,0.32,True,True
130,11,10,central_repair_ring,Juno,Pax,ask rollback,2,relieved reset stance,tight grip,avatar,long syllable,0.708,0.39,True,True
131,11,11,riverbend_roofward,Fay,Ari,none,4,relieved reset stance,small nod,route board,rest,0.222,0.46,True,True
132,12,0,archive_signal,Nia,Milo,none,2,guarded crossed arms,small nod,route board,rest,0.38,0.39,True,True
133,12,1,signal_orchard,Ivo,Milo,ask merge,4,listening tilt,tight grip,avatar,rest,0.494,0.46,True,True
134,12,2,orchard_riverbend,Ivo,Ari,none,0,listening tilt,small nod,route board,rest,0.608,0.32,True,True
135,12,3,central_repair_ring,Pax,Juno,none,2,relieved reset stance,small nod,route board,rest,0.722,0.39,False,True
136,12,4,riverbend_roofward,Ari,Fay,ask merge,4,listening tilt,step back,avatar,pause,0.18,0.46,True,True
137,12,5,roofward_archive,Nia,Fay,none,0,guarded crossed arms,small nod,route board,rest,0.294,0.32,True,True
138,12,6,archive_signal,Nia,Milo,none,2,guarded crossed arms,small nod,route board,rest,0.408,0.39,True,True
139,12,7,signal_orchard,Ivo,Milo,ask merge,4,listening tilt,tight grip,avatar,short syllable,0.522,0.46,True,True
140,12,8,orchard_riverbend,Ivo,Ari,none,0,listening tilt,small nod,route board,rest,0.58,0.32,False,True
141,12,9,central_repair_ring,Pax,Juno,none,2,relieved reset stance,small nod,route board,rest,0.694,0.39,True,True
142,12,10,riverbend_roofward,Ari,Fay,ask merge,4,listening tilt,step back,avatar,soft close,0.208,0.46,True,True
143,12,11,roofward_archive,Nia,Fay,none,0,guarded crossed arms,small nod,route board,rest,0.322,0.32,True,True
144,13,0,archive_signal,Nia,Milo,none,3,guarded crossed arms,small nod,route board,rest,0.38,0.425,True,True
145,13,1,signal_orchard,Ivo,Milo,ask merge,5,route-board reach,small nod,avatar,short syllable,0.494,0.495,True,True
146,13,2,orchard_riverbend,Ivo,Ari,none,1,route-board reach,small nod,route board,rest,0.608,0.355,True,True
147,13,3,central_repair_ring,Pax,Juno,ask rollback,3,careful pointing,small nod,avatar,short syllable,0.722,0.425,True,True
148,13,4,riverbend_roofward,Ari,Fay,ask merge,5,route-board reach,two-hand offer,avatar,soft close,0.18,0.495,True,True
149,13,5,roofward_archive,Nia,Fay,none,1,guarded crossed arms,small nod,route board,rest,0.294,0.355,True,True
150,13,6,archive_signal,Nia,Milo,none,3,guarded crossed arms,small nod,route board,rest,0.408,0.425,False,True
151,13,7,signal_orchard,Ivo,Milo,ask merge,5,route-board reach,small nod,avatar,long syllable,0.522,0.495,True,True
152,13,8,orchard_riverbend,Ivo,Ari,none,1,route-board reach,small nod,route board,rest,0.58,0.355,True,True
153,13,9,central_repair_ring,Pax,Juno,ask merge,3,careful pointing,small nod,avatar,long syllable,0.694,0.425,True,True
154,13,10,riverbend_roofward,Ari,Fay,ask merge,5,route-board reach,two-hand offer,avatar,rest,0.208,0.495,True,True
155,13,11,roofward_archive,Nia,Fay,none,1,guarded crossed arms,small nod,route board,rest,0.322,0.355,False,True
156,14,0,archive_signal,Nia,Milo,none,4,guarded crossed arms,small nod,route board,rest,0.38,0.46,True,True
157,14,1,signal_orchard,Ivo,Milo,ask merge,0,open forward lean,route point,avatar,short syllable,0.494,0.32,True,True
158,14,2,orchard_riverbend,Ivo,Ari,ask merge,2,relieved reset stance,open palm,avatar,soft close,0.608,0.39,True,True
159,14,3,central_repair_ring,Pax,Juno,none,4,careful pointing,small nod,route board,rest,0.722,0.46,True,True
160,14,4,riverbend_roofward,Ari,Fay,ask rollback,0,open forward lean,open palm,avatar,soft close,0.18,0.32,True,True
161,14,5,roofward_archive,Nia,Fay,none,2,guarded crossed arms,small nod,route board,rest,0.294,0.39,True,True
162,14,6,archive_signal,Nia,Milo,none,4,guarded crossed arms,small nod,route board,rest,0.408,0.46,True,True
163,14,7,signal_orchard,Ivo,Milo,ask merge,0,open forward lean,route point,avatar,long syllable,0.522,0.32,True,True
164,14,8,orchard_riverbend,Ivo,Ari,ask rollback,2,relieved reset stance,open palm,avatar,rest,0.58,0.39,True,True
165,14,9,central_repair_ring,Pax,Juno,none,4,careful pointing,small nod,route board,rest,0.694,0.46,False,True
166,14,10,riverbend_roofward,Ari,Fay,ask rollback,0,open forward lean,open palm,avatar,rest,0.208,0.32,True,True
167,14,11,roofward_archive,Nia,Fay,none,2,guarded crossed arms,small nod,route board,rest,0.322,0.39,True,True
168,15,0,archive_signal,Nia,Milo,none,5,guarded crossed arms,small nod,route board,rest,0.38,0.495,True,True
169,15,1,signal_orchard,Ivo,Milo,ask merge,1,guarded crossed arms,step back,avatar,long syllable,0.494,0.355,True,True
170,15,2,orchard_riverbend,Ivo,Ari,none,3,guarded crossed arms,small nod,route board,rest,0.608,0.425,False,True
171,15,3,central_repair_ring,Pax,Juno,none,5,careful pointing,small nod,route board,rest,0.722,0.495,True,True
172,15,4,riverbend_roofward,Ari,Fay,ask rollback,1,guarded crossed arms,tight grip,avatar,rest,0.18,0.355,True,True
173,15,5,roofward_archive,Nia,Fay,none,3,guarded crossed arms,small nod,route board,rest,0.294,0.425,True,True
174,15,6,archive_signal,Nia,Milo,none,5,guarded crossed arms,small nod,route board,rest,0.408,0.495,True,True
175,15,7,signal_orchard,Ivo,Milo,ask merge,1,guarded crossed arms,step back,avatar,pause,0.522,0.355,True,True
176,15,8,orchard_riverbend,Ivo,Ari,none,3,guarded crossed arms,small nod,route board,rest,0.58,0.425,True,True
177,15,9,central_repair_ring,Pax,Juno,none,5,careful pointing,small nod,route board,rest,0.694,0.495,True,True
178,15,10,riverbend_roofward,Ari,Fay,ask rollback,1,guarded crossed arms,tight grip,avatar,short syllable,0.208,0.355,True,True
179,15,11,roofward_archive,Nia,Fay,none,3,guarded crossed arms,small nod,route board,rest,0.322,0.425,True,True
180,16,0,archive_signal,Nia,Milo,ask rollback,0,open forward lean,small nod,avatar,rest,0.38,0.32,True,True
181,16,1,signal_orchard,Ivo,Milo,ask rollback,2,relieved reset stance,two-hand offer,avatar,pause,0.494,0.39,True,True
182,16,2,orchard_riverbend,Ivo,Ari,none,4,relieved reset stance,small nod,route board,rest,0.608,0.46,True,True
183,16,3,central_repair_ring,Pax,Juno,none,0,careful pointing,small nod,route board,rest,0.722,0.32,True,True
184,16,4,riverbend_roofward,Ari,Fay,ask rollback,2,relieved reset stance,small nod,avatar,short syllable,0.18,0.39,True,True
185,16,5,roofward_archive,Nia,Fay,none,4,open forward lean,small nod,route board,rest,0.294,0.46,False,True
186,16,6,archive_signal,Nia,Milo,ask rollback,0,open forward lean,small nod,avatar,short syllable,0.408,0.32,True,True
187,16,7,signal_orchard,Ivo,Milo,ask rollback,2,relieved reset stance,two-hand offer,avatar,soft close,0.522,0.39,True,True
188,16,8,orchard_riverbend,Ivo,Ari,none,4,relieved reset stance,small nod,route board,rest,0.58,0.46,True,True
189,16,9,central_repair_ring,Pax,Juno,none,0,careful pointing,small nod,route board,rest,0.694,0.32,True,True
190,16,10,riverbend_roofward,Ari,Fay,ask rollback,2,relieved reset stance,small nod,avatar,long syllable,0.208,0.39,True,True
191,16,11,roofward_archive,Nia,Fay,none,4,open forward lean,small nod,route board,rest,0.322,0.46,True,True
192,17,0,archive_signal,Nia,Milo,none,1,open forward lean,small nod,route board,rest,0.38,0.355,True,True
193,17,1,signal_orchard,Ivo,Milo,ask rollback,3,careful pointing,open palm,avatar,soft close,0.494,0.425,True,True
194,17,2,orchard_riverbend,Ivo,Ari,none,5,careful pointing,small nod,route board,rest,0.608,0.495,True,True
195,17,3,central_repair_ring,Pax,Juno,none,1,careful pointing,small nod,route board,rest,0.722,0.355,False,True
196,17,4,riverbend_roofward,Ari,Fay,ask rollback,3,careful pointing,route point,avatar,long syllable,0.18,0.425,True,True
197,17,5,roofward_archive,Nia,Fay,ask merge,5,route-board reach,open palm,avatar,rest,0.294,0.495,True,True
198,17,6,archive_signal,Nia,Milo,none,1,route-board reach,small nod,route board,rest,0.408,0.355,True,True
199,17,7,signal_orchard,Ivo,Milo,ask rollback,3,careful pointing,open palm,avatar,rest,0.522,0.425,True,True
200,17,8,orchard_riverbend,Ivo,Ari,none,5,careful pointing,small nod,route board,rest,0.58,0.495,False,True
201,17,9,central_repair_ring,Pax,Juno,none,1,careful pointing,small nod,route board,rest,0.694,0.355,True,True
202,17,10,riverbend_roofward,Ari,Fay,ask rollback,3,careful pointing,route point,avatar,pause,0.208,0.425,True,True
203,17,11,roofward_archive,Nia,Fay,ask merge,5,route-board reach,open palm,avatar,short syllable,0.322,0.495,True,True
204,18,0,signal_orchard,Milo,Ivo,none,3,relieved reset stance,small nod,route board,rest,0.48,0.425,True,True
205,18,1,orchard_riverbend,Ari,Ivo,ask merge,5,route-board reach,route point,avatar,short syllable,0.594,0.495,True,True
206,18,2,central_repair_ring,Juno,Pax,none,1,relieved reset stance,small nod,route board,rest,0.708,0.355,True,True
207,18,3,riverbend_roofward,Fay,Ari,ask rollback,3,careful pointing,route point,avatar,short syllable,0.222,0.425,True,True
208,18,4,roofward_archive,Fay,Nia,ask merge,5,route-board reach,open palm,avatar,soft close,0.28,0.495,True,True
209,18,5,archive_signal,Milo,Nia,none,1,relieved reset stance,small nod,route board,rest,0.394,0.355,True,True
210,18,6,signal_orchard,Milo,Ivo,none,3,relieved reset stance,small nod,route board,rest,0.508,0.425,False,True
211,18,7,orchard_riverbend,Ari,Ivo,ask merge,5,route-board reach,route point,avatar,long syllable,0.622,0.495,True,True
212,18,8,central_repair_ring,Juno,Pax,none,1,relieved reset stance,small nod,route board,rest,0.68,0.355,True,True
213,18,9,riverbend_roofward,Fay,Ari,ask rollback,3,careful pointing,route point,avatar,long syllable,0.194,0.425,True,True
214,18,10,roofward_archive,Fay,Nia,ask merge,5,route-board reach,open palm,avatar,rest,0.308,0.495,True,True
215,18,11,archive_signal,Milo,Nia,none,1,relieved reset stance,small nod,route board,rest,0.422,0.355,False,True
216,19,0,signal_orchard,Milo,Ivo,none,4,relieved reset stance,small nod,route board,rest,0.48,0.46,True,True
217,19,1,orchard_riverbend,Ari,Ivo,ask merge,0,open forward lean,step back,avatar,short syllable,0.594,0.32,True,True
218,19,2,central_repair_ring,Juno,Pax,none,2,relieved reset stance,small nod,route board,rest,0.708,0.39,True,True
219,19,3,riverbend_roofward,Fay,Ari,none,4,route-board reach,small nod,route board,rest,0.222,0.46,True,True
220,19,4,roofward_archive,Fay,Nia,ask merge,0,open forward lean,tight grip,avatar,soft close,0.28,0.32,True,True
221,19,5,archive_signal,Milo,Nia,none,2,relieved reset stance,small nod,route board,rest,0.394,0.39,True,True
222,19,6,signal_orchard,Milo,Ivo,none,4,relieved reset stance,small nod,route board,rest,0.508,0.46,True,True
223,19,7,orchard_riverbend,Ari,Ivo,ask rollback,0,open forward lean,step back,avatar,long syllable,0.622,0.32,True,True
224,19,8,central_repair_ring,Juno,Pax,none,2,relieved reset stance,small nod,route board,rest,0.68,0.39,True,True
225,19,9,riverbend_roofward,Fay,Ari,none,4,open forward lean,small nod,route board,rest,0.194,0.46,False,True
226,19,10,roofward_archive,Fay,Nia,ask merge,0,open forward lean,tight grip,avatar,rest,0.308,0.32,True,True
227,19,11,archive_signal,Milo,Nia,none,2,relieved reset stance,small nod,route board,rest,0.422,0.39,True,True
228,20,0,signal_orchard,Milo,Ivo,none,5,relieved reset stance,small nod,route board,rest,0.48,0.495,True,True
229,20,1,orchard_riverbend,Ari,Ivo,ask rollback,1,guarded crossed arms,two-hand offer,avatar,long syllable,0.594,0.355,True,True
230,20,2,central_repair_ring,Juno,Pax,none,3,relieved reset stance,small nod,route board,rest,0.708,0.425,False,True
231,20,3,riverbend_roofward,Fay,Ari,none,5,open forward lean,small nod,route board,rest,0.222,0.495,True,True
232,20,4,roofward_archive,Fay,Nia,ask merge,1,guarded crossed arms,small nod,avatar,rest,0.28,0.355,True,True
233,20,5,archive_signal,Milo,Nia,none,3,relieved reset stance,small nod,route board,rest,0.394,0.425,True,True
234,20,6,signal_orchard,Milo,Ivo,none,5,relieved reset stance,small nod,route board,rest,0.508,0.495,True,True
235,20,7,orchard_riverbend,Ari,Ivo,ask rollback,1,guarded crossed arms,two-hand offer,avatar,pause,0.622,0.355,True,True
236,20,8,central_repair_ring,Juno,Pax,none,3,relieved reset stance,small nod,route board,rest,0.68,0.425,True,True
237,20,9,riverbend_roofward,Fay,Ari,none,5,guarded crossed arms,small nod,route board,rest,0.194,0.495,True,True
238,20,10,roofward_archive,Fay,Nia,ask merge,1,guarded crossed arms,small nod,avatar,short syllable,0.308,0.355,True,True
239,20,11,archive_signal,Milo,Nia,none,3,relieved reset stance,small nod,route board,rest,0.422,0.425,True,True
240,21,0,signal_orchard,Milo,Ivo,none,0,relieved reset stance,small nod,route board,rest,0.48,0.32,False,True
