frame_id,generation,household,token,inherited_variant,meaning,inherited_strength,innovation_rate,semantic_retention,ritual_binding,lineage_reason
19,4,Hearthnest,lum,lum-g40,warm care,0.80672,0.092,0.984298,0.9154,care lineage
19,4,Hearthnest,ori,ori-g41,shared ritual,0.806,0.11,0.98028,0.9154,care lineage
19,4,Hearthnest,sova,sova-g42,sleep safely,0.80528,0.128,1.0,0.9154,boundary lineage
20,4,Routehall,tek,tek-g40,repair work,0.78792,0.092,0.982794,0.81095,work lineage
20,4,Routehall,nari,nari-g41,respect boundary,0.7872,0.11,1.0,0.81095,boundary lineage
20,4,Routehall,keth,keth-g42,remembered help,0.78648,0.128,1.0,0.81095,care lineage
21,4,Marketroof,melo,melo-g40,market exchange,0.78692,0.092,0.982714,0.81335,work lineage
21,4,Marketroof,keth,keth-g41,remembered help,0.7862,0.11,1.0,0.81335,care lineage
21,4,Marketroof,vonn,vonn-g42,pressure warning,0.78548,0.128,0.974678,0.81335,boundary lineage
22,4,Quietledger,nari,nari-g40,respect boundary,0.79012,0.092,1.0,0.80855,boundary lineage
22,4,Quietledger,vonn,vonn-g41,pressure warning,0.7894,0.11,0.978952,0.80855,boundary lineage
22,4,Quietledger,sova,sova-g42,sleep safely,0.78868,0.128,1.0,0.88855,boundary lineage
23,4,Orchardring,lum,lum-g40,warm care,0.78892,0.092,0.982874,0.89575,care lineage
23,4,Orchardring,melo,melo-g41,market exchange,0.7882,0.11,0.978856,0.81575,work lineage
23,4,Orchardring,tek,tek-g42,repair work,0.78748,0.128,0.974838,0.81575,work lineage
24,4,Rainloft,sova,sova-g40,sleep safely,0.78932,0.092,1.0,0.88975,boundary lineage
24,4,Rainloft,vonn,vonn-g41,pressure warning,0.7886,0.11,0.978888,0.80975,boundary lineage
24,4,Rainloft,nari,nari-g42,respect boundary,0.78788,0.128,1.0,0.80975,boundary lineage
25,5,Hearthnest,lum,lum-g50,warm care,0.8148,0.14,0.974384,0.9154,care lineage
25,5,Hearthnest,ori,ori-g51,shared ritual,0.81408,0.158,0.970366,0.9154,care lineage
25,5,Hearthnest,sova,sova-g52,sleep safely,0.81336,0.176,1.0,0.9154,boundary lineage
26,5,Routehall,tek,tek-g50,repair work,0.796,0.14,0.97288,0.81095,work lineage
26,5,Routehall,nari,nari-g51,respect boundary,0.79528,0.158,1.0,0.81095,boundary lineage
26,5,Routehall,keth,keth-g52,remembered help,0.79456,0.176,1.0,0.81095,care lineage
27,5,Marketroof,melo,melo-g50,market exchange,0.795,0.14,0.9728,0.81335,work lineage
27,5,Marketroof,keth,keth-g51,remembered help,0.79428,0.158,1.0,0.81335,care lineage
27,5,Marketroof,vonn,vonn-g52,pressure warning,0.79356,0.176,0.964765,0.81335,boundary lineage
28,5,Quietledger,nari,nari-g50,respect boundary,0.7982,0.14,1.0,0.80855,boundary lineage
28,5,Quietledger,vonn,vonn-g51,pressure warning,0.79748,0.158,0.969038,0.80855,boundary lineage
28,5,Quietledger,sova,sova-g52,sleep safely,0.79676,0.176,1.0,0.88855,boundary lineage
29,5,Orchardring,lum,lum-g50,warm care,0.797,0.14,0.97296,0.89575,care lineage
29,5,Orchardring,melo,melo-g51,market exchange,0.79628,0.158,0.968942,0.81575,work lineage
29,5,Orchardring,tek,tek-g52,repair work,0.79556,0.176,0.964925,0.81575,work lineage
30,5,Rainloft,sova,sova-g50,sleep safely,0.7974,0.14,1.0,0.88975,boundary lineage
30,5,Rainloft,vonn,vonn-g51,pressure warning,0.79668,0.158,0.968974,0.80975,boundary lineage
30,5,Rainloft,nari,nari-g52,respect boundary,0.79596,0.176,1.0,0.80975,boundary lineage
31,6,Hearthnest,lum,lum-g00,warm care,0.82608,0.108,0.982326,0.9154,care lineage
31,6,Hearthnest,ori,ori-g01,shared ritual,0.82536,0.126,0.978309,0.9154,care lineage
31,6,Hearthnest,sova,sova-g02,sleep safely,0.82464,0.144,1.0,0.9154,boundary lineage
32,6,Routehall,tek,tek-g00,repair work,0.80728,0.108,0.980822,0.81095,work lineage
32,6,Routehall,nari,nari-g01,respect boundary,0.80656,0.126,1.0,0.81095,boundary lineage
32,6,Routehall,keth,keth-g02,remembered help,0.80584,0.144,1.0,0.81095,care lineage
33,6,Marketroof,melo,melo-g00,market exchange,0.80628,0.108,0.980742,0.81335,work lineage
33,6,Marketroof,keth,keth-g01,remembered help,0.80556,0.126,1.0,0.81335,care lineage
33,6,Marketroof,vonn,vonn-g02,pressure warning,0.80484,0.144,0.972707,0.81335,boundary lineage
34,6,Quietledger,nari,nari-g00,respect boundary,0.80948,0.108,1.0,0.80855,boundary lineage
34,6,Quietledger,vonn,vonn-g01,pressure warning,0.80876,0.126,0.976981,0.80855,boundary lineage
34,6,Quietledger,sova,sova-g02,sleep safely,0.80804,0.144,1.0,0.88855,boundary lineage
35,6,Orchardring,lum,lum-g00,warm care,0.80828,0.108,0.980902,0.89575,care lineage
35,6,Orchardring,melo,melo-g01,market exchange,0.80756,0.126,0.976885,0.81575,work lineage
35,6,Orchardring,tek,tek-g02,repair work,0.80684,0.144,0.972867,0.81575,work lineage
36,6,Rainloft,sova,sova-g00,sleep safely,0.80868,0.108,1.0,0.88975,boundary lineage
36,6,Rainloft,vonn,vonn-g01,pressure warning,0.80796,0.126,0.976917,0.80975,boundary lineage
36,6,Rainloft,nari,nari-g02,respect boundary,0.80724,0.144,1.0,0.80975,boundary lineage
37,7,Hearthnest,lum,lum-g10,warm care,0.83576,0.116,0.981341,0.9154,care lineage
37,7,Hearthnest,ori,ori-g11,shared ritual,0.83504,0.134,0.977323,0.9154,care lineage
37,7,Hearthnest,sova,sova-g12,sleep safely,0.83432,0.152,1.0,0.9154,boundary lineage
38,7,Routehall,tek,tek-g10,repair work,0.81696,0.116,0.979837,0.81095,work lineage
38,7,Routehall,nari,nari-g11,respect boundary,0.81624,0.134,1.0,0.81095,boundary lineage
38,7,Routehall,keth,keth-g12,remembered help,0.81552,0.152,1.0,0.81095,care lineage
39,7,Marketroof,melo,melo-g10,market exchange,0.81596,0.116,0.979757,0.81335,work lineage
39,7,Marketroof,keth,keth-g11,remembered help,0.81524,0.134,1.0,0.81335,care lineage
39,7,Marketroof,vonn,vonn-g12,pressure warning,0.81452,0.152,0.971722,0.81335,boundary lineage
40,7,Quietledger,nari,nari-g10,respect boundary,0.81916,0.116,1.0,0.80855,boundary lineage
40,7,Quietledger,vonn,vonn-g11,pressure warning,0.81844,0.134,0.975995,0.80855,boundary lineage
40,7,Quietledger,sova,sova-g12,sleep safely,0.81772,0.152,1.0,0.88855,boundary lineage
41,7,Orchardring,lum,lum-g10,warm care,0.81796,0.116,0.979917,0.89575,care lineage
41,7,Orchardring,melo,melo-g11,market exchange,0.81724,0.134,0.975899,0.81575,work lineage
41,7,Orchardring,tek,tek-g12,repair work,0.81652,0.152,0.971882,0.81575,work lineage
42,7,Rainloft,sova,sova-g10,sleep safely,0.81836,0.116,1.0,0.88975,boundary lineage
42,7,Rainloft,vonn,vonn-g11,pressure warning,0.81764,0.134,0.975931,0.80975,boundary lineage
42,7,Rainloft,nari,nari-g12,respect boundary,0.81692,0.152,1.0,0.80975,boundary lineage
43,8,Hearthnest,lum,lum-g20,warm care,0.84544,0.124,0.980355,0.92665,care lineage
43,8,Hearthnest,ori,ori-g21,shared ritual,0.84472,0.142,0.976338,0.92665,care lineage
43,8,Hearthnest,sova,sova-g22,sleep safely,0.844,0.16,1.0,0.92665,boundary lineage
44,8,Routehall,tek,tek-g20,repair work,0.82664,0.124,0.978851,0.8222,work lineage
44,8,Routehall,nari,nari-g21,respect boundary,0.82592,0.142,1.0,0.8222,boundary lineage
44,8,Routehall,keth,keth-g22,remembered help,0.8252,0.16,1.0,0.8222,care lineage
45,8,Marketroof,melo,melo-g20,market exchange,0.82564,0.124,0.978771,0.8246,work lineage
45,8,Marketroof,keth,keth-g21,remembered help,0.82492,0.142,1.0,0.8246,care lineage
45,8,Marketroof,vonn,vonn-g22,pressure warning,0.8242,0.16,0.970736,0.8246,boundary lineage
46,8,Quietledger,nari,nari-g20,respect boundary,0.82884,0.124,1.0,0.8198,boundary lineage
46,8,Quietledger,vonn,vonn-g21,pressure warning,0.82812,0.142,0.97501,0.8198,boundary lineage
46,8,Quietledger,sova,sova-g22,sleep safely,0.8274,0.16,1.0,0.8998,boundary lineage
47,8,Orchardring,lum,lum-g20,warm care,0.82764,0.124,0.978931,0.907,care lineage
47,8,Orchardring,melo,melo-g21,market exchange,0.82692,0.142,0.974914,0.827,work lineage
47,8,Orchardring,tek,tek-g22,repair work,0.8262,0.16,0.970896,0.827,work lineage
48,8,Rainloft,sova,sova-g20,sleep safely,0.82804,0.124,1.0,0.901,boundary lineage
48,8,Rainloft,vonn,vonn-g21,pressure warning,0.82732,0.142,0.974946,0.821,boundary lineage
48,8,Rainloft,nari,nari-g22,respect boundary,0.8266,0.16,1.0,0.821,boundary lineage
49,9,Hearthnest,lum,lum-g30,warm care,0.85512,0.132,0.97937,0.92665,care lineage
49,9,Hearthnest,ori,ori-g31,shared ritual,0.8544,0.15,0.975352,0.92665,care lineage
49,9,Hearthnest,sova,sova-g32,sleep safely,0.85368,0.168,1.0,0.92665,boundary lineage
50,9,Routehall,tek,tek-g30,repair work,0.83632,0.132,0.977866,0.8222,work lineage
50,9,Routehall,nari,nari-g31,respect boundary,0.8356,0.15,1.0,0.8222,boundary lineage
50,9,Routehall,keth,keth-g32,remembered help,0.83488,0.168,1.0,0.8222,care lineage
51,9,Marketroof,melo,melo-g30,market exchange,0.83532,0.132,0.977786,0.8246,work lineage
51,9,Marketroof,keth,keth-g31,remembered help,0.8346,0.15,1.0,0.8246,care lineage
51,9,Marketroof,vonn,vonn-g32,pressure warning,0.83388,0.168,0.96975,0.8246,boundary lineage
52,9,Quietledger,nari,nari-g30,respect boundary,0.83852,0.132,1.0,0.8198,boundary lineage
52,9,Quietledger,vonn,vonn-g31,pressure warning,0.8378,0.15,0.974024,0.8198,boundary lineage
52,9,Quietledger,sova,sova-g32,sleep safely,0.83708,0.168,1.0,0.8998,boundary lineage
53,9,Orchardring,lum,lum-g30,warm care,0.83732,0.132,0.977946,0.907,care lineage
53,9,Orchardring,melo,melo-g31,market exchange,0.8366,0.15,0.973928,0.827,work lineage
53,9,Orchardring,tek,tek-g32,repair work,0.83588,0.168,0.96991,0.827,work lineage
54,9,Rainloft,sova,sova-g30,sleep safely,0.83772,0.132,1.0,0.901,boundary lineage
54,9,Rainloft,vonn,vonn-g31,pressure warning,0.837,0.15,0.97396,0.821,boundary lineage
54,9,Rainloft,nari,nari-g32,respect boundary,0.83628,0.168,1.0,0.821,boundary lineage
55,10,Hearthnest,lum,lum-g40,warm care,0.8632,0.18,0.969456,0.92665,care lineage
55,10,Hearthnest,ori,ori-g41,shared ritual,0.86248,0.198,0.965438,0.92665,care lineage
55,10,Hearthnest,sova,sova-g42,sleep safely,0.86176,0.216,1.0,0.92665,boundary lineage
56,10,Routehall,tek,tek-g40,repair work,0.8444,0.18,0.967952,0.8222,work lineage
56,10,Routehall,nari,nari-g41,respect boundary,0.84368,0.198,1.0,0.8222,boundary lineage
56,10,Routehall,keth,keth-g42,remembered help,0.84296,0.216,0.999917,0.8222,care lineage
57,10,Marketroof,melo,melo-g40,market exchange,0.8434,0.18,0.967872,0.8246,work lineage
57,10,Marketroof,keth,keth-g41,remembered help,0.84268,0.198,1.0,0.8246,care lineage
57,10,Marketroof,vonn,vonn-g42,pressure warning,0.84196,0.216,0.959837,0.8246,boundary lineage
58,10,Quietledger,nari,nari-g40,respect boundary,0.8466,0.18,1.0,0.8198,boundary lineage
58,10,Quietledger,vonn,vonn-g41,pressure warning,0.84588,0.198,0.96411,0.8198,boundary lineage
58,10,Quietledger,sova,sova-g42,sleep safely,0.84516,0.216,1.0,0.8998,boundary lineage
59,10,Orchardring,lum,lum-g40,warm care,0.8454,0.18,0.968032,0.907,care lineage
59,10,Orchardring,melo,melo-g41,market exchange,0.84468,0.198,0.964014,0.827,work lineage
59,10,Orchardring,tek,tek-g42,repair work,0.84396,0.216,0.959997,0.827,work lineage
60,10,Rainloft,sova,sova-g40,sleep safely,0.8458,0.18,1.0,0.901,boundary lineage
60,10,Rainloft,vonn,vonn-g41,pressure warning,0.84508,0.198,0.964046,0.821,boundary lineage
60,10,Rainloft,nari,nari-g42,respect boundary,0.84436,0.216,1.0,0.821,boundary lineage
61,11,Hearthnest,lum,lum-g50,warm care,0.87448,0.148,0.977398,0.92665,care lineage
61,11,Hearthnest,ori,ori-g51,shared ritual,0.87376,0.166,0.973381,0.92665,care lineage
61,11,Hearthnest,sova,sova-g52,sleep safely,0.87304,0.184,1.0,0.92665,boundary lineage
62,11,Routehall,tek,tek-g50,repair work,0.85568,0.148,0.975894,0.8222,work lineage
62,11,Routehall,nari,nari-g51,respect boundary,0.85496,0.166,1.0,0.8222,boundary lineage
62,11,Routehall,keth,keth-g52,remembered help,0.85424,0.184,1.0,0.8222,care lineage
63,11,Marketroof,melo,melo-g50,market exchange,0.85468,0.148,0.975814,0.8246,work lineage
63,11,Marketroof,keth,keth-g51,remembered help,0.85396,0.166,1.0,0.8246,care lineage
63,11,Marketroof,vonn,vonn-g52,pressure warning,0.85324,0.184,0.967779,0.8246,boundary lineage
64,11,Quietledger,nari,nari-g50,respect boundary,0.85788,0.148,1.0,0.8198,boundary lineage
64,11,Quietledger,vonn,vonn-g51,pressure warning,0.85716,0.166,0.972053,0.8198,boundary lineage
64,11,Quietledger,sova,sova-g52,sleep safely,0.85644,0.184,1.0,0.8998,boundary lineage
65,11,Orchardring,lum,lum-g50,warm care,0.85668,0.148,0.975974,0.907,care lineage
65,11,Orchardring,melo,melo-g51,market exchange,0.85596,0.166,0.971957,0.827,work lineage
65,11,Orchardring,tek,tek-g52,repair work,0.85524,0.184,0.967939,0.827,work lineage
66,11,Rainloft,sova,sova-g50,sleep safely,0.85708,0.148,1.0,0.901,boundary lineage
66,11,Rainloft,vonn,vonn-g51,pressure warning,0.85636,0.166,0.971989,0.821,boundary lineage
66,11,Rainloft,nari,nari-g52,respect boundary,0.85564,0.184,1.0,0.821,boundary lineage
67,12,Hearthnest,lum,lum-g00,warm care,0.88416,0.156,0.976413,0.9379,care lineage
67,12,Hearthnest,ori,ori-g01,shared ritual,0.88344,0.174,0.972395,0.9379,care lineage
67,12,Hearthnest,sova,sova-g02,sleep safely,0.88272,0.192,1.0,0.9379,boundary lineage
68,12,Routehall,tek,tek-g00,repair work,0.86536,0.156,0.974909,0.83345,work lineage
68,12,Routehall,nari,nari-g01,respect boundary,0.86464,0.174,1.0,0.83345,boundary lineage
68,12,Routehall,keth,keth-g02,remembered help,0.86392,0.192,1.0,0.83345,care lineage
69,12,Marketroof,melo,melo-g00,market exchange,0.86436,0.156,0.974829,0.83585,work lineage
69,12,Marketroof,keth,keth-g01,remembered help,0.86364,0.174,1.0,0.83585,care lineage
69,12,Marketroof,vonn,vonn-g02,pressure warning,0.86292,0.192,0.966794,0.83585,boundary lineage
70,12,Quietledger,nari,nari-g00,respect boundary,0.86756,0.156,1.0,0.83105,boundary lineage
70,12,Quietledger,vonn,vonn-g01,pressure warning,0.86684,0.174,0.971067,0.83105,boundary lineage
70,12,Quietledger,sova,sova-g02,sleep safely,0.86612,0.192,1.0,0.91105,boundary lineage
71,12,Orchardring,lum,lum-g00,warm care,0.86636,0.156,0.974989,0.91825,care lineage
71,12,Orchardring,melo,melo-g01,market exchange,0.86564,0.174,0.970971,0.83825,work lineage
71,12,Orchardring,tek,tek-g02,repair work,0.86492,0.192,0.966954,0.83825,work lineage
72,12,Rainloft,sova,sova-g00,sleep safely,0.86676,0.156,1.0,0.91225,boundary lineage
72,12,Rainloft,vonn,vonn-g01,pressure warning,0.86604,0.174,0.971003,0.83225,boundary lineage
72,12,Rainloft,nari,nari-g02,respect boundary,0.86532,0.192,1.0,0.83225,boundary lineage
73,13,Hearthnest,lum,lum-g10,warm care,0.89384,0.164,0.975427,0.9379,care lineage
73,13,Hearthnest,ori,ori-g11,shared ritual,0.89312,0.182,0.97141,0.9379,care lineage
73,13,Hearthnest,sova,sova-g12,sleep safely,0.8924,0.2,1.0,0.9379,boundary lineage
74,13,Routehall,tek,tek-g10,repair work,0.87504,0.164,0.973923,0.83345,work lineage
74,13,Routehall,nari,nari-g11,respect boundary,0.87432,0.182,1.0,0.83345,boundary lineage
74,13,Routehall,keth,keth-g12,remembered help,0.8736,0.2,1.0,0.83345,care lineage
75,13,Marketroof,melo,melo-g10,market exchange,0.87404,0.164,0.973843,0.83585,work lineage
75,13,Marketroof,keth,keth-g11,remembered help,0.87332,0.182,1.0,0.83585,care lineage
75,13,Marketroof,vonn,vonn-g12,pressure warning,0.8726,0.2,0.965808,0.83585,boundary lineage
76,13,Quietledger,nari,nari-g10,respect boundary,0.87724,0.164,1.0,0.83105,boundary lineage
76,13,Quietledger,vonn,vonn-g11,pressure warning,0.87652,0.182,0.970082,0.83105,boundary lineage
76,13,Quietledger,sova,sova-g12,sleep safely,0.8758,0.2,1.0,0.91105,boundary lineage
77,13,Orchardring,lum,lum-g10,warm care,0.87604,0.164,0.974003,0.91825,care lineage
77,13,Orchardring,melo,melo-g11,market exchange,0.87532,0.182,0.969986,0.83825,work lineage
77,13,Orchardring,tek,tek-g12,repair work,0.8746,0.2,0.965968,0.83825,work lineage
78,13,Rainloft,sova,sova-g10,sleep safely,0.87644,0.164,1.0,0.91225,boundary lineage
78,13,Rainloft,vonn,vonn-g11,pressure warning,0.87572,0.182,0.970018,0.83225,boundary lineage
78,13,Rainloft,nari,nari-g12,respect boundary,0.875,0.2,1.0,0.83225,boundary lineage
79,14,Hearthnest,lum,lum-g20,warm care,0.90352,0.172,0.974442,0.9379,care lineage
79,14,Hearthnest,ori,ori-g21,shared ritual,0.9028,0.19,0.970424,0.9379,care lineage
79,14,Hearthnest,sova,sova-g22,sleep safely,0.90208,0.208,1.0,0.9379,boundary lineage
80,14,Routehall,tek,tek-g20,repair work,0.88472,0.172,0.972938,0.83345,work lineage
80,14,Routehall,nari,nari-g21,respect boundary,0.884,0.19,1.0,0.83345,boundary lineage
80,14,Routehall,keth,keth-g22,remembered help,0.88328,0.208,1.0,0.83345,care lineage
81,14,Marketroof,melo,melo-g20,market exchange,0.88372,0.172,0.972858,0.83585,work lineage
81,14,Marketroof,keth,keth-g21,remembered help,0.883,0.19,1.0,0.83585,care lineage
81,14,Marketroof,vonn,vonn-g22,pressure warning,0.88228,0.208,0.964822,0.83585,boundary lineage
82,14,Quietledger,nari,nari-g20,respect boundary,0.88692,0.172,1.0,0.83105,boundary lineage
82,14,Quietledger,vonn,vonn-g21,pressure warning,0.8862,0.19,0.969096,0.83105,boundary lineage
82,14,Quietledger,sova,sova-g22,sleep safely,0.88548,0.208,1.0,0.91105,boundary lineage
83,14,Orchardring,lum,lum-g20,warm care,0.88572,0.172,0.973018,0.91825,care lineage
83,14,Orchardring,melo,melo-g21,market exchange,0.885,0.19,0.969,0.83825,work lineage
83,14,Orchardring,tek,tek-g22,repair work,0.88428,0.208,0.964982,0.83825,work lineage
84,14,Rainloft,sova,sova-g20,sleep safely,0.88612,0.172,1.0,0.91225,boundary lineage
84,14,Rainloft,vonn,vonn-g21,pressure warning,0.8854,0.19,0.969032,0.83225,boundary lineage
84,14,Rainloft,nari,nari-g22,respect boundary,0.88468,0.208,1.0,0.83225,boundary lineage
85,15,Hearthnest,lum,lum-g30,warm care,0.9116,0.22,0.964528,0.9379,care lineage
85,15,Hearthnest,ori,ori-g31,shared ritual,0.91088,0.238,0.96051,0.9379,care lineage
85,15,Hearthnest,sova,sova-g32,sleep safely,0.91016,0.256,0.996493,0.9379,boundary lineage
86,15,Routehall,tek,tek-g30,repair work,0.8928,0.22,0.963024,0.83345,work lineage
86,15,Routehall,nari,nari-g31,respect boundary,0.89208,0.238,0.999006,0.83345,boundary lineage
86,15,Routehall,keth,keth-g32,remembered help,0.89136,0.256,0.994989,0.83345,care lineage
87,15,Marketroof,melo,melo-g30,market exchange,0.8918,0.22,0.962944,0.83585,work lineage
87,15,Marketroof,keth,keth-g31,remembered help,0.89108,0.238,0.998926,0.83585,care lineage
87,15,Marketroof,vonn,vonn-g32,pressure warning,0.89036,0.256,0.954909,0.83585,boundary lineage
88,15,Quietledger,nari,nari-g30,respect boundary,0.895,0.22,1.0,0.83105,boundary lineage
88,15,Quietledger,vonn,vonn-g31,pressure warning,0.89428,0.238,0.959182,0.83105,boundary lineage
88,15,Quietledger,sova,sova-g32,sleep safely,0.89356,0.256,0.995165,0.91105,boundary lineage
89,15,Orchardring,lum,lum-g30,warm care,0.8938,0.22,0.963104,0.91825,care lineage
89,15,Orchardring,melo,melo-g31,market exchange,0.89308,0.238,0.959086,0.83825,work lineage
89,15,Orchardring,tek,tek-g32,repair work,0.89236,0.256,0.955069,0.83825,work lineage
90,15,Rainloft,sova,sova-g30,sleep safely,0.8942,0.22,1.0,0.91225,boundary lineage
90,15,Rainloft,vonn,vonn-g31,pressure warning,0.89348,0.238,0.959118,0.83225,boundary lineage
90,15,Rainloft,nari,nari-g32,respect boundary,0.89276,0.256,0.995101,0.83225,boundary lineage
91,16,Hearthnest,lum,lum-g40,warm care,0.92288,0.188,0.97247,0.94915,care lineage
91,16,Hearthnest,ori,ori-g41,shared ritual,0.92216,0.206,0.968453,0.94915,care lineage
91,16,Hearthnest,sova,sova-g42,sleep safely,0.92144,0.224,1.0,0.94915,boundary lineage
92,16,Routehall,tek,tek-g40,repair work,0.90408,0.188,0.970966,0.8447,work lineage
92,16,Routehall,nari,nari-g41,respect boundary,0.90336,0.206,1.0,0.8447,boundary lineage
92,16,Routehall,keth,keth-g42,remembered help,0.90264,0.224,1.0,0.8447,care lineage
93,16,Marketroof,melo,melo-g40,market exchange,0.90308,0.188,0.970886,0.8471,work lineage
93,16,Marketroof,keth,keth-g41,remembered help,0.90236,0.206,1.0,0.8471,care lineage
93,16,Marketroof,vonn,vonn-g42,pressure warning,0.90164,0.224,0.962851,0.8471,boundary lineage
94,16,Quietledger,nari,nari-g40,respect boundary,0.90628,0.188,1.0,0.8423,boundary lineage
94,16,Quietledger,vonn,vonn-g41,pressure warning,0.90556,0.206,0.967125,0.8423,boundary lineage
94,16,Quietledger,sova,sova-g42,sleep safely,0.90484,0.224,1.0,0.9223,boundary lineage
