tick_id,day,settlement_id,resident_id,prior_wound,repair_action,relationship_before,relationship_after,object_returned,apology_visible,space_given,repair_partial_not_magic,recovery_path_visible
1017,57,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1020,57,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1034,58,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1037,58,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1051,59,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1054,59,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1068,60,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1071,60,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1085,61,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1088,61,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1102,62,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1105,62,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1115,62,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1119,63,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1122,63,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1132,63,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1136,64,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1139,64,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1149,64,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1153,65,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1156,65,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1166,65,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1169,65,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1170,66,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1173,66,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1183,66,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1186,66,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1190,67,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1200,67,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1203,67,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1207,68,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1217,68,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1220,68,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1224,69,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1234,69,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1237,69,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1251,70,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1254,70,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1268,71,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1271,71,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1285,72,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1288,72,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1302,73,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1305,73,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1319,74,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1322,74,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1336,75,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1339,75,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1349,75,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1353,76,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1356,76,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1366,76,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1370,77,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1373,77,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1383,77,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1387,78,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1390,78,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1400,78,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1403,78,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1404,79,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1407,79,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1417,79,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1420,79,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1424,80,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1434,80,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1437,80,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1441,81,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1451,81,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1454,81,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1458,82,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1468,82,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1471,82,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1485,83,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1488,83,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1502,84,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1505,84,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1519,85,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1522,85,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1536,86,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1539,86,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1553,87,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1556,87,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1570,88,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1573,88,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1587,89,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1590,89,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1604,90,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1607,90,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1621,91,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1624,91,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1637,91,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1638,92,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1641,92,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1654,92,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1658,93,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1671,93,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1675,94,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1688,94,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1691,94,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1692,95,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1705,95,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1708,95,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1722,96,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1725,96,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1739,97,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1742,97,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1756,98,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1759,98,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1773,99,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1776,99,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1790,100,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1793,100,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1807,101,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1810,101,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1824,102,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1827,102,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1841,103,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1844,103,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1858,104,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1861,104,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1871,104,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1875,105,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1878,105,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1888,105,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1892,106,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1895,106,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1905,106,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1909,107,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1912,107,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1922,107,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1925,107,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1926,108,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1929,108,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1939,108,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1942,108,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1946,109,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1956,109,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1959,109,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1963,110,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1973,110,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1976,110,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1980,111,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1990,111,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1993,111,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2007,112,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2010,112,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2024,113,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2027,113,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2041,114,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2044,114,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2058,115,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2061,115,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2075,116,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2078,116,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2092,117,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2095,117,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2105,117,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2109,118,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2112,118,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2122,118,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2126,119,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2129,119,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2139,119,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2143,120,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2146,120,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2156,120,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2159,120,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2160,121,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2163,121,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2173,121,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2176,121,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2180,122,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2190,122,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2193,122,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2197,123,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2207,123,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2210,123,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2214,124,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2224,124,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2227,124,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2241,125,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2244,125,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2258,126,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2261,126,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2275,127,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2278,127,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2292,128,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2295,128,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2309,129,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
2312,129,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
