tick_id,day,settlement_id,entry_gate_id,matured_years_confirmed,matured_generations_confirmed,entry_button_visible,entry_button_enabled,avatar_spawned,spawn_location,inherited_world_loaded
661,56,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
672,57,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
673,57,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
684,58,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
685,58,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
696,59,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
697,59,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
708,60,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
709,60,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
720,61,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
721,61,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
732,62,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
733,62,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
744,63,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
745,63,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
756,64,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
757,64,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
768,65,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
769,65,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
780,66,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
781,66,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
792,67,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
793,67,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
804,68,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
805,68,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
816,69,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
817,69,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
828,70,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
829,70,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
840,71,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
841,71,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
852,72,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
853,72,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
