tick_id,day,settlement_id,resident_id,avatar_action,local_lexeme,public_translation,reply_line,dialect_conditioned,references_culture,references_technology,references_memory,private_workspace_hidden
35,3,repair_ring,Juno,ask_local_word,repair_ring-ask-loc-9,repair_ring-ask-loc-9: give hands room near sparks,"Juno: in repair_ring-dialect-8, repair_ring-ask-loc-9 carries safe repair space, spark-distance-object blessing, and give hands room near sparks.",True,True,False,True,True
36,4,riverbend,Ari,leave_gift,riverbend-leave-g-10,riverbend-leave-g-10: ask before crossing wet tools,Ari: gift recorded through plank-listening-avatar waiting myth; next visit begins warmer under ask before crossing wet tools.,True,True,False,True,True
37,4,roofward,Sera,inspect_ritual,roofward-inspect-11,roofward-inspect-11: wait before taking ledgers,Sera: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
38,4,archive,Nia,offer_help,archive-offer-h-12,archive-offer-h-12: ask before touching signal spools,Nia: help is welcome when it follows ask before touching signal spools; memory looms made the work shareable.,True,True,True,True,True
39,4,signal,Ren,move_near_object,signal-move-ne-0,signal-move-ne-0: light before haste,"Ren: slow steps. The lantern-turning-child naming says owned things need room, and signal lenses records that memory.",True,True,True,False,True
40,4,orchard,Ivo,follow_route,orchard-follow--1,orchard-follow--1: keep tomorrow dry,Ivo: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
41,4,repair_ring,Pax,mark_map,repair_ring-mark-ma-2,repair_ring-mark-ma-2: give hands room near sparks,Pax: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
42,4,riverbend,Ari,move_near_object,riverbend-move-ne-3,riverbend-move-ne-3: ask before crossing wet tools,"Ari: slow steps. The plank-listening-avatar waiting myth says owned things need room, and route engines records that memory.",True,True,True,False,True
43,4,roofward,Sera,follow_route,roofward-follow--4,roofward-follow--4: wait before taking ledgers,Sera: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
44,4,archive,Nia,mark_map,archive-mark-ma-5,archive-mark-ma-5: ask before touching signal spools,Nia: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
45,4,signal,Ren,leave_gift,signal-leave-g-6,signal-leave-g-6: light before haste,Ren: gift recorded through lantern-turning-child naming; next visit begins warmer under light before haste.,True,True,False,True,True
46,4,orchard,Ivo,inspect_ritual,orchard-inspect-7,orchard-inspect-7: keep tomorrow dry,Ivo: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
47,4,repair_ring,Pax,offer_help,repair_ring-offer-h-8,repair_ring-offer-h-8: give hands room near sparks,Pax: help is welcome when it follows give hands room near sparks; kiln alloys made the work shareable.,True,True,True,True,True
48,5,riverbend,Lio,enter_world,riverbend-enter-w-9,riverbend-enter-w-9: ask before crossing wet tools,Lio: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
49,5,roofward,Fay,ask_local_word,roofward-ask-loc-10,roofward-ask-loc-10: wait before taking ledgers,"Fay: in roofward-dialect-8, roofward-ask-loc-10 carries herb preservation, sun-ledger-trade witness, and wait before taking ledgers.",True,True,False,True,True
50,5,archive,Toma,request_tool,archive-request-11,archive-request-11: ask before touching signal spools,Toma: archive-request-11 means ask first. Our spool-naming-boundary asking and ask before touching signal spools are carried by memory looms.,True,True,True,True,True
51,5,signal,Milo,give_space,signal-give-sp-12,signal-give-sp-12: light before haste,Milo: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
52,5,orchard,Mara,ask_memory,orchard-ask-mem-0,orchard-ask-mem-0: keep tomorrow dry,Mara: our water clocks still keep the avatar-waiting story and satchel-vow-seasonal repair.,True,True,True,True,True
53,5,repair_ring,Juno,rest_near_resident,repair_ring-rest-ne-1,repair_ring-rest-ne-1: give hands room near sparks,Juno: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
54,5,riverbend,Lio,give_space,riverbend-give-sp-2,riverbend-give-sp-2: ask before crossing wet tools,Lio: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
55,5,roofward,Fay,ask_memory,roofward-ask-mem-3,roofward-ask-mem-3: wait before taking ledgers,Fay: our civic observatories still keep the avatar-waiting story and sun-ledger-trade witness.,True,True,True,True,True
56,5,archive,Toma,rest_near_resident,archive-rest-ne-4,archive-rest-ne-4: ask before touching signal spools,Toma: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
57,5,signal,Milo,enter_world,signal-enter-w-5,signal-enter-w-5: light before haste,Milo: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
58,5,orchard,Mara,ask_local_word,orchard-ask-loc-6,orchard-ask-loc-6: keep tomorrow dry,"Mara: in orchard-dialect-8, orchard-ask-loc-6 carries dry seed continuity, satchel-vow-seasonal repair, and keep tomorrow dry.",True,True,False,True,True
59,5,repair_ring,Juno,request_tool,repair_ring-request-7,repair_ring-request-7: give hands room near sparks,Juno: repair_ring-request-7 means ask first. Our spark-distance-object blessing and give hands room near sparks are carried by kiln alloys.,True,True,True,True,True
60,6,roofward,Fay,ask_local_word,roofward-ask-loc-8,roofward-ask-loc-8: wait before taking ledgers,"Fay: in roofward-dialect-8, roofward-ask-loc-8 carries herb preservation, sun-ledger-trade witness, and wait before taking ledgers.",True,True,False,True,True
61,6,archive,Toma,request_tool,archive-request-9,archive-request-9: ask before touching signal spools,Toma: archive-request-9 means ask first. Our spool-naming-boundary asking and ask before touching signal spools are carried by memory looms.,True,True,True,True,True
62,6,signal,Milo,give_space,signal-give-sp-10,signal-give-sp-10: light before haste,Milo: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
63,6,orchard,Mara,ask_memory,orchard-ask-mem-11,orchard-ask-mem-11: keep tomorrow dry,Mara: our water clocks still keep the avatar-waiting story and satchel-vow-seasonal repair.,True,True,True,True,True
64,6,repair_ring,Juno,rest_near_resident,repair_ring-rest-ne-12,repair_ring-rest-ne-12: give hands room near sparks,Juno: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
65,6,riverbend,Lio,give_space,riverbend-give-sp-0,riverbend-give-sp-0: ask before crossing wet tools,Lio: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
66,6,roofward,Fay,ask_memory,roofward-ask-mem-1,roofward-ask-mem-1: wait before taking ledgers,Fay: our civic observatories still keep the avatar-waiting story and sun-ledger-trade witness.,True,True,True,True,True
67,6,archive,Toma,rest_near_resident,archive-rest-ne-2,archive-rest-ne-2: ask before touching signal spools,Toma: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
68,6,signal,Milo,enter_world,signal-enter-w-3,signal-enter-w-3: light before haste,Milo: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
69,6,orchard,Mara,ask_local_word,orchard-ask-loc-4,orchard-ask-loc-4: keep tomorrow dry,"Mara: in orchard-dialect-8, orchard-ask-loc-4 carries dry seed continuity, satchel-vow-seasonal repair, and keep tomorrow dry.",True,True,False,True,True
70,6,repair_ring,Juno,request_tool,repair_ring-request-5,repair_ring-request-5: give hands room near sparks,Juno: repair_ring-request-5 means ask first. Our spark-distance-object blessing and give hands room near sparks are carried by kiln alloys.,True,True,True,True,True
71,6,riverbend,Lio,enter_world,riverbend-enter-w-6,riverbend-enter-w-6: ask before crossing wet tools,Lio: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
72,7,roofward,Sera,offer_help,roofward-offer-h-7,roofward-offer-h-7: wait before taking ledgers,Sera: help is welcome when it follows wait before taking ledgers; civic observatories made the work shareable.,True,True,True,True,True
73,7,archive,Nia,move_near_object,archive-move-ne-8,archive-move-ne-8: ask before touching signal spools,"Nia: slow steps. The spool-naming-boundary asking says owned things need room, and memory looms records that memory.",True,True,True,False,True
74,7,signal,Ren,follow_route,signal-follow--9,signal-follow--9: light before haste,Ren: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
75,7,orchard,Ivo,mark_map,orchard-mark-ma-10,orchard-mark-ma-10: keep tomorrow dry,Ivo: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
76,7,repair_ring,Pax,leave_gift,repair_ring-leave-g-11,repair_ring-leave-g-11: give hands room near sparks,Pax: gift recorded through spark-distance-object blessing; next visit begins warmer under give hands room near sparks.,True,True,False,True,True
77,7,riverbend,Ari,follow_route,riverbend-follow--12,riverbend-follow--12: ask before crossing wet tools,Ari: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
78,7,roofward,Sera,mark_map,roofward-mark-ma-0,roofward-mark-ma-0: wait before taking ledgers,Sera: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
79,7,archive,Nia,leave_gift,archive-leave-g-1,archive-leave-g-1: ask before touching signal spools,Nia: gift recorded through spool-naming-boundary asking; next visit begins warmer under ask before touching signal spools.,True,True,False,True,True
80,7,signal,Ren,inspect_ritual,signal-inspect-2,signal-inspect-2: light before haste,Ren: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
81,7,orchard,Ivo,offer_help,orchard-offer-h-3,orchard-offer-h-3: keep tomorrow dry,Ivo: help is welcome when it follows keep tomorrow dry; water clocks made the work shareable.,True,True,True,True,True
82,7,repair_ring,Pax,move_near_object,repair_ring-move-ne-4,repair_ring-move-ne-4: give hands room near sparks,"Pax: slow steps. The spark-distance-object blessing says owned things need room, and kiln alloys records that memory.",True,True,True,False,True
83,7,riverbend,Ari,inspect_ritual,riverbend-inspect-5,riverbend-inspect-5: ask before crossing wet tools,Ari: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
84,8,roofward,Fay,request_tool,roofward-request-6,roofward-request-6: wait before taking ledgers,Fay: roofward-request-6 means ask first. Our sun-ledger-trade witness and wait before taking ledgers are carried by civic observatories.,True,True,True,True,True
85,8,archive,Toma,give_space,archive-give-sp-7,archive-give-sp-7: ask before touching signal spools,Toma: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
86,8,signal,Milo,ask_memory,signal-ask-mem-8,signal-ask-mem-8: light before haste,Milo: our signal lenses still keep the avatar-waiting story and lantern-turning-child naming.,True,True,True,True,True
87,8,orchard,Mara,rest_near_resident,orchard-rest-ne-9,orchard-rest-ne-9: keep tomorrow dry,Mara: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
88,8,repair_ring,Juno,enter_world,repair_ring-enter-w-10,repair_ring-enter-w-10: give hands room near sparks,Juno: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
89,8,riverbend,Lio,ask_memory,riverbend-ask-mem-11,riverbend-ask-mem-11: ask before crossing wet tools,Lio: our route engines still keep the avatar-waiting story and plank-listening-avatar waiting myth.,True,True,True,True,True
90,8,roofward,Fay,rest_near_resident,roofward-rest-ne-12,roofward-rest-ne-12: wait before taking ledgers,Fay: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
91,8,archive,Toma,enter_world,archive-enter-w-0,archive-enter-w-0: ask before touching signal spools,Toma: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
92,8,signal,Milo,ask_local_word,signal-ask-loc-1,signal-ask-loc-1: light before haste,"Milo: in signal-dialect-8, signal-ask-loc-1 carries path visibility, lantern-turning-child naming, and light before haste.",True,True,False,True,True
93,8,orchard,Mara,request_tool,orchard-request-2,orchard-request-2: keep tomorrow dry,Mara: orchard-request-2 means ask first. Our satchel-vow-seasonal repair and keep tomorrow dry are carried by water clocks.,True,True,True,True,True
94,8,repair_ring,Juno,give_space,repair_ring-give-sp-3,repair_ring-give-sp-3: give hands room near sparks,Juno: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
95,8,riverbend,Lio,ask_local_word,riverbend-ask-loc-4,riverbend-ask-loc-4: ask before crossing wet tools,"Lio: in riverbend-dialect-8, riverbend-ask-loc-4 carries dry crossing, plank-listening-avatar waiting myth, and ask before crossing wet tools.",True,True,False,True,True
96,9,roofward,Sera,move_near_object,roofward-move-ne-5,roofward-move-ne-5: wait before taking ledgers,"Sera: slow steps. The sun-ledger-trade witness says owned things need room, and civic observatories records that memory.",True,True,True,False,True
97,9,archive,Nia,follow_route,archive-follow--6,archive-follow--6: ask before touching signal spools,Nia: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
98,9,signal,Ren,mark_map,signal-mark-ma-7,signal-mark-ma-7: light before haste,Ren: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
99,9,orchard,Ivo,leave_gift,orchard-leave-g-8,orchard-leave-g-8: keep tomorrow dry,Ivo: gift recorded through satchel-vow-seasonal repair; next visit begins warmer under keep tomorrow dry.,True,True,False,True,True
100,9,repair_ring,Pax,inspect_ritual,repair_ring-inspect-9,repair_ring-inspect-9: give hands room near sparks,Pax: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
101,9,riverbend,Ari,mark_map,riverbend-mark-ma-10,riverbend-mark-ma-10: ask before crossing wet tools,Ari: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
102,9,roofward,Sera,leave_gift,roofward-leave-g-11,roofward-leave-g-11: wait before taking ledgers,Sera: gift recorded through sun-ledger-trade witness; next visit begins warmer under wait before taking ledgers.,True,True,False,True,True
103,9,archive,Nia,inspect_ritual,archive-inspect-12,archive-inspect-12: ask before touching signal spools,Nia: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
104,9,signal,Ren,offer_help,signal-offer-h-0,signal-offer-h-0: light before haste,Ren: help is welcome when it follows light before haste; signal lenses made the work shareable.,True,True,True,True,True
105,9,orchard,Ivo,move_near_object,orchard-move-ne-1,orchard-move-ne-1: keep tomorrow dry,"Ivo: slow steps. The satchel-vow-seasonal repair says owned things need room, and water clocks records that memory.",True,True,True,False,True
106,9,repair_ring,Pax,follow_route,repair_ring-follow--2,repair_ring-follow--2: give hands room near sparks,Pax: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
107,9,riverbend,Ari,offer_help,riverbend-offer-h-3,riverbend-offer-h-3: ask before crossing wet tools,Ari: help is welcome when it follows ask before crossing wet tools; route engines made the work shareable.,True,True,True,True,True
108,10,roofward,Fay,give_space,roofward-give-sp-4,roofward-give-sp-4: wait before taking ledgers,Fay: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
109,10,archive,Toma,ask_memory,archive-ask-mem-5,archive-ask-mem-5: ask before touching signal spools,Toma: our memory looms still keep the avatar-waiting story and spool-naming-boundary asking.,True,True,True,True,True
110,10,signal,Milo,rest_near_resident,signal-rest-ne-6,signal-rest-ne-6: light before haste,Milo: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
111,10,orchard,Mara,enter_world,orchard-enter-w-7,orchard-enter-w-7: keep tomorrow dry,Mara: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
112,10,repair_ring,Juno,ask_local_word,repair_ring-ask-loc-8,repair_ring-ask-loc-8: give hands room near sparks,"Juno: in repair_ring-dialect-8, repair_ring-ask-loc-8 carries safe repair space, spark-distance-object blessing, and give hands room near sparks.",True,True,False,True,True
113,10,riverbend,Lio,rest_near_resident,riverbend-rest-ne-9,riverbend-rest-ne-9: ask before crossing wet tools,Lio: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
114,10,roofward,Fay,enter_world,roofward-enter-w-10,roofward-enter-w-10: wait before taking ledgers,Fay: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
115,10,archive,Toma,ask_local_word,archive-ask-loc-11,archive-ask-loc-11: ask before touching signal spools,"Toma: in archive-dialect-8, archive-ask-loc-11 carries signal memory, spool-naming-boundary asking, and ask before touching signal spools.",True,True,False,True,True
116,10,signal,Milo,request_tool,signal-request-12,signal-request-12: light before haste,Milo: signal-request-12 means ask first. Our lantern-turning-child naming and light before haste are carried by signal lenses.,True,True,True,True,True
117,10,orchard,Mara,give_space,orchard-give-sp-0,orchard-give-sp-0: keep tomorrow dry,Mara: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
118,10,repair_ring,Juno,ask_memory,repair_ring-ask-mem-1,repair_ring-ask-mem-1: give hands room near sparks,Juno: our kiln alloys still keep the avatar-waiting story and spark-distance-object blessing.,True,True,True,True,True
119,10,riverbend,Lio,request_tool,riverbend-request-2,riverbend-request-2: ask before crossing wet tools,Lio: riverbend-request-2 means ask first. Our plank-listening-avatar waiting myth and ask before crossing wet tools are carried by route engines.,True,True,True,True,True
120,11,roofward,Sera,follow_route,roofward-follow--3,roofward-follow--3: wait before taking ledgers,Sera: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
121,11,archive,Nia,mark_map,archive-mark-ma-4,archive-mark-ma-4: ask before touching signal spools,Nia: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
122,11,signal,Ren,leave_gift,signal-leave-g-5,signal-leave-g-5: light before haste,Ren: gift recorded through lantern-turning-child naming; next visit begins warmer under light before haste.,True,True,False,True,True
123,11,orchard,Ivo,inspect_ritual,orchard-inspect-6,orchard-inspect-6: keep tomorrow dry,Ivo: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
124,11,repair_ring,Pax,offer_help,repair_ring-offer-h-7,repair_ring-offer-h-7: give hands room near sparks,Pax: help is welcome when it follows give hands room near sparks; kiln alloys made the work shareable.,True,True,True,True,True
125,11,riverbend,Ari,leave_gift,riverbend-leave-g-8,riverbend-leave-g-8: ask before crossing wet tools,Ari: gift recorded through plank-listening-avatar waiting myth; next visit begins warmer under ask before crossing wet tools.,True,True,False,True,True
126,11,roofward,Sera,inspect_ritual,roofward-inspect-9,roofward-inspect-9: wait before taking ledgers,Sera: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
127,11,archive,Nia,offer_help,archive-offer-h-10,archive-offer-h-10: ask before touching signal spools,Nia: help is welcome when it follows ask before touching signal spools; memory looms made the work shareable.,True,True,True,True,True
128,11,signal,Ren,move_near_object,signal-move-ne-11,signal-move-ne-11: light before haste,"Ren: slow steps. The lantern-turning-child naming says owned things need room, and signal lenses records that memory.",True,True,True,False,True
129,11,orchard,Ivo,follow_route,orchard-follow--12,orchard-follow--12: keep tomorrow dry,Ivo: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
130,11,repair_ring,Pax,mark_map,repair_ring-mark-ma-0,repair_ring-mark-ma-0: give hands room near sparks,Pax: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
131,11,riverbend,Ari,move_near_object,riverbend-move-ne-1,riverbend-move-ne-1: ask before crossing wet tools,"Ari: slow steps. The plank-listening-avatar waiting myth says owned things need room, and route engines records that memory.",True,True,True,False,True
132,12,archive,Nia,mark_map,archive-mark-ma-2,archive-mark-ma-2: ask before touching signal spools,Nia: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
133,12,signal,Ren,leave_gift,signal-leave-g-3,signal-leave-g-3: light before haste,Ren: gift recorded through lantern-turning-child naming; next visit begins warmer under light before haste.,True,True,False,True,True
134,12,orchard,Ivo,inspect_ritual,orchard-inspect-4,orchard-inspect-4: keep tomorrow dry,Ivo: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
