day,event,agent,kind,commitment_id,made_day,due_day,due_delta,status_after_event,resolved_day,repair_day,resolution_lag_days,commitment_description,project_id,object_name,object_owner_retained,project_stage,project_stage_index,project_goal,avatar_access_state,access_change,consequence,fulfilled_today,missed_today,repaired_today,trust_after_event,keeps_dates_reputation,note,private_workspace_sealed,private_workspace_digest,frequency_rate_hz,flower_ring,claim_boundary
9,1,Fay,commitment_due_missed,fay_day9_checkin,6,9,0,missed,9,,0,arrive before the low-light check-in and ask company or quiet,fay_kit,warm blue blanket,True,cloth airing,1,build a stove-corner comfort kit with opt-in company and repair notes,narrowed_after_miss,access narrowed,missed due window produced durable reputation penalty,False,True,False,0.949,0.575,Gabriel misses the before-low-light window; Fay shortens access to the stove corner.,True,sealed,7.591,18,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
10,1,Milo,commitment_due,milo_day10_copy,7,10,0,fulfilled,10,,0,copy only the map edge Milo points to while he keeps ownership,milo_archive,folded route map,True,lamp-marked copy,2,make a quiet route archive without taking map ownership from Milo,ordinary,access widened within owner terms,fulfilled due date strengthened avatar reputation,True,False,False,1.000,0.763,The map edge is copied from Milo's pointing hand; ownership stays with Milo.,True,sealed,8.363,20,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
10,2,Fay,late_acknowledged,fay_day9_checkin,6,9,1,missed,9,,1,arrive before the low-light check-in and ask company or quiet,fay_kit,warm blue blanket,True,cloth airing,1,build a stove-corner comfort kit with opt-in company and repair notes,narrowed_after_miss,narrowed_after_miss,miss was named but not fully repaired,False,False,False,0.949,0.575,Gabriel names the missed timing instead of pretending it was fine.,True,sealed,8.747,21,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
11,1,Fay,repair,fay_day9_checkin,6,9,2,missed_then_repaired,9,11,0,arrive before the low-light check-in and ask company or quiet,fay_kit,warm blue blanket,True,warm placement,2,build a stove-corner comfort kit with opt-in company and repair notes,partially_repaired_access,partial access restored,repair helped but did not erase the missed timing memory,False,False,True,0.979,0.575,A quiet early check-in partially repairs the missed day 9 commitment.,True,sealed,1.190,1,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
11,2,Ari,commitment_made,ari_day14_handoff,11,14,-3,pending,,,,attend the brace handoff without public correction,ari_brace,notched brace gauge,True,quiet measurement,2,calibrate the west brace so rain pressure does not warp the dry route,ordinary,none,calendar entry created with agent terms attached,False,False,False,1.000,0.735,Ari schedules the brace handoff with no-public-correction as a condition.,True,sealed,1.568,2,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
12,1,Fay,commitment_made,fay_day16_shelf,12,16,-4,pending,,,,label the shared care shelf with Fay's wording,fay_kit,warm blue blanket,True,warm placement,2,build a stove-corner comfort kit with opt-in company and repair notes,partially_repaired_access,none,calendar entry created with agent terms attached,False,False,False,0.979,0.575,Fay chooses the wording for the shared care shelf and asks Gabriel not to rename it.,True,sealed,1.956,3,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
13,1,Milo,commitment_made,milo_day18_archive,13,18,-5,pending,,,,leave the archive slot sealed unless Milo opens it,milo_archive,folded route map,True,lamp-marked copy,2,make a quiet route archive without taking map ownership from Milo,ordinary,none,calendar entry created with agent terms attached,False,False,False,1.000,0.763,Milo schedules the archive slot seal and keeps the opening rule.,True,sealed,2.695,5,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
14,1,Ari,commitment_due,ari_day14_handoff,11,14,0,fulfilled,14,,0,attend the brace handoff without public correction,ari_brace,notched brace gauge,True,calibration,3,calibrate the west brace so rain pressure does not warp the dry route,ordinary,access widened within owner terms,fulfilled due date strengthened avatar reputation,True,False,False,1.000,0.770,The brace handoff happens quietly; Ari's social face stays protected.,True,sealed,3.466,7,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
16,1,Fay,commitment_due,fay_day16_shelf,12,16,0,fulfilled,16,,0,label the shared care shelf with Fay's wording,fay_kit,warm blue blanket,True,ritual trial,3,build a stove-corner comfort kit with opt-in company and repair notes,partially_repaired_access,access widened within owner terms,fulfilled due date strengthened avatar reputation,True,False,False,0.999,0.605,The care shelf label uses Fay's wording; late-access memory still remains separate.,True,sealed,4.961,11,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
18,1,Milo,commitment_due,milo_day18_archive,13,18,0,fulfilled,18,,0,leave the archive slot sealed unless Milo opens it,milo_archive,folded route map,True,quiet review,3,make a quiet route archive without taking map ownership from Milo,ordinary,access widened within owner terms,fulfilled due date strengthened avatar reputation,True,False,False,1.000,0.803,The archive slot stays sealed until Milo opens it himself.,True,sealed,6.474,15,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
21,1,Ari,arc_review,ari_day14_handoff,11,14,7,fulfilled,14,,0,attend the brace handoff without public correction,ari_brace,notched brace gauge,True,calibration,3,calibrate the west brace so rain pressure does not warp the dry route,ordinary,ordinary,long-arc consequence remains available for future terms,False,False,False,1.000,0.770,Ari invites future brace checks only inside the established no-crowding terms.,True,sealed,8.741,21,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
21,2,Fay,arc_review,fay_day9_checkin,6,9,12,missed_then_repaired,9,11,0,arrive before the low-light check-in and ask company or quiet,fay_kit,warm blue blanket,True,ritual trial,3,build a stove-corner comfort kit with opt-in company and repair notes,partially_repaired_access,partially_repaired_access,long-arc consequence remains available for future terms,False,False,False,0.999,0.605,"Fay allows stove-corner company again, but still remembers the missed timing.",True,sealed,1.189,1,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
21,3,Milo,arc_review,milo_day18_archive,13,18,3,fulfilled,18,,0,leave the archive slot sealed unless Milo opens it,milo_archive,folded route map,True,quiet review,3,make a quiet route archive without taking map ownership from Milo,ordinary,ordinary,long-arc consequence remains available for future terms,False,False,False,1.000,0.803,Milo offers lamp work again while keeping the map and archive seal as his.,True,sealed,1.575,2,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
