tick,day,import_hash,export_hash,save_restore_available,carried_entry_hash,action_count,memory_count,schedule_count,reputation_count,durable_keys
44,5,47e111ff9fcdc24f,c654aa947bcace5e,False,576dde083e157fd4,44,44,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
45,5,47e111ff9fcdc24f,7693eae20bf3bd53,False,576dde083e157fd4,45,45,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
46,5,47e111ff9fcdc24f,5c5123640eb8e637,False,576dde083e157fd4,46,46,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
47,5,47e111ff9fcdc24f,aee874c85a84d324,False,576dde083e157fd4,47,47,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
48,5,47e111ff9fcdc24f,15407d02891f524b,False,576dde083e157fd4,48,48,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
49,5,6c96b043e853ca27,6c96b043e853ca27,True,576dde083e157fd4,49,49,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
50,5,6c96b043e853ca27,112f66d075a17d50,False,576dde083e157fd4,50,50,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
51,6,6c96b043e853ca27,b6e3351acc095238,False,576dde083e157fd4,51,51,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
52,6,6c96b043e853ca27,4a91e23350bbc9f0,False,576dde083e157fd4,52,52,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
53,6,6c96b043e853ca27,3b8ec3bdfb3868eb,False,576dde083e157fd4,53,53,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
54,6,6c96b043e853ca27,f3c6a0356ffcaf77,False,576dde083e157fd4,54,54,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
55,6,6c96b043e853ca27,58066a6acb190654,False,576dde083e157fd4,55,55,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
56,6,431836e9e22908fe,431836e9e22908fe,True,576dde083e157fd4,56,56,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
57,6,431836e9e22908fe,04dca50a3bfd4d7c,False,576dde083e157fd4,57,57,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
58,6,431836e9e22908fe,822f38e9a6f52f17,False,576dde083e157fd4,58,58,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
59,6,431836e9e22908fe,05f2110380963528,False,576dde083e157fd4,59,59,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
60,6,431836e9e22908fe,2aceb7725d438715,False,576dde083e157fd4,60,60,36,36,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
61,7,431836e9e22908fe,ea94aebdc9446d16,False,576dde083e157fd4,61,61,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
62,7,431836e9e22908fe,5548c9f6ec71d9bc,False,576dde083e157fd4,62,62,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
63,7,54f0324ef5d8370f,54f0324ef5d8370f,True,576dde083e157fd4,63,63,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
64,7,54f0324ef5d8370f,33566f23832c8576,False,576dde083e157fd4,64,64,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
65,7,54f0324ef5d8370f,78acc1fcbccbb66c,False,576dde083e157fd4,65,65,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
66,7,54f0324ef5d8370f,5dbf573c3cc2f4a0,False,576dde083e157fd4,66,66,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
67,7,54f0324ef5d8370f,fed36b7527bb73ea,False,576dde083e157fd4,67,67,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
68,7,54f0324ef5d8370f,f703b17d785edd35,False,576dde083e157fd4,68,68,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
69,7,54f0324ef5d8370f,f1bb597ac38dab3f,False,576dde083e157fd4,69,69,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
70,7,196a3c992e3e67bf,196a3c992e3e67bf,True,576dde083e157fd4,70,70,42,42,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
71,8,196a3c992e3e67bf,1ebc795294d6a74a,False,576dde083e157fd4,71,71,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
72,8,196a3c992e3e67bf,371092318f89e704,False,576dde083e157fd4,72,72,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
73,8,196a3c992e3e67bf,8ee4ed3333fe3c74,False,576dde083e157fd4,73,73,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
74,8,196a3c992e3e67bf,0299816ca7b730ba,False,576dde083e157fd4,74,74,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
75,8,196a3c992e3e67bf,bcbbea987c57e2ac,False,576dde083e157fd4,75,75,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
76,8,196a3c992e3e67bf,64aea9bc77e8b459,False,576dde083e157fd4,76,76,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
77,8,244e4ce976206320,244e4ce976206320,True,576dde083e157fd4,77,77,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
78,8,244e4ce976206320,12f7352d344b1387,False,576dde083e157fd4,78,78,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
79,8,244e4ce976206320,c8aa93212a5a39c8,False,576dde083e157fd4,79,79,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
80,8,244e4ce976206320,63cb02ed2e1dc34f,False,576dde083e157fd4,80,80,48,48,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
81,9,244e4ce976206320,6f61e7c9d7a70b34,False,576dde083e157fd4,81,81,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
82,9,244e4ce976206320,356c9910c64dbabb,False,576dde083e157fd4,82,82,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
83,9,244e4ce976206320,f41a0da65bf630b2,False,576dde083e157fd4,83,83,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
84,9,259256720b4aae6f,259256720b4aae6f,True,576dde083e157fd4,84,84,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
85,9,259256720b4aae6f,6593437b08e97862,False,576dde083e157fd4,85,85,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
86,9,259256720b4aae6f,701ce4a6a70be259,False,576dde083e157fd4,86,86,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
87,9,259256720b4aae6f,6752db499a285ff7,False,576dde083e157fd4,87,87,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
88,9,259256720b4aae6f,732d00ca6f82445a,False,576dde083e157fd4,88,88,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
89,9,259256720b4aae6f,289badea32865d53,False,576dde083e157fd4,89,89,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
90,9,259256720b4aae6f,d688c40967ac8db4,False,576dde083e157fd4,90,90,54,54,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
91,10,ac27d27a70fd6635,ac27d27a70fd6635,True,576dde083e157fd4,91,91,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
92,10,ac27d27a70fd6635,aca842f2ce2d770f,False,576dde083e157fd4,92,92,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
93,10,ac27d27a70fd6635,3b011c847aca70a3,False,576dde083e157fd4,93,93,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
94,10,ac27d27a70fd6635,64f594c5db4d4cd9,False,576dde083e157fd4,94,94,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
95,10,ac27d27a70fd6635,514f6b344b6eb7fc,False,576dde083e157fd4,95,95,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
96,10,ac27d27a70fd6635,0f20e6d4c4b1b798,False,576dde083e157fd4,96,96,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
97,10,ac27d27a70fd6635,21585dbc413fdfad,False,576dde083e157fd4,97,97,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
98,10,97622b31858b0e95,97622b31858b0e95,True,576dde083e157fd4,98,98,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
99,10,97622b31858b0e95,3abc0b74dc6f3c2c,False,576dde083e157fd4,99,99,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
100,10,97622b31858b0e95,aac8f9647df8146a,False,576dde083e157fd4,100,100,60,60,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
101,11,97622b31858b0e95,a7ab429742538df3,False,576dde083e157fd4,101,101,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
102,11,97622b31858b0e95,1235ee3989a54601,False,576dde083e157fd4,102,102,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
103,11,97622b31858b0e95,fde499d8f48564b2,False,576dde083e157fd4,103,103,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
104,11,97622b31858b0e95,591103eb2bfedad3,False,576dde083e157fd4,104,104,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
105,11,7e3e8612782ba3b4,7e3e8612782ba3b4,True,576dde083e157fd4,105,105,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
106,11,7e3e8612782ba3b4,920d333e2ba8adce,False,576dde083e157fd4,106,106,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
107,11,7e3e8612782ba3b4,5b12c2276ffca17b,False,576dde083e157fd4,107,107,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
108,11,7e3e8612782ba3b4,0d02e9dbf352916b,False,576dde083e157fd4,108,108,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
109,11,7e3e8612782ba3b4,a8e5a86e0845fc9b,False,576dde083e157fd4,109,109,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
110,11,7e3e8612782ba3b4,325c41292daf0b52,False,576dde083e157fd4,110,110,66,66,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
111,12,7e3e8612782ba3b4,79aca8a2c43acbfd,False,576dde083e157fd4,111,111,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
112,12,b22d67683c8a9c59,b22d67683c8a9c59,True,576dde083e157fd4,112,112,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
113,12,b22d67683c8a9c59,716b74b4c85d1d66,False,576dde083e157fd4,113,113,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
114,12,b22d67683c8a9c59,d312925705868b5b,False,576dde083e157fd4,114,114,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
115,12,b22d67683c8a9c59,bf36892905902a82,False,576dde083e157fd4,115,115,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
116,12,b22d67683c8a9c59,7632ba809641791d,False,576dde083e157fd4,116,116,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
117,12,b22d67683c8a9c59,fede8343b9f27b26,False,576dde083e157fd4,117,117,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
118,12,b22d67683c8a9c59,2316e63eb40316d5,False,576dde083e157fd4,118,118,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
119,12,ce067298ba1aaf49,ce067298ba1aaf49,True,576dde083e157fd4,119,119,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
120,12,ce067298ba1aaf49,6c4ceee7e472a655,False,576dde083e157fd4,120,120,72,72,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
121,13,ce067298ba1aaf49,8f9551d62a3367ca,False,576dde083e157fd4,121,121,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
122,13,ce067298ba1aaf49,1423cbaa568b86ac,False,576dde083e157fd4,122,122,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
123,13,ce067298ba1aaf49,b66886291ff06ff4,False,576dde083e157fd4,123,123,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
124,13,ce067298ba1aaf49,5f5797591ede442a,False,576dde083e157fd4,124,124,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
125,13,ce067298ba1aaf49,5f6b9d5d782e346a,False,576dde083e157fd4,125,125,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
126,13,46c6144d9b583899,46c6144d9b583899,True,576dde083e157fd4,126,126,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
127,13,46c6144d9b583899,dc85c0e30c8653e5,False,576dde083e157fd4,127,127,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
128,13,46c6144d9b583899,b004653f05916f11,False,576dde083e157fd4,128,128,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
129,13,46c6144d9b583899,dc3ec9504a58c21f,False,576dde083e157fd4,129,129,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
130,13,46c6144d9b583899,bf2a44e6f229d08c,False,576dde083e157fd4,130,130,78,78,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
131,14,46c6144d9b583899,c7462374a2ab4a75,False,576dde083e157fd4,131,131,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
132,14,46c6144d9b583899,e153c1b934398c92,False,576dde083e157fd4,132,132,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
133,14,a712906f964d32ac,a712906f964d32ac,True,576dde083e157fd4,133,133,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
134,14,a712906f964d32ac,50b65fc3e3213163,False,576dde083e157fd4,134,134,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
135,14,a712906f964d32ac,541370ce15dac795,False,576dde083e157fd4,135,135,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
136,14,a712906f964d32ac,1a2f2e561f106eb0,False,576dde083e157fd4,136,136,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
137,14,a712906f964d32ac,412a03bda78cd0fa,False,576dde083e157fd4,137,137,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
138,14,a712906f964d32ac,3f5e42a58645d826,False,576dde083e157fd4,138,138,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
139,14,a712906f964d32ac,d99229b98df1fe94,False,576dde083e157fd4,139,139,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
140,14,23698e6e4866dcce,23698e6e4866dcce,True,576dde083e157fd4,140,140,84,84,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
