tick,day,conflict_id,schedule_delta,access_delta,trust_delta,welfare_delta,schedule_bound,access_bound,trust_bound,conflict_binding_score
154,20,v15-watch-20-154,0.276,0.12,-0.13,-0.09,1,1,1,1.0
155,20,v15-conflict-20-155,0.3,0.145,-0.09,0.04,1,1,1,1.0
156,20,v15-conflict-20-156,0.18,0.17,-0.1525,-0.09,1,1,1,1.0
157,20,v15-conflict-20-157,0.204,0.295,-0.035,0.04,1,1,1,1.0
158,20,v15-conflict-20-158,0.228,0.22,-0.0275,0.04,1,1,1,1.0
159,20,v15-conflict-20-159,0.252,0.245,-0.02,0.04,1,1,1,1.0
160,21,v15-conflict-21-160,0.276,0.27,-0.05,0.04,1,1,1,1.0
161,21,v15-watch-21-161,0.38,0.12,-0.1525,-0.09,1,1,1,1.0
162,21,v15-conflict-21-162,0.18,0.145,-0.035,0.02,1,1,1,1.0
163,21,v15-conflict-21-163,0.284,0.17,-0.0275,0.04,1,1,1,1.0
164,21,v15-conflict-21-164,0.228,0.195,-0.02,0.04,1,1,1,1.0
165,21,v15-conflict-21-165,0.252,0.22,-0.05,0.04,1,1,1,1.0
166,21,v15-conflict-21-166,0.276,0.245,-0.0425,0.02,1,1,1,1.0
167,21,v15-conflict-21-167,0.3,0.27,-0.035,0.04,1,1,1,1.0
