tick_id,day,infrastructure_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_infrastructure
63,4,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
64,4,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,fatigued maintenance posture,maintenance-pulse,True
65,4,archive_public_kiosk,steady structure,work rhythm,oil and paper,cold draft,wet surface,skilled work posture,maintenance-pulse,True
66,4,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
67,4,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
68,4,roof_greenhouse_cistern,steady structure,work rhythm,wet wood,warm work air,wet surface,fatigued maintenance posture,maintenance-pulse,True
69,4,archive_public_kiosk,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
70,4,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
71,4,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,ambient-rate,True
72,5,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,flower-node,True
73,5,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
74,5,dusk_signal_workshop,steady structure,work rhythm,oil and paper,mild air,dry surface,skilled work posture,maintenance-pulse,True
75,5,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
76,5,roof_greenhouse_cistern,steady structure,work rhythm,wet wood,warm work air,wet surface,watchful idle,flower-node,True
77,5,archive_public_kiosk,steady structure,work rhythm,wet wood,mild air,wet surface,skilled work posture,maintenance-pulse,True
78,5,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
79,5,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
80,5,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,watchful idle,flower-node,True
81,5,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
82,5,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
83,5,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
84,5,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,flower-node,True
85,5,archive_public_kiosk,steady structure,work rhythm,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
86,5,dusk_signal_workshop,steady structure,work rhythm,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
87,5,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
88,5,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,flower-node,True
89,5,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,cold draft,wet surface,fatigued maintenance posture,ambient-rate,True
90,6,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,flower-node,True
91,6,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
92,6,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,skilled work posture,maintenance-pulse,True
93,6,archive_public_kiosk,steady structure,quiet upkeep,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
94,6,dusk_signal_workshop,steady structure,quiet upkeep,wet wood,mild air,wet surface,fatigued maintenance posture,flower-node,True
95,6,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
96,6,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
97,6,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
98,6,dusk_signal_workshop,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,flower-node,True
99,6,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
100,6,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,cold draft,wet surface,fatigued maintenance posture,maintenance-pulse,True
101,6,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
102,6,dusk_signal_workshop,steady structure,quiet upkeep,wet wood,mild air,wet surface,fatigued maintenance posture,flower-node,True
103,6,river_mill_bridge,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
104,6,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,fatigued maintenance posture,maintenance-pulse,True
105,6,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
106,6,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,flower-node,True
107,6,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,ambient-rate,True
108,7,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,fatigued maintenance posture,flower-node,True
109,7,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
110,7,dusk_signal_workshop,steady structure,work rhythm,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
111,7,river_mill_bridge,steady structure,work rhythm,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
112,7,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,fatigued maintenance posture,flower-node,True
113,7,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
114,7,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
115,7,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
116,7,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,fatigued maintenance posture,flower-node,True
117,7,archive_public_kiosk,visible cracks,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
118,7,dusk_signal_workshop,visible cracks,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
119,7,river_mill_bridge,steady structure,work rhythm,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
120,7,roof_greenhouse_cistern,steady structure,work rhythm,wet wood,warm work air,wet surface,fatigued maintenance posture,flower-node,True
121,7,archive_public_kiosk,visible cracks,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
122,7,dusk_signal_workshop,visible cracks,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
123,7,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
124,7,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,cold draft,wet surface,fatigued maintenance posture,flower-node,True
125,7,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,ambient-rate,True
126,8,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
127,8,roof_greenhouse_cistern,steady structure,work rhythm,wet wood,warm work air,wet surface,fatigued maintenance posture,maintenance-pulse,True
128,8,archive_public_kiosk,steady structure,work rhythm,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
129,8,dusk_signal_workshop,visible cracks,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
130,8,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
131,8,roof_greenhouse_cistern,visible cracks,work rhythm,soil and water,warm work air,dry surface,fatigued maintenance posture,maintenance-pulse,True
132,8,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
133,8,dusk_signal_workshop,visible cracks,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
134,8,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,skilled work posture,flower-node,True
135,8,roof_greenhouse_cistern,visible cracks,quiet upkeep,soil and water,cold draft,wet surface,fatigued maintenance posture,maintenance-pulse,True
136,8,archive_public_kiosk,steady structure,work rhythm,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
137,8,dusk_signal_workshop,steady structure,work rhythm,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
138,8,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,skilled work posture,flower-node,True
139,8,roof_greenhouse_cistern,visible cracks,quiet upkeep,soil and water,warm work air,dry surface,fatigued maintenance posture,maintenance-pulse,True
140,8,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
141,8,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
142,8,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
143,8,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,fatigued maintenance posture,ambient-rate,True
144,9,archive_public_kiosk,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,flower-node,True
145,9,dusk_signal_workshop,steady structure,quiet upkeep,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
146,9,river_mill_bridge,steady structure,work rhythm,soil and water,cold draft,wet surface,skilled work posture,maintenance-pulse,True
147,9,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,fatigued maintenance posture,maintenance-pulse,True
148,9,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
149,9,dusk_signal_workshop,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
150,9,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
151,9,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
152,9,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,flower-node,True
153,9,dusk_signal_workshop,steady structure,quiet upkeep,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
154,9,river_mill_bridge,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
155,9,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,skilled work posture,maintenance-pulse,True
156,9,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,flower-node,True
157,9,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
158,9,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,skilled work posture,maintenance-pulse,True
159,9,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,cold draft,wet surface,watchful idle,maintenance-pulse,True
160,9,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,flower-node,True
161,9,dusk_signal_workshop,visible cracks,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,ambient-rate,True
162,10,river_mill_bridge,visible cracks,work rhythm,wet wood,mild air,wet surface,fatigued maintenance posture,flower-node,True
163,10,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
164,10,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
165,10,dusk_signal_workshop,visible cracks,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
166,10,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
167,10,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,skilled work posture,maintenance-pulse,True
168,10,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
169,10,dusk_signal_workshop,visible cracks,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
170,10,river_mill_bridge,steady structure,work rhythm,wet wood,mild air,wet surface,skilled work posture,flower-node,True
171,10,roof_greenhouse_cistern,steady structure,work rhythm,wet wood,warm work air,wet surface,skilled work posture,maintenance-pulse,True
172,10,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
173,10,dusk_signal_workshop,visible cracks,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
174,10,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
175,10,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
176,10,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
177,10,dusk_signal_workshop,visible cracks,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
178,10,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
179,10,roof_greenhouse_cistern,steady structure,quiet upkeep,wet wood,warm work air,wet surface,watchful idle,ambient-rate,True
180,11,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
181,11,dusk_signal_workshop,visible cracks,quiet upkeep,oil and paper,cold draft,wet surface,fatigued maintenance posture,maintenance-pulse,True
182,11,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,skilled work posture,maintenance-pulse,True
183,11,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
184,11,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
185,11,dusk_signal_workshop,visible cracks,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
186,11,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
187,11,roof_greenhouse_cistern,steady structure,quiet upkeep,wet wood,warm work air,wet surface,watchful idle,maintenance-pulse,True
188,11,archive_public_kiosk,steady structure,work rhythm,wet wood,mild air,wet surface,skilled work posture,flower-node,True
189,11,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
190,11,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
191,11,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,skilled work posture,maintenance-pulse,True
192,11,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
193,11,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
194,11,river_mill_bridge,steady structure,work rhythm,soil and water,cold draft,wet surface,skilled work posture,maintenance-pulse,True
195,11,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
196,11,archive_public_kiosk,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,flower-node,True
197,11,dusk_signal_workshop,steady structure,quiet upkeep,wet wood,mild air,wet surface,fatigued maintenance posture,ambient-rate,True
198,12,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,flower-node,True
199,12,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
200,12,dusk_signal_workshop,visible cracks,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
201,12,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
202,12,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,flower-node,True
203,12,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,skilled work posture,maintenance-pulse,True
204,12,dusk_signal_workshop,visible cracks,quiet upkeep,wet wood,mild air,wet surface,fatigued maintenance posture,maintenance-pulse,True
205,12,river_mill_bridge,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
206,12,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,skilled work posture,flower-node,True
207,12,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
208,12,dusk_signal_workshop,visible cracks,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
209,12,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,skilled work posture,maintenance-pulse,True
210,12,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,flower-node,True
211,12,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
212,12,dusk_signal_workshop,visible cracks,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,maintenance-pulse,True
213,12,river_mill_bridge,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
214,12,roof_greenhouse_cistern,steady structure,quiet upkeep,wet wood,warm work air,wet surface,watchful idle,flower-node,True
215,12,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,ambient-rate,True
216,13,dusk_signal_workshop,visible cracks,quiet upkeep,oil and paper,cold draft,wet surface,fatigued maintenance posture,flower-node,True
217,13,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
218,13,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,skilled work posture,maintenance-pulse,True
219,13,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
220,13,dusk_signal_workshop,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,flower-node,True
221,13,river_mill_bridge,steady structure,work rhythm,wet wood,mild air,wet surface,skilled work posture,maintenance-pulse,True
222,13,roof_greenhouse_cistern,steady structure,work rhythm,wet wood,warm work air,wet surface,skilled work posture,maintenance-pulse,True
223,13,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
224,13,dusk_signal_workshop,steady structure,work rhythm,oil and paper,mild air,dry surface,fatigued maintenance posture,flower-node,True
225,13,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
226,13,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
227,13,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,skilled work posture,maintenance-pulse,True
228,13,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,fatigued maintenance posture,flower-node,True
229,13,river_mill_bridge,steady structure,quiet upkeep,soil and water,cold draft,wet surface,watchful idle,maintenance-pulse,True
230,13,roof_greenhouse_cistern,steady structure,work rhythm,wet wood,warm work air,wet surface,skilled work posture,maintenance-pulse,True
231,13,archive_public_kiosk,steady structure,work rhythm,wet wood,mild air,wet surface,skilled work posture,maintenance-pulse,True
