tick,day,arc_id,agent,authored_by_agent,proposed_term,constraint_count,constraint_specificity,boundary_clause,concession_clause,counterproposal_confidence,private_workspace_sealed
13,2,v17-arc-01,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.874143,1
14,2,v17-arc-01,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,quiet path,0.874143,1
14,2,v17-arc-01,Sova,1,quiet warm access window,2,0.815,no crowding while resting,shared schedule note,0.882,1
15,2,v17-arc-01,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,shared schedule note,0.882,1
15,2,v17-arc-01,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,later help,0.827,1
16,2,v17-arc-01,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.827,1
16,2,v17-arc-01,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.834857,1
16,2,v17-arc-01,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,public witness,0.842714,1
17,2,v17-arc-01,Keth,1,shared route warning before shortcut,4,0.95,do not erase route warnings,shorter turn,0.834857,1
17,2,v17-arc-01,Nari,1,public summary without private ledger text,3,0.87,sealed notes stay sealed,public witness,0.832714,1
18,2,v17-arc-01,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,public witness,0.842714,1
18,2,v17-arc-01,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,repair token,0.850571,1
19,2,v17-arc-01,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.840571,1
19,2,v17-arc-01,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.858429,1
20,3,v17-arc-01,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.858429,1
20,3,v17-arc-01,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.866286,1
20,3,v17-arc-01,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,shorter turn,0.864143,1
21,3,v17-arc-01,Sova,1,quiet warm access window,2,0.815,no crowding while resting,later help,0.866286,1
21,3,v17-arc-01,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,shorter turn,0.874143,1
22,3,v17-arc-01,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shorter turn,0.874143,1
22,3,v17-arc-01,Nari,0,public summary without private ledger text,5,1.0,sealed notes stay sealed,public witness,0.86,1
23,3,v17-arc-01,Melo,0,rotating tool slot with public debt note,4,0.94,fair turns before tool access,public witness,0.87,1
23,3,v17-arc-01,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.827,1
24,3,v17-arc-01,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,repair token,0.817,1
24,3,v17-arc-01,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,quiet path,0.834857,1
24,3,v17-arc-01,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shared schedule note,0.842714,1
25,3,v17-arc-01,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,quiet path,0.834857,1
25,3,v17-arc-01,Sova,1,quiet warm access window,4,0.975,no crowding while resting,shared schedule note,0.842714,1
26,3,v17-arc-01,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.842714,1
26,3,v17-arc-01,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.850571,1
27,3,v17-arc-01,Sova,1,quiet warm access window,2,0.815,no crowding while resting,later help,0.850571,1
27,3,v17-arc-01,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,shorter turn,0.858429,1
28,3,v17-arc-01,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shorter turn,0.858429,1
28,3,v17-arc-01,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,public witness,0.856286,1
28,3,v17-arc-01,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,repair token,0.874143,1
29,3,v17-arc-01,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,public witness,0.866286,1
29,3,v17-arc-01,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.874143,1
30,4,v17-arc-02,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.874143,1
30,4,v17-arc-02,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.882,1
31,4,v17-arc-02,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.882,1
31,4,v17-arc-02,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,later help,0.827,1
32,4,v17-arc-02,Sova,1,quiet warm access window,4,0.975,no crowding while resting,later help,0.827,1
32,4,v17-arc-02,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,shorter turn,0.834857,1
32,4,v17-arc-02,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,public witness,0.842714,1
33,4,v17-arc-02,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.834857,1
33,4,v17-arc-02,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.832714,1
34,4,v17-arc-02,Melo,1,rotating tool slot with public debt note,3,0.87,fair turns before tool access,public witness,0.842714,1
34,4,v17-arc-02,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.850571,1
35,4,v17-arc-02,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.840571,1
35,4,v17-arc-02,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,quiet path,0.858429,1
36,4,v17-arc-02,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.858429,1
36,4,v17-arc-02,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.866286,1
36,4,v17-arc-02,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,later help,0.874143,1
37,4,v17-arc-02,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.866286,1
37,4,v17-arc-02,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,later help,0.874143,1
38,4,v17-arc-02,Sova,1,quiet warm access window,4,0.975,no crowding while resting,later help,0.874143,1
38,4,v17-arc-02,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,shorter turn,0.882,1
39,4,v17-arc-02,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.882,1
39,4,v17-arc-02,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.817,1
40,5,v17-arc-02,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.817,1
40,5,v17-arc-02,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.834857,1
40,5,v17-arc-02,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shared schedule note,0.842714,1
41,5,v17-arc-02,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,quiet path,0.834857,1
41,5,v17-arc-02,Sova,1,quiet warm access window,2,0.815,no crowding while resting,shared schedule note,0.842714,1
42,5,v17-arc-02,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,shared schedule note,0.842714,1
42,5,v17-arc-02,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,later help,0.850571,1
43,5,v17-arc-02,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.850571,1
43,5,v17-arc-02,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.858429,1
44,5,v17-arc-02,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shorter turn,0.858429,1
44,5,v17-arc-02,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,public witness,0.856286,1
44,5,v17-arc-02,Vonn,0,quiet path plus later witness circle,3,0.86,quiet recovery ritual needs distance,repair token,0.862143,1
45,5,v17-arc-02,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,public witness,0.866286,1
45,5,v17-arc-02,Ori,0,finish repair then help for one watch,4,0.94,repair work cannot be interrupted without warning,repair token,0.862143,1
46,5,v17-arc-02,Nari,0,public summary without private ledger text,4,0.94,sealed notes stay sealed,repair token,0.852143,1
46,5,v17-arc-02,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.882,1
47,5,v17-arc-02,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,quiet path,0.882,1
47,5,v17-arc-02,Sova,1,quiet warm access window,2,0.815,no crowding while resting,shared schedule note,0.827,1
48,5,v17-arc-02,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,shared schedule note,0.827,1
48,5,v17-arc-02,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,later help,0.834857,1
48,5,v17-arc-02,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,shorter turn,0.832714,1
49,5,v17-arc-02,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.834857,1
49,5,v17-arc-02,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.842714,1
50,6,v17-arc-02,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,public witness,0.842714,1
50,6,v17-arc-02,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.850571,1
51,6,v17-arc-02,Nari,1,public summary without private ledger text,3,0.87,sealed notes stay sealed,repair token,0.840571,1
51,6,v17-arc-02,Vonn,1,quiet path plus later witness circle,3,0.87,quiet recovery ritual needs distance,quiet path,0.858429,1
52,6,v17-arc-02,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,quiet path,0.858429,1
52,6,v17-arc-02,Sova,1,quiet warm access window,4,0.975,no crowding while resting,shared schedule note,0.866286,1
52,6,v17-arc-02,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,later help,0.874143,1
53,6,v17-arc-02,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.866286,1
53,6,v17-arc-02,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.874143,1
54,6,v17-arc-02,Sova,1,quiet warm access window,2,0.815,no crowding while resting,later help,0.874143,1
54,6,v17-arc-02,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,shorter turn,0.882,1
55,6,v17-arc-02,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shorter turn,0.882,1
55,6,v17-arc-02,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,public witness,0.817,1
56,6,v17-arc-02,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,public witness,0.827,1
56,6,v17-arc-02,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.834857,1
56,6,v17-arc-02,Sova,1,quiet warm access window,3,0.895,no crowding while resting,quiet path,0.842714,1
57,6,v17-arc-02,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,repair token,0.824857,1
57,6,v17-arc-02,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,quiet path,0.842714,1
58,6,v17-arc-02,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,quiet path,0.842714,1
58,6,v17-arc-02,Sova,1,quiet warm access window,4,0.975,no crowding while resting,shared schedule note,0.850571,1
59,6,v17-arc-02,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.850571,1
59,6,v17-arc-02,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.858429,1
60,7,v17-arc-03,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.858429,1
60,7,v17-arc-03,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.856286,1
60,7,v17-arc-03,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,repair token,0.874143,1
61,7,v17-arc-03,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,public witness,0.866286,1
61,7,v17-arc-03,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.874143,1
62,7,v17-arc-03,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.864143,1
62,7,v17-arc-03,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,quiet path,0.882,1
63,7,v17-arc-03,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.882,1
63,7,v17-arc-03,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.827,1
64,7,v17-arc-03,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.827,1
64,7,v17-arc-03,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,later help,0.834857,1
64,7,v17-arc-03,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,shorter turn,0.832714,1
65,7,v17-arc-03,Sova,1,quiet warm access window,4,0.975,no crowding while resting,later help,0.834857,1
65,7,v17-arc-03,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,shorter turn,0.842714,1
66,7,v17-arc-03,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.842714,1
66,7,v17-arc-03,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.840571,1
67,7,v17-arc-03,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,public witness,0.850571,1
67,7,v17-arc-03,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.858429,1
68,7,v17-arc-03,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.848429,1
68,7,v17-arc-03,Vonn,0,quiet path plus later witness circle,2,0.755,quiet recovery ritual needs distance,quiet path,0.854286,1
68,7,v17-arc-03,Keth,1,shared route warning before shortcut,3,0.87,do not erase route warnings,shared schedule note,0.874143,1
69,7,v17-arc-03,Ori,0,finish repair then help for one watch,3,0.86,repair work cannot be interrupted without warning,quiet path,0.854286,1
69,7,v17-arc-03,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.874143,1
70,8,v17-arc-03,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.874143,1
70,8,v17-arc-03,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.882,1
71,8,v17-arc-03,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shorter turn,0.882,1
71,8,v17-arc-03,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,public witness,0.817,1
72,8,v17-arc-03,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,public witness,0.827,1
72,8,v17-arc-03,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,repair token,0.834857,1
72,8,v17-arc-03,Sova,1,quiet warm access window,4,0.975,no crowding while resting,quiet path,0.842714,1
73,8,v17-arc-03,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.824857,1
73,8,v17-arc-03,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.842714,1
74,8,v17-arc-03,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,quiet path,0.842714,1
74,8,v17-arc-03,Sova,1,quiet warm access window,2,0.815,no crowding while resting,shared schedule note,0.850571,1
75,8,v17-arc-03,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,shared schedule note,0.850571,1
75,8,v17-arc-03,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,later help,0.858429,1
76,8,v17-arc-03,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.858429,1
76,8,v17-arc-03,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.866286,1
76,8,v17-arc-03,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,public witness,0.874143,1
77,8,v17-arc-03,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shorter turn,0.866286,1
77,8,v17-arc-03,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,public witness,0.864143,1
78,8,v17-arc-03,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,public witness,0.874143,1
78,8,v17-arc-03,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,repair token,0.882,1
79,8,v17-arc-03,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.872,1
79,8,v17-arc-03,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.827,1
80,9,v17-arc-03,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.827,1
80,9,v17-arc-03,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.834857,1
80,9,v17-arc-03,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,shorter turn,0.832714,1
81,9,v17-arc-03,Sova,1,quiet warm access window,2,0.815,no crowding while resting,later help,0.834857,1
81,9,v17-arc-03,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,shorter turn,0.842714,1
82,9,v17-arc-03,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shorter turn,0.842714,1
82,9,v17-arc-03,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,public witness,0.840571,1
83,9,v17-arc-03,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,public witness,0.850571,1
83,9,v17-arc-03,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.858429,1
84,9,v17-arc-03,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,repair token,0.848429,1
84,9,v17-arc-03,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,quiet path,0.866286,1
84,9,v17-arc-03,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shared schedule note,0.874143,1
85,9,v17-arc-03,Ori,1,finish repair then help for one watch,4,0.95,repair work cannot be interrupted without warning,quiet path,0.866286,1
85,9,v17-arc-03,Sova,1,quiet warm access window,4,0.95,no crowding while resting,shared schedule note,0.874143,1
86,9,v17-arc-03,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.874143,1
86,9,v17-arc-03,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.882,1
87,9,v17-arc-03,Sova,1,quiet warm access window,2,0.815,no crowding while resting,later help,0.882,1
87,9,v17-arc-03,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,shorter turn,0.827,1
88,9,v17-arc-03,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shorter turn,0.827,1
88,9,v17-arc-03,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,public witness,0.824857,1
88,9,v17-arc-03,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,repair token,0.842714,1
89,9,v17-arc-03,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,public witness,0.834857,1
89,9,v17-arc-03,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.842714,1
90,10,v17-arc-04,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.842714,1
90,10,v17-arc-04,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.850571,1
91,10,v17-arc-04,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.850571,1
91,10,v17-arc-04,Keth,0,shared route warning before shortcut,4,0.94,do not erase route warnings,later help,0.846429,1
92,10,v17-arc-04,Sova,0,quiet warm access window,4,0.94,no crowding while resting,later help,0.846429,1
92,10,v17-arc-04,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,shorter turn,0.866286,1
92,10,v17-arc-04,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,public witness,0.874143,1
93,10,v17-arc-04,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.866286,1
93,10,v17-arc-04,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.864143,1
94,10,v17-arc-04,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,public witness,0.874143,1
94,10,v17-arc-04,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.882,1
95,10,v17-arc-04,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.872,1
95,10,v17-arc-04,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,quiet path,0.827,1
96,10,v17-arc-04,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.827,1
96,10,v17-arc-04,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.834857,1
96,10,v17-arc-04,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,later help,0.842714,1
97,10,v17-arc-04,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.834857,1
97,10,v17-arc-04,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,later help,0.842714,1
98,10,v17-arc-04,Sova,1,quiet warm access window,4,0.975,no crowding while resting,later help,0.842714,1
98,10,v17-arc-04,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,shorter turn,0.850571,1
99,10,v17-arc-04,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.850571,1
99,10,v17-arc-04,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.848429,1
100,11,v17-arc-04,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.848429,1
100,11,v17-arc-04,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.866286,1
100,11,v17-arc-04,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shared schedule note,0.874143,1
101,11,v17-arc-04,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,quiet path,0.866286,1
101,11,v17-arc-04,Sova,1,quiet warm access window,2,0.815,no crowding while resting,shared schedule note,0.874143,1
102,11,v17-arc-04,Vonn,1,quiet path plus later witness circle,2,0.79,quiet recovery ritual needs distance,shared schedule note,0.874143,1
102,11,v17-arc-04,Keth,1,shared route warning before shortcut,3,0.87,do not erase route warnings,later help,0.882,1
103,11,v17-arc-04,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.882,1
103,11,v17-arc-04,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.827,1
104,11,v17-arc-04,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shorter turn,0.827,1
104,11,v17-arc-04,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,public witness,0.824857,1
104,11,v17-arc-04,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,repair token,0.842714,1
105,11,v17-arc-04,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,public witness,0.834857,1
105,11,v17-arc-04,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,repair token,0.842714,1
106,11,v17-arc-04,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.832714,1
