tick,day,replay_id,conflict_id,includes_pre_conflict_state,includes_selected_branches,includes_arbitration_reason,includes_reload_restore_state,includes_partial_rollback_state,deterministic_order,replay_integrity_score
47,6,v15-replay-06-047,v15-conflict-06-047,1,1,1,1,1,1,1.0
48,7,v15-replay-07-048,v15-conflict-07-048,1,1,1,1,1,1,1.0
49,7,v15-replay-07-049,v15-watch-07-049,1,1,1,1,1,1,1.0
50,7,v15-replay-07-050,v15-conflict-07-050,1,1,1,0,1,1,0.96
51,7,v15-replay-07-051,v15-conflict-07-051,1,1,1,1,1,1,1.0
52,7,v15-replay-07-052,v15-conflict-07-052,1,1,1,1,1,1,1.0
53,7,v15-replay-07-053,v15-conflict-07-053,1,1,1,1,1,1,1.0
54,7,v15-replay-07-054,v15-conflict-07-054,1,1,1,0,1,1,0.96
55,7,v15-replay-07-055,v15-conflict-07-055,1,1,1,1,1,1,1.0
56,8,v15-replay-08-056,v15-watch-08-056,1,1,1,1,1,1,1.0
57,8,v15-replay-08-057,v15-conflict-08-057,1,1,0,1,1,1,0.97
58,8,v15-replay-08-058,v15-conflict-08-058,1,1,1,0,1,1,0.96
59,8,v15-replay-08-059,v15-conflict-08-059,1,1,1,1,1,1,1.0
60,8,v15-replay-08-060,v15-conflict-08-060,1,1,1,1,1,1,1.0
61,8,v15-replay-08-061,v15-conflict-08-061,1,1,1,1,1,1,1.0
62,8,v15-replay-08-062,v15-conflict-08-062,1,1,1,0,1,1,0.96
63,8,v15-replay-08-063,v15-watch-08-063,1,1,1,1,1,1,1.0
64,9,v15-replay-09-064,v15-conflict-09-064,1,1,1,1,1,1,1.0
65,9,v15-replay-09-065,v15-conflict-09-065,1,1,1,1,1,1,1.0
66,9,v15-replay-09-066,v15-conflict-09-066,1,1,1,0,1,1,0.96
67,9,v15-replay-09-067,v15-conflict-09-067,1,1,1,1,1,1,1.0
68,9,v15-replay-09-068,v15-conflict-09-068,1,1,1,1,1,1,1.0
69,9,v15-replay-09-069,v15-conflict-09-069,1,1,1,1,1,1,1.0
70,9,v15-replay-09-070,v15-watch-09-070,1,1,1,0,1,1,0.96
71,9,v15-replay-09-071,v15-conflict-09-071,1,1,1,1,1,1,1.0
72,10,v15-replay-10-072,v15-conflict-10-072,1,1,1,1,1,1,1.0
73,10,v15-replay-10-073,v15-conflict-10-073,1,1,1,1,1,1,1.0
74,10,v15-replay-10-074,v15-conflict-10-074,1,1,1,0,1,1,0.96
75,10,v15-replay-10-075,v15-conflict-10-075,1,1,1,1,1,1,1.0
76,10,v15-replay-10-076,v15-conflict-10-076,1,1,0,1,0,1,0.92
77,10,v15-replay-10-077,v15-watch-10-077,1,1,1,1,1,1,1.0
78,10,v15-replay-10-078,v15-conflict-10-078,1,1,1,0,1,1,0.96
79,10,v15-replay-10-079,v15-conflict-10-079,1,1,1,1,1,1,1.0
80,11,v15-replay-11-080,v15-conflict-11-080,1,1,1,1,1,1,1.0
81,11,v15-replay-11-081,v15-conflict-11-081,1,1,1,1,1,1,1.0
82,11,v15-replay-11-082,v15-conflict-11-082,1,1,1,0,0,1,0.91
83,11,v15-replay-11-083,v15-conflict-11-083,1,1,1,1,1,1,1.0
84,11,v15-replay-11-084,v15-watch-11-084,1,1,1,1,1,1,1.0
85,11,v15-replay-11-085,v15-conflict-11-085,1,1,1,1,1,1,1.0
86,11,v15-replay-11-086,v15-conflict-11-086,1,1,1,0,1,1,0.96
87,11,v15-replay-11-087,v15-conflict-11-087,1,1,1,1,1,1,1.0
88,12,v15-replay-12-088,v15-conflict-12-088,1,1,1,1,1,1,1.0
89,12,v15-replay-12-089,v15-conflict-12-089,1,1,1,1,1,1,1.0
90,12,v15-replay-12-090,v15-conflict-12-090,1,1,1,0,1,1,0.96
91,12,v15-replay-12-091,v15-watch-12-091,1,1,1,1,1,1,1.0
92,12,v15-replay-12-092,v15-conflict-12-092,1,1,1,1,1,1,1.0
93,12,v15-replay-12-093,v15-conflict-12-093,1,1,1,1,1,1,1.0
94,12,v15-replay-12-094,v15-conflict-12-094,1,1,1,0,1,1,0.96
95,12,v15-replay-12-095,v15-conflict-12-095,1,1,0,1,1,1,0.97
96,13,v15-replay-13-096,v15-conflict-13-096,1,1,1,1,1,1,1.0
97,13,v15-replay-13-097,v15-conflict-13-097,1,1,1,1,1,1,1.0
98,13,v15-replay-13-098,v15-watch-13-098,1,1,1,0,1,1,0.96
99,13,v15-replay-13-099,v15-conflict-13-099,1,1,1,1,1,1,1.0
100,13,v15-replay-13-100,v15-conflict-13-100,1,1,1,1,1,1,1.0
101,13,v15-replay-13-101,v15-conflict-13-101,1,1,1,1,1,1,1.0
102,13,v15-replay-13-102,v15-conflict-13-102,1,1,1,0,1,1,0.96
103,13,v15-replay-13-103,v15-conflict-13-103,1,1,1,1,1,1,1.0
104,14,v15-replay-14-104,v15-conflict-14-104,1,1,1,1,1,1,1.0
105,14,v15-replay-14-105,v15-watch-14-105,1,1,1,1,1,1,1.0
106,14,v15-replay-14-106,v15-conflict-14-106,1,1,1,0,1,1,0.96
107,14,v15-replay-14-107,v15-conflict-14-107,1,1,1,1,1,1,1.0
108,14,v15-replay-14-108,v15-conflict-14-108,1,1,1,1,1,1,1.0
109,14,v15-replay-14-109,v15-conflict-14-109,1,1,1,1,1,1,1.0
110,14,v15-replay-14-110,v15-conflict-14-110,1,1,1,0,1,1,0.96
111,14,v15-replay-14-111,v15-conflict-14-111,1,1,1,1,1,1,1.0
112,15,v15-replay-15-112,v15-watch-15-112,1,1,1,1,1,1,1.0
113,15,v15-replay-15-113,v15-conflict-15-113,1,1,1,1,1,1,1.0
114,15,v15-replay-15-114,v15-conflict-15-114,1,1,0,0,1,1,0.93
115,15,v15-replay-15-115,v15-conflict-15-115,1,1,1,1,1,1,1.0
116,15,v15-replay-15-116,v15-conflict-15-116,1,1,1,1,1,1,1.0
117,15,v15-replay-15-117,v15-conflict-15-117,1,1,1,1,1,1,1.0
118,15,v15-replay-15-118,v15-conflict-15-118,1,1,1,0,1,1,0.96
119,15,v15-replay-15-119,v15-watch-15-119,1,1,1,1,1,1,1.0
120,16,v15-replay-16-120,v15-conflict-16-120,1,1,1,1,1,1,1.0
121,16,v15-replay-16-121,v15-conflict-16-121,1,1,1,1,1,1,1.0
122,16,v15-replay-16-122,v15-conflict-16-122,1,1,1,0,1,1,0.96
123,16,v15-replay-16-123,v15-conflict-16-123,1,1,1,0,0,1,0.91
124,16,v15-replay-16-124,v15-conflict-16-124,1,1,1,1,1,1,1.0
125,16,v15-replay-16-125,v15-conflict-16-125,1,1,1,1,1,1,1.0
126,16,v15-replay-16-126,v15-watch-16-126,1,1,1,0,1,1,0.96
127,16,v15-replay-16-127,v15-conflict-16-127,1,1,1,1,1,1,1.0
128,17,v15-replay-17-128,v15-conflict-17-128,1,1,1,1,1,1,1.0
129,17,v15-replay-17-129,v15-conflict-17-129,1,1,1,1,1,1,1.0
130,17,v15-replay-17-130,v15-conflict-17-130,1,1,1,0,1,1,0.96
131,17,v15-replay-17-131,v15-conflict-17-131,1,1,1,1,1,1,1.0
132,17,v15-replay-17-132,v15-conflict-17-132,1,1,1,1,1,1,1.0
133,17,v15-replay-17-133,v15-watch-17-133,1,1,1,1,1,1,1.0
134,17,v15-replay-17-134,v15-conflict-17-134,1,1,1,0,1,1,0.96
135,17,v15-replay-17-135,v15-conflict-17-135,1,1,1,1,1,1,1.0
136,18,v15-replay-18-136,v15-conflict-18-136,1,1,1,1,1,1,1.0
137,18,v15-replay-18-137,v15-conflict-18-137,1,1,1,1,1,1,1.0
138,18,v15-replay-18-138,v15-conflict-18-138,1,1,1,0,1,1,0.96
139,18,v15-replay-18-139,v15-conflict-18-139,1,1,1,1,1,1,1.0
140,18,v15-replay-18-140,v15-watch-18-140,1,1,1,1,1,1,1.0
141,18,v15-replay-18-141,v15-conflict-18-141,1,1,1,1,1,1,1.0
142,18,v15-replay-18-142,v15-conflict-18-142,1,1,1,0,1,1,0.96
143,18,v15-replay-18-143,v15-conflict-18-143,1,1,1,1,1,1,1.0
144,19,v15-replay-19-144,v15-conflict-19-144,1,1,1,1,1,1,1.0
145,19,v15-replay-19-145,v15-conflict-19-145,1,1,1,1,1,1,1.0
146,19,v15-replay-19-146,v15-conflict-19-146,1,1,1,0,1,1,0.96
147,19,v15-replay-19-147,v15-watch-19-147,1,1,1,1,1,1,1.0
148,19,v15-replay-19-148,v15-conflict-19-148,1,1,1,1,0,1,0.95
149,19,v15-replay-19-149,v15-conflict-19-149,1,1,1,1,1,1,1.0
150,19,v15-replay-19-150,v15-conflict-19-150,1,1,1,0,1,1,0.96
151,19,v15-replay-19-151,v15-conflict-19-151,1,1,1,1,1,1,1.0
152,20,v15-replay-20-152,v15-conflict-20-152,1,1,0,1,0,1,0.92
153,20,v15-replay-20-153,v15-conflict-20-153,1,1,1,1,1,1,1.0
154,20,v15-replay-20-154,v15-watch-20-154,1,1,1,0,1,1,0.96
155,20,v15-replay-20-155,v15-conflict-20-155,1,1,1,1,1,1,1.0
156,20,v15-replay-20-156,v15-conflict-20-156,1,1,1,1,1,1,1.0
157,20,v15-replay-20-157,v15-conflict-20-157,1,1,1,1,1,1,1.0
158,20,v15-replay-20-158,v15-conflict-20-158,1,1,1,0,1,1,0.96
159,20,v15-replay-20-159,v15-conflict-20-159,1,1,1,1,1,1,1.0
160,21,v15-replay-21-160,v15-conflict-21-160,1,1,1,1,1,1,1.0
161,21,v15-replay-21-161,v15-watch-21-161,1,1,1,1,1,1,1.0
162,21,v15-replay-21-162,v15-conflict-21-162,1,1,1,0,1,1,0.96
163,21,v15-replay-21-163,v15-conflict-21-163,1,1,1,1,1,1,1.0
164,21,v15-replay-21-164,v15-conflict-21-164,1,1,1,0,0,1,0.91
165,21,v15-replay-21-165,v15-conflict-21-165,1,1,1,1,1,1,1.0
166,21,v15-replay-21-166,v15-conflict-21-166,1,1,1,0,1,1,0.96
167,21,v15-replay-21-167,v15-conflict-21-167,1,1,1,1,1,1,1.0
