epoch_index,checkpoint_id,import_hash,export_hash,restore_verified,carried_epoch_rows,durable_keys
67,,pending,5a3ebeb2cee9d1c2,False,67,"epoch,lineage,technology,welfare,gates,replay"
68,,pending,82e13c58b8823e1d,False,68,"epoch,lineage,technology,welfare,gates,replay"
69,,pending,63c901750c530e49,False,69,"epoch,lineage,technology,welfare,gates,replay"
70,,pending,5341c233db636726,True,70,"epoch,lineage,technology,welfare,gates,replay"
71,,pending,d0bea097f9ed2ac9,False,71,"epoch,lineage,technology,welfare,gates,replay"
72,r247-year3600,fc43c77e7a49007b,fc43c77e7a49007b,True,72,"epoch,lineage,technology,welfare,gates,replay"
73,,pending,0a4e88b457e7e368,False,73,"epoch,lineage,technology,welfare,gates,replay"
74,,pending,202b64f64e59bccc,False,74,"epoch,lineage,technology,welfare,gates,replay"
75,,pending,de96378c6a231774,False,75,"epoch,lineage,technology,welfare,gates,replay"
76,,pending,6229477ddca37fc5,False,76,"epoch,lineage,technology,welfare,gates,replay"
77,,pending,0051b349ff86d951,True,77,"epoch,lineage,technology,welfare,gates,replay"
78,,pending,e6806bf9aaa79994,False,78,"epoch,lineage,technology,welfare,gates,replay"
79,,pending,6acdccfbcab6a9ab,False,79,"epoch,lineage,technology,welfare,gates,replay"
80,,pending,ce8e8aa4244b531c,False,80,"epoch,lineage,technology,welfare,gates,replay"
81,,pending,908b3cbd398f372d,False,81,"epoch,lineage,technology,welfare,gates,replay"
82,,pending,60b8f9f14a751780,False,82,"epoch,lineage,technology,welfare,gates,replay"
83,,pending,7b912d436c132e68,False,83,"epoch,lineage,technology,welfare,gates,replay"
84,r247-year4200,bfada554f59784ef,bfada554f59784ef,True,84,"epoch,lineage,technology,welfare,gates,replay"
