tick_id,day,settlement_id,resident_id,schedule_phase,scheduled_room,actual_room,task,schedule_visible,interruption_possible,routine_saved
44,4,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
45,4,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
46,4,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
47,4,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,True,True
48,5,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,False,True
49,5,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,True,True
50,5,archive,Toma,morning work,spool room,spool room,repair object,True,True,True
51,5,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
52,5,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
53,5,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
54,5,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
55,5,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
56,5,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
57,5,signal,Milo,night memory,arrival court,arrival court,recall memory,True,False,True
58,5,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,True,True
59,5,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,True,True
60,6,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
61,6,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,True,True
62,6,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
63,6,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
64,6,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
65,6,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
66,6,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
67,6,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
68,6,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
69,6,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
70,6,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,True,True
71,6,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
72,7,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,True,True
73,7,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
74,7,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
75,7,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
76,7,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
77,7,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
78,7,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
79,7,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
80,7,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
81,7,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,True,True
82,7,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
83,7,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
84,8,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,True,True
85,8,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
86,8,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
87,8,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
88,8,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
89,8,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
90,8,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
91,8,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
92,8,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,True,True
93,8,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,True,True
94,8,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
95,8,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,True,True
96,9,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
97,9,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
98,9,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
99,9,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
100,9,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
101,9,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
102,9,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
103,9,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
104,9,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,True,True
105,9,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
106,9,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
107,9,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,True,True
108,10,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
109,10,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
110,10,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
111,10,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
112,10,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,True,True
113,10,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
114,10,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
115,10,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,True,True
116,10,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,True,True
117,10,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
118,10,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
119,10,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,True,True
120,11,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
121,11,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
122,11,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
123,11,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
124,11,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,True,True
125,11,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
126,11,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
127,11,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,True,True
128,11,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
129,11,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
130,11,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
131,11,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
132,12,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
133,12,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
134,12,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
135,12,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,True,True
136,12,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,True,True
137,12,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
138,12,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,True,True
139,12,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,True,True
140,12,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,False,True
141,12,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
142,12,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
143,12,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,False,True
144,13,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
145,13,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
146,13,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
147,13,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,True,True
148,13,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
149,13,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
150,13,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,True,True
151,13,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
152,13,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
153,13,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
154,13,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
155,13,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
156,14,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
157,14,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
158,14,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,True,True
159,14,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
160,14,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
161,14,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,True,True
162,14,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
163,14,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
164,14,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
165,14,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
166,14,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
167,14,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
168,15,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
169,15,signal,Milo,morning work,mast base,mast base,repair object,True,True,True
170,15,orchard,Mara,morning work,seed lane,seed lane,repair object,True,True,True
171,15,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
172,15,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,True,True
173,15,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,True,True
174,15,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
175,15,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,False,True
176,15,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,False,True
177,15,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
178,15,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,False,True
179,15,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,False,True
180,16,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
181,16,signal,Ren,morning work,mast base,mast base,repair object,True,True,True
182,16,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
183,16,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
184,16,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,True,True
185,16,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
186,16,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
187,16,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
188,16,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
189,16,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
190,16,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
191,16,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
192,17,archive,Toma,morning work,spool room,spool room,repair object,True,True,True
193,17,signal,Milo,morning work,mast base,mast base,repair object,True,True,True
194,17,orchard,Mara,morning work,seed lane,seed lane,repair object,True,False,True
195,17,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
196,17,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,True,True
197,17,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,False,True
198,17,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
199,17,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,False,True
200,17,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,False,True
201,17,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,True,True
202,17,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,False,True
203,17,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,False,True
204,18,archive,Nia,morning work,spool room,spool room,repair object,True,True,True
205,18,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
206,18,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
207,18,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
208,18,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
209,18,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
210,18,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
211,18,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
212,18,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
213,18,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,True,True
214,18,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
215,18,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
216,19,archive,Toma,morning work,spool room,spool room,repair object,True,True,True
217,19,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
218,19,orchard,Mara,morning work,seed lane,seed lane,repair object,True,False,True
219,19,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
220,19,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
221,19,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,False,True
222,19,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
223,19,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,False,True
224,19,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,True,True
225,19,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,True,True
226,19,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,False,True
227,19,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,True,True
228,20,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
229,20,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
230,20,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
231,20,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
232,20,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
233,20,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
234,20,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
235,20,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
236,20,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,True,True
237,20,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
238,20,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
239,20,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,True,True
240,21,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
241,21,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
242,21,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
243,21,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
244,21,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
245,21,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
246,21,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
247,21,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,True,True
248,21,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
249,21,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
250,21,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,True,True
251,21,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
252,22,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
253,22,orchard,Mara,morning work,seed lane,seed lane,repair object,True,False,True
254,22,repair_ring,Juno,morning work,wire bench,wire bench,repair object,True,False,True
255,22,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
256,22,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,False,True
257,22,archive,Toma,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
258,22,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,True,True
259,22,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,True,True
260,22,repair_ring,Juno,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
261,22,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,True,True
262,22,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,True,True
263,22,archive,Toma,night memory,arrival court,arrival court,recall memory,True,False,True
264,23,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
265,23,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
266,23,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
267,23,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
268,23,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
269,23,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
270,23,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,True,True
271,23,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
272,23,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
273,23,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,True,True
274,23,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
275,23,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
276,24,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
277,24,orchard,Mara,morning work,seed lane,seed lane,repair object,True,False,True
278,24,repair_ring,Juno,morning work,wire bench,wire bench,repair object,True,True,True
279,24,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
280,24,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,False,True
281,24,archive,Toma,midday exchange,stone stacks,stone stacks,teach dialect,True,True,True
282,24,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,True,True
283,24,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,False,True
284,24,repair_ring,Juno,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
285,24,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,True,True
286,24,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,False,True
287,24,archive,Toma,night memory,arrival court,arrival court,recall memory,True,False,True
288,25,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
289,25,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
290,25,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,True,True
291,25,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
292,25,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
293,25,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,True,True
294,25,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
295,25,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
296,25,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
297,25,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
298,25,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
299,25,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
300,26,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
301,26,orchard,Mara,morning work,seed lane,seed lane,repair object,True,True,True
302,26,repair_ring,Juno,morning work,wire bench,wire bench,repair object,True,True,True
303,26,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
304,26,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,True,True
305,26,archive,Toma,midday exchange,stone stacks,stone stacks,teach dialect,True,True,True
306,26,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,False,True
307,26,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,False,True
308,26,repair_ring,Juno,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
309,26,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,False,True
310,26,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,False,True
311,26,archive,Toma,night memory,arrival court,arrival court,recall memory,True,False,True
312,27,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
313,27,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,True,True
314,27,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
315,27,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
316,27,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,True,True
317,27,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
318,27,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
319,27,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
320,27,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
321,27,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
322,27,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
323,27,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
324,28,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,True,True
325,28,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
326,28,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
327,28,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,True,True
328,28,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
329,28,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
330,28,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
331,28,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
332,28,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
333,28,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
334,28,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
335,28,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
336,29,orchard,Mara,morning work,seed lane,seed lane,repair object,True,True,True
337,29,repair_ring,Juno,morning work,wire bench,wire bench,repair object,True,False,True
338,29,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,True,True
339,29,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,True,True
340,29,archive,Toma,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
341,29,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
342,29,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,False,True
343,29,repair_ring,Juno,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
344,29,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
345,29,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,False,True
346,29,archive,Toma,night memory,arrival court,arrival court,recall memory,True,False,True
347,29,signal,Milo,night memory,arrival court,arrival court,recall memory,True,True,True
348,30,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
349,30,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
350,30,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,True,True
351,30,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
352,30,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
353,30,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
354,30,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
355,30,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
356,30,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
357,30,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
358,30,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
359,30,signal,Ren,night memory,arrival court,arrival court,recall memory,True,True,True
