tick_id,day,tick,agent_id,frame_id,body_frame_id,flower_phase,ego_frequency_hz,attachment_tone,ownership_tone,readable_output
ego_cont_priv_ari_1,1,20,ari,priv_ari_1,body_priv_ari_1,seed,2.280909,differentiated,mine,settled-attachment: upright and task-forward; shares workbench distance
ego_cont_priv_milo_7,34,152,milo,priv_milo_7,body_priv_milo_7,pentad,3.580909,relationship-specific,ask_first,relationship-distance: one shoulder toward exit; keeps edge of group
ego_cont_priv_milo_8,55,158,milo,priv_milo_8,body_priv_milo_8,hexad,4.3,relationship-specific,not_mine,consolidated-self-respect: upright but not performative; allows approach after acknowledgement
ego_cont_priv_sera_1,1,164,sera,priv_sera_1,body_priv_sera_1,flower,2.700909,differentiated,mine,settled-attachment: upright and task-forward; shares workbench distance
ego_cont_priv_sera_2,3,170,sera,priv_sera_2,body_priv_sera_2,fruit,2.832727,relationship-specific,remembered-boundary,repairing-boundary: torso angled open but object-side hand remains close; allows one tile closer than after wound
ego_cont_priv_sera_3,5,176,sera,priv_sera_3,body_priv_sera_3,return,2.964545,relationship-specific,ask_first,ownership-caution: small brace through shoulders; asks from two body-lengths
ego_cont_priv_sera_4,8,182,sera,priv_sera_4,body_priv_sera_4,seed,2.497273,relationship-specific,remembered-boundary,repairing-boundary: torso angled open but object-side hand remains close; allows one tile closer than after wound
ego_cont_priv_sera_5,13,188,sera,priv_sera_5,body_priv_sera_5,vesica,2.721818,relationship-specific,shared,relationship-distance: one shoulder toward exit; keeps edge of group
ego_cont_priv_sera_6,21,194,sera,priv_sera_6,body_priv_sera_6,triad,3.039091,relationship-specific,accepted_mine,repairing-boundary: torso angled open but object-side hand remains close; allows one tile closer than after wound
ego_cont_priv_sera_7,34,200,sera,priv_sera_7,body_priv_sera_7,square,3.510909,relationship-specific,ask_first,relationship-distance: one shoulder toward exit; keeps edge of group
ego_cont_priv_sera_8,55,206,sera,priv_sera_8,body_priv_sera_8,pentad,4.23,relationship-specific,not_mine,consolidated-self-respect: upright but not performative; allows approach after acknowledgement
ego_cont_priv_niko_1,1,212,niko,priv_niko_1,body_priv_niko_1,hexad,2.630909,differentiated,mine,settled-attachment: upright and task-forward; shares workbench distance
ego_cont_priv_niko_2,3,218,niko,priv_niko_2,body_priv_niko_2,flower,2.762727,relationship-specific,remembered-boundary,repairing-boundary: torso angled open but object-side hand remains close; allows one tile closer than after wound
ego_cont_priv_niko_3,5,224,niko,priv_niko_3,body_priv_niko_3,fruit,2.894545,relationship-specific,ask_first,ownership-caution: small brace through shoulders; asks from two body-lengths
ego_cont_priv_niko_4,8,230,niko,priv_niko_4,body_priv_niko_4,return,3.057273,relationship-specific,remembered-boundary,repairing-boundary: torso angled open but object-side hand remains close; allows one tile closer than after wound
ego_cont_priv_niko_5,13,236,niko,priv_niko_5,body_priv_niko_5,seed,2.651818,relationship-specific,shared,relationship-distance: one shoulder toward exit; keeps edge of group
ego_cont_priv_niko_6,21,242,niko,priv_niko_6,body_priv_niko_6,vesica,2.969091,relationship-specific,accepted_mine,repairing-boundary: torso angled open but object-side hand remains close; allows one tile closer than after wound
ego_cont_priv_niko_7,34,248,niko,priv_niko_7,body_priv_niko_7,triad,3.440909,relationship-specific,ask_first,relationship-distance: one shoulder toward exit; keeps edge of group
ego_cont_priv_niko_8,55,254,niko,priv_niko_8,body_priv_niko_8,square,4.16,relationship-specific,not_mine,consolidated-self-respect: upright but not performative; allows approach after acknowledgement
