tick_index,agent,primary_body_driver,predicted_affect_pressure,observed_affect_pressure,lagged_prediction_error,body_to_affect_coupling,recovery_affordance,action_tendency,suppressed_bad_loop
46,Milo,attachment,0.228316,0.313593,0.085277,0.814615,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
47,Sol,cold_wet,0.202291,0.278589,0.076298,0.834134,seek_dry_warm_route,seek_warmth,do_not_intensify_distress_for_spectacle
48,Ari,movement,0.19311,0.273606,0.080496,0.825009,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
49,Fay,overload,0.266498,0.343368,0.07687,0.832891,lower_sound_and_distance,continue_with_regulation,do_not_intensify_distress_for_spectacle
50,Milo,attachment,0.298215,0.37726,0.079045,0.828164,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
51,Sol,attachment,0.212169,0.295537,0.083369,0.818764,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
52,Ari,pain,0.243719,0.322529,0.078811,0.828672,ask_for_help_or_reduce_load,continue_with_regulation,do_not_intensify_distress_for_spectacle
53,Fay,attachment,0.244971,0.273503,0.028532,0.937974,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
54,Milo,attachment,0.254109,0.292188,0.038079,0.91722,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
55,Sol,autonomy,0.205787,0.22924,0.023453,0.949014,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
56,Ari,autonomy,0.264586,0.354389,0.089803,0.804777,bounded_refusal_or_delay,continue_with_regulation,do_not_intensify_distress_for_spectacle
57,Fay,attachment,0.216721,0.289127,0.072405,0.842597,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
58,Milo,attachment,0.208479,0.231708,0.02323,0.949501,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
59,Sol,overload,0.192973,0.207932,0.014959,0.96748,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
60,Ari,autonomy,0.257804,0.28967,0.031866,0.930727,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
61,Milo,attachment,0.186767,0.269523,0.082757,0.820094,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
62,Sol,cold_wet,0.20206,0.276747,0.074687,0.837637,seek_dry_warm_route,seek_warmth,do_not_intensify_distress_for_spectacle
63,Ari,movement,0.244646,0.326247,0.081601,0.822607,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
64,Fay,overload,0.259502,0.336582,0.077079,0.832436,lower_sound_and_distance,continue_with_regulation,do_not_intensify_distress_for_spectacle
65,Milo,attachment,0.25832,0.335955,0.077635,0.831229,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
66,Sol,attachment,0.214133,0.295907,0.081774,0.82223,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
67,Ari,pain,0.276183,0.355384,0.079201,0.827824,ask_for_help_or_reduce_load,continue_with_regulation,do_not_intensify_distress_for_spectacle
68,Fay,attachment,0.241743,0.26966,0.027917,0.939311,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
69,Milo,attachment,0.226376,0.26515,0.038774,0.915708,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
70,Sol,autonomy,0.207941,0.229318,0.021377,0.953529,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
71,Ari,autonomy,0.284913,0.374658,0.089745,0.804902,bounded_refusal_or_delay,continue_with_regulation,do_not_intensify_distress_for_spectacle
72,Fay,attachment,0.216458,0.287885,0.071428,0.844722,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
73,Milo,attachment,0.191277,0.215768,0.024491,0.946759,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
74,Sol,overload,0.195955,0.208938,0.012983,0.971775,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
75,Ari,autonomy,0.272149,0.303745,0.031595,0.931315,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
76,Fay,attachment,0.229805,0.313648,0.083843,0.817733,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
77,Milo,movement,0.197012,0.273949,0.076937,0.832746,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
78,Sol,movement,0.198578,0.278357,0.07978,0.826566,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
79,Ari,overload,0.275025,0.348808,0.073783,0.839602,lower_sound_and_distance,continue_with_regulation,do_not_intensify_distress_for_spectacle
80,Fay,attachment,0.300934,0.378672,0.077738,0.831004,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
81,Milo,attachment,0.213326,0.294535,0.081209,0.823458,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
82,Sol,pain,0.253235,0.330874,0.077639,0.831219,ask_for_help_or_reduce_load,continue_with_regulation,do_not_intensify_distress_for_spectacle
83,Ari,attachment,0.252735,0.278288,0.025553,0.94445,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
84,Fay,attachment,0.257847,0.294712,0.036865,0.91986,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
85,Milo,autonomy,0.207943,0.229132,0.021188,0.953939,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
86,Sol,autonomy,0.270878,0.359826,0.088948,0.806635,bounded_refusal_or_delay,continue_with_regulation,do_not_intensify_distress_for_spectacle
87,Ari,attachment,0.223845,0.292875,0.06903,0.849935,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
88,Fay,attachment,0.214574,0.237082,0.022508,0.951069,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
89,Milo,overload,0.196666,0.208643,0.011977,0.973962,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
90,Sol,autonomy,0.262651,0.293373,0.030722,0.933212,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
91,Fay,attachment,0.19376,0.274469,0.080708,0.824547,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
92,Milo,movement,0.19402,0.269484,0.075463,0.835949,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
93,Sol,movement,0.250268,0.330577,0.080308,0.825417,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
94,Ari,overload,0.267489,0.340901,0.073413,0.840408,lower_sound_and_distance,continue_with_regulation,do_not_intensify_distress_for_spectacle
95,Fay,attachment,0.269827,0.34476,0.074933,0.837101,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
96,Milo,attachment,0.211918,0.291485,0.079567,0.827028,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
97,Sol,pain,0.285848,0.363627,0.077779,0.830915,ask_for_help_or_reduce_load,continue_with_regulation,do_not_intensify_distress_for_spectacle
98,Ari,attachment,0.251962,0.276333,0.024371,0.947018,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
99,Fay,attachment,0.238048,0.273422,0.035374,0.923101,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
100,Milo,autonomy,0.208658,0.22801,0.019352,0.957929,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
101,Sol,autonomy,0.295055,0.383697,0.088642,0.807301,bounded_refusal_or_delay,continue_with_regulation,do_not_intensify_distress_for_spectacle
102,Ari,attachment,0.225688,0.294274,0.068586,0.8509,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
103,Fay,attachment,0.204427,0.225501,0.021074,0.954187,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
104,Milo,overload,0.195793,0.207196,0.011403,0.975211,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
105,Sol,autonomy,0.280595,0.311469,0.030875,0.932881,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
106,Ari,attachment,0.239138,0.319833,0.080695,0.824577,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
107,Fay,cold_wet,0.21038,0.283712,0.073332,0.840582,seek_dry_warm_route,seek_warmth,do_not_intensify_distress_for_spectacle
108,Milo,movement,0.196808,0.274408,0.0776,0.831305,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
109,Sol,overload,0.27807,0.351727,0.073656,0.839877,lower_sound_and_distance,continue_with_regulation,do_not_intensify_distress_for_spectacle
110,Ari,attachment,0.305363,0.380635,0.075273,0.836364,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
111,Fay,attachment,0.22357,0.301777,0.078206,0.829986,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
112,Milo,attachment,0.240925,0.317442,0.076517,0.833658,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
113,Sol,attachment,0.256379,0.280882,0.024503,0.946733,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
114,Ari,attachment,0.263463,0.296906,0.033443,0.927298,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
115,Fay,autonomy,0.216846,0.234901,0.018054,0.960751,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
116,Milo,autonomy,0.265633,0.352264,0.08663,0.811674,bounded_refusal_or_delay,approach_novel_pattern,do_not_intensify_distress_for_spectacle
117,Sol,attachment,0.227458,0.295554,0.068096,0.851965,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
118,Ari,attachment,0.232075,0.24849,0.016415,0.964316,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
119,Fay,overload,0.216621,0.223241,0.00662,0.985609,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
120,Milo,autonomy,0.260429,0.288849,0.02842,0.938217,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
