tick,day,scene_id,agent,base_layer,gesture_layer,object_layer,shadow_layer,depth_sort_key,layer_stack_valid,layer_matches_animation,visible_body_layer_score
42,4,v20-scene-d04,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.242455,1,1,1.0
43,4,v20-scene-d04,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.162952,0,1,0.75
44,4,v20-scene-d04,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,4.853072,1,1,1.0
45,4,v20-scene-d04,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.602996,1,1,1.0
46,4,v20-scene-d04,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.719342,1,1,1.0
47,4,v20-scene-d04,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.9286,1,1,1.0
48,4,v20-scene-d04,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.687371,1,1,1.0
49,4,v20-scene-d04,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.507834,1,1,1.0
50,4,v20-scene-d04,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.102988,1,1,1.0
51,4,v20-scene-d04,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.698732,1,1,1.0
52,4,v20-scene-d04,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.300996,1,1,1.0
53,4,v20-scene-d04,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,4.040941,1,1,1.0
54,4,v20-scene-d04,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,3.766145,1,1,1.0
55,4,v20-scene-d04,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.048311,1,0,0.68
56,5,v20-scene-d05,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.137937,1,0,0.68
57,5,v20-scene-d05,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.352252,1,0,0.68
58,5,v20-scene-d05,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.03933,1,0,0.68
59,5,v20-scene-d05,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.087128,1,0,0.68
60,5,v20-scene-d05,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.867684,1,1,1.0
61,5,v20-scene-d05,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.533399,1,1,1.0
62,5,v20-scene-d05,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.86309,1,1,1.0
63,5,v20-scene-d05,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.69557,1,1,1.0
64,5,v20-scene-d05,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.46555,1,1,1.0
65,5,v20-scene-d05,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.074703,1,1,1.0
66,5,v20-scene-d05,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.664014,1,1,1.0
67,5,v20-scene-d05,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,4.2563,1,1,1.0
68,5,v20-scene-d05,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,3.988591,1,1,1.0
69,5,v20-scene-d05,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,3.78574,1,1,1.0
70,6,v20-scene-d06,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,3.770147,1,1,1.0
71,6,v20-scene-d06,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.435969,1,1,1.0
72,6,v20-scene-d06,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,4.119149,1,1,1.0
73,6,v20-scene-d06,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.935654,1,1,1.0
74,6,v20-scene-d06,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.199706,1,0,0.75
75,6,v20-scene-d06,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.763725,1,1,1.0
76,6,v20-scene-d06,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.692178,1,1,1.0
77,6,v20-scene-d06,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.97345,1,1,1.0
78,6,v20-scene-d06,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.597009,1,0,0.75
79,6,v20-scene-d06,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.423845,1,1,1.0
80,6,v20-scene-d06,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.039776,1,1,1.0
81,6,v20-scene-d06,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,4.625905,1,1,1.0
82,6,v20-scene-d06,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.230988,1,1,1.0
83,6,v20-scene-d06,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.052126,1,1,1.0
84,7,v20-scene-d07,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,3.831362,1,1,1.0
85,7,v20-scene-d07,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,3.837247,1,1,0.93
86,7,v20-scene-d07,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,4.319805,0,0,0.43
87,7,v20-scene-d07,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.343628,1,0,0.68
88,7,v20-scene-d07,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.272939,1,1,0.93
89,7,v20-scene-d07,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,4.961718,1,1,0.93
90,7,v20-scene-d07,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.674243,1,1,1.0
91,7,v20-scene-d07,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.757436,1,1,1.0
92,7,v20-scene-d07,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.905694,1,1,1.0
93,7,v20-scene-d07,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.639935,1,1,1.0
94,7,v20-scene-d07,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.40724,1,1,1.0
95,7,v20-scene-d07,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,4.999992,1,1,1.0
96,7,v20-scene-d07,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.588472,1,1,1.0
97,7,v20-scene-d07,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.204658,1,1,1.0
98,8,v20-scene-d08,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,3.813494,1,1,1.0
99,8,v20-scene-d08,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.008872,1,1,1.0
100,8,v20-scene-d08,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,3.662155,1,1,1.0
101,8,v20-scene-d08,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.222771,1,1,1.0
102,8,v20-scene-d08,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.456919,1,1,1.0
103,8,v20-scene-d08,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.150255,1,1,1.0
104,8,v20-scene-d08,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.190726,1,1,1.0
105,8,v20-scene-d08,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.921498,1,1,1.0
106,8,v20-scene-d08,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.582203,1,1,1.0
107,8,v20-scene-d08,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.843854,1,1,1.0
108,8,v20-scene-d08,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.640438,1,1,1.0
109,8,v20-scene-d08,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.367234,1,1,1.0
110,8,v20-scene-d08,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.966464,1,1,1.0
111,8,v20-scene-d08,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.559911,1,0,0.75
112,9,v20-scene-d09,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.06638,1,1,1.0
113,9,v20-scene-d09,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,3.823489,1,1,1.0
114,9,v20-scene-d09,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,3.919393,1,1,1.0
115,9,v20-scene-d09,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,3.810873,1,0,0.68
116,9,v20-scene-d09,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.533077,1,0,0.68
117,9,v20-scene-d09,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,4.218985,1,0,0.68
118,9,v20-scene-d09,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.047159,1,0,0.68
119,9,v20-scene-d09,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.299614,1,1,0.93
120,9,v20-scene-d09,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.82176,1,1,1.0
121,9,v20-scene-d09,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.726687,1,1,1.0
122,9,v20-scene-d09,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.933944,1,1,1.0
123,9,v20-scene-d09,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.552282,1,1,1.0
124,9,v20-scene-d09,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.327404,1,1,1.0
125,9,v20-scene-d09,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.929476,1,1,1.0
126,10,v20-scene-d10,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.34945,1,1,1.0
127,10,v20-scene-d10,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.108743,1,1,1.0
128,10,v20-scene-d10,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,3.725065,1,1,1.0
129,10,v20-scene-d10,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,3.843376,0,1,0.75
130,10,v20-scene-d10,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,3.885909,1,1,1.0
131,10,v20-scene-d10,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,4.414362,1,1,1.0
132,10,v20-scene-d10,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.449631,1,1,1.0
133,10,v20-scene-d10,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.3796,1,1,1.0
134,10,v20-scene-d10,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.066443,1,1,1.0
135,10,v20-scene-d10,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.735447,1,1,1.0
136,10,v20-scene-d10,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.783618,1,1,1.0
137,10,v20-scene-d10,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.870776,1,1,1.0
138,10,v20-scene-d10,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.581534,1,1,1.0
139,10,v20-scene-d10,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.301684,1,1,1.0
140,11,v20-scene-d11,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.718037,1,1,1.0
141,11,v20-scene-d11,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.318293,1,1,1.0
142,11,v20-scene-d11,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,4.050989,1,1,1.0
143,11,v20-scene-d11,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,3.772119,1,1,1.0
144,11,v20-scene-d11,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.041471,1,0,0.68
145,11,v20-scene-d11,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,3.700099,1,1,1.0
146,11,v20-scene-d11,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.315249,1,0,0.68
147,11,v20-scene-d11,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.565523,1,0,0.68
148,11,v20-scene-d11,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.258374,1,0,0.75
149,11,v20-scene-d11,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.288832,1,1,0.93
150,11,v20-scene-d11,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.964084,1,1,1.0
151,11,v20-scene-d11,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.619526,1,1,1.0
152,11,v20-scene-d11,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.812508,1,0,0.75
153,11,v20-scene-d11,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.574821,1,1,1.0
154,12,v20-scene-d12,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.093055,1,1,1.0
155,12,v20-scene-d12,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.68248,1,1,1.0
156,12,v20-scene-d12,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,4.274431,1,1,1.0
157,12,v20-scene-d12,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,3.999187,1,1,1.0
158,12,v20-scene-d12,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,3.790273,1,1,1.0
159,12,v20-scene-d12,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,3.947309,1,1,1.0
160,12,v20-scene-d12,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,3.86292,1,1,1.0
161,12,v20-scene-d12,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.635875,1,1,1.0
162,12,v20-scene-d12,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,4.32395,1,1,1.0
163,12,v20-scene-d12,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.156262,1,1,1.0
164,12,v20-scene-d12,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.393191,1,1,1.0
165,12,v20-scene-d12,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.868806,1,1,1.0
166,12,v20-scene-d12,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.749173,1,1,1.0
167,12,v20-scene-d12,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.883057,1,1,1.0
168,13,v20-scene-d13,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.439856,1,1,1.0
169,13,v20-scene-d13,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.058579,1,1,1.0
170,13,v20-scene-d13,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,4.644624,1,1,1.0
171,13,v20-scene-d13,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.247973,1,1,1.0
172,13,v20-scene-d13,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.059499,0,1,0.75
173,13,v20-scene-d13,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,3.680943,1,1,1.0
174,13,v20-scene-d13,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,3.867657,1,1,0.93
175,13,v20-scene-d13,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,3.945465,1,0,0.68
176,13,v20-scene-d13,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,4.515081,1,0,0.68
177,13,v20-scene-d13,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.559173,1,0,0.68
178,13,v20-scene-d13,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.481636,1,1,1.0
179,13,v20-scene-d13,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.165972,1,1,0.93
180,13,v20-scene-d13,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.785861,1,1,1.0
181,13,v20-scene-d13,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.797571,1,1,1.0
182,14,v20-scene-d14,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.648947,1,1,1.0
183,14,v20-scene-d14,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.425038,1,1,1.0
184,14,v20-scene-d14,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.018165,1,1,1.0
185,14,v20-scene-d14,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.607361,1,0,0.75
186,14,v20-scene-d14,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.220859,1,1,1.0
187,14,v20-scene-d14,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,3.99742,1,1,1.0
188,14,v20-scene-d14,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,3.742539,1,1,1.0
189,14,v20-scene-d14,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.085749,1,0,0.75
190,14,v20-scene-d14,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,3.749496,1,1,1.0
191,14,v20-scene-d14,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.414242,1,1,1.0
192,14,v20-scene-d14,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.67674,1,1,1.0
193,14,v20-scene-d14,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.36237,1,1,1.0
