seed,recovery_id,pulse_id,actor,event,harm_type,repair_action,resource_cost,trust_delta,progress_delta,debt_delta,relationship_note,need_before,need_after,schedule_coupling,status,resources_before,resources_after,schedule_repair,outcome
36263,36263-SR-05,36263-SP-05,Milo,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,recovering,Milo stochastically delayed 36263-AIS-03 while carry water competed with roof_leak,resolved,"{""care"": 2, ""fiber"": 1, ""water"": 3, ""wood"": 3}","{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 2}",schedule consequence acknowledged,Milo used patch leak and rest near dry place after roof_leak
36263,36263-SR-06,36263-SP-06,Ari,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,stabilized,Ari stochastically delayed 36263-AIS-04 while dry cloaks competed with roof_leak,stabilized without materials,"{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 2}","{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 2}",schedule consequence acknowledged,Ari lacked materials and stabilized through rest and attention
36263,36263-SR-07,36263-SP-07,Sera,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,,stabilized without materials,"{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 2}","{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 2}",,Sera lacked materials and stabilized through rest and attention
36263,36263-SR-08,36263-SP-08,Sera,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,,resolved,"{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 2}","{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 2}",,Sera used acknowledge help and share credit after neighbor_help
36281,36281-SR-01,36281-SP-01,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,recovering,Fay stochastically delayed 36281-AIS-01 while repair awning competed with tool_snag,resolved,"{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 3, ""water"": 6, ""wood"": 6}",schedule consequence acknowledged,Fay used re-tie tool lashing and return focus after tool_snag
36281,36281-SR-02,36281-SP-02,Tovan,found_material,opportunity allocation,share found material with pending work,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.005,0.016,-1,benefit distributed instead of hoarded,explore,recovering,Tovan made 36281-AIS-05 easier to attempt after found_material,resolved,"{""care"": 4, ""fiber"": 3, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 3, ""water"": 6, ""wood"": 6}",schedule consequence acknowledged,Tovan used share found material with pending work after found_material
36281,36281-SR-03,36281-SP-03,Fay,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,Fay made 36281-AIS-02 easier to attempt after neighbor_help,resolved,"{""care"": 4, ""fiber"": 3, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 3, ""water"": 6, ""wood"": 6}",schedule consequence acknowledged,Fay used acknowledge help and share credit after neighbor_help
36281,36281-SR-04,36281-SP-04,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,Milo made 36281-AIS-03 easier to attempt after neighbor_help,resolved,"{""care"": 4, ""fiber"": 3, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 3, ""water"": 6, ""wood"": 6}",schedule consequence acknowledged,Milo used acknowledge help and share credit after neighbor_help
36281,36281-SR-05,36281-SP-05,Fay,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,recovering,Fay stochastically delayed 36281-AIS-02 while sort herbs competed with roof_leak,resolved,"{""care"": 4, ""fiber"": 3, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 2, ""water"": 6, ""wood"": 5}",schedule consequence acknowledged,Fay used patch leak and rest near dry place after roof_leak
36281,36281-SR-06,36281-SP-06,Tovan,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,recovering,Tovan stochastically delayed 36281-AIS-03 while carry water competed with tool_snag,resolved,"{""care"": 4, ""fiber"": 2, ""water"": 6, ""wood"": 5}","{""care"": 4, ""fiber"": 1, ""water"": 6, ""wood"": 5}",schedule consequence acknowledged,Tovan used re-tie tool lashing and return focus after tool_snag
36281,36281-SR-07,36281-SP-07,Sera,quiet_recovery,fatigue recovery,protect quiet rest and resume slowly,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.004,0.01,-1,rest respected as recovery,finish-work,recovering,,resolved,"{""care"": 4, ""fiber"": 1, ""water"": 6, ""wood"": 5}","{""care"": 4, ""fiber"": 1, ""water"": 6, ""wood"": 5}",,Sera used protect quiet rest and resume slowly after quiet_recovery
36281,36281-SR-08,36281-SP-08,Tovan,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,social-safety,Tovan stochastically disputed 36281-AIS-05 while map safe route competed with argument_echo,resolved,"{""care"": 4, ""fiber"": 1, ""water"": 6, ""wood"": 5}","{""care"": 3, ""fiber"": 1, ""water"": 6, ""wood"": 5}",schedule consequence acknowledged,Tovan used mediate disagreement and name source boundary after argument_echo
36307,36307-SR-01,36307-SP-01,Fay,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,recovering,Fay stochastically delayed 36307-AIS-02 while sort herbs competed with roof_leak,resolved,"{""care"": 2, ""fiber"": 1, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 4}",schedule consequence acknowledged,Fay used patch leak and rest near dry place after roof_leak
36307,36307-SR-02,36307-SP-02,Sera,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,stabilized,Sera stochastically delayed 36307-AIS-04 while dry cloaks competed with roof_leak,stabilized without materials,"{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 4}","{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 4}",schedule consequence acknowledged,Sera lacked materials and stabilized through rest and attention
36307,36307-SR-03,36307-SP-03,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,,stabilized without materials,"{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 4}","{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 4}",,Fay lacked materials and stabilized through rest and attention
36307,36307-SR-04,36307-SP-04,Milo,quiet_recovery,fatigue recovery,protect quiet rest and resume slowly,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.004,0.01,-1,rest respected as recovery,finish-work,recovering,,resolved,"{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 4}","{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 4}",,Milo used protect quiet rest and resume slowly after quiet_recovery
36307,36307-SR-05,36307-SP-05,Sera,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,social-safety,Sera stochastically disputed 36307-AIS-01 while repair awning competed with argument_echo,resolved,"{""care"": 2, ""fiber"": 0, ""water"": 3, ""wood"": 4}","{""care"": 1, ""fiber"": 0, ""water"": 3, ""wood"": 4}",schedule consequence acknowledged,Sera used mediate disagreement and name source boundary after argument_echo
36307,36307-SR-06,36307-SP-06,Tovan,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,Tovan stochastically delayed 36307-AIS-03 while carry water competed with tool_snag,stabilized without materials,"{""care"": 1, ""fiber"": 0, ""water"": 3, ""wood"": 4}","{""care"": 1, ""fiber"": 0, ""water"": 3, ""wood"": 4}",schedule consequence acknowledged,Tovan lacked materials and stabilized through rest and attention
36307,36307-SR-07,36307-SP-07,Milo,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,social-safety,Milo stochastically disputed 36307-AIS-05 while map safe route competed with argument_echo,resolved,"{""care"": 1, ""fiber"": 0, ""water"": 3, ""wood"": 4}","{""care"": 0, ""fiber"": 0, ""water"": 3, ""wood"": 4}",schedule consequence acknowledged,Milo used mediate disagreement and name source boundary after argument_echo
36307,36307-SR-08,36307-SP-08,Tovan,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,,stabilized without materials,"{""care"": 0, ""fiber"": 0, ""water"": 3, ""wood"": 4}","{""care"": 0, ""fiber"": 0, ""water"": 3, ""wood"": 4}",,Tovan lacked materials and stabilized through rest and attention
