tick_id,day,session_id,settlement_id,resident_id,site_id,sprite_x_before,sprite_y_before,sprite_x_after,sprite_y_after,animation_frame_index,easing_label,path_progress_before,path_progress_after,body_pose,sensory_overlay,animated_path_visible
0,1,canvas-session-001,lichen_bridge,Luma,meal_room,106,104,118,116,0,cautious-step,0.377419,0.416129,reaching,bowl clink; lichen soup; warm steam,True
29,2,canvas-session-001,lichen_bridge,Luma,meal_room,118,116,130,128,5,ease-in-out,0.416129,0.454839,walking,bowl clink; lichen soup; warm steam,True
30,2,canvas-session-001,orchid_engine,Dax,engine_ring,156,128,156,128,6,cautious-step,1.0,1.0,reaching,valve pulse; warm iron; hot dry,True
31,2,canvas-session-001,moss_ward,Tala,blanket_room,202,160,214,160,7,ease-in-out,0.925806,0.945161,walking,loom creak; warm wool; warm dry,True
32,2,canvas-session-001,glass_harbor,Nia,fog_rail,76,84,88,96,8,ease-in-out,0.364516,0.403226,walking,fog bell; cold fog; chilled wet,True
33,2,canvas-session-001,cinder_garden,Pax,seed_shelf,96,116,96,128,9,cautious-step,0.832258,0.851613,walking,seed rattle; seed oil; warm dry,True
34,2,canvas-session-001,lichen_bridge,Rin,signal_post,160,148,172,160,10,ease-in-out,0.483871,0.522581,reaching,bell hum; bell tin; cool mist,True
35,2,canvas-session-001,orchid_engine,Eli,orchid_bay,202,164,214,164,11,ease-in-out,0.596774,0.616129,walking,steam sigh; orchid oil; humid warm,True
36,3,canvas-session-001,glass_harbor,Sera,net_room,178,180,190,192,0,cautious-step,0.783871,0.822581,reaching,net rasp; salt fiber; mild damp,True
37,3,canvas-session-001,cinder_garden,Juno,shade_tent,76,84,88,96,1,ease-in-out,0.219355,0.258065,walking,cloth flap; dry shade; soft warm,True
38,3,canvas-session-001,lichen_bridge,Luma,rope_bridge,130,128,118,140,2,ease-in-out,0.654839,0.693548,walking,rope strain; damp rope; wet breeze,True
39,3,canvas-session-001,orchid_engine,Dax,gear_wash,156,128,168,140,3,cautious-step,0.470968,0.509677,walking,gear brush; gear oil; warm damp,True
40,3,canvas-session-001,moss_ward,Tala,root_alcove,214,160,226,148,4,ease-in-out,0.622581,0.66129,reaching,root drip; root ink; cool still,True
41,3,canvas-session-001,glass_harbor,Nia,lamp_pier,88,96,100,108,5,ease-in-out,0.567742,0.606452,walking,lamp hiss; lamp oil; salt cold,True
42,3,canvas-session-001,cinder_garden,Pax,ash_path,96,128,108,140,6,cautious-step,0.425806,0.464516,walking,ash crunch; cool ash; hot edge,True
43,3,canvas-session-001,lichen_bridge,Rin,meal_room,172,160,184,172,7,ease-in-out,0.574194,0.612903,walking,bowl clink; lichen soup; warm steam,True
44,3,canvas-session-001,orchid_engine,Eli,engine_ring,214,164,202,152,8,ease-in-out,0.848387,0.887097,reaching,valve pulse; warm iron; hot dry,True
45,3,canvas-session-001,moss_ward,Ari,blanket_room,76,84,88,96,9,cautious-step,0.6,0.63871,walking,loom creak; warm wool; warm dry,True
46,3,canvas-session-001,glass_harbor,Oren,fog_rail,118,116,130,118,10,ease-in-out,0.483871,0.506452,walking,fog bell; cold fog; chilled wet,True
47,3,canvas-session-001,cinder_garden,Vale,seed_shelf,148,160,136,172,11,ease-in-out,0.819355,0.858065,walking,seed rattle; seed oil; warm dry,True
48,3,canvas-session-001,lichen_bridge,Sol,signal_post,190,192,202,204,0,cautious-step,0.603226,0.641935,reaching,bell hum; bell tin; cool mist,True
49,3,canvas-session-001,orchid_engine,Bea,orchid_bay,88,96,100,108,1,ease-in-out,0.303226,0.341935,walking,steam sigh; orchid oil; humid warm,True
50,3,canvas-session-001,moss_ward,Fay,rain_gate,106,108,94,120,2,ease-in-out,0.648387,0.687097,walking,rain taps; wet moss; cold damp,True
51,3,canvas-session-001,glass_harbor,Puck,net_room,148,160,160,172,3,cautious-step,0.703226,0.741935,walking,net rasp; salt fiber; mild damp,True
52,3,canvas-session-001,cinder_garden,Wren,shade_tent,214,192,226,204,4,ease-in-out,0.616129,0.654839,reaching,cloth flap; dry shade; soft warm,True
53,3,canvas-session-001,lichen_bridge,Kio,rope_bridge,80,96,80,108,5,ease-in-out,0.683871,0.703226,walking,rope strain; damp rope; wet breeze,True
54,4,canvas-session-001,moss_ward,Ari,root_alcove,88,96,100,96,6,cautious-step,0.522581,0.541935,reaching,root drip; root ink; cool still,True
55,4,canvas-session-001,glass_harbor,Oren,lamp_pier,130,118,118,130,7,ease-in-out,0.612903,0.651613,walking,lamp hiss; lamp oil; salt cold,True
56,4,canvas-session-001,cinder_garden,Vale,ash_path,136,172,148,184,8,ease-in-out,0.56129,0.6,walking,ash crunch; cool ash; hot edge,True
57,4,canvas-session-001,lichen_bridge,Sol,meal_room,202,204,214,204,9,cautious-step,0.693548,0.712903,walking,bowl clink; lichen soup; warm steam,True
58,4,canvas-session-001,orchid_engine,Bea,engine_ring,100,108,112,120,10,ease-in-out,0.877419,0.916129,reaching,valve pulse; warm iron; hot dry,True
59,4,canvas-session-001,moss_ward,Fay,blanket_room,94,120,106,132,11,ease-in-out,0.687097,0.725806,walking,loom creak; warm wool; warm dry,True
60,4,canvas-session-001,glass_harbor,Puck,fog_rail,160,172,172,160,0,cautious-step,0.467742,0.506452,walking,fog bell; cold fog; chilled wet,True
61,4,canvas-session-001,cinder_garden,Wren,seed_shelf,226,204,214,216,1,ease-in-out,0.764516,0.803226,walking,seed rattle; seed oil; warm dry,True
62,4,canvas-session-001,lichen_bridge,Kio,signal_post,80,108,92,120,2,ease-in-out,0.290323,0.329032,reaching,bell hum; bell tin; cool mist,True
63,4,canvas-session-001,orchid_engine,Cai,orchid_bay,130,128,142,140,3,cautious-step,0.422581,0.46129,walking,steam sigh; orchid oil; humid warm,True
64,4,canvas-session-001,moss_ward,Milo,rain_gate,172,136,160,148,4,ease-in-out,0.587097,0.625806,walking,rain taps; wet moss; cold damp,True
65,4,canvas-session-001,glass_harbor,Sera,net_room,190,192,202,200,5,ease-in-out,0.822581,0.854839,walking,net rasp; salt fiber; mild damp,True
66,4,canvas-session-001,cinder_garden,Juno,shade_tent,88,96,100,108,6,cautious-step,0.258065,0.296774,reaching,cloth flap; dry shade; soft warm,True
67,4,canvas-session-001,lichen_bridge,Luma,rope_bridge,118,140,106,152,7,ease-in-out,0.693548,0.732258,walking,rope strain; damp rope; wet breeze,True
68,4,canvas-session-001,orchid_engine,Dax,gear_wash,168,140,180,152,8,ease-in-out,0.509677,0.548387,walking,gear brush; gear oil; warm damp,True
69,4,canvas-session-001,moss_ward,Tala,root_alcove,226,148,238,136,9,cautious-step,0.66129,0.7,walking,root drip; root ink; cool still,True
70,4,canvas-session-001,glass_harbor,Nia,lamp_pier,100,108,112,120,10,ease-in-out,0.606452,0.645161,reaching,lamp hiss; lamp oil; salt cold,True
71,4,canvas-session-001,cinder_garden,Pax,ash_path,108,140,120,152,11,ease-in-out,0.464516,0.503226,walking,ash crunch; cool ash; hot edge,True
72,5,canvas-session-001,orchid_engine,Cai,engine_ring,142,140,154,128,0,cautious-step,0.958065,0.996774,reaching,valve pulse; warm iron; hot dry,True
73,5,canvas-session-001,moss_ward,Milo,blanket_room,160,148,172,160,1,ease-in-out,0.83871,0.877419,walking,loom creak; warm wool; warm dry,True
74,5,canvas-session-001,glass_harbor,Sera,fog_rail,202,200,214,188,2,ease-in-out,0.490323,0.529032,walking,fog bell; cold fog; chilled wet,True
75,5,canvas-session-001,cinder_garden,Juno,seed_shelf,100,108,96,120,3,cautious-step,0.812903,0.83871,walking,seed rattle; seed oil; warm dry,True
76,5,canvas-session-001,lichen_bridge,Luma,signal_post,106,152,118,164,4,ease-in-out,0.403226,0.441935,reaching,bell hum; bell tin; cool mist,True
77,5,canvas-session-001,orchid_engine,Dax,orchid_bay,180,152,192,164,5,ease-in-out,0.541935,0.580645,walking,steam sigh; orchid oil; humid warm,True
78,5,canvas-session-001,moss_ward,Tala,rain_gate,238,136,226,148,6,cautious-step,0.480645,0.519355,walking,rain taps; wet moss; cold damp,True
79,5,canvas-session-001,glass_harbor,Nia,net_room,112,120,124,132,7,ease-in-out,0.580645,0.619355,walking,net rasp; salt fiber; mild damp,True
80,5,canvas-session-001,cinder_garden,Pax,shade_tent,120,152,132,164,8,ease-in-out,0.4,0.43871,reaching,cloth flap; dry shade; soft warm,True
81,5,canvas-session-001,lichen_bridge,Rin,rope_bridge,184,172,172,184,9,cautious-step,0.63871,0.677419,walking,rope strain; damp rope; wet breeze,True
82,5,canvas-session-001,orchid_engine,Eli,gear_wash,202,152,214,164,10,ease-in-out,0.583871,0.622581,walking,gear brush; gear oil; warm damp,True
83,5,canvas-session-001,moss_ward,Ari,root_alcove,100,96,112,96,11,ease-in-out,0.541935,0.56129,walking,root drip; root ink; cool still,True
84,5,canvas-session-001,glass_harbor,Oren,lamp_pier,118,130,112,142,0,cautious-step,0.651613,0.680645,reaching,lamp hiss; lamp oil; salt cold,True
85,5,canvas-session-001,cinder_garden,Vale,ash_path,148,184,160,196,1,ease-in-out,0.6,0.63871,walking,ash crunch; cool ash; hot edge,True
86,5,canvas-session-001,lichen_bridge,Sol,meal_room,214,204,226,204,2,ease-in-out,0.712903,0.732258,walking,bowl clink; lichen soup; warm steam,True
87,5,canvas-session-001,orchid_engine,Bea,engine_ring,112,120,124,128,3,cautious-step,0.916129,0.948387,walking,valve pulse; warm iron; hot dry,True
88,5,canvas-session-001,moss_ward,Fay,blanket_room,106,132,118,144,4,ease-in-out,0.725806,0.764516,reaching,loom creak; warm wool; warm dry,True
89,5,canvas-session-001,glass_harbor,Puck,fog_rail,172,160,184,148,5,ease-in-out,0.506452,0.545161,walking,fog bell; cold fog; chilled wet,True
90,6,canvas-session-001,lichen_bridge,Rin,signal_post,172,184,184,196,6,cautious-step,0.56129,0.6,reaching,bell hum; bell tin; cool mist,True
91,6,canvas-session-001,orchid_engine,Eli,orchid_bay,214,164,226,164,7,ease-in-out,0.616129,0.635484,walking,steam sigh; orchid oil; humid warm,True
92,6,canvas-session-001,moss_ward,Ari,rain_gate,112,96,100,108,8,ease-in-out,0.619355,0.658065,walking,rain taps; wet moss; cold damp,True
93,6,canvas-session-001,glass_harbor,Oren,net_room,112,142,124,154,9,cautious-step,0.616129,0.654839,walking,net rasp; salt fiber; mild damp,True
94,6,canvas-session-001,cinder_garden,Vale,shade_tent,160,196,172,208,10,ease-in-out,0.535484,0.574194,reaching,cloth flap; dry shade; soft warm,True
95,6,canvas-session-001,lichen_bridge,Sol,rope_bridge,226,204,214,216,11,ease-in-out,0.622581,0.66129,walking,rope strain; damp rope; wet breeze,True
96,6,canvas-session-001,orchid_engine,Bea,gear_wash,124,128,136,140,0,cautious-step,0.419355,0.458065,walking,gear brush; gear oil; warm damp,True
97,6,canvas-session-001,moss_ward,Fay,root_alcove,118,144,130,132,1,ease-in-out,0.493548,0.532258,walking,root drip; root ink; cool still,True
98,6,canvas-session-001,glass_harbor,Puck,lamp_pier,184,148,172,160,2,ease-in-out,0.574194,0.612903,reaching,lamp hiss; lamp oil; salt cold,True
99,6,canvas-session-001,cinder_garden,Wren,ash_path,214,216,226,228,3,cautious-step,0.758065,0.796774,walking,ash crunch; cool ash; hot edge,True
100,6,canvas-session-001,lichen_bridge,Kio,meal_room,92,120,104,132,4,ease-in-out,0.380645,0.419355,walking,bowl clink; lichen soup; warm steam,True
101,6,canvas-session-001,orchid_engine,Cai,engine_ring,154,128,156,128,5,ease-in-out,0.996774,1.0,walking,valve pulse; warm iron; hot dry,True
102,6,canvas-session-001,moss_ward,Milo,blanket_room,172,160,184,160,6,cautious-step,0.877419,0.896774,reaching,loom creak; warm wool; warm dry,True
103,6,canvas-session-001,glass_harbor,Sera,fog_rail,214,188,226,176,7,ease-in-out,0.529032,0.567742,walking,fog bell; cold fog; chilled wet,True
104,6,canvas-session-001,cinder_garden,Juno,seed_shelf,96,120,96,132,8,ease-in-out,0.83871,0.858065,walking,seed rattle; seed oil; warm dry,True
105,6,canvas-session-001,lichen_bridge,Luma,signal_post,118,164,130,176,9,cautious-step,0.441935,0.480645,walking,bell hum; bell tin; cool mist,True
106,6,canvas-session-001,orchid_engine,Dax,orchid_bay,192,164,204,164,10,ease-in-out,0.580645,0.6,reaching,steam sigh; orchid oil; humid warm,True
107,6,canvas-session-001,moss_ward,Tala,rain_gate,226,148,214,160,11,ease-in-out,0.519355,0.558065,walking,rain taps; wet moss; cold damp,True
108,7,canvas-session-002,cinder_garden,Wren,shade_tent,226,228,238,240,0,cautious-step,0.693548,0.732258,reaching,cloth flap; dry shade; soft warm,True
109,7,canvas-session-002,lichen_bridge,Kio,rope_bridge,104,132,92,144,1,ease-in-out,0.703226,0.741935,walking,rope strain; damp rope; wet breeze,True
110,7,canvas-session-002,orchid_engine,Cai,gear_wash,156,128,168,140,2,ease-in-out,0.470968,0.509677,walking,gear brush; gear oil; warm damp,True
111,7,canvas-session-002,moss_ward,Milo,root_alcove,184,160,196,148,3,cautious-step,0.574194,0.612903,walking,root drip; root ink; cool still,True
112,7,canvas-session-002,glass_harbor,Sera,lamp_pier,226,176,214,188,4,ease-in-out,0.551613,0.590323,reaching,lamp hiss; lamp oil; salt cold,True
113,7,canvas-session-002,cinder_garden,Juno,ash_path,96,132,108,144,5,ease-in-out,0.432258,0.470968,walking,ash crunch; cool ash; hot edge,True
114,7,canvas-session-002,lichen_bridge,Luma,meal_room,130,176,142,188,6,cautious-step,0.532258,0.570968,walking,bowl clink; lichen soup; warm steam,True
115,7,canvas-session-002,orchid_engine,Dax,engine_ring,204,164,192,152,7,ease-in-out,0.864516,0.903226,walking,valve pulse; warm iron; hot dry,True
116,7,canvas-session-002,moss_ward,Tala,blanket_room,214,160,226,160,8,ease-in-out,0.945161,0.964516,reaching,loom creak; warm wool; warm dry,True
117,7,canvas-session-002,glass_harbor,Nia,fog_rail,124,132,136,120,9,cautious-step,0.474194,0.512903,walking,fog bell; cold fog; chilled wet,True
118,7,canvas-session-002,cinder_garden,Pax,seed_shelf,132,164,120,176,10,ease-in-out,0.851613,0.890323,walking,seed rattle; seed oil; warm dry,True
119,7,canvas-session-002,lichen_bridge,Rin,signal_post,184,196,196,208,11,ease-in-out,0.6,0.63871,walking,bell hum; bell tin; cool mist,True
120,7,canvas-session-002,orchid_engine,Eli,orchid_bay,226,164,238,164,0,cautious-step,0.635484,0.654839,reaching,steam sigh; orchid oil; humid warm,True
121,7,canvas-session-002,moss_ward,Ari,rain_gate,100,108,92,120,1,ease-in-out,0.658065,0.690323,walking,rain taps; wet moss; cold damp,True
122,7,canvas-session-002,glass_harbor,Oren,net_room,124,154,136,166,2,ease-in-out,0.654839,0.693548,walking,net rasp; salt fiber; mild damp,True
123,7,canvas-session-002,cinder_garden,Vale,shade_tent,172,208,184,220,3,cautious-step,0.574194,0.612903,walking,cloth flap; dry shade; soft warm,True
124,7,canvas-session-002,lichen_bridge,Sol,rope_bridge,214,216,202,228,4,ease-in-out,0.66129,0.7,reaching,rope strain; damp rope; wet breeze,True
125,7,canvas-session-002,orchid_engine,Bea,gear_wash,136,140,148,152,5,ease-in-out,0.458065,0.496774,walking,gear brush; gear oil; warm damp,True
126,8,canvas-session-002,glass_harbor,Nia,lamp_pier,136,120,124,132,6,cautious-step,0.606452,0.645161,reaching,lamp hiss; lamp oil; salt cold,True
127,8,canvas-session-002,cinder_garden,Pax,ash_path,120,176,132,188,7,ease-in-out,0.541935,0.580645,walking,ash crunch; cool ash; hot edge,True
128,8,canvas-session-002,lichen_bridge,Rin,meal_room,196,208,208,204,8,ease-in-out,0.677419,0.703226,walking,bowl clink; lichen soup; warm steam,True
129,8,canvas-session-002,orchid_engine,Eli,engine_ring,238,164,226,152,9,cautious-step,0.809677,0.848387,walking,valve pulse; warm iron; hot dry,True
130,8,canvas-session-002,moss_ward,Ari,blanket_room,92,120,104,132,10,ease-in-out,0.683871,0.722581,reaching,loom creak; warm wool; warm dry,True
131,8,canvas-session-002,glass_harbor,Oren,fog_rail,136,166,148,154,11,ease-in-out,0.43871,0.477419,walking,fog bell; cold fog; chilled wet,True
132,8,canvas-session-002,cinder_garden,Vale,seed_shelf,184,220,172,220,0,cautious-step,0.858065,0.877419,walking,seed rattle; seed oil; warm dry,True
133,8,canvas-session-002,lichen_bridge,Sol,signal_post,202,228,214,240,1,ease-in-out,0.680645,0.719355,walking,bell hum; bell tin; cool mist,True
134,8,canvas-session-002,orchid_engine,Bea,orchid_bay,148,152,160,164,2,ease-in-out,0.490323,0.529032,reaching,steam sigh; orchid oil; humid warm,True
135,8,canvas-session-002,moss_ward,Fay,rain_gate,130,132,118,144,3,cautious-step,0.648387,0.687097,walking,rain taps; wet moss; cold damp,True
136,8,canvas-session-002,glass_harbor,Puck,net_room,172,160,184,172,4,ease-in-out,0.741935,0.780645,walking,net rasp; salt fiber; mild damp,True
137,8,canvas-session-002,cinder_garden,Wren,shade_tent,238,240,250,240,5,ease-in-out,0.732258,0.751613,walking,cloth flap; dry shade; soft warm,True
138,8,canvas-session-002,lichen_bridge,Kio,rope_bridge,92,144,80,156,6,cautious-step,0.741935,0.780645,reaching,rope strain; damp rope; wet breeze,True
139,8,canvas-session-002,orchid_engine,Cai,gear_wash,168,140,180,152,7,ease-in-out,0.509677,0.548387,walking,gear brush; gear oil; warm damp,True
140,8,canvas-session-002,moss_ward,Milo,root_alcove,196,148,208,136,8,ease-in-out,0.612903,0.651613,walking,root drip; root ink; cool still,True
141,8,canvas-session-002,glass_harbor,Sera,lamp_pier,214,188,202,200,9,cautious-step,0.590323,0.629032,walking,lamp hiss; lamp oil; salt cold,True
142,8,canvas-session-002,cinder_garden,Juno,ash_path,108,144,120,156,10,ease-in-out,0.470968,0.509677,reaching,ash crunch; cool ash; hot edge,True
143,8,canvas-session-002,lichen_bridge,Luma,meal_room,142,188,154,200,11,ease-in-out,0.570968,0.609677,walking,bowl clink; lichen soup; warm steam,True
144,9,canvas-session-002,moss_ward,Fay,blanket_room,118,144,130,156,0,cautious-step,0.764516,0.803226,reaching,loom creak; warm wool; warm dry,True
145,9,canvas-session-002,glass_harbor,Puck,fog_rail,184,172,196,160,1,ease-in-out,0.506452,0.545161,walking,fog bell; cold fog; chilled wet,True
146,9,canvas-session-002,cinder_garden,Wren,seed_shelf,250,240,238,228,2,ease-in-out,0.719355,0.758065,walking,seed rattle; seed oil; warm dry,True
147,9,canvas-session-002,lichen_bridge,Kio,signal_post,80,156,92,168,3,cautious-step,0.367742,0.406452,walking,bell hum; bell tin; cool mist,True
148,9,canvas-session-002,orchid_engine,Cai,orchid_bay,180,152,192,164,4,ease-in-out,0.541935,0.580645,reaching,steam sigh; orchid oil; humid warm,True
149,9,canvas-session-002,moss_ward,Milo,rain_gate,208,136,196,148,5,ease-in-out,0.529032,0.567742,walking,rain taps; wet moss; cold damp,True
150,9,canvas-session-002,glass_harbor,Sera,net_room,202,200,214,200,6,cautious-step,0.854839,0.874194,walking,net rasp; salt fiber; mild damp,True
151,9,canvas-session-002,cinder_garden,Juno,shade_tent,120,156,132,168,7,ease-in-out,0.406452,0.445161,walking,cloth flap; dry shade; soft warm,True
152,9,canvas-session-002,lichen_bridge,Luma,rope_bridge,154,200,142,212,8,ease-in-out,0.732258,0.770968,reaching,rope strain; damp rope; wet breeze,True
153,9,canvas-session-002,orchid_engine,Dax,gear_wash,192,152,204,164,9,cautious-step,0.567742,0.606452,walking,gear brush; gear oil; warm damp,True
154,9,canvas-session-002,moss_ward,Tala,root_alcove,226,160,238,148,10,ease-in-out,0.641935,0.680645,walking,root drip; root ink; cool still,True
155,9,canvas-session-002,glass_harbor,Nia,lamp_pier,124,132,112,144,11,ease-in-out,0.645161,0.683871,walking,lamp hiss; lamp oil; salt cold,True
156,9,canvas-session-002,cinder_garden,Pax,ash_path,132,188,144,200,0,cautious-step,0.580645,0.619355,reaching,ash crunch; cool ash; hot edge,True
157,9,canvas-session-002,lichen_bridge,Rin,meal_room,208,204,220,204,1,ease-in-out,0.703226,0.722581,walking,bowl clink; lichen soup; warm steam,True
158,9,canvas-session-002,orchid_engine,Eli,engine_ring,226,152,214,140,2,ease-in-out,0.848387,0.887097,walking,valve pulse; warm iron; hot dry,True
159,9,canvas-session-002,moss_ward,Ari,blanket_room,104,132,116,144,3,cautious-step,0.722581,0.76129,walking,loom creak; warm wool; warm dry,True
160,9,canvas-session-002,glass_harbor,Oren,fog_rail,148,154,160,142,4,ease-in-out,0.477419,0.516129,reaching,fog bell; cold fog; chilled wet,True
161,9,canvas-session-002,cinder_garden,Vale,seed_shelf,172,220,160,220,5,ease-in-out,0.877419,0.896774,walking,seed rattle; seed oil; warm dry,True
162,10,canvas-session-002,orchid_engine,Dax,orchid_bay,204,164,216,164,6,cautious-step,0.6,0.619355,reaching,steam sigh; orchid oil; humid warm,True
163,10,canvas-session-002,moss_ward,Tala,rain_gate,238,148,226,160,7,ease-in-out,0.5,0.53871,walking,rain taps; wet moss; cold damp,True
164,10,canvas-session-002,glass_harbor,Nia,net_room,112,144,124,156,8,ease-in-out,0.619355,0.658065,walking,net rasp; salt fiber; mild damp,True
165,10,canvas-session-002,cinder_garden,Pax,shade_tent,144,200,156,212,9,cautious-step,0.516129,0.554839,walking,cloth flap; dry shade; soft warm,True
166,10,canvas-session-002,lichen_bridge,Rin,rope_bridge,220,204,208,216,10,ease-in-out,0.632258,0.670968,reaching,rope strain; damp rope; wet breeze,True
167,10,canvas-session-002,orchid_engine,Eli,gear_wash,214,140,226,152,11,ease-in-out,0.583871,0.622581,walking,gear brush; gear oil; warm damp,True
168,10,canvas-session-002,moss_ward,Ari,root_alcove,116,144,128,132,0,cautious-step,0.490323,0.529032,walking,root drip; root ink; cool still,True
169,10,canvas-session-002,glass_harbor,Oren,lamp_pier,160,142,148,154,1,ease-in-out,0.603226,0.641935,walking,lamp hiss; lamp oil; salt cold,True
170,10,canvas-session-002,cinder_garden,Vale,ash_path,160,220,172,232,2,ease-in-out,0.677419,0.716129,reaching,ash crunch; cool ash; hot edge,True
171,10,canvas-session-002,lichen_bridge,Sol,meal_room,214,240,226,228,3,cautious-step,0.654839,0.693548,walking,bowl clink; lichen soup; warm steam,True
172,10,canvas-session-002,orchid_engine,Bea,engine_ring,160,164,156,152,4,ease-in-out,0.935484,0.96129,walking,valve pulse; warm iron; hot dry,True
173,10,canvas-session-002,moss_ward,Fay,blanket_room,130,156,142,160,5,ease-in-out,0.803226,0.829032,walking,loom creak; warm wool; warm dry,True
174,10,canvas-session-002,glass_harbor,Puck,fog_rail,196,160,208,148,6,cautious-step,0.545161,0.583871,reaching,fog bell; cold fog; chilled wet,True
175,10,canvas-session-002,cinder_garden,Wren,seed_shelf,238,228,226,220,7,ease-in-out,0.758065,0.790323,walking,seed rattle; seed oil; warm dry,True
176,10,canvas-session-002,lichen_bridge,Kio,signal_post,92,168,104,180,8,ease-in-out,0.406452,0.445161,walking,bell hum; bell tin; cool mist,True
177,10,canvas-session-002,orchid_engine,Cai,orchid_bay,192,164,204,164,9,cautious-step,0.580645,0.6,walking,steam sigh; orchid oil; humid warm,True
178,10,canvas-session-002,moss_ward,Milo,rain_gate,196,148,184,160,10,ease-in-out,0.567742,0.606452,reaching,rain taps; wet moss; cold damp,True
