day,lineage,agent,rest_debt_before,fatigue_before,sleep_hours,care_pause_minutes,rest_debt_after,fatigue_after,recovery_complete,bounded_need_note
14,Routeline,Keth,0.0,0.0,7.210821,6,0.0,0.0,True,rest debt is tracked and recovery path is available
14,Marketline,Melo,0.0,0.0,7.188821,6,0.0,0.0,True,rest debt is tracked and recovery path is available
14,Ledgerline,Nari,0.0,0.0,7.254821,6,0.0,0.0,True,rest debt is tracked and recovery path is available
14,Orchardline,Ori,0.0,0.0,7.298821,6,0.0,0.0,True,rest debt is tracked and recovery path is available
14,Rainline,Vonn,0.0,0.0,7.199821,6,0.0,0.0,True,rest debt is tracked and recovery path is available
15,Hearthline,Sova,0.0,0.0,7.954499,6,0.0,0.0,True,rest debt is tracked and recovery path is available
15,Routeline,Keth,0.0,0.0,7.822499,6,0.0,0.0,True,rest debt is tracked and recovery path is available
15,Marketline,Melo,0.0,0.0,7.800499,6,0.0,0.0,True,rest debt is tracked and recovery path is available
15,Ledgerline,Nari,0.0,0.0,7.866499,6,0.0,0.0,True,rest debt is tracked and recovery path is available
15,Orchardline,Ori,0.0,0.0,7.910499,6,0.0,0.0,True,rest debt is tracked and recovery path is available
15,Rainline,Vonn,0.0,0.0,7.811499,6,0.0,0.0,True,rest debt is tracked and recovery path is available
16,Hearthline,Sova,0.0,0.0,7.532256,6,0.0,0.0,True,rest debt is tracked and recovery path is available
16,Routeline,Keth,0.0,0.0,7.400256,6,0.0,0.0,True,rest debt is tracked and recovery path is available
16,Marketline,Melo,0.0,0.0,7.378256,6,0.0,0.0,True,rest debt is tracked and recovery path is available
16,Ledgerline,Nari,0.0,0.0,7.444256,6,0.0,0.0,True,rest debt is tracked and recovery path is available
16,Orchardline,Ori,0.0,0.0,7.488256,6,0.0,0.0,True,rest debt is tracked and recovery path is available
16,Rainline,Vonn,0.0,0.0,7.389256,6,0.0,0.0,True,rest debt is tracked and recovery path is available
17,Hearthline,Sova,0.0,0.0,8.143546,6,0.0,0.0,True,rest debt is tracked and recovery path is available
17,Routeline,Keth,0.0,0.0,8.011546,6,0.0,0.0,True,rest debt is tracked and recovery path is available
17,Marketline,Melo,0.0,0.0,7.989546,6,0.0,0.0,True,rest debt is tracked and recovery path is available
17,Ledgerline,Nari,0.0,0.0,8.055546,6,0.0,0.0,True,rest debt is tracked and recovery path is available
17,Orchardline,Ori,0.0,0.0,8.099546,6,0.0,0.0,True,rest debt is tracked and recovery path is available
17,Rainline,Vonn,0.0,0.0,8.000546,6,0.0,0.0,True,rest debt is tracked and recovery path is available
18,Hearthline,Sova,0.0,0.0,8.144226,6,0.0,0.0,True,rest debt is tracked and recovery path is available
18,Routeline,Keth,0.0,0.0,8.012226,6,0.0,0.0,True,rest debt is tracked and recovery path is available
18,Marketline,Melo,0.0,0.0,7.990226,6,0.0,0.0,True,rest debt is tracked and recovery path is available
18,Ledgerline,Nari,0.0,0.0,8.056226,6,0.0,0.0,True,rest debt is tracked and recovery path is available
18,Orchardline,Ori,0.0,0.0,8.100226,6,0.0,0.0,True,rest debt is tracked and recovery path is available
18,Rainline,Vonn,0.0,0.0,8.001226,6,0.0,0.0,True,rest debt is tracked and recovery path is available
19,Hearthline,Sova,0.0,0.0,7.416421,18,0.0,0.0,True,rest debt is tracked and recovery path is available
19,Routeline,Keth,0.0,0.0,7.834421,18,0.0,0.0,True,rest debt is tracked and recovery path is available
19,Marketline,Melo,0.0,0.0,7.81242,18,0.0,0.0,True,rest debt is tracked and recovery path is available
19,Ledgerline,Nari,0.0,0.0,7.32842,18,0.0,0.0,True,rest debt is tracked and recovery path is available
19,Orchardline,Ori,0.0,0.0,7.92242,18,0.0,0.0,True,rest debt is tracked and recovery path is available
19,Rainline,Vonn,0.0,0.0,7.823421,18,0.0,0.0,True,rest debt is tracked and recovery path is available
20,Hearthline,Sova,0.0,0.0,7.96466,6,0.0,0.0,True,rest debt is tracked and recovery path is available
20,Routeline,Keth,0.0,0.0,7.83266,6,0.0,0.0,True,rest debt is tracked and recovery path is available
20,Marketline,Melo,0.0,0.0,7.81066,6,0.0,0.0,True,rest debt is tracked and recovery path is available
20,Ledgerline,Nari,0.0,0.0,7.87666,6,0.0,0.0,True,rest debt is tracked and recovery path is available
20,Orchardline,Ori,0.0,0.0,7.92066,6,0.0,0.0,True,rest debt is tracked and recovery path is available
20,Rainline,Vonn,0.0,0.0,7.82166,6,0.0,0.0,True,rest debt is tracked and recovery path is available
21,Hearthline,Sova,0.0,0.0,7.357251,6,0.0,0.0,True,rest debt is tracked and recovery path is available
21,Routeline,Keth,0.0,0.0,7.225251,6,0.0,0.0,True,rest debt is tracked and recovery path is available
21,Marketline,Melo,0.0,0.0,7.203251,6,0.0,0.0,True,rest debt is tracked and recovery path is available
21,Ledgerline,Nari,0.0,0.0,7.269251,6,0.0,0.0,True,rest debt is tracked and recovery path is available
21,Orchardline,Ori,0.0,0.0,7.313251,6,0.0,0.0,True,rest debt is tracked and recovery path is available
21,Rainline,Vonn,0.0,0.0,7.214251,6,0.0,0.0,True,rest debt is tracked and recovery path is available
22,Hearthline,Sova,0.0,0.0,7.957484,6,0.0,0.0,True,rest debt is tracked and recovery path is available
22,Routeline,Keth,0.0,0.0,7.825484,6,0.0,0.0,True,rest debt is tracked and recovery path is available
22,Marketline,Melo,0.0,0.0,7.803484,6,0.0,0.0,True,rest debt is tracked and recovery path is available
22,Ledgerline,Nari,0.0,0.0,7.869484,6,0.0,0.0,True,rest debt is tracked and recovery path is available
22,Orchardline,Ori,0.0,0.0,7.913484,6,0.0,0.0,True,rest debt is tracked and recovery path is available
22,Rainline,Vonn,0.0,0.0,7.814484,6,0.0,0.0,True,rest debt is tracked and recovery path is available
23,Hearthline,Sova,0.0,0.0,7.351323,6,0.0,0.0,True,rest debt is tracked and recovery path is available
23,Routeline,Keth,0.0,0.0,7.219323,6,0.0,0.0,True,rest debt is tracked and recovery path is available
23,Marketline,Melo,0.0,0.0,7.197323,6,0.0,0.0,True,rest debt is tracked and recovery path is available
23,Ledgerline,Nari,0.0,0.0,7.263323,6,0.0,0.0,True,rest debt is tracked and recovery path is available
23,Orchardline,Ori,0.0,0.0,7.307323,6,0.0,0.0,True,rest debt is tracked and recovery path is available
23,Rainline,Vonn,0.0,0.0,7.208323,6,0.0,0.0,True,rest debt is tracked and recovery path is available
24,Hearthline,Sova,0.0,0.0,8.130788,6,0.0,0.0,True,rest debt is tracked and recovery path is available
24,Routeline,Keth,0.0,0.0,7.998788,6,0.0,0.0,True,rest debt is tracked and recovery path is available
24,Marketline,Melo,0.0,0.0,7.976788,6,0.0,0.0,True,rest debt is tracked and recovery path is available
24,Ledgerline,Nari,0.0,0.0,8.042788,6,0.0,0.0,True,rest debt is tracked and recovery path is available
24,Orchardline,Ori,0.0,0.0,8.086788,6,0.0,0.0,True,rest debt is tracked and recovery path is available
24,Rainline,Vonn,0.0,0.0,7.987788,6,0.0,0.0,True,rest debt is tracked and recovery path is available
25,Hearthline,Sova,0.0,0.0,8.126166,6,0.0,0.0,True,rest debt is tracked and recovery path is available
25,Routeline,Keth,0.0,0.0,7.994166,6,0.0,0.0,True,rest debt is tracked and recovery path is available
25,Marketline,Melo,0.0,0.0,7.972166,6,0.0,0.0,True,rest debt is tracked and recovery path is available
25,Ledgerline,Nari,0.0,0.0,8.038166,6,0.0,0.0,True,rest debt is tracked and recovery path is available
25,Orchardline,Ori,0.0,0.0,8.082166,6,0.0,0.0,True,rest debt is tracked and recovery path is available
25,Rainline,Vonn,0.0,0.0,7.983166,6,0.0,0.0,True,rest debt is tracked and recovery path is available
26,Hearthline,Sova,0.0,0.0,8.118324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
26,Routeline,Keth,0.0,0.0,7.986324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
26,Marketline,Melo,0.0,0.0,7.964324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
26,Ledgerline,Nari,0.0,0.0,8.030324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
26,Orchardline,Ori,0.0,0.0,8.074324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
26,Rainline,Vonn,0.0,0.0,7.975324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
27,Hearthline,Sova,0.0,0.0,8.11773,6,0.0,0.0,True,rest debt is tracked and recovery path is available
27,Routeline,Keth,0.0,0.0,7.98573,6,0.0,0.0,True,rest debt is tracked and recovery path is available
27,Marketline,Melo,0.0,0.0,7.96373,6,0.0,0.0,True,rest debt is tracked and recovery path is available
27,Ledgerline,Nari,0.0,0.0,8.02973,6,0.0,0.0,True,rest debt is tracked and recovery path is available
27,Orchardline,Ori,0.0,0.0,8.07373,6,0.0,0.0,True,rest debt is tracked and recovery path is available
27,Rainline,Vonn,0.0,0.0,7.97473,6,0.0,0.0,True,rest debt is tracked and recovery path is available
28,Hearthline,Sova,0.0,0.0,7.504472,6,0.018919,0.0,True,rest debt is tracked and recovery path is available
28,Routeline,Keth,0.0,0.0,7.372472,6,0.028819,0.0,True,rest debt is tracked and recovery path is available
28,Marketline,Melo,0.0,0.0,7.350472,6,0.030469,0.0,True,rest debt is tracked and recovery path is available
28,Ledgerline,Nari,0.0,0.0,7.416472,6,0.025519,0.0,True,rest debt is tracked and recovery path is available
28,Orchardline,Ori,0.0,0.0,7.460472,6,0.022219,0.0,True,rest debt is tracked and recovery path is available
28,Rainline,Vonn,0.0,0.0,7.361472,6,0.029644,0.0,True,rest debt is tracked and recovery path is available
29,Hearthline,Sova,0.018919,0.0,7.378526,18,0.0,0.0,True,rest debt is tracked and recovery path is available
29,Routeline,Keth,0.028819,0.0,7.796526,18,0.0,0.0,True,rest debt is tracked and recovery path is available
29,Marketline,Melo,0.030469,0.0,7.774526,18,0.0,0.0,True,rest debt is tracked and recovery path is available
29,Ledgerline,Nari,0.025519,0.0,7.290526,18,0.0,0.0,True,rest debt is tracked and recovery path is available
29,Orchardline,Ori,0.022219,0.0,7.884526,18,0.0,0.0,True,rest debt is tracked and recovery path is available
29,Rainline,Vonn,0.029644,0.0,7.785526,18,0.0,0.0,True,rest debt is tracked and recovery path is available
30,Hearthline,Sova,0.0,0.0,7.320719,6,0.0,0.0,True,rest debt is tracked and recovery path is available
30,Routeline,Keth,0.0,0.0,7.188719,6,0.0,0.0,True,rest debt is tracked and recovery path is available
30,Marketline,Melo,0.0,0.0,7.166719,6,0.0,0.0,True,rest debt is tracked and recovery path is available
30,Ledgerline,Nari,0.0,0.0,7.232719,6,0.0,0.0,True,rest debt is tracked and recovery path is available
30,Orchardline,Ori,0.0,0.0,7.276719,6,0.0,0.0,True,rest debt is tracked and recovery path is available
30,Rainline,Vonn,0.0,0.0,7.177719,6,0.0,0.0,True,rest debt is tracked and recovery path is available
31,Hearthline,Sova,0.0,0.0,7.921324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
31,Routeline,Keth,0.0,0.0,7.789324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
31,Marketline,Melo,0.0,0.0,7.767324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
31,Ledgerline,Nari,0.0,0.0,7.833324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
31,Orchardline,Ori,0.0,0.0,7.877324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
31,Rainline,Vonn,0.0,0.0,7.778324,6,0.0,0.0,True,rest debt is tracked and recovery path is available
32,Hearthline,Sova,0.0,0.0,7.919615,6,0.0,0.0,True,rest debt is tracked and recovery path is available
32,Routeline,Keth,0.0,0.0,7.787615,6,0.0,0.0,True,rest debt is tracked and recovery path is available
32,Marketline,Melo,0.0,0.0,7.765615,6,0.0,0.0,True,rest debt is tracked and recovery path is available
32,Ledgerline,Nari,0.0,0.0,7.831615,6,0.0,0.0,True,rest debt is tracked and recovery path is available
32,Orchardline,Ori,0.0,0.0,7.875615,6,0.0,0.0,True,rest debt is tracked and recovery path is available
32,Rainline,Vonn,0.0,0.0,7.776615,6,0.0,0.0,True,rest debt is tracked and recovery path is available
33,Hearthline,Sova,0.0,0.0,7.922982,6,0.0,0.0,True,rest debt is tracked and recovery path is available
33,Routeline,Keth,0.0,0.0,7.790982,6,0.0,0.0,True,rest debt is tracked and recovery path is available
33,Marketline,Melo,0.0,0.0,7.768982,6,0.0,0.0,True,rest debt is tracked and recovery path is available
33,Ledgerline,Nari,0.0,0.0,7.834982,6,0.0,0.0,True,rest debt is tracked and recovery path is available
33,Orchardline,Ori,0.0,0.0,7.878982,6,0.0,0.0,True,rest debt is tracked and recovery path is available
33,Rainline,Vonn,0.0,0.0,7.779982,6,0.0,0.0,True,rest debt is tracked and recovery path is available
34,Hearthline,Sova,0.0,0.0,8.106911,6,0.0,0.0,True,rest debt is tracked and recovery path is available
34,Routeline,Keth,0.0,0.0,7.974911,6,0.0,0.0,True,rest debt is tracked and recovery path is available
34,Marketline,Melo,0.0,0.0,7.952911,6,0.0,0.0,True,rest debt is tracked and recovery path is available
34,Ledgerline,Nari,0.0,0.0,8.018911,6,0.0,0.0,True,rest debt is tracked and recovery path is available
34,Orchardline,Ori,0.0,0.0,8.062911,6,0.0,0.0,True,rest debt is tracked and recovery path is available
34,Rainline,Vonn,0.0,0.0,7.963911,6,0.0,0.0,True,rest debt is tracked and recovery path is available
35,Hearthline,Sova,0.0,0.0,7.509376,6,0.0,0.0,True,rest debt is tracked and recovery path is available
35,Routeline,Keth,0.0,0.0,7.377376,6,0.0,0.0,True,rest debt is tracked and recovery path is available
35,Marketline,Melo,0.0,0.0,7.355376,6,0.0,0.0,True,rest debt is tracked and recovery path is available
35,Ledgerline,Nari,0.0,0.0,7.421376,6,0.0,0.0,True,rest debt is tracked and recovery path is available
35,Orchardline,Ori,0.0,0.0,7.465376,6,0.0,0.0,True,rest debt is tracked and recovery path is available
35,Rainline,Vonn,0.0,0.0,7.366376,6,0.0,0.0,True,rest debt is tracked and recovery path is available
36,Hearthline,Sova,0.0,0.0,8.116625,6,0.0,0.0,True,rest debt is tracked and recovery path is available
36,Routeline,Keth,0.0,0.0,7.984625,6,0.0,0.0,True,rest debt is tracked and recovery path is available
36,Marketline,Melo,0.0,0.0,7.962625,6,0.0,0.0,True,rest debt is tracked and recovery path is available
36,Ledgerline,Nari,0.0,0.0,8.028625,6,0.0,0.0,True,rest debt is tracked and recovery path is available
36,Orchardline,Ori,0.0,0.0,8.072625,6,0.0,0.0,True,rest debt is tracked and recovery path is available
36,Rainline,Vonn,0.0,0.0,7.973625,6,0.0,0.0,True,rest debt is tracked and recovery path is available
37,Hearthline,Sova,0.0,0.0,7.511829,6,0.0,0.0,True,rest debt is tracked and recovery path is available
37,Routeline,Keth,0.0,0.0,7.379829,6,0.009111,0.0,True,rest debt is tracked and recovery path is available
37,Marketline,Melo,0.0,0.0,7.357829,6,0.010761,0.0,True,rest debt is tracked and recovery path is available
37,Ledgerline,Nari,0.0,0.0,7.423829,6,0.005811,0.0,True,rest debt is tracked and recovery path is available
37,Orchardline,Ori,0.0,0.0,7.467829,6,0.002511,0.0,True,rest debt is tracked and recovery path is available
37,Rainline,Vonn,0.0,0.0,7.368829,6,0.009936,0.0,True,rest debt is tracked and recovery path is available
38,Hearthline,Sova,0.0,0.0,8.122078,6,0.0,0.0,True,rest debt is tracked and recovery path is available
38,Routeline,Keth,0.009111,0.0,7.990078,6,0.0,0.0,True,rest debt is tracked and recovery path is available
38,Marketline,Melo,0.010761,0.0,7.968078,6,0.0,0.0,True,rest debt is tracked and recovery path is available
38,Ledgerline,Nari,0.005811,0.0,8.034078,6,0.0,0.0,True,rest debt is tracked and recovery path is available
38,Orchardline,Ori,0.002511,0.0,8.078078,6,0.0,0.0,True,rest debt is tracked and recovery path is available
38,Rainline,Vonn,0.009936,0.0,7.979078,6,0.0,0.0,True,rest debt is tracked and recovery path is available
39,Hearthline,Sova,0.0,0.0,8.1311,6,0.0,0.0,True,rest debt is tracked and recovery path is available
39,Routeline,Keth,0.0,0.0,7.9991,6,0.0,0.0,True,rest debt is tracked and recovery path is available
39,Marketline,Melo,0.0,0.0,7.9771,6,0.0,0.0,True,rest debt is tracked and recovery path is available
39,Ledgerline,Nari,0.0,0.0,8.0431,6,0.0,0.0,True,rest debt is tracked and recovery path is available
39,Orchardline,Ori,0.0,0.0,8.0871,6,0.0,0.0,True,rest debt is tracked and recovery path is available
39,Rainline,Vonn,0.0,0.0,7.9881,6,0.0,0.0,True,rest debt is tracked and recovery path is available
40,Hearthline,Sova,0.0,0.0,8.139274,6,0.0,0.0,True,rest debt is tracked and recovery path is available
40,Routeline,Keth,0.0,0.0,8.007274,6,0.003883,0.0,True,rest debt is tracked and recovery path is available
40,Marketline,Melo,0.0,0.0,7.985274,6,0.005533,0.0,True,rest debt is tracked and recovery path is available
40,Ledgerline,Nari,0.0,0.0,8.051274,6,0.000583,0.0,True,rest debt is tracked and recovery path is available
40,Orchardline,Ori,0.0,0.0,8.095274,6,0.0,0.0,True,rest debt is tracked and recovery path is available
40,Rainline,Vonn,0.0,0.0,7.996274,6,0.004708,0.0,True,rest debt is tracked and recovery path is available
41,Hearthline,Sova,0.0,0.0,8.136463,6,0.012635,0.0,True,rest debt is tracked and recovery path is available
41,Routeline,Keth,0.003883,0.0,8.004463,6,0.026418,0.0,True,rest debt is tracked and recovery path is available
41,Marketline,Melo,0.005533,0.0,7.982463,6,0.029718,0.0,True,rest debt is tracked and recovery path is available
41,Ledgerline,Nari,0.000583,0.0,8.048463,6,0.019818,0.0,True,rest debt is tracked and recovery path is available
41,Orchardline,Ori,0.0,0.0,8.092463,6,0.015935,0.0,True,rest debt is tracked and recovery path is available
41,Rainline,Vonn,0.004708,0.0,7.993463,6,0.028068,0.0,True,rest debt is tracked and recovery path is available
42,Hearthline,Sova,0.012635,0.0,6.808413,18,0.0,0.0,True,rest debt is tracked and recovery path is available
42,Routeline,Keth,0.026418,0.0,7.226413,18,0.0,0.0,True,rest debt is tracked and recovery path is available
42,Marketline,Melo,0.029718,0.0,7.204413,18,0.0,0.0,True,rest debt is tracked and recovery path is available
42,Ledgerline,Nari,0.019818,0.0,6.720413,18,0.0,0.0,True,rest debt is tracked and recovery path is available
42,Orchardline,Ori,0.015935,0.0,7.314413,18,0.0,0.0,True,rest debt is tracked and recovery path is available
42,Rainline,Vonn,0.028068,0.0,7.215413,18,0.0,0.0,True,rest debt is tracked and recovery path is available
43,Hearthline,Sova,0.0,0.0,7.962232,6,0.0,0.0,True,rest debt is tracked and recovery path is available
43,Routeline,Keth,0.0,0.0,7.830232,6,0.0,0.0,True,rest debt is tracked and recovery path is available
43,Marketline,Melo,0.0,0.0,7.808232,6,0.0,0.0,True,rest debt is tracked and recovery path is available
43,Ledgerline,Nari,0.0,0.0,7.874232,6,0.0,0.0,True,rest debt is tracked and recovery path is available
43,Orchardline,Ori,0.0,0.0,7.918232,6,0.0,0.0,True,rest debt is tracked and recovery path is available
43,Rainline,Vonn,0.0,0.0,7.819232,6,0.0,0.0,True,rest debt is tracked and recovery path is available
44,Hearthline,Sova,0.0,0.0,7.361042,6,0.0,0.0,True,rest debt is tracked and recovery path is available
44,Routeline,Keth,0.0,0.0,7.229042,6,0.0,0.0,True,rest debt is tracked and recovery path is available
