event_id,source_household,target_household,token,variant,meaning,adoption_before,adoption_after,diffusion_gain,semantic_grounding,drift_pressure,diffusion_reason
153,Marketroof,Quietledger,melo,melo-a,market exchange,1.0,1.0,0.0,0.958473,0.334388,ritual and care spread
154,Quietledger,Orchardring,nari,nari-a,respect boundary,1.0,1.0,0.0,0.958603,0.333092,ritual and care spread
155,Orchardring,Rainloft,lum,lum-a,warm care,1.0,1.0,0.0,0.958278,0.3341,ritual and care spread
156,Rainloft,Hearthnest,sova,sova-a,sleep safely,1.0,1.0,0.0,0.9583,0.333884,ritual and care spread
157,Hearthnest,Marketroof,lum,lum-a,warm care,0.954655,1.0,0.045345,0.95926,0.333236,ritual and care spread
158,Routehall,Quietledger,tek,tek-a,repair work,0.835852,0.955441,0.119589,0.958473,0.334388,ritual and care spread
159,Marketroof,Orchardring,melo,melo-a,market exchange,1.0,1.0,0.0,0.959275,0.333092,ritual and care spread
160,Quietledger,Rainloft,nari,nari-a,respect boundary,1.0,1.0,0.0,0.958278,0.3341,ritual and care spread
161,Orchardring,Hearthnest,tek,tek-a,repair work,0.838605,0.958468,0.119864,0.959308,0.333884,ritual and care spread
162,Rainloft,Routehall,sova,sova-a,sleep safely,0.796962,0.922087,0.125125,0.958314,0.33374,ritual and care spread
163,Hearthnest,Quietledger,lum,lum-a,warm care,0.948945,1.0,0.051055,0.958473,0.334388,ritual and care spread
164,Routehall,Orchardring,tek,tek-a,repair work,0.982778,1.0,0.017222,0.958939,0.333092,ritual and care spread
165,Marketroof,Rainloft,melo,melo-a,market exchange,0.952003,1.0,0.047997,0.958278,0.3341,ritual and care spread
166,Quietledger,Hearthnest,nari,nari-a,respect boundary,0.871415,0.98669,0.115275,0.958524,0.333884,ritual and care spread
167,Orchardring,Routehall,melo,melo-a,market exchange,0.839491,0.957644,0.118153,0.958874,0.33374,ritual and care spread
168,Rainloft,Marketroof,sova,sova-a,sleep safely,0.992591,1.0,0.007409,0.958364,0.333236,ritual and care spread
169,Hearthnest,Orchardring,ori,ori-a,shared ritual,0.563024,0.709161,0.146137,0.959387,0.333092,ritual and care spread
170,Routehall,Rainloft,tek,tek-a,repair work,0.946915,1.0,0.053085,0.958278,0.3341,ritual and care spread
171,Marketroof,Hearthnest,melo,melo-a,market exchange,0.839285,0.956146,0.116861,0.959196,0.333884,ritual and care spread
172,Quietledger,Routehall,nari,nari-a,respect boundary,1.0,1.0,0.0,0.958538,0.33374,ritual and care spread
173,Orchardring,Marketroof,lum,lum-a,warm care,1.0,1.0,0.0,0.95926,0.333236,ritual and care spread
174,Rainloft,Quietledger,sova,sova-a,sleep safely,0.994929,1.0,0.005071,0.958249,0.334388,ritual and care spread
175,Hearthnest,Rainloft,lum,lum-a,warm care,1.0,1.0,0.0,0.958278,0.3341,ritual and care spread
176,Routehall,Hearthnest,tek,tek-a,repair work,0.958468,1.0,0.041532,0.95886,0.333884,ritual and care spread
177,Marketroof,Routehall,melo,melo-a,market exchange,0.957644,1.0,0.042356,0.958874,0.33374,ritual and care spread
178,Quietledger,Marketroof,nari,nari-a,respect boundary,0.990136,1.0,0.009864,0.958588,0.333236,ritual and care spread
179,Orchardring,Quietledger,lum,lum-a,warm care,1.0,1.0,0.0,0.958473,0.334388,ritual and care spread
180,Rainloft,Orchardring,sova,sova-a,sleep safely,0.880831,0.992612,0.111781,0.958379,0.333092,ritual and care spread
181,Hearthnest,Routehall,sova,sova-so,sleep safely,0.922087,0.994822,0.072736,1.0,0.21164,warning spread without forced adoption
182,Routehall,Marketroof,keth,keth-v,remembered help,0.74,0.825863,0.085863,1.0,0.211136,warning spread without forced adoption
183,Marketroof,Quietledger,vonn,vonn-na,pressure warning,1.0,1.0,0.0,0.998283,0.212288,warning spread without forced adoption
184,Quietledger,Orchardring,nari,nari-ri,respect boundary,1.0,1.0,0.0,0.956853,0.350592,ritual and care spread
185,Orchardring,Rainloft,vonn,vonn-so,pressure warning,1.0,1.0,0.0,1.0,0.212,warning spread without forced adoption
186,Rainloft,Hearthnest,vonn,vonn-v,pressure warning,0.875646,0.953748,0.078102,1.0,0.211784,warning spread without forced adoption
187,Hearthnest,Marketroof,ori,ori-ri,shared ritual,0.4,0.558436,0.158436,0.95751,0.350736,ritual and care spread
188,Routehall,Quietledger,vonn,vonn-so,pressure warning,1.0,1.0,0.0,1.0,0.212288,warning spread without forced adoption
189,Marketroof,Orchardring,keth,keth-v,remembered help,0.4,0.510739,0.110739,1.0,0.210992,warning spread without forced adoption
190,Quietledger,Rainloft,nari,nari-na,respect boundary,1.0,1.0,0.0,0.998088,0.212,warning spread without forced adoption
191,Orchardring,Hearthnest,lum,lum-ri,warm care,0.973283,1.0,0.026717,0.957558,0.351384,ritual and care spread
192,Rainloft,Routehall,sova,sova-so,sleep safely,0.994822,1.0,0.005178,1.0,0.21164,warning spread without forced adoption
193,Hearthnest,Quietledger,vonn,vonn-na,pressure warning,1.0,1.0,0.0,0.998283,0.212288,warning spread without forced adoption
194,Routehall,Orchardring,tek,tek-ri,repair work,1.0,1.0,0.0,0.957189,0.350592,ritual and care spread
195,Marketroof,Rainloft,vonn,vonn-so,pressure warning,1.0,1.0,0.0,1.0,0.212,warning spread without forced adoption
196,Quietledger,Hearthnest,vonn,vonn-v,pressure warning,0.953748,1.0,0.046252,1.0,0.211784,warning spread without forced adoption
197,Orchardring,Routehall,vonn,vonn-na,pressure warning,1.0,1.0,0.0,0.998684,0.21164,warning spread without forced adoption
198,Rainloft,Marketroof,sova,sova-ri,sleep safely,1.0,1.0,0.0,0.956614,0.350736,ritual and care spread
199,Hearthnest,Orchardring,vonn,vonn-v,pressure warning,1.0,1.0,0.0,1.0,0.210992,warning spread without forced adoption
200,Routehall,Rainloft,nari,nari-na,respect boundary,1.0,1.0,0.0,0.998088,0.212,warning spread without forced adoption
201,Marketroof,Hearthnest,melo,melo-ri,market exchange,0.956146,1.0,0.043854,0.957446,0.351384,ritual and care spread
202,Quietledger,Routehall,sova,sova-so,sleep safely,1.0,1.0,0.0,1.0,0.21164,warning spread without forced adoption
203,Orchardring,Marketroof,vonn,vonn-v,pressure warning,0.929975,1.0,0.070025,1.0,0.211136,warning spread without forced adoption
204,Rainloft,Quietledger,nari,nari-na,respect boundary,1.0,1.0,0.0,0.998059,0.212288,warning spread without forced adoption
205,Hearthnest,Rainloft,sova,sova-so,sleep safely,0.962144,1.0,0.037856,1.0,0.212,warning spread without forced adoption
206,Routehall,Hearthnest,keth,keth-v,remembered help,0.511838,0.615943,0.104104,1.0,0.211784,warning spread without forced adoption
207,Marketroof,Routehall,vonn,vonn-na,pressure warning,1.0,1.0,0.0,0.998684,0.21164,warning spread without forced adoption
208,Quietledger,Marketroof,nari,nari-ri,respect boundary,1.0,1.0,0.0,0.956838,0.350736,ritual and care spread
209,Orchardring,Quietledger,vonn,vonn-so,pressure warning,1.0,1.0,0.0,1.0,0.212288,warning spread without forced adoption
210,Rainloft,Orchardring,vonn,vonn-v,pressure warning,1.0,1.0,0.0,1.0,0.210992,warning spread without forced adoption
211,Hearthnest,Routehall,ori,ori-ri,shared ritual,0.834179,0.950339,0.11616,0.957124,0.35124,ritual and care spread
212,Routehall,Marketroof,vonn,vonn-so,pressure warning,1.0,1.0,0.0,1.0,0.211136,warning spread without forced adoption
213,Marketroof,Quietledger,keth,keth-v,remembered help,0.612639,0.704933,0.092293,1.0,0.212288,warning spread without forced adoption
214,Quietledger,Orchardring,nari,nari-na,respect boundary,1.0,1.0,0.0,0.998413,0.210992,warning spread without forced adoption
215,Orchardring,Rainloft,lum,lum-ri,warm care,1.0,1.0,0.0,0.956528,0.3516,ritual and care spread
216,Rainloft,Hearthnest,sova,sova-so,sleep safely,1.0,1.0,0.0,1.0,0.211784,warning spread without forced adoption
217,Hearthnest,Marketroof,lum,lum-a,warm care,1.0,1.0,0.0,0.95576,0.368236,ritual and care spread
218,Routehall,Quietledger,tek,tek-a,repair work,0.955441,1.0,0.044559,0.954973,0.369388,ritual and care spread
219,Marketroof,Orchardring,melo,melo-a,market exchange,1.0,1.0,0.0,0.955775,0.368092,ritual and care spread
220,Quietledger,Rainloft,nari,nari-a,respect boundary,1.0,1.0,0.0,0.954778,0.3691,ritual and care spread
221,Orchardring,Hearthnest,melo,melo-a,market exchange,1.0,1.0,0.0,0.955808,0.368884,ritual and care spread
222,Rainloft,Routehall,sova,sova-a,sleep safely,1.0,1.0,0.0,0.954814,0.36874,ritual and care spread
223,Hearthnest,Quietledger,ori,ori-a,shared ritual,0.559385,0.701829,0.142444,0.954973,0.369388,ritual and care spread
224,Routehall,Orchardring,tek,tek-a,repair work,1.0,1.0,0.0,0.955439,0.368092,ritual and care spread
225,Marketroof,Rainloft,melo,melo-a,market exchange,1.0,1.0,0.0,0.954778,0.3691,ritual and care spread
226,Quietledger,Hearthnest,nari,nari-a,respect boundary,0.98669,1.0,0.01331,0.955024,0.368884,ritual and care spread
227,Orchardring,Routehall,lum,lum-a,warm care,1.0,1.0,0.0,0.955374,0.36874,ritual and care spread
228,Rainloft,Marketroof,sova,sova-a,sleep safely,1.0,1.0,0.0,0.954864,0.368236,ritual and care spread
229,Hearthnest,Orchardring,lum,lum-a,warm care,0.831191,0.951485,0.120294,0.955887,0.368092,ritual and care spread
230,Routehall,Rainloft,tek,tek-a,repair work,1.0,1.0,0.0,0.954778,0.3691,ritual and care spread
