tick_id,day,route_id,agent,posture_before,posture_after,gaze,distance,gesture,reaction_trigger,body_language_visible,persists_after_reload
21,2,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
22,2,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
23,2,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
24,2,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
25,2,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
26,2,archive_signal,Nia,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
27,2,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
28,3,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
29,3,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
30,3,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
31,3,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
32,3,archive_signal,Nia,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
33,3,signal_orchard,Ivo,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
34,3,orchard_riverbend,Ivo,relieved reset stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
35,3,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
36,3,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
37,3,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
38,3,archive_signal,Nia,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
39,3,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
40,3,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
41,3,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
42,4,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
43,4,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
44,4,archive_signal,Nia,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
45,4,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
46,4,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
47,4,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
48,4,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
49,4,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
50,4,archive_signal,Nia,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
51,4,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
52,4,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
53,4,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
54,4,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
55,4,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
56,5,archive_signal,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
57,5,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
58,5,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
59,5,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
60,5,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward avatar,0.34,open palm,dialogue,True,False
61,5,roofward_archive,Nia,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
62,5,archive_signal,Nia,relieved reset stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,True
63,5,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
64,5,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
65,5,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
66,5,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward route board,0.34,open palm,merge,True,False
67,5,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
68,5,archive_signal,Nia,watchful neutral stance,watchful neutral stance,toward avatar,0.34,open palm,dialogue,True,False
69,5,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
70,6,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,True
71,6,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
72,6,roofward_archive,Fay,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
73,6,archive_signal,Milo,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
74,6,signal_orchard,Milo,relieved reset stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
75,6,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
76,6,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
77,6,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
78,6,roofward_archive,Fay,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
79,6,archive_signal,Milo,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
80,6,signal_orchard,Milo,relieved reset stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
81,6,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
82,6,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
83,6,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
84,7,roofward_archive,Fay,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
85,7,archive_signal,Milo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
86,7,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
87,7,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
88,7,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
89,7,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
90,7,roofward_archive,Fay,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
91,7,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
92,7,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
93,7,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
94,7,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
95,7,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
96,7,roofward_archive,Fay,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
97,7,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
98,8,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,True
99,8,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
100,8,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
101,8,riverbend_roofward,Fay,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
102,8,roofward_archive,Fay,relieved reset stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
103,8,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
104,8,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
105,8,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
106,8,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
107,8,riverbend_roofward,Fay,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
108,8,roofward_archive,Fay,relieved reset stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
109,8,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
110,8,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
111,8,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
112,9,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
113,9,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
114,9,roofward_archive,Fay,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
115,9,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
116,9,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
117,9,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
118,9,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
119,9,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
120,9,roofward_archive,Fay,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
121,9,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
122,9,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
123,9,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
124,9,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,True
125,9,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
126,10,roofward_archive,Fay,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,True
127,10,archive_signal,Milo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
128,10,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
129,10,orchard_riverbend,Ari,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
130,10,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
131,10,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
132,10,roofward_archive,Fay,watchful neutral stance,watchful neutral stance,toward avatar,0.34,open palm,dialogue,True,False
133,10,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
134,10,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
135,10,orchard_riverbend,Ari,relieved reset stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
136,10,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
137,10,riverbend_roofward,Fay,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
138,10,roofward_archive,Fay,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
139,10,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
140,11,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
141,11,orchard_riverbend,Ari,relieved reset stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
142,11,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
143,11,riverbend_roofward,Fay,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
144,11,roofward_archive,Fay,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
145,11,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
146,11,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
147,11,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
148,11,central_repair_ring,Juno,watchful neutral stance,watchful neutral stance,toward avatar,0.34,open palm,dialogue,True,False
149,11,riverbend_roofward,Fay,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
150,11,roofward_archive,Fay,watchful neutral stance,open forward lean,toward route board,0.34,open palm,merge,True,False
151,11,archive_signal,Milo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
152,11,signal_orchard,Milo,watchful neutral stance,watchful neutral stance,toward avatar,0.34,open palm,dialogue,True,False
153,11,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
154,12,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,side glance,0.34,open palm,reload,True,True
155,12,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,True
156,12,archive_signal,Nia,watchful neutral stance,watchful neutral stance,toward route board,0.34,open palm,merge,True,False
157,12,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
158,12,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
159,12,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
160,12,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward route board,0.34,open palm,merge,True,False
161,12,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
162,12,archive_signal,Nia,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
163,12,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
164,12,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
165,12,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
166,12,riverbend_roofward,Ari,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
167,12,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
168,13,archive_signal,Nia,watchful neutral stance,open forward lean,side glance,0.34,open palm,reload,True,True
169,13,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
170,13,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
171,13,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
172,13,riverbend_roofward,Ari,open forward lean,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
173,13,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
174,13,archive_signal,Nia,watchful neutral stance,open forward lean,toward route board,0.34,open palm,merge,True,False
175,13,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
176,13,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.34,open palm,dialogue,True,False
177,13,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
178,13,riverbend_roofward,Ari,open forward lean,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
179,13,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
180,13,archive_signal,Nia,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
181,13,signal_orchard,Ivo,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
182,14,orchard_riverbend,Ivo,relieved reset stance,watchful neutral stance,side glance,0.34,open palm,reload,True,True
183,14,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
184,14,riverbend_roofward,Ari,open forward lean,open forward lean,toward route board,0.34,open palm,merge,True,False
185,14,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
186,14,archive_signal,Nia,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,True
187,14,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
188,14,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward route board,0.34,open palm,merge,True,False
189,14,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
190,14,riverbend_roofward,Ari,open forward lean,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
191,14,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
192,14,archive_signal,Nia,watchful neutral stance,open forward lean,toward route board,0.34,open palm,merge,True,False
193,14,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
194,14,orchard_riverbend,Ivo,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
195,14,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
196,15,riverbend_roofward,Ari,open forward lean,open forward lean,side glance,0.34,open palm,reload,True,True
197,15,roofward_archive,Nia,open forward lean,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
198,15,archive_signal,Nia,watchful neutral stance,open forward lean,toward route board,0.34,open palm,merge,True,False
199,15,signal_orchard,Ivo,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
200,15,orchard_riverbend,Ivo,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
201,15,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
202,15,riverbend_roofward,Ari,open forward lean,open forward lean,toward route board,0.34,open palm,merge,True,False
203,15,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
204,15,archive_signal,Nia,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
205,15,signal_orchard,Ivo,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
206,15,orchard_riverbend,Ivo,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
207,15,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
208,15,riverbend_roofward,Ari,open forward lean,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
209,15,roofward_archive,Nia,open forward lean,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
210,16,archive_signal,Nia,watchful neutral stance,open forward lean,side glance,0.34,open palm,reload,True,True
211,16,signal_orchard,Ivo,open forward lean,watchful neutral stance,toward avatar,0.34,open palm,dialogue,True,False
212,16,orchard_riverbend,Ivo,watchful neutral stance,open forward lean,toward route board,0.34,open palm,merge,True,False
213,16,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
214,16,riverbend_roofward,Ari,open forward lean,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
215,16,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
216,16,archive_signal,Nia,watchful neutral stance,open forward lean,toward route board,0.34,open palm,merge,True,False
217,16,signal_orchard,Ivo,open forward lean,watchful neutral stance,side glance,0.34,open palm,reload,True,True
218,16,orchard_riverbend,Ivo,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
219,16,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
220,16,riverbend_roofward,Ari,open forward lean,open forward lean,toward route board,0.34,open palm,merge,True,False
221,16,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
222,16,archive_signal,Nia,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
223,16,signal_orchard,Ivo,open forward lean,watchful neutral stance,side glance,0.34,open palm,ambient,False,False
224,17,orchard_riverbend,Ivo,watchful neutral stance,open forward lean,side glance,0.34,open palm,reload,True,True
225,17,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
226,17,riverbend_roofward,Ari,open forward lean,open forward lean,toward route board,0.34,open palm,merge,True,False
227,17,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
228,17,archive_signal,Nia,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
229,17,signal_orchard,Ivo,open forward lean,watchful neutral stance,side glance,0.34,open palm,ambient,False,False
230,17,orchard_riverbend,Ivo,watchful neutral stance,open forward lean,toward route board,0.34,open palm,merge,True,False
231,17,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
232,17,riverbend_roofward,Ari,open forward lean,open forward lean,side glance,0.34,open palm,ambient,False,False
233,17,roofward_archive,Nia,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
234,17,archive_signal,Nia,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
235,17,signal_orchard,Ivo,open forward lean,watchful neutral stance,side glance,0.34,open palm,ambient,False,False
236,17,orchard_riverbend,Ivo,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
237,17,central_repair_ring,Pax,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
238,18,roofward_archive,Fay,open forward lean,open forward lean,side glance,0.34,open palm,reload,True,True
239,18,archive_signal,Milo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
240,18,signal_orchard,Milo,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
241,18,orchard_riverbend,Ari,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
242,18,central_repair_ring,Juno,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
243,18,riverbend_roofward,Fay,open forward lean,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
244,18,roofward_archive,Fay,relieved reset stance,open forward lean,toward route board,0.34,open palm,merge,True,False
245,18,archive_signal,Milo,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
246,18,signal_orchard,Milo,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
247,18,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
248,18,central_repair_ring,Juno,open forward lean,open forward lean,toward route board,0.34,open palm,merge,True,True
249,18,riverbend_roofward,Fay,open forward lean,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
250,18,roofward_archive,Fay,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
251,18,archive_signal,Milo,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
252,19,signal_orchard,Milo,watchful neutral stance,open forward lean,side glance,0.34,open palm,reload,True,True
253,19,orchard_riverbend,Ari,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
254,19,central_repair_ring,Juno,open forward lean,open forward lean,toward route board,0.34,open palm,merge,True,False
255,19,riverbend_roofward,Fay,open forward lean,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
256,19,roofward_archive,Fay,watchful neutral stance,open forward lean,toward avatar,0.34,open palm,dialogue,True,False
