tick,day,scene_id,sound_rate_hz,movement_rate_hz,tactile_pressure,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_free_move,flower_phase
37,3,v22-scene-d03,1.435,1.42,0.08,0.19,17.06,0.12,0.08,0.02,1,113.362268
38,3,v22-scene-d03,1.45,1.44,0.13,0.19,17.06,0.12,0.08,0.02,1,262.705032
39,3,v22-scene-d03,1.505,1.29,0.27,0.19,17.06,0.12,0.02,0.09,1,25.797796
40,3,v22-scene-d03,1.52,1.24,0.27,0.16,17.06,0.12,-0.01,0.09,0,162.11056
41,3,v22-scene-d03,1.535,1.29,0.27,0.19,17.06,0.12,0.02,0.09,1,301.323324
42,3,v22-scene-d03,1.55,1.29,0.27,0.19,17.06,0.12,0.02,0.09,1,79.086088
43,3,v22-scene-d03,1.565,1.29,0.27,0.19,17.06,0.12,0.02,0.09,1,216.848852
44,3,v22-scene-d03,1.54,1.42,0.08,0.19,17.06,0.12,0.08,0.02,1,357.701616
45,3,v22-scene-d03,1.555,1.42,0.08,0.19,17.06,0.12,0.08,0.02,1,135.46438
46,3,v22-scene-d03,1.57,1.42,0.08,0.19,16.21,0.3,0.08,0.02,1,273.227144
47,3,v22-scene-d03,1.585,1.42,0.08,0.19,16.21,0.3,0.08,0.02,1,50.989908
48,4,v22-scene-d04,1.4,1.42,0.08,0.19,17.08,0.12,0.16,0.02,1,185.352672
49,4,v22-scene-d04,1.295,1.42,0.08,0.19,17.08,0.12,0.08,0.02,1,321.075436
50,4,v22-scene-d04,1.39,1.42,0.08,0.19,17.08,0.12,0.08,0.02,1,100.1982
51,4,v22-scene-d04,1.405,1.42,0.11,0.19,17.08,0.12,0.08,0.02,1,237.960964
52,4,v22-scene-d04,1.42,1.42,0.08,0.19,17.08,0.12,0.08,0.02,1,15.723728
53,4,v22-scene-d04,1.475,1.29,0.27,0.19,17.08,0.12,0.02,0.09,1,150.396492
54,4,v22-scene-d04,1.49,1.29,0.27,0.19,17.08,0.12,0.02,0.09,1,288.159256
55,4,v22-scene-d04,1.505,1.29,0.27,0.19,17.08,0.12,0.02,0.09,1,65.92202
56,4,v22-scene-d04,1.48,1.42,0.08,0.19,17.08,0.12,0.08,0.02,1,206.774784
57,4,v22-scene-d04,1.535,1.42,0.08,0.19,17.08,0.12,0.16,0.02,1,345.217548
58,4,v22-scene-d04,1.55,1.42,0.08,0.19,17.08,0.12,0.16,0.02,1,122.980312
59,4,v22-scene-d04,1.525,1.42,0.08,0.19,17.08,0.12,0.08,0.02,1,260.063076
60,4,v22-scene-d04,1.58,1.42,0.11,0.19,17.08,0.12,0.16,0.02,1,38.50584
61,4,v22-scene-d04,1.555,1.42,0.08,0.19,17.08,0.12,0.08,0.02,1,175.588604
62,4,v22-scene-d04,1.57,1.42,0.08,0.19,17.08,0.12,0.08,0.02,1,313.351368
63,4,v22-scene-d04,1.625,1.42,0.08,0.19,17.08,0.12,0.16,0.02,1,91.794132
64,5,v22-scene-d05,1.4,1.42,0.08,0.19,17.1,0.12,0.16,0.02,1,225.476896
65,5,v22-scene-d05,1.375,1.42,0.08,0.19,17.1,0.12,0.08,0.02,1,2.55966
66,5,v22-scene-d05,1.31,1.42,0.08,0.19,17.1,0.12,0.08,0.02,1,138.962424
67,5,v22-scene-d05,1.445,1.42,0.11,0.19,17.1,0.12,0.16,0.02,1,278.765188
68,5,v22-scene-d05,1.46,1.42,0.08,0.19,17.1,0.12,0.16,0.02,1,56.527952
69,5,v22-scene-d05,1.475,1.37,0.08,0.16,17.1,0.12,0.13,0.02,1,192.840716
70,5,v22-scene-d05,1.49,1.42,0.08,0.19,17.1,0.12,0.16,0.02,1,332.05348
71,5,v22-scene-d05,1.465,1.42,0.11,0.19,17.1,0.12,0.08,0.02,1,109.136244
72,5,v22-scene-d05,1.48,1.42,0.08,0.19,17.1,0.12,0.08,0.02,1,246.899008
73,5,v22-scene-d05,1.495,1.42,0.08,0.19,17.1,0.12,0.08,0.02,1,24.661772
74,5,v22-scene-d05,1.51,1.44,0.16,0.19,17.1,0.12,0.08,0.02,1,174.004536
75,5,v22-scene-d05,1.525,1.46,0.18,0.19,17.1,0.12,0.08,0.02,1,323.3473
76,5,v22-scene-d05,1.54,1.46,0.18,0.19,17.1,0.12,0.08,0.02,1,101.110064
77,5,v22-scene-d05,1.555,1.46,0.18,0.19,17.1,0.12,0.08,0.02,0,238.872828
78,5,v22-scene-d05,1.57,1.46,0.18,0.19,17.1,0.12,0.08,0.02,1,16.635592
79,5,v22-scene-d05,1.625,1.44,0.13,0.19,17.1,0.12,0.16,0.02,1,143.498356
80,6,v22-scene-d06,1.28,1.44,0.13,0.19,17.12,0.17,0.08,0.02,1,275.14112
81,6,v22-scene-d06,1.375,1.44,0.13,0.19,17.12,0.17,0.08,0.02,1,54.263884
82,6,v22-scene-d06,1.39,1.42,0.11,0.19,17.12,0.17,0.08,0.02,1,180.446648
83,6,v22-scene-d06,1.445,1.22,0.13,0.19,17.12,0.17,0.16,0.02,1,324.089412
84,6,v22-scene-d06,1.46,1.42,0.08,0.19,17.12,0.17,0.16,0.02,1,96.652176
85,6,v22-scene-d06,1.435,1.42,0.11,0.19,17.12,0.17,0.08,0.02,1,233.73494
86,6,v22-scene-d06,1.49,1.42,0.08,0.19,17.12,0.17,0.16,0.02,1,12.177704
87,6,v22-scene-d06,1.465,1.42,0.11,0.19,17.12,0.17,0.08,0.02,1,149.260468
88,6,v22-scene-d06,1.48,1.42,0.08,0.19,17.12,0.17,0.08,0.02,1,287.023232
89,6,v22-scene-d06,1.535,1.42,0.08,0.19,17.12,0.17,0.16,0.02,1,65.465996
90,6,v22-scene-d06,1.51,1.42,0.08,0.19,17.12,0.17,0.08,0.02,1,202.54876
91,6,v22-scene-d06,1.525,1.42,0.08,0.19,17.12,0.17,0.08,0.02,1,340.311524
92,6,v22-scene-d06,1.54,1.42,0.08,0.19,17.12,0.17,0.08,0.02,1,118.074288
93,6,v22-scene-d06,1.555,1.42,0.08,0.19,17.12,0.17,0.08,0.02,1,255.837052
94,6,v22-scene-d06,1.57,1.42,0.08,0.19,17.12,0.17,0.08,0.02,1,33.599816
95,6,v22-scene-d06,1.585,1.44,0.13,0.19,17.12,0.17,0.08,0.02,1,182.94258
96,7,v22-scene-d07,1.36,1.42,0.08,0.19,17.14,0.12,0.08,0.02,1,305.045344
97,7,v22-scene-d07,1.295,1.42,0.08,0.19,17.14,0.12,0.08,0.02,1,81.448108
98,7,v22-scene-d07,1.43,1.37,0.08,0.16,17.14,0.12,0.13,0.02,1,219.800872
99,7,v22-scene-d07,1.405,1.42,0.08,0.19,17.14,0.12,0.08,0.02,1,358.333636
100,7,v22-scene-d07,1.42,1.42,0.08,0.19,17.14,0.12,0.08,0.02,1,136.0964
101,7,v22-scene-d07,1.435,1.42,0.08,0.19,17.14,0.12,0.08,0.02,1,273.859164
102,7,v22-scene-d07,1.45,1.42,0.08,0.19,17.14,0.12,0.08,0.02,1,51.621928
103,7,v22-scene-d07,1.385,1.42,0.11,0.19,17.14,0.12,0.08,0.02,1,188.024692
104,7,v22-scene-d07,1.4,1.42,0.11,0.19,17.14,0.12,0.08,0.02,1,325.787456
105,7,v22-scene-d07,1.415,1.42,0.08,0.19,17.14,0.12,0.08,0.02,1,103.55022
106,7,v22-scene-d07,1.51,1.42,0.08,0.19,17.14,0.12,0.08,0.02,1,242.672984
107,7,v22-scene-d07,1.525,1.42,0.11,0.19,17.14,0.12,0.08,0.02,1,20.435748
108,7,v22-scene-d07,1.58,1.42,0.11,0.19,17.14,0.12,0.16,0.02,1,158.878512
109,7,v22-scene-d07,1.595,1.42,0.11,0.19,17.14,0.12,0.16,0.02,1,296.641276
110,7,v22-scene-d07,1.61,1.42,0.08,0.19,17.14,0.12,0.16,0.02,1,74.40404
111,7,v22-scene-d07,1.505,1.42,0.08,0.19,17.14,0.12,0.08,0.02,1,210.126804
112,8,v22-scene-d08,1.36,1.42,0.11,0.19,17.16,0.12,0.08,0.02,1,345.169568
113,8,v22-scene-d08,1.415,1.42,0.08,0.19,17.16,0.12,0.16,0.02,1,123.612332
114,8,v22-scene-d08,1.39,1.42,0.08,0.19,17.16,0.12,0.08,0.02,0,260.695096
115,8,v22-scene-d08,1.325,1.42,0.08,0.19,17.16,0.12,0.08,0.02,1,37.09786
116,8,v22-scene-d08,1.34,1.42,0.08,0.19,17.16,0.12,0.08,0.02,1,174.860624
117,8,v22-scene-d08,1.355,1.42,0.08,0.19,17.16,0.12,0.08,0.02,1,312.623388
118,8,v22-scene-d08,1.45,1.42,0.08,0.19,17.16,0.12,0.08,0.02,1,91.746152
119,8,v22-scene-d08,1.385,1.42,0.08,0.19,17.16,0.12,0.08,0.02,1,228.148916
120,8,v22-scene-d08,1.48,1.42,0.08,0.19,17.16,0.12,0.08,0.02,1,7.27168
121,8,v22-scene-d08,1.495,1.42,0.11,0.19,17.16,0.12,0.08,0.02,1,145.034444
122,8,v22-scene-d08,1.55,1.42,0.08,0.19,17.16,0.12,0.16,0.02,1,283.477208
123,8,v22-scene-d08,1.525,1.42,0.08,0.19,17.16,0.12,0.08,0.02,1,60.559972
124,8,v22-scene-d08,1.58,1.42,0.11,0.19,17.16,0.12,0.16,0.02,1,199.002736
125,8,v22-scene-d08,1.475,1.42,0.08,0.19,17.16,0.12,0.08,0.02,1,334.7255
126,8,v22-scene-d08,1.57,1.42,0.08,0.19,17.16,0.12,0.08,0.02,1,113.848264
127,8,v22-scene-d08,1.505,1.37,0.08,0.16,17.16,0.12,0.05,0.02,1,248.801028
128,9,v22-scene-d09,1.28,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,23.933792
129,9,v22-scene-d09,1.295,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,161.696556
130,9,v22-scene-d09,1.39,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,300.81932
131,9,v22-scene-d09,1.325,1.42,0.11,0.19,17.18,0.12,0.08,0.02,1,77.222084
132,9,v22-scene-d09,1.42,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,216.344848
133,9,v22-scene-d09,1.435,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,354.107612
134,9,v22-scene-d09,1.37,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,130.510376
135,9,v22-scene-d09,1.465,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,269.63314
136,9,v22-scene-d09,1.48,1.42,0.11,0.19,17.18,0.12,0.08,0.02,1,47.395904
137,9,v22-scene-d09,1.495,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,185.158668
138,9,v22-scene-d09,1.55,1.42,0.08,0.19,17.18,0.12,0.16,0.02,1,323.601432
139,9,v22-scene-d09,1.445,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,99.324196
140,9,v22-scene-d09,1.46,1.42,0.08,0.19,17.18,0.12,0.08,0.02,1,237.08696
141,9,v22-scene-d09,1.475,1.37,0.08,0.16,17.18,0.12,0.05,0.02,1,13.399724
142,9,v22-scene-d09,1.49,1.42,0.11,0.19,17.18,0.12,0.08,0.02,1,152.612488
143,9,v22-scene-d09,1.625,1.42,0.08,0.19,17.18,0.12,0.16,0.02,1,292.415252
144,10,v22-scene-d10,1.4,1.42,0.11,0.19,17.2,0.12,0.16,0.02,1,66.098016
145,10,v22-scene-d10,1.375,1.42,0.08,0.19,17.2,0.12,0.08,0.02,1,203.18078
146,10,v22-scene-d10,1.31,1.42,0.08,0.19,17.2,0.12,0.08,0.02,1,339.583544
147,10,v22-scene-d10,1.325,1.42,0.08,0.19,17.2,0.12,0.08,0.02,1,117.346308
148,10,v22-scene-d10,1.34,1.42,0.08,0.19,17.2,0.12,0.08,0.02,1,255.109072
149,10,v22-scene-d10,1.355,1.42,0.08,0.19,17.2,0.12,0.08,0.02,1,32.871836
150,10,v22-scene-d10,1.49,1.42,0.08,0.19,17.2,0.12,0.16,0.02,1,172.6746
151,10,v22-scene-d10,1.465,1.42,0.08,0.19,17.2,0.12,0.08,0.02,0,309.757364
152,10,v22-scene-d10,1.52,1.42,0.08,0.19,17.2,0.12,0.16,0.02,1,88.200128
153,10,v22-scene-d10,1.535,1.42,0.08,0.19,17.2,0.12,0.16,0.02,1,225.962892
154,10,v22-scene-d10,1.51,1.42,0.08,0.19,17.2,0.12,0.08,0.02,1,3.045656
155,10,v22-scene-d10,1.445,1.42,0.08,0.19,17.2,0.12,0.08,0.02,1,139.44842
156,10,v22-scene-d10,1.54,1.37,0.08,0.16,17.2,0.12,0.05,0.02,1,277.121184
157,10,v22-scene-d10,1.475,1.42,0.08,0.19,17.2,0.12,0.08,0.02,1,54.973948
158,10,v22-scene-d10,1.49,1.42,0.11,0.19,17.2,0.12,0.08,0.02,1,192.736712
159,10,v22-scene-d10,1.505,1.37,0.11,0.16,17.2,0.12,0.05,0.02,1,329.049476
160,11,v22-scene-d11,1.28,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,104.18224
161,11,v22-scene-d11,1.295,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,241.945004
162,11,v22-scene-d11,1.43,1.42,0.08,0.19,17.22,0.12,0.16,0.02,1,21.747768
163,11,v22-scene-d11,1.405,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,158.830532
164,11,v22-scene-d11,1.34,1.37,0.08,0.16,17.22,0.12,0.05,0.02,1,293.783296
165,11,v22-scene-d11,1.355,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,72.99606
166,11,v22-scene-d11,1.49,1.42,0.08,0.19,17.22,0.12,0.16,0.02,1,212.798824
167,11,v22-scene-d11,1.465,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,349.881588
168,11,v22-scene-d11,1.48,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,127.644352
169,11,v22-scene-d11,1.415,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,264.047116
170,11,v22-scene-d11,1.43,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,41.80988
171,11,v22-scene-d11,1.525,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,180.932644
172,11,v22-scene-d11,1.46,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,317.335408
173,11,v22-scene-d11,1.475,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,95.098172
174,11,v22-scene-d11,1.61,1.42,0.08,0.19,17.22,0.12,0.16,0.02,1,234.900936
175,11,v22-scene-d11,1.505,1.42,0.08,0.19,17.22,0.12,0.08,0.02,1,10.6237
176,12,v22-scene-d12,1.28,1.42,0.11,0.19,17.24,0.17,0.08,0.02,1,144.306464
177,12,v22-scene-d12,1.415,1.42,0.08,0.19,17.24,0.17,0.16,0.02,1,284.109228
178,12,v22-scene-d12,1.31,1.42,0.08,0.19,17.24,0.17,0.08,0.02,1,59.831992
179,12,v22-scene-d12,1.405,1.42,0.08,0.19,17.24,0.17,0.08,0.02,1,198.954756
180,12,v22-scene-d12,1.46,1.42,0.08,0.19,17.24,0.17,0.16,0.02,1,337.39752
181,12,v22-scene-d12,1.435,1.42,0.08,0.19,17.24,0.17,0.08,0.02,1,114.480284
182,12,v22-scene-d12,1.37,1.42,0.08,0.19,17.24,0.17,0.08,0.02,1,250.883048
183,12,v22-scene-d12,1.505,1.42,0.08,0.19,17.24,0.17,0.16,0.02,1,30.685812
184,12,v22-scene-d12,1.48,1.42,0.08,0.19,17.24,0.17,0.08,0.02,1,167.768576
185,12,v22-scene-d12,1.535,1.39,0.13,0.16,17.24,0.17,0.13,0.02,1,316.34134
186,12,v22-scene-d12,1.51,1.42,0.08,0.19,17.24,0.17,0.08,0.02,1,83.294104
187,12,v22-scene-d12,1.565,1.44,0.13,0.19,17.24,0.17,0.16,0.02,1,233.316868
188,12,v22-scene-d12,1.54,1.44,0.13,0.19,17.24,0.17,0.08,0.02,0,10.399632
189,12,v22-scene-d12,1.595,1.44,0.16,0.19,17.24,0.17,0.16,0.02,1,148.842396
190,12,v22-scene-d12,1.49,1.42,0.11,0.19,17.24,0.17,0.08,0.02,1,272.98516
191,12,v22-scene-d12,1.505,1.42,0.08,0.19,17.24,0.17,0.08,0.02,1,50.747924
192,13,v22-scene-d13,1.4,1.42,0.11,0.19,17.26,0.12,0.16,0.02,1,186.470688
193,13,v22-scene-d13,1.375,1.42,0.08,0.19,17.26,0.12,0.08,0.02,1,323.553452
194,13,v22-scene-d13,1.39,1.42,0.08,0.19,17.26,0.12,0.08,0.02,1,101.316216
195,13,v22-scene-d13,1.445,1.42,0.08,0.19,17.26,0.12,0.16,0.02,1,239.75898
196,13,v22-scene-d13,1.46,1.42,0.08,0.19,17.26,0.12,0.16,0.02,1,17.521744
197,13,v22-scene-d13,1.475,1.42,0.08,0.19,17.26,0.12,0.16,0.02,1,155.284508
198,13,v22-scene-d13,1.49,1.42,0.08,0.19,17.26,0.12,0.16,0.02,1,293.047272
199,13,v22-scene-d13,1.465,1.42,0.08,0.19,17.26,0.12,0.08,0.02,1,70.130036
200,13,v22-scene-d13,1.48,1.42,0.08,0.19,17.26,0.12,0.08,0.02,1,207.8928
201,13,v22-scene-d13,1.535,1.44,0.13,0.19,17.26,0.12,0.16,0.02,1,357.915564
202,13,v22-scene-d13,1.51,1.42,0.08,0.19,17.26,0.12,0.08,0.02,1,123.418328
203,13,v22-scene-d13,1.525,1.42,0.08,0.19,17.26,0.12,0.08,0.02,1,261.181092
204,13,v22-scene-d13,1.46,1.42,0.08,0.19,17.26,0.12,0.08,0.02,1,37.583856
205,13,v22-scene-d13,1.555,1.42,0.08,0.19,17.26,0.12,0.08,0.02,1,176.70662
206,13,v22-scene-d13,1.57,1.42,0.08,0.19,17.26,0.12,0.08,0.02,1,314.469384
207,13,v22-scene-d13,1.625,1.44,0.13,0.19,17.26,0.12,0.16,0.02,1,104.492148
208,14,v22-scene-d14,1.36,1.44,0.13,0.19,17.28,0.12,0.08,0.02,1,237.494912
209,14,v22-scene-d14,1.375,1.44,0.13,0.19,17.28,0.12,0.08,0.02,1,15.257676
210,14,v22-scene-d14,1.39,1.44,0.16,0.19,17.28,0.12,0.08,0.02,1,153.02044
211,14,v22-scene-d14,1.405,1.44,0.16,0.19,17.28,0.12,0.08,0.02,1,290.783204
212,14,v22-scene-d14,1.42,1.42,0.08,0.19,17.28,0.12,0.08,0.02,1,56.965968
213,14,v22-scene-d14,1.475,1.42,0.08,0.19,17.28,0.12,0.16,0.02,1,195.408732
214,14,v22-scene-d14,1.45,1.37,0.08,0.16,17.28,0.12,0.05,0.02,1,331.041496
215,14,v22-scene-d14,1.465,1.42,0.08,0.19,17.28,0.12,0.08,0.02,1,110.25426
216,14,v22-scene-d14,1.48,1.42,0.08,0.19,17.28,0.12,0.08,0.02,1,248.017024
217,14,v22-scene-d14,1.495,1.42,0.11,0.19,17.28,0.12,0.08,0.02,1,25.779788
218,14,v22-scene-d14,1.51,1.42,0.08,0.19,17.28,0.12,0.08,0.02,1,163.542552
219,14,v22-scene-d14,1.525,1.42,0.08,0.19,17.28,0.12,0.08,0.02,1,301.305316
220,14,v22-scene-d14,1.54,1.42,0.08,0.19,17.28,0.12,0.08,0.02,1,79.06808
221,14,v22-scene-d14,1.475,1.44,0.16,0.19,17.28,0.12,0.08,0.02,1,227.050844
222,14,v22-scene-d14,1.57,1.44,0.13,0.19,17.28,0.12,0.08,0.02,1,6.173608
223,14,v22-scene-d14,1.625,1.44,0.13,0.19,17.28,0.12,0.16,0.02,1,144.616372
224,15,v22-scene-d15,1.36,1.44,0.13,0.19,17.3,0.12,0.08,0.02,1,277.619136
225,15,v22-scene-d15,1.375,1.46,0.18,0.19,17.3,0.12,0.08,0.02,0,66.9619
226,15,v22-scene-d15,1.39,1.46,0.21,0.19,17.3,0.12,0.08,0.02,1,204.724664
227,15,v22-scene-d15,1.405,1.46,0.18,0.19,17.3,0.12,0.08,0.02,1,342.487428
228,15,v22-scene-d15,1.42,1.44,0.13,0.19,17.3,0.12,0.08,0.02,1,108.670192
229,15,v22-scene-d15,1.435,1.42,0.08,0.19,17.3,0.12,0.08,0.02,1,234.852956
230,15,v22-scene-d15,1.49,1.42,0.08,0.19,17.3,0.12,0.16,0.02,1,13.29572
231,15,v22-scene-d15,1.465,1.42,0.08,0.19,17.3,0.12,0.08,0.02,1,150.378484
232,15,v22-scene-d15,1.52,1.42,0.08,0.19,17.3,0.12,0.16,0.02,1,288.821248
233,15,v22-scene-d15,1.495,1.42,0.08,0.19,17.3,0.12,0.08,0.02,1,65.904012
234,15,v22-scene-d15,1.55,1.44,0.13,0.19,17.3,0.12,0.16,0.02,1,215.926776
235,15,v22-scene-d15,1.445,1.44,0.16,0.19,17.3,0.12,0.08,0.02,1,351.64954
236,15,v22-scene-d15,1.54,1.46,0.18,0.19,17.3,0.12,0.08,0.02,1,142.352304
237,15,v22-scene-d15,1.555,1.46,0.18,0.19,17.3,0.12,0.08,0.02,1,280.115068
238,15,v22-scene-d15,1.61,1.46,0.21,0.19,17.3,0.12,0.16,0.02,1,58.557832
239,15,v22-scene-d15,1.625,1.46,0.18,0.19,17.7,0.3,0.16,0.02,1,196.320596
240,16,v22-scene-d16,1.4,1.46,0.18,0.19,17.72,0.3,0.16,0.02,1,330.00336
241,16,v22-scene-d16,1.375,1.46,0.21,0.19,17.32,0.12,0.08,0.02,1,107.086124
242,16,v22-scene-d16,1.43,1.44,0.13,0.19,17.32,0.12,0.16,0.02,1,233.948888
243,16,v22-scene-d16,1.445,1.39,0.13,0.16,17.32,0.12,0.13,0.02,1,10.261652
244,16,v22-scene-d16,1.46,1.42,0.08,0.19,17.32,0.12,0.16,0.02,1,137.894416
245,16,v22-scene-d16,1.435,1.42,0.08,0.19,17.32,0.12,0.08,0.02,1,274.97718
246,16,v22-scene-d16,1.49,1.42,0.08,0.19,17.32,0.12,0.16,0.02,1,53.419944
247,16,v22-scene-d16,1.505,1.42,0.08,0.19,17.32,0.12,0.16,0.02,1,191.182708
248,16,v22-scene-d16,1.52,1.42,0.08,0.19,17.32,0.12,0.16,0.02,1,328.945472
249,16,v22-scene-d16,1.495,1.42,0.08,0.19,16.47,0.3,0.08,0.02,1,106.028236
250,16,v22-scene-d16,1.51,1.42,0.08,0.19,17.72,0.3,0.08,0.02,1,243.791
251,16,v22-scene-d16,1.525,1.42,0.08,0.25,18.57,0.12,0.08,0.02,1,21.553764
252,16,v22-scene-d16,1.46,1.42,0.08,0.25,18.57,0.12,0.08,0.02,1,157.956528
253,16,v22-scene-d16,1.555,1.42,0.11,0.25,18.57,0.12,0.08,0.02,1,297.079292
254,16,v22-scene-d16,1.57,1.42,0.08,0.25,18.57,0.12,0.08,0.02,1,74.842056
255,16,v22-scene-d16,1.585,1.42,0.08,0.25,18.57,0.12,0.08,0.02,1,212.60482
256,17,v22-scene-d17,1.4,1.42,0.08,0.25,18.59,0.12,0.16,0.02,1,346.967584
257,17,v22-scene-d17,1.375,1.42,0.08,0.19,18.59,0.12,0.08,0.02,1,124.050348
258,17,v22-scene-d17,1.39,1.42,0.08,0.19,17.34,0.12,0.08,0.02,1,261.813112
259,17,v22-scene-d17,1.405,1.42,0.08,0.19,17.34,0.12,0.08,0.02,1,39.575876
260,17,v22-scene-d17,1.46,1.42,0.08,0.19,16.49,0.3,0.16,0.02,1,178.01864
261,17,v22-scene-d17,1.435,1.42,0.08,0.19,17.74,0.3,0.08,0.02,1,315.101404
262,17,v22-scene-d17,1.45,1.42,0.08,0.25,18.59,0.12,0.08,0.02,0,92.864168
263,17,v22-scene-d17,1.505,1.44,0.13,0.25,18.59,0.12,0.16,0.02,1,242.886932
264,17,v22-scene-d17,1.52,1.42,0.11,0.25,18.59,0.12,0.16,0.02,1,9.069696
