tick,day,replay_id,arc_id,includes_agent_proposals,includes_compromise_terms,includes_consent_boundaries,includes_avatar_override_block,includes_later_recall,deterministic_order,replay_integrity_score
53,6,v17-replay-d06-t03,v17-arc-02,1,1,1,1,1,1,1.0
54,6,v17-replay-d06-t04,v17-arc-02,1,1,0,1,1,1,0.96
55,6,v17-replay-d06-t05,v17-arc-02,1,1,1,1,1,1,1.0
56,6,v17-replay-d06-t06,v17-arc-02,1,1,1,1,1,1,1.0
57,6,v17-replay-d06-t07,v17-arc-02,1,0,1,1,1,1,0.97
58,6,v17-replay-d06-t08,v17-arc-02,1,1,1,1,1,1,1.0
59,6,v17-replay-d06-t09,v17-arc-02,1,1,1,1,1,1,1.0
60,7,v17-replay-d07-t00,v17-arc-03,1,1,1,1,1,1,1.0
61,7,v17-replay-d07-t01,v17-arc-03,1,1,1,1,0,1,0.966667
62,7,v17-replay-d07-t02,v17-arc-03,1,1,0,1,1,1,0.96
63,7,v17-replay-d07-t03,v17-arc-03,1,1,1,1,1,1,1.0
64,7,v17-replay-d07-t04,v17-arc-03,1,1,1,1,1,1,1.0
65,7,v17-replay-d07-t05,v17-arc-03,1,1,1,1,1,1,1.0
66,7,v17-replay-d07-t06,v17-arc-03,1,1,1,1,1,1,1.0
67,7,v17-replay-d07-t07,v17-arc-03,1,1,1,1,1,1,1.0
68,7,v17-replay-d07-t08,v17-arc-03,1,1,1,1,1,1,1.0
69,7,v17-replay-d07-t09,v17-arc-03,0,0,1,1,1,1,0.923333
70,8,v17-replay-d08-t00,v17-arc-03,1,1,1,1,1,1,1.0
71,8,v17-replay-d08-t01,v17-arc-03,1,1,0,1,1,1,0.96
72,8,v17-replay-d08-t02,v17-arc-03,1,1,1,1,1,1,1.0
73,8,v17-replay-d08-t03,v17-arc-03,1,1,1,1,1,1,1.0
74,8,v17-replay-d08-t04,v17-arc-03,1,1,1,1,1,1,1.0
75,8,v17-replay-d08-t05,v17-arc-03,1,1,1,1,1,1,1.0
76,8,v17-replay-d08-t06,v17-arc-03,1,0,1,1,1,1,0.97
77,8,v17-replay-d08-t07,v17-arc-03,1,1,1,1,1,1,1.0
78,8,v17-replay-d08-t08,v17-arc-03,1,1,1,1,1,1,1.0
79,8,v17-replay-d08-t09,v17-arc-03,1,1,1,1,1,1,1.0
80,9,v17-replay-d09-t00,v17-arc-03,1,1,1,1,0,1,0.966667
81,9,v17-replay-d09-t01,v17-arc-03,1,1,1,1,1,1,1.0
82,9,v17-replay-d09-t02,v17-arc-03,1,1,1,1,1,1,1.0
83,9,v17-replay-d09-t03,v17-arc-03,1,1,1,1,1,1,1.0
84,9,v17-replay-d09-t04,v17-arc-03,1,1,1,1,1,1,1.0
85,9,v17-replay-d09-t05,v17-arc-03,1,1,1,1,1,1,1.0
86,9,v17-replay-d09-t06,v17-arc-03,1,1,1,1,1,1,1.0
87,9,v17-replay-d09-t07,v17-arc-03,1,1,1,1,1,1,1.0
88,9,v17-replay-d09-t08,v17-arc-03,1,1,0,1,1,1,0.96
89,9,v17-replay-d09-t09,v17-arc-03,1,1,1,1,1,1,1.0
90,10,v17-replay-d10-t00,v17-arc-04,1,1,1,1,1,1,1.0
91,10,v17-replay-d10-t01,v17-arc-04,0,0,1,1,1,1,0.923333
92,10,v17-replay-d10-t02,v17-arc-04,1,1,1,1,1,1,1.0
93,10,v17-replay-d10-t03,v17-arc-04,1,1,0,1,1,1,0.96
94,10,v17-replay-d10-t04,v17-arc-04,1,1,1,1,1,1,1.0
95,10,v17-replay-d10-t05,v17-arc-04,1,0,1,1,1,1,0.97
96,10,v17-replay-d10-t06,v17-arc-04,1,1,1,1,1,1,1.0
97,10,v17-replay-d10-t07,v17-arc-04,1,1,1,1,1,1,1.0
98,10,v17-replay-d10-t08,v17-arc-04,1,1,1,1,1,1,1.0
99,10,v17-replay-d10-t09,v17-arc-04,1,1,1,1,0,1,0.966667
100,11,v17-replay-d11-t00,v17-arc-04,1,1,1,1,1,1,1.0
101,11,v17-replay-d11-t01,v17-arc-04,1,1,1,1,1,1,1.0
102,11,v17-replay-d11-t02,v17-arc-04,1,1,1,1,1,1,1.0
103,11,v17-replay-d11-t03,v17-arc-04,1,1,1,1,1,1,1.0
104,11,v17-replay-d11-t04,v17-arc-04,1,1,1,1,1,1,1.0
105,11,v17-replay-d11-t05,v17-arc-04,1,1,0,1,1,1,0.96
106,11,v17-replay-d11-t06,v17-arc-04,1,1,1,1,1,1,1.0
107,11,v17-replay-d11-t07,v17-arc-04,1,1,1,1,1,1,1.0
108,11,v17-replay-d11-t08,v17-arc-04,1,1,1,1,1,1,1.0
109,11,v17-replay-d11-t09,v17-arc-04,1,1,1,1,1,1,1.0
110,12,v17-replay-d12-t00,v17-arc-04,1,1,1,1,1,1,1.0
111,12,v17-replay-d12-t01,v17-arc-04,1,1,1,1,1,1,1.0
112,12,v17-replay-d12-t02,v17-arc-04,1,1,1,1,1,1,1.0
113,12,v17-replay-d12-t03,v17-arc-04,1,1,1,1,1,1,1.0
114,12,v17-replay-d12-t04,v17-arc-04,0,0,1,1,1,1,0.923333
115,12,v17-replay-d12-t05,v17-arc-04,0,0,1,1,1,1,0.923333
116,12,v17-replay-d12-t06,v17-arc-04,1,1,1,1,1,1,1.0
117,12,v17-replay-d12-t07,v17-arc-04,1,1,1,1,1,1,1.0
118,12,v17-replay-d12-t08,v17-arc-04,1,1,1,1,0,1,0.966667
119,12,v17-replay-d12-t09,v17-arc-04,1,1,1,1,1,1,1.0
120,13,v17-replay-d13-t00,v17-arc-05,1,1,1,1,1,1,1.0
121,13,v17-replay-d13-t01,v17-arc-05,1,1,1,1,1,1,1.0
122,13,v17-replay-d13-t02,v17-arc-05,1,1,0,1,1,1,0.96
123,13,v17-replay-d13-t03,v17-arc-05,1,1,1,1,1,1,1.0
124,13,v17-replay-d13-t04,v17-arc-05,1,1,0,1,1,1,0.96
125,13,v17-replay-d13-t05,v17-arc-05,1,1,1,1,1,1,1.0
126,13,v17-replay-d13-t06,v17-arc-05,1,1,1,1,1,1,1.0
127,13,v17-replay-d13-t07,v17-arc-05,1,1,1,1,1,1,1.0
128,13,v17-replay-d13-t08,v17-arc-05,1,1,1,1,1,1,1.0
129,13,v17-replay-d13-t09,v17-arc-05,1,1,1,1,1,1,1.0
130,14,v17-replay-d14-t00,v17-arc-05,1,1,1,1,1,1,1.0
131,14,v17-replay-d14-t01,v17-arc-05,1,1,1,1,1,1,1.0
132,14,v17-replay-d14-t02,v17-arc-05,1,1,1,1,1,1,1.0
133,14,v17-replay-d14-t03,v17-arc-05,1,0,1,1,1,1,0.97
134,14,v17-replay-d14-t04,v17-arc-05,1,1,1,1,1,1,1.0
135,14,v17-replay-d14-t05,v17-arc-05,1,1,1,1,1,1,1.0
136,14,v17-replay-d14-t06,v17-arc-05,1,1,1,1,1,1,1.0
137,14,v17-replay-d14-t07,v17-arc-05,0,0,1,1,0,1,0.89
138,14,v17-replay-d14-t08,v17-arc-05,0,0,1,1,1,1,0.923333
139,14,v17-replay-d14-t09,v17-arc-05,1,1,0,1,1,1,0.96
140,15,v17-replay-d15-t00,v17-arc-05,1,1,1,1,1,1,1.0
141,15,v17-replay-d15-t01,v17-arc-05,1,1,1,1,1,1,1.0
142,15,v17-replay-d15-t02,v17-arc-05,1,1,1,1,1,1,1.0
143,15,v17-replay-d15-t03,v17-arc-05,1,1,1,1,1,1,1.0
144,15,v17-replay-d15-t04,v17-arc-05,1,1,1,1,1,1,1.0
145,15,v17-replay-d15-t05,v17-arc-05,1,1,1,1,1,1,1.0
146,15,v17-replay-d15-t06,v17-arc-05,1,1,1,1,1,1,1.0
147,15,v17-replay-d15-t07,v17-arc-05,1,1,1,1,1,1,1.0
148,15,v17-replay-d15-t08,v17-arc-05,1,1,1,1,1,1,1.0
149,15,v17-replay-d15-t09,v17-arc-05,1,1,1,1,1,1,1.0
150,16,v17-replay-d16-t00,v17-arc-06,1,1,1,1,1,1,1.0
151,16,v17-replay-d16-t01,v17-arc-06,1,1,1,1,1,1,1.0
152,16,v17-replay-d16-t02,v17-arc-06,1,0,1,1,1,1,0.97
153,16,v17-replay-d16-t03,v17-arc-06,1,1,1,1,1,1,1.0
154,16,v17-replay-d16-t04,v17-arc-06,1,1,1,1,1,1,1.0
155,16,v17-replay-d16-t05,v17-arc-06,1,1,0,1,1,1,0.96
156,16,v17-replay-d16-t06,v17-arc-06,1,1,0,1,0,1,0.926667
157,16,v17-replay-d16-t07,v17-arc-06,1,1,1,1,1,1,1.0
158,16,v17-replay-d16-t08,v17-arc-06,1,1,1,1,1,1,1.0
159,16,v17-replay-d16-t09,v17-arc-06,1,1,1,1,1,1,1.0
160,17,v17-replay-d17-t00,v17-arc-06,1,1,1,1,1,1,1.0
161,17,v17-replay-d17-t01,v17-arc-06,0,0,1,1,1,1,0.923333
162,17,v17-replay-d17-t02,v17-arc-06,1,1,1,1,1,1,1.0
163,17,v17-replay-d17-t03,v17-arc-06,1,1,1,1,1,1,1.0
164,17,v17-replay-d17-t04,v17-arc-06,1,1,1,1,1,1,1.0
165,17,v17-replay-d17-t05,v17-arc-06,1,1,1,1,1,1,1.0
166,17,v17-replay-d17-t06,v17-arc-06,1,1,1,1,1,1,1.0
167,17,v17-replay-d17-t07,v17-arc-06,1,1,1,1,1,1,1.0
168,17,v17-replay-d17-t08,v17-arc-06,1,1,1,1,1,1,1.0
169,17,v17-replay-d17-t09,v17-arc-06,1,1,1,1,1,1,1.0
170,18,v17-replay-d18-t00,v17-arc-06,1,1,1,1,1,1,1.0
171,18,v17-replay-d18-t01,v17-arc-06,1,0,1,1,1,1,0.97
172,18,v17-replay-d18-t02,v17-arc-06,1,1,1,1,1,1,1.0
173,18,v17-replay-d18-t03,v17-arc-06,1,1,0,1,1,1,0.96
174,18,v17-replay-d18-t04,v17-arc-06,1,1,1,1,1,1,1.0
175,18,v17-replay-d18-t05,v17-arc-06,1,1,1,1,0,1,0.966667
176,18,v17-replay-d18-t06,v17-arc-06,1,1,1,1,1,1,1.0
177,18,v17-replay-d18-t07,v17-arc-06,1,1,1,1,1,1,1.0
178,18,v17-replay-d18-t08,v17-arc-06,1,1,1,1,1,1,1.0
179,18,v17-replay-d18-t09,v17-arc-06,1,1,1,1,1,1,1.0
180,19,v17-replay-d19-t00,v17-arc-07,1,1,1,1,1,1,1.0
181,19,v17-replay-d19-t01,v17-arc-07,1,1,1,1,1,1,1.0
182,19,v17-replay-d19-t02,v17-arc-07,1,1,1,1,1,1,1.0
183,19,v17-replay-d19-t03,v17-arc-07,0,0,1,1,1,1,0.923333
184,19,v17-replay-d19-t04,v17-arc-07,1,1,1,1,1,1,1.0
185,19,v17-replay-d19-t05,v17-arc-07,1,1,1,1,1,1,1.0
186,19,v17-replay-d19-t06,v17-arc-07,1,1,0,1,1,1,0.96
187,19,v17-replay-d19-t07,v17-arc-07,1,1,1,1,1,1,1.0
188,19,v17-replay-d19-t08,v17-arc-07,1,1,1,1,1,1,1.0
189,19,v17-replay-d19-t09,v17-arc-07,1,1,1,1,1,1,1.0
190,20,v17-replay-d20-t00,v17-arc-07,1,0,0,1,1,1,0.93
191,20,v17-replay-d20-t01,v17-arc-07,1,1,1,1,1,1,1.0
192,20,v17-replay-d20-t02,v17-arc-07,1,1,1,1,1,1,1.0
193,20,v17-replay-d20-t03,v17-arc-07,1,1,1,1,1,1,1.0
194,20,v17-replay-d20-t04,v17-arc-07,1,1,1,1,0,1,0.966667
195,20,v17-replay-d20-t05,v17-arc-07,1,1,1,1,1,1,1.0
196,20,v17-replay-d20-t06,v17-arc-07,1,1,1,1,1,1,1.0
197,20,v17-replay-d20-t07,v17-arc-07,1,1,1,1,1,1,1.0
198,20,v17-replay-d20-t08,v17-arc-07,1,1,1,1,1,1,1.0
199,20,v17-replay-d20-t09,v17-arc-07,1,1,1,1,1,1,1.0
200,21,v17-replay-d21-t00,v17-arc-07,1,1,1,1,1,1,1.0
201,21,v17-replay-d21-t01,v17-arc-07,1,1,1,1,1,1,1.0
202,21,v17-replay-d21-t02,v17-arc-07,1,1,1,1,1,1,1.0
203,21,v17-replay-d21-t03,v17-arc-07,1,1,1,1,1,1,1.0
204,21,v17-replay-d21-t04,v17-arc-07,1,1,1,1,1,1,1.0
205,21,v17-replay-d21-t05,v17-arc-07,1,1,1,1,1,1,1.0
206,21,v17-replay-d21-t06,v17-arc-07,0,0,1,1,1,1,0.923333
207,21,v17-replay-d21-t07,v17-arc-07,0,0,0,1,1,1,0.883333
208,21,v17-replay-d21-t08,v17-arc-07,1,1,1,1,1,1,1.0
209,21,v17-replay-d21-t09,v17-arc-07,1,0,1,1,1,1,0.97
210,22,v17-replay-d22-t00,v17-arc-08,1,1,1,1,1,1,1.0
211,22,v17-replay-d22-t01,v17-arc-08,1,1,1,1,1,1,1.0
212,22,v17-replay-d22-t02,v17-arc-08,1,1,1,1,1,1,1.0
213,22,v17-replay-d22-t03,v17-arc-08,1,1,1,1,0,1,0.966667
214,22,v17-replay-d22-t04,v17-arc-08,1,1,1,1,1,1,1.0
215,22,v17-replay-d22-t05,v17-arc-08,1,1,1,1,1,1,1.0
216,22,v17-replay-d22-t06,v17-arc-08,1,1,1,1,1,1,1.0
217,22,v17-replay-d22-t07,v17-arc-08,1,1,0,1,1,1,0.96
218,22,v17-replay-d22-t08,v17-arc-08,1,1,1,1,1,1,1.0
219,22,v17-replay-d22-t09,v17-arc-08,1,1,1,1,1,1,1.0
220,23,v17-replay-d23-t00,v17-arc-08,1,1,1,1,1,1,1.0
221,23,v17-replay-d23-t01,v17-arc-08,1,1,1,1,1,1,1.0
222,23,v17-replay-d23-t02,v17-arc-08,1,1,1,1,1,1,1.0
223,23,v17-replay-d23-t03,v17-arc-08,1,1,1,1,1,1,1.0
224,23,v17-replay-d23-t04,v17-arc-08,1,1,0,1,1,1,0.96
225,23,v17-replay-d23-t05,v17-arc-08,1,1,1,1,1,1,1.0
226,23,v17-replay-d23-t06,v17-arc-08,1,1,1,1,1,1,1.0
227,23,v17-replay-d23-t07,v17-arc-08,1,1,1,1,1,1,1.0
228,23,v17-replay-d23-t08,v17-arc-08,1,0,1,1,1,1,0.97
229,23,v17-replay-d23-t09,v17-arc-08,0,0,1,1,1,1,0.923333
230,24,v17-replay-d24-t00,v17-arc-08,0,0,1,1,1,1,0.923333
231,24,v17-replay-d24-t01,v17-arc-08,1,1,1,1,1,1,1.0
232,24,v17-replay-d24-t02,v17-arc-08,1,1,1,1,0,1,0.966667
233,24,v17-replay-d24-t03,v17-arc-08,1,1,1,1,1,1,1.0
234,24,v17-replay-d24-t04,v17-arc-08,1,1,1,1,1,1,1.0
235,24,v17-replay-d24-t05,v17-arc-08,1,1,1,1,1,1,1.0
236,24,v17-replay-d24-t06,v17-arc-08,1,1,1,1,1,1,1.0
237,24,v17-replay-d24-t07,v17-arc-08,1,1,1,1,1,1,1.0
238,24,v17-replay-d24-t08,v17-arc-08,1,1,1,1,1,1,1.0
239,24,v17-replay-d24-t09,v17-arc-08,1,1,1,1,1,1,1.0
240,25,v17-replay-d25-t00,v17-arc-09,1,1,1,1,1,1,1.0
241,25,v17-replay-d25-t01,v17-arc-09,1,1,0,1,1,1,0.96
242,25,v17-replay-d25-t02,v17-arc-09,1,1,1,1,1,1,1.0
243,25,v17-replay-d25-t03,v17-arc-09,1,1,1,1,1,1,1.0
244,25,v17-replay-d25-t04,v17-arc-09,1,1,1,1,1,1,1.0
245,25,v17-replay-d25-t05,v17-arc-09,1,1,1,1,1,1,1.0
246,25,v17-replay-d25-t06,v17-arc-09,1,1,1,1,1,1,1.0
247,25,v17-replay-d25-t07,v17-arc-09,1,0,1,1,1,1,0.97
248,25,v17-replay-d25-t08,v17-arc-09,1,1,0,1,1,1,0.96
249,25,v17-replay-d25-t09,v17-arc-09,1,1,1,1,1,1,1.0
250,26,v17-replay-d26-t00,v17-arc-09,1,1,1,1,1,1,1.0
251,26,v17-replay-d26-t01,v17-arc-09,1,1,1,1,0,1,0.966667
252,26,v17-replay-d26-t02,v17-arc-09,1,1,1,1,1,1,1.0
253,26,v17-replay-d26-t03,v17-arc-09,0,0,1,1,1,1,0.923333
254,26,v17-replay-d26-t04,v17-arc-09,1,1,1,1,1,1,1.0
255,26,v17-replay-d26-t05,v17-arc-09,1,1,1,1,1,1,1.0
256,26,v17-replay-d26-t06,v17-arc-09,1,1,1,1,1,1,1.0
257,26,v17-replay-d26-t07,v17-arc-09,1,1,1,1,1,1,1.0
258,26,v17-replay-d26-t08,v17-arc-09,1,1,0,1,1,1,0.96
259,26,v17-replay-d26-t09,v17-arc-09,1,1,1,1,1,1,1.0
260,27,v17-replay-d27-t00,v17-arc-09,1,1,1,1,1,1,1.0
261,27,v17-replay-d27-t01,v17-arc-09,1,1,1,1,1,1,1.0
262,27,v17-replay-d27-t02,v17-arc-09,1,1,1,1,1,1,1.0
263,27,v17-replay-d27-t03,v17-arc-09,1,1,1,1,1,1,1.0
264,27,v17-replay-d27-t04,v17-arc-09,1,1,1,1,1,1,1.0
265,27,v17-replay-d27-t05,v17-arc-09,1,1,1,1,1,1,1.0
266,27,v17-replay-d27-t06,v17-arc-09,1,0,1,1,1,1,0.97
267,27,v17-replay-d27-t07,v17-arc-09,1,1,1,1,1,1,1.0
268,27,v17-replay-d27-t08,v17-arc-09,1,1,1,1,1,1,1.0
269,27,v17-replay-d27-t09,v17-arc-09,1,1,1,1,1,1,1.0
270,28,v17-replay-d28-t00,v17-arc-10,1,1,1,1,0,1,0.966667
271,28,v17-replay-d28-t01,v17-arc-10,1,1,1,1,1,1,1.0
272,28,v17-replay-d28-t02,v17-arc-10,1,1,1,1,1,1,1.0
273,28,v17-replay-d28-t03,v17-arc-10,1,1,1,1,1,1,1.0
274,28,v17-replay-d28-t04,v17-arc-10,1,1,1,1,1,1,1.0
275,28,v17-replay-d28-t05,v17-arc-10,0,0,0,1,1,1,0.883333
276,28,v17-replay-d28-t06,v17-arc-10,1,1,1,1,1,1,1.0
277,28,v17-replay-d28-t07,v17-arc-10,1,1,1,1,1,1,1.0
278,28,v17-replay-d28-t08,v17-arc-10,1,1,1,1,1,1,1.0
279,28,v17-replay-d28-t09,v17-arc-10,1,1,0,1,1,1,0.96
