tick_id,day,route_id,agent,cause,body_reaction,reaction_visible,posture_delta,proximity_delta,sensory_cue_bound,followup_scheduled_tick,care_path_available
30,3,riverbend_roofward,Fay,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,36,True
32,3,archive_signal,Milo,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,36,True
33,3,signal_orchard,Ivo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,38,True
36,4,riverbend_roofward,Ari,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,39,True
38,4,archive_signal,Nia,merge_detour,"Nia blinks twice, then points toward the kiosk",False,opens,-0.045,True,43,True
39,4,signal_orchard,Milo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,45,True
41,4,central_repair_ring,Juno,rollback_direct,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,45,True
42,4,riverbend_roofward,Ari,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,45,True
44,4,archive_signal,Nia,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,49,True
45,4,signal_orchard,Milo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,51,True
48,5,riverbend_roofward,Fay,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,52,True
50,5,archive_signal,Milo,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,56,True
51,5,signal_orchard,Ivo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,54,True
53,5,central_repair_ring,Pax,rollback_direct,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,58,True
54,5,riverbend_roofward,Fay,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,58,True
56,5,archive_signal,Milo,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,62,True
57,5,signal_orchard,Ivo,animation_pause,Milo lifts the lantern and scans the path twice,False,guards,0.055,True,60,True
60,6,riverbend_roofward,Ari,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,65,True
62,6,archive_signal,Nia,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,65,True
63,6,signal_orchard,Milo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,67,True
65,6,central_repair_ring,Juno,rollback_direct,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,71,True
66,6,riverbend_roofward,Ari,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,71,True
68,6,archive_signal,Nia,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,71,True
69,6,signal_orchard,Milo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,73,True
72,7,riverbend_roofward,Fay,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,78,True
74,7,archive_signal,Milo,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,78,True
75,7,signal_orchard,Ivo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,80,True
77,7,central_repair_ring,Pax,rollback_direct,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,80,True
78,7,riverbend_roofward,Fay,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,84,True
80,7,archive_signal,Milo,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,84,True
81,7,signal_orchard,Ivo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,86,True
84,8,roofward_archive,Nia,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,88,True
86,8,signal_orchard,Ivo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,92,True
87,8,orchard_riverbend,Ari,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,90,True
89,8,riverbend_roofward,Fay,rollback_direct,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,92,True
90,8,roofward_archive,Nia,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,94,True
92,8,signal_orchard,Ivo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,98,True
93,8,orchard_riverbend,Ari,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,96,True
96,9,roofward_archive,Fay,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,101,True
98,9,signal_orchard,Milo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,101,True
99,9,orchard_riverbend,Ivo,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,103,True
101,9,riverbend_roofward,Ari,rollback_direct,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,105,True
102,9,roofward_archive,Fay,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,107,True
104,9,signal_orchard,Milo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,107,True
105,9,orchard_riverbend,Ivo,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,109,True
108,10,roofward_archive,Nia,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,114,True
110,10,signal_orchard,Ivo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,114,True
111,10,orchard_riverbend,Ari,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,116,True
113,10,riverbend_roofward,Fay,rollback_direct,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,118,True
114,10,roofward_archive,Nia,animation_play,Fay lowers her shoulders and uncurls her fingers,False,guards,0.055,True,120,True
116,10,signal_orchard,Ivo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,120,True
117,10,orchard_riverbend,Ari,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,122,True
120,11,roofward_archive,Fay,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,123,True
122,11,signal_orchard,Milo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,127,True
123,11,orchard_riverbend,Ivo,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,129,True
125,11,riverbend_roofward,Ari,rollback_direct,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,131,True
126,11,roofward_archive,Fay,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,129,True
128,11,signal_orchard,Milo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,133,True
129,11,orchard_riverbend,Ivo,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,135,True
132,12,roofward_archive,Nia,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,136,True
134,12,signal_orchard,Ivo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,140,True
135,12,orchard_riverbend,Ari,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,138,True
137,12,riverbend_roofward,Fay,rollback_direct,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,140,True
138,12,roofward_archive,Nia,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,142,True
140,12,signal_orchard,Ivo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,146,True
141,12,orchard_riverbend,Ari,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,144,True
144,13,roofward_archive,Fay,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,149,True
146,13,signal_orchard,Milo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,149,True
147,13,orchard_riverbend,Ivo,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,151,True
149,13,riverbend_roofward,Ari,rollback_direct,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,153,True
150,13,roofward_archive,Fay,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,155,True
152,13,signal_orchard,Milo,merge_detour,Milo lifts the lantern and scans the path twice,False,opens,-0.045,True,155,True
153,13,orchard_riverbend,Ivo,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,157,True
156,14,roofward_archive,Nia,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,162,True
158,14,signal_orchard,Ivo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,162,True
159,14,orchard_riverbend,Ari,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,164,True
160,14,central_repair_ring,Pax,animation_step,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,166,True
161,14,riverbend_roofward,Fay,rollback_direct,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,166,True
162,14,roofward_archive,Nia,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,168,True
164,14,signal_orchard,Ivo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,168,True
165,14,orchard_riverbend,Ari,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,170,True
166,14,central_repair_ring,Pax,animation_step,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,172,True
168,15,roofward_archive,Fay,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,171,True
170,15,signal_orchard,Milo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,175,True
171,15,orchard_riverbend,Ivo,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",False,guards,0.055,True,177,True
173,15,riverbend_roofward,Ari,rollback_direct,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,179,True
174,15,roofward_archive,Fay,animation_play,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,177,True
176,15,signal_orchard,Milo,merge_detour,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,181,True
177,15,orchard_riverbend,Ivo,animation_pause,"Ivo pats the satchel, then moves nearer to the dry planks",True,guards,0.055,True,183,True
180,16,archive_signal,Nia,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,185,True
181,16,signal_orchard,Milo,animation_step,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,187,True
182,16,orchard_riverbend,Ivo,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,185,True
183,16,central_repair_ring,Juno,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,187,True
185,16,roofward_archive,Fay,rollback_direct,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,189,True
186,16,archive_signal,Nia,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,191,True
187,16,signal_orchard,Milo,animation_step,Milo lifts the lantern and scans the path twice,True,opens,-0.045,True,193,True
188,16,orchard_riverbend,Ivo,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,191,True
189,16,central_repair_ring,Juno,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,193,True
192,17,archive_signal,Milo,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,198,True
194,17,orchard_riverbend,Ari,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,198,True
195,17,central_repair_ring,Pax,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,200,True
197,17,roofward_archive,Nia,rollback_direct,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,202,True
198,17,archive_signal,Milo,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,204,True
200,17,orchard_riverbend,Ari,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,204,True
201,17,central_repair_ring,Pax,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,206,True
204,18,archive_signal,Nia,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,207,True
206,18,orchard_riverbend,Ivo,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,211,True
207,18,central_repair_ring,Juno,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,213,True
209,18,roofward_archive,Fay,rollback_direct,Fay lowers her shoulders and uncurls her fingers,False,guards,0.055,True,215,True
210,18,archive_signal,Nia,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,213,True
212,18,orchard_riverbend,Ivo,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,217,True
213,18,central_repair_ring,Juno,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,219,True
215,18,roofward_archive,Fay,animation_step,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,221,True
216,19,archive_signal,Milo,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,220,True
218,19,orchard_riverbend,Ari,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,224,True
219,19,central_repair_ring,Pax,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,222,True
220,19,riverbend_roofward,Fay,animation_step,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,226,True
221,19,roofward_archive,Nia,rollback_direct,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,224,True
222,19,archive_signal,Milo,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,226,True
224,19,orchard_riverbend,Ari,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,230,True
225,19,central_repair_ring,Pax,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,228,True
226,19,riverbend_roofward,Fay,animation_step,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,232,True
228,20,archive_signal,Nia,animation_play,"Nia blinks twice, then points toward the kiosk",False,opens,-0.045,True,233,True
230,20,orchard_riverbend,Ivo,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,233,True
231,20,central_repair_ring,Juno,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,235,True
233,20,roofward_archive,Fay,rollback_direct,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,237,True
234,20,archive_signal,Nia,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,239,True
236,20,orchard_riverbend,Ivo,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,239,True
237,20,central_repair_ring,Juno,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,241,True
240,21,archive_signal,Milo,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,246,True
242,21,orchard_riverbend,Ari,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,246,True
243,21,central_repair_ring,Pax,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,248,True
245,21,roofward_archive,Nia,rollback_direct,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,250,True
246,21,archive_signal,Milo,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,252,True
247,21,signal_orchard,Ivo,rollback_direct,Milo lifts the lantern and scans the path twice,False,guards,0.055,True,250,True
248,21,orchard_riverbend,Ari,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,252,True
249,21,central_repair_ring,Pax,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,254,True
252,22,archive_signal,Nia,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,255,True
254,22,orchard_riverbend,Ivo,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,259,True
255,22,central_repair_ring,Juno,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,261,True
257,22,roofward_archive,Fay,rollback_direct,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,263,True
258,22,archive_signal,Nia,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,261,True
260,22,orchard_riverbend,Ivo,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,265,True
261,22,central_repair_ring,Juno,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,267,True
264,23,archive_signal,Milo,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,268,True
266,23,orchard_riverbend,Ari,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",False,opens,-0.045,True,272,True
267,23,central_repair_ring,Pax,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,270,True
269,23,roofward_archive,Nia,rollback_direct,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,272,True
270,23,archive_signal,Milo,animation_play,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,274,True
272,23,orchard_riverbend,Ari,merge_detour,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,278,True
273,23,central_repair_ring,Pax,animation_pause,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,276,True
276,24,signal_orchard,Ivo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,282,True
278,24,central_repair_ring,Pax,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,282,True
279,24,riverbend_roofward,Fay,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,282,True
281,24,archive_signal,Milo,rollback_direct,"Nia blinks twice, then points toward the kiosk",True,guards,0.055,True,286,True
282,24,signal_orchard,Ivo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,288,True
284,24,central_repair_ring,Pax,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,288,True
285,24,riverbend_roofward,Fay,animation_pause,"Ari shakes water from sleeves, then leans closer",False,guards,0.055,True,288,True
288,25,signal_orchard,Milo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,291,True
290,25,central_repair_ring,Juno,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,295,True
291,25,riverbend_roofward,Ari,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,295,True
293,25,archive_signal,Nia,rollback_direct,"Nia blinks twice, then points toward the kiosk",True,guards,0.055,True,299,True
294,25,signal_orchard,Milo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,297,True
296,25,central_repair_ring,Juno,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,301,True
297,25,riverbend_roofward,Ari,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,301,True
300,26,signal_orchard,Ivo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,304,True
302,26,central_repair_ring,Pax,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,308,True
303,26,riverbend_roofward,Fay,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,308,True
305,26,archive_signal,Milo,rollback_direct,"Nia blinks twice, then points toward the kiosk",True,guards,0.055,True,308,True
306,26,signal_orchard,Ivo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,310,True
308,26,central_repair_ring,Pax,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,314,True
309,26,riverbend_roofward,Fay,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,314,True
312,27,signal_orchard,Milo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,317,True
314,27,central_repair_ring,Juno,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,317,True
315,27,riverbend_roofward,Ari,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,321,True
317,27,archive_signal,Nia,rollback_direct,"Nia blinks twice, then points toward the kiosk",True,guards,0.055,True,321,True
318,27,signal_orchard,Milo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,323,True
320,27,central_repair_ring,Juno,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,323,True
321,27,riverbend_roofward,Ari,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,327,True
324,28,signal_orchard,Ivo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,330,True
326,28,central_repair_ring,Pax,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,330,True
327,28,riverbend_roofward,Fay,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,330,True
329,28,archive_signal,Milo,rollback_direct,"Nia blinks twice, then points toward the kiosk",True,guards,0.055,True,334,True
330,28,signal_orchard,Ivo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,336,True
332,28,central_repair_ring,Pax,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,336,True
333,28,riverbend_roofward,Fay,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,336,True
336,29,signal_orchard,Milo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,339,True
338,29,central_repair_ring,Juno,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,343,True
339,29,riverbend_roofward,Ari,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,343,True
341,29,archive_signal,Nia,rollback_direct,"Nia blinks twice, then points toward the kiosk",True,guards,0.055,True,347,True
342,29,signal_orchard,Milo,animation_play,Milo lifts the lantern and scans the path twice,False,guards,0.055,True,345,True
344,29,central_repair_ring,Juno,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,349,True
345,29,riverbend_roofward,Ari,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,349,True
348,30,signal_orchard,Ivo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,352,True
350,30,central_repair_ring,Pax,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,356,True
351,30,riverbend_roofward,Fay,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,356,True
353,30,archive_signal,Milo,rollback_direct,"Nia blinks twice, then points toward the kiosk",True,guards,0.055,True,356,True
354,30,signal_orchard,Ivo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,358,True
356,30,central_repair_ring,Pax,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,362,True
357,30,riverbend_roofward,Fay,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,362,True
360,31,signal_orchard,Milo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,365,True
362,31,central_repair_ring,Juno,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,365,True
363,31,riverbend_roofward,Ari,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,369,True
365,31,archive_signal,Nia,rollback_direct,"Nia blinks twice, then points toward the kiosk",True,guards,0.055,True,369,True
366,31,signal_orchard,Milo,animation_play,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,371,True
368,31,central_repair_ring,Juno,merge_detour,"Juno covers the wire, exhales, then nods once",True,opens,-0.045,True,371,True
369,31,riverbend_roofward,Ari,animation_pause,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,375,True
372,32,orchard_riverbend,Ivo,animation_play,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,375,True
374,32,riverbend_roofward,Ari,merge_detour,"Ari shakes water from sleeves, then leans closer",True,opens,-0.045,True,377,True
375,32,roofward_archive,Fay,animation_pause,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,379,True
377,32,signal_orchard,Milo,rollback_direct,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,383,True
378,32,orchard_riverbend,Ivo,animation_play,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,381,True
380,32,riverbend_roofward,Ari,merge_detour,"Ari shakes water from sleeves, then leans closer",False,opens,-0.045,True,383,True
381,32,roofward_archive,Fay,animation_pause,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,385,True
384,33,orchard_riverbend,Ari,animation_play,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,388,True
386,33,riverbend_roofward,Fay,merge_detour,"Ari shakes water from sleeves, then leans closer",True,opens,-0.045,True,390,True
387,33,roofward_archive,Nia,animation_pause,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,392,True
389,33,signal_orchard,Ivo,rollback_direct,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,392,True
390,33,orchard_riverbend,Ari,animation_play,"Ivo pats the satchel, then moves nearer to the dry planks",True,opens,-0.045,True,394,True
392,33,riverbend_roofward,Fay,merge_detour,"Ari shakes water from sleeves, then leans closer",True,opens,-0.045,True,396,True
393,33,roofward_archive,Nia,animation_pause,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,398,True
