epoch_id,simulated_year,settlement_id,proto_family,root_count,lexicon_size,grammar_complexity,dialect_split_count,mutual_intelligibility,example_phrase,not_autonomous_language_claim,frequency_hz,flower_phase
58,55,lichen_bridge,proto-bridge-hum,17,124,0.206,0,0.98,bridge hum keeps rope-touch 0,True,8.45222,0.198778
59,55,orchid_engine,proto-engine-ring,18,126,0.206,0,0.98,engine ring keeps valve-pause 0,True,10.78522,0.221778
60,60,moss_ward,proto-moss-breath,14,118,0.206,0,0.98,moss breath keeps door-watch 10,True,6.12822,0.189667
61,60,glass_harbor,proto-harbor-chime,15,120,0.206,0,0.98,harbor chime keeps lamp-touch 0,True,7.27122,0.202667
62,60,cinder_garden,proto-cinder-pulse,16,122,0.206,0,0.98,cinder pulse keeps seed-count 1,True,9.83422,0.223667
63,60,lichen_bridge,proto-bridge-hum,17,124,0.206,0,0.98,bridge hum keeps signal-hush 1,True,8.50722,0.212667
64,60,orchid_engine,proto-engine-ring,18,126,0.206,0,0.98,engine ring keeps orchid-cup 1,True,10.84022,0.235667
65,65,moss_ward,proto-moss-breath,14,118,0.206,0,0.98,moss breath keeps blanket-share 11,True,6.18322,0.203556
66,65,glass_harbor,proto-harbor-chime,15,120,0.206,0,0.98,harbor chime keeps tea-before-crossing 1,True,7.32622,0.216556
67,65,cinder_garden,proto-cinder-pulse,16,122,0.206,0,0.98,cinder pulse keeps cool-hand 2,True,9.88922,0.237556
68,65,lichen_bridge,proto-bridge-hum,17,124,0.206,0,0.98,bridge hum keeps shared-bowl 2,True,8.56222,0.226556
69,65,orchid_engine,proto-engine-ring,18,126,0.206,0,0.98,engine ring keeps gear-wash-thanks 2,True,10.89522,0.249556
70,70,moss_ward,proto-moss-breath,14,118,0.206,0,0.98,moss breath keeps warm-cup 12,True,6.23822,0.217444
71,70,glass_harbor,proto-harbor-chime,15,120,0.206,0,0.98,harbor chime keeps net-knot-thanks 2,True,7.38122,0.230444
72,70,cinder_garden,proto-cinder-pulse,16,122,0.206,0,0.98,cinder pulse keeps shade-bow 3,True,9.94422,0.251444
73,70,lichen_bridge,proto-bridge-hum,17,124,0.206,0,0.98,bridge hum keeps rope-touch 3,True,8.61722,0.240444
74,70,orchid_engine,proto-engine-ring,18,126,0.206,0,0.98,engine ring keeps valve-pause 3,True,10.95022,0.263444
75,75,moss_ward,proto-moss-breath,15,125,0.216,0,0.98,moss breath keeps door-watch 1,True,6.30992,0.232333
76,75,glass_harbor,proto-harbor-chime,16,127,0.216,0,0.98,harbor chime keeps tea-before-crossing 4,True,7.45292,0.245333
77,75,cinder_garden,proto-cinder-pulse,17,129,0.216,0,0.98,cinder pulse keeps cool-hand 5,True,10.01592,0.266333
78,75,lichen_bridge,proto-bridge-hum,18,131,0.216,0,0.98,bridge hum keeps shared-bowl 5,True,8.68892,0.255333
79,75,orchid_engine,proto-engine-ring,19,133,0.216,0,0.98,engine ring keeps gear-wash-thanks 5,True,11.02192,0.278333
80,80,moss_ward,proto-moss-breath,15,125,0.216,0,0.98,moss breath keeps blanket-share 2,True,6.36492,0.246222
81,80,glass_harbor,proto-harbor-chime,16,127,0.216,0,0.98,harbor chime keeps net-knot-thanks 5,True,7.50792,0.259222
82,80,cinder_garden,proto-cinder-pulse,17,129,0.216,0,0.98,cinder pulse keeps shade-bow 6,True,10.07092,0.280222
83,80,lichen_bridge,proto-bridge-hum,18,131,0.216,0,0.98,bridge hum keeps rope-touch 6,True,8.74392,0.269222
84,80,orchid_engine,proto-engine-ring,19,133,0.216,0,0.98,engine ring keeps valve-pause 6,True,11.07692,0.292222
85,85,moss_ward,proto-moss-breath,15,125,0.216,0,0.98,moss breath keeps warm-cup 3,True,6.41992,0.260111
86,85,glass_harbor,proto-harbor-chime,16,127,0.216,0,0.98,harbor chime keeps lamp-touch 6,True,7.56292,0.273111
87,85,cinder_garden,proto-cinder-pulse,17,129,0.216,0,0.98,cinder pulse keeps seed-count 7,True,10.12592,0.294111
88,85,lichen_bridge,proto-bridge-hum,18,131,0.216,0,0.98,bridge hum keeps signal-hush 7,True,8.79892,0.283111
89,85,orchid_engine,proto-engine-ring,19,133,0.216,0,0.98,engine ring keeps orchid-cup 7,True,11.13192,0.306111
90,90,moss_ward,proto-moss-breath,15,125,0.216,0,0.98,moss breath keeps door-watch 4,True,6.47492,0.274
91,90,glass_harbor,proto-harbor-chime,16,127,0.216,0,0.98,harbor chime keeps tea-before-crossing 7,True,7.61792,0.287
92,90,cinder_garden,proto-cinder-pulse,17,129,0.216,0,0.98,cinder pulse keeps cool-hand 8,True,10.18092,0.308
93,90,lichen_bridge,proto-bridge-hum,18,131,0.216,0,0.98,bridge hum keeps shared-bowl 8,True,8.85392,0.297
94,90,orchid_engine,proto-engine-ring,19,133,0.216,0,0.98,engine ring keeps gear-wash-thanks 8,True,11.18692,0.32
95,95,moss_ward,proto-moss-breath,15,125,0.216,0,0.98,moss breath keeps blanket-share 5,True,6.52992,0.287889
96,95,glass_harbor,proto-harbor-chime,16,127,0.216,0,0.98,harbor chime keeps net-knot-thanks 8,True,7.67292,0.300889
97,95,cinder_garden,proto-cinder-pulse,17,129,0.216,0,0.98,cinder pulse keeps shade-bow 9,True,10.23592,0.321889
98,95,lichen_bridge,proto-bridge-hum,18,131,0.216,0,0.98,bridge hum keeps rope-touch 9,True,8.90892,0.310889
99,95,orchid_engine,proto-engine-ring,19,133,0.216,0,0.98,engine ring keeps valve-pause 9,True,11.24192,0.333889
100,100,moss_ward,proto-moss-breath,15,130,0.226,0,0.98,moss breath keeps door-watch 7,True,6.58862,0.302778
101,100,glass_harbor,proto-harbor-chime,16,132,0.226,0,0.98,harbor chime keeps tea-before-crossing 10,True,7.73162,0.315778
102,100,cinder_garden,proto-cinder-pulse,17,134,0.226,0,0.98,cinder pulse keeps cool-hand 11,True,10.29462,0.336778
103,100,lichen_bridge,proto-bridge-hum,18,136,0.226,0,0.98,bridge hum keeps shared-bowl 11,True,8.96762,0.325778
104,100,orchid_engine,proto-engine-ring,19,138,0.226,0,0.98,engine ring keeps gear-wash-thanks 11,True,11.30062,0.348778
105,105,moss_ward,proto-moss-breath,15,130,0.226,0,0.98,moss breath keeps blanket-share 8,True,6.64362,0.316667
106,105,glass_harbor,proto-harbor-chime,16,132,0.226,0,0.98,harbor chime keeps net-knot-thanks 11,True,7.78662,0.329667
107,105,cinder_garden,proto-cinder-pulse,17,134,0.226,0,0.98,cinder pulse keeps shade-bow 12,True,10.34962,0.350667
108,105,lichen_bridge,proto-bridge-hum,18,136,0.226,0,0.98,bridge hum keeps rope-touch 12,True,9.02262,0.339667
109,105,orchid_engine,proto-engine-ring,19,138,0.226,0,0.98,engine ring keeps valve-pause 12,True,11.35562,0.362667
110,110,moss_ward,proto-moss-breath,15,130,0.226,0,0.98,moss breath keeps warm-cup 9,True,6.69862,0.330556
111,110,glass_harbor,proto-harbor-chime,16,132,0.226,0,0.98,harbor chime keeps lamp-touch 12,True,7.84162,0.343556
112,110,cinder_garden,proto-cinder-pulse,17,134,0.226,0,0.98,cinder pulse keeps shade-bow 0,True,10.40462,0.364556
113,110,lichen_bridge,proto-bridge-hum,18,136,0.226,0,0.98,bridge hum keeps rope-touch 0,True,9.07762,0.353556
114,110,orchid_engine,proto-engine-ring,19,138,0.226,0,0.98,engine ring keeps valve-pause 0,True,11.41062,0.376556
115,115,moss_ward,proto-moss-breath,15,130,0.226,0,0.98,moss breath keeps door-watch 10,True,6.75362,0.344444
116,115,glass_harbor,proto-harbor-chime,16,132,0.226,0,0.98,harbor chime keeps lamp-touch 0,True,7.89662,0.357444
117,115,cinder_garden,proto-cinder-pulse,17,134,0.226,0,0.98,cinder pulse keeps seed-count 1,True,10.45962,0.378444
118,115,lichen_bridge,proto-bridge-hum,18,136,0.226,0,0.98,bridge hum keeps signal-hush 1,True,9.13262,0.367444
119,115,orchid_engine,proto-engine-ring,19,138,0.226,0,0.98,engine ring keeps orchid-cup 1,True,11.46562,0.390444
120,120,moss_ward,proto-moss-breath,15,130,0.226,0,0.98,moss breath keeps blanket-share 11,True,6.80862,0.358333
121,120,glass_harbor,proto-harbor-chime,16,132,0.226,0,0.98,harbor chime keeps tea-before-crossing 1,True,7.95162,0.371333
122,120,cinder_garden,proto-cinder-pulse,17,134,0.226,0,0.98,cinder pulse keeps cool-hand 2,True,10.51462,0.392333
123,120,lichen_bridge,proto-bridge-hum,18,136,0.226,0,0.98,bridge hum keeps shared-bowl 2,True,9.18762,0.381333
124,120,orchid_engine,proto-engine-ring,19,138,0.226,0,0.98,engine ring keeps gear-wash-thanks 2,True,11.52062,0.404333
125,125,moss_ward,proto-moss-breath,15,135,0.236,0,0.98,moss breath keeps warm-cup 0,True,6.86732,0.373222
126,125,glass_harbor,proto-harbor-chime,16,137,0.236,0,0.98,harbor chime keeps lamp-touch 3,True,8.01032,0.386222
127,125,cinder_garden,proto-cinder-pulse,17,139,0.236,0,0.98,cinder pulse keeps seed-count 4,True,10.57332,0.407222
128,125,lichen_bridge,proto-bridge-hum,18,141,0.236,0,0.98,bridge hum keeps signal-hush 4,True,9.24632,0.396222
129,125,orchid_engine,proto-engine-ring,19,143,0.236,0,0.98,engine ring keeps orchid-cup 4,True,11.57932,0.419222
130,130,moss_ward,proto-moss-breath,15,135,0.236,0,0.98,moss breath keeps door-watch 1,True,6.92232,0.387111
131,130,glass_harbor,proto-harbor-chime,16,137,0.236,0,0.98,harbor chime keeps tea-before-crossing 4,True,8.06532,0.400111
132,130,cinder_garden,proto-cinder-pulse,17,139,0.236,0,0.98,cinder pulse keeps cool-hand 5,True,10.62832,0.421111
133,130,lichen_bridge,proto-bridge-hum,18,141,0.236,0,0.98,bridge hum keeps shared-bowl 5,True,9.30132,0.410111
134,130,orchid_engine,proto-engine-ring,19,143,0.236,0,0.98,engine ring keeps gear-wash-thanks 5,True,11.63432,0.433111
135,135,moss_ward,proto-moss-breath,15,135,0.236,0,0.98,moss breath keeps blanket-share 2,True,6.97732,0.401
136,135,glass_harbor,proto-harbor-chime,16,137,0.236,0,0.98,harbor chime keeps net-knot-thanks 5,True,8.12032,0.414
137,135,cinder_garden,proto-cinder-pulse,17,139,0.236,0,0.98,cinder pulse keeps shade-bow 6,True,10.68332,0.435
138,135,lichen_bridge,proto-bridge-hum,18,141,0.236,0,0.98,bridge hum keeps rope-touch 6,True,9.35632,0.424
139,135,orchid_engine,proto-engine-ring,19,143,0.236,0,0.98,engine ring keeps valve-pause 6,True,11.68932,0.447
140,140,moss_ward,proto-moss-breath,15,135,0.236,0,0.98,moss breath keeps warm-cup 3,True,7.03232,0.414889
141,140,glass_harbor,proto-harbor-chime,16,137,0.236,0,0.98,harbor chime keeps lamp-touch 6,True,8.17532,0.427889
142,140,cinder_garden,proto-cinder-pulse,17,139,0.236,0,0.98,cinder pulse keeps seed-count 7,True,10.73832,0.448889
143,140,lichen_bridge,proto-bridge-hum,18,141,0.236,0,0.98,bridge hum keeps signal-hush 7,True,9.41132,0.437889
144,140,orchid_engine,proto-engine-ring,19,143,0.236,0,0.98,engine ring keeps orchid-cup 7,True,11.74432,0.460889
145,145,moss_ward,proto-moss-breath,15,135,0.236,0,0.98,moss breath keeps door-watch 4,True,7.08732,0.428778
146,145,glass_harbor,proto-harbor-chime,16,137,0.236,0,0.98,harbor chime keeps tea-before-crossing 7,True,8.23032,0.441778
147,145,cinder_garden,proto-cinder-pulse,17,139,0.236,0,0.98,cinder pulse keeps cool-hand 8,True,10.79332,0.462778
148,145,lichen_bridge,proto-bridge-hum,18,141,0.236,0,0.98,bridge hum keeps shared-bowl 8,True,9.46632,0.451778
149,145,orchid_engine,proto-engine-ring,19,143,0.236,0,0.98,engine ring keeps gear-wash-thanks 8,True,11.79932,0.474778
150,150,moss_ward,proto-moss-breath,16,142,0.246,0,0.98,moss breath keeps warm-cup 6,True,7.15902,0.443667
151,150,glass_harbor,proto-harbor-chime,17,144,0.246,0,0.98,harbor chime keeps lamp-touch 9,True,8.30202,0.456667
152,150,cinder_garden,proto-cinder-pulse,18,146,0.246,0,0.98,cinder pulse keeps seed-count 10,True,10.86502,0.477667
153,150,lichen_bridge,proto-bridge-hum,19,148,0.246,0,0.98,bridge hum keeps signal-hush 10,True,9.53802,0.466667
154,150,orchid_engine,proto-engine-ring,20,150,0.246,0,0.98,engine ring keeps orchid-cup 10,True,11.87102,0.489667
155,155,moss_ward,proto-moss-breath,16,142,0.246,0,0.98,moss breath keeps door-watch 7,True,7.21402,0.457556
156,155,glass_harbor,proto-harbor-chime,17,144,0.246,0,0.98,harbor chime keeps tea-before-crossing 10,True,8.35702,0.470556
157,155,cinder_garden,proto-cinder-pulse,18,146,0.246,0,0.98,cinder pulse keeps cool-hand 11,True,10.92002,0.491556
158,155,lichen_bridge,proto-bridge-hum,19,148,0.246,0,0.98,bridge hum keeps shared-bowl 11,True,9.59302,0.480556
159,155,orchid_engine,proto-engine-ring,20,150,0.246,0,0.98,engine ring keeps gear-wash-thanks 11,True,11.92602,0.503556
160,160,moss_ward,proto-moss-breath,16,142,0.246,0,0.98,moss breath keeps blanket-share 8,True,7.26902,0.471444
161,160,glass_harbor,proto-harbor-chime,17,144,0.246,0,0.98,harbor chime keeps net-knot-thanks 11,True,8.41202,0.484444
162,160,cinder_garden,proto-cinder-pulse,18,146,0.246,0,0.98,cinder pulse keeps shade-bow 12,True,10.97502,0.505444
163,160,lichen_bridge,proto-bridge-hum,19,148,0.246,0,0.98,bridge hum keeps rope-touch 12,True,9.64802,0.494444
164,160,orchid_engine,proto-engine-ring,20,150,0.246,0,0.98,engine ring keeps valve-pause 12,True,11.98102,0.517444
165,165,moss_ward,proto-moss-breath,16,142,0.246,0,0.98,moss breath keeps warm-cup 9,True,7.32402,0.485333
166,165,glass_harbor,proto-harbor-chime,17,144,0.246,0,0.98,harbor chime keeps lamp-touch 12,True,8.46702,0.498333
167,165,cinder_garden,proto-cinder-pulse,18,146,0.246,0,0.98,cinder pulse keeps shade-bow 0,True,11.03002,0.519333
168,165,lichen_bridge,proto-bridge-hum,19,148,0.246,0,0.98,bridge hum keeps rope-touch 0,True,9.70302,0.508333
169,165,orchid_engine,proto-engine-ring,20,150,0.246,0,0.98,engine ring keeps valve-pause 0,True,12.03602,0.531333
170,170,moss_ward,proto-moss-breath,16,142,0.246,0,0.98,moss breath keeps door-watch 10,True,7.37902,0.499222
171,170,glass_harbor,proto-harbor-chime,17,144,0.246,0,0.98,harbor chime keeps lamp-touch 0,True,8.52202,0.512222
172,170,cinder_garden,proto-cinder-pulse,18,146,0.246,0,0.98,cinder pulse keeps seed-count 1,True,11.08502,0.533222
173,170,lichen_bridge,proto-bridge-hum,19,148,0.246,0,0.98,bridge hum keeps signal-hush 1,True,9.75802,0.522222
174,170,orchid_engine,proto-engine-ring,20,150,0.246,0,0.98,engine ring keeps orchid-cup 1,True,12.09102,0.545222
175,175,moss_ward,proto-moss-breath,16,147,0.256,0,0.98,moss breath keeps warm-cup 12,True,7.43772,0.514111
176,175,glass_harbor,proto-harbor-chime,17,149,0.256,0,0.98,harbor chime keeps net-knot-thanks 2,True,8.58072,0.527111
177,175,cinder_garden,proto-cinder-pulse,18,151,0.256,0,0.98,cinder pulse keeps shade-bow 3,True,11.14372,0.548111
178,175,lichen_bridge,proto-bridge-hum,19,153,0.256,0,0.98,bridge hum keeps rope-touch 3,True,9.81672,0.537111
179,175,orchid_engine,proto-engine-ring,20,155,0.256,0,0.98,engine ring keeps valve-pause 3,True,12.14972,0.560111
180,180,moss_ward,proto-moss-breath,16,147,0.256,0,0.98,moss breath keeps warm-cup 0,True,7.49272,0.528
181,180,glass_harbor,proto-harbor-chime,17,149,0.256,0,0.98,harbor chime keeps lamp-touch 3,True,8.63572,0.541
182,180,cinder_garden,proto-cinder-pulse,18,151,0.256,0,0.98,cinder pulse keeps seed-count 4,True,11.19872,0.562
183,180,lichen_bridge,proto-bridge-hum,19,153,0.256,0,0.98,bridge hum keeps signal-hush 4,True,9.87172,0.551
184,180,orchid_engine,proto-engine-ring,20,155,0.256,0,0.98,engine ring keeps orchid-cup 4,True,12.20472,0.574
185,185,moss_ward,proto-moss-breath,16,147,0.256,0,0.98,moss breath keeps door-watch 1,True,7.54772,0.541889
186,185,glass_harbor,proto-harbor-chime,17,149,0.256,0,0.98,harbor chime keeps tea-before-crossing 4,True,8.69072,0.554889
187,185,cinder_garden,proto-cinder-pulse,18,151,0.256,0,0.98,cinder pulse keeps cool-hand 5,True,11.25372,0.575889
188,185,lichen_bridge,proto-bridge-hum,19,153,0.256,0,0.98,bridge hum keeps shared-bowl 5,True,9.92672,0.564889
189,185,orchid_engine,proto-engine-ring,20,155,0.256,0,0.98,engine ring keeps gear-wash-thanks 5,True,12.25972,0.587889
190,190,moss_ward,proto-moss-breath,16,147,0.256,0,0.98,moss breath keeps blanket-share 2,True,7.60272,0.555778
191,190,glass_harbor,proto-harbor-chime,17,149,0.256,0,0.98,harbor chime keeps net-knot-thanks 5,True,8.74572,0.568778
192,190,cinder_garden,proto-cinder-pulse,18,151,0.256,0,0.98,cinder pulse keeps shade-bow 6,True,11.30872,0.589778
193,190,lichen_bridge,proto-bridge-hum,19,153,0.256,0,0.98,bridge hum keeps rope-touch 6,True,9.98172,0.578778
194,190,orchid_engine,proto-engine-ring,20,155,0.256,0,0.98,engine ring keeps valve-pause 6,True,12.31472,0.601778
195,195,moss_ward,proto-moss-breath,16,147,0.256,0,0.98,moss breath keeps warm-cup 3,True,7.65772,0.569667
196,195,glass_harbor,proto-harbor-chime,17,149,0.256,0,0.98,harbor chime keeps lamp-touch 6,True,8.80072,0.582667
197,195,cinder_garden,proto-cinder-pulse,18,151,0.256,0,0.98,cinder pulse keeps seed-count 7,True,11.36372,0.603667
198,195,lichen_bridge,proto-bridge-hum,19,153,0.256,0,0.98,bridge hum keeps signal-hush 7,True,10.03672,0.592667
199,195,orchid_engine,proto-engine-ring,20,155,0.256,0,0.98,engine ring keeps orchid-cup 7,True,12.36972,0.615667
200,200,moss_ward,proto-moss-breath,16,152,0.272,0,0.98,moss breath keeps blanket-share 5,True,7.71864,0.584556
201,200,glass_harbor,proto-harbor-chime,17,154,0.272,0,0.98,harbor chime keeps net-knot-thanks 8,True,8.86164,0.597556
202,200,cinder_garden,proto-cinder-pulse,18,156,0.272,0,0.98,cinder pulse keeps shade-bow 9,True,11.42464,0.618556
203,200,lichen_bridge,proto-bridge-hum,19,158,0.272,0,0.98,bridge hum keeps rope-touch 9,True,10.09764,0.607556
204,200,orchid_engine,proto-engine-ring,20,160,0.272,0,0.98,engine ring keeps valve-pause 9,True,12.43064,0.630556
205,205,moss_ward,proto-moss-breath,16,152,0.272,0,0.98,moss breath keeps warm-cup 6,True,7.77364,0.598444
206,205,glass_harbor,proto-harbor-chime,17,154,0.272,0,0.98,harbor chime keeps lamp-touch 9,True,8.91664,0.611444
207,205,cinder_garden,proto-cinder-pulse,18,156,0.272,0,0.98,cinder pulse keeps seed-count 10,True,11.47964,0.632444
208,205,lichen_bridge,proto-bridge-hum,19,158,0.272,0,0.98,bridge hum keeps signal-hush 10,True,10.15264,0.621444
209,205,orchid_engine,proto-engine-ring,20,160,0.272,0,0.98,engine ring keeps orchid-cup 10,True,12.48564,0.644444
210,210,moss_ward,proto-moss-breath,16,152,0.272,0,0.98,moss breath keeps door-watch 7,True,7.82864,0.612333
211,210,glass_harbor,proto-harbor-chime,17,154,0.272,0,0.98,harbor chime keeps tea-before-crossing 10,True,8.97164,0.625333
212,210,cinder_garden,proto-cinder-pulse,18,156,0.272,0,0.98,cinder pulse keeps cool-hand 11,True,11.53464,0.646333
213,210,lichen_bridge,proto-bridge-hum,19,158,0.272,0,0.98,bridge hum keeps shared-bowl 11,True,10.20764,0.635333
214,210,orchid_engine,proto-engine-ring,20,160,0.272,0,0.98,engine ring keeps gear-wash-thanks 11,True,12.54064,0.658333
215,215,moss_ward,proto-moss-breath,16,152,0.272,0,0.98,moss breath keeps blanket-share 8,True,7.88364,0.626222
216,215,glass_harbor,proto-harbor-chime,17,154,0.272,0,0.98,harbor chime keeps net-knot-thanks 11,True,9.02664,0.639222
217,215,cinder_garden,proto-cinder-pulse,18,156,0.272,0,0.98,cinder pulse keeps shade-bow 12,True,11.58964,0.660222
