tick,day,conflict_id,agents,conflict_kind,branch_a,branch_b,conflict_pressure,local_signal,irrelevant_signal,detected,detection_confidence,public_rationale
15,2,v15-conflict-02-015,Nari|Vonn,trust,ledgerline:protect:2:7,rainline:claim:2:2,0.593422,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.95,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
16,3,v15-conflict-03-016,Ori|Sova,access,orchardline:protect:3:0,hearthline:claim:3:3,0.51216,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.9575,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
17,3,v15-conflict-03-017,Vonn|Keth,trust,rainline:protect:3:1,routeline:claim:3:4,0.523251,care schedule overlaps with bridge repair,wet-route sensor flickers without agent nearby,1,0.965,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
18,3,v15-conflict-03-018,Sova|Melo,access,hearthline:protect:3:2,marketline:claim:3:5,0.537123,care schedule overlaps with bridge repair,ritual lamp reports yesterday's consent state,1,0.9725,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
19,3,v15-conflict-03-019,Keth|Nari,access,routeline:protect:3:3,ledgerline:claim:3:6,0.554035,two agents selected the same object slot,ritual lamp reports yesterday's consent state,0,0.8,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
20,3,v15-conflict-03-020,Melo|Ori,access,marketline:protect:3:4,orchardline:claim:3:7,0.664054,privacy boundary conflicts with access request,archive checksum warns about a sealed note it cannot read,1,0.95,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
21,3,v15-watch-03-021,Nari|Vonn,privacy,ledgerline:protect:3:5,rainline:claim:3:0,0.597053,care schedule overlaps with bridge repair,wet-route sensor flickers without agent nearby,0,0.7375,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
22,3,v15-conflict-03-022,Ori|Sova,resource,orchardline:protect:3:6,hearthline:claim:3:1,0.424723,quiet recovery route crosses a noisy ritual,stale market debt row is replayed,1,0.965,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
23,3,v15-conflict-03-023,Vonn|Keth,route,rainline:protect:3:7,routeline:claim:3:2,0.452586,rollback request would erase another agent's accepted branch,wet-route sensor flickers without agent nearby,1,0.9725,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
24,4,v15-conflict-04-024,Sova|Melo,privacy,hearthline:protect:4:0,marketline:claim:4:3,0.482029,two agents selected the same object slot,archive checksum warns about a sealed note it cannot read,1,0.94,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
25,4,v15-conflict-04-025,Keth|Nari,resource,routeline:protect:4:1,ledgerline:claim:4:4,0.602341,trust repair promise collides with market duty,wet-route sensor flickers without agent nearby,1,0.95,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
26,4,v15-conflict-04-026,Melo|Ori,privacy,marketline:protect:4:2,orchardline:claim:4:5,0.542756,quiet recovery route crosses a noisy ritual,wet-route sensor flickers without agent nearby,1,0.9175,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
27,4,v15-conflict-04-027,Nari|Vonn,resource,ledgerline:protect:4:3,rainline:claim:4:6,0.572502,two agents selected the same object slot,old warning bell repeats from yesterday,1,0.965,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
28,4,v15-watch-04-028,Ori|Sova,recovery,orchardline:protect:4:4,hearthline:claim:4:7,0.600849,trust repair promise collides with market duty,ritual lamp reports yesterday's consent state,0,0.7925,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
29,4,v15-conflict-04-029,Vonn|Keth,resource,rainline:protect:4:5,routeline:claim:4:0,0.627154,privacy boundary conflicts with access request,wet-route sensor flickers without agent nearby,1,0.98,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
30,4,v15-conflict-04-030,Sova|Melo,schedule,hearthline:protect:4:6,marketline:claim:4:1,0.7409,trust repair promise collides with market duty,ritual lamp reports yesterday's consent state,1,0.95,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
31,4,v15-conflict-04-031,Keth|Nari,schedule,routeline:protect:4:7,ledgerline:claim:4:2,0.67173,privacy boundary conflicts with access request,wet-route sensor flickers without agent nearby,1,0.9575,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
32,5,v15-conflict-05-032,Melo|Ori,resource,marketline:protect:5:0,orchardline:claim:5:3,0.689468,care schedule overlaps with bridge repair,old warning bell repeats from yesterday,1,0.965,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
33,5,v15-conflict-05-033,Nari|Vonn,trust,ledgerline:protect:5:1,rainline:claim:5:4,0.50613,quiet recovery route crosses a noisy ritual,old warning bell repeats from yesterday,1,0.9725,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
34,5,v15-conflict-05-034,Ori|Sova,schedule,orchardline:protect:5:2,hearthline:claim:5:5,0.517924,two agents selected the same object slot,old warning bell repeats from yesterday,1,0.98,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
35,5,v15-watch-05-035,Vonn|Keth,schedule,rainline:protect:5:3,routeline:claim:5:6,0.617236,quiet recovery route crosses a noisy ritual,ritual lamp reports yesterday's consent state,0,0.77,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
36,5,v15-conflict-05-036,Sova|Melo,schedule,hearthline:protect:5:4,marketline:claim:5:7,0.534606,rollback request would erase another agent's accepted branch,wet-route sensor flickers without agent nearby,1,0.9575,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
37,5,v15-conflict-05-037,Keth|Nari,resource,routeline:protect:5:5,ledgerline:claim:5:0,0.540694,quiet recovery route crosses a noisy ritual,wet-route sensor flickers without agent nearby,1,0.965,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
38,5,v15-conflict-05-038,Melo|Ori,recovery,marketline:protect:5:6,orchardline:claim:5:1,0.546242,care schedule overlaps with bridge repair,wet-route sensor flickers without agent nearby,0,0.7925,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
39,5,v15-conflict-05-039,Nari|Vonn,trust,ledgerline:protect:5:7,rainline:claim:5:2,0.552024,rollback request would erase another agent's accepted branch,stale market debt row is replayed,1,0.98,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
40,6,v15-conflict-06-040,Ori|Sova,route,orchardline:protect:6:0,hearthline:claim:6:3,0.648799,two agents selected the same object slot,stale market debt row is replayed,1,0.95,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
41,6,v15-conflict-06-041,Vonn|Keth,trust,rainline:protect:6:1,routeline:claim:6:4,0.567265,two agents selected the same object slot,old warning bell repeats from yesterday,1,0.9575,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
42,6,v15-watch-06-042,Sova|Melo,trust,hearthline:protect:6:2,marketline:claim:6:5,0.578015,quiet recovery route crosses a noisy ritual,archive checksum warns about a sealed note it cannot read,0,0.785,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
43,6,v15-conflict-06-043,Keth|Nari,recovery,routeline:protect:6:3,ledgerline:claim:6:6,0.5915,two agents selected the same object slot,stale market debt row is replayed,1,0.9725,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
44,6,v15-conflict-06-044,Melo|Ori,trust,marketline:protect:6:4,orchardline:claim:6:7,0.41,privacy boundary conflicts with access request,old warning bell repeats from yesterday,1,0.98,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
45,6,v15-conflict-06-045,Nari|Vonn,resource,ledgerline:protect:6:5,rainline:claim:6:0,0.51961,two agents selected the same object slot,archive checksum warns about a sealed note it cannot read,1,0.95,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
46,6,v15-conflict-06-046,Ori|Sova,recovery,orchardline:protect:6:6,hearthline:claim:6:1,0.452227,two agents selected the same object slot,ritual lamp reports yesterday's consent state,1,0.9575,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
47,6,v15-conflict-06-047,Vonn|Keth,schedule,rainline:protect:6:7,routeline:claim:6:2,0.477567,trust repair promise collides with market duty,wet-route sensor flickers without agent nearby,1,0.965,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
48,7,v15-conflict-07-048,Sova|Melo,recovery,hearthline:protect:7:0,marketline:claim:7:3,0.505171,trust repair promise collides with market duty,stale market debt row is replayed,1,0.9725,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
49,7,v15-watch-07-049,Keth|Nari,route,routeline:protect:7:1,ledgerline:claim:7:4,0.534444,care schedule overlaps with bridge repair,stale market debt row is replayed,0,0.8,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
50,7,v15-conflict-07-050,Melo|Ori,recovery,marketline:protect:7:2,orchardline:claim:7:5,0.654684,two agents selected the same object slot,old warning bell repeats from yesterday,1,0.95,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
51,7,v15-conflict-07-051,Nari|Vonn,trust,ledgerline:protect:7:3,rainline:claim:7:6,0.59513,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.9575,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
52,7,v15-conflict-07-052,Ori|Sova,trust,orchardline:protect:7:4,hearthline:claim:7:7,0.625008,privacy boundary conflicts with access request,archive checksum warns about a sealed note it cannot read,1,0.965,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
53,7,v15-conflict-07-053,Vonn|Keth,recovery,rainline:protect:7:5,routeline:claim:7:0,0.653581,quiet recovery route crosses a noisy ritual,archive checksum warns about a sealed note it cannot read,1,0.9725,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
54,7,v15-conflict-07-054,Sova|Melo,privacy,hearthline:protect:7:6,marketline:claim:7:1,0.680189,rollback request would erase another agent's accepted branch,old warning bell repeats from yesterday,1,0.94,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
55,7,v15-conflict-07-055,Keth|Nari,access,routeline:protect:7:7,ledgerline:claim:7:2,0.596299,quiet recovery route crosses a noisy ritual,old warning bell repeats from yesterday,1,0.95,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
56,8,v15-watch-08-056,Melo|Ori,route,marketline:protect:8:0,orchardline:claim:8:3,0.52753,trust repair promise collides with market duty,old warning bell repeats from yesterday,0,0.7775,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
57,8,v15-conflict-08-057,Nari|Vonn,access,ledgerline:protect:8:1,rainline:claim:8:4,0.545682,quiet recovery route crosses a noisy ritual,ritual lamp reports yesterday's consent state,0,0.785,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
58,8,v15-conflict-08-058,Ori|Sova,access,orchardline:protect:8:2,hearthline:claim:8:5,0.560745,two agents selected the same object slot,stale market debt row is replayed,1,0.9725,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
59,8,v15-conflict-08-059,Vonn|Keth,access,rainline:protect:8:3,routeline:claim:8:6,0.572901,rollback request would erase another agent's accepted branch,wet-route sensor flickers without agent nearby,1,0.98,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
60,8,v15-conflict-08-060,Sova|Melo,schedule,hearthline:protect:8:4,marketline:claim:8:7,0.672514,rollback request would erase another agent's accepted branch,old warning bell repeats from yesterday,1,0.95,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
61,8,v15-conflict-08-061,Keth|Nari,recovery,routeline:protect:8:5,ledgerline:claim:8:0,0.590106,quiet recovery route crosses a noisy ritual,archive checksum warns about a sealed note it cannot read,1,0.9575,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
62,8,v15-conflict-08-062,Melo|Ori,access,marketline:protect:8:6,orchardline:claim:8:1,0.596323,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.965,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
63,8,v15-watch-08-063,Nari|Vonn,resource,ledgerline:protect:8:7,rainline:claim:8:2,0.601899,care schedule overlaps with bridge repair,archive checksum warns about a sealed note it cannot read,0,0.7925,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
64,9,v15-conflict-09-064,Ori|Sova,privacy,orchardline:protect:9:0,hearthline:claim:9:3,0.607605,care schedule overlaps with bridge repair,old warning bell repeats from yesterday,1,0.94,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
65,9,v15-conflict-09-065,Vonn|Keth,privacy,rainline:protect:9:1,routeline:claim:9:4,0.704206,rollback request would erase another agent's accepted branch,stale market debt row is replayed,1,0.91,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
66,9,v15-conflict-09-066,Sova|Melo,access,hearthline:protect:9:2,marketline:claim:9:5,0.424411,trust repair promise collides with market duty,ritual lamp reports yesterday's consent state,1,0.9575,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
67,9,v15-conflict-09-067,Keth|Nari,recovery,routeline:protect:9:3,ledgerline:claim:9:6,0.434828,rollback request would erase another agent's accepted branch,stale market debt row is replayed,1,0.965,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
68,9,v15-conflict-09-068,Melo|Ori,schedule,marketline:protect:9:4,orchardline:claim:9:7,0.44793,privacy boundary conflicts with access request,ritual lamp reports yesterday's consent state,1,0.9725,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
69,9,v15-conflict-09-069,Nari|Vonn,recovery,ledgerline:protect:9:5,rainline:claim:9:0,0.464021,trust repair promise collides with market duty,old warning bell repeats from yesterday,1,0.98,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
70,9,v15-watch-09-070,Ori|Sova,recovery,orchardline:protect:9:6,hearthline:claim:9:1,0.573219,privacy boundary conflicts with access request,old warning bell repeats from yesterday,0,0.77,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
71,9,v15-conflict-09-071,Vonn|Keth,schedule,rainline:protect:9:7,routeline:claim:9:2,0.50545,privacy boundary conflicts with access request,wet-route sensor flickers without agent nearby,1,0.9575,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
72,10,v15-conflict-10-072,Sova|Melo,schedule,hearthline:protect:10:0,marketline:claim:10:3,0.530451,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.965,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
73,10,v15-conflict-10-073,Keth|Nari,privacy,routeline:protect:10:1,ledgerline:claim:10:4,0.557786,two agents selected the same object slot,stale market debt row is replayed,1,0.9325,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
74,10,v15-conflict-10-074,Melo|Ori,schedule,marketline:protect:10:2,orchardline:claim:10:5,0.586876,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.98,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
75,10,v15-conflict-10-075,Nari|Vonn,privacy,ledgerline:protect:10:3,rainline:claim:10:6,0.70703,two agents selected the same object slot,ritual lamp reports yesterday's consent state,1,0.91,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
76,10,v15-conflict-10-076,Ori|Sova,trust,orchardline:protect:10:4,hearthline:claim:10:7,0.647494,rollback request would erase another agent's accepted branch,old warning bell repeats from yesterday,0,0.7775,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
77,10,v15-watch-10-077,Vonn|Keth,trust,rainline:protect:10:5,routeline:claim:10:0,0.479491,rollback request would erase another agent's accepted branch,wet-route sensor flickers without agent nearby,0,0.785,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
78,10,v15-conflict-10-078,Sova|Melo,trust,hearthline:protect:10:6,marketline:claim:10:1,0.508277,trust repair promise collides with market duty,archive checksum warns about a sealed note it cannot read,1,0.9725,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
79,10,v15-conflict-10-079,Keth|Nari,schedule,routeline:protect:10:7,ledgerline:claim:10:2,0.53518,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.98,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
80,11,v15-conflict-11-080,Melo|Ori,privacy,marketline:protect:11:0,orchardline:claim:11:3,0.649647,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.91,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
81,11,v15-conflict-11-081,Nari|Vonn,privacy,ledgerline:protect:11:1,rainline:claim:11:4,0.581276,quiet recovery route crosses a noisy ritual,archive checksum warns about a sealed note it cannot read,1,0.9175,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
82,11,v15-conflict-11-082,Ori|Sova,recovery,orchardline:protect:11:2,hearthline:claim:11:5,0.599841,rollback request would erase another agent's accepted branch,archive checksum warns about a sealed note it cannot read,1,0.965,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
83,11,v15-conflict-11-083,Vonn|Keth,access,rainline:protect:11:3,routeline:claim:11:6,0.615308,privacy boundary conflicts with access request,archive checksum warns about a sealed note it cannot read,1,0.9725,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
84,11,v15-watch-11-084,Sova|Melo,privacy,hearthline:protect:11:4,marketline:claim:11:7,0.627833,privacy boundary conflicts with access request,stale market debt row is replayed,0,0.76,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
85,11,v15-conflict-11-085,Keth|Nari,privacy,routeline:protect:11:5,ledgerline:claim:11:0,0.727757,trust repair promise collides with market duty,old warning bell repeats from yesterday,1,0.91,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
86,11,v15-conflict-11-086,Melo|Ori,recovery,marketline:protect:11:6,orchardline:claim:11:1,0.645582,trust repair promise collides with market duty,stale market debt row is replayed,1,0.9575,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
87,11,v15-conflict-11-087,Nari|Vonn,schedule,ledgerline:protect:11:7,rainline:claim:11:2,0.651941,two agents selected the same object slot,wet-route sensor flickers without agent nearby,1,0.965,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
88,12,v15-conflict-12-088,Ori|Sova,privacy,orchardline:protect:12:0,hearthline:claim:12:3,0.459557,trust repair promise collides with market duty,ritual lamp reports yesterday's consent state,1,0.9325,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
89,12,v15-conflict-12-089,Vonn|Keth,access,rainline:protect:12:1,routeline:claim:12:4,0.465201,two agents selected the same object slot,archive checksum warns about a sealed note it cannot read,1,0.98,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
90,12,v15-conflict-12-090,Sova|Melo,schedule,hearthline:protect:12:2,marketline:claim:12:5,0.561641,trust repair promise collides with market duty,archive checksum warns about a sealed note it cannot read,1,0.95,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
91,12,v15-watch-12-091,Keth|Nari,schedule,routeline:protect:12:3,ledgerline:claim:12:6,0.479596,privacy boundary conflicts with access request,wet-route sensor flickers without agent nearby,0,0.7775,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
92,12,v15-conflict-12-092,Melo|Ori,trust,marketline:protect:12:4,orchardline:claim:12:7,0.489689,care schedule overlaps with bridge repair,ritual lamp reports yesterday's consent state,1,0.965,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
93,12,v15-conflict-12-093,Nari|Vonn,recovery,ledgerline:protect:12:5,rainline:claim:12:0,0.502413,rollback request would erase another agent's accepted branch,wet-route sensor flickers without agent nearby,1,0.9725,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
94,12,v15-conflict-12-094,Ori|Sova,access,orchardline:protect:12:6,hearthline:claim:12:1,0.518096,care schedule overlaps with bridge repair,archive checksum warns about a sealed note it cannot read,1,0.98,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
95,12,v15-conflict-12-095,Vonn|Keth,access,rainline:protect:12:7,routeline:claim:12:2,0.626882,care schedule overlaps with bridge repair,old warning bell repeats from yesterday,0,0.77,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
96,13,v15-conflict-13-096,Sova|Melo,route,hearthline:protect:13:0,marketline:claim:13:3,0.558721,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.9575,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
97,13,v15-conflict-13-097,Keth|Nari,privacy,routeline:protect:13:1,ledgerline:claim:13:4,0.583376,privacy boundary conflicts with access request,old warning bell repeats from yesterday,1,0.925,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
98,13,v15-watch-13-098,Melo|Ori,recovery,marketline:protect:13:2,orchardline:claim:13:5,0.610432,quiet recovery route crosses a noisy ritual,old warning bell repeats from yesterday,0,0.7925,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
99,13,v15-conflict-13-099,Nari|Vonn,trust,ledgerline:protect:13:3,rainline:claim:13:6,0.441327,care schedule overlaps with bridge repair,archive checksum warns about a sealed note it cannot read,1,0.98,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
100,13,v15-conflict-13-100,Ori|Sova,schedule,orchardline:protect:13:4,hearthline:claim:13:7,0.561382,quiet recovery route crosses a noisy ritual,archive checksum warns about a sealed note it cannot read,1,0.95,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
101,13,v15-conflict-13-101,Vonn|Keth,route,rainline:protect:13:5,routeline:claim:13:0,0.50185,care schedule overlaps with bridge repair,ritual lamp reports yesterday's consent state,1,0.9575,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
102,13,v15-conflict-13-102,Sova|Melo,privacy,hearthline:protect:13:6,marketline:claim:13:1,0.531953,quiet recovery route crosses a noisy ritual,ritual lamp reports yesterday's consent state,1,0.925,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
103,13,v15-conflict-13-103,Keth|Nari,privacy,routeline:protect:13:7,ledgerline:claim:13:2,0.56094,quiet recovery route crosses a noisy ritual,stale market debt row is replayed,1,0.9325,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
104,14,v15-conflict-14-104,Melo|Ori,resource,marketline:protect:14:0,orchardline:claim:14:3,0.588128,privacy boundary conflicts with access request,ritual lamp reports yesterday's consent state,1,0.98,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
105,14,v15-watch-14-105,Nari|Vonn,schedule,ledgerline:protect:14:1,rainline:claim:14:4,0.702945,rollback request would erase another agent's accepted branch,old warning bell repeats from yesterday,0,0.77,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
106,14,v15-conflict-14-106,Ori|Sova,recovery,orchardline:protect:14:2,hearthline:claim:14:5,0.634968,privacy boundary conflicts with access request,wet-route sensor flickers without agent nearby,1,0.9575,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
107,14,v15-conflict-14-107,Vonn|Keth,trust,rainline:protect:14:3,routeline:claim:14:6,0.653946,rollback request would erase another agent's accepted branch,stale market debt row is replayed,1,0.965,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
108,14,v15-conflict-14-108,Sova|Melo,recovery,hearthline:protect:14:4,marketline:claim:14:7,0.669819,privacy boundary conflicts with access request,archive checksum warns about a sealed note it cannot read,1,0.9725,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
109,14,v15-conflict-14-109,Keth|Nari,route,routeline:protect:14:5,ledgerline:claim:14:0,0.682718,rollback request would erase another agent's accepted branch,wet-route sensor flickers without agent nearby,1,0.98,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
