tick,day,slot,avatar_room,selected_resident,loop_frame,scheduler_frame,action_frame,memory_frame,offscreen_frame,consequence_frame,dashboard_frame,replay_frame,single_world_state_object,boundary_visible
64,4,10,river gate,Fay,64,64,64,64,64,64,64,14,True,True
65,4,11,arrival court,Milo,65,65,65,65,65,65,65,14,True,True
66,4,12,tool alcove,Sera,66,66,66,66,66,66,66,14,True,True
67,4,13,rain court,Tovan,67,67,67,67,67,67,67,14,True,True
68,4,14,fiber loft,Nia,68,68,68,68,68,68,68,14,True,True
69,4,15,west hearth,Ari,69,69,69,69,69,69,69,14,True,True
70,4,16,river gate,Fay,70,70,70,70,70,70,70,15,True,True
71,4,17,arrival court,Milo,71,71,71,71,71,71,71,16,True,True
72,5,0,rain court,Sera,72,72,72,72,72,72,72,17,True,True
73,5,1,fiber loft,Tovan,73,73,73,73,73,73,73,17,True,True
74,5,2,west hearth,Nia,74,74,74,74,74,74,74,17,True,True
75,5,3,river gate,Ari,75,75,75,75,75,75,75,17,True,True
76,5,4,arrival court,Fay,76,76,76,76,76,76,76,17,True,True
77,5,5,tool alcove,Milo,77,77,77,77,77,77,77,18,True,True
78,5,6,rain court,Sera,78,78,78,78,78,78,78,18,True,True
79,5,7,fiber loft,Tovan,79,79,79,79,79,79,79,18,True,True
80,5,8,west hearth,Nia,80,80,80,80,80,80,80,18,True,True
81,5,9,river gate,Ari,81,81,81,81,81,81,81,18,True,True
82,5,10,arrival court,Fay,82,82,82,82,82,82,82,18,True,True
83,5,11,tool alcove,Milo,83,83,83,83,83,83,83,18,True,True
84,5,12,rain court,Sera,84,84,84,84,84,84,84,19,True,True
85,5,13,fiber loft,Tovan,85,85,85,85,85,85,85,19,True,True
86,5,14,west hearth,Nia,86,86,86,86,86,86,86,19,True,True
87,5,15,river gate,Ari,87,87,87,87,87,87,87,19,True,True
88,5,16,arrival court,Fay,88,88,88,88,88,88,88,19,True,True
89,5,17,tool alcove,Milo,89,89,89,89,89,89,89,20,True,True
90,6,0,fiber loft,Sera,90,90,90,90,90,90,90,21,True,True
91,6,1,west hearth,Tovan,91,91,91,91,91,91,91,22,True,True
92,6,2,river gate,Nia,92,92,92,92,92,92,92,22,True,True
93,6,3,arrival court,Ari,93,93,93,93,93,93,93,22,True,True
94,6,4,tool alcove,Fay,94,94,94,94,94,94,94,22,True,True
95,6,5,rain court,Milo,95,95,95,95,95,95,95,22,True,True
96,6,6,fiber loft,Sera,96,96,96,96,96,96,96,22,True,True
97,6,7,west hearth,Tovan,97,97,97,97,97,97,97,22,True,True
98,6,8,river gate,Nia,98,98,98,98,98,98,98,23,True,True
99,6,9,arrival court,Ari,99,99,99,99,99,99,99,23,True,True
100,6,10,tool alcove,Fay,100,100,100,100,100,100,100,23,True,True
101,6,11,rain court,Milo,101,101,101,101,101,101,101,23,True,True
102,6,12,fiber loft,Sera,102,102,102,102,102,102,102,23,True,True
103,6,13,west hearth,Tovan,103,103,103,103,103,103,103,23,True,True
104,6,14,river gate,Nia,104,104,104,104,104,104,104,23,True,True
105,6,15,arrival court,Ari,105,105,105,105,105,105,105,24,True,True
106,6,16,tool alcove,Fay,106,106,106,106,106,106,106,24,True,True
107,6,17,rain court,Milo,107,107,107,107,107,107,107,25,True,True
108,7,0,west hearth,Sera,108,108,108,108,108,108,108,26,True,True
109,7,1,river gate,Tovan,109,109,109,109,109,109,109,26,True,True
110,7,2,arrival court,Nia,110,110,110,110,110,110,110,26,True,True
111,7,3,tool alcove,Ari,111,111,111,111,111,111,111,26,True,True
112,7,4,rain court,Fay,112,112,112,112,112,112,112,27,True,True
113,7,5,fiber loft,Milo,113,113,113,113,113,113,113,27,True,True
114,7,6,west hearth,Sera,114,114,114,114,114,114,114,27,True,True
115,7,7,river gate,Tovan,115,115,115,115,115,115,115,27,True,True
116,7,8,arrival court,Nia,116,116,116,116,116,116,116,27,True,True
117,7,9,tool alcove,Ari,117,117,117,117,117,117,117,27,True,True
118,7,10,rain court,Fay,118,118,118,118,118,118,118,27,True,True
119,7,11,fiber loft,Milo,119,119,119,119,119,119,119,28,True,True
120,7,12,west hearth,Sera,120,120,120,120,120,120,120,28,True,True
121,7,13,river gate,Tovan,121,121,121,121,121,121,121,28,True,True
122,7,14,arrival court,Nia,122,122,122,122,122,122,122,28,True,True
123,7,15,tool alcove,Ari,123,123,123,123,123,123,123,28,True,True
124,7,16,rain court,Fay,124,124,124,124,124,124,124,28,True,True
125,7,17,fiber loft,Milo,125,125,125,125,125,125,125,29,True,True
126,8,0,river gate,Sera,126,126,126,126,126,126,126,30,True,True
127,8,1,arrival court,Tovan,127,127,127,127,127,127,127,30,True,True
128,8,2,tool alcove,Nia,128,128,128,128,128,128,128,30,True,True
129,8,3,rain court,Ari,129,129,129,129,129,129,129,30,True,True
130,8,4,fiber loft,Fay,130,130,130,130,130,130,130,30,True,True
131,8,5,west hearth,Milo,131,131,131,131,131,131,131,30,True,True
132,8,6,river gate,Sera,132,132,132,132,132,132,132,30,True,True
133,8,7,arrival court,Tovan,133,133,133,133,133,133,133,31,True,True
134,8,8,tool alcove,Nia,134,134,134,134,134,134,134,31,True,True
135,8,9,rain court,Ari,135,135,135,135,135,135,135,31,True,True
136,8,10,fiber loft,Fay,136,136,136,136,136,136,136,31,True,True
137,8,11,west hearth,Milo,137,137,137,137,137,137,137,31,True,True
138,8,12,river gate,Sera,138,138,138,138,138,138,138,31,True,True
139,8,13,arrival court,Tovan,139,139,139,139,139,139,139,31,True,True
140,8,14,tool alcove,Nia,140,140,140,140,140,140,140,32,True,True
141,8,15,rain court,Ari,141,141,141,141,141,141,141,32,True,True
142,8,16,fiber loft,Fay,142,142,142,142,142,142,142,32,True,True
143,8,17,west hearth,Milo,143,143,143,143,143,143,143,33,True,True
144,9,0,arrival court,Sera,144,144,144,144,144,144,144,34,True,True
145,9,1,tool alcove,Tovan,145,145,145,145,145,145,145,34,True,True
146,9,2,rain court,Nia,146,146,146,146,146,146,146,34,True,True
147,9,3,fiber loft,Ari,147,147,147,147,147,147,147,35,True,True
148,9,4,west hearth,Fay,148,148,148,148,148,148,148,35,True,True
149,9,5,river gate,Milo,149,149,149,149,149,149,149,35,True,True
150,9,6,arrival court,Sera,150,150,150,150,150,150,150,35,True,True
151,9,7,tool alcove,Tovan,151,151,151,151,151,151,151,35,True,True
152,9,8,rain court,Nia,152,152,152,152,152,152,152,35,True,True
153,9,9,fiber loft,Ari,153,153,153,153,153,153,153,35,True,True
154,9,10,west hearth,Fay,154,154,154,154,154,154,154,36,True,True
155,9,11,river gate,Milo,155,155,155,155,155,155,155,36,True,True
156,9,12,arrival court,Sera,156,156,156,156,156,156,156,36,True,True
157,9,13,tool alcove,Tovan,157,157,157,157,157,157,157,36,True,True
158,9,14,rain court,Nia,158,158,158,158,158,158,158,36,True,True
159,9,15,fiber loft,Ari,159,159,159,159,159,159,159,36,True,True
160,9,16,west hearth,Fay,160,160,160,160,160,160,160,36,True,True
161,9,17,river gate,Milo,161,161,161,161,161,161,161,37,True,True
162,10,0,tool alcove,Sera,162,162,162,162,162,162,162,38,True,True
163,10,1,rain court,Tovan,163,163,163,163,163,163,163,38,True,True
164,10,2,fiber loft,Nia,164,164,164,164,164,164,164,38,True,True
165,10,3,west hearth,Ari,165,165,165,165,165,165,165,38,True,True
166,10,4,river gate,Fay,166,166,166,166,166,166,166,38,True,True
167,10,5,arrival court,Milo,167,167,167,167,167,167,167,38,True,True
168,10,6,tool alcove,Sera,168,168,168,168,168,168,168,39,True,True
169,10,7,rain court,Tovan,169,169,169,169,169,169,169,39,True,True
170,10,8,fiber loft,Nia,170,170,170,170,170,170,170,39,True,True
171,10,9,west hearth,Ari,171,171,171,171,171,171,171,39,True,True
172,10,10,river gate,Fay,172,172,172,172,172,172,172,39,True,True
173,10,11,arrival court,Milo,173,173,173,173,173,173,173,39,True,True
174,10,12,tool alcove,Sera,174,174,174,174,174,174,174,39,True,True
175,10,13,rain court,Tovan,175,175,175,175,175,175,175,40,True,True
176,10,14,fiber loft,Nia,176,176,176,176,176,176,176,40,True,True
177,10,15,west hearth,Ari,177,177,177,177,177,177,177,40,True,True
178,10,16,river gate,Fay,178,178,178,178,178,178,178,40,True,True
179,10,17,arrival court,Milo,179,179,179,179,179,179,179,41,True,True
180,11,0,rain court,Sera,180,180,180,180,180,180,180,42,True,True
181,11,1,fiber loft,Tovan,181,181,181,181,181,181,181,42,True,True
182,11,2,west hearth,Nia,182,182,182,182,182,182,182,43,True,True
183,11,3,river gate,Ari,183,183,183,183,183,183,183,43,True,True
184,11,4,arrival court,Fay,184,184,184,184,184,184,184,43,True,True
185,11,5,tool alcove,Milo,185,185,185,185,185,185,185,43,True,True
186,11,6,rain court,Sera,186,186,186,186,186,186,186,43,True,True
187,11,7,fiber loft,Tovan,187,187,187,187,187,187,187,43,True,True
188,11,8,west hearth,Nia,188,188,188,188,188,188,188,43,True,True
189,11,9,river gate,Ari,189,189,189,189,189,189,189,44,True,True
190,11,10,arrival court,Fay,190,190,190,190,190,190,190,44,True,True
191,11,11,tool alcove,Milo,191,191,191,191,191,191,191,44,True,True
192,11,12,rain court,Sera,192,192,192,192,192,192,192,44,True,True
193,11,13,fiber loft,Tovan,193,193,193,193,193,193,193,44,True,True
194,11,14,west hearth,Nia,194,194,194,194,194,194,194,44,True,True
195,11,15,river gate,Ari,195,195,195,195,195,195,195,44,True,True
196,11,16,arrival court,Fay,196,196,196,196,196,196,196,45,True,True
197,11,17,tool alcove,Milo,197,197,197,197,197,197,197,46,True,True
198,12,0,fiber loft,Sera,198,198,198,198,198,198,198,47,True,True
199,12,1,west hearth,Tovan,199,199,199,199,199,199,199,47,True,True
200,12,2,river gate,Nia,200,200,200,200,200,200,200,47,True,True
201,12,3,arrival court,Ari,201,201,201,201,201,201,201,47,True,True
202,12,4,tool alcove,Fay,202,202,202,202,202,202,202,47,True,True
203,12,5,rain court,Milo,203,203,203,203,203,203,203,48,True,True
204,12,6,fiber loft,Sera,204,204,204,204,204,204,204,48,True,True
205,12,7,west hearth,Tovan,205,205,205,205,205,205,205,48,True,True
206,12,8,river gate,Nia,206,206,206,206,206,206,206,48,True,True
207,12,9,arrival court,Ari,207,207,207,207,207,207,207,48,True,True
208,12,10,tool alcove,Fay,208,208,208,208,208,208,208,48,True,True
209,12,11,rain court,Milo,209,209,209,209,209,209,209,48,True,True
210,12,12,fiber loft,Sera,210,210,210,210,210,210,210,49,True,True
211,12,13,west hearth,Tovan,211,211,211,211,211,211,211,49,True,True
212,12,14,river gate,Nia,212,212,212,212,212,212,212,49,True,True
213,12,15,arrival court,Ari,213,213,213,213,213,213,213,49,True,True
214,12,16,tool alcove,Fay,214,214,214,214,214,214,214,49,True,True
215,12,17,rain court,Milo,215,215,215,215,215,215,215,50,True,True
216,13,0,west hearth,Sera,216,216,216,216,216,216,216,51,True,True
217,13,1,river gate,Tovan,217,217,217,217,217,217,217,52,True,True
218,13,2,arrival court,Nia,218,218,218,218,218,218,218,52,True,True
219,13,3,tool alcove,Ari,219,219,219,219,219,219,219,52,True,True
220,13,4,rain court,Fay,220,220,220,220,220,220,220,52,True,True
221,13,5,fiber loft,Milo,221,221,221,221,221,221,221,52,True,True
222,13,6,west hearth,Sera,222,222,222,222,222,222,222,52,True,True
223,13,7,river gate,Tovan,223,223,223,223,223,223,223,52,True,True
224,13,8,arrival court,Nia,224,224,224,224,224,224,224,53,True,True
225,13,9,tool alcove,Ari,225,225,225,225,225,225,225,53,True,True
226,13,10,rain court,Fay,226,226,226,226,226,226,226,53,True,True
227,13,11,fiber loft,Milo,227,227,227,227,227,227,227,53,True,True
228,13,12,west hearth,Sera,228,228,228,228,228,228,228,53,True,True
229,13,13,river gate,Tovan,229,229,229,229,229,229,229,53,True,True
230,13,14,arrival court,Nia,230,230,230,230,230,230,230,53,True,True
231,13,15,tool alcove,Ari,231,231,231,231,231,231,231,54,True,True
232,13,16,rain court,Fay,232,232,232,232,232,232,232,54,True,True
233,13,17,fiber loft,Milo,233,233,233,233,233,233,233,55,True,True
234,14,0,river gate,Sera,234,234,234,234,234,234,234,56,True,True
235,14,1,arrival court,Tovan,235,235,235,235,235,235,235,56,True,True
236,14,2,tool alcove,Nia,236,236,236,236,236,236,236,56,True,True
237,14,3,rain court,Ari,237,237,237,237,237,237,237,56,True,True
238,14,4,fiber loft,Fay,238,238,238,238,238,238,238,57,True,True
239,14,5,west hearth,Milo,239,239,239,239,239,239,239,57,True,True
240,14,6,river gate,Sera,240,240,240,240,240,240,240,57,True,True
241,14,7,arrival court,Tovan,241,241,241,241,241,241,241,57,True,True
242,14,8,tool alcove,Nia,242,242,242,242,242,242,242,57,True,True
243,14,9,rain court,Ari,243,243,243,243,243,243,243,57,True,True
244,14,10,fiber loft,Fay,244,244,244,244,244,244,244,57,True,True
245,14,11,west hearth,Milo,245,245,245,245,245,245,245,58,True,True
246,14,12,river gate,Sera,246,246,246,246,246,246,246,58,True,True
247,14,13,arrival court,Tovan,247,247,247,247,247,247,247,58,True,True
248,14,14,tool alcove,Nia,248,248,248,248,248,248,248,58,True,True
249,14,15,rain court,Ari,249,249,249,249,249,249,249,58,True,True
250,14,16,fiber loft,Fay,250,250,250,250,250,250,250,58,True,True
251,14,17,west hearth,Milo,251,251,251,251,251,251,251,59,True,True
252,15,0,arrival court,Sera,252,252,252,252,252,252,252,60,True,True
253,15,1,tool alcove,Tovan,253,253,253,253,253,253,253,60,True,True
254,15,2,rain court,Nia,254,254,254,254,254,254,254,60,True,True
255,15,3,fiber loft,Ari,255,255,255,255,255,255,255,60,True,True
256,15,4,west hearth,Fay,256,256,256,256,256,256,256,60,True,True
257,15,5,river gate,Milo,257,257,257,257,257,257,257,60,True,True
258,15,6,arrival court,Sera,258,258,258,258,258,258,258,60,True,True
259,15,7,tool alcove,Tovan,259,259,259,259,259,259,259,61,True,True
260,15,8,rain court,Nia,260,260,260,260,260,260,260,61,True,True
261,15,9,fiber loft,Ari,261,261,261,261,261,261,261,61,True,True
262,15,10,west hearth,Fay,262,262,262,262,262,262,262,61,True,True
263,15,11,river gate,Milo,263,263,263,263,263,263,263,61,True,True
264,15,12,arrival court,Sera,264,264,264,264,264,264,264,61,True,True
265,15,13,tool alcove,Tovan,265,265,265,265,265,265,265,61,True,True
266,15,14,rain court,Nia,266,266,266,266,266,266,266,62,True,True
267,15,15,fiber loft,Ari,267,267,267,267,267,267,267,62,True,True
268,15,16,west hearth,Fay,268,268,268,268,268,268,268,62,True,True
269,15,17,river gate,Milo,269,269,269,269,269,269,269,63,True,True
270,16,0,tool alcove,Sera,270,270,270,270,270,270,270,64,True,True
271,16,1,rain court,Tovan,271,271,271,271,271,271,271,64,True,True
272,16,2,fiber loft,Nia,272,272,272,272,272,272,272,64,True,True
273,16,3,west hearth,Ari,273,273,273,273,273,273,273,65,True,True
274,16,4,river gate,Fay,274,274,274,274,274,274,274,65,True,True
275,16,5,arrival court,Milo,275,275,275,275,275,275,275,65,True,True
276,16,6,tool alcove,Sera,276,276,276,276,276,276,276,65,True,True
277,16,7,rain court,Tovan,277,277,277,277,277,277,277,65,True,True
278,16,8,fiber loft,Nia,278,278,278,278,278,278,278,65,True,True
279,16,9,west hearth,Ari,279,279,279,279,279,279,279,65,True,True
280,16,10,river gate,Fay,280,280,280,280,280,280,280,66,True,True
281,16,11,arrival court,Milo,281,281,281,281,281,281,281,66,True,True
282,16,12,tool alcove,Sera,282,282,282,282,282,282,282,66,True,True
283,16,13,rain court,Tovan,283,283,283,283,283,283,283,66,True,True
284,16,14,fiber loft,Nia,284,284,284,284,284,284,284,66,True,True
285,16,15,west hearth,Ari,285,285,285,285,285,285,285,66,True,True
286,16,16,river gate,Fay,286,286,286,286,286,286,286,66,True,True
287,16,17,arrival court,Milo,287,287,287,287,287,287,287,67,True,True
288,17,0,rain court,Sera,288,288,288,288,288,288,288,68,True,True
289,17,1,fiber loft,Tovan,289,289,289,289,289,289,289,68,True,True
290,17,2,west hearth,Nia,290,290,290,290,290,290,290,68,True,True
291,17,3,river gate,Ari,291,291,291,291,291,291,291,68,True,True
292,17,4,arrival court,Fay,292,292,292,292,292,292,292,68,True,True
293,17,5,tool alcove,Milo,293,293,293,293,293,293,293,68,True,True
294,17,6,rain court,Sera,294,294,294,294,294,294,294,69,True,True
295,17,7,fiber loft,Tovan,295,295,295,295,295,295,295,69,True,True
296,17,8,west hearth,Nia,296,296,296,296,296,296,296,69,True,True
297,17,9,river gate,Ari,297,297,297,297,297,297,297,69,True,True
298,17,10,arrival court,Fay,298,298,298,298,298,298,298,69,True,True
299,17,11,tool alcove,Milo,299,299,299,299,299,299,299,69,True,True
300,17,12,rain court,Sera,300,300,300,300,300,300,300,69,True,True
301,17,13,fiber loft,Tovan,301,301,301,301,301,301,301,70,True,True
302,17,14,west hearth,Nia,302,302,302,302,302,302,302,70,True,True
303,17,15,river gate,Ari,303,303,303,303,303,303,303,70,True,True
304,17,16,arrival court,Fay,304,304,304,304,304,304,304,70,True,True
305,17,17,tool alcove,Milo,305,305,305,305,305,305,305,71,True,True
306,18,0,fiber loft,Sera,306,306,306,306,306,306,306,72,True,True
307,18,1,west hearth,Tovan,307,307,307,307,307,307,307,72,True,True
308,18,2,river gate,Nia,308,308,308,308,308,308,308,73,True,True
309,18,3,arrival court,Ari,309,309,309,309,309,309,309,73,True,True
310,18,4,tool alcove,Fay,310,310,310,310,310,310,310,73,True,True
311,18,5,rain court,Milo,311,311,311,311,311,311,311,73,True,True
312,18,6,fiber loft,Sera,312,312,312,312,312,312,312,73,True,True
313,18,7,west hearth,Tovan,313,313,313,313,313,313,313,73,True,True
314,18,8,river gate,Nia,314,314,314,314,314,314,314,73,True,True
315,18,9,arrival court,Ari,315,315,315,315,315,315,315,74,True,True
316,18,10,tool alcove,Fay,316,316,316,316,316,316,316,74,True,True
317,18,11,rain court,Milo,317,317,317,317,317,317,317,74,True,True
318,18,12,fiber loft,Sera,318,318,318,318,318,318,318,74,True,True
319,18,13,west hearth,Tovan,319,319,319,319,319,319,319,74,True,True
320,18,14,river gate,Nia,320,320,320,320,320,320,320,74,True,True
321,18,15,arrival court,Ari,321,321,321,321,321,321,321,74,True,True
322,18,16,tool alcove,Fay,322,322,322,322,322,322,322,75,True,True
323,18,17,rain court,Milo,323,323,323,323,323,323,323,76,True,True
324,19,0,west hearth,Sera,324,324,324,324,324,324,324,77,True,True
325,19,1,river gate,Tovan,325,325,325,325,325,325,325,77,True,True
326,19,2,arrival court,Nia,326,326,326,326,326,326,326,77,True,True
327,19,3,tool alcove,Ari,327,327,327,327,327,327,327,77,True,True
328,19,4,rain court,Fay,328,328,328,328,328,328,328,77,True,True
329,19,5,fiber loft,Milo,329,329,329,329,329,329,329,78,True,True
330,19,6,west hearth,Sera,330,330,330,330,330,330,330,78,True,True
331,19,7,river gate,Tovan,331,331,331,331,331,331,331,78,True,True
332,19,8,arrival court,Nia,332,332,332,332,332,332,332,78,True,True
333,19,9,tool alcove,Ari,333,333,333,333,333,333,333,78,True,True
334,19,10,rain court,Fay,334,334,334,334,334,334,334,78,True,True
335,19,11,fiber loft,Milo,335,335,335,335,335,335,335,78,True,True
336,19,12,west hearth,Sera,336,336,336,336,336,336,336,79,True,True
337,19,13,river gate,Tovan,337,337,337,337,337,337,337,79,True,True
338,19,14,arrival court,Nia,338,338,338,338,338,338,338,79,True,True
339,19,15,tool alcove,Ari,339,339,339,339,339,339,339,79,True,True
340,19,16,rain court,Fay,340,340,340,340,340,340,340,79,True,True
341,19,17,fiber loft,Milo,341,341,341,341,341,341,341,80,True,True
342,20,0,river gate,Sera,342,342,342,342,342,342,342,81,True,True
343,20,1,arrival court,Tovan,343,343,343,343,343,343,343,82,True,True
344,20,2,tool alcove,Nia,344,344,344,344,344,344,344,82,True,True
345,20,3,rain court,Ari,345,345,345,345,345,345,345,82,True,True
346,20,4,fiber loft,Fay,346,346,346,346,346,346,346,82,True,True
347,20,5,west hearth,Milo,347,347,347,347,347,347,347,82,True,True
348,20,6,river gate,Sera,348,348,348,348,348,348,348,82,True,True
349,20,7,arrival court,Tovan,349,349,349,349,349,349,349,82,True,True
350,20,8,tool alcove,Nia,350,350,350,350,350,350,350,83,True,True
351,20,9,rain court,Ari,351,351,351,351,351,351,351,83,True,True
352,20,10,fiber loft,Fay,352,352,352,352,352,352,352,83,True,True
353,20,11,west hearth,Milo,353,353,353,353,353,353,353,83,True,True
354,20,12,river gate,Sera,354,354,354,354,354,354,354,83,True,True
355,20,13,arrival court,Tovan,355,355,355,355,355,355,355,83,True,True
356,20,14,tool alcove,Nia,356,356,356,356,356,356,356,83,True,True
357,20,15,rain court,Ari,357,357,357,357,357,357,357,84,True,True
358,20,16,fiber loft,Fay,358,358,358,358,358,358,358,84,True,True
359,20,17,west hearth,Milo,359,359,359,359,359,359,359,85,True,True
360,21,0,arrival court,Sera,360,360,360,360,360,360,360,86,True,True
361,21,1,tool alcove,Tovan,361,361,361,361,361,361,361,86,True,True
362,21,2,rain court,Nia,362,362,362,362,362,362,362,86,True,True
363,21,3,fiber loft,Ari,363,363,363,363,363,363,363,86,True,True
364,21,4,west hearth,Fay,364,364,364,364,364,364,364,87,True,True
365,21,5,river gate,Milo,365,365,365,365,365,365,365,87,True,True
366,21,6,arrival court,Sera,366,366,366,366,366,366,366,87,True,True
367,21,7,tool alcove,Tovan,367,367,367,367,367,367,367,87,True,True
368,21,8,rain court,Nia,368,368,368,368,368,368,368,87,True,True
369,21,9,fiber loft,Ari,369,369,369,369,369,369,369,87,True,True
370,21,10,west hearth,Fay,370,370,370,370,370,370,370,87,True,True
371,21,11,river gate,Milo,371,371,371,371,371,371,371,88,True,True
372,21,12,arrival court,Sera,372,372,372,372,372,372,372,88,True,True
373,21,13,tool alcove,Tovan,373,373,373,373,373,373,373,88,True,True
374,21,14,rain court,Nia,374,374,374,374,374,374,374,88,True,True
375,21,15,fiber loft,Ari,375,375,375,375,375,375,375,88,True,True
376,21,16,west hearth,Fay,376,376,376,376,376,376,376,88,True,True
377,21,17,river gate,Milo,377,377,377,377,377,377,377,89,True,True
378,22,0,tool alcove,Sera,378,378,378,378,378,378,378,90,True,True
379,22,1,rain court,Tovan,379,379,379,379,379,379,379,90,True,True
380,22,2,fiber loft,Nia,380,380,380,380,380,380,380,90,True,True
381,22,3,west hearth,Ari,381,381,381,381,381,381,381,90,True,True
382,22,4,river gate,Fay,382,382,382,382,382,382,382,90,True,True
383,22,5,arrival court,Milo,383,383,383,383,383,383,383,90,True,True
384,22,6,tool alcove,Sera,384,384,384,384,384,384,384,90,True,True
385,22,7,rain court,Tovan,385,385,385,385,385,385,385,91,True,True
386,22,8,fiber loft,Nia,386,386,386,386,386,386,386,91,True,True
387,22,9,west hearth,Ari,387,387,387,387,387,387,387,91,True,True
388,22,10,river gate,Fay,388,388,388,388,388,388,388,91,True,True
389,22,11,arrival court,Milo,389,389,389,389,389,389,389,91,True,True
390,22,12,tool alcove,Sera,390,390,390,390,390,390,390,91,True,True
391,22,13,rain court,Tovan,391,391,391,391,391,391,391,91,True,True
392,22,14,fiber loft,Nia,392,392,392,392,392,392,392,92,True,True
