tick,day,scene_id,camera_x,camera_y,camera_zoom,parallax_offset,occlusion_order_valid,shadow_scale,depth_cue_bound_to_z,camera_cue_score
94,7,v20-scene-d07,5.829613,1.580037,1.048923,0.132,1,0.995,1,1.0
95,7,v20-scene-d07,5.819051,1.580339,1.048923,0.0484,1,0.869,1,1.0
96,7,v20-scene-d07,5.810721,1.581837,1.048923,0.0902,1,0.9425,1,1.0
97,7,v20-scene-d07,5.804725,1.584516,1.048923,0.0704,1,0.918,1,1.0
98,8,v20-scene-d08,5.801137,1.588349,1.038291,0.0748,1,0.904,1,1.0
99,8,v20-scene-d08,5.800002,1.593297,1.018291,0.1276,1,0.945,1,1.0
100,8,v20-scene-d08,5.801333,1.599311,1.038291,0.044,1,0.869,1,1.0
101,8,v20-scene-d08,5.805115,1.606332,1.038291,0.0858,1,0.9425,1,1.0
102,8,v20-scene-d08,5.8113,1.614288,1.038291,0.066,1,0.918,1,1.0
103,8,v20-scene-d08,5.819812,1.623101,1.038291,0.1144,1,0.967,1,1.0
104,8,v20-scene-d08,5.830547,1.632682,1.038291,0.0704,1,0.904,1,1.0
105,8,v20-scene-d08,5.843371,1.642936,1.038291,0.1232,1,0.995,1,1.0
106,8,v20-scene-d08,5.858128,1.653759,1.018291,0.0396,1,0.819,1,1.0
107,8,v20-scene-d08,5.874633,1.665045,1.038291,0.0814,1,0.9425,1,1.0
108,8,v20-scene-d08,5.892685,1.67668,1.038291,0.0836,1,0.918,1,1.0
109,8,v20-scene-d08,5.912061,1.688549,1.038291,0.11,1,0.967,1,1.0
110,8,v20-scene-d08,5.932521,1.700531,1.038291,0.066,1,0.904,1,1.0
111,8,v20-scene-d08,5.953813,1.712508,1.038291,0.1188,1,0.995,1,1.0
112,9,v20-scene-d09,5.975675,1.724361,1.025645,0.099,1,0.9425,1,1.0
113,9,v20-scene-d09,5.997837,1.735969,1.005645,0.0792,1,0.868,1,1.0
114,9,v20-scene-d09,6.020026,1.747219,1.005645,0.1056,1,0.917,1,1.0
115,9,v20-scene-d09,6.041967,1.757997,1.025645,0.0616,1,0.904,1,1.0
116,9,v20-scene-d09,6.063391,1.768195,1.025645,0.1144,1,0.995,1,1.0
117,9,v20-scene-d09,6.084033,1.777712,1.025645,0.0528,1,0.869,1,1.0
118,9,v20-scene-d09,6.103639,1.786452,1.005645,0.0946,0,0.8925,0,0.5
119,9,v20-scene-d09,6.121967,1.794328,1.025645,0.0748,1,0.918,1,1.0
120,9,v20-scene-d09,6.13879,1.801262,1.005645,0.1012,1,0.917,1,1.0
121,9,v20-scene-d09,6.153902,1.807185,1.025645,0.0572,1,0.904,1,1.0
122,9,v20-scene-d09,6.167116,1.812036,1.025645,0.132,1,0.995,1,1.0
123,9,v20-scene-d09,6.178268,1.815768,1.025645,0.0484,1,0.869,1,1.0
124,9,v20-scene-d09,6.187222,1.818343,1.005645,0.0902,1,0.8925,1,1.0
125,9,v20-scene-d09,6.193867,1.819736,1.025645,0.0704,1,0.918,1,1.0
126,10,v20-scene-d10,6.198121,1.819932,1.012377,0.0748,1,0.904,1,1.0
127,10,v20-scene-d10,6.199932,1.81893,0.992377,0.1276,1,0.945,1,1.0
128,10,v20-scene-d10,6.199277,1.81674,1.012377,0.044,1,0.869,1,1.0
129,10,v20-scene-d10,6.196164,1.813383,1.012377,0.0858,1,0.9425,1,1.0
130,10,v20-scene-d10,6.190632,1.808894,1.012377,0.066,1,0.918,1,1.0
131,10,v20-scene-d10,6.182749,1.803316,1.012377,0.1144,1,0.967,1,1.0
132,10,v20-scene-d10,6.172612,1.796706,1.012377,0.0704,1,0.904,1,1.0
133,10,v20-scene-d10,6.160346,1.78913,1.012377,0.1232,1,0.995,1,1.0
134,10,v20-scene-d10,6.146103,1.780663,0.992377,0.0396,1,0.819,1,1.0
135,10,v20-scene-d10,6.130058,1.77139,1.012377,0.0814,1,0.9425,1,1.0
136,10,v20-scene-d10,6.112408,1.761404,1.012377,0.0836,1,0.918,1,1.0
137,10,v20-scene-d10,6.093373,1.750805,1.012377,0.11,1,0.967,1,1.0
138,10,v20-scene-d10,6.073186,1.739698,1.012377,0.066,1,0.904,1,1.0
139,10,v20-scene-d10,6.052096,1.728194,1.012377,0.1188,1,0.995,1,1.0
140,11,v20-scene-d11,6.030364,1.716408,0.999949,0.099,1,0.9425,1,1.0
141,11,v20-scene-d11,6.008257,1.704459,0.979949,0.0792,1,0.868,1,1.0
142,11,v20-scene-d11,5.986048,1.692465,0.999949,0.1056,1,0.967,1,1.0
143,11,v20-scene-d11,5.964012,1.680546,0.999949,0.0616,1,0.904,1,1.0
144,11,v20-scene-d11,5.942419,1.668822,0.999949,0.1144,1,0.995,1,1.0
145,11,v20-scene-d11,5.921537,1.657409,0.999949,0.0528,1,0.869,1,1.0
146,11,v20-scene-d11,5.901622,1.646422,0.999949,0.0946,1,0.9425,1,1.0
147,11,v20-scene-d11,5.882921,1.63597,0.979949,0.0748,1,0.868,1,1.0
148,11,v20-scene-d11,5.865663,1.626158,0.979949,0.1012,1,0.917,1,1.0
149,11,v20-scene-d11,5.850062,1.617083,0.999949,0.0572,1,0.904,1,1.0
150,11,v20-scene-d11,5.836311,1.608837,0.999949,0.132,1,0.995,1,1.0
151,11,v20-scene-d11,5.824578,1.601502,0.979949,0.0484,1,0.819,1,1.0
152,11,v20-scene-d11,5.815008,1.595152,0.999949,0.0902,1,0.9425,1,1.0
153,11,v20-scene-d11,5.807721,1.589848,0.999949,0.0704,1,0.918,1,1.0
154,12,v20-scene-d12,5.802804,1.585646,0.989728,0.0748,1,0.904,1,1.0
155,12,v20-scene-d12,5.80032,1.582586,0.969728,0.1276,0,0.945,0,0.5
156,12,v20-scene-d12,5.800298,1.580699,0.989728,0.044,1,0.869,1,1.0
157,12,v20-scene-d12,5.802739,1.580004,0.989728,0.0858,1,0.9425,1,1.0
158,12,v20-scene-d12,5.807613,1.580508,0.989728,0.066,1,0.918,1,1.0
159,12,v20-scene-d12,5.814859,1.582206,0.989728,0.1144,1,0.967,1,1.0
160,12,v20-scene-d12,5.824389,1.585081,0.989728,0.0704,1,0.904,1,1.0
161,12,v20-scene-d12,5.836085,1.589104,0.989728,0.1232,1,0.995,1,1.0
162,12,v20-scene-d12,5.849803,1.594235,0.969728,0.0396,1,0.819,1,1.0
163,12,v20-scene-d12,5.865372,1.600423,0.989728,0.0814,1,0.9425,1,1.0
164,12,v20-scene-d12,5.882602,1.607606,0.989728,0.0836,1,0.918,1,1.0
165,12,v20-scene-d12,5.90128,1.615712,0.989728,0.11,1,0.967,1,1.0
166,12,v20-scene-d12,5.921176,1.624661,0.989728,0.066,1,0.904,1,1.0
167,12,v20-scene-d12,5.942043,1.634362,0.989728,0.1188,1,0.995,1,1.0
168,13,v20-scene-d13,5.963626,1.644719,0.982839,0.099,1,0.9425,1,1.0
169,13,v20-scene-d13,5.985657,1.655628,0.962839,0.0792,1,0.868,1,1.0
170,13,v20-scene-d13,6.007865,1.66698,0.982839,0.1056,1,0.967,1,1.0
171,13,v20-scene-d13,6.029975,1.678663,0.982839,0.0616,1,0.904,1,1.0
172,13,v20-scene-d13,6.051717,1.690559,0.982839,0.1144,1,0.995,1,1.0
173,13,v20-scene-d13,6.07282,1.702549,0.982839,0.0528,1,0.869,1,1.0
174,13,v20-scene-d13,6.093025,1.714513,0.982839,0.0946,1,0.9425,1,1.0
175,13,v20-scene-d13,6.112083,1.726333,0.982839,0.0748,1,0.918,1,1.0
176,13,v20-scene-d13,6.129759,1.737889,0.962839,0.1012,1,0.917,1,1.0
177,13,v20-scene-d13,6.145834,1.749067,0.982839,0.0572,1,0.904,1,1.0
178,13,v20-scene-d13,6.160111,1.759755,0.982839,0.132,1,0.995,1,1.0
179,13,v20-scene-d13,6.172413,1.769845,0.982839,0.0484,1,0.869,1,1.0
180,13,v20-scene-d13,6.182589,1.779238,0.982839,0.0902,1,0.9425,1,1.0
181,13,v20-scene-d13,6.190513,1.787839,0.982839,0.0704,1,0.918,1,1.0
182,14,v20-scene-d14,6.196087,1.795562,0.980042,0.0748,1,0.904,1,1.0
183,14,v20-scene-d14,6.199243,1.802331,0.960042,0.1276,1,0.945,1,1.0
184,14,v20-scene-d14,6.199942,1.808077,0.980042,0.044,1,0.869,1,1.0
185,14,v20-scene-d14,6.198175,1.812743,0.980042,0.0858,1,0.9425,1,1.0
186,14,v20-scene-d14,6.193964,1.816283,0.960042,0.066,1,0.868,1,1.0
187,14,v20-scene-d14,6.18736,1.81866,0.980042,0.1144,1,0.967,1,1.0
188,14,v20-scene-d14,6.178446,1.819853,0.960042,0.0704,1,0.854,1,1.0
189,14,v20-scene-d14,6.167331,1.819847,0.980042,0.1232,1,0.995,1,1.0
190,14,v20-scene-d14,6.154153,1.818645,0.960042,0.0396,1,0.819,1,1.0
191,14,v20-scene-d14,6.139073,1.816256,0.980042,0.0814,1,0.9425,1,1.0
192,14,v20-scene-d14,6.122278,1.812706,0.980042,0.0836,0,0.918,0,0.5
193,14,v20-scene-d14,6.103975,1.80803,0.980042,0.11,1,0.967,1,1.0
194,14,v20-scene-d14,6.08439,1.802275,0.980042,0.066,1,0.904,1,1.0
195,14,v20-scene-d14,6.063764,1.795498,0.980042,0.1188,1,0.995,1,1.0
196,15,v20-scene-d15,6.042351,1.787766,0.981643,0.099,1,0.9425,1,1.0
197,15,v20-scene-d15,6.020416,1.779158,0.961643,0.0792,1,0.868,1,1.0
198,15,v20-scene-d15,5.99823,1.769759,0.981643,0.1056,1,0.967,1,1.0
199,15,v20-scene-d15,5.976065,1.759662,0.981643,0.0616,1,0.904,1,1.0
200,15,v20-scene-d15,5.954195,1.74897,0.981643,0.1144,1,0.995,1,1.0
201,15,v20-scene-d15,5.932891,1.737788,0.981643,0.0528,1,0.869,1,1.0
202,15,v20-scene-d15,5.912414,1.726229,0.981643,0.0946,1,0.9425,1,1.0
203,15,v20-scene-d15,5.893017,1.714407,0.981643,0.0748,1,0.918,1,1.0
204,15,v20-scene-d15,5.87494,1.702442,0.961643,0.1012,1,0.917,1,1.0
205,15,v20-scene-d15,5.858405,1.690452,0.961643,0.0572,1,0.854,1,1.0
206,15,v20-scene-d15,5.843616,1.678558,0.981643,0.132,1,0.995,1,1.0
207,15,v20-scene-d15,5.830756,1.666878,0.981643,0.0484,1,0.869,1,1.0
208,15,v20-scene-d15,5.819983,1.655529,0.981643,0.0902,1,0.9425,1,1.0
209,15,v20-scene-d15,5.811431,1.644624,0.961643,0.0704,1,0.868,1,1.0
210,16,v20-scene-d16,5.805204,1.634272,0.987467,0.0748,1,0.904,1,1.0
211,16,v20-scene-d16,5.801379,1.624578,0.967467,0.1276,1,0.945,1,1.0
212,16,v20-scene-d16,5.800004,1.615637,0.987467,0.044,1,0.869,1,1.0
213,16,v20-scene-d16,5.801096,1.607538,0.987467,0.0858,1,0.9425,1,1.0
214,16,v20-scene-d16,5.80464,1.600364,0.987467,0.066,1,0.918,1,1.0
215,16,v20-scene-d16,5.810594,1.594185,0.987467,0.1144,1,0.967,1,1.0
216,16,v20-scene-d16,5.818884,1.589063,0.987467,0.0704,1,0.904,1,1.0
217,16,v20-scene-d16,5.829408,1.58505,0.967467,0.1232,1,0.945,1,1.0
218,16,v20-scene-d16,5.842036,1.582186,0.967467,0.0396,1,0.819,1,1.0
219,16,v20-scene-d16,5.856611,1.580498,0.987467,0.0814,1,0.9425,1,1.0
220,16,v20-scene-d16,5.872955,1.580005,0.987467,0.0836,1,0.918,1,1.0
221,16,v20-scene-d16,5.890866,1.58071,0.987467,0.11,1,0.967,1,1.0
222,16,v20-scene-d16,5.910123,1.582608,0.987467,0.066,1,0.904,1,1.0
223,16,v20-scene-d16,5.930489,1.585678,0.987467,0.1188,1,0.995,1,1.0
224,17,v20-scene-d17,5.951711,1.589891,0.996872,0.099,1,0.9425,1,1.0
225,17,v20-scene-d17,5.97353,1.595203,0.976872,0.0792,1,0.868,1,1.0
226,17,v20-scene-d17,5.995674,1.601563,0.996872,0.1056,1,0.967,1,1.0
227,17,v20-scene-d17,6.017872,1.608907,0.996872,0.0616,1,0.904,1,1.0
228,17,v20-scene-d17,6.03985,1.61716,0.996872,0.1144,1,0.995,1,1.0
229,17,v20-scene-d17,6.061336,1.626242,0.996872,0.0528,0,0.869,0,0.5
230,17,v20-scene-d17,6.082066,1.63606,0.996872,0.0946,1,0.9425,1,1.0
231,17,v20-scene-d17,6.101783,1.646517,0.996872,0.0748,1,0.918,1,1.0
232,17,v20-scene-d17,6.120246,1.657509,0.976872,0.1012,1,0.917,1,1.0
233,17,v20-scene-d17,6.137225,1.668925,0.996872,0.0572,1,0.904,1,1.0
234,17,v20-scene-d17,6.152512,1.680651,0.976872,0.132,1,0.945,1,1.0
235,17,v20-scene-d17,6.165918,1.692571,0.996872,0.0484,1,0.869,1,1.0
236,17,v20-scene-d17,6.177277,1.704566,0.996872,0.0902,1,0.9425,1,1.0
237,17,v20-scene-d17,6.186451,1.716514,0.996872,0.0704,1,0.918,1,1.0
238,18,v20-scene-d18,6.193325,1.728298,1.008823,0.0748,1,0.904,1,1.0
239,18,v20-scene-d18,6.197814,1.739798,0.988823,0.1276,1,0.945,1,1.0
240,18,v20-scene-d18,6.199864,1.750901,1.008823,0.044,1,0.869,1,1.0
241,18,v20-scene-d18,6.199449,1.761496,1.008823,0.0858,1,0.9425,1,1.0
242,18,v20-scene-d18,6.196574,1.771476,1.008823,0.066,1,0.918,1,1.0
243,18,v20-scene-d18,6.191275,1.780742,1.008823,0.1144,1,0.967,1,1.0
244,18,v20-scene-d18,6.183617,1.789201,1.008823,0.0704,1,0.904,1,1.0
245,18,v20-scene-d18,6.173694,1.796769,1.008823,0.1232,1,0.995,1,1.0
246,18,v20-scene-d18,6.16163,1.80337,0.988823,0.0396,1,0.819,1,1.0
247,18,v20-scene-d18,6.147571,1.808938,1.008823,0.0814,1,0.9425,1,1.0
248,18,v20-scene-d18,6.131693,1.813418,0.988823,0.0836,1,0.868,1,1.0
249,18,v20-scene-d18,6.114191,1.816765,1.008823,0.11,1,0.967,1,1.0
250,18,v20-scene-d18,6.09528,1.818944,1.008823,0.066,1,0.904,1,1.0
251,18,v20-scene-d18,6.075194,1.819936,1.008823,0.1188,1,0.995,1,1.0
252,19,v20-scene-d19,6.054181,1.819729,1.022005,0.099,1,0.9425,1,1.0
253,19,v20-scene-d19,6.0325,1.818325,1.002005,0.0792,1,0.868,1,1.0
254,19,v20-scene-d19,6.010418,1.81574,1.022005,0.1056,1,0.967,1,1.0
255,19,v20-scene-d19,5.988207,1.811998,1.022005,0.0616,1,0.904,1,1.0
256,19,v20-scene-d19,5.966142,1.807137,1.022005,0.1144,1,0.995,1,1.0
257,19,v20-scene-d19,5.944494,1.801205,1.022005,0.0528,1,0.869,1,1.0
258,19,v20-scene-d19,5.923531,1.794263,1.022005,0.0946,1,0.9425,1,1.0
259,19,v20-scene-d19,5.903511,1.786378,1.022005,0.0748,1,0.918,1,1.0
260,19,v20-scene-d19,5.884681,1.77763,1.002005,0.1012,1,0.917,1,1.0
261,19,v20-scene-d19,5.867273,1.768107,1.022005,0.0572,1,0.904,1,1.0
262,19,v20-scene-d19,5.851502,1.757903,1.002005,0.132,1,0.945,1,1.0
263,19,v20-scene-d19,5.837563,1.747121,1.002005,0.0484,1,0.819,1,1.0
264,19,v20-scene-d19,5.825627,1.735868,1.022005,0.0902,1,0.9425,1,1.0
265,19,v20-scene-d19,5.815841,1.724256,1.022005,0.0704,1,0.918,1,1.0
266,20,v20-scene-d20,5.808327,1.712402,1.014966,0.0748,0,0.854,0,0.5
267,20,v20-scene-d20,5.803176,1.700425,1.014966,0.1276,1,0.945,1,1.0
268,20,v20-scene-d20,5.800453,1.688442,1.034966,0.044,1,0.869,1,1.0
269,20,v20-scene-d20,5.800191,1.676576,1.034966,0.0858,1,0.9425,1,1.0
270,20,v20-scene-d20,5.802394,1.664943,1.034966,0.066,1,0.918,1,1.0
271,20,v20-scene-d20,5.807033,1.653661,1.034966,0.1144,1,0.967,1,1.0
272,20,v20-scene-d20,5.814052,1.642842,1.034966,0.0704,1,0.904,1,1.0
273,20,v20-scene-d20,5.823365,1.632594,1.034966,0.1232,1,0.995,1,1.0
274,20,v20-scene-d20,5.834855,1.623019,1.014966,0.0396,1,0.819,1,1.0
275,20,v20-scene-d20,5.848383,1.614214,1.034966,0.0814,1,0.9425,1,1.0
276,20,v20-scene-d20,5.863781,1.606265,1.034966,0.0836,1,0.918,1,1.0
277,20,v20-scene-d20,5.880858,1.599253,1.034966,0.11,1,0.967,1,1.0
278,20,v20-scene-d20,5.899405,1.593248,1.034966,0.066,1,0.904,1,1.0
279,20,v20-scene-d20,5.919192,1.58831,1.014966,0.1188,1,0.945,1,1.0
280,21,v20-scene-d21,5.939977,1.584487,1.046279,0.099,1,0.9425,1,1.0
281,21,v20-scene-d21,5.961501,1.581819,1.026279,0.0792,1,0.868,1,1.0
282,21,v20-scene-d21,5.9835,1.580331,1.046279,0.1056,1,0.967,1,1.0
283,21,v20-scene-d21,6.005703,1.58004,1.046279,0.0616,1,0.904,1,1.0
284,21,v20-scene-d21,6.027835,1.580946,1.046279,0.1144,1,0.995,1,1.0
285,21,v20-scene-d21,6.049624,1.583043,1.046279,0.0528,1,0.869,1,1.0
286,21,v20-scene-d21,6.070801,1.586307,1.046279,0.0946,1,0.9425,1,1.0
287,21,v20-scene-d21,6.091105,1.590708,1.046279,0.0748,1,0.918,1,1.0
288,21,v20-scene-d21,6.110285,1.596201,1.026279,0.1012,1,0.917,1,1.0
289,21,v20-scene-d21,6.128105,1.602731,1.046279,0.0572,1,0.904,1,1.0
290,21,v20-scene-d21,6.144346,1.610233,1.046279,0.132,1,0.995,1,1.0
291,21,v20-scene-d21,6.158806,1.618632,1.046279,0.0484,1,0.869,1,1.0
292,21,v20-scene-d21,6.171307,1.627844,1.026279,0.0902,1,0.8925,1,1.0
293,21,v20-scene-d21,6.181696,1.637776,1.046279,0.0704,1,0.918,1,1.0
294,22,v20-scene-d22,6.189844,1.648331,1.0547,0.0748,1,0.904,1,1.0
295,22,v20-scene-d22,6.19565,1.659402,1.0347,0.1276,1,0.945,1,1.0
296,22,v20-scene-d22,6.199044,1.670878,1.0547,0.044,1,0.869,1,1.0
297,22,v20-scene-d22,6.199982,1.682645,1.0547,0.0858,1,0.9425,1,1.0
298,22,v20-scene-d22,6.198455,1.694586,1.0547,0.066,1,0.918,1,1.0
299,22,v20-scene-d22,6.19448,1.706581,1.0347,0.1144,1,0.917,1,1.0
300,22,v20-scene-d22,6.188106,1.71851,1.0547,0.0704,1,0.904,1,1.0
301,22,v20-scene-d22,6.179412,1.730254,1.0547,0.1232,1,0.995,1,1.0
302,22,v20-scene-d22,6.168506,1.741696,1.0347,0.0396,1,0.819,1,1.0
303,22,v20-scene-d22,6.155522,1.752721,1.0547,0.0814,0,0.9425,0,0.5
304,22,v20-scene-d22,6.140619,1.76322,1.0547,0.0836,1,0.918,1,1.0
305,22,v20-scene-d22,6.123982,1.773087,1.0547,0.11,1,0.967,1,1.0
306,22,v20-scene-d22,6.105817,1.782223,1.0547,0.066,1,0.904,1,1.0
307,22,v20-scene-d22,6.086346,1.790538,1.0547,0.1188,1,0.995,1,1.0
