environment,surface,scenario,planner,family,boundary_signature,causal_signature,intact_reward,ablated_reward,reward_loss,intact_mean_reward,ablated_mean_reward,intact_probe_rate,ablated_probe_rate,intact_risky_count,ablated_risky_count,intact_safe_count,ablated_safe_count,intact_failed_risky_count,ablated_failed_risky_count,latent_mean,latent_std,latent_self_accuracy,latent_world_accuracy,latent_control_accuracy,selected_model
sensor_frame,hidden body frame controls observation-action mapping,independent_hidden,bayesian_table_planner,tabular_world_model,no_shared_agent_boundary,no_shared_latent_causal,23000.0,23000.0,0.0,46.0,46.0,0.0,0.0,0,0,2000,2000,0,0,0.5732071713147411,0.0,0.566,0.522,0.732,marginal
sensor_frame,hidden body frame controls observation-action mapping,independent_hidden,linear_belief_planner,linear_reward_model,no_shared_agent_boundary,no_shared_latent_causal,23000.0,23000.0,0.0,46.0,46.0,0.0,0.0,0,0,2000,2000,0,0,0.2961455696376917,0.0,0.566,0.522,0.732,marginal
sensor_frame,hidden body frame controls observation-action mapping,independent_hidden,recurrent_belief_planner,recurrent_reward_model,no_shared_agent_boundary,no_shared_latent_causal,23000.0,23000.0,0.0,46.0,46.0,0.0,0.0,0,0,2000,2000,0,0,0.2961455696376917,0.0,0.566,0.522,0.732,marginal
sensor_frame,hidden body frame controls observation-action mapping,irrelevant_control,bayesian_table_planner,tabular_world_model,no_shared_agent_boundary,no_hidden_needed,62000.0,62000.0,0.0,124.0,124.0,0.0,0.0,2000,2000,0,0,0,0,0.99800796812749,0.0,0.512,0.568,0.5,no_hidden
sensor_frame,hidden body frame controls observation-action mapping,irrelevant_control,linear_belief_planner,linear_reward_model,no_shared_agent_boundary,no_hidden_needed,62000.0,62000.0,0.0,124.0,124.0,0.0,0.0,2000,2000,0,0,0,0,13.815509557935018,0.0,0.512,0.568,0.5,no_hidden
sensor_frame,hidden body frame controls observation-action mapping,irrelevant_control,recurrent_belief_planner,recurrent_reward_model,no_shared_agent_boundary,no_hidden_needed,62000.0,62000.0,0.0,124.0,124.0,0.0,0.0,2000,2000,0,0,0,0,13.815509557935018,0.0,0.512,0.568,0.5,no_hidden
continuity_commitment,hidden ownership state controls coherent recovery,agent_shared,bayesian_table_planner,tabular_world_model,agent_bounded_cross_env,agent_latent_causal,42750.0,21500.0,21250.0,85.5,43.0,1.0,0.0,1160,0,840,2000,0,0,0.5794435955197782,0.48963983347309303,1.0,0.536,1.0,probe_key_table
continuity_commitment,hidden ownership state controls coherent recovery,agent_shared,linear_belief_planner,linear_reward_model,agent_bounded_cross_env,agent_latent_causal,42750.0,21500.0,21250.0,85.5,43.0,1.0,0.0,1160,0,840,2000,0,0,1.28,7.896936114721962,1.0,0.536,1.0,linear_probe_belief
continuity_commitment,hidden ownership state controls coherent recovery,agent_shared,recurrent_belief_planner,recurrent_reward_model,agent_bounded_cross_env,agent_latent_causal,42750.0,21500.0,21250.0,85.5,43.0,1.0,0.0,1160,0,840,2000,0,0,0.22405465326141968,2.950824311770234,1.0,0.536,1.0,recurrent_probe_belief
continuity_commitment,hidden ownership state controls coherent recovery,world_shared,bayesian_table_planner,tabular_world_model,external_cross_env,external_latent_causal,41925.0,21500.0,20425.0,83.85,43.0,1.0,0.0,1116,0,884,2000,0,0,0.5577123518924633,0.4926756172153397,0.55,1.0,1.0,probe_key_table
continuity_commitment,hidden ownership state controls coherent recovery,world_shared,linear_belief_planner,linear_reward_model,external_cross_env,external_latent_causal,41925.0,21500.0,20425.0,83.85,43.0,1.0,0.0,1116,0,884,2000,0,0,0.928,7.945993707523308,0.55,1.0,1.0,linear_probe_belief
continuity_commitment,hidden ownership state controls coherent recovery,world_shared,recurrent_belief_planner,recurrent_reward_model,external_cross_env,external_latent_causal,41925.0,21500.0,20425.0,83.85,43.0,1.0,0.0,1116,0,884,2000,0,0,0.44662023463309786,2.9426989767141047,0.55,1.0,1.0,recurrent_probe_belief
continuity_commitment,hidden ownership state controls coherent recovery,independent_hidden,bayesian_table_planner,tabular_world_model,no_shared_agent_boundary,no_shared_latent_causal,21500.0,21500.0,0.0,43.0,43.0,0.0,0.0,0,0,2000,2000,0,0,0.5393426294820717,0.0,0.53,0.574,0.754,marginal
continuity_commitment,hidden ownership state controls coherent recovery,independent_hidden,linear_belief_planner,linear_reward_model,no_shared_agent_boundary,no_shared_latent_causal,21500.0,21500.0,0.0,43.0,43.0,0.0,0.0,0,0,2000,2000,0,0,0.1583299290028277,0.0,0.53,0.574,0.754,marginal
continuity_commitment,hidden ownership state controls coherent recovery,independent_hidden,recurrent_belief_planner,recurrent_reward_model,no_shared_agent_boundary,no_shared_latent_causal,21500.0,21500.0,0.0,43.0,43.0,0.0,0.0,0,0,2000,2000,0,0,0.1583299290028277,0.0,0.53,0.574,0.754,marginal
continuity_commitment,hidden ownership state controls coherent recovery,irrelevant_control,bayesian_table_planner,tabular_world_model,no_shared_agent_boundary,no_hidden_needed,59000.0,59000.0,0.0,118.0,118.0,0.0,0.0,2000,2000,0,0,0,0,0.99800796812749,0.0,0.586,0.584,0.5,no_hidden
continuity_commitment,hidden ownership state controls coherent recovery,irrelevant_control,linear_belief_planner,linear_reward_model,no_shared_agent_boundary,no_hidden_needed,59000.0,59000.0,0.0,118.0,118.0,0.0,0.0,2000,2000,0,0,0,0,13.815509557935018,0.0,0.586,0.584,0.5,no_hidden
continuity_commitment,hidden ownership state controls coherent recovery,irrelevant_control,recurrent_belief_planner,recurrent_reward_model,no_shared_agent_boundary,no_hidden_needed,59000.0,59000.0,0.0,118.0,118.0,0.0,0.0,2000,2000,0,0,0,0,13.815509557935018,0.0,0.586,0.584,0.5,no_hidden
