tick_id,day,settlement_id,localstorage_key,saved_avatar_position,saved_relationship_state,saved_memory_count,reload_probe,restore_integrity,replay_exportable
107,9,riverbend,ssrm.v38.world.riverbend,"0.410,0.652","{""access"": 0.555, ""respect"": 0.806, ""trust"": 0.732}",18,True,True,True
108,10,roofward,ssrm.v38.world.roofward,"0.095,0.424","{""access"": 0.58, ""respect"": 0.846, ""trust"": 0.762}",19,True,True,True
119,10,riverbend,ssrm.v38.world.riverbend,"0.500,0.576","{""access"": 0.59, ""respect"": 0.862, ""trust"": 0.774}",20,True,True,True
120,11,roofward,ssrm.v38.world.roofward,"0.050,0.462","{""access"": 0.52, ""respect"": 0.742, ""trust"": 0.684}",21,True,True,True
129,11,orchard,ssrm.v38.world.orchard,"0.050,0.500","{""access"": 0.54, ""respect"": 0.777, ""trust"": 0.709}",22,True,True,True
131,11,riverbend,ssrm.v38.world.riverbend,"0.590,0.576","{""access"": 0.56, ""respect"": 0.811, ""trust"": 0.737}",22,True,True,True
132,12,archive,ssrm.v38.world.archive,"0.905,0.386","{""access"": 0.605, ""respect"": 0.892, ""trust"": 0.794}",23,True,True,True
143,12,roofward,ssrm.v38.world.roofward,"0.140,0.576","{""access"": 0.57, ""respect"": 0.828, ""trust"": 0.746}",24,True,True,True
144,13,archive,ssrm.v38.world.archive,"0.815,0.348","{""access"": 0.62, ""respect"": 0.912, ""trust"": 0.814}",25,True,True,True
155,13,roofward,ssrm.v38.world.roofward,"0.230,0.500","{""access"": 0.63, ""respect"": 0.932, ""trust"": 0.824}",26,True,True,True
156,14,archive,ssrm.v38.world.archive,"0.725,0.386","{""access"": 0.665, ""respect"": 0.96, ""trust"": 0.874}",27,True,True,True
167,14,roofward,ssrm.v38.world.roofward,"0.320,0.500","{""access"": 0.62, ""respect"": 0.913, ""trust"": 0.811}",28,True,True,True
168,15,archive,ssrm.v38.world.archive,"0.635,0.386","{""access"": 0.605, ""respect"": 0.883, ""trust"": 0.791}",29,True,True,True
172,15,riverbend,ssrm.v38.world.riverbend,"0.590,0.576","{""access"": 0.65, ""respect"": 0.96, ""trust"": 0.851}",29,True,True,True
179,15,roofward,ssrm.v38.world.roofward,"0.410,0.576","{""access"": 0.635, ""respect"": 0.937, ""trust"": 0.829}",30,True,True,True
180,16,archive,ssrm.v38.world.archive,"0.545,0.348","{""access"": 0.66, ""respect"": 0.95, ""trust"": 0.864}",31,True,True,True
191,16,roofward,ssrm.v38.world.roofward,"0.500,0.500","{""access"": 0.625, ""respect"": 0.918, ""trust"": 0.816}",32,True,True,True
192,17,archive,ssrm.v38.world.archive,"0.455,0.386","{""access"": 0.655, ""respect"": 0.96, ""trust"": 0.856}",33,True,True,True
203,17,roofward,ssrm.v38.world.roofward,"0.590,0.500","{""access"": 0.675, ""respect"": 0.96, ""trust"": 0.881}",34,True,True,True
204,18,signal,ssrm.v38.world.signal,"0.545,0.538","{""access"": 0.65, ""respect"": 0.915, ""trust"": 0.846}",35,True,True,True
215,18,archive,ssrm.v38.world.archive,"0.500,0.500","{""access"": 0.715, ""respect"": 0.96, ""trust"": 0.931}",36,True,True,True
216,19,signal,ssrm.v38.world.signal,"0.455,0.500","{""access"": 0.62, ""respect"": 0.907, ""trust"": 0.809}",37,True,True,True
227,19,archive,ssrm.v38.world.archive,"0.590,0.424","{""access"": 0.72, ""respect"": 0.96, ""trust"": 0.941}",38,True,True,True
228,20,signal,ssrm.v38.world.signal,"0.365,0.538","{""access"": 0.71, ""respect"": 0.96, ""trust"": 0.926}",39,True,True,True
239,20,archive,ssrm.v38.world.archive,"0.680,0.424","{""access"": 0.72, ""respect"": 0.915, ""trust"": 0.925}",40,True,True,True
240,21,signal,ssrm.v38.world.signal,"0.275,0.538","{""access"": 0.66, ""respect"": 0.96, ""trust"": 0.861}",41,True,True,True
251,21,archive,ssrm.v38.world.archive,"0.770,0.500","{""access"": 0.725, ""respect"": 0.915, ""trust"": 0.925}",42,True,True,True
252,22,signal,ssrm.v38.world.signal,"0.185,0.500","{""access"": 0.74, ""respect"": 0.96, ""trust"": 0.96}",43,True,True,True
258,22,signal,ssrm.v38.world.signal,"0.140,0.500","{""access"": 0.76, ""respect"": 0.96, ""trust"": 0.96}",44,True,True,True
263,22,archive,ssrm.v38.world.archive,"0.860,0.424","{""access"": 0.76, ""respect"": 0.96, ""trust"": 0.96}",44,True,True,True
264,23,signal,ssrm.v38.world.signal,"0.095,0.538","{""access"": 0.7, ""respect"": 0.96, ""trust"": 0.911}",45,True,True,True
275,23,archive,ssrm.v38.world.archive,"0.950,0.424","{""access"": 0.755, ""respect"": 0.96, ""trust"": 0.96}",46,True,True,True
276,24,orchard,ssrm.v38.world.orchard,"0.545,0.462","{""access"": 0.74, ""respect"": 0.96, ""trust"": 0.96}",47,True,True,True
287,24,signal,ssrm.v38.world.signal,"0.140,0.652","{""access"": 0.78, ""respect"": 0.96, ""trust"": 0.96}",48,True,True,True
288,25,orchard,ssrm.v38.world.orchard,"0.455,0.424","{""access"": 0.77, ""respect"": 0.931, ""trust"": 0.937}",49,True,True,True
299,25,signal,ssrm.v38.world.signal,"0.230,0.576","{""access"": 0.765, ""respect"": 0.96, ""trust"": 0.96}",50,True,True,True
300,26,orchard,ssrm.v38.world.orchard,"0.365,0.462","{""access"": 0.735, ""respect"": 0.95, ""trust"": 0.95}",51,True,True,True
301,26,repair_ring,ssrm.v38.world.repair_ring,"0.950,0.462","{""access"": 0.815, ""respect"": 0.96, ""trust"": 0.96}",51,True,True,True
311,26,signal,ssrm.v38.world.signal,"0.320,0.576","{""access"": 0.785, ""respect"": 0.96, ""trust"": 0.96}",52,True,True,True
312,27,orchard,ssrm.v38.world.orchard,"0.275,0.462","{""access"": 0.82, ""respect"": 0.96, ""trust"": 0.96}",53,True,True,True
323,27,signal,ssrm.v38.world.signal,"0.410,0.652","{""access"": 0.805, ""respect"": 0.96, ""trust"": 0.96}",54,True,True,True
324,28,orchard,ssrm.v38.world.orchard,"0.185,0.424","{""access"": 0.775, ""respect"": 0.96, ""trust"": 0.96}",55,True,True,True
335,28,signal,ssrm.v38.world.signal,"0.500,0.576","{""access"": 0.815, ""respect"": 0.96, ""trust"": 0.96}",56,True,True,True
336,29,orchard,ssrm.v38.world.orchard,"0.095,0.462","{""access"": 0.815, ""respect"": 0.915, ""trust"": 0.925}",57,True,True,True
344,29,riverbend,ssrm.v38.world.riverbend,"0.590,0.576","{""access"": 0.845, ""respect"": 0.96, ""trust"": 0.96}",58,True,True,True
347,29,signal,ssrm.v38.world.signal,"0.590,0.576","{""access"": 0.845, ""respect"": 0.96, ""trust"": 0.96}",58,True,True,True
348,30,repair_ring,ssrm.v38.world.repair_ring,"0.905,0.386","{""access"": 0.875, ""respect"": 0.96, ""trust"": 0.96}",59,True,True,True
359,30,orchard,ssrm.v38.world.orchard,"0.140,0.576","{""access"": 0.85, ""respect"": 0.915, ""trust"": 0.925}",60,True,True,True
360,31,repair_ring,ssrm.v38.world.repair_ring,"0.815,0.348","{""access"": 0.85, ""respect"": 0.96, ""trust"": 0.96}",61,True,True,True
371,31,orchard,ssrm.v38.world.orchard,"0.230,0.500","{""access"": 0.8, ""respect"": 0.915, ""trust"": 0.925}",62,True,True,True
372,32,repair_ring,ssrm.v38.world.repair_ring,"0.725,0.386","{""access"": 0.905, ""respect"": 0.96, ""trust"": 0.96}",63,True,True,True
383,32,orchard,ssrm.v38.world.orchard,"0.320,0.500","{""access"": 0.89, ""respect"": 0.96, ""trust"": 0.96}",64,True,True,True
384,33,repair_ring,ssrm.v38.world.repair_ring,"0.635,0.386","{""access"": 0.89, ""respect"": 0.96, ""trust"": 0.96}",65,True,True,True
387,33,archive,ssrm.v38.world.archive,"0.635,0.386","{""access"": 0.89, ""respect"": 0.96, ""trust"": 0.96}",65,True,True,True
395,33,orchard,ssrm.v38.world.orchard,"0.410,0.576","{""access"": 0.83, ""respect"": 0.96, ""trust"": 0.96}",66,True,True,True
396,34,repair_ring,ssrm.v38.world.repair_ring,"0.545,0.348","{""access"": 0.955, ""respect"": 0.96, ""trust"": 0.96}",67,True,True,True
407,34,orchard,ssrm.v38.world.orchard,"0.500,0.500","{""access"": 0.93, ""respect"": 0.96, ""trust"": 0.96}",68,True,True,True
408,35,repair_ring,ssrm.v38.world.repair_ring,"0.455,0.386","{""access"": 0.95, ""respect"": 0.96, ""trust"": 0.96}",69,True,True,True
419,35,orchard,ssrm.v38.world.orchard,"0.590,0.500","{""access"": 0.88, ""respect"": 0.96, ""trust"": 0.96}",70,True,True,True
420,36,riverbend,ssrm.v38.world.riverbend,"0.545,0.538","{""access"": 0.91, ""respect"": 0.96, ""trust"": 0.96}",71,True,True,True
430,36,orchard,ssrm.v38.world.orchard,"0.590,0.500","{""access"": 0.93, ""respect"": 0.96, ""trust"": 0.96}",72,True,True,True
431,36,repair_ring,ssrm.v38.world.repair_ring,"0.500,0.500","{""access"": 0.93, ""respect"": 0.92, ""trust"": 0.93}",72,True,True,True
432,37,riverbend,ssrm.v38.world.riverbend,"0.455,0.500","{""access"": 0.95, ""respect"": 0.96, ""trust"": 0.96}",73,True,True,True
443,37,repair_ring,ssrm.v38.world.repair_ring,"0.590,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",74,True,True,True
444,38,riverbend,ssrm.v38.world.riverbend,"0.365,0.538","{""access"": 0.95, ""respect"": 0.96, ""trust"": 0.96}",75,True,True,True
455,38,repair_ring,ssrm.v38.world.repair_ring,"0.680,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",76,True,True,True
456,39,riverbend,ssrm.v38.world.riverbend,"0.275,0.538","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",77,True,True,True
467,39,repair_ring,ssrm.v38.world.repair_ring,"0.770,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",78,True,True,True
468,40,riverbend,ssrm.v38.world.riverbend,"0.185,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",79,True,True,True
473,40,repair_ring,ssrm.v38.world.repair_ring,"0.815,0.462","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",79,True,True,True
479,40,repair_ring,ssrm.v38.world.repair_ring,"0.860,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",80,True,True,True
480,41,riverbend,ssrm.v38.world.riverbend,"0.095,0.538","{""access"": 0.945, ""respect"": 0.931, ""trust"": 0.937}",81,True,True,True
491,41,repair_ring,ssrm.v38.world.repair_ring,"0.950,0.424","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",82,True,True,True
492,42,roofward,ssrm.v38.world.roofward,"0.545,0.462","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",83,True,True,True
503,42,riverbend,ssrm.v38.world.riverbend,"0.140,0.652","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",84,True,True,True
504,43,roofward,ssrm.v38.world.roofward,"0.455,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",85,True,True,True
515,43,riverbend,ssrm.v38.world.riverbend,"0.230,0.576","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",86,True,True,True
516,44,roofward,ssrm.v38.world.roofward,"0.365,0.462","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",87,True,True,True
527,44,riverbend,ssrm.v38.world.riverbend,"0.320,0.576","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",88,True,True,True
528,45,roofward,ssrm.v38.world.roofward,"0.275,0.462","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",89,True,True,True
539,45,riverbend,ssrm.v38.world.riverbend,"0.410,0.652","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",90,True,True,True
540,46,roofward,ssrm.v38.world.roofward,"0.185,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",91,True,True,True
551,46,riverbend,ssrm.v38.world.riverbend,"0.500,0.576","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",92,True,True,True
552,47,roofward,ssrm.v38.world.roofward,"0.095,0.462","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",93,True,True,True
559,47,archive,ssrm.v38.world.archive,"0.950,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",94,True,True,True
563,47,riverbend,ssrm.v38.world.riverbend,"0.590,0.576","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",94,True,True,True
564,48,archive,ssrm.v38.world.archive,"0.905,0.386","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",95,True,True,True
575,48,roofward,ssrm.v38.world.roofward,"0.140,0.576","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",96,True,True,True
576,49,archive,ssrm.v38.world.archive,"0.815,0.348","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",97,True,True,True
587,49,roofward,ssrm.v38.world.roofward,"0.230,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",98,True,True,True
588,50,archive,ssrm.v38.world.archive,"0.725,0.386","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",99,True,True,True
599,50,roofward,ssrm.v38.world.roofward,"0.320,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",100,True,True,True
600,51,archive,ssrm.v38.world.archive,"0.635,0.386","{""access"": 0.945, ""respect"": 0.931, ""trust"": 0.937}",101,True,True,True
602,51,orchard,ssrm.v38.world.orchard,"0.365,0.538","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",101,True,True,True
611,51,roofward,ssrm.v38.world.roofward,"0.410,0.576","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",102,True,True,True
612,52,archive,ssrm.v38.world.archive,"0.545,0.348","{""access"": 0.955, ""respect"": 0.95, ""trust"": 0.95}",103,True,True,True
623,52,roofward,ssrm.v38.world.roofward,"0.500,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",104,True,True,True
624,53,archive,ssrm.v38.world.archive,"0.455,0.386","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",105,True,True,True
635,53,roofward,ssrm.v38.world.roofward,"0.590,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",106,True,True,True
636,54,signal,ssrm.v38.world.signal,"0.545,0.538","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",107,True,True,True
645,54,riverbend,ssrm.v38.world.riverbend,"0.500,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",108,True,True,True
647,54,archive,ssrm.v38.world.archive,"0.500,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",108,True,True,True
648,55,signal,ssrm.v38.world.signal,"0.455,0.500","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",109,True,True,True
659,55,archive,ssrm.v38.world.archive,"0.590,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",110,True,True,True
660,56,signal,ssrm.v38.world.signal,"0.365,0.538","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",111,True,True,True
671,56,archive,ssrm.v38.world.archive,"0.680,0.424","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",112,True,True,True
672,57,signal,ssrm.v38.world.signal,"0.275,0.538","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",113,True,True,True
683,57,archive,ssrm.v38.world.archive,"0.770,0.500","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",114,True,True,True
684,58,signal,ssrm.v38.world.signal,"0.185,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",115,True,True,True
688,58,roofward,ssrm.v38.world.roofward,"0.590,0.538","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",115,True,True,True
695,58,archive,ssrm.v38.world.archive,"0.860,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",116,True,True,True
696,59,signal,ssrm.v38.world.signal,"0.095,0.538","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",117,True,True,True
707,59,archive,ssrm.v38.world.archive,"0.950,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",118,True,True,True
708,60,orchard,ssrm.v38.world.orchard,"0.545,0.462","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",119,True,True,True
719,60,signal,ssrm.v38.world.signal,"0.140,0.652","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",120,True,True,True
720,61,orchard,ssrm.v38.world.orchard,"0.455,0.424","{""access"": 0.945, ""respect"": 0.931, ""trust"": 0.937}",121,True,True,True
731,61,signal,ssrm.v38.world.signal,"0.230,0.576","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",122,True,True,True
732,62,orchard,ssrm.v38.world.orchard,"0.365,0.462","{""access"": 0.955, ""respect"": 0.95, ""trust"": 0.95}",123,True,True,True
743,62,signal,ssrm.v38.world.signal,"0.320,0.576","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",124,True,True,True
744,63,orchard,ssrm.v38.world.orchard,"0.275,0.462","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",125,True,True,True
755,63,signal,ssrm.v38.world.signal,"0.410,0.652","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",126,True,True,True
756,64,orchard,ssrm.v38.world.orchard,"0.185,0.424","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",127,True,True,True
767,64,signal,ssrm.v38.world.signal,"0.500,0.576","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",128,True,True,True
768,65,orchard,ssrm.v38.world.orchard,"0.095,0.462","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",129,True,True,True
774,65,orchard,ssrm.v38.world.orchard,"0.050,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",130,True,True,True
779,65,signal,ssrm.v38.world.signal,"0.590,0.576","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",130,True,True,True
780,66,repair_ring,ssrm.v38.world.repair_ring,"0.905,0.386","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",131,True,True,True
791,66,orchard,ssrm.v38.world.orchard,"0.140,0.576","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",132,True,True,True
792,67,repair_ring,ssrm.v38.world.repair_ring,"0.815,0.348","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",133,True,True,True
803,67,orchard,ssrm.v38.world.orchard,"0.230,0.500","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",134,True,True,True
804,68,repair_ring,ssrm.v38.world.repair_ring,"0.725,0.386","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",135,True,True,True
815,68,orchard,ssrm.v38.world.orchard,"0.320,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",136,True,True,True
816,69,repair_ring,ssrm.v38.world.repair_ring,"0.635,0.386","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",137,True,True,True
817,69,riverbend,ssrm.v38.world.riverbend,"0.590,0.576","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",137,True,True,True
827,69,orchard,ssrm.v38.world.orchard,"0.410,0.576","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",138,True,True,True
828,70,repair_ring,ssrm.v38.world.repair_ring,"0.545,0.348","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",139,True,True,True
839,70,orchard,ssrm.v38.world.orchard,"0.500,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",140,True,True,True
840,71,repair_ring,ssrm.v38.world.repair_ring,"0.455,0.386","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",141,True,True,True
851,71,orchard,ssrm.v38.world.orchard,"0.590,0.500","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",142,True,True,True
852,72,riverbend,ssrm.v38.world.riverbend,"0.545,0.538","{""access"": 0.96, ""respect"": 0.96, ""trust"": 0.96}",143,True,True,True
860,72,archive,ssrm.v38.world.archive,"0.500,0.500","{""access"": 0.935, ""respect"": 0.915, ""trust"": 0.925}",144,True,True,True
863,72,repair_ring,ssrm.v38.world.repair_ring,"0.500,0.500","{""access"": 0.94, ""respect"": 0.92, ""trust"": 0.93}",144,True,True,True
