live_tick_id,day,tick,agent_id,utterance_id,route_id,interpretation_id,response_id,memory_id,consequence_id,session_id,phase,vibration_hz,tick_note
live_utt_day3_ka60,3,40,ka60,utt_day3_ka60,route_utt_day3_ka60,interp_utt_day3_ka60,resp_utt_day3_ka60,mem_utt_day3_ka60,conseq_mem_utt_day3_ka60,sess_utt_day3_ka60,vesica,2.61,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day3_mu61,3,43,mu61,utt_day3_mu61,route_utt_day3_mu61,interp_utt_day3_mu61,resp_utt_day3_mu61,mem_utt_day3_mu61,conseq_mem_utt_day3_mu61,sess_utt_day3_mu61,triad,2.84,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day3_lo62,3,46,lo62,utt_day3_lo62,route_utt_day3_lo62,interp_utt_day3_lo62,resp_utt_day3_lo62,mem_utt_day3_lo62,conseq_mem_utt_day3_lo62,sess_utt_day3_lo62,square,3.07,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day3_sa63,3,49,sa63,utt_day3_sa63,route_utt_day3_sa63,interp_utt_day3_sa63,resp_utt_day3_sa63,mem_utt_day3_sa63,conseq_mem_utt_day3_sa63,sess_utt_day3_sa63,pentad,3.3,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day3_ni64,3,52,ni64,utt_day3_ni64,route_utt_day3_ni64,interp_utt_day3_ni64,resp_utt_day3_ni64,mem_utt_day3_ni64,conseq_mem_utt_day3_ni64,sess_utt_day3_ni64,hexad,3.53,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day5_ka60,5,55,ka60,utt_day5_ka60,route_utt_day5_ka60,interp_utt_day5_ka60,resp_utt_day5_ka60,mem_utt_day5_ka60,conseq_mem_utt_day5_ka60,sess_utt_day5_ka60,flower,2.95,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day5_mu61,5,58,mu61,utt_day5_mu61,route_utt_day5_mu61,interp_utt_day5_mu61,resp_utt_day5_mu61,mem_utt_day5_mu61,conseq_mem_utt_day5_mu61,sess_utt_day5_mu61,fruit,3.18,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day5_lo62,5,61,lo62,utt_day5_lo62,route_utt_day5_lo62,interp_utt_day5_lo62,resp_utt_day5_lo62,mem_utt_day5_lo62,conseq_mem_utt_day5_lo62,sess_utt_day5_lo62,return,3.41,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day5_sa63,5,64,sa63,utt_day5_sa63,route_utt_day5_sa63,interp_utt_day5_sa63,resp_utt_day5_sa63,mem_utt_day5_sa63,conseq_mem_utt_day5_sa63,sess_utt_day5_sa63,seed,3.64,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day5_ni64,5,67,ni64,utt_day5_ni64,route_utt_day5_ni64,interp_utt_day5_ni64,resp_utt_day5_ni64,mem_utt_day5_ni64,conseq_mem_utt_day5_ni64,sess_utt_day5_ni64,vesica,3.87,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day8_ka60,8,70,ka60,utt_day8_ka60,route_utt_day8_ka60,interp_utt_day8_ka60,resp_utt_day8_ka60,mem_utt_day8_ka60,conseq_mem_utt_day8_ka60,sess_utt_day8_ka60,triad,3.46,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day8_mu61,8,73,mu61,utt_day8_mu61,route_utt_day8_mu61,interp_utt_day8_mu61,resp_utt_day8_mu61,mem_utt_day8_mu61,conseq_mem_utt_day8_mu61,sess_utt_day8_mu61,square,3.69,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day8_lo62,8,76,lo62,utt_day8_lo62,route_utt_day8_lo62,interp_utt_day8_lo62,resp_utt_day8_lo62,mem_utt_day8_lo62,conseq_mem_utt_day8_lo62,sess_utt_day8_lo62,pentad,3.92,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day8_sa63,8,79,sa63,utt_day8_sa63,route_utt_day8_sa63,interp_utt_day8_sa63,resp_utt_day8_sa63,mem_utt_day8_sa63,conseq_mem_utt_day8_sa63,sess_utt_day8_sa63,hexad,4.15,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day8_ni64,8,82,ni64,utt_day8_ni64,route_utt_day8_ni64,interp_utt_day8_ni64,resp_utt_day8_ni64,mem_utt_day8_ni64,conseq_mem_utt_day8_ni64,sess_utt_day8_ni64,flower,4.38,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
