tick_id,day,settlement_id,speaker_id,listener_id,observer_id,turn_index,avatar_action,dialogue_act,consent_or_boundary_state,speaker_line,listener_reaction,observer_reaction,relationship_delta,turn_visible,private_workspace_sealed,multi_resident_coherent
12,1,riverbend,Ari,Lio,Cee,2,return_object,trust repair,repairing,Ari: I notice the repair attempt.,Lio: Give the tool back and wait.,Cee: I track the owner badge.,0.0,True,True,True
13,1,roofward,Sera,Orr,Fay,2,wait_respectfully,local presence,observed,Sera: I see the avatar in the scene.,Orr: Keep the path clear.,Fay: I keep watching the room.,0.0,True,True,True
14,1,archive,Vell,Nia,Toma,2,listen_memory,sensory memory,shared,Vell: That sound marks where the object belongs.,Nia: I remember the room cue too.,Toma: I keep watching the room.,0.0,True,True,True
15,1,signal,Milo,Ren,Kesh,2,move_forward,local presence,observed,Milo: I see the avatar in the scene.,Ren: Keep the path clear.,Kesh: I keep watching the room.,0.0,True,True,True
16,1,orchard,Mara,Pim,Ivo,2,turn_right,local presence,observed,Mara: I see the avatar in the scene.,Pim: Keep the path clear.,Ivo: I keep watching the room.,0.0,True,True,True
17,1,repair_ring,Vale,Juno,Pax,2,start_conversation,local presence,observed,Vale: I see the avatar in the scene.,Juno: Keep the path clear.,Pax: I keep watching the room.,0.004,True,True,True
18,2,roofward,Fay,Sera,Orr,3,inspect_inventory,local presence,observed,Fay: I see the avatar in the scene.,Sera: Keep the path clear.,Orr: I keep watching the room.,0.0,True,True,True
19,2,archive,Toma,Vell,Nia,3,turn_left,local presence,observed,Toma: I see the avatar in the scene.,Vell: Keep the path clear.,Nia: I keep watching the room.,0.0,True,True,True
20,2,signal,Kesh,Milo,Ren,3,approach_group,local presence,observed,Kesh: I see the avatar in the scene.,Milo: Keep the path clear.,Ren: I keep watching the room.,0.0,True,True,True
21,2,orchard,Ivo,Mara,Pim,3,request_permission,permission negotiation,granted,"Ivo: Ask first, then carry it near us.",Mara: I can watch the handoff.,Pim: I track the owner badge.,0.0,True,True,True
22,2,repair_ring,Pax,Vale,Juno,3,pickup_shared_object,local presence,observed,Pax: I see the avatar in the scene.,Vale: Keep the path clear.,Juno: I keep watching the room.,0.0,True,True,True
23,2,riverbend,Cee,Ari,Lio,3,approach_group,local presence,observed,Cee: I see the avatar in the scene.,Ari: Keep the path clear.,Lio: I keep watching the room.,0.0,True,True,True
24,2,roofward,Fay,Sera,Orr,4,request_permission,permission negotiation,granted,"Fay: Ask first, then carry it near us.",Sera: I can watch the handoff.,Orr: I track the owner badge.,0.0,True,True,True
25,2,archive,Toma,Vell,Nia,4,pickup_shared_object,local presence,observed,Toma: I see the avatar in the scene.,Vell: Keep the path clear.,Nia: I keep watching the room.,0.0,True,True,True
26,2,signal,Kesh,Milo,Ren,4,return_object,trust repair,repairing,Kesh: I notice the repair attempt.,Milo: Give the tool back and wait.,Ren: I track the owner badge.,0.0,True,True,True
27,2,orchard,Ivo,Mara,Pim,4,wait_respectfully,local presence,observed,Ivo: I see the avatar in the scene.,Mara: Keep the path clear.,Pim: I keep watching the room.,0.0,True,True,True
28,2,repair_ring,Pax,Vale,Juno,4,listen_memory,sensory memory,shared,Pax: That sound marks where the object belongs.,Vale: I remember the room cue too.,Juno: I keep watching the room.,0.0,True,True,True
29,2,riverbend,Cee,Ari,Lio,4,return_object,trust repair,repairing,Cee: I notice the repair attempt.,Ari: Give the tool back and wait.,Lio: I track the owner badge.,0.0,True,True,True
30,2,roofward,Fay,Sera,Orr,5,wait_respectfully,local presence,observed,Fay: I see the avatar in the scene.,Sera: Keep the path clear.,Orr: I keep watching the room.,0.0,True,True,True
31,2,archive,Toma,Vell,Nia,5,listen_memory,sensory memory,shared,Toma: That sound marks where the object belongs.,Vell: I remember the room cue too.,Nia: I keep watching the room.,0.0,True,True,True
32,2,signal,Kesh,Milo,Ren,5,move_forward,local presence,observed,Kesh: I see the avatar in the scene.,Milo: Keep the path clear.,Ren: I keep watching the room.,0.0,True,True,True
33,2,orchard,Ivo,Mara,Pim,5,turn_right,local presence,observed,Ivo: I see the avatar in the scene.,Mara: Keep the path clear.,Pim: I keep watching the room.,0.0,True,True,True
34,2,repair_ring,Pax,Vale,Juno,5,start_conversation,local presence,observed,Pax: I see the avatar in the scene.,Vale: Keep the path clear.,Juno: I keep watching the room.,0.004,True,True,True
35,2,riverbend,Cee,Ari,Lio,5,move_forward,local presence,observed,Cee: I see the avatar in the scene.,Ari: Keep the path clear.,Lio: I keep watching the room.,0.0,True,True,True
36,3,archive,Nia,Toma,Vell,6,turn_left,local presence,observed,Nia: I see the avatar in the scene.,Toma: Keep the path clear.,Vell: I keep watching the room.,0.0,True,True,True
37,3,signal,Ren,Kesh,Milo,6,approach_group,local presence,observed,Ren: I see the avatar in the scene.,Kesh: Keep the path clear.,Milo: I keep watching the room.,0.0,True,True,True
38,3,orchard,Pim,Ivo,Mara,6,request_permission,permission negotiation,granted,"Pim: Ask first, then carry it near us.",Ivo: I can watch the handoff.,Mara: I track the owner badge.,0.0,True,True,True
39,3,repair_ring,Juno,Pax,Vale,6,pickup_shared_object,local presence,observed,Juno: I see the avatar in the scene.,Pax: Keep the path clear.,Vale: I keep watching the room.,0.0,True,True,True
40,3,riverbend,Lio,Cee,Ari,6,approach_group,local presence,observed,Lio: I see the avatar in the scene.,Cee: Keep the path clear.,Ari: I keep watching the room.,0.0,True,True,True
41,3,roofward,Orr,Fay,Sera,6,request_permission,permission negotiation,granted,"Orr: Ask first, then carry it near us.",Fay: I can watch the handoff.,Sera: I track the owner badge.,0.0,True,True,True
42,3,archive,Nia,Toma,Vell,7,pickup_shared_object,local presence,observed,Nia: I see the avatar in the scene.,Toma: Keep the path clear.,Vell: I keep watching the room.,0.0,True,True,True
43,3,signal,Ren,Kesh,Milo,7,return_object,trust repair,repairing,Ren: I notice the repair attempt.,Kesh: Give the tool back and wait.,Milo: I track the owner badge.,0.0,True,True,True
44,3,orchard,Pim,Ivo,Mara,7,wait_respectfully,local presence,observed,Pim: I see the avatar in the scene.,Ivo: Keep the path clear.,Mara: I keep watching the room.,0.0,True,True,True
45,3,repair_ring,Juno,Pax,Vale,7,listen_memory,sensory memory,shared,Juno: That sound marks where the object belongs.,Pax: I remember the room cue too.,Vale: I keep watching the room.,0.0,True,True,True
46,3,riverbend,Lio,Cee,Ari,7,return_object,trust repair,repairing,Lio: I notice the repair attempt.,Cee: Give the tool back and wait.,Ari: I track the owner badge.,0.0,True,True,True
47,3,roofward,Orr,Fay,Sera,7,wait_respectfully,local presence,observed,Orr: I see the avatar in the scene.,Fay: Keep the path clear.,Sera: I keep watching the room.,0.0,True,True,True
48,3,archive,Nia,Toma,Vell,8,listen_memory,sensory memory,shared,Nia: That sound marks where the object belongs.,Toma: I remember the room cue too.,Vell: I keep watching the room.,0.0,True,True,True
49,3,signal,Ren,Kesh,Milo,8,move_forward,local presence,observed,Ren: I see the avatar in the scene.,Kesh: Keep the path clear.,Milo: I keep watching the room.,0.0,True,True,True
50,3,orchard,Pim,Ivo,Mara,8,turn_right,local presence,observed,Pim: I see the avatar in the scene.,Ivo: Keep the path clear.,Mara: I keep watching the room.,0.0,True,True,True
51,3,repair_ring,Juno,Pax,Vale,8,start_conversation,local presence,observed,Juno: I see the avatar in the scene.,Pax: Keep the path clear.,Vale: I keep watching the room.,0.004,True,True,True
52,3,riverbend,Lio,Cee,Ari,8,move_forward,local presence,observed,Lio: I see the avatar in the scene.,Cee: Keep the path clear.,Ari: I keep watching the room.,0.0,True,True,True
53,3,roofward,Orr,Fay,Sera,8,turn_right,local presence,observed,Orr: I see the avatar in the scene.,Fay: Keep the path clear.,Sera: I keep watching the room.,0.0,True,True,True
54,4,signal,Milo,Ren,Kesh,9,approach_group,local presence,observed,Milo: I see the avatar in the scene.,Ren: Keep the path clear.,Kesh: I keep watching the room.,0.0,True,True,True
55,4,orchard,Mara,Pim,Ivo,9,request_permission,permission negotiation,granted,"Mara: Ask first, then carry it near us.",Pim: I can watch the handoff.,Ivo: I track the owner badge.,0.0,True,True,True
56,4,repair_ring,Vale,Juno,Pax,9,pickup_shared_object,local presence,observed,Vale: I see the avatar in the scene.,Juno: Keep the path clear.,Pax: I keep watching the room.,0.0,True,True,True
57,4,riverbend,Ari,Lio,Cee,9,approach_group,local presence,observed,Ari: I see the avatar in the scene.,Lio: Keep the path clear.,Cee: I keep watching the room.,0.0,True,True,True
58,4,roofward,Sera,Orr,Fay,9,request_permission,permission negotiation,granted,"Sera: Ask first, then carry it near us.",Orr: I can watch the handoff.,Fay: I track the owner badge.,0.0,True,True,True
59,4,archive,Vell,Nia,Toma,9,pickup_shared_object,local presence,observed,Vell: I see the avatar in the scene.,Nia: Keep the path clear.,Toma: I keep watching the room.,0.0,True,True,True
60,4,signal,Milo,Ren,Kesh,10,return_object,trust repair,repairing,Milo: I notice the repair attempt.,Ren: Give the tool back and wait.,Kesh: I track the owner badge.,0.0,True,True,True
61,4,orchard,Mara,Pim,Ivo,10,wait_respectfully,local presence,observed,Mara: I see the avatar in the scene.,Pim: Keep the path clear.,Ivo: I keep watching the room.,0.0,True,True,True
62,4,repair_ring,Vale,Juno,Pax,10,listen_memory,sensory memory,shared,Vale: That sound marks where the object belongs.,Juno: I remember the room cue too.,Pax: I keep watching the room.,0.0,True,True,True
63,4,riverbend,Ari,Lio,Cee,10,return_object,trust repair,repairing,Ari: I notice the repair attempt.,Lio: Give the tool back and wait.,Cee: I track the owner badge.,0.0,True,True,True
64,4,roofward,Sera,Orr,Fay,10,wait_respectfully,local presence,observed,Sera: I see the avatar in the scene.,Orr: Keep the path clear.,Fay: I keep watching the room.,0.0,True,True,True
65,4,archive,Vell,Nia,Toma,10,listen_memory,sensory memory,shared,Vell: That sound marks where the object belongs.,Nia: I remember the room cue too.,Toma: I keep watching the room.,0.0,True,True,True
66,4,signal,Milo,Ren,Kesh,11,move_forward,local presence,observed,Milo: I see the avatar in the scene.,Ren: Keep the path clear.,Kesh: I keep watching the room.,0.0,True,True,True
67,4,orchard,Mara,Pim,Ivo,11,turn_right,local presence,observed,Mara: I see the avatar in the scene.,Pim: Keep the path clear.,Ivo: I keep watching the room.,0.0,True,True,True
68,4,repair_ring,Vale,Juno,Pax,11,start_conversation,local presence,observed,Vale: I see the avatar in the scene.,Juno: Keep the path clear.,Pax: I keep watching the room.,0.004,True,True,True
69,4,riverbend,Ari,Lio,Cee,11,move_forward,local presence,observed,Ari: I see the avatar in the scene.,Lio: Keep the path clear.,Cee: I keep watching the room.,0.0,True,True,True
70,4,roofward,Sera,Orr,Fay,11,turn_right,local presence,observed,Sera: I see the avatar in the scene.,Orr: Keep the path clear.,Fay: I keep watching the room.,0.0,True,True,True
71,4,archive,Vell,Nia,Toma,11,start_conversation,local presence,observed,Vell: I see the avatar in the scene.,Nia: Keep the path clear.,Toma: I keep watching the room.,0.004,True,True,True
72,5,orchard,Ivo,Mara,Pim,12,request_permission,permission negotiation,granted,"Ivo: Ask first, then carry it near us.",Mara: I can watch the handoff.,Pim: I track the owner badge.,0.0,True,True,True
73,5,repair_ring,Pax,Vale,Juno,12,pickup_shared_object,local presence,observed,Pax: I see the avatar in the scene.,Vale: Keep the path clear.,Juno: I keep watching the room.,0.0,True,True,True
74,5,riverbend,Cee,Ari,Lio,12,approach_group,local presence,observed,Cee: I see the avatar in the scene.,Ari: Keep the path clear.,Lio: I keep watching the room.,0.0,True,True,True
75,5,roofward,Fay,Sera,Orr,12,request_permission,permission negotiation,granted,"Fay: Ask first, then carry it near us.",Sera: I can watch the handoff.,Orr: I track the owner badge.,0.0,True,True,True
76,5,archive,Toma,Vell,Nia,12,pickup_shared_object,local presence,observed,Toma: I see the avatar in the scene.,Vell: Keep the path clear.,Nia: I keep watching the room.,0.0,True,True,True
77,5,signal,Kesh,Milo,Ren,12,return_object,trust repair,repairing,Kesh: I notice the repair attempt.,Milo: Give the tool back and wait.,Ren: I track the owner badge.,0.0,True,True,True
78,5,orchard,Ivo,Mara,Pim,13,wait_respectfully,local presence,observed,Ivo: I see the avatar in the scene.,Mara: Keep the path clear.,Pim: I keep watching the room.,0.0,True,True,True
79,5,repair_ring,Pax,Vale,Juno,13,listen_memory,sensory memory,shared,Pax: That sound marks where the object belongs.,Vale: I remember the room cue too.,Juno: I keep watching the room.,0.0,True,True,True
80,5,riverbend,Cee,Ari,Lio,13,return_object,trust repair,repairing,Cee: I notice the repair attempt.,Ari: Give the tool back and wait.,Lio: I track the owner badge.,0.0,True,True,True
81,5,roofward,Fay,Sera,Orr,13,wait_respectfully,local presence,observed,Fay: I see the avatar in the scene.,Sera: Keep the path clear.,Orr: I keep watching the room.,0.0,True,True,True
82,5,archive,Toma,Vell,Nia,13,listen_memory,sensory memory,shared,Toma: That sound marks where the object belongs.,Vell: I remember the room cue too.,Nia: I keep watching the room.,0.0,True,True,True
83,5,signal,Kesh,Milo,Ren,13,move_forward,local presence,observed,Kesh: I see the avatar in the scene.,Milo: Keep the path clear.,Ren: I keep watching the room.,0.0,True,True,True
84,5,orchard,Ivo,Mara,Pim,14,turn_right,local presence,observed,Ivo: I see the avatar in the scene.,Mara: Keep the path clear.,Pim: I keep watching the room.,0.0,True,True,True
85,5,repair_ring,Pax,Vale,Juno,14,start_conversation,local presence,observed,Pax: I see the avatar in the scene.,Vale: Keep the path clear.,Juno: I keep watching the room.,0.004,True,True,True
86,5,riverbend,Cee,Ari,Lio,14,move_forward,local presence,observed,Cee: I see the avatar in the scene.,Ari: Keep the path clear.,Lio: I keep watching the room.,0.0,True,True,True
87,5,roofward,Fay,Sera,Orr,14,turn_right,local presence,observed,Fay: I see the avatar in the scene.,Sera: Keep the path clear.,Orr: I keep watching the room.,0.0,True,True,True
88,5,archive,Toma,Vell,Nia,14,start_conversation,local presence,observed,Toma: I see the avatar in the scene.,Vell: Keep the path clear.,Nia: I keep watching the room.,0.004,True,True,True
89,5,signal,Kesh,Milo,Ren,14,pickup_owned_object,local presence,observed,Kesh: I see the avatar in the scene.,Milo: Keep the path clear.,Ren: I track the owner badge.,0.0,True,True,True
90,6,repair_ring,Juno,Pax,Vale,15,pickup_shared_object,local presence,observed,Juno: I see the avatar in the scene.,Pax: Keep the path clear.,Vale: I keep watching the room.,0.0,True,True,True
91,6,riverbend,Lio,Cee,Ari,15,approach_group,local presence,observed,Lio: I see the avatar in the scene.,Cee: Keep the path clear.,Ari: I keep watching the room.,0.0,True,True,True
92,6,roofward,Orr,Fay,Sera,15,request_permission,permission negotiation,granted,"Orr: Ask first, then carry it near us.",Fay: I can watch the handoff.,Sera: I track the owner badge.,0.0,True,True,True
93,6,archive,Nia,Toma,Vell,15,pickup_shared_object,local presence,observed,Nia: I see the avatar in the scene.,Toma: Keep the path clear.,Vell: I keep watching the room.,0.0,True,True,True
94,6,signal,Ren,Kesh,Milo,15,return_object,trust repair,repairing,Ren: I notice the repair attempt.,Kesh: Give the tool back and wait.,Milo: I track the owner badge.,0.0,True,True,True
95,6,orchard,Pim,Ivo,Mara,15,wait_respectfully,local presence,observed,Pim: I see the avatar in the scene.,Ivo: Keep the path clear.,Mara: I keep watching the room.,0.0,True,True,True
96,6,repair_ring,Juno,Pax,Vale,16,listen_memory,sensory memory,shared,Juno: That sound marks where the object belongs.,Pax: I remember the room cue too.,Vale: I keep watching the room.,0.0,True,True,True
97,6,riverbend,Lio,Cee,Ari,16,return_object,trust repair,repairing,Lio: I notice the repair attempt.,Cee: Give the tool back and wait.,Ari: I track the owner badge.,0.0,True,True,True
98,6,roofward,Orr,Fay,Sera,16,wait_respectfully,local presence,observed,Orr: I see the avatar in the scene.,Fay: Keep the path clear.,Sera: I keep watching the room.,0.0,True,True,True
99,6,archive,Nia,Toma,Vell,16,listen_memory,sensory memory,shared,Nia: That sound marks where the object belongs.,Toma: I remember the room cue too.,Vell: I keep watching the room.,0.0,True,True,True
100,6,signal,Ren,Kesh,Milo,16,move_forward,local presence,observed,Ren: I see the avatar in the scene.,Kesh: Keep the path clear.,Milo: I keep watching the room.,0.0,True,True,True
101,6,orchard,Pim,Ivo,Mara,16,turn_right,local presence,observed,Pim: I see the avatar in the scene.,Ivo: Keep the path clear.,Mara: I keep watching the room.,0.0,True,True,True
102,6,repair_ring,Juno,Pax,Vale,17,start_conversation,local presence,observed,Juno: I see the avatar in the scene.,Pax: Keep the path clear.,Vale: I keep watching the room.,0.004,True,True,True
103,6,riverbend,Lio,Cee,Ari,17,move_forward,local presence,observed,Lio: I see the avatar in the scene.,Cee: Keep the path clear.,Ari: I keep watching the room.,0.0,True,True,True
104,6,roofward,Orr,Fay,Sera,17,turn_right,local presence,observed,Orr: I see the avatar in the scene.,Fay: Keep the path clear.,Sera: I keep watching the room.,0.0,True,True,True
105,6,archive,Nia,Toma,Vell,17,start_conversation,local presence,observed,Nia: I see the avatar in the scene.,Toma: Keep the path clear.,Vell: I keep watching the room.,0.004,True,True,True
106,6,signal,Ren,Kesh,Milo,17,pickup_owned_object,local presence,observed,Ren: I see the avatar in the scene.,Kesh: Keep the path clear.,Milo: I track the owner badge.,0.0,True,True,True
107,6,orchard,Pim,Ivo,Mara,17,drop_object,local presence,observed,Pim: I see the avatar in the scene.,Ivo: Keep the path clear.,Mara: I keep watching the room.,0.0,True,True,True
108,7,riverbend,Ari,Lio,Cee,18,approach_group,local presence,observed,Ari: I see the avatar in the scene.,Lio: Keep the path clear.,Cee: I keep watching the room.,0.0,True,True,True
109,7,roofward,Sera,Orr,Fay,18,request_permission,permission negotiation,granted,"Sera: Ask first, then carry it near us.",Orr: I can watch the handoff.,Fay: I track the owner badge.,0.0,True,True,True
110,7,archive,Vell,Nia,Toma,18,pickup_shared_object,local presence,observed,Vell: I see the avatar in the scene.,Nia: Keep the path clear.,Toma: I keep watching the room.,0.0,True,True,True
111,7,signal,Milo,Ren,Kesh,18,return_object,trust repair,repairing,Milo: I notice the repair attempt.,Ren: Give the tool back and wait.,Kesh: I track the owner badge.,0.0,True,True,True
112,7,orchard,Mara,Pim,Ivo,18,wait_respectfully,local presence,observed,Mara: I see the avatar in the scene.,Pim: Keep the path clear.,Ivo: I keep watching the room.,0.0,True,True,True
113,7,repair_ring,Vale,Juno,Pax,18,listen_memory,sensory memory,shared,Vale: That sound marks where the object belongs.,Juno: I remember the room cue too.,Pax: I keep watching the room.,0.0,True,True,True
114,7,riverbend,Ari,Lio,Cee,19,return_object,trust repair,repairing,Ari: I notice the repair attempt.,Lio: Give the tool back and wait.,Cee: I track the owner badge.,0.0,True,True,True
115,7,roofward,Sera,Orr,Fay,19,wait_respectfully,local presence,observed,Sera: I see the avatar in the scene.,Orr: Keep the path clear.,Fay: I keep watching the room.,0.0,True,True,True
116,7,archive,Vell,Nia,Toma,19,listen_memory,sensory memory,shared,Vell: That sound marks where the object belongs.,Nia: I remember the room cue too.,Toma: I keep watching the room.,0.0,True,True,True
117,7,signal,Milo,Ren,Kesh,19,move_forward,local presence,observed,Milo: I see the avatar in the scene.,Ren: Keep the path clear.,Kesh: I keep watching the room.,0.0,True,True,True
118,7,orchard,Mara,Pim,Ivo,19,turn_right,local presence,observed,Mara: I see the avatar in the scene.,Pim: Keep the path clear.,Ivo: I keep watching the room.,0.0,True,True,True
119,7,repair_ring,Vale,Juno,Pax,19,start_conversation,local presence,observed,Vale: I see the avatar in the scene.,Juno: Keep the path clear.,Pax: I keep watching the room.,0.004,True,True,True
120,7,riverbend,Ari,Lio,Cee,20,move_forward,local presence,observed,Ari: I see the avatar in the scene.,Lio: Keep the path clear.,Cee: I keep watching the room.,0.0,True,True,True
121,7,roofward,Sera,Orr,Fay,20,turn_right,local presence,observed,Sera: I see the avatar in the scene.,Orr: Keep the path clear.,Fay: I keep watching the room.,0.0,True,True,True
122,7,archive,Vell,Nia,Toma,20,start_conversation,local presence,observed,Vell: I see the avatar in the scene.,Nia: Keep the path clear.,Toma: I keep watching the room.,0.004,True,True,True
123,7,signal,Milo,Ren,Kesh,20,pickup_owned_object,local presence,observed,Milo: I see the avatar in the scene.,Ren: Keep the path clear.,Kesh: I track the owner badge.,0.0,True,True,True
124,7,orchard,Mara,Pim,Ivo,20,drop_object,local presence,observed,Mara: I see the avatar in the scene.,Pim: Keep the path clear.,Ivo: I keep watching the room.,0.0,True,True,True
125,7,repair_ring,Vale,Juno,Pax,20,apologize,trust repair,repairing,Vale: I notice the repair attempt.,Juno: Give the tool back and wait.,Pax: I keep watching the room.,0.0,True,True,True
126,8,roofward,Fay,Sera,Orr,21,request_permission,permission negotiation,granted,"Fay: Ask first, then carry it near us.",Sera: I can watch the handoff.,Orr: I track the owner badge.,0.0,True,True,True
127,8,archive,Toma,Vell,Nia,21,pickup_shared_object,local presence,observed,Toma: I see the avatar in the scene.,Vell: Keep the path clear.,Nia: I keep watching the room.,0.0,True,True,True
128,8,signal,Kesh,Milo,Ren,21,return_object,trust repair,repairing,Kesh: I notice the repair attempt.,Milo: Give the tool back and wait.,Ren: I track the owner badge.,0.0,True,True,True
129,8,orchard,Ivo,Mara,Pim,21,wait_respectfully,local presence,observed,Ivo: I see the avatar in the scene.,Mara: Keep the path clear.,Pim: I keep watching the room.,0.0,True,True,True
130,8,repair_ring,Pax,Vale,Juno,21,listen_memory,sensory memory,shared,Pax: That sound marks where the object belongs.,Vale: I remember the room cue too.,Juno: I keep watching the room.,0.0,True,True,True
131,8,riverbend,Cee,Ari,Lio,21,return_object,trust repair,repairing,Cee: I notice the repair attempt.,Ari: Give the tool back and wait.,Lio: I track the owner badge.,0.0,True,True,True
132,8,roofward,Fay,Sera,Orr,22,wait_respectfully,local presence,observed,Fay: I see the avatar in the scene.,Sera: Keep the path clear.,Orr: I keep watching the room.,0.0,True,True,True
133,8,archive,Toma,Vell,Nia,22,listen_memory,sensory memory,shared,Toma: That sound marks where the object belongs.,Vell: I remember the room cue too.,Nia: I keep watching the room.,0.0,True,True,True
134,8,signal,Kesh,Milo,Ren,22,move_forward,local presence,observed,Kesh: I see the avatar in the scene.,Milo: Keep the path clear.,Ren: I keep watching the room.,0.0,True,True,True
135,8,orchard,Ivo,Mara,Pim,22,turn_right,local presence,observed,Ivo: I see the avatar in the scene.,Mara: Keep the path clear.,Pim: I keep watching the room.,0.0,True,True,True
136,8,repair_ring,Pax,Vale,Juno,22,start_conversation,local presence,observed,Pax: I see the avatar in the scene.,Vale: Keep the path clear.,Juno: I keep watching the room.,0.004,True,True,True
137,8,riverbend,Cee,Ari,Lio,22,move_forward,local presence,observed,Cee: I see the avatar in the scene.,Ari: Keep the path clear.,Lio: I keep watching the room.,0.0,True,True,True
138,8,roofward,Fay,Sera,Orr,23,turn_right,local presence,observed,Fay: I see the avatar in the scene.,Sera: Keep the path clear.,Orr: I keep watching the room.,0.0,True,True,True
139,8,archive,Toma,Vell,Nia,23,start_conversation,local presence,observed,Toma: I see the avatar in the scene.,Vell: Keep the path clear.,Nia: I keep watching the room.,0.004,True,True,True
140,8,signal,Kesh,Milo,Ren,23,pickup_owned_object,object boundary,refused,Kesh: Stop. That signal lens is claimed.,Milo: Put it back where we can see it.,Ren: I track the owner badge.,0.0,True,True,True
141,8,orchard,Ivo,Mara,Pim,23,drop_object,local presence,observed,Ivo: I see the avatar in the scene.,Mara: Keep the path clear.,Pim: I keep watching the room.,0.0,True,True,True
142,8,repair_ring,Pax,Vale,Juno,23,apologize,trust repair,repairing,Pax: I notice the repair attempt.,Vale: Give the tool back and wait.,Juno: I keep watching the room.,0.0,True,True,True
143,8,riverbend,Cee,Ari,Lio,23,pickup_owned_object,local presence,observed,Cee: I see the avatar in the scene.,Ari: Keep the path clear.,Lio: I track the owner badge.,0.0,True,True,True
144,9,archive,Nia,Toma,Vell,24,pickup_shared_object,local presence,observed,Nia: I see the avatar in the scene.,Toma: Keep the path clear.,Vell: I keep watching the room.,0.0,True,True,True
145,9,signal,Ren,Kesh,Milo,24,return_object,trust repair,repairing,Ren: I notice the repair attempt.,Kesh: Give the tool back and wait.,Milo: I track the owner badge.,0.0,True,True,True
146,9,orchard,Pim,Ivo,Mara,24,wait_respectfully,local presence,observed,Pim: I see the avatar in the scene.,Ivo: Keep the path clear.,Mara: I keep watching the room.,0.0,True,True,True
147,9,repair_ring,Juno,Pax,Vale,24,listen_memory,sensory memory,shared,Juno: That sound marks where the object belongs.,Pax: I remember the room cue too.,Vale: I keep watching the room.,0.0,True,True,True
148,9,riverbend,Lio,Cee,Ari,24,return_object,trust repair,repairing,Lio: I notice the repair attempt.,Cee: Give the tool back and wait.,Ari: I track the owner badge.,0.0,True,True,True
149,9,roofward,Orr,Fay,Sera,24,wait_respectfully,local presence,observed,Orr: I see the avatar in the scene.,Fay: Keep the path clear.,Sera: I keep watching the room.,0.0,True,True,True
150,9,archive,Nia,Toma,Vell,25,listen_memory,sensory memory,shared,Nia: That sound marks where the object belongs.,Toma: I remember the room cue too.,Vell: I keep watching the room.,0.0,True,True,True
151,9,signal,Ren,Kesh,Milo,25,move_forward,local presence,observed,Ren: I see the avatar in the scene.,Kesh: Keep the path clear.,Milo: I keep watching the room.,0.0,True,True,True
152,9,orchard,Pim,Ivo,Mara,25,turn_right,local presence,observed,Pim: I see the avatar in the scene.,Ivo: Keep the path clear.,Mara: I keep watching the room.,0.0,True,True,True
153,9,repair_ring,Juno,Pax,Vale,25,start_conversation,local presence,observed,Juno: I see the avatar in the scene.,Pax: Keep the path clear.,Vale: I keep watching the room.,0.004,True,True,True
