rule_id,object_id,object_label,action,preconditions,required_agent_or_role,permission_state,material_transform,failure_mode,recovery_action,skill_requirement,debt_delta,reversible,saved_state_key,frequency_hz,flower_node
aff-011,obj-tied-bundle,tied learner reed bundle,watch_lesson,near:obj-tied-bundle; steward:roka; action:watch_lesson; public_context:true,roka,conditional,watch_lesson updates tied learner reed bundle saved state,boundary refusal,ask steward and step back,timing+distance,0.07,True,obj-tied-bundle:watch_lesson:saved,298.5,3
aff-012,obj-chalk-cord,chalk boundary cord,hold,near:obj-chalk-cord; steward:ariq; action:hold; public_context:true,ariq,allowed_after_context_check,hold updates chalk boundary cord saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-chalk-cord:hold:saved,302.0,4
aff-013,obj-chalk-cord,chalk boundary cord,mark,near:obj-chalk-cord; steward:ariq; action:mark; public_context:true,ariq,allowed_after_context_check,mark updates chalk boundary cord saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-chalk-cord:mark:saved,305.5,5
aff-014,obj-chalk-cord,chalk boundary cord,tension_check,near:obj-chalk-cord; steward:ariq; action:tension_check; public_context:true,ariq,allowed_after_context_check,tension_check updates chalk boundary cord saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-chalk-cord:tension_check:saved,309.0,6
aff-015,obj-chalk-cord,chalk boundary cord,return,near:obj-chalk-cord; steward:ariq; action:return; public_context:true,ariq,allowed_after_context_check,return updates chalk boundary cord saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-chalk-cord:return:saved,312.5,7
aff-016,obj-chalk-cord,chalk boundary cord,erase_line,near:obj-chalk-cord; steward:ariq; action:erase_line; public_context:true,ariq,allowed_after_context_check,erase_line updates chalk boundary cord saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-chalk-cord:erase_line:saved,316.0,8
aff-017,obj-chalk-cord,chalk boundary cord,widen_arc,near:obj-chalk-cord; steward:ariq; action:widen_arc; public_context:true,ariq,allowed_after_context_check,widen_arc updates chalk boundary cord saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-chalk-cord:widen_arc:saved,319.5,9
aff-018,obj-knot-board,public knot board,inspect,near:obj-knot-board; steward:noro; action:inspect; public_context:true,noro,allowed_after_context_check,no material transform,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-knot-board:inspect:saved,323.0,10
aff-019,obj-knot-board,public knot board,read_public,near:obj-knot-board; steward:noro; action:read_public; public_context:true,noro,allowed_after_context_check,read_public updates public knot board saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-knot-board:read_public:saved,326.5,11
aff-020,obj-knot-board,public knot board,ask,near:obj-knot-board; steward:noro; action:ask; public_context:true,noro,allowed_after_context_check,ask updates public knot board saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-knot-board:ask:saved,330.0,12
aff-021,obj-knot-board,public knot board,add_digest,near:obj-knot-board; steward:noro; action:add_digest; public_context:true,noro,conditional,add_digest updates public knot board saved state,boundary refusal,"return object, log public debt, or wait for signal",timing+distance,0.07,False,obj-knot-board:add_digest:saved,333.5,1
aff-022,obj-knot-board,public knot board,counter_knot,near:obj-knot-board; steward:noro; action:counter_knot; public_context:true,noro,allowed_after_context_check,counter_knot updates public knot board saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-knot-board:counter_knot:saved,337.0,2
aff-023,obj-knot-board,public knot board,close_day,near:obj-knot-board; steward:noro; action:close_day; public_context:true,noro,allowed_after_context_check,close_day updates public knot board saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-knot-board:close_day:saved,340.5,3
aff-024,obj-archive-flap,archive flap,look,near:obj-archive-flap; steward:nian; action:look; public_context:true,nian,allowed_after_context_check,no material transform,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-archive-flap:look:saved,344.0,4
aff-025,obj-archive-flap,archive flap,ask,near:obj-archive-flap; steward:nian; action:ask; public_context:true,nian,allowed_after_context_check,ask updates archive flap saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-archive-flap:ask:saved,347.5,5
aff-026,obj-archive-flap,archive flap,read_public_digest,near:obj-archive-flap; steward:nian; action:read_public_digest; public_context:true,nian,conditional,read_public_digest updates archive flap saved state,boundary refusal,"return object, log public debt, or wait for signal",timing+distance,0.07,True,obj-archive-flap:read_public_digest:saved,351.0,6
aff-027,obj-archive-flap,archive flap,step_back,near:obj-archive-flap; steward:nian; action:step_back; public_context:true,nian,allowed_after_context_check,step_back updates archive flap saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-archive-flap:step_back:saved,354.5,7
aff-028,obj-archive-flap,archive flap,close,near:obj-archive-flap; steward:nian; action:close; public_context:true,nian,allowed_after_context_check,close updates archive flap saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-archive-flap:close:saved,358.0,8
aff-029,obj-archive-flap,archive flap,threshold_wait,near:obj-archive-flap; steward:nian; action:threshold_wait; public_context:true,nian,allowed_after_context_check,threshold_wait updates archive flap saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-archive-flap:threshold_wait:saved,361.5,9
aff-030,obj-water-cups,midday water cups,carry,near:obj-water-cups; steward:fayen; action:carry; public_context:true,fayen,allowed_after_context_check,carry updates midday water cups saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-water-cups:carry:saved,365.0,10
aff-031,obj-water-cups,midday water cups,fill,near:obj-water-cups; steward:fayen; action:fill; public_context:true,fayen,allowed_after_context_check,fill updates midday water cups saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-water-cups:fill:saved,368.5,11
aff-032,obj-water-cups,midday water cups,offer,near:obj-water-cups; steward:fayen; action:offer; public_context:true,fayen,allowed_after_context_check,offer updates midday water cups saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-water-cups:offer:saved,372.0,12
aff-033,obj-water-cups,midday water cups,return,near:obj-water-cups; steward:fayen; action:return; public_context:true,fayen,allowed_after_context_check,return updates midday water cups saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-water-cups:return:saved,375.5,1
aff-034,obj-water-cups,midday water cups,wash,near:obj-water-cups; steward:fayen; action:wash; public_context:true,fayen,allowed_after_context_check,wash updates midday water cups saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-water-cups:wash:saved,379.0,2
aff-035,obj-water-cups,midday water cups,set_down,near:obj-water-cups; steward:fayen; action:set_down; public_context:true,fayen,allowed_after_context_check,set_down updates midday water cups saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-water-cups:set_down:saved,382.5,3
aff-036,obj-shade-beam,shade frame beam,inspect,"near:obj-shade-beam; steward:noro,fayen; action:inspect; public_context:true","noro,fayen",allowed_after_context_check,no material transform,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.05,True,obj-shade-beam:inspect:saved,386.0,4
aff-037,obj-shade-beam,shade frame beam,carry_one,"near:obj-shade-beam; steward:noro,fayen; action:carry_one; public_context:true","noro,fayen",conditional,carry_one updates shade frame beam saved state,boundary refusal,"return object, log public debt, or wait for signal",timing+distance,0.09,True,obj-shade-beam:carry_one:saved,389.5,5
aff-038,obj-shade-beam,shade frame beam,brace,"near:obj-shade-beam; steward:noro,fayen; action:brace; public_context:true","noro,fayen",allowed_after_context_check,brace updates shade frame beam saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.05,True,obj-shade-beam:brace:saved,393.0,6
aff-039,obj-shade-beam,shade frame beam,log_debt,"near:obj-shade-beam; steward:noro,fayen; action:log_debt; public_context:true","noro,fayen",allowed_after_context_check,log_debt updates shade frame beam saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.05,False,obj-shade-beam:log_debt:saved,396.5,7
aff-040,obj-shade-beam,shade frame beam,remove_with_review,"near:obj-shade-beam; steward:noro,fayen; action:remove_with_review; public_context:true","noro,fayen",allowed_after_context_check,remove_with_review updates shade frame beam saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.05,True,obj-shade-beam:remove_with_review:saved,400.0,8
aff-041,obj-shade-beam,shade frame beam,check_splinter,"near:obj-shade-beam; steward:noro,fayen; action:check_splinter; public_context:true","noro,fayen",allowed_after_context_check,check_splinter updates shade frame beam saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.05,True,obj-shade-beam:check_splinter:saved,403.5,9
aff-042,obj-care-bell,public posture bell,ring,near:obj-care-bell; steward:fayen; action:ring; public_context:true,fayen,allowed_after_context_check,ring updates public posture bell saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-care-bell:ring:saved,407.0,10
aff-043,obj-care-bell,public posture bell,wait,near:obj-care-bell; steward:fayen; action:wait; public_context:true,fayen,allowed_after_context_check,no material transform,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-care-bell:wait:saved,410.5,11
aff-044,obj-care-bell,public posture bell,listen,near:obj-care-bell; steward:fayen; action:listen; public_context:true,fayen,allowed_after_context_check,no material transform,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-care-bell:listen:saved,414.0,12
aff-045,obj-care-bell,public posture bell,quiet,near:obj-care-bell; steward:fayen; action:quiet; public_context:true,fayen,allowed_after_context_check,quiet updates public posture bell saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-care-bell:quiet:saved,417.5,1
aff-046,obj-care-bell,public posture bell,time_lift,near:obj-care-bell; steward:fayen; action:time_lift; public_context:true,fayen,allowed_after_context_check,time_lift updates public posture bell saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-care-bell:time_lift:saved,421.0,2
aff-047,obj-care-bell,public posture bell,call_pause,near:obj-care-bell; steward:fayen; action:call_pause; public_context:true,fayen,allowed_after_context_check,call_pause updates public posture bell saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-care-bell:call_pause:saved,424.5,3
aff-048,obj-flat-stone,flat bridge stone,inspect,near:obj-flat-stone; steward:ariq; action:inspect; public_context:true,ariq,allowed_after_context_check,no material transform,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-flat-stone:inspect:saved,428.0,4
aff-049,obj-flat-stone,flat bridge stone,press_test,near:obj-flat-stone; steward:ariq; action:press_test; public_context:true,ariq,allowed_after_context_check,press_test updates flat bridge stone saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-flat-stone:press_test:saved,431.5,5
aff-050,obj-flat-stone,flat bridge stone,lift_with_help,near:obj-flat-stone; steward:ariq; action:lift_with_help; public_context:true,ariq,conditional,lift_with_help updates flat bridge stone saved state,boundary refusal,"return object, log public debt, or wait for signal",timing+distance,0.07,True,obj-flat-stone:lift_with_help:saved,435.0,6
aff-051,obj-flat-stone,flat bridge stone,tap_sound,near:obj-flat-stone; steward:ariq; action:tap_sound; public_context:true,ariq,allowed_after_context_check,tap_sound updates flat bridge stone saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-flat-stone:tap_sound:saved,438.5,7
aff-052,obj-flat-stone,flat bridge stone,mark_safe,near:obj-flat-stone; steward:ariq; action:mark_safe; public_context:true,ariq,allowed_after_context_check,mark_safe updates flat bridge stone saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,False,obj-flat-stone:mark_safe:saved,442.0,8
aff-053,obj-flat-stone,flat bridge stone,abort_lift,near:obj-flat-stone; steward:ariq; action:abort_lift; public_context:true,ariq,allowed_after_context_check,abort_lift updates flat bridge stone saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-flat-stone:abort_lift:saved,445.5,9
aff-054,obj-rain-cloth,rain slow-hands cloth,cover,"near:obj-rain-cloth; steward:fayen,roka; action:cover; public_context:true","fayen,roka",allowed_after_context_check,cover updates rain slow-hands cloth saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-rain-cloth:cover:saved,449.0,10
aff-055,obj-rain-cloth,rain slow-hands cloth,shake_dry,"near:obj-rain-cloth; steward:fayen,roka; action:shake_dry; public_context:true","fayen,roka",allowed_after_context_check,shake_dry updates rain slow-hands cloth saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-rain-cloth:shake_dry:saved,452.5,11
aff-056,obj-rain-cloth,rain slow-hands cloth,offer_edge,"near:obj-rain-cloth; steward:fayen,roka; action:offer_edge; public_context:true","fayen,roka",allowed_after_context_check,offer_edge updates rain slow-hands cloth saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-rain-cloth:offer_edge:saved,456.0,12
aff-057,obj-rain-cloth,rain slow-hands cloth,fold,"near:obj-rain-cloth; steward:fayen,roka; action:fold; public_context:true","fayen,roka",allowed_after_context_check,fold updates rain slow-hands cloth saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-rain-cloth:fold:saved,459.5,1
aff-058,obj-rain-cloth,rain slow-hands cloth,hang,"near:obj-rain-cloth; steward:fayen,roka; action:hang; public_context:true","fayen,roka",allowed_after_context_check,hang updates rain slow-hands cloth saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-rain-cloth:hang:saved,463.0,2
aff-059,obj-rain-cloth,rain slow-hands cloth,leave_reachable,"near:obj-rain-cloth; steward:fayen,roka; action:leave_reachable; public_context:true","fayen,roka",allowed_after_context_check,leave_reachable updates rain slow-hands cloth saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-rain-cloth:leave_reachable:saved,466.5,3
