tick,day,ceremony_id,scene_id,agent,object_name,object_x,object_y,handoff_target_x,handoff_target_y,object_path_clear,contact_respected,ceremony_step_completed,collision_aware_score
61,5,v20-ceremony-d05-t05,v20-scene-d05,Sova,ember bowl,6.284442,4.108118,6.613958,4.4967,1,1,1,1.0
62,5,v20-ceremony-d05-t06,v20-scene-d05,Keth,path cord,6.073228,4.156795,6.219945,4.556545,0,0,0,0.25
63,5,v20-ceremony-d05-t07,v20-scene-d05,Melo,tally beads,5.849875,4.14633,5.878399,4.507785,1,1,1,1.0
64,5,v20-ceremony-d05-t08,v20-scene-d05,Nari,ink ledger,5.651407,4.078457,5.695168,4.322775,1,1,0,1.0
65,5,v20-ceremony-d05-t09,v20-scene-d05,Ori,sap hook,5.510722,3.964429,5.437912,4.217351,1,1,1,1.0
66,5,v20-ceremony-d05-t10,v20-scene-d05,Vonn,listening shell,5.451138,3.823144,5.543252,3.882007,1,1,1,1.0
67,5,v20-ceremony-d05-t11,v20-scene-d05,Sova,ember bowl,5.482533,3.678024,5.521926,3.85815,1,1,1,1.0
68,5,v20-ceremony-d05-t12,v20-scene-d05,Keth,path cord,5.599702,3.553121,5.894967,3.619295,1,1,1,1.0
69,5,v20-ceremony-d05-t13,v20-scene-d05,Melo,tally beads,5.783224,3.469142,6.046994,3.55287,1,1,1,1.0
70,6,v20-ceremony-d06-t00,v20-scene-d06,Ori,sap hook,6.095689,3.44549,6.410012,3.565074,1,1,1,1.0
71,6,v20-ceremony-d06-t01,v20-scene-d06,Vonn,listening shell,6.30365,3.499838,6.92073,3.767984,1,1,0,1.0
72,6,v20-ceremony-d06-t02,v20-scene-d06,Sova,ember bowl,6.461278,3.60394,6.906342,3.789574,1,1,1,1.0
73,6,v20-ceremony-d06-t03,v20-scene-d06,Keth,path cord,6.542446,3.74054,7.082262,4.092827,1,1,1,1.0
74,6,v20-ceremony-d06-t04,v20-scene-d06,Melo,tally beads,6.533699,3.886997,6.926351,4.259853,1,1,1,1.0
75,6,v20-ceremony-d06-t05,v20-scene-d06,Nari,ink ledger,6.436487,4.019033,6.7855,4.471863,1,1,1,1.0
76,6,v20-ceremony-d06-t06,v20-scene-d06,Ori,sap hook,6.266923,4.114762,6.447883,4.526089,1,1,1,1.0
77,6,v20-ceremony-d06-t07,v20-scene-d06,Vonn,listening shell,6.053115,4.158317,6.043546,4.536725,1,0,0,0.5
78,6,v20-ceremony-d06-t08,v20-scene-d06,Sova,ember bowl,5.830502,4.142478,5.97187,4.528505,1,1,0,1.0
79,6,v20-ceremony-d06-t09,v20-scene-d06,Keth,path cord,5.635985,4.069871,5.669282,4.336923,1,1,1,1.0
80,6,v20-ceremony-d06-t10,v20-scene-d06,Melo,tally beads,5.501807,3.95253,5.470556,4.179888,1,1,1,1.0
81,6,v20-ceremony-d06-t11,v20-scene-d06,Nari,ink ledger,5.450208,3.809906,5.607913,3.902953,1,1,1,1.0
82,6,v20-ceremony-d06-t12,v20-scene-d06,Ori,sap hook,5.489742,3.66564,5.498397,3.795494,1,1,1,1.0
83,6,v20-ceremony-d06-t13,v20-scene-d06,Vonn,listening shell,5.613856,3.543645,5.988749,3.576063,1,1,1,1.0
84,7,v20-ceremony-d07-t00,v20-scene-d07,Keth,path cord,5.89164,3.447056,6.350038,3.540681,1,1,1,1.0
85,7,v20-ceremony-d07-t01,v20-scene-d07,Melo,tally beads,6.115559,3.448036,6.515853,3.578623,1,1,0,1.0
86,7,v20-ceremony-d07-t02,v20-scene-d07,Nari,ink ledger,6.320323,3.507357,6.976627,3.749903,1,1,1,1.0
87,7,v20-ceremony-d07-t03,v20-scene-d07,Ori,sap hook,6.471991,3.615185,6.88409,3.851814,1,1,1,1.0
88,7,v20-ceremony-d07-t04,v20-scene-d07,Vonn,listening shell,6.545422,3.753649,7.021739,4.186469,1,1,1,1.0
89,7,v20-ceremony-d07-t05,v20-scene-d07,Sova,ember bowl,6.528445,3.899795,6.975441,4.210859,1,1,0,0.75
90,7,v20-ceremony-d07-t06,v20-scene-d07,Keth,path cord,6.423874,4.0294,6.766529,4.462122,1,1,1,1.0
91,7,v20-ceremony-d07-t07,v20-scene-d07,Melo,tally beads,6.249042,4.12098,6.441545,4.538718,1,1,1,1.0
92,7,v20-ceremony-d07-t08,v20-scene-d07,Nari,ink ledger,6.03293,4.159354,6.150694,4.542847,1,1,0,1.0
93,7,v20-ceremony-d07-t09,v20-scene-d07,Ori,sap hook,5.811359,4.138163,5.805202,4.499968,0,0,0,0.25
94,7,v20-ceremony-d07-t10,v20-scene-d07,Vonn,listening shell,5.621057,4.060918,5.564449,4.25362,1,1,1,1.0
95,7,v20-ceremony-d07-t11,v20-scene-d07,Sova,ember bowl,5.493567,3.940424,5.514873,4.229996,1,1,1,1.0
96,7,v20-ceremony-d07-t12,v20-scene-d07,Keth,path cord,5.450024,3.796654,5.560907,3.919236,1,1,1,1.0
97,7,v20-ceremony-d07-t13,v20-scene-d07,Melo,tally beads,5.497643,3.653438,5.580057,3.762329,1,1,1,1.0
98,8,v20-ceremony-d08-t00,v20-scene-d08,Ori,sap hook,5.702508,3.497208,5.845868,3.586747,1,1,1,1.0
99,8,v20-ceremony-d08-t01,v20-scene-d08,Vonn,listening shell,5.91156,3.444685,6.458089,3.554436,1,1,0,1.0
100,8,v20-ceremony-d08-t02,v20-scene-d08,Sova,ember bowl,6.135272,3.451058,6.460498,3.561077,1,1,1,1.0
101,8,v20-ceremony-d08-t03,v20-scene-d08,Keth,path cord,6.336562,3.515272,6.921151,3.736385,1,1,1,1.0
102,8,v20-ceremony-d08-t04,v20-scene-d08,Melo,tally beads,6.482063,3.626682,6.955096,3.888459,1,1,1,1.0
103,8,v20-ceremony-d08-t05,v20-scene-d08,Nari,ink ledger,6.547659,3.76682,7.104996,4.165128,1,1,1,1.0
104,8,v20-ceremony-d08-t06,v20-scene-d08,Ori,sap hook,6.522476,3.912459,6.865229,4.275363,1,1,1,1.0
105,8,v20-ceremony-d08-t07,v20-scene-d08,Vonn,listening shell,6.410687,4.039456,6.607271,4.510749,1,1,1,1.0
106,8,v20-ceremony-d08-t08,v20-scene-d08,Sova,ember bowl,6.230824,4.126762,6.536862,4.521102,1,1,0,1.0
107,8,v20-ceremony-d08-t09,v20-scene-d08,Keth,path cord,6.0127,4.159904,6.135652,4.546927,1,1,1,1.0
108,8,v20-ceremony-d08-t10,v20-scene-d08,Melo,tally beads,5.792471,4.133389,5.803806,4.480219,1,1,1,1.0
109,8,v20-ceremony-d08-t11,v20-scene-d08,Nari,ink ledger,5.606641,4.051612,5.65347,4.273617,1,1,1,1.0
110,8,v20-ceremony-d08-t12,v20-scene-d08,Ori,sap hook,5.486014,3.928128,5.414343,4.163232,1,1,1,1.0
111,8,v20-ceremony-d08-t13,v20-scene-d08,Vonn,listening shell,5.450585,3.783406,5.575848,3.829955,1,1,1,1.0
112,9,v20-ceremony-d09-t00,v20-scene-d09,Keth,path cord,5.554328,3.589041,5.813888,3.65819,1,1,1,1.0
113,9,v20-ceremony-d09-t01,v20-scene-d09,Melo,tally beads,5.719736,3.490246,5.950845,3.571744,1,1,0,1.0
114,9,v20-ceremony-d09-t02,v20-scene-d09,Nari,ink ledger,5.9316,3.442795,6.500407,3.549696,0,0,0,0.0
115,9,v20-ceremony-d09-t03,v20-scene-d09,Ori,sap hook,6.154802,3.454554,6.48977,3.585437,1,1,1,1.0
116,9,v20-ceremony-d09-t04,v20-scene-d09,Vonn,listening shell,6.352345,3.523573,6.964031,3.816539,1,1,1,1.0
117,9,v20-ceremony-d09-t05,v20-scene-d09,Sova,ember bowl,6.491483,3.638413,6.945901,3.839492,1,1,1,1.0
118,9,v20-ceremony-d09-t06,v20-scene-d09,Keth,path cord,6.549154,3.780037,7.070384,4.14858,1,1,0,0.75
119,9,v20-ceremony-d09-t07,v20-scene-d09,Melo,tally beads,6.515798,3.92497,6.886899,4.309807,1,1,1,1.0
120,9,v20-ceremony-d09-t08,v20-scene-d09,Nari,ink ledger,6.396944,4.049188,6.712188,4.50088,1,1,0,1.0
121,9,v20-ceremony-d09-t09,v20-scene-d09,Ori,sap hook,6.212294,4.132101,6.366449,4.543343,1,1,1,1.0
122,9,v20-ceremony-d09-t10,v20-scene-d09,Vonn,listening shell,5.992454,4.159966,5.963435,4.516972,1,1,1,1.0
123,9,v20-ceremony-d09-t11,v20-scene-d09,Sova,ember bowl,5.773865,4.128163,5.893358,4.506141,1,1,1,1.0
124,9,v20-ceremony-d09-t12,v20-scene-d09,Keth,path cord,5.592759,4.041965,5.625128,4.288702,0,0,0,0.25
125,9,v20-ceremony-d09-t13,v20-scene-d09,Melo,tally beads,5.479158,3.915659,5.453367,4.124738,1,1,1,1.0
126,10,v20-ceremony-d10-t00,v20-scene-d10,Ori,sap hook,5.467498,3.709915,5.45406,3.854725,1,1,1,1.0
127,10,v20-ceremony-d10-t01,v20-scene-d10,Vonn,listening shell,5.566492,3.578447,5.898103,3.604372,1,1,0,1.0
128,10,v20-ceremony-d10-t02,v20-scene-d10,Sova,ember bowl,5.737344,3.483704,5.897419,3.592532,1,1,1,1.0
129,10,v20-ceremony-d10-t03,v20-scene-d10,Keth,path cord,5.951733,3.441389,6.4351,3.546688,1,1,1,1.0
130,10,v20-ceremony-d10-t04,v20-scene-d10,Melo,tally beads,6.174122,3.458517,6.593001,3.602955,1,1,1,1.0
131,10,v20-ceremony-d10-t05,v20-scene-d10,Nari,ink ledger,6.36765,3.532249,7.023072,3.797181,1,1,1,1.0
132,10,v20-ceremony-d10-t06,v20-scene-d10,Ori,sap hook,6.500236,3.650363,6.912933,3.904815,1,1,1,1.0
133,10,v20-ceremony-d10-t07,v20-scene-d10,Vonn,listening shell,6.549904,3.79328,6.994331,4.2398,1,1,1,1.0
134,10,v20-ceremony-d10-t08,v20-scene-d10,Sova,ember bowl,6.508421,3.937311,6.944018,4.263222,1,1,0,1.0
135,10,v20-ceremony-d10-t09,v20-scene-d10,Keth,path cord,6.382663,4.058582,6.694721,4.492724,1,1,1,1.0
136,10,v20-ceremony-d10-t10,v20-scene-d10,Melo,tally beads,6.193475,4.136991,6.358339,4.551809,1,1,1,1.0
137,10,v20-ceremony-d10-t11,v20-scene-d10,Nari,ink ledger,5.972217,4.15954,6.069361,4.525388,1,1,1,1.0
138,10,v20-ceremony-d10-t12,v20-scene-d10,Ori,sap hook,5.755564,4.122493,5.73206,4.470767,1,1,1,1.0
139,10,v20-ceremony-d10-t13,v20-scene-d10,Vonn,listening shell,5.579429,4.03199,5.534674,4.200842,1,1,1,1.0
140,11,v20-ceremony-d11-t00,v20-scene-d11,Keth,path cord,5.453972,3.843189,5.541514,3.984018,1,1,1,1.0
141,11,v20-ceremony-d11-t01,v20-scene-d11,Melo,tally beads,5.472925,3.697147,5.528943,3.819146,1,1,0,1.0
142,11,v20-ceremony-d11-t02,v20-scene-d11,Nari,ink ledger,5.579245,3.568153,5.944219,3.615494,1,1,1,1.0
143,11,v20-ceremony-d11-t03,v20-scene-d11,Ori,sap hook,5.755308,3.47759,5.925434,3.566059,1,1,1,1.0
144,11,v20-ceremony-d11-t04,v20-scene-d11,Vonn,listening shell,5.971931,3.440469,6.539976,3.570735,1,1,1,1.0
145,11,v20-ceremony-d11-t05,v20-scene-d11,Sova,ember bowl,6.193207,3.462943,6.541044,3.580049,1,1,1,1.0
146,11,v20-ceremony-d11-t06,v20-scene-d11,Keth,path cord,6.382457,3.541287,6.969955,3.782624,1,1,1,1.0
147,11,v20-ceremony-d11-t07,v20-scene-d11,Melo,tally beads,6.508312,3.662515,6.977673,3.942762,1,1,0,0.75
148,11,v20-ceremony-d11-t08,v20-scene-d11,Nari,ink ledger,6.549909,3.806533,7.081112,4.219187,1,1,0,1.0
149,11,v20-ceremony-d11-t09,v20-scene-d11,Ori,sap hook,6.500355,3.949467,6.823247,4.324416,1,1,1,1.0
150,11,v20-ceremony-d11-t10,v20-scene-d11,Vonn,listening shell,6.367863,4.067626,6.528075,4.532042,1,1,1,1.0
151,11,v20-ceremony-d11-t11,v20-scene-d11,Sova,ember bowl,6.174394,4.141424,6.456148,4.539763,1,0,0,0.5
152,11,v20-ceremony-d11-t12,v20-scene-d11,Keth,path cord,5.952018,4.158627,6.053484,4.531254,1,1,1,1.0
153,11,v20-ceremony-d11-t13,v20-scene-d11,Melo,tally beads,5.737596,4.116386,5.734284,4.447411,1,1,1,1.0
154,12,v20-ceremony-d12-t00,v20-scene-d12,Ori,sap hook,5.515612,3.970519,5.442906,4.226527,1,1,1,1.0
155,12,v20-ceremony-d12-t01,v20-scene-d12,Vonn,listening shell,5.451914,3.830006,5.538507,3.89124,0,0,0,0.5
156,12,v20-ceremony-d12-t02,v20-scene-d12,Sova,ember bowl,5.479066,3.684519,5.516485,3.867215,1,1,1,1.0
157,12,v20-ceremony-d12-t03,v20-scene-d12,Keth,path cord,5.592567,3.558174,5.882535,3.624593,1,1,1,1.0
158,12,v20-ceremony-d12-t04,v20-scene-d12,Melo,tally beads,5.773603,3.471914,6.032589,3.555136,1,1,1,1.0
159,12,v20-ceremony-d12-t05,v20-scene-d12,Nari,ink ledger,5.992167,3.440037,6.583287,3.563655,1,1,1,1.0
160,12,v20-ceremony-d12-t06,v20-scene-d12,Ori,sap hook,6.212029,3.467826,6.565632,3.61146,1,1,1,1.0
161,12,v20-ceremony-d12-t07,v20-scene-d12,Vonn,listening shell,6.396746,3.550677,6.998935,3.867938,1,1,1,1.0
162,12,v20-ceremony-d12-t08,v20-scene-d12,Sova,ember bowl,6.515698,3.674855,6.976858,3.891975,1,1,0,1.0
163,12,v20-ceremony-d12-t09,v20-scene-d12,Keth,path cord,6.549169,3.819776,7.04924,4.203131,1,1,1,1.0
164,12,v20-ceremony-d12-t10,v20-scene-d12,Melo,tally beads,6.491611,3.96142,6.83932,4.356596,1,1,1,1.0
165,12,v20-ceremony-d12-t11,v20-scene-d12,Nari,ink ledger,6.352564,4.076307,6.634463,4.524403,1,1,1,1.0
166,12,v20-ceremony-d12-t12,v20-scene-d12,Ori,sap hook,6.155077,4.145394,6.282621,4.554587,1,1,1,1.0
167,12,v20-ceremony-d12-t13,v20-scene-d12,Vonn,listening shell,5.931884,4.157228,5.88712,4.491528,1,1,1,1.0
168,13,v20-ceremony-d13-t00,v20-scene-d13,Keth,path cord,5.643931,4.074375,5.677731,4.344928,1,1,1,1.0
169,13,v20-ceremony-d13-t01,v20-scene-d13,Melo,tally beads,5.506351,3.958734,5.474464,4.18929,1,1,0,1.0
170,13,v20-ceremony-d13-t02,v20-scene-d13,Nari,ink ledger,5.450598,3.816781,5.603778,3.912312,1,1,1,1.0
171,13,v20-ceremony-d13-t03,v20-scene-d13,Ori,sap hook,5.485912,3.672047,5.491129,3.803986,1,1,1,1.0
172,13,v20-ceremony-d13-t04,v20-scene-d13,Vonn,listening shell,5.606441,3.548522,5.975038,3.57975,1,1,1,1.0
173,13,v20-ceremony-d13-t05,v20-scene-d13,Sova,ember bowl,5.792206,3.466682,5.976128,3.570472,1,1,1,1.0
174,13,v20-ceremony-d13-t06,v20-scene-d13,Keth,path cord,6.012414,3.440092,6.518638,3.558828,1,1,1,1.0
175,13,v20-ceremony-d13-t07,v20-scene-d13,Melo,tally beads,6.230564,3.473159,6.665605,3.632732,1,1,1,1.0
176,13,v20-ceremony-d13-t08,v20-scene-d13,Nari,ink ledger,6.410497,3.560404,7.061317,3.847541,1,1,0,1.0
177,13,v20-ceremony-d13-t09,v20-scene-d13,Ori,sap hook,6.522386,3.687363,6.932724,3.959586,1,1,1,1.0
178,13,v20-ceremony-d13-t10,v20-scene-d13,Vonn,listening shell,6.547685,3.832993,6.958159,4.290818,1,1,1,1.0
179,13,v20-ceremony-d13-t11,v20-scene-d13,Sova,ember bowl,6.482201,3.973154,6.904015,4.312986,1,1,1,1.0
180,13,v20-ceremony-d13-t12,v20-scene-d13,Keth,path cord,6.336788,4.084613,6.618225,4.517931,1,1,1,1.0
181,13,v20-ceremony-d13-t13,v20-scene-d13,Melo,tally beads,6.13555,4.148896,6.273448,4.558785,1,1,1,1.0
182,14,v20-ceremony-d14-t00,v20-scene-d14,Ori,sap hook,5.821267,4.140461,5.818336,4.504473,1,1,1,1.0
183,14,v20-ceremony-d14-t01,v20-scene-d14,Vonn,listening shell,5.628744,4.065611,5.570492,4.262519,1,1,0,1.0
184,14,v20-ceremony-d14-t02,v20-scene-d14,Sova,ember bowl,5.49776,3.946733,5.520232,4.239083,1,1,1,1.0
185,14,v20-ceremony-d14-t03,v20-scene-d14,Keth,path cord,5.450026,3.803534,5.557247,3.928681,1,1,1,1.0
186,14,v20-ceremony-d14-t04,v20-scene-d14,Melo,tally beads,5.493456,3.659749,5.57182,3.770429,0,0,0,0.25
187,14,v20-ceremony-d14-t05,v20-scene-d14,Nari,ink ledger,5.620849,3.539211,6.019468,3.58871,1,1,1,1.0
188,14,v20-ceremony-d14-t06,v20-scene-d14,Ori,sap hook,5.81109,3.461902,6.007979,3.55127,1,0,0,0.5
189,14,v20-ceremony-d14-t07,v20-scene-d14,Vonn,listening shell,6.032644,3.440635,6.618634,3.592874,1,1,1,1.0
190,14,v20-ceremony-d14-t08,v20-scene-d14,Sova,ember bowl,6.248787,3.478936,6.617923,3.604748,1,1,0,1.0
191,14,v20-ceremony-d14-t09,v20-scene-d14,Keth,path cord,6.423692,3.570456,7.010717,3.832121,1,1,1,1.0
192,14,v20-ceremony-d14-t10,v20-scene-d14,Melo,tally beads,6.528366,3.700025,6.991019,3.99837,1,1,1,1.0
193,14,v20-ceremony-d14-t11,v20-scene-d14,Nari,ink ledger,6.545459,3.846165,7.048321,4.271185,1,1,1,1.0
194,14,v20-ceremony-d14-t12,v20-scene-d14,Ori,sap hook,6.472138,3.984654,6.773305,4.370126,1,1,1,1.0
195,14,v20-ceremony-d14-t13,v20-scene-d14,Vonn,listening shell,6.320556,4.092534,6.445796,4.547461,1,1,1,1.0
196,15,v20-ceremony-d15-t00,v20-scene-d15,Keth,path cord,6.023206,4.159679,6.150116,4.549029,1,1,1,1.0
197,15,v20-ceremony-d15-t01,v20-scene-d15,Melo,tally beads,5.802243,4.135924,5.816376,4.485374,1,1,0,1.0
198,15,v20-ceremony-d15-t02,v20-scene-d15,Nari,ink ledger,5.61406,4.056487,5.660091,4.282336,1,1,1,1.0
199,15,v20-ceremony-d15-t03,v20-scene-d15,Ori,sap hook,5.489849,3.934534,5.41777,4.172715,1,1,1,1.0
200,15,v20-ceremony-d15-t04,v20-scene-d15,Vonn,listening shell,5.4502,3.790282,5.569585,3.838788,1,1,1,1.0
201,15,v20-ceremony-d15-t05,v20-scene-d15,Sova,ember bowl,5.501686,3.64764,5.551508,3.815851,1,1,1,1.0
202,15,v20-ceremony-d15-t06,v20-scene-d15,Keth,path cord,5.635771,3.530253,5.956392,3.596181,1,1,1,1.0
203,15,v20-ceremony-d15-t07,v20-scene-d15,Melo,tally beads,5.83023,3.457579,6.116615,3.544558,1,1,1,1.0
204,15,v20-ceremony-d15-t08,v20-scene-d15,Nari,ink ledger,6.05283,3.441665,6.663324,3.583538,1,1,0,1.0
205,15,v20-ceremony-d15-t09,v20-scene-d15,Ori,sap hook,6.266672,3.485147,6.636673,3.642828,1,1,0,0.75
206,15,v20-ceremony-d15-t10,v20-scene-d15,Vonn,listening shell,6.436312,3.580819,7.025018,3.921555,1,1,1,1.0
207,15,v20-ceremony-d15-t11,v20-scene-d15,Sova,ember bowl,6.53363,3.712821,6.998836,3.946384,1,1,1,1.0
