tick_id,day,season,resource,from_region,to_region,migration_amount,ecology_before,ecology_after,migration_cause,feedback_visible,care_action
78,5,spring_rain,fish,signal_ridge,riverbend,0.11392,0.825,0.839,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
79,5,spring_rain,fish,orchard_fen,roofward,0.11056,0.85,0.864,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
80,6,spring_rain,fish,roofward,signal_ridge,0.1112,0.789,0.803,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
81,6,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.814,0.828,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
82,6,spring_rain,fish,signal_ridge,riverbend,0.11248,0.839,0.853,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
83,6,spring_rain,fish,orchard_fen,roofward,0.11312,0.864,0.878,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
84,6,spring_rain,fish,riverbend,archive_quarter,0.11136,0.764,0.778,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
85,6,spring_rain,fish,roofward,signal_ridge,0.1112,0.803,0.817,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
86,6,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.828,0.842,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
87,6,spring_rain,fish,signal_ridge,riverbend,0.11248,0.853,0.867,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
88,6,spring_rain,fish,orchard_fen,roofward,0.11312,0.878,0.892,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
89,6,spring_rain,fish,riverbend,archive_quarter,0.11136,0.778,0.792,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
90,6,spring_rain,fish,roofward,signal_ridge,0.1112,0.817,0.831,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
91,6,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.842,0.856,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
92,6,spring_rain,fish,signal_ridge,riverbend,0.11248,0.867,0.881,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
93,6,spring_rain,fish,orchard_fen,roofward,0.11312,0.892,0.906,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
94,6,spring_rain,fish,riverbend,archive_quarter,0.11136,0.792,0.806,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
95,6,spring_rain,fish,roofward,signal_ridge,0.1112,0.831,0.845,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
96,7,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.856,0.87,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
97,7,spring_rain,fish,signal_ridge,riverbend,0.11248,0.881,0.895,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
98,7,spring_rain,fish,orchard_fen,roofward,0.11312,0.906,0.92,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
99,7,spring_rain,fish,riverbend,archive_quarter,0.11056,0.806,0.82,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
100,7,spring_rain,fish,roofward,signal_ridge,0.112,0.845,0.859,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
101,7,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.87,0.884,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
102,7,spring_rain,fish,signal_ridge,riverbend,0.11248,0.895,0.909,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
103,7,spring_rain,fish,orchard_fen,roofward,0.11312,0.92,0.934,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
104,7,spring_rain,fish,riverbend,archive_quarter,0.11056,0.82,0.834,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
105,7,spring_rain,fish,roofward,signal_ridge,0.112,0.859,0.873,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
106,7,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.884,0.898,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
107,7,spring_rain,fish,signal_ridge,riverbend,0.11248,0.909,0.923,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
108,7,spring_rain,fish,orchard_fen,roofward,0.11312,0.934,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
109,7,spring_rain,fish,riverbend,archive_quarter,0.11056,0.834,0.848,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
110,7,spring_rain,fish,roofward,signal_ridge,0.112,0.873,0.887,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
111,7,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.898,0.912,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
112,8,spring_rain,fish,signal_ridge,riverbend,0.11248,0.923,0.937,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
113,8,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
114,8,spring_rain,fish,riverbend,archive_quarter,0.11056,0.848,0.862,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
115,8,spring_rain,fish,roofward,signal_ridge,0.1112,0.887,0.901,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
116,8,spring_rain,fish,archive_quarter,orchard_fen,0.11264,0.912,0.926,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
117,8,spring_rain,fish,signal_ridge,riverbend,0.11248,0.937,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
118,8,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
119,8,spring_rain,fish,riverbend,archive_quarter,0.11056,0.862,0.876,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
120,8,spring_rain,fish,roofward,signal_ridge,0.1112,0.901,0.915,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
121,8,spring_rain,fish,archive_quarter,orchard_fen,0.11264,0.926,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
122,8,spring_rain,fish,signal_ridge,riverbend,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
123,8,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
124,8,spring_rain,fish,riverbend,archive_quarter,0.11056,0.876,0.89,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
125,8,spring_rain,fish,roofward,signal_ridge,0.1112,0.915,0.929,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
126,8,spring_rain,fish,archive_quarter,orchard_fen,0.11264,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
127,8,spring_rain,fish,signal_ridge,riverbend,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
128,9,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
129,9,spring_rain,fish,riverbend,archive_quarter,0.11056,0.89,0.904,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
130,9,spring_rain,fish,roofward,signal_ridge,0.1112,0.929,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
131,9,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
132,9,spring_rain,fish,signal_ridge,riverbend,0.11328,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
133,9,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
134,9,spring_rain,fish,riverbend,archive_quarter,0.11056,0.904,0.918,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
135,9,spring_rain,fish,roofward,signal_ridge,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
136,9,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
137,9,spring_rain,fish,signal_ridge,riverbend,0.11328,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
138,9,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
139,9,spring_rain,fish,riverbend,archive_quarter,0.11056,0.918,0.932,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
140,9,spring_rain,fish,roofward,signal_ridge,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
141,9,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
142,9,spring_rain,fish,signal_ridge,riverbend,0.11328,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
143,9,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
144,10,spring_rain,fish,riverbend,archive_quarter,0.11056,0.932,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
145,10,spring_rain,fish,roofward,signal_ridge,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
146,10,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
147,10,spring_rain,fish,signal_ridge,riverbend,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
148,10,spring_rain,fish,orchard_fen,roofward,0.11392,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
149,10,spring_rain,fish,riverbend,archive_quarter,0.11056,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
150,10,spring_rain,fish,roofward,signal_ridge,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
151,10,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
152,10,spring_rain,fish,signal_ridge,riverbend,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
153,10,spring_rain,fish,orchard_fen,roofward,0.11392,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
154,10,spring_rain,fish,riverbend,archive_quarter,0.11056,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
155,10,spring_rain,fish,roofward,signal_ridge,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
156,10,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
157,10,spring_rain,fish,signal_ridge,riverbend,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
158,10,spring_rain,fish,orchard_fen,roofward,0.11392,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
159,10,spring_rain,fish,riverbend,archive_quarter,0.11056,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
160,11,spring_rain,fish,roofward,signal_ridge,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
161,11,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
162,11,spring_rain,fish,signal_ridge,riverbend,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
163,11,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
164,11,spring_rain,fish,riverbend,archive_quarter,0.11136,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
165,11,spring_rain,fish,roofward,signal_ridge,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
166,11,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
167,11,spring_rain,fish,signal_ridge,riverbend,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
168,11,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
169,11,spring_rain,fish,riverbend,archive_quarter,0.11136,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
170,11,spring_rain,fish,roofward,signal_ridge,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
171,11,spring_rain,fish,archive_quarter,orchard_fen,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
172,11,spring_rain,fish,signal_ridge,riverbend,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
173,11,spring_rain,fish,orchard_fen,roofward,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
174,11,spring_rain,fish,riverbend,archive_quarter,0.11136,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
175,11,spring_rain,fish,roofward,signal_ridge,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
176,12,spring_rain,fish,signal_ridge,riverbend,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
177,12,spring_rain,fish,orchard_fen,roofward,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
178,12,spring_rain,fish,riverbend,archive_quarter,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
179,12,spring_rain,fish,roofward,signal_ridge,0.11056,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
180,12,spring_rain,fish,archive_quarter,orchard_fen,0.112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
181,12,spring_rain,fish,signal_ridge,riverbend,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
182,12,spring_rain,fish,orchard_fen,roofward,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
183,12,spring_rain,fish,riverbend,archive_quarter,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
184,12,spring_rain,fish,roofward,signal_ridge,0.11056,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
185,12,spring_rain,fish,archive_quarter,orchard_fen,0.112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
186,12,spring_rain,fish,signal_ridge,riverbend,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
187,12,spring_rain,fish,orchard_fen,roofward,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
188,12,spring_rain,fish,riverbend,archive_quarter,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
189,12,spring_rain,fish,roofward,signal_ridge,0.11056,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
190,12,spring_rain,fish,archive_quarter,orchard_fen,0.112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
191,12,spring_rain,fish,signal_ridge,riverbend,0.11184,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
192,13,spring_rain,fish,orchard_fen,roofward,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
193,13,spring_rain,fish,riverbend,archive_quarter,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
194,13,spring_rain,fish,roofward,signal_ridge,0.11056,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
195,13,spring_rain,fish,archive_quarter,orchard_fen,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
196,13,spring_rain,fish,signal_ridge,riverbend,0.11264,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
197,13,spring_rain,fish,orchard_fen,roofward,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
198,13,spring_rain,fish,riverbend,archive_quarter,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
199,13,spring_rain,fish,roofward,signal_ridge,0.11056,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
200,13,spring_rain,fish,archive_quarter,orchard_fen,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
201,13,spring_rain,fish,signal_ridge,riverbend,0.11264,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
202,13,spring_rain,fish,orchard_fen,roofward,0.11248,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
203,13,spring_rain,fish,riverbend,archive_quarter,0.11312,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
204,13,spring_rain,fish,roofward,signal_ridge,0.11056,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
205,13,spring_rain,fish,archive_quarter,orchard_fen,0.1112,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
206,13,spring_rain,fish,signal_ridge,riverbend,0.11264,0.94,0.94,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
