tick,day,repair_id,scene_id,agent,obligation_id,repair_kind,deferral_requested,deferral_accepted,partial_repair,full_repair,residual_debt_visible,repair_deferral_score
45,3,v24-repair-0045,v24-scene-d03,Melo,v24-no-open-melo-0045,none,0,0,0,0,0,1.0
46,3,v24-repair-0046,v24-scene-d03,Nari,v24-obligation-nari-0046,full,0,0,0,1,0,1.0
47,3,v24-repair-0047,v24-scene-d03,Vonn,v24-obligation-vonn-0012,none,0,0,0,0,1,1.0
48,3,v24-repair-0048,v24-scene-d03,Nari,v24-obligation-nari-0048,full,0,0,0,1,0,1.0
49,3,v24-repair-0049,v24-scene-d03,Sova,v24-no-open-sova-0049,none,0,0,0,0,0,1.0
50,3,v24-repair-0050,v24-scene-d03,Vonn,v24-obligation-vonn-0012,none,0,0,0,0,1,1.0
51,3,v24-repair-0051,v24-scene-d03,Melo,v24-obligation-melo-0051,full,0,0,0,1,0,1.0
52,3,v24-repair-0052,v24-scene-d03,Nari,v24-obligation-nari-0052,full,0,0,0,1,0,1.0
53,3,v24-repair-0053,v24-scene-d03,Ori,v24-no-open-ori-0053,none,0,0,0,0,0,1.0
54,4,v24-repair-0054,v24-scene-d04,Vonn,v24-obligation-vonn-0012,full,0,0,1,1,0,1.0
55,4,v24-repair-0055,v24-scene-d04,Keth,v24-obligation-keth-0055,full,0,0,0,1,0,1.0
56,4,v24-repair-0056,v24-scene-d04,Keth,v24-obligation-keth-0056,none,0,0,0,0,1,1.0
57,4,v24-repair-0057,v24-scene-d04,Keth,v24-obligation-keth-0056,full,0,0,0,1,0,1.0
58,4,v24-repair-0058,v24-scene-d04,Sova,v24-obligation-sova-0058,none,0,0,0,0,1,1.0
59,4,v24-repair-0059,v24-scene-d04,Vonn,v24-obligation-vonn-0022,full,0,0,0,1,0,1.0
60,4,v24-repair-0060,v24-scene-d04,Keth,v24-obligation-keth-0060,full,0,0,0,1,0,0.8
61,4,v24-repair-0061,v24-scene-d04,Melo,v24-no-open-melo-0061,none,0,0,0,0,0,1.0
62,4,v24-repair-0062,v24-scene-d04,Melo,v24-obligation-melo-0062,full,0,0,0,1,0,1.0
63,4,v24-repair-0063,v24-scene-d04,Sova,v24-obligation-sova-0058,full,0,0,0,1,0,1.0
64,4,v24-repair-0064,v24-scene-d04,Vonn,v24-obligation-vonn-0064,deferral,1,1,0,0,1,1.0
65,4,v24-repair-0065,v24-scene-d04,Keth,v24-no-open-keth-0065,none,0,0,0,0,0,1.0
66,4,v24-repair-0066,v24-scene-d04,Melo,v24-obligation-melo-0066,full,0,0,0,1,0,1.0
67,4,v24-repair-0067,v24-scene-d04,Keth,v24-obligation-keth-0067,full,0,0,0,1,0,0.8
68,4,v24-repair-0068,v24-scene-d04,Nari,v24-obligation-nari-0068,full,0,0,0,1,0,1.0
69,4,v24-repair-0069,v24-scene-d04,Ori,v24-no-open-ori-0069,none,0,0,0,0,0,1.0
70,4,v24-repair-0070,v24-scene-d04,Nari,v24-obligation-nari-0070,full,0,0,1,1,0,1.0
71,4,v24-repair-0071,v24-scene-d04,Vonn,v24-obligation-vonn-0064,full,0,0,1,1,0,1.0
72,5,v24-repair-0072,v24-scene-d05,Nari,v24-obligation-nari-0072,full,0,0,0,1,0,1.0
73,5,v24-repair-0073,v24-scene-d05,Keth,v24-no-open-keth-0073,none,0,0,0,0,0,1.0
74,5,v24-repair-0074,v24-scene-d05,Sova,v24-obligation-sova-0074,full,0,0,0,1,0,1.0
75,5,v24-repair-0075,v24-scene-d05,Sova,v24-obligation-sova-0075,partial,0,0,1,0,1,1.0
76,5,v24-repair-0076,v24-scene-d05,Melo,v24-obligation-melo-0076,full,0,0,0,1,0,1.0
77,5,v24-repair-0077,v24-scene-d05,Vonn,v24-no-open-vonn-0077,none,0,0,0,0,0,1.0
78,5,v24-repair-0078,v24-scene-d05,Sova,v24-obligation-sova-0075,deferral,1,1,0,0,1,1.0
79,5,v24-repair-0079,v24-scene-d05,Melo,v24-obligation-melo-0079,full,0,0,0,1,0,1.0
80,5,v24-repair-0080,v24-scene-d05,Ori,v24-obligation-ori-0080,full,0,0,0,1,0,1.0
81,5,v24-repair-0081,v24-scene-d05,Keth,v24-no-open-keth-0081,none,0,0,0,0,0,1.0
82,5,v24-repair-0082,v24-scene-d05,Melo,v24-obligation-melo-0082,none,0,0,0,0,1,1.0
83,5,v24-repair-0083,v24-scene-d05,Vonn,v24-obligation-vonn-0083,full,0,0,0,1,0,1.0
84,5,v24-repair-0084,v24-scene-d05,Keth,v24-obligation-keth-0084,full,0,0,0,1,0,1.0
85,5,v24-repair-0085,v24-scene-d05,Sova,v24-obligation-sova-0075,full,0,0,0,1,0,1.0
86,5,v24-repair-0086,v24-scene-d05,Ori,v24-obligation-ori-0086,deferral,1,1,0,0,0,0.8
87,5,v24-repair-0087,v24-scene-d05,Keth,v24-obligation-keth-0087,none,0,0,0,0,1,1.0
88,5,v24-repair-0088,v24-scene-d05,Keth,v24-obligation-keth-0087,full,0,0,0,1,0,1.0
89,5,v24-repair-0089,v24-scene-d05,Ori,v24-obligation-ori-0086,none,0,0,0,0,1,1.0
90,6,v24-repair-0090,v24-scene-d06,Melo,v24-obligation-melo-0082,full,0,0,0,1,0,1.0
91,6,v24-repair-0091,v24-scene-d06,Ori,v24-obligation-ori-0086,full,0,0,0,1,0,1.0
92,6,v24-repair-0092,v24-scene-d06,Melo,v24-obligation-melo-0090,none,0,0,0,0,1,1.0
93,6,v24-repair-0093,v24-scene-d06,Keth,v24-no-open-keth-0093,none,0,0,0,0,0,1.0
94,6,v24-repair-0094,v24-scene-d06,Keth,v24-obligation-keth-0094,full,0,0,0,1,0,1.0
95,6,v24-repair-0095,v24-scene-d06,Ori,v24-obligation-ori-0095,full,0,0,0,1,0,1.0
96,6,v24-repair-0096,v24-scene-d06,Melo,v24-obligation-melo-0090,full,0,0,0,1,0,1.0
97,6,v24-repair-0097,v24-scene-d06,Melo,v24-no-open-melo-0097,none,0,0,0,0,0,1.0
98,6,v24-repair-0098,v24-scene-d06,Ori,v24-obligation-ori-0098,full,0,0,0,1,0,1.0
99,6,v24-repair-0099,v24-scene-d06,Ori,v24-obligation-ori-0099,full,0,0,0,1,0,1.0
100,6,v24-repair-0100,v24-scene-d06,Melo,v24-obligation-melo-0100,deferral,1,1,0,0,1,1.0
101,6,v24-repair-0101,v24-scene-d06,Melo,v24-obligation-melo-0100,full,0,0,0,1,0,1.0
102,6,v24-repair-0102,v24-scene-d06,Vonn,v24-obligation-vonn-0102,full,0,0,0,1,0,1.0
103,6,v24-repair-0103,v24-scene-d06,Melo,v24-obligation-melo-0103,full,0,0,0,1,0,1.0
104,6,v24-repair-0104,v24-scene-d06,Sova,v24-obligation-sova-0104,deferral,1,1,0,0,1,1.0
105,6,v24-repair-0105,v24-scene-d06,Sova,v24-obligation-sova-0104,full,0,0,0,1,0,1.0
106,6,v24-repair-0106,v24-scene-d06,Sova,v24-obligation-sova-0105,full,0,0,0,1,0,1.0
107,6,v24-repair-0107,v24-scene-d06,Ori,v24-obligation-ori-0107,full,0,0,0,1,0,1.0
108,7,v24-repair-0108,v24-scene-d07,Nari,v24-obligation-nari-0108,full,0,0,1,1,0,1.0
109,7,v24-repair-0109,v24-scene-d07,Vonn,v24-no-open-vonn-0109,none,0,0,0,0,0,1.0
110,7,v24-repair-0110,v24-scene-d07,Vonn,v24-obligation-vonn-0110,none,0,0,0,0,1,1.0
111,7,v24-repair-0111,v24-scene-d07,Keth,v24-obligation-keth-0111,deferral,1,1,0,0,1,1.0
112,7,v24-repair-0112,v24-scene-d07,Nari,v24-obligation-nari-0112,full,0,0,0,1,0,1.0
113,7,v24-repair-0113,v24-scene-d07,Melo,v24-no-open-melo-0113,none,0,0,0,0,0,1.0
114,7,v24-repair-0114,v24-scene-d07,Ori,v24-obligation-ori-0114,full,0,0,0,1,0,1.0
115,7,v24-repair-0115,v24-scene-d07,Melo,v24-obligation-melo-0115,partial,0,0,1,0,1,1.0
116,7,v24-repair-0116,v24-scene-d07,Ori,v24-obligation-ori-0116,full,0,0,0,1,0,1.0
117,7,v24-repair-0117,v24-scene-d07,Keth,v24-obligation-keth-0111,full,0,0,0,1,0,1.0
118,7,v24-repair-0118,v24-scene-d07,Melo,v24-obligation-melo-0115,full,0,0,0,1,0,1.0
119,7,v24-repair-0119,v24-scene-d07,Keth,v24-obligation-keth-0119,deferral,1,1,0,0,1,1.0
120,7,v24-repair-0120,v24-scene-d07,Nari,v24-obligation-nari-0120,full,0,0,0,1,0,1.0
121,7,v24-repair-0121,v24-scene-d07,Melo,v24-no-open-melo-0121,none,0,0,0,0,0,1.0
122,7,v24-repair-0122,v24-scene-d07,Ori,v24-obligation-ori-0122,none,0,0,0,0,1,1.0
123,7,v24-repair-0123,v24-scene-d07,Ori,v24-obligation-ori-0122,full,0,0,0,1,0,1.0
124,7,v24-repair-0124,v24-scene-d07,Vonn,v24-obligation-vonn-0110,none,0,0,0,0,1,1.0
125,7,v24-repair-0125,v24-scene-d07,Nari,v24-no-open-nari-0125,none,0,0,0,0,0,1.0
126,8,v24-repair-0126,v24-scene-d08,Melo,v24-obligation-melo-0126,deferral,1,1,0,0,1,1.0
127,8,v24-repair-0127,v24-scene-d08,Keth,v24-obligation-keth-0119,full,0,0,0,1,0,1.0
128,8,v24-repair-0128,v24-scene-d08,Sova,v24-obligation-sova-0128,full,0,0,0,1,0,1.0
129,8,v24-repair-0129,v24-scene-d08,Sova,v24-no-open-sova-0129,none,0,0,0,0,0,1.0
130,8,v24-repair-0130,v24-scene-d08,Sova,v24-obligation-sova-0130,full,0,0,0,1,0,0.8
131,8,v24-repair-0131,v24-scene-d08,Keth,v24-obligation-keth-0131,full,0,0,0,1,0,1.0
132,8,v24-repair-0132,v24-scene-d08,Ori,v24-obligation-ori-0132,full,0,0,0,1,0,1.0
133,8,v24-repair-0133,v24-scene-d08,Sova,v24-no-open-sova-0133,none,0,0,0,0,0,1.0
134,8,v24-repair-0134,v24-scene-d08,Nari,v24-obligation-nari-0134,full,0,0,1,1,0,1.0
135,8,v24-repair-0135,v24-scene-d08,Sova,v24-obligation-sova-0135,full,0,0,0,1,0,1.0
136,8,v24-repair-0136,v24-scene-d08,Ori,v24-obligation-ori-0136,full,0,0,0,1,0,1.0
137,8,v24-repair-0137,v24-scene-d08,Ori,v24-no-open-ori-0137,none,0,0,0,0,0,1.0
138,8,v24-repair-0138,v24-scene-d08,Vonn,v24-obligation-vonn-0110,none,0,0,0,0,1,1.0
139,8,v24-repair-0139,v24-scene-d08,Melo,v24-obligation-melo-0126,full,0,0,0,1,0,1.0
140,8,v24-repair-0140,v24-scene-d08,Keth,v24-obligation-keth-0140,full,0,0,0,1,0,1.0
141,8,v24-repair-0141,v24-scene-d08,Sova,v24-no-open-sova-0141,none,0,0,0,0,0,1.0
142,8,v24-repair-0142,v24-scene-d08,Sova,v24-obligation-sova-0142,full,0,0,0,1,0,1.0
143,8,v24-repair-0143,v24-scene-d08,Ori,v24-obligation-ori-0143,none,0,0,0,0,1,1.0
144,9,v24-repair-0144,v24-scene-d09,Melo,v24-obligation-melo-0144,deferral,1,1,0,0,1,1.0
145,9,v24-repair-0145,v24-scene-d09,Sova,v24-no-open-sova-0145,none,0,0,0,0,0,1.0
146,9,v24-repair-0146,v24-scene-d09,Melo,v24-obligation-melo-0144,full,0,0,0,1,0,1.0
147,9,v24-repair-0147,v24-scene-d09,Melo,v24-obligation-melo-0147,full,0,0,0,1,0,1.0
148,9,v24-repair-0148,v24-scene-d09,Ori,v24-obligation-ori-0143,none,0,0,0,0,1,1.0
149,9,v24-repair-0149,v24-scene-d09,Melo,v24-no-open-melo-0149,none,0,0,0,0,0,1.0
150,9,v24-repair-0150,v24-scene-d09,Keth,v24-obligation-keth-0150,full,0,0,0,1,0,1.0
151,9,v24-repair-0151,v24-scene-d09,Sova,v24-obligation-sova-0151,full,0,0,0,1,0,1.0
152,9,v24-repair-0152,v24-scene-d09,Melo,v24-obligation-melo-0152,none,0,0,0,0,1,1.0
153,9,v24-repair-0153,v24-scene-d09,Vonn,v24-obligation-vonn-0110,none,0,0,0,0,1,1.0
154,9,v24-repair-0154,v24-scene-d09,Keth,v24-obligation-keth-0154,full,0,0,0,1,0,1.0
155,9,v24-repair-0155,v24-scene-d09,Nari,v24-obligation-nari-0155,partial,0,0,1,0,1,1.0
156,9,v24-repair-0156,v24-scene-d09,Keth,v24-obligation-keth-0156,full,0,0,0,1,0,1.0
157,9,v24-repair-0157,v24-scene-d09,Nari,v24-obligation-nari-0155,full,0,0,0,1,0,1.0
158,9,v24-repair-0158,v24-scene-d09,Vonn,v24-obligation-vonn-0110,none,0,0,0,0,1,1.0
159,9,v24-repair-0159,v24-scene-d09,Sova,v24-obligation-sova-0159,none,0,0,0,0,1,1.0
160,9,v24-repair-0160,v24-scene-d09,Keth,v24-obligation-keth-0160,none,0,0,0,0,0,1.0
161,9,v24-repair-0161,v24-scene-d09,Ori,v24-obligation-ori-0143,full,0,0,0,1,0,1.0
162,10,v24-repair-0162,v24-scene-d10,Ori,v24-obligation-ori-0148,full,0,0,0,1,0,1.0
163,10,v24-repair-0163,v24-scene-d10,Melo,v24-obligation-melo-0152,deferral,1,1,0,0,1,1.0
164,10,v24-repair-0164,v24-scene-d10,Keth,v24-obligation-keth-0160,full,0,0,0,1,0,1.0
165,10,v24-repair-0165,v24-scene-d10,Keth,v24-no-open-keth-0165,none,0,0,0,0,0,1.0
166,10,v24-repair-0166,v24-scene-d10,Ori,v24-obligation-ori-0166,none,0,0,0,0,1,1.0
167,10,v24-repair-0167,v24-scene-d10,Sova,v24-obligation-sova-0159,full,0,0,0,1,0,1.0
168,10,v24-repair-0168,v24-scene-d10,Melo,v24-obligation-melo-0152,full,0,0,0,1,0,1.0
169,10,v24-repair-0169,v24-scene-d10,Nari,v24-no-open-nari-0169,none,0,0,0,0,0,1.0
170,10,v24-repair-0170,v24-scene-d10,Nari,v24-obligation-nari-0170,deferral,1,1,0,0,1,1.0
171,10,v24-repair-0171,v24-scene-d10,Melo,v24-obligation-melo-0171,full,0,0,0,1,0,1.0
172,10,v24-repair-0172,v24-scene-d10,Ori,v24-obligation-ori-0166,none,0,0,0,0,1,1.0
173,10,v24-repair-0173,v24-scene-d10,Ori,v24-obligation-ori-0166,full,0,0,0,1,0,1.0
174,10,v24-repair-0174,v24-scene-d10,Keth,v24-obligation-keth-0174,deferral,1,1,0,0,1,1.0
175,10,v24-repair-0175,v24-scene-d10,Vonn,v24-obligation-vonn-0110,none,0,0,0,0,1,1.0
176,10,v24-repair-0176,v24-scene-d10,Keth,v24-obligation-keth-0174,full,0,0,0,1,0,1.0
177,10,v24-repair-0177,v24-scene-d10,Ori,v24-no-open-ori-0177,none,0,0,0,0,0,1.0
178,10,v24-repair-0178,v24-scene-d10,Vonn,v24-obligation-vonn-0110,full,0,0,1,1,0,1.0
179,10,v24-repair-0179,v24-scene-d10,Sova,v24-obligation-sova-0179,full,0,0,0,1,0,1.0
180,11,v24-repair-0180,v24-scene-d11,Melo,v24-obligation-melo-0180,full,0,0,0,1,0,1.0
181,11,v24-repair-0181,v24-scene-d11,Sova,v24-no-open-sova-0181,none,0,0,0,0,0,1.0
182,11,v24-repair-0182,v24-scene-d11,Ori,v24-obligation-ori-0182,full,0,0,0,1,0,1.0
183,11,v24-repair-0183,v24-scene-d11,Vonn,v24-obligation-vonn-0183,full,0,0,0,1,0,1.0
184,11,v24-repair-0184,v24-scene-d11,Melo,v24-obligation-melo-0184,full,0,0,0,1,0,1.0
185,11,v24-repair-0185,v24-scene-d11,Nari,v24-obligation-nari-0170,none,0,0,0,0,1,1.0
186,11,v24-repair-0186,v24-scene-d11,Sova,v24-obligation-sova-0186,full,0,0,0,1,0,1.0
187,11,v24-repair-0187,v24-scene-d11,Nari,v24-obligation-nari-0170,full,0,0,0,1,0,1.0
188,11,v24-repair-0188,v24-scene-d11,Vonn,v24-obligation-vonn-0188,deferral,1,1,0,0,1,1.0
189,11,v24-repair-0189,v24-scene-d11,Melo,v24-no-open-melo-0189,none,0,0,0,0,0,1.0
190,11,v24-repair-0190,v24-scene-d11,Vonn,v24-obligation-vonn-0188,none,0,0,0,0,1,1.0
191,11,v24-repair-0191,v24-scene-d11,Ori,v24-obligation-ori-0191,full,0,0,0,1,0,1.0
192,11,v24-repair-0192,v24-scene-d11,Ori,v24-obligation-ori-0192,deferral,1,0,0,0,1,0.8
193,11,v24-repair-0193,v24-scene-d11,Keth,v24-no-open-keth-0193,none,0,0,0,0,0,1.0
194,11,v24-repair-0194,v24-scene-d11,Nari,v24-obligation-nari-0194,none,0,0,0,0,1,1.0
195,11,v24-repair-0195,v24-scene-d11,Keth,v24-obligation-keth-0195,full,0,0,0,1,0,1.0
196,11,v24-repair-0196,v24-scene-d11,Keth,v24-obligation-keth-0196,full,0,0,1,1,0,1.0
197,11,v24-repair-0197,v24-scene-d11,Keth,v24-no-open-keth-0197,none,0,0,0,0,0,1.0
198,12,v24-repair-0198,v24-scene-d12,Melo,v24-obligation-melo-0198,full,0,0,0,1,0,1.0
199,12,v24-repair-0199,v24-scene-d12,Nari,v24-obligation-nari-0194,none,0,0,0,0,1,1.0
200,12,v24-repair-0200,v24-scene-d12,Keth,v24-obligation-keth-0200,full,0,0,0,1,0,1.0
201,12,v24-repair-0201,v24-scene-d12,Vonn,v24-obligation-vonn-0188,none,0,0,0,0,1,1.0
202,12,v24-repair-0202,v24-scene-d12,Melo,v24-obligation-melo-0202,full,0,0,0,1,0,1.0
203,12,v24-repair-0203,v24-scene-d12,Nari,v24-obligation-nari-0194,none,0,0,0,0,1,1.0
204,12,v24-repair-0204,v24-scene-d12,Vonn,v24-obligation-vonn-0188,none,0,0,0,0,1,1.0
205,12,v24-repair-0205,v24-scene-d12,Keth,v24-no-open-keth-0205,none,0,0,0,0,0,1.0
206,12,v24-repair-0206,v24-scene-d12,Ori,v24-obligation-ori-0192,none,0,0,0,0,1,1.0
207,12,v24-repair-0207,v24-scene-d12,Ori,v24-obligation-ori-0192,none,0,0,0,0,1,1.0
208,12,v24-repair-0208,v24-scene-d12,Sova,v24-obligation-sova-0208,full,0,0,0,1,0,1.0
209,12,v24-repair-0209,v24-scene-d12,Melo,v24-no-open-melo-0209,none,0,0,0,0,0,1.0
210,12,v24-repair-0210,v24-scene-d12,Vonn,v24-obligation-vonn-0188,none,0,0,0,0,1,1.0
211,12,v24-repair-0211,v24-scene-d12,Sova,v24-obligation-sova-0211,none,0,0,0,0,1,1.0
212,12,v24-repair-0212,v24-scene-d12,Sova,v24-obligation-sova-0211,full,0,0,0,1,0,1.0
213,12,v24-repair-0213,v24-scene-d12,Keth,v24-obligation-keth-0213,full,0,0,0,1,0,1.0
214,12,v24-repair-0214,v24-scene-d12,Ori,v24-obligation-ori-0192,full,0,0,0,1,0,0.8
215,12,v24-repair-0215,v24-scene-d12,Keth,v24-obligation-keth-0215,full,0,0,0,1,0,1.0
216,13,v24-repair-0216,v24-scene-d13,Sova,v24-obligation-sova-0212,full,0,0,0,1,0,1.0
217,13,v24-repair-0217,v24-scene-d13,Ori,v24-no-open-ori-0217,none,0,0,0,0,0,1.0
218,13,v24-repair-0218,v24-scene-d13,Ori,v24-obligation-ori-0218,partial,0,0,1,0,1,1.0
219,13,v24-repair-0219,v24-scene-d13,Sova,v24-obligation-sova-0219,full,0,0,0,1,0,1.0
220,13,v24-repair-0220,v24-scene-d13,Nari,v24-obligation-nari-0194,full,0,0,0,1,0,1.0
221,13,v24-repair-0221,v24-scene-d13,Keth,v24-no-open-keth-0221,none,0,0,0,0,0,1.0
222,13,v24-repair-0222,v24-scene-d13,Nari,v24-obligation-nari-0203,full,0,0,0,1,0,1.0
223,13,v24-repair-0223,v24-scene-d13,Nari,v24-obligation-nari-0223,none,0,0,0,0,1,1.0
224,13,v24-repair-0224,v24-scene-d13,Ori,v24-obligation-ori-0218,full,0,0,0,1,0,1.0
225,13,v24-repair-0225,v24-scene-d13,Nari,v24-obligation-nari-0223,none,0,0,0,0,1,1.0
226,13,v24-repair-0226,v24-scene-d13,Nari,v24-obligation-nari-0223,full,0,0,0,1,0,1.0
227,13,v24-repair-0227,v24-scene-d13,Melo,v24-obligation-melo-0227,full,0,0,0,1,0,1.0
228,13,v24-repair-0228,v24-scene-d13,Melo,v24-obligation-melo-0228,none,0,0,0,0,1,1.0
229,13,v24-repair-0229,v24-scene-d13,Keth,v24-no-open-keth-0229,none,0,0,0,0,0,1.0
230,13,v24-repair-0230,v24-scene-d13,Nari,v24-obligation-nari-0230,full,0,0,0,1,0,1.0
231,13,v24-repair-0231,v24-scene-d13,Melo,v24-obligation-melo-0228,full,0,0,0,1,0,1.0
232,13,v24-repair-0232,v24-scene-d13,Ori,v24-obligation-ori-0232,full,0,0,1,1,0,1.0
233,13,v24-repair-0233,v24-scene-d13,Nari,v24-no-open-nari-0233,none,0,0,0,0,0,1.0
234,14,v24-repair-0234,v24-scene-d14,Ori,v24-obligation-ori-0234,full,0,0,0,1,0,1.0
235,14,v24-repair-0235,v24-scene-d14,Vonn,v24-obligation-vonn-0188,none,0,0,0,0,1,0.8
236,14,v24-repair-0236,v24-scene-d14,Ori,v24-obligation-ori-0236,partial,0,0,1,0,1,1.0
237,14,v24-repair-0237,v24-scene-d14,Keth,v24-no-open-keth-0237,none,0,0,0,0,0,1.0
238,14,v24-repair-0238,v24-scene-d14,Keth,v24-obligation-keth-0238,full,0,0,0,1,0,1.0
239,14,v24-repair-0239,v24-scene-d14,Keth,v24-obligation-keth-0239,full,0,0,0,1,0,1.0
240,14,v24-repair-0240,v24-scene-d14,Keth,v24-obligation-keth-0240,deferral,1,1,0,0,1,1.0
241,14,v24-repair-0241,v24-scene-d14,Sova,v24-no-open-sova-0241,none,0,0,0,0,0,1.0
242,14,v24-repair-0242,v24-scene-d14,Melo,v24-obligation-melo-0242,full,0,0,0,1,0,1.0
243,14,v24-repair-0243,v24-scene-d14,Nari,v24-obligation-nari-0243,deferral,1,1,0,0,1,1.0
244,14,v24-repair-0244,v24-scene-d14,Melo,v24-obligation-melo-0244,full,0,0,0,1,0,1.0
245,14,v24-repair-0245,v24-scene-d14,Sova,v24-no-open-sova-0245,none,0,0,0,0,0,1.0
246,14,v24-repair-0246,v24-scene-d14,Vonn,v24-obligation-vonn-0188,none,0,0,0,0,1,1.0
247,14,v24-repair-0247,v24-scene-d14,Melo,v24-obligation-melo-0247,deferral,1,0,0,0,1,0.8
248,14,v24-repair-0248,v24-scene-d14,Nari,v24-obligation-nari-0243,full,0,0,0,1,0,1.0
