tick_id,day,settlement_id,resident_id,project_id,failure_mode,failure_trigger,plan_quality_before,plan_quality_after,recovery_step,recovery_success_visible,failed_plan_not_erased,regression_or_debt_visible,retry_scheduled
40,3,lichen_bridge,Sol,76f402ab6a,bell mistune,mid-task uncertainty,0.36,0.374,restock material,True,True,True,True
42,3,moss_ward,Fay,69fbe1ae68,wet footing,mid-task uncertainty,0.36,0.374,schedule retry,True,True,True,True
44,3,cinder_garden,Wren,88d6240bdd,calendar mismatch,mid-task uncertainty,0.36,0.374,request safer tool,True,True,True,True
46,3,orchid_engine,Cai,b805ef5f3b,gear jam,mid-task uncertainty,0.36,0.374,ask resident lead,True,True,True,True
48,3,glass_harbor,Sera,39906512c4,lamp sputter,mid-task uncertainty,0.36,0.374,pause and inspect,True,True,True,True
50,3,lichen_bridge,Luma,c11ee45638,token shortage,mid-task uncertainty,0.36,0.374,restock material,True,True,True,True
52,3,moss_ward,Tala,5b51e19d49,cord snap,mid-task uncertainty,0.36,0.374,schedule retry,True,True,True,True
54,4,lichen_bridge,Kio,505b3ed3bc,bell mistune,mid-task uncertainty,0.36,0.374,schedule retry,True,True,True,True
56,4,moss_ward,Milo,022ca473b4,wet footing,mid-task uncertainty,0.36,0.374,request safer tool,True,True,True,True
58,4,cinder_garden,Juno,46bd9e887d,calendar mismatch,mid-task uncertainty,0.36,0.374,ask resident lead,True,True,True,True
60,4,orchid_engine,Dax,5ea66d74e7,gear jam,mid-task uncertainty,0.36,0.374,pause and inspect,True,True,True,True
62,4,glass_harbor,Nia,aa85d5f3cf,lamp sputter,mid-task uncertainty,0.36,0.374,restock material,True,True,True,True
64,4,lichen_bridge,Rin,1ca3ca05c1,token shortage,mid-task uncertainty,0.36,0.374,schedule retry,True,True,True,True
66,4,moss_ward,Ari,27a5f6be30,cord snap,mid-task uncertainty,0.36,0.374,request safer tool,True,True,True,True
68,4,cinder_garden,Vale,50e2b859c6,heat spike,mid-task uncertainty,0.36,0.374,ask resident lead,True,True,True,True
70,4,orchid_engine,Bea,2899e764df,orchid dim,mid-task uncertainty,0.36,0.374,pause and inspect,True,True,True,True
72,5,cinder_garden,Pax,f91854767d,calendar mismatch,mid-task uncertainty,0.374,0.388,pause and inspect,True,True,True,True
74,5,orchid_engine,Eli,ee36774892,gear jam,mid-task uncertainty,0.36,0.374,restock material,True,True,True,True
76,5,glass_harbor,Oren,4691632fda,lamp sputter,mid-task uncertainty,0.38,0.394,schedule retry,True,True,True,True
77,5,cinder_garden,Vale,669e90cbc3,basket spill,schedule conflict,0.36,0.38,pause and inspect,True,True,True,True
78,5,lichen_bridge,Sol,797e050dde,token shortage,mid-task uncertainty,0.374,0.388,request safer tool,True,True,True,True
80,5,moss_ward,Fay,23961e054e,cord snap,mid-task uncertainty,0.374,0.388,ask resident lead,True,True,True,True
82,5,cinder_garden,Wren,f54993de4d,heat spike,mid-task uncertainty,0.374,0.388,pause and inspect,True,True,True,True
84,5,orchid_engine,Cai,fee339b1d9,orchid dim,mid-task uncertainty,0.374,0.388,restock material,True,True,True,True
86,5,glass_harbor,Sera,c5ce3bb82a,net tear,mid-task uncertainty,0.374,0.388,schedule retry,True,True,True,True
88,5,lichen_bridge,Luma,6e76849c77,rope slack,mid-task uncertainty,0.374,0.388,request safer tool,True,True,True,True
90,6,glass_harbor,Puck,b9f27156b1,lamp sputter,mid-task uncertainty,0.374,0.388,request safer tool,True,True,True,True
92,6,lichen_bridge,Kio,a9335a1d29,token shortage,mid-task uncertainty,0.36,0.374,ask resident lead,True,True,True,True
94,6,moss_ward,Milo,48ae12c016,cord snap,mid-task uncertainty,0.374,0.388,pause and inspect,True,True,True,True
96,6,cinder_garden,Juno,5f79a57e6f,heat spike,mid-task uncertainty,0.374,0.388,restock material,True,True,True,True
98,6,orchid_engine,Dax,3645f43e1d,orchid dim,mid-task uncertainty,0.374,0.388,schedule retry,True,True,True,True
100,6,glass_harbor,Nia,9a5c1e063a,net tear,mid-task uncertainty,0.374,0.388,request safer tool,True,True,True,True
102,6,lichen_bridge,Rin,0d07f43a57,rope slack,mid-task uncertainty,0.374,0.388,ask resident lead,True,True,True,True
104,6,moss_ward,Ari,2ea8f2d96e,ledger miscopy,mid-task uncertainty,0.374,0.388,pause and inspect,True,True,True,True
106,6,cinder_garden,Vale,5e37aea90d,basket spill,mid-task uncertainty,0.374,0.388,restock material,True,True,True,True
108,7,moss_ward,Tala,5b51e19d49,cord snap,mid-task uncertainty,0.374,0.388,restock material,True,True,True,True
110,7,cinder_garden,Pax,301d0ea001,heat spike,mid-task uncertainty,0.36,0.374,schedule retry,True,True,True,True
112,7,orchid_engine,Eli,b41913dbe2,orchid dim,mid-task uncertainty,0.374,0.388,request safer tool,True,True,True,True
114,7,glass_harbor,Oren,5a399028bb,net tear,mid-task uncertainty,0.374,0.388,ask resident lead,True,True,True,True
116,7,lichen_bridge,Sol,76f402ab6a,rope slack,mid-task uncertainty,0.374,0.388,pause and inspect,True,True,True,True
118,7,moss_ward,Fay,69fbe1ae68,ledger miscopy,mid-task uncertainty,0.374,0.388,restock material,True,True,True,True
120,7,cinder_garden,Wren,88d6240bdd,basket spill,mid-task uncertainty,0.374,0.388,schedule retry,True,True,True,True
122,7,orchid_engine,Cai,b805ef5f3b,valve knock,mid-task uncertainty,0.374,0.388,request safer tool,True,True,True,True
124,7,glass_harbor,Sera,39906512c4,fog seal leak,mid-task uncertainty,0.374,0.388,ask resident lead,True,True,True,True
126,8,orchid_engine,Bea,2899e764df,orchid dim,mid-task uncertainty,0.374,0.388,ask resident lead,True,True,True,True
128,8,glass_harbor,Puck,ed218dd38f,net tear,mid-task uncertainty,0.36,0.374,pause and inspect,True,True,True,True
130,8,lichen_bridge,Kio,505b3ed3bc,rope slack,mid-task uncertainty,0.374,0.388,restock material,True,True,True,True
132,8,moss_ward,Milo,022ca473b4,ledger miscopy,mid-task uncertainty,0.374,0.388,schedule retry,True,True,True,True
134,8,cinder_garden,Juno,46bd9e887d,basket spill,mid-task uncertainty,0.374,0.388,request safer tool,True,True,True,True
136,8,orchid_engine,Dax,5ea66d74e7,valve knock,mid-task uncertainty,0.374,0.388,ask resident lead,True,True,True,True
138,8,glass_harbor,Nia,aa85d5f3cf,fog seal leak,mid-task uncertainty,0.374,0.388,pause and inspect,True,True,True,True
140,8,lichen_bridge,Rin,1ca3ca05c1,bell mistune,mid-task uncertainty,0.374,0.388,restock material,True,True,True,True
142,8,moss_ward,Ari,27a5f6be30,wet footing,mid-task uncertainty,0.374,0.388,schedule retry,True,True,True,True
144,9,lichen_bridge,Luma,6e76849c77,rope slack,schedule conflict,0.388,0.408,schedule retry,True,True,True,True
146,9,moss_ward,Tala,ffd144b235,ledger miscopy,mid-task uncertainty,0.374,0.388,request safer tool,True,True,True,True
148,9,cinder_garden,Pax,f91854767d,basket spill,mid-task uncertainty,0.388,0.402,ask resident lead,True,True,True,True
150,9,orchid_engine,Eli,ee36774892,valve knock,mid-task uncertainty,0.374,0.388,pause and inspect,True,True,True,True
152,9,glass_harbor,Oren,4691632fda,fog seal leak,mid-task uncertainty,0.394,0.408,restock material,True,True,True,True
154,9,lichen_bridge,Sol,797e050dde,bell mistune,schedule conflict,0.388,0.408,schedule retry,True,True,True,True
156,9,moss_ward,Fay,23961e054e,wet footing,mid-task uncertainty,0.388,0.402,request safer tool,True,True,True,True
158,9,cinder_garden,Wren,f54993de4d,calendar mismatch,mid-task uncertainty,0.388,0.402,ask resident lead,True,True,True,True
160,9,orchid_engine,Cai,fee339b1d9,gear jam,mid-task uncertainty,0.388,0.402,pause and inspect,True,True,True,True
162,10,cinder_garden,Vale,5e37aea90d,basket spill,mid-task uncertainty,0.388,0.402,pause and inspect,True,True,True,True
164,10,orchid_engine,Bea,ff802a82b5,valve knock,mid-task uncertainty,0.374,0.388,restock material,True,True,True,True
166,10,glass_harbor,Puck,b9f27156b1,fog seal leak,mid-task uncertainty,0.388,0.402,schedule retry,True,True,True,True
168,10,lichen_bridge,Kio,a9335a1d29,bell mistune,mid-task uncertainty,0.374,0.388,request safer tool,True,True,True,True
170,10,moss_ward,Milo,48ae12c016,wet footing,mid-task uncertainty,0.388,0.402,ask resident lead,True,True,True,True
172,10,cinder_garden,Juno,5f79a57e6f,calendar mismatch,mid-task uncertainty,0.388,0.402,pause and inspect,True,True,True,True
174,10,orchid_engine,Dax,3645f43e1d,gear jam,mid-task uncertainty,0.388,0.402,restock material,True,True,True,True
176,10,glass_harbor,Nia,9a5c1e063a,lamp sputter,mid-task uncertainty,0.388,0.402,schedule retry,True,True,True,True
178,10,lichen_bridge,Rin,0d07f43a57,token shortage,mid-task uncertainty,0.388,0.402,request safer tool,True,True,True,True
180,11,glass_harbor,Sera,39906512c4,fog seal leak,mid-task uncertainty,0.388,0.402,request safer tool,True,True,True,True
182,11,lichen_bridge,Luma,c11ee45638,bell mistune,mid-task uncertainty,0.374,0.388,ask resident lead,True,True,True,True
184,11,moss_ward,Tala,5b51e19d49,wet footing,mid-task uncertainty,0.388,0.402,pause and inspect,True,True,True,True
186,11,cinder_garden,Pax,301d0ea001,calendar mismatch,mid-task uncertainty,0.374,0.388,restock material,True,True,True,True
188,11,orchid_engine,Eli,b41913dbe2,gear jam,mid-task uncertainty,0.388,0.402,schedule retry,True,True,True,True
190,11,glass_harbor,Oren,5a399028bb,lamp sputter,mid-task uncertainty,0.388,0.402,request safer tool,True,True,True,True
192,11,lichen_bridge,Sol,76f402ab6a,token shortage,mid-task uncertainty,0.388,0.402,ask resident lead,True,True,True,True
194,11,moss_ward,Fay,69fbe1ae68,cord snap,mid-task uncertainty,0.388,0.402,pause and inspect,True,True,True,True
196,11,cinder_garden,Wren,88d6240bdd,heat spike,mid-task uncertainty,0.388,0.402,restock material,True,True,True,True
198,12,moss_ward,Ari,27a5f6be30,wet footing,schedule conflict,0.388,0.408,restock material,True,True,True,True
200,12,cinder_garden,Vale,50e2b859c6,calendar mismatch,mid-task uncertainty,0.374,0.388,schedule retry,True,True,True,True
202,12,orchid_engine,Bea,2899e764df,gear jam,mid-task uncertainty,0.388,0.402,request safer tool,True,True,True,True
204,12,glass_harbor,Puck,ed218dd38f,lamp sputter,mid-task uncertainty,0.374,0.388,ask resident lead,True,True,True,True
206,12,lichen_bridge,Kio,505b3ed3bc,token shortage,mid-task uncertainty,0.388,0.402,pause and inspect,True,True,True,True
208,12,moss_ward,Milo,022ca473b4,cord snap,mid-task uncertainty,0.388,0.402,restock material,True,True,True,True
210,12,cinder_garden,Juno,46bd9e887d,heat spike,mid-task uncertainty,0.388,0.402,schedule retry,True,True,True,True
212,12,orchid_engine,Dax,5ea66d74e7,orchid dim,mid-task uncertainty,0.388,0.402,request safer tool,True,True,True,True
214,12,glass_harbor,Nia,aa85d5f3cf,net tear,mid-task uncertainty,0.388,0.402,ask resident lead,True,True,True,True
216,13,orchid_engine,Cai,fee339b1d9,gear jam,mid-task uncertainty,0.402,0.416,ask resident lead,True,True,True,True
218,13,glass_harbor,Sera,c5ce3bb82a,lamp sputter,mid-task uncertainty,0.388,0.402,pause and inspect,True,True,True,True
220,13,lichen_bridge,Luma,6e76849c77,token shortage,mid-task uncertainty,0.408,0.422,restock material,True,True,True,True
222,13,moss_ward,Tala,ffd144b235,cord snap,mid-task uncertainty,0.388,0.402,schedule retry,True,True,True,True
224,13,cinder_garden,Pax,f91854767d,heat spike,mid-task uncertainty,0.402,0.416,request safer tool,True,True,True,True
226,13,orchid_engine,Eli,ee36774892,orchid dim,mid-task uncertainty,0.388,0.402,ask resident lead,True,True,True,True
228,13,glass_harbor,Oren,4691632fda,net tear,mid-task uncertainty,0.408,0.422,pause and inspect,True,True,True,True
230,13,lichen_bridge,Sol,797e050dde,rope slack,mid-task uncertainty,0.408,0.422,restock material,True,True,True,True
231,13,orchid_engine,Bea,936769c116,gear jam,schedule conflict,0.36,0.38,ask resident lead,True,True,True,True
232,13,moss_ward,Fay,23961e054e,ledger miscopy,mid-task uncertainty,0.402,0.416,schedule retry,True,True,True,True
234,14,lichen_bridge,Rin,0d07f43a57,token shortage,mid-task uncertainty,0.402,0.416,schedule retry,True,True,True,True
236,14,moss_ward,Ari,2ea8f2d96e,cord snap,mid-task uncertainty,0.388,0.402,request safer tool,True,True,True,True
238,14,cinder_garden,Vale,5e37aea90d,heat spike,mid-task uncertainty,0.402,0.416,ask resident lead,True,True,True,True
240,14,orchid_engine,Bea,ff802a82b5,orchid dim,mid-task uncertainty,0.388,0.402,pause and inspect,True,True,True,True
242,14,glass_harbor,Puck,b9f27156b1,net tear,mid-task uncertainty,0.402,0.416,restock material,True,True,True,True
244,14,lichen_bridge,Kio,a9335a1d29,rope slack,mid-task uncertainty,0.388,0.402,schedule retry,True,True,True,True
246,14,moss_ward,Milo,48ae12c016,ledger miscopy,mid-task uncertainty,0.402,0.416,request safer tool,True,True,True,True
248,14,cinder_garden,Juno,5f79a57e6f,basket spill,mid-task uncertainty,0.402,0.416,ask resident lead,True,True,True,True
250,14,orchid_engine,Dax,3645f43e1d,valve knock,mid-task uncertainty,0.402,0.416,pause and inspect,True,True,True,True
252,15,cinder_garden,Wren,88d6240bdd,heat spike,mid-task uncertainty,0.402,0.416,pause and inspect,True,True,True,True
254,15,orchid_engine,Cai,b805ef5f3b,orchid dim,mid-task uncertainty,0.388,0.402,restock material,True,True,True,True
256,15,glass_harbor,Sera,39906512c4,net tear,mid-task uncertainty,0.402,0.416,schedule retry,True,True,True,True
258,15,lichen_bridge,Luma,c11ee45638,rope slack,mid-task uncertainty,0.388,0.402,request safer tool,True,True,True,True
260,15,moss_ward,Tala,5b51e19d49,ledger miscopy,mid-task uncertainty,0.402,0.416,ask resident lead,True,True,True,True
262,15,cinder_garden,Pax,301d0ea001,basket spill,mid-task uncertainty,0.388,0.402,pause and inspect,True,True,True,True
264,15,orchid_engine,Eli,b41913dbe2,valve knock,mid-task uncertainty,0.402,0.416,restock material,True,True,True,True
266,15,glass_harbor,Oren,5a399028bb,fog seal leak,mid-task uncertainty,0.402,0.416,schedule retry,True,True,True,True
268,15,lichen_bridge,Sol,76f402ab6a,bell mistune,mid-task uncertainty,0.402,0.416,request safer tool,True,True,True,True
270,16,glass_harbor,Nia,aa85d5f3cf,net tear,mid-task uncertainty,0.402,0.416,request safer tool,True,True,True,True
272,16,lichen_bridge,Rin,1ca3ca05c1,rope slack,mid-task uncertainty,0.388,0.402,ask resident lead,True,True,True,True
274,16,moss_ward,Ari,27a5f6be30,ledger miscopy,mid-task uncertainty,0.408,0.422,pause and inspect,True,True,True,True
275,16,glass_harbor,Oren,139ed15166,lamp sputter,schedule conflict,0.36,0.38,request safer tool,True,True,True,True
276,16,cinder_garden,Vale,50e2b859c6,basket spill,mid-task uncertainty,0.388,0.402,restock material,True,True,True,True
278,16,orchid_engine,Bea,2899e764df,valve knock,mid-task uncertainty,0.402,0.416,schedule retry,True,True,True,True
280,16,glass_harbor,Puck,ed218dd38f,fog seal leak,mid-task uncertainty,0.388,0.402,request safer tool,True,True,True,True
282,16,lichen_bridge,Kio,505b3ed3bc,bell mistune,mid-task uncertainty,0.402,0.416,ask resident lead,True,True,True,True
284,16,moss_ward,Milo,022ca473b4,wet footing,mid-task uncertainty,0.402,0.416,pause and inspect,True,True,True,True
286,16,cinder_garden,Juno,46bd9e887d,calendar mismatch,mid-task uncertainty,0.402,0.416,restock material,True,True,True,True
288,17,moss_ward,Fay,23961e054e,ledger miscopy,mid-task uncertainty,0.416,0.43,restock material,True,True,True,True
290,17,cinder_garden,Wren,f54993de4d,basket spill,mid-task uncertainty,0.402,0.416,schedule retry,True,True,True,True
292,17,orchid_engine,Cai,fee339b1d9,valve knock,mid-task uncertainty,0.416,0.43,request safer tool,True,True,True,True
294,17,glass_harbor,Sera,c5ce3bb82a,fog seal leak,mid-task uncertainty,0.402,0.416,ask resident lead,True,True,True,True
296,17,lichen_bridge,Luma,6e76849c77,bell mistune,mid-task uncertainty,0.422,0.436,pause and inspect,True,True,True,True
298,17,moss_ward,Tala,ffd144b235,wet footing,mid-task uncertainty,0.402,0.416,restock material,True,True,True,True
300,17,cinder_garden,Pax,f91854767d,calendar mismatch,mid-task uncertainty,0.416,0.43,schedule retry,True,True,True,True
302,17,orchid_engine,Eli,ee36774892,gear jam,mid-task uncertainty,0.402,0.416,request safer tool,True,True,True,True
304,17,glass_harbor,Oren,4691632fda,lamp sputter,mid-task uncertainty,0.422,0.436,ask resident lead,True,True,True,True
306,18,orchid_engine,Dax,3645f43e1d,valve knock,schedule conflict,0.416,0.436,ask resident lead,True,True,True,True
308,18,glass_harbor,Nia,9a5c1e063a,fog seal leak,mid-task uncertainty,0.402,0.416,pause and inspect,True,True,True,True
310,18,lichen_bridge,Rin,0d07f43a57,bell mistune,mid-task uncertainty,0.416,0.43,restock material,True,True,True,True
312,18,moss_ward,Ari,2ea8f2d96e,wet footing,mid-task uncertainty,0.402,0.416,schedule retry,True,True,True,True
314,18,cinder_garden,Vale,5e37aea90d,calendar mismatch,mid-task uncertainty,0.416,0.43,request safer tool,True,True,True,True
316,18,orchid_engine,Bea,ff802a82b5,gear jam,mid-task uncertainty,0.402,0.416,ask resident lead,True,True,True,True
318,18,glass_harbor,Puck,b9f27156b1,lamp sputter,mid-task uncertainty,0.416,0.43,pause and inspect,True,True,True,True
320,18,lichen_bridge,Kio,a9335a1d29,token shortage,mid-task uncertainty,0.402,0.416,restock material,True,True,True,True
322,18,moss_ward,Milo,48ae12c016,cord snap,mid-task uncertainty,0.416,0.43,schedule retry,True,True,True,True
324,19,lichen_bridge,Sol,76f402ab6a,bell mistune,mid-task uncertainty,0.416,0.43,schedule retry,True,True,True,True
326,19,moss_ward,Fay,69fbe1ae68,wet footing,mid-task uncertainty,0.402,0.416,request safer tool,True,True,True,True
328,19,cinder_garden,Wren,88d6240bdd,calendar mismatch,mid-task uncertainty,0.416,0.43,ask resident lead,True,True,True,True
330,19,orchid_engine,Cai,b805ef5f3b,gear jam,mid-task uncertainty,0.402,0.416,pause and inspect,True,True,True,True
332,19,glass_harbor,Sera,39906512c4,lamp sputter,mid-task uncertainty,0.416,0.43,restock material,True,True,True,True
334,19,lichen_bridge,Luma,c11ee45638,token shortage,mid-task uncertainty,0.402,0.416,schedule retry,True,True,True,True
336,19,moss_ward,Tala,5b51e19d49,cord snap,mid-task uncertainty,0.416,0.43,request safer tool,True,True,True,True
338,19,cinder_garden,Pax,301d0ea001,heat spike,mid-task uncertainty,0.402,0.416,ask resident lead,True,True,True,True
340,19,orchid_engine,Eli,b41913dbe2,orchid dim,mid-task uncertainty,0.416,0.43,pause and inspect,True,True,True,True
342,20,cinder_garden,Juno,46bd9e887d,calendar mismatch,mid-task uncertainty,0.416,0.43,pause and inspect,True,True,True,True
344,20,orchid_engine,Dax,5ea66d74e7,gear jam,mid-task uncertainty,0.402,0.416,restock material,True,True,True,True
346,20,glass_harbor,Nia,aa85d5f3cf,lamp sputter,mid-task uncertainty,0.416,0.43,schedule retry,True,True,True,True
348,20,lichen_bridge,Rin,1ca3ca05c1,token shortage,mid-task uncertainty,0.402,0.416,request safer tool,True,True,True,True
350,20,moss_ward,Ari,27a5f6be30,cord snap,mid-task uncertainty,0.422,0.436,ask resident lead,True,True,True,True
352,20,cinder_garden,Vale,50e2b859c6,heat spike,schedule conflict,0.402,0.422,pause and inspect,True,True,True,True
354,20,orchid_engine,Bea,2899e764df,orchid dim,mid-task uncertainty,0.416,0.43,restock material,True,True,True,True
356,20,glass_harbor,Puck,ed218dd38f,net tear,mid-task uncertainty,0.402,0.416,schedule retry,True,True,True,True
358,20,lichen_bridge,Kio,505b3ed3bc,rope slack,mid-task uncertainty,0.416,0.43,request safer tool,True,True,True,True
360,21,glass_harbor,Oren,4691632fda,lamp sputter,mid-task uncertainty,0.436,0.45,request safer tool,True,True,True,True
362,21,lichen_bridge,Sol,797e050dde,token shortage,mid-task uncertainty,0.422,0.436,ask resident lead,True,True,True,True
364,21,moss_ward,Fay,23961e054e,cord snap,mid-task uncertainty,0.43,0.444,pause and inspect,True,True,True,True
366,21,cinder_garden,Wren,f54993de4d,heat spike,mid-task uncertainty,0.416,0.43,restock material,True,True,True,True
368,21,orchid_engine,Cai,fee339b1d9,orchid dim,mid-task uncertainty,0.43,0.444,schedule retry,True,True,True,True
370,21,glass_harbor,Sera,c5ce3bb82a,net tear,mid-task uncertainty,0.416,0.43,request safer tool,True,True,True,True
372,21,lichen_bridge,Luma,6e76849c77,rope slack,mid-task uncertainty,0.436,0.45,ask resident lead,True,True,True,True
374,21,moss_ward,Tala,ffd144b235,ledger miscopy,mid-task uncertainty,0.416,0.43,pause and inspect,True,True,True,True
376,21,cinder_garden,Pax,f91854767d,basket spill,mid-task uncertainty,0.43,0.444,restock material,True,True,True,True
378,22,moss_ward,Milo,48ae12c016,cord snap,mid-task uncertainty,0.43,0.444,restock material,True,True,True,True
380,22,cinder_garden,Juno,5f79a57e6f,heat spike,mid-task uncertainty,0.416,0.43,schedule retry,True,True,True,True
382,22,orchid_engine,Dax,3645f43e1d,orchid dim,mid-task uncertainty,0.436,0.45,request safer tool,True,True,True,True
384,22,glass_harbor,Nia,9a5c1e063a,net tear,mid-task uncertainty,0.416,0.43,ask resident lead,True,True,True,True
386,22,lichen_bridge,Rin,0d07f43a57,rope slack,mid-task uncertainty,0.43,0.444,pause and inspect,True,True,True,True
388,22,moss_ward,Ari,2ea8f2d96e,ledger miscopy,mid-task uncertainty,0.416,0.43,restock material,True,True,True,True
390,22,cinder_garden,Vale,5e37aea90d,basket spill,mid-task uncertainty,0.43,0.444,schedule retry,True,True,True,True
392,22,orchid_engine,Bea,ff802a82b5,valve knock,mid-task uncertainty,0.416,0.43,request safer tool,True,True,True,True
394,22,glass_harbor,Puck,b9f27156b1,fog seal leak,mid-task uncertainty,0.43,0.444,ask resident lead,True,True,True,True
396,23,orchid_engine,Eli,b41913dbe2,orchid dim,schedule conflict,0.43,0.45,ask resident lead,True,True,True,True
398,23,glass_harbor,Oren,5a399028bb,net tear,mid-task uncertainty,0.416,0.43,pause and inspect,True,True,True,True
400,23,lichen_bridge,Sol,76f402ab6a,rope slack,mid-task uncertainty,0.43,0.444,restock material,True,True,True,True
402,23,moss_ward,Fay,69fbe1ae68,ledger miscopy,mid-task uncertainty,0.416,0.43,schedule retry,True,True,True,True
404,23,cinder_garden,Wren,88d6240bdd,basket spill,mid-task uncertainty,0.43,0.444,request safer tool,True,True,True,True
406,23,orchid_engine,Cai,b805ef5f3b,valve knock,mid-task uncertainty,0.416,0.43,ask resident lead,True,True,True,True
408,23,glass_harbor,Sera,39906512c4,fog seal leak,mid-task uncertainty,0.43,0.444,pause and inspect,True,True,True,True
410,23,lichen_bridge,Luma,c11ee45638,bell mistune,mid-task uncertainty,0.416,0.43,restock material,True,True,True,True
412,23,moss_ward,Tala,5b51e19d49,wet footing,mid-task uncertainty,0.43,0.444,schedule retry,True,True,True,True
414,24,lichen_bridge,Kio,505b3ed3bc,rope slack,mid-task uncertainty,0.43,0.444,schedule retry,True,True,True,True
416,24,moss_ward,Milo,022ca473b4,ledger miscopy,mid-task uncertainty,0.416,0.43,request safer tool,True,True,True,True
418,24,cinder_garden,Juno,46bd9e887d,basket spill,mid-task uncertainty,0.43,0.444,ask resident lead,True,True,True,True
420,24,orchid_engine,Dax,5ea66d74e7,valve knock,mid-task uncertainty,0.416,0.43,pause and inspect,True,True,True,True
422,24,glass_harbor,Nia,aa85d5f3cf,fog seal leak,mid-task uncertainty,0.43,0.444,restock material,True,True,True,True
424,24,lichen_bridge,Rin,1ca3ca05c1,bell mistune,mid-task uncertainty,0.416,0.43,schedule retry,True,True,True,True
426,24,moss_ward,Ari,27a5f6be30,wet footing,mid-task uncertainty,0.436,0.45,request safer tool,True,True,True,True
428,24,cinder_garden,Vale,50e2b859c6,calendar mismatch,mid-task uncertainty,0.422,0.436,ask resident lead,True,True,True,True
429,24,lichen_bridge,Sol,878bf0af37,rope slack,schedule conflict,0.36,0.38,schedule retry,True,True,True,True
430,24,orchid_engine,Bea,2899e764df,gear jam,mid-task uncertainty,0.43,0.444,pause and inspect,True,True,True,True
432,25,cinder_garden,Pax,f91854767d,basket spill,mid-task uncertainty,0.444,0.458,pause and inspect,True,True,True,True
434,25,orchid_engine,Eli,ee36774892,valve knock,mid-task uncertainty,0.416,0.43,restock material,True,True,True,True
436,25,glass_harbor,Oren,4691632fda,fog seal leak,mid-task uncertainty,0.45,0.464,schedule retry,True,True,True,True
438,25,lichen_bridge,Sol,797e050dde,bell mistune,mid-task uncertainty,0.436,0.45,request safer tool,True,True,True,True
440,25,moss_ward,Fay,23961e054e,wet footing,mid-task uncertainty,0.444,0.458,ask resident lead,True,True,True,True
442,25,cinder_garden,Wren,f54993de4d,calendar mismatch,mid-task uncertainty,0.43,0.444,pause and inspect,True,True,True,True
444,25,orchid_engine,Cai,fee339b1d9,gear jam,mid-task uncertainty,0.444,0.458,restock material,True,True,True,True
