seed,pulse_id,actor,event,actor_entropy,event_entropy,intensity_entropy,intensity,resources_before,resources_after,resource_delta,need_before,need_after,schedule_coupling
36263,36263-SP-04,Fay,argument_echo,186,155,159,1.124,"{""care"": 2, ""fiber"": 4, ""water"": 6, ""wood"": 7}","{""care"": 2, ""fiber"": 4, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36263,36263-SP-05,Milo,roof_leak,127,15,114,0.947,"{""care"": 2, ""fiber"": 4, ""water"": 6, ""wood"": 7}","{""care"": 2, ""fiber"": 4, ""water"": 5, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",finish-work,finish-work,Milo stochastically delayed 36263-AIS-03 while carry water competed with roof_leak
36263,36263-SP-06,Ari,roof_leak,125,27,194,1.261,"{""care"": 2, ""fiber"": 4, ""water"": 5, ""wood"": 6}","{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 4}","{""care"": 0, ""fiber"": 0, ""water"": -2, ""wood"": -2}",finish-work,finish-work,Ari stochastically delayed 36263-AIS-04 while dry cloaks competed with roof_leak
36263,36263-SP-07,Sera,tool_snag,73,71,40,0.657,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 4}","{""care"": 2, ""fiber"": 3, ""water"": 3, ""wood"": 4}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36263,36263-SP-08,Sera,neighbor_help,33,107,68,0.767,"{""care"": 2, ""fiber"": 3, ""water"": 3, ""wood"": 4}","{""care"": 3, ""fiber"": 3, ""water"": 3, ""wood"": 4}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36281,36281-SP-01,Fay,tool_snag,176,90,5,0.52,"{""care"": 2, ""fiber"": 5, ""water"": 7, ""wood"": 6}","{""care"": 2, ""fiber"": 4, ""water"": 7, ""wood"": 6}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay stochastically delayed 36281-AIS-01 while repair awning competed with tool_snag
36281,36281-SP-02,Tovan,found_material,4,223,214,1.339,"{""care"": 2, ""fiber"": 4, ""water"": 7, ""wood"": 6}","{""care"": 2, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",explore,explore,Tovan made 36281-AIS-05 easier to attempt after found_material
36281,36281-SP-03,Fay,neighbor_help,26,132,173,1.178,"{""care"": 2, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 3, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay made 36281-AIS-02 easier to attempt after neighbor_help
36281,36281-SP-04,Milo,neighbor_help,222,134,101,0.896,"{""care"": 3, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 4, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36281-AIS-03 easier to attempt after neighbor_help
36281,36281-SP-05,Fay,roof_leak,216,1,86,0.837,"{""care"": 4, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 4, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",finish-work,finish-work,Fay stochastically delayed 36281-AIS-02 while sort herbs competed with roof_leak
36281,36281-SP-06,Tovan,tool_snag,34,93,134,1.025,"{""care"": 4, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically delayed 36281-AIS-03 while carry water competed with tool_snag
36281,36281-SP-07,Sera,quiet_recovery,68,247,144,1.065,"{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36281,36281-SP-08,Tovan,argument_echo,44,206,2,0.508,"{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically disputed 36281-AIS-05 while map safe route competed with argument_echo
36307,36307-SP-01,Fay,roof_leak,116,35,209,1.32,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 2, ""fiber"": 5, ""water"": 4, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -2, ""wood"": -2}",finish-work,finish-work,Fay stochastically delayed 36307-AIS-02 while sort herbs competed with roof_leak
36307,36307-SP-02,Sera,roof_leak,248,13,135,1.029,"{""care"": 2, ""fiber"": 5, ""water"": 4, ""wood"": 6}","{""care"": 2, ""fiber"": 5, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",explore,finish-work,Sera stochastically delayed 36307-AIS-04 while dry cloaks competed with roof_leak
36307,36307-SP-03,Fay,tool_snag,36,53,125,0.99,"{""care"": 2, ""fiber"": 5, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36307,36307-SP-04,Milo,quiet_recovery,17,237,113,0.943,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36307,36307-SP-05,Sera,argument_echo,243,186,232,1.41,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Sera stochastically disputed 36307-AIS-01 while repair awning competed with argument_echo
36307,36307-SP-06,Tovan,tool_snag,64,57,187,1.233,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": -2, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically delayed 36307-AIS-03 while carry water competed with tool_snag
36307,36307-SP-07,Milo,argument_echo,32,171,120,0.971,"{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo stochastically disputed 36307-AIS-05 while map safe route competed with argument_echo
36307,36307-SP-08,Tovan,tool_snag,134,57,80,0.814,"{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 1, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
