tick,day,resident,schedule_before,schedule_after,changed_by_avatar,changed_offscreen,diff_summary,agency_flag,visible_after_return
55,4,Ari,seek tool,private task,True,False,seek tool -> private task by borrow_tool,agency preserved,True
56,4,Fay,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
57,4,Milo,private task,work,True,False,private task -> work by interrupt_work,agency preserved,True
58,4,Sera,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
59,4,Tovan,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
60,4,Nia,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
61,4,Ari,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
62,4,Fay,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
63,4,Milo,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
64,4,Sera,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
65,4,Tovan,recover focus,rest,True,False,recover focus -> rest by interrupt_work,agency preserved,True
66,4,Nia,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
67,4,Ari,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
68,4,Fay,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
69,4,Milo,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
70,4,Sera,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
71,4,Tovan,private task,work,True,True,private task -> work by borrow_tool,agency preserved,True
72,5,Nia,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,resident boundary respected,True
73,5,Ari,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
74,5,Fay,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
75,5,Milo,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
76,5,Sera,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
77,5,Tovan,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
78,5,Nia,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
79,5,Ari,work,rest,True,False,work -> rest by return_tool,agency preserved,True
80,5,Fay,rest,seek tool,True,False,rest -> seek tool by interrupt_work,resident boundary respected,True
81,5,Milo,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
82,5,Sera,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
83,5,Tovan,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
84,5,Nia,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
85,5,Ari,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
86,5,Fay,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,agency preserved,True
87,5,Milo,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
88,5,Sera,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,resident boundary respected,True
89,5,Tovan,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
90,6,Nia,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
91,6,Ari,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
92,6,Fay,work,rest,True,False,work -> rest by offer_help,agency preserved,True
93,6,Milo,rest,seek tool,True,False,rest -> seek tool by borrow_tool,agency preserved,True
94,6,Sera,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
95,6,Tovan,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
96,6,Nia,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
97,6,Ari,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
98,6,Fay,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
99,6,Milo,work,rest,False,False,work -> rest by talk,agency preserved,True
100,6,Sera,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
101,6,Tovan,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,agency preserved,True
102,6,Nia,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
103,6,Ari,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,agency preserved,True
104,6,Fay,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
105,6,Milo,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
106,6,Sera,work,rest,False,False,work -> rest by move,agency preserved,True
107,6,Tovan,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
108,7,Nia,seek tool,private task,True,False,seek tool -> private task by borrow_tool,resident boundary respected,True
109,7,Ari,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
110,7,Fay,private task,work,True,False,private task -> work by interrupt_work,agency preserved,True
111,7,Milo,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
112,7,Sera,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
113,7,Tovan,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
114,7,Nia,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
115,7,Ari,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
116,7,Fay,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,resident boundary respected,True
117,7,Milo,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
118,7,Sera,recover focus,rest,True,False,recover focus -> rest by interrupt_work,agency preserved,True
119,7,Tovan,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
120,7,Nia,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
121,7,Ari,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
122,7,Fay,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
123,7,Milo,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
124,7,Sera,private task,work,True,False,private task -> work by borrow_tool,resident boundary respected,True
125,7,Tovan,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
126,8,Nia,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
127,8,Ari,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
128,8,Fay,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
129,8,Milo,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
130,8,Sera,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
131,8,Tovan,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
132,8,Nia,work,rest,True,False,work -> rest by return_tool,agency preserved,True
133,8,Ari,rest,seek tool,True,False,rest -> seek tool by interrupt_work,agency preserved,True
134,8,Fay,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
135,8,Milo,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
136,8,Sera,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
137,8,Tovan,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
138,8,Nia,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
139,8,Ari,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,agency preserved,True
140,8,Fay,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
141,8,Milo,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,agency preserved,True
142,8,Sera,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
143,8,Tovan,care duty,private task,True,True,care duty -> private task by repair_trust,agency preserved,True
144,9,Nia,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
145,9,Ari,work,rest,True,False,work -> rest by offer_help,agency preserved,True
146,9,Fay,rest,seek tool,True,False,rest -> seek tool by borrow_tool,agency preserved,True
147,9,Milo,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
148,9,Sera,seek tool,private task,True,False,seek tool -> private task by interrupt_work,resident boundary respected,True
149,9,Tovan,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
150,9,Nia,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
151,9,Ari,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
152,9,Fay,work,rest,False,False,work -> rest by talk,agency preserved,True
153,9,Milo,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
154,9,Sera,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,agency preserved,True
155,9,Tovan,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
156,9,Nia,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,resident boundary respected,True
157,9,Ari,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
158,9,Fay,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
159,9,Milo,work,rest,False,False,work -> rest by move,agency preserved,True
160,9,Sera,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
161,9,Tovan,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by offer_help,agency preserved,True
162,10,Nia,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
163,10,Ari,private task,work,True,False,private task -> work by interrupt_work,agency preserved,True
164,10,Fay,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
165,10,Milo,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
166,10,Sera,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
167,10,Tovan,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
168,10,Nia,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
169,10,Ari,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
170,10,Fay,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
171,10,Milo,recover focus,rest,True,False,recover focus -> rest by interrupt_work,agency preserved,True
172,10,Sera,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
173,10,Tovan,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
174,10,Nia,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
175,10,Ari,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
176,10,Fay,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
177,10,Milo,private task,work,True,False,private task -> work by borrow_tool,agency preserved,True
178,10,Sera,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
179,10,Tovan,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,agency preserved,True
180,11,Nia,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
181,11,Ari,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
182,11,Fay,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
183,11,Milo,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
184,11,Sera,recover focus,rest,True,False,recover focus -> rest by borrow_tool,resident boundary respected,True
185,11,Tovan,work,rest,True,False,work -> rest by return_tool,agency preserved,True
186,11,Nia,rest,seek tool,True,False,rest -> seek tool by interrupt_work,agency preserved,True
187,11,Ari,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
188,11,Fay,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
189,11,Milo,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
190,11,Sera,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
191,11,Tovan,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
192,11,Nia,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,resident boundary respected,True
193,11,Ari,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
194,11,Fay,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,agency preserved,True
195,11,Milo,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
196,11,Sera,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
197,11,Tovan,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
198,12,Nia,work,rest,True,True,work -> rest by offer_help,agency preserved,True
199,12,Ari,rest,seek tool,True,False,rest -> seek tool by borrow_tool,agency preserved,True
200,12,Fay,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
201,12,Milo,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
202,12,Sera,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
203,12,Tovan,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
204,12,Nia,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
205,12,Ari,work,rest,False,False,work -> rest by talk,agency preserved,True
206,12,Fay,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
207,12,Milo,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,agency preserved,True
208,12,Sera,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
209,12,Tovan,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,agency preserved,True
210,12,Nia,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
211,12,Ari,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
212,12,Fay,work,rest,False,False,work -> rest by move,agency preserved,True
213,12,Milo,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
214,12,Sera,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by offer_help,agency preserved,True
215,12,Tovan,seek tool,private task,True,True,seek tool -> private task by borrow_tool,agency preserved,True
216,13,Nia,private task,work,True,False,private task -> work by interrupt_work,resident boundary respected,True
217,13,Ari,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
218,13,Fay,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
219,13,Milo,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
220,13,Sera,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
221,13,Tovan,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
222,13,Nia,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
223,13,Ari,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
224,13,Fay,recover focus,rest,True,False,recover focus -> rest by interrupt_work,resident boundary respected,True
225,13,Milo,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
226,13,Sera,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
227,13,Tovan,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
228,13,Nia,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
229,13,Ari,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
230,13,Fay,private task,work,True,False,private task -> work by borrow_tool,agency preserved,True
231,13,Milo,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
232,13,Sera,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,resident boundary respected,True
233,13,Tovan,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
234,14,Nia,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
235,14,Ari,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
236,14,Fay,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
237,14,Milo,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
238,14,Sera,work,rest,True,False,work -> rest by return_tool,agency preserved,True
239,14,Tovan,rest,seek tool,True,False,rest -> seek tool by interrupt_work,agency preserved,True
240,14,Nia,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
241,14,Ari,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
242,14,Fay,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
243,14,Milo,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
244,14,Sera,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
245,14,Tovan,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,agency preserved,True
246,14,Nia,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
247,14,Ari,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,agency preserved,True
248,14,Fay,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
249,14,Milo,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
250,14,Sera,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
251,14,Tovan,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
252,15,Nia,rest,seek tool,True,False,rest -> seek tool by borrow_tool,resident boundary respected,True
253,15,Ari,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
254,15,Fay,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
255,15,Milo,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
256,15,Sera,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
257,15,Tovan,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
258,15,Nia,work,rest,False,False,work -> rest by talk,agency preserved,True
259,15,Ari,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
260,15,Fay,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,resident boundary respected,True
261,15,Milo,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
262,15,Sera,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,agency preserved,True
263,15,Tovan,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
264,15,Nia,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
265,15,Ari,work,rest,False,False,work -> rest by move,agency preserved,True
266,15,Fay,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
267,15,Milo,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by offer_help,agency preserved,True
268,15,Sera,seek tool,private task,True,False,seek tool -> private task by borrow_tool,resident boundary respected,True
269,15,Tovan,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
270,16,Nia,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
271,16,Ari,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
272,16,Fay,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
273,16,Milo,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
274,16,Sera,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
275,16,Tovan,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
276,16,Nia,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
277,16,Ari,recover focus,rest,True,False,recover focus -> rest by interrupt_work,agency preserved,True
278,16,Fay,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
279,16,Milo,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
280,16,Sera,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
281,16,Tovan,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
282,16,Nia,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
283,16,Ari,private task,work,True,False,private task -> work by borrow_tool,agency preserved,True
284,16,Fay,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
285,16,Milo,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,agency preserved,True
286,16,Sera,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
287,16,Tovan,negotiate debt,seek tool,True,True,negotiate debt -> seek tool by repair_trust,agency preserved,True
288,17,Nia,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
289,17,Ari,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
290,17,Fay,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
291,17,Milo,work,rest,True,False,work -> rest by return_tool,agency preserved,True
292,17,Sera,rest,seek tool,True,False,rest -> seek tool by interrupt_work,resident boundary respected,True
293,17,Tovan,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
294,17,Nia,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
295,17,Ari,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
296,17,Fay,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
297,17,Milo,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
298,17,Sera,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,agency preserved,True
299,17,Tovan,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
300,17,Nia,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,resident boundary respected,True
301,17,Ari,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
302,17,Fay,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
303,17,Milo,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
304,17,Sera,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
305,17,Tovan,work,rest,True,False,work -> rest by offer_help,agency preserved,True
306,18,Nia,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
307,18,Ari,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
308,18,Fay,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
309,18,Milo,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
310,18,Sera,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
311,18,Tovan,work,rest,False,False,work -> rest by talk,agency preserved,True
312,18,Nia,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
313,18,Ari,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,agency preserved,True
314,18,Fay,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
315,18,Milo,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,agency preserved,True
316,18,Sera,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
317,18,Tovan,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
318,18,Nia,work,rest,False,False,work -> rest by move,agency preserved,True
319,18,Ari,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
