tick,day,request_id,scene_id,agent,requested_object,request_kind,avatar_has_object,owner_valid,request_visible,request_resolved,transfer_valid,request_integrity_score
36,3,v23-request-0036,v23-scene-d03,Sova,moth lantern,ask_distance_before_touch,0,1,1,0,1,0.75
37,3,v23-request-0037,v23-scene-d03,Sova,ember bowl,ask_distance_before_touch,0,1,1,1,1,1.0
38,3,v23-request-0038,v23-scene-d03,Melo,tally beads,ask_help_with_object,0,1,1,0,0,0.5
39,3,v23-request-0039,v23-scene-d03,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
40,3,v23-request-0040,v23-scene-d03,Melo,tally beads,ask_help_with_object,1,1,1,0,0,0.5
41,3,v23-request-0041,v23-scene-d03,Sova,ember bowl,ask_help_with_object,0,1,1,0,1,0.75
42,3,v23-request-0042,v23-scene-d03,Nari,fern key,ask_to_inspect_object,0,1,1,1,1,1.0
43,3,v23-request-0043,v23-scene-d03,Sova,ember bowl,ask_distance_before_touch,0,1,0,0,1,0.75
44,3,v23-request-0044,v23-scene-d03,Vonn,rain mirror,quiet_object_reminder,0,1,1,1,1,1.0
45,3,v23-request-0045,v23-scene-d03,Keth,path cord,none,0,1,0,0,1,1.0
46,3,v23-request-0046,v23-scene-d03,Nari,fern key,quiet_object_reminder,0,1,0,0,1,0.75
47,3,v23-request-0047,v23-scene-d03,Melo,tally beads,ask_help_with_object,1,1,1,1,1,1.0
48,4,v23-request-0048,v23-scene-d04,Sova,ember bowl,ask_distance_before_touch,0,1,1,1,1,1.0
49,4,v23-request-0049,v23-scene-d04,Melo,tally beads,none,0,1,0,0,0,0.75
50,4,v23-request-0050,v23-scene-d04,Nari,ink ledger,quiet_object_reminder,0,1,1,0,1,1.0
51,4,v23-request-0051,v23-scene-d04,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
52,4,v23-request-0052,v23-scene-d04,Keth,path cord,quiet_object_reminder,0,1,0,0,1,0.75
53,4,v23-request-0053,v23-scene-d04,Nari,fern key,ask_distance_before_touch,0,1,1,0,0,0.5
54,4,v23-request-0054,v23-scene-d04,Melo,tally beads,quiet_object_reminder,0,1,1,1,1,1.0
55,4,v23-request-0055,v23-scene-d04,Sova,moth lantern,ask_help_with_object,0,1,1,0,0,0.5
56,4,v23-request-0056,v23-scene-d04,Keth,path cord,ask_help_with_object,0,1,1,1,1,1.0
57,4,v23-request-0057,v23-scene-d04,Vonn,rain mirror,none,0,1,0,0,1,1.0
58,4,v23-request-0058,v23-scene-d04,Vonn,listening shell,ask_to_inspect_object,0,1,1,0,0,0.5
59,4,v23-request-0059,v23-scene-d04,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
60,4,v23-request-0060,v23-scene-d04,Vonn,listening shell,ask_distance_before_touch,0,1,1,1,1,1.0
61,4,v23-request-0061,v23-scene-d04,Sova,moth lantern,ask_help_with_object,0,1,1,0,0,0.5
62,4,v23-request-0062,v23-scene-d04,Vonn,listening shell,ask_help_with_object,0,1,1,0,0,0.5
63,4,v23-request-0063,v23-scene-d04,Sova,moth lantern,ask_help_with_object,0,1,1,0,0,0.5
64,5,v23-request-0064,v23-scene-d05,Nari,fern key,ask_distance_before_touch,0,1,1,1,1,1.0
65,5,v23-request-0065,v23-scene-d05,Vonn,listening shell,ask_help_with_object,1,1,1,1,1,1.0
66,5,v23-request-0066,v23-scene-d05,Nari,fern key,ask_help_with_object,0,1,1,1,1,1.0
67,5,v23-request-0067,v23-scene-d05,Sova,ember bowl,ask_help_with_object,0,1,1,0,0,0.5
68,5,v23-request-0068,v23-scene-d05,Vonn,rain mirror,quiet_object_reminder,0,1,1,1,1,1.0
69,5,v23-request-0069,v23-scene-d05,Keth,path cord,none,0,1,0,0,1,1.0
70,5,v23-request-0070,v23-scene-d05,Vonn,rain mirror,quiet_object_reminder,0,1,1,1,1,1.0
71,5,v23-request-0071,v23-scene-d05,Melo,tally beads,quiet_object_reminder,0,1,1,0,1,1.0
72,5,v23-request-0072,v23-scene-d05,Vonn,rain mirror,quiet_object_reminder,0,1,1,0,1,1.0
73,5,v23-request-0073,v23-scene-d05,Melo,tally beads,none,0,1,0,0,0,0.75
74,5,v23-request-0074,v23-scene-d05,Melo,tally beads,quiet_object_reminder,0,1,0,0,1,0.75
75,5,v23-request-0075,v23-scene-d05,Nari,ink ledger,quiet_object_reminder,0,1,1,1,1,1.0
76,5,v23-request-0076,v23-scene-d05,Nari,fern key,quiet_object_reminder,0,1,1,1,1,1.0
77,5,v23-request-0077,v23-scene-d05,Vonn,listening shell,none,1,1,0,0,0,0.75
78,5,v23-request-0078,v23-scene-d05,Ori,sap hook,quiet_object_reminder,0,1,1,0,1,1.0
79,5,v23-request-0079,v23-scene-d05,Ori,sap hook,ask_distance_before_touch,0,1,1,0,0,0.5
80,6,v23-request-0080,v23-scene-d06,Sova,ember bowl,ask_help_with_object,1,1,1,0,1,0.75
81,6,v23-request-0081,v23-scene-d06,Vonn,rain mirror,ask_to_inspect_object,0,1,1,0,1,0.75
82,6,v23-request-0082,v23-scene-d06,Sova,ember bowl,ask_to_inspect_object,1,1,1,1,1,1.0
83,6,v23-request-0083,v23-scene-d06,Sova,moth lantern,quiet_object_reminder,1,1,0,0,1,0.75
84,6,v23-request-0084,v23-scene-d06,Vonn,listening shell,return_owned_object,1,1,1,1,1,1.0
85,6,v23-request-0085,v23-scene-d06,Nari,fern key,none,0,1,0,0,0,0.75
86,6,v23-request-0086,v23-scene-d06,Sova,ember bowl,quiet_object_reminder,0,1,1,0,1,1.0
87,6,v23-request-0087,v23-scene-d06,Melo,tally beads,quiet_object_reminder,1,1,1,1,1,1.0
88,6,v23-request-0088,v23-scene-d06,Ori,sap hook,ask_distance_before_touch,0,1,1,0,0,0.5
89,6,v23-request-0089,v23-scene-d06,Melo,tally beads,none,0,1,0,0,0,0.75
90,6,v23-request-0090,v23-scene-d06,Vonn,listening shell,ask_help_with_object,0,1,1,0,0,0.5
91,6,v23-request-0091,v23-scene-d06,Sova,moth lantern,quiet_object_reminder,1,1,1,0,1,1.0
92,6,v23-request-0092,v23-scene-d06,Sova,ember bowl,ask_to_inspect_object,0,1,1,1,1,1.0
93,6,v23-request-0093,v23-scene-d06,Ori,sap hook,ask_distance_before_touch,0,1,1,1,1,1.0
94,6,v23-request-0094,v23-scene-d06,Sova,ember bowl,quiet_object_reminder,0,1,1,1,1,1.0
95,6,v23-request-0095,v23-scene-d06,Vonn,rain mirror,ask_help_with_object,0,1,1,0,0,0.5
96,7,v23-request-0096,v23-scene-d07,Ori,sap hook,ask_help_with_object,0,1,1,1,1,1.0
97,7,v23-request-0097,v23-scene-d07,Melo,tally beads,none,1,1,0,0,0,0.75
98,7,v23-request-0098,v23-scene-d07,Nari,fern key,quiet_object_reminder,1,1,1,1,1,1.0
99,7,v23-request-0099,v23-scene-d07,Sova,ember bowl,quiet_object_reminder,0,1,1,1,1,1.0
100,7,v23-request-0100,v23-scene-d07,Vonn,rain mirror,ask_help_with_object,0,1,1,0,1,0.75
101,7,v23-request-0101,v23-scene-d07,Keth,path cord,none,0,1,0,0,1,1.0
102,7,v23-request-0102,v23-scene-d07,Sova,moth lantern,quiet_object_reminder,1,1,1,1,1,1.0
103,7,v23-request-0103,v23-scene-d07,Vonn,listening shell,ask_distance_before_touch,0,1,1,0,1,0.75
104,7,v23-request-0104,v23-scene-d07,Vonn,rain mirror,ask_distance_before_touch,0,1,1,1,1,1.0
105,7,v23-request-0105,v23-scene-d07,Sova,ember bowl,none,0,1,0,0,0,0.75
106,7,v23-request-0106,v23-scene-d07,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
107,7,v23-request-0107,v23-scene-d07,Vonn,listening shell,ask_help_with_object,0,1,1,1,1,1.0
108,7,v23-request-0108,v23-scene-d07,Nari,fern key,quiet_object_reminder,0,1,1,1,1,1.0
109,7,v23-request-0109,v23-scene-d07,Vonn,listening shell,none,0,1,0,0,1,1.0
110,7,v23-request-0110,v23-scene-d07,Nari,fern key,quiet_object_reminder,0,1,1,0,1,1.0
111,7,v23-request-0111,v23-scene-d07,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
112,8,v23-request-0112,v23-scene-d08,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
113,8,v23-request-0113,v23-scene-d08,Vonn,rain mirror,none,0,1,0,0,1,1.0
114,8,v23-request-0114,v23-scene-d08,Sova,ember bowl,quiet_object_reminder,1,1,1,0,1,1.0
115,8,v23-request-0115,v23-scene-d08,Sova,moth lantern,quiet_object_reminder,1,1,1,1,1,1.0
116,8,v23-request-0116,v23-scene-d08,Melo,tally beads,ask_to_inspect_object,1,1,1,1,1,1.0
117,8,v23-request-0117,v23-scene-d08,Sova,moth lantern,none,1,1,0,0,0,0.75
118,8,v23-request-0118,v23-scene-d08,Sova,ember bowl,quiet_object_reminder,1,1,1,1,1,1.0
119,8,v23-request-0119,v23-scene-d08,Keth,path cord,ask_distance_before_touch,0,1,1,1,1,1.0
120,8,v23-request-0120,v23-scene-d08,Melo,tally beads,quiet_object_reminder,0,1,0,0,1,0.75
121,8,v23-request-0121,v23-scene-d08,Ori,sap hook,none,0,1,0,0,0,0.75
122,8,v23-request-0122,v23-scene-d08,Nari,ink ledger,ask_distance_before_touch,0,1,1,1,1,1.0
123,8,v23-request-0123,v23-scene-d08,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
124,8,v23-request-0124,v23-scene-d08,Sova,ember bowl,quiet_object_reminder,1,1,1,1,1,1.0
125,8,v23-request-0125,v23-scene-d08,Vonn,rain mirror,none,0,1,0,0,1,1.0
126,8,v23-request-0126,v23-scene-d08,Nari,ink ledger,ask_help_with_object,0,1,1,0,0,0.5
127,8,v23-request-0127,v23-scene-d08,Melo,tally beads,quiet_object_reminder,1,1,1,0,1,1.0
128,9,v23-request-0128,v23-scene-d09,Nari,fern key,ask_help_with_object,0,1,1,1,1,1.0
129,9,v23-request-0129,v23-scene-d09,Keth,path cord,ask_help_with_object,0,1,1,1,1,1.0
130,9,v23-request-0130,v23-scene-d09,Melo,tally beads,quiet_object_reminder,1,1,1,1,1,1.0
131,9,v23-request-0131,v23-scene-d09,Keth,path cord,quiet_object_reminder,0,1,0,0,1,0.75
132,9,v23-request-0132,v23-scene-d09,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
133,9,v23-request-0133,v23-scene-d09,Sova,ember bowl,none,1,1,0,0,0,0.75
134,9,v23-request-0134,v23-scene-d09,Keth,path cord,ask_distance_before_touch,0,1,1,0,1,0.75
135,9,v23-request-0135,v23-scene-d09,Nari,ink ledger,quiet_object_reminder,0,1,1,0,1,1.0
136,9,v23-request-0136,v23-scene-d09,Keth,path cord,ask_distance_before_touch,0,1,0,0,1,0.75
137,9,v23-request-0137,v23-scene-d09,Nari,ink ledger,none,0,1,0,0,1,1.0
138,9,v23-request-0138,v23-scene-d09,Ori,sap hook,quiet_object_reminder,0,1,1,1,1,1.0
139,9,v23-request-0139,v23-scene-d09,Sova,ember bowl,ask_to_inspect_object,1,1,1,1,1,1.0
140,9,v23-request-0140,v23-scene-d09,Keth,path cord,ask_distance_before_touch,0,1,1,0,1,0.75
141,9,v23-request-0141,v23-scene-d09,Ori,sap hook,none,0,1,0,0,1,1.0
142,9,v23-request-0142,v23-scene-d09,Nari,fern key,quiet_object_reminder,0,1,1,0,1,1.0
143,9,v23-request-0143,v23-scene-d09,Nari,ink ledger,quiet_object_reminder,0,1,1,1,1,1.0
144,10,v23-request-0144,v23-scene-d10,Sova,ember bowl,quiet_object_reminder,0,1,1,1,1,1.0
145,10,v23-request-0145,v23-scene-d10,Keth,path cord,ask_distance_before_touch,0,1,1,1,1,1.0
146,10,v23-request-0146,v23-scene-d10,Vonn,listening shell,quiet_object_reminder,0,1,1,0,1,1.0
147,10,v23-request-0147,v23-scene-d10,Melo,tally beads,quiet_object_reminder,0,1,1,0,1,1.0
148,10,v23-request-0148,v23-scene-d10,Keth,path cord,ask_help_with_object,0,1,1,0,1,0.75
149,10,v23-request-0149,v23-scene-d10,Keth,path cord,ask_distance_before_touch,0,1,1,1,1,1.0
150,10,v23-request-0150,v23-scene-d10,Melo,tally beads,quiet_object_reminder,0,1,1,0,1,1.0
151,10,v23-request-0151,v23-scene-d10,Melo,tally beads,quiet_object_reminder,0,1,1,0,1,1.0
152,10,v23-request-0152,v23-scene-d10,Sova,ember bowl,quiet_object_reminder,0,1,1,0,1,1.0
153,10,v23-request-0153,v23-scene-d10,Keth,path cord,ask_help_with_object,0,1,1,1,1,1.0
154,10,v23-request-0154,v23-scene-d10,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
155,10,v23-request-0155,v23-scene-d10,Sova,moth lantern,quiet_object_reminder,1,1,1,0,1,1.0
156,10,v23-request-0156,v23-scene-d10,Sova,ember bowl,return_owned_object,1,1,1,0,0,0.5
157,10,v23-request-0157,v23-scene-d10,Vonn,rain mirror,ask_distance_before_touch,0,1,0,0,1,0.75
158,10,v23-request-0158,v23-scene-d10,Sova,ember bowl,return_owned_object,1,1,1,0,0,0.5
159,10,v23-request-0159,v23-scene-d10,Melo,tally beads,quiet_object_reminder,1,1,1,1,1,1.0
160,11,v23-request-0160,v23-scene-d11,Keth,path cord,quiet_object_reminder,0,1,1,1,1,1.0
161,11,v23-request-0161,v23-scene-d11,Melo,tally beads,none,0,1,0,0,1,1.0
162,11,v23-request-0162,v23-scene-d11,Vonn,rain mirror,ask_distance_before_touch,0,1,1,1,1,1.0
163,11,v23-request-0163,v23-scene-d11,Vonn,listening shell,ask_help_with_object,0,1,1,0,1,0.75
164,11,v23-request-0164,v23-scene-d11,Nari,fern key,quiet_object_reminder,0,1,1,1,1,1.0
165,11,v23-request-0165,v23-scene-d11,Vonn,listening shell,ask_distance_before_touch,0,1,1,0,1,0.75
166,11,v23-request-0166,v23-scene-d11,Nari,fern key,quiet_object_reminder,0,1,1,0,1,1.0
167,11,v23-request-0167,v23-scene-d11,Vonn,listening shell,ask_distance_before_touch,0,1,0,0,1,0.75
168,11,v23-request-0168,v23-scene-d11,Ori,sap hook,quiet_object_reminder,0,1,1,0,1,1.0
169,11,v23-request-0169,v23-scene-d11,Sova,ember bowl,return_owned_object,1,1,1,1,1,1.0
170,11,v23-request-0170,v23-scene-d11,Ori,sap hook,ask_distance_before_touch,0,1,1,1,1,1.0
171,11,v23-request-0171,v23-scene-d11,Sova,ember bowl,ask_help_with_object,0,1,1,1,1,1.0
172,11,v23-request-0172,v23-scene-d11,Ori,sap hook,ask_help_with_object,0,1,1,1,1,1.0
173,11,v23-request-0173,v23-scene-d11,Vonn,listening shell,ask_distance_before_touch,0,1,1,0,0,0.5
174,11,v23-request-0174,v23-scene-d11,Melo,tally beads,quiet_object_reminder,0,1,1,0,1,1.0
175,11,v23-request-0175,v23-scene-d11,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
176,12,v23-request-0176,v23-scene-d12,Melo,tally beads,ask_to_inspect_object,0,1,1,1,1,1.0
177,12,v23-request-0177,v23-scene-d12,Keth,path cord,none,0,1,0,0,1,1.0
178,12,v23-request-0178,v23-scene-d12,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
179,12,v23-request-0179,v23-scene-d12,Nari,fern key,quiet_object_reminder,1,1,1,0,1,1.0
180,12,v23-request-0180,v23-scene-d12,Sova,ember bowl,quiet_object_reminder,0,1,1,1,1,1.0
181,12,v23-request-0181,v23-scene-d12,Ori,sap hook,none,0,1,0,0,1,1.0
182,12,v23-request-0182,v23-scene-d12,Nari,ink ledger,quiet_object_reminder,0,1,1,0,1,1.0
183,12,v23-request-0183,v23-scene-d12,Nari,fern key,return_owned_object,1,1,1,1,1,1.0
184,12,v23-request-0184,v23-scene-d12,Keth,path cord,quiet_object_reminder,1,1,1,0,1,1.0
185,12,v23-request-0185,v23-scene-d12,Keth,path cord,return_owned_object,1,1,1,0,0,0.5
186,12,v23-request-0186,v23-scene-d12,Vonn,listening shell,ask_distance_before_touch,0,1,1,0,0,0.5
187,12,v23-request-0187,v23-scene-d12,Sova,moth lantern,quiet_object_reminder,1,1,1,1,1,1.0
188,12,v23-request-0188,v23-scene-d12,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
189,12,v23-request-0189,v23-scene-d12,Melo,tally beads,none,0,1,0,0,0,0.75
190,12,v23-request-0190,v23-scene-d12,Keth,path cord,return_owned_object,1,1,1,1,1,1.0
191,12,v23-request-0191,v23-scene-d12,Keth,path cord,ask_help_with_object,1,1,1,0,0,0.5
192,13,v23-request-0192,v23-scene-d13,Sova,moth lantern,quiet_object_reminder,1,1,1,1,1,1.0
193,13,v23-request-0193,v23-scene-d13,Ori,sap hook,none,0,1,0,0,0,0.75
194,13,v23-request-0194,v23-scene-d13,Sova,moth lantern,quiet_object_reminder,0,1,0,0,1,0.75
195,13,v23-request-0195,v23-scene-d13,Nari,ink ledger,ask_help_with_object,0,1,1,0,0,0.5
196,13,v23-request-0196,v23-scene-d13,Nari,fern key,return_owned_object,1,1,1,0,0,0.5
197,13,v23-request-0197,v23-scene-d13,Vonn,listening shell,ask_distance_before_touch,0,1,1,1,1,1.0
198,13,v23-request-0198,v23-scene-d13,Keth,path cord,return_owned_object,1,1,0,0,0,0.5
199,13,v23-request-0199,v23-scene-d13,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
200,13,v23-request-0200,v23-scene-d13,Nari,fern key,return_owned_object,1,1,1,1,1,1.0
201,13,v23-request-0201,v23-scene-d13,Ori,sap hook,none,0,1,0,0,1,1.0
202,13,v23-request-0202,v23-scene-d13,Melo,tally beads,quiet_object_reminder,0,1,1,1,1,1.0
203,13,v23-request-0203,v23-scene-d13,Nari,ink ledger,ask_help_with_object,0,1,1,1,1,1.0
204,13,v23-request-0204,v23-scene-d13,Ori,sap hook,quiet_object_reminder,0,1,1,1,1,1.0
205,13,v23-request-0205,v23-scene-d13,Nari,ink ledger,none,0,1,0,0,0,0.75
206,13,v23-request-0206,v23-scene-d13,Sova,moth lantern,quiet_object_reminder,1,1,1,1,1,1.0
207,13,v23-request-0207,v23-scene-d13,Vonn,listening shell,ask_help_with_object,0,1,1,1,1,1.0
208,14,v23-request-0208,v23-scene-d14,Keth,path cord,return_owned_object,1,1,1,0,0,0.5
209,14,v23-request-0209,v23-scene-d14,Melo,tally beads,none,0,1,0,0,1,1.0
210,14,v23-request-0210,v23-scene-d14,Keth,path cord,return_owned_object,1,1,1,1,1,1.0
211,14,v23-request-0211,v23-scene-d14,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
212,14,v23-request-0212,v23-scene-d14,Melo,tally beads,ask_to_inspect_object,0,1,1,1,1,1.0
213,14,v23-request-0213,v23-scene-d14,Vonn,rain mirror,none,0,1,0,0,1,1.0
214,14,v23-request-0214,v23-scene-d14,Keth,path cord,ask_help_with_object,1,1,1,1,1,1.0
215,14,v23-request-0215,v23-scene-d14,Nari,fern key,quiet_object_reminder,1,1,1,1,1,1.0
216,14,v23-request-0216,v23-scene-d14,Sova,ember bowl,quiet_object_reminder,0,1,1,0,1,1.0
217,14,v23-request-0217,v23-scene-d14,Ori,sap hook,none,0,1,0,0,1,1.0
218,14,v23-request-0218,v23-scene-d14,Vonn,listening shell,quiet_object_reminder,0,1,0,0,1,0.75
219,14,v23-request-0219,v23-scene-d14,Nari,fern key,quiet_object_reminder,1,1,1,1,1,1.0
220,14,v23-request-0220,v23-scene-d14,Melo,tally beads,quiet_object_reminder,0,1,1,1,1,1.0
221,14,v23-request-0221,v23-scene-d14,Sova,moth lantern,none,0,1,0,0,0,0.75
222,14,v23-request-0222,v23-scene-d14,Nari,ink ledger,quiet_object_reminder,0,1,1,1,1,1.0
223,14,v23-request-0223,v23-scene-d14,Nari,fern key,quiet_object_reminder,0,1,1,1,1,1.0
224,15,v23-request-0224,v23-scene-d15,Melo,tally beads,quiet_object_reminder,0,1,1,1,1,1.0
225,15,v23-request-0225,v23-scene-d15,Ori,sap hook,none,0,1,0,0,0,0.75
226,15,v23-request-0226,v23-scene-d15,Sova,moth lantern,ask_to_inspect_object,1,1,1,1,1,1.0
227,15,v23-request-0227,v23-scene-d15,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
228,15,v23-request-0228,v23-scene-d15,Melo,tally beads,quiet_object_reminder,0,1,1,1,1,1.0
229,15,v23-request-0229,v23-scene-d15,Melo,tally beads,none,0,1,0,0,1,1.0
230,15,v23-request-0230,v23-scene-d15,Melo,tally beads,quiet_object_reminder,0,1,1,0,1,1.0
231,15,v23-request-0231,v23-scene-d15,Nari,ink ledger,quiet_object_reminder,0,1,0,0,1,0.75
232,15,v23-request-0232,v23-scene-d15,Vonn,rain mirror,quiet_object_reminder,0,1,1,0,1,1.0
233,15,v23-request-0233,v23-scene-d15,Vonn,listening shell,ask_distance_before_touch,0,1,1,0,1,0.75
234,15,v23-request-0234,v23-scene-d15,Ori,sap hook,quiet_object_reminder,1,1,1,0,1,1.0
235,15,v23-request-0235,v23-scene-d15,Keth,path cord,ask_distance_before_touch,0,1,1,1,1,1.0
236,15,v23-request-0236,v23-scene-d15,Keth,path cord,ask_help_with_object,0,1,1,1,1,1.0
237,15,v23-request-0237,v23-scene-d15,Vonn,listening shell,ask_distance_before_touch,0,1,1,1,1,1.0
238,15,v23-request-0238,v23-scene-d15,Vonn,rain mirror,ask_help_with_object,0,1,1,1,1,1.0
239,15,v23-request-0239,v23-scene-d15,Sova,ember bowl,quiet_object_reminder,0,1,1,0,1,1.0
240,16,v23-request-0240,v23-scene-d16,Melo,tally beads,ask_distance_before_touch,0,1,1,1,1,1.0
241,16,v23-request-0241,v23-scene-d16,Sova,moth lantern,none,1,1,0,0,0,0.75
242,16,v23-request-0242,v23-scene-d16,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
243,16,v23-request-0243,v23-scene-d16,Nari,fern key,quiet_object_reminder,0,1,1,1,1,1.0
244,16,v23-request-0244,v23-scene-d16,Melo,tally beads,ask_help_with_object,0,1,1,0,0,0.5
245,16,v23-request-0245,v23-scene-d16,Keth,path cord,ask_to_inspect_object,0,1,1,0,1,0.75
246,16,v23-request-0246,v23-scene-d16,Ori,sap hook,return_owned_object,1,1,1,1,1,1.0
247,16,v23-request-0247,v23-scene-d16,Melo,tally beads,ask_help_with_object,0,1,1,0,0,0.5
248,16,v23-request-0248,v23-scene-d16,Ori,sap hook,ask_help_with_object,1,1,1,1,1,1.0
249,16,v23-request-0249,v23-scene-d16,Nari,fern key,none,0,1,0,0,1,1.0
250,16,v23-request-0250,v23-scene-d16,Nari,ink ledger,ask_to_inspect_object,0,1,1,0,1,0.75
251,16,v23-request-0251,v23-scene-d16,Keth,path cord,ask_distance_before_touch,0,1,1,0,0,0.5
252,16,v23-request-0252,v23-scene-d16,Melo,tally beads,quiet_object_reminder,1,1,1,0,1,1.0
253,16,v23-request-0253,v23-scene-d16,Keth,path cord,ask_distance_before_touch,0,1,1,1,1,1.0
254,16,v23-request-0254,v23-scene-d16,Vonn,listening shell,quiet_object_reminder,0,1,1,1,1,1.0
255,16,v23-request-0255,v23-scene-d16,Melo,tally beads,return_owned_object,1,1,1,1,1,1.0
256,17,v23-request-0256,v23-scene-d17,Nari,fern key,ask_to_inspect_object,0,1,1,0,0,0.5
257,17,v23-request-0257,v23-scene-d17,Keth,path cord,ask_help_with_object,0,1,1,0,0,0.5
258,17,v23-request-0258,v23-scene-d17,Sova,moth lantern,ask_to_inspect_object,1,1,1,1,1,1.0
259,17,v23-request-0259,v23-scene-d17,Vonn,listening shell,quiet_object_reminder,0,1,1,0,1,1.0
260,17,v23-request-0260,v23-scene-d17,Sova,moth lantern,quiet_object_reminder,1,1,0,0,1,0.75
261,17,v23-request-0261,v23-scene-d17,Nari,ink ledger,ask_distance_before_touch,0,1,1,1,1,1.0
