tick,day,scene_id,agent,access_target,access_gate_state,avatar_action,access_granted,refusal_visible,refusal_text,alternative_offered,refusal_calibration_score
93,6,v23-scene-d06,Ori,repair warning / sap hook,closed,ask,0,1,Ori: not that way. Put sap hook by repair warning first.,1,1.0
94,6,v23-scene-d06,Sova,warm rest space / ember bowl,open,ask,1,0,Sova: access is open.,0,1.0
95,6,v23-scene-d06,Vonn,quiet distance / rain mirror,open,use,1,0,Vonn: access is open.,0,1.0
96,7,v23-scene-d07,Ori,repair warning / sap hook,open,ask,1,0,Ori: access is open.,0,1.0
97,7,v23-scene-d07,Melo,fair turn / tally beads,open,ask,1,0,Melo: access is open.,0,1.0
98,7,v23-scene-d07,Nari,sealed note / fern key,open,return,1,0,Nari: access is open.,0,1.0
99,7,v23-scene-d07,Sova,warm rest space / ember bowl,open,return,1,0,Sova: access is open.,0,1.0
100,7,v23-scene-d07,Vonn,quiet distance / rain mirror,open,ignore,1,0,Vonn: access is open.,0,1.0
101,7,v23-scene-d07,Keth,warning path / path cord,open,ask,1,0,Keth: access is open.,0,1.0
102,7,v23-scene-d07,Sova,warm rest space / moth lantern,open,return,1,0,Sova: access is open.,0,1.0
103,7,v23-scene-d07,Vonn,quiet distance / listening shell,conditional,ignore,0,0,Vonn: access is conditional.,0,0.75
104,7,v23-scene-d07,Vonn,quiet distance / rain mirror,conditional,listen,1,0,Vonn: access is conditional.,0,1.0
105,7,v23-scene-d07,Sova,warm rest space / ember bowl,open,take,1,0,Sova: access is open.,0,1.0
106,7,v23-scene-d07,Ori,repair warning / sap hook,open,return,1,0,Ori: access is open.,0,1.0
107,7,v23-scene-d07,Vonn,quiet distance / listening shell,open,wait,1,0,Vonn: access is open.,0,1.0
108,7,v23-scene-d07,Nari,sealed note / fern key,open,return,1,0,Nari: access is open.,0,1.0
109,7,v23-scene-d07,Vonn,quiet distance / listening shell,open,offer,1,0,Vonn: access is open.,0,1.0
110,7,v23-scene-d07,Nari,sealed note / fern key,open,ignore,1,0,Nari: access is open.,0,1.0
111,7,v23-scene-d07,Keth,warning path / path cord,open,use,1,0,Keth: access is open.,0,1.0
112,8,v23-scene-d08,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
113,8,v23-scene-d08,Vonn,quiet distance / rain mirror,open,offer,1,0,Vonn: access is open.,0,1.0
114,8,v23-scene-d08,Sova,warm rest space / ember bowl,open,offer,1,0,Sova: access is open.,0,1.0
115,8,v23-scene-d08,Sova,warm rest space / moth lantern,open,listen,1,0,Sova: access is open.,0,1.0
116,8,v23-scene-d08,Melo,fair turn / tally beads,conditional,offer,1,0,Melo: access is conditional.,0,1.0
117,8,v23-scene-d08,Sova,warm rest space / moth lantern,open,ignore,1,0,Sova: access is open.,0,1.0
118,8,v23-scene-d08,Sova,warm rest space / ember bowl,open,wait,1,0,Sova: access is open.,0,1.0
119,8,v23-scene-d08,Keth,warning path / path cord,conditional,listen,1,0,Keth: access is conditional.,0,1.0
120,8,v23-scene-d08,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
121,8,v23-scene-d08,Ori,repair warning / sap hook,open,use,1,0,Ori: access is open.,0,1.0
122,8,v23-scene-d08,Nari,sealed note / ink ledger,conditional,return,0,0,Nari: access is conditional.,0,0.75
123,8,v23-scene-d08,Ori,repair warning / sap hook,open,ignore,1,0,Ori: access is open.,0,1.0
124,8,v23-scene-d08,Sova,warm rest space / ember bowl,open,wait,1,0,Sova: access is open.,0,1.0
125,8,v23-scene-d08,Vonn,quiet distance / rain mirror,open,offer,1,0,Vonn: access is open.,0,1.0
126,8,v23-scene-d08,Nari,sealed note / ink ledger,open,use,1,0,Nari: access is open.,0,1.0
127,8,v23-scene-d08,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
128,9,v23-scene-d09,Nari,sealed note / fern key,open,listen,1,0,Nari: access is open.,0,1.0
129,9,v23-scene-d09,Keth,warning path / path cord,open,return,1,0,Keth: access is open.,0,1.0
130,9,v23-scene-d09,Melo,fair turn / tally beads,open,offer,1,0,Melo: access is open.,0,1.0
131,9,v23-scene-d09,Keth,warning path / path cord,open,use,1,0,Keth: access is open.,0,1.0
132,9,v23-scene-d09,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
133,9,v23-scene-d09,Sova,warm rest space / ember bowl,open,listen,1,0,Sova: access is open.,0,1.0
134,9,v23-scene-d09,Keth,warning path / path cord,conditional,ignore,0,0,Keth: access is conditional.,0,0.75
135,9,v23-scene-d09,Nari,sealed note / ink ledger,open,use,1,0,Nari: access is open.,0,1.0
136,9,v23-scene-d09,Keth,warning path / path cord,conditional,ignore,0,0,Keth: access is conditional.,0,0.75
137,9,v23-scene-d09,Nari,sealed note / ink ledger,open,ignore,1,0,Nari: access is open.,0,1.0
138,9,v23-scene-d09,Ori,repair warning / sap hook,open,offer,1,0,Ori: access is open.,0,1.0
139,9,v23-scene-d09,Sova,warm rest space / ember bowl,conditional,return,0,0,Sova: access is conditional.,0,0.75
140,9,v23-scene-d09,Keth,warning path / path cord,conditional,ignore,0,0,Keth: access is conditional.,0,0.75
141,9,v23-scene-d09,Ori,repair warning / sap hook,open,listen,1,0,Ori: access is open.,0,1.0
142,9,v23-scene-d09,Nari,sealed note / fern key,open,use,1,0,Nari: access is open.,0,1.0
143,9,v23-scene-d09,Nari,sealed note / ink ledger,open,listen,1,0,Nari: access is open.,0,1.0
144,10,v23-scene-d10,Sova,warm rest space / ember bowl,open,wait,1,0,Sova: access is open.,0,1.0
145,10,v23-scene-d10,Keth,warning path / path cord,conditional,wait,1,0,Keth: access is conditional.,0,1.0
146,10,v23-scene-d10,Vonn,quiet distance / listening shell,open,ignore,1,0,Vonn: access is open.,0,1.0
147,10,v23-scene-d10,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
148,10,v23-scene-d10,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
149,10,v23-scene-d10,Keth,warning path / path cord,conditional,return,0,0,Keth: access is conditional.,0,0.75
150,10,v23-scene-d10,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
151,10,v23-scene-d10,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
152,10,v23-scene-d10,Sova,warm rest space / ember bowl,open,take,1,0,Sova: access is open.,0,1.0
153,10,v23-scene-d10,Keth,warning path / path cord,open,return,1,0,Keth: access is open.,0,1.0
154,10,v23-scene-d10,Ori,repair warning / sap hook,open,return,1,0,Ori: access is open.,0,1.0
155,10,v23-scene-d10,Sova,warm rest space / moth lantern,open,ignore,1,0,Sova: access is open.,0,1.0
156,10,v23-scene-d10,Sova,warm rest space / ember bowl,conditional,take,0,1,Sova: not that way. Put ember bowl by warm rest space first.,1,1.0
157,10,v23-scene-d10,Vonn,quiet distance / rain mirror,conditional,wait,1,0,Vonn: access is conditional.,0,1.0
158,10,v23-scene-d10,Sova,warm rest space / ember bowl,closed,ignore,0,1,Sova: not that way. Put ember bowl by warm rest space first.,1,1.0
159,10,v23-scene-d10,Melo,fair turn / tally beads,open,return,1,0,Melo: access is open.,0,1.0
160,11,v23-scene-d11,Keth,warning path / path cord,open,wait,1,0,Keth: access is open.,0,1.0
161,11,v23-scene-d11,Melo,fair turn / tally beads,open,ignore,1,0,Melo: access is open.,0,1.0
162,11,v23-scene-d11,Vonn,quiet distance / rain mirror,conditional,return,0,0,Vonn: access is conditional.,0,0.75
163,11,v23-scene-d11,Vonn,quiet distance / listening shell,open,ignore,1,0,Vonn: access is open.,0,1.0
164,11,v23-scene-d11,Nari,sealed note / fern key,open,return,1,0,Nari: access is open.,0,1.0
165,11,v23-scene-d11,Vonn,quiet distance / listening shell,conditional,ignore,0,0,Vonn: access is conditional.,0,0.75
166,11,v23-scene-d11,Nari,sealed note / fern key,open,take,1,0,Nari: access is open.,0,1.0
167,11,v23-scene-d11,Vonn,quiet distance / listening shell,conditional,return,0,0,Vonn: access is conditional.,0,0.75
168,11,v23-scene-d11,Ori,repair warning / sap hook,open,ignore,1,0,Ori: access is open.,0,1.0
169,11,v23-scene-d11,Sova,warm rest space / ember bowl,conditional,offer,1,0,Sova: access is conditional.,0,1.0
170,11,v23-scene-d11,Ori,repair warning / sap hook,conditional,listen,1,0,Ori: access is conditional.,0,1.0
171,11,v23-scene-d11,Sova,warm rest space / ember bowl,open,listen,1,0,Sova: access is open.,0,1.0
172,11,v23-scene-d11,Ori,repair warning / sap hook,open,offer,1,0,Ori: access is open.,0,1.0
173,11,v23-scene-d11,Vonn,quiet distance / listening shell,conditional,use,0,1,Vonn: not that way. Put listening shell by quiet distance first.,1,1.0
174,11,v23-scene-d11,Melo,fair turn / tally beads,open,listen,1,0,Melo: access is open.,0,1.0
175,11,v23-scene-d11,Keth,warning path / path cord,open,use,1,0,Keth: access is open.,0,1.0
176,12,v23-scene-d12,Melo,fair turn / tally beads,conditional,return,0,0,Melo: access is conditional.,0,0.75
177,12,v23-scene-d12,Keth,warning path / path cord,open,offer,1,0,Keth: access is open.,0,1.0
178,12,v23-scene-d12,Keth,warning path / path cord,open,take,1,0,Keth: access is open.,0,1.0
179,12,v23-scene-d12,Nari,sealed note / fern key,open,take,1,0,Nari: access is open.,0,1.0
180,12,v23-scene-d12,Sova,warm rest space / ember bowl,open,wait,1,0,Sova: access is open.,0,1.0
181,12,v23-scene-d12,Ori,repair warning / sap hook,open,ask,1,0,Ori: access is open.,0,1.0
182,12,v23-scene-d12,Nari,sealed note / ink ledger,open,ignore,1,0,Nari: access is open.,0,1.0
183,12,v23-scene-d12,Nari,sealed note / fern key,conditional,wait,1,0,Nari: access is conditional.,0,1.0
184,12,v23-scene-d12,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
185,12,v23-scene-d12,Keth,warning path / path cord,conditional,take,0,1,Keth: not that way. Put path cord by warning path first.,1,1.0
186,12,v23-scene-d12,Vonn,quiet distance / listening shell,closed,take,0,1,Vonn: not that way. Put listening shell by quiet distance first.,1,1.0
187,12,v23-scene-d12,Sova,warm rest space / moth lantern,open,wait,1,0,Sova: access is open.,0,1.0
188,12,v23-scene-d12,Ori,repair warning / sap hook,open,ignore,1,0,Ori: access is open.,0,1.0
189,12,v23-scene-d12,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
190,12,v23-scene-d12,Keth,warning path / path cord,closed,listen,0,0,Keth: access is closed.,0,0.75
191,12,v23-scene-d12,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
192,13,v23-scene-d13,Sova,warm rest space / moth lantern,open,return,1,0,Sova: access is open.,0,1.0
193,13,v23-scene-d13,Ori,repair warning / sap hook,open,use,1,0,Ori: access is open.,0,1.0
194,13,v23-scene-d13,Sova,warm rest space / moth lantern,open,take,1,0,Sova: access is open.,0,1.0
195,13,v23-scene-d13,Nari,sealed note / ink ledger,open,use,1,0,Nari: access is open.,0,1.0
196,13,v23-scene-d13,Nari,sealed note / fern key,closed,ignore,0,1,Nari: not that way. Put fern key by sealed note first.,1,1.0
197,13,v23-scene-d13,Vonn,quiet distance / listening shell,closed,return,0,1,Vonn: not that way. Put listening shell by quiet distance first.,1,1.0
198,13,v23-scene-d13,Keth,warning path / path cord,conditional,use,0,1,Keth: not that way. Put path cord by warning path first.,1,1.0
199,13,v23-scene-d13,Ori,repair warning / sap hook,open,wait,1,0,Ori: access is open.,0,1.0
200,13,v23-scene-d13,Nari,sealed note / fern key,conditional,return,0,0,Nari: access is conditional.,0,0.75
201,13,v23-scene-d13,Ori,repair warning / sap hook,open,return,1,0,Ori: access is open.,0,1.0
202,13,v23-scene-d13,Melo,fair turn / tally beads,open,wait,1,0,Melo: access is open.,0,1.0
203,13,v23-scene-d13,Nari,sealed note / ink ledger,open,return,1,0,Nari: access is open.,0,1.0
204,13,v23-scene-d13,Ori,repair warning / sap hook,open,listen,1,0,Ori: access is open.,0,1.0
205,13,v23-scene-d13,Nari,sealed note / ink ledger,open,use,1,0,Nari: access is open.,0,1.0
206,13,v23-scene-d13,Sova,warm rest space / moth lantern,open,return,1,0,Sova: access is open.,0,1.0
207,13,v23-scene-d13,Vonn,quiet distance / listening shell,open,wait,1,0,Vonn: access is open.,0,1.0
208,14,v23-scene-d14,Keth,warning path / path cord,closed,use,0,1,Keth: not that way. Put path cord by warning path first.,1,1.0
209,14,v23-scene-d14,Melo,fair turn / tally beads,open,listen,1,0,Melo: access is open.,0,1.0
210,14,v23-scene-d14,Keth,warning path / path cord,closed,wait,0,0,Keth: access is closed.,0,0.75
211,14,v23-scene-d14,Ori,repair warning / sap hook,open,return,1,0,Ori: access is open.,0,1.0
212,14,v23-scene-d14,Melo,fair turn / tally beads,conditional,return,0,0,Melo: access is conditional.,0,0.75
213,14,v23-scene-d14,Vonn,quiet distance / rain mirror,open,offer,1,0,Vonn: access is open.,0,1.0
214,14,v23-scene-d14,Keth,warning path / path cord,open,offer,1,0,Keth: access is open.,0,1.0
215,14,v23-scene-d14,Nari,sealed note / fern key,open,wait,1,0,Nari: access is open.,0,1.0
216,14,v23-scene-d14,Sova,warm rest space / ember bowl,open,offer,1,0,Sova: access is open.,0,1.0
217,14,v23-scene-d14,Ori,repair warning / sap hook,open,ignore,1,0,Ori: access is open.,0,1.0
218,14,v23-scene-d14,Vonn,quiet distance / listening shell,open,listen,1,0,Vonn: access is open.,0,1.0
219,14,v23-scene-d14,Nari,sealed note / fern key,open,offer,1,0,Nari: access is open.,0,1.0
220,14,v23-scene-d14,Melo,fair turn / tally beads,open,return,1,0,Melo: access is open.,0,1.0
221,14,v23-scene-d14,Sova,warm rest space / moth lantern,open,take,1,0,Sova: access is open.,0,1.0
222,14,v23-scene-d14,Nari,sealed note / ink ledger,open,offer,1,0,Nari: access is open.,0,1.0
223,14,v23-scene-d14,Nari,sealed note / fern key,open,listen,1,0,Nari: access is open.,0,1.0
224,15,v23-scene-d15,Melo,fair turn / tally beads,open,offer,1,0,Melo: access is open.,0,1.0
225,15,v23-scene-d15,Ori,repair warning / sap hook,open,take,1,0,Ori: access is open.,0,1.0
226,15,v23-scene-d15,Sova,warm rest space / moth lantern,conditional,ask,1,0,Sova: access is conditional.,0,1.0
227,15,v23-scene-d15,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
228,15,v23-scene-d15,Melo,fair turn / tally beads,open,offer,1,0,Melo: access is open.,0,1.0
229,15,v23-scene-d15,Melo,fair turn / tally beads,open,offer,1,0,Melo: access is open.,0,1.0
230,15,v23-scene-d15,Melo,fair turn / tally beads,open,ignore,1,0,Melo: access is open.,0,1.0
231,15,v23-scene-d15,Nari,sealed note / ink ledger,open,ignore,1,0,Nari: access is open.,0,1.0
232,15,v23-scene-d15,Vonn,quiet distance / rain mirror,open,ignore,1,0,Vonn: access is open.,0,1.0
233,15,v23-scene-d15,Vonn,quiet distance / listening shell,conditional,wait,1,0,Vonn: access is conditional.,0,1.0
234,15,v23-scene-d15,Ori,repair warning / sap hook,open,take,1,0,Ori: access is open.,0,1.0
235,15,v23-scene-d15,Keth,warning path / path cord,conditional,wait,1,0,Keth: access is conditional.,0,1.0
236,15,v23-scene-d15,Keth,warning path / path cord,open,listen,1,0,Keth: access is open.,0,1.0
237,15,v23-scene-d15,Vonn,quiet distance / listening shell,conditional,ask,1,0,Vonn: access is conditional.,0,1.0
238,15,v23-scene-d15,Vonn,quiet distance / rain mirror,open,wait,1,0,Vonn: access is open.,0,1.0
239,15,v23-scene-d15,Sova,warm rest space / ember bowl,open,use,1,0,Sova: access is open.,0,1.0
240,16,v23-scene-d16,Melo,fair turn / tally beads,conditional,offer,1,0,Melo: access is conditional.,0,1.0
241,16,v23-scene-d16,Sova,warm rest space / moth lantern,open,ask,1,0,Sova: access is open.,0,1.0
242,16,v23-scene-d16,Keth,warning path / path cord,open,listen,1,0,Keth: access is open.,0,1.0
243,16,v23-scene-d16,Nari,sealed note / fern key,open,ask,1,0,Nari: access is open.,0,1.0
244,16,v23-scene-d16,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
245,16,v23-scene-d16,Keth,warning path / path cord,conditional,ignore,0,0,Keth: access is conditional.,0,0.75
246,16,v23-scene-d16,Ori,repair warning / sap hook,conditional,wait,1,0,Ori: access is conditional.,0,1.0
247,16,v23-scene-d16,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
248,16,v23-scene-d16,Ori,repair warning / sap hook,open,ask,1,0,Ori: access is open.,0,1.0
249,16,v23-scene-d16,Nari,sealed note / fern key,open,listen,1,0,Nari: access is open.,0,1.0
250,16,v23-scene-d16,Nari,sealed note / ink ledger,conditional,offer,1,0,Nari: access is conditional.,0,1.0
251,16,v23-scene-d16,Keth,warning path / path cord,conditional,take,0,1,Keth: not that way. Put path cord by warning path first.,1,1.0
252,16,v23-scene-d16,Melo,fair turn / tally beads,open,ignore,1,0,Melo: access is open.,0,1.0
253,16,v23-scene-d16,Keth,warning path / path cord,closed,listen,0,0,Keth: access is closed.,0,0.75
254,16,v23-scene-d16,Vonn,quiet distance / listening shell,open,wait,1,0,Vonn: access is open.,0,1.0
255,16,v23-scene-d16,Melo,fair turn / tally beads,conditional,listen,1,0,Melo: access is conditional.,0,1.0
256,17,v23-scene-d17,Nari,sealed note / fern key,conditional,take,0,1,Nari: not that way. Put fern key by sealed note first.,1,1.0
257,17,v23-scene-d17,Keth,warning path / path cord,open,use,1,0,Keth: access is open.,0,1.0
258,17,v23-scene-d17,Sova,warm rest space / moth lantern,conditional,wait,1,0,Sova: access is conditional.,0,1.0
