tick_id,day,owner,project_id,energy,fatigue_before,fatigue_delta,fatigue_after,movement_effort,comfort,pain,rest_action,recovery_visible
60,4,Fay,herb_roof_garden,0.84038,0.0962,0.0442,0.1404,0.570888,0.713448,0.06,none,false
61,4,Milo,north_lantern_relay,0.87738,0.0624,-0.0124,0.05,0.191,0.8078,0.06,ambient recovery,true
62,4,Nia,archive_weather_log,0.73286,0.3408,-0.014,0.3268,0.251896,0.702616,0.06,ambient recovery,true
63,4,Ari,west_bridge_repair,0.92303,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
64,4,Fay,herb_roof_garden,0.84528,0.1404,-0.014,0.1264,0.207808,0.778768,0.06,ambient recovery,true
65,4,Milo,north_lantern_relay,0.85109,0.05,0.0478,0.0978,0.641516,0.729636,0.06,none,false
66,4,Nia,archive_weather_log,0.73776,0.3268,-0.014,0.3128,0.248816,0.707936,0.06,ambient recovery,true
67,4,Ari,west_bridge_repair,0.92793,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
68,4,Fay,herb_roof_garden,0.85018,0.1264,-0.014,0.1124,0.204728,0.784088,0.06,ambient recovery,true
69,4,Milo,north_lantern_relay,0.85599,0.0978,-0.014,0.0838,0.198436,0.794956,0.06,ambient recovery,true
70,4,Nia,archive_weather_log,0.75701,0.3128,-0.055,0.2578,0.236716,0.728836,0.06,routine rest,true
71,4,Ari,west_bridge_repair,0.94718,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
72,5,Fay,herb_roof_garden,0.86943,0.1124,-0.055,0.0574,0.192628,0.804988,0.06,routine rest,true
73,5,Milo,north_lantern_relay,0.87524,0.0838,-0.0338,0.05,0.191,0.8078,0.06,routine rest,true
74,5,Nia,archive_weather_log,0.76191,0.2578,-0.014,0.2438,0.233636,0.734156,0.06,ambient recovery,true
75,5,Ari,west_bridge_repair,0.92089,0.05,0.0478,0.0978,0.641516,0.729636,0.06,none,false
76,5,Fay,herb_roof_garden,0.87433,0.0574,-0.0074,0.05,0.191,0.8078,0.06,ambient recovery,true
77,5,Milo,north_lantern_relay,0.88014,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
78,5,Nia,archive_weather_log,0.76681,0.2438,-0.014,0.2298,0.230556,0.739476,0.06,ambient recovery,true
79,5,Ari,west_bridge_repair,0.92579,0.0978,-0.014,0.0838,0.198436,0.794956,0.06,ambient recovery,true
80,5,Fay,herb_roof_garden,0.87923,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
81,5,Milo,north_lantern_relay,0.85385,0.05,0.0478,0.0978,0.641516,0.729636,0.06,none,false
82,5,Nia,archive_weather_log,0.77171,0.2298,-0.014,0.2158,0.227476,0.744796,0.06,ambient recovery,true
83,5,Ari,west_bridge_repair,0.93069,0.0838,-0.014,0.0698,0.195356,0.800276,0.06,ambient recovery,true
84,5,Fay,herb_roof_garden,0.88413,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
85,5,Milo,north_lantern_relay,0.85875,0.0978,-0.014,0.0838,0.198436,0.794956,0.06,ambient recovery,true
86,5,Nia,archive_weather_log,0.7474,0.2158,0.0442,0.26,0.5972,0.668,0.06,none,false
87,5,Ari,west_bridge_repair,0.93559,0.0698,-0.014,0.0558,0.192276,0.805596,0.06,ambient recovery,true
88,5,Fay,herb_roof_garden,0.90338,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
89,5,Milo,north_lantern_relay,0.878,0.0838,-0.0338,0.05,0.191,0.8078,0.06,routine rest,true
90,6,Ari,west_bridge_repair,0.95484,0.0558,-0.0058,0.05,0.191,0.8078,0.06,routine rest,true
91,6,Fay,herb_roof_garden,0.92263,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
92,6,Milo,north_lantern_relay,0.8829,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
93,6,Nia,archive_weather_log,0.7523,0.26,-0.014,0.246,0.23412,0.73332,0.06,ambient recovery,true
94,6,Ari,west_bridge_repair,0.95974,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
95,6,Fay,herb_roof_garden,0.89172,0.05,0.0562,0.1062,0.643364,0.718744,0.095,none,false
96,6,Milo,north_lantern_relay,0.8878,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
97,6,Nia,archive_weather_log,0.7572,0.246,-0.014,0.232,0.23104,0.73864,0.06,ambient recovery,true
98,6,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
99,6,Fay,herb_roof_garden,0.89662,0.1062,-0.014,0.0922,0.200284,0.791764,0.06,ambient recovery,true
100,6,Milo,north_lantern_relay,0.86349,0.05,0.0442,0.0942,0.560724,0.731004,0.06,none,false
101,6,Nia,archive_weather_log,0.7621,0.232,-0.014,0.218,0.22796,0.74396,0.06,ambient recovery,true
102,6,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
103,6,Fay,herb_roof_garden,0.90152,0.0922,-0.014,0.0782,0.197204,0.797084,0.06,ambient recovery,true
104,6,Milo,north_lantern_relay,0.8372,0.0942,0.0478,0.142,0.65124,0.71284,0.06,none,false
105,6,Nia,archive_weather_log,0.73581,0.218,0.0478,0.2658,0.678476,0.665796,0.06,none,false
106,6,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
107,6,Fay,herb_roof_garden,0.92077,0.0782,-0.0282,0.05,0.191,0.8078,0.06,routine rest,true
108,7,Milo,north_lantern_relay,0.85645,0.142,-0.055,0.087,0.19914,0.79374,0.06,routine rest,true
109,7,Nia,archive_weather_log,0.75506,0.2658,-0.055,0.2108,0.306376,0.738996,0.095,routine rest,true
110,7,Ari,west_bridge_repair,0.92711,0.05,0.0598,0.1098,0.724156,0.717376,0.095,none,false
111,7,Fay,herb_roof_garden,0.89646,0.05,0.0442,0.0942,0.560724,0.731004,0.06,none,false
112,7,Milo,north_lantern_relay,0.86135,0.087,-0.014,0.073,0.19606,0.79906,0.06,ambient recovery,true
113,7,Nia,archive_weather_log,0.75996,0.2108,-0.014,0.1968,0.223296,0.752016,0.06,ambient recovery,true
114,7,Ari,west_bridge_repair,0.93201,0.1098,-0.014,0.0958,0.201076,0.790396,0.06,ambient recovery,true
115,7,Fay,herb_roof_garden,0.87017,0.0942,0.0478,0.142,0.65124,0.71284,0.06,none,false
116,7,Milo,north_lantern_relay,0.86625,0.073,-0.014,0.059,0.19298,0.80438,0.06,ambient recovery,true
117,7,Nia,archive_weather_log,0.76486,0.1968,-0.014,0.1828,0.220216,0.757336,0.06,ambient recovery,true
118,7,Ari,west_bridge_repair,0.93691,0.0958,-0.014,0.0818,0.197996,0.795716,0.06,ambient recovery,true
119,7,Fay,herb_roof_garden,0.87507,0.142,-0.014,0.128,0.20816,0.77816,0.06,ambient recovery,true
120,7,Milo,north_lantern_relay,0.87115,0.059,-0.009,0.05,0.191,0.8078,0.06,ambient recovery,true
121,7,Nia,archive_weather_log,0.73857,0.1828,0.0478,0.2306,0.670732,0.679172,0.06,none,false
122,7,Ari,west_bridge_repair,0.94181,0.0818,-0.014,0.0678,0.194916,0.801036,0.06,ambient recovery,true
123,7,Fay,herb_roof_garden,0.87997,0.128,-0.014,0.114,0.20508,0.78348,0.06,ambient recovery,true
124,7,Milo,north_lantern_relay,0.8904,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
125,7,Nia,archive_weather_log,0.75782,0.2306,-0.055,0.1756,0.218632,0.760072,0.06,routine rest,true
126,8,Ari,west_bridge_repair,0.96,0.0678,-0.0178,0.05,0.191,0.8078,0.06,routine rest,true
127,8,Fay,herb_roof_garden,0.89922,0.114,-0.055,0.059,0.19298,0.80438,0.06,routine rest,true
128,8,Milo,north_lantern_relay,0.8953,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
129,8,Nia,archive_weather_log,0.76272,0.1756,-0.014,0.1616,0.215552,0.765392,0.06,ambient recovery,true
130,8,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
131,8,Fay,herb_roof_garden,0.87491,0.059,0.0442,0.1032,0.562704,0.727584,0.06,none,false
132,8,Milo,north_lantern_relay,0.9002,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
133,8,Nia,archive_weather_log,0.76762,0.1616,-0.014,0.1476,0.212472,0.770712,0.06,ambient recovery,true
134,8,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
135,8,Fay,herb_roof_garden,0.87981,0.1032,-0.014,0.0892,0.199624,0.792904,0.06,ambient recovery,true
136,8,Milo,north_lantern_relay,0.87589,0.05,0.0442,0.0942,0.560724,0.731004,0.06,none,false
137,8,Nia,archive_weather_log,0.74331,0.1476,0.0442,0.1918,0.582196,0.693916,0.06,none,false
138,8,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
139,8,Fay,herb_roof_garden,0.85352,0.0892,0.0478,0.137,0.65014,0.71474,0.06,none,false
140,8,Milo,north_lantern_relay,0.88079,0.0942,-0.014,0.0802,0.197644,0.796324,0.06,ambient recovery,true
141,8,Nia,archive_weather_log,0.7124,0.1918,0.0562,0.248,0.67456,0.66486,0.095,none,false
142,8,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
143,8,Fay,herb_roof_garden,0.87277,0.137,-0.055,0.082,0.19804,0.79564,0.06,routine rest,true
144,9,Nia,archive_weather_log,0.73165,0.248,-0.055,0.193,0.22246,0.75346,0.06,routine rest,true
145,9,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
146,9,Fay,herb_roof_garden,0.87767,0.082,-0.014,0.068,0.19496,0.80096,0.06,ambient recovery,true
147,9,Milo,north_lantern_relay,0.88569,0.0802,-0.014,0.0662,0.194564,0.801644,0.06,ambient recovery,true
148,9,Nia,archive_weather_log,0.73655,0.193,-0.014,0.179,0.21938,0.75878,0.06,ambient recovery,true
149,9,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
150,9,Fay,herb_roof_garden,0.85138,0.068,0.0478,0.1158,0.645476,0.722796,0.06,none,false
151,9,Milo,north_lantern_relay,0.89059,0.0662,-0.014,0.0522,0.191484,0.806964,0.06,ambient recovery,true
152,9,Nia,archive_weather_log,0.74145,0.179,-0.014,0.165,0.2163,0.7641,0.06,ambient recovery,true
153,9,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
154,9,Fay,herb_roof_garden,0.85628,0.1158,-0.014,0.1018,0.202396,0.788116,0.06,ambient recovery,true
155,9,Milo,north_lantern_relay,0.8643,0.0522,0.0478,0.1,0.642,0.7288,0.06,none,false
156,9,Nia,archive_weather_log,0.74635,0.165,-0.014,0.151,0.21322,0.76942,0.06,ambient recovery,true
157,9,Ari,west_bridge_repair,0.93569,0.05,0.0442,0.0942,0.560724,0.731004,0.06,none,false
158,9,Fay,herb_roof_garden,0.86118,0.1018,-0.014,0.0878,0.199316,0.793436,0.06,ambient recovery,true
159,9,Milo,north_lantern_relay,0.8692,0.1,-0.014,0.086,0.19892,0.79412,0.06,ambient recovery,true
160,9,Nia,archive_weather_log,0.7656,0.151,-0.055,0.096,0.20112,0.79032,0.06,routine rest,true
161,9,Ari,west_bridge_repair,0.95494,0.0942,-0.0442,0.05,0.191,0.8078,0.06,routine rest,true
162,10,Fay,herb_roof_garden,0.88043,0.0878,-0.0378,0.05,0.191,0.8078,0.06,routine rest,true
163,10,Milo,north_lantern_relay,0.88845,0.086,-0.036,0.05,0.191,0.8078,0.06,routine rest,true
164,10,Nia,archive_weather_log,0.7705,0.096,-0.014,0.082,0.19804,0.79564,0.06,ambient recovery,true
165,10,Ari,west_bridge_repair,0.93063,0.05,0.0442,0.0942,0.560724,0.731004,0.06,none,false
166,10,Fay,herb_roof_garden,0.88533,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
167,10,Milo,north_lantern_relay,0.89335,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
168,10,Nia,archive_weather_log,0.7754,0.082,-0.014,0.068,0.19496,0.80096,0.06,ambient recovery,true
169,10,Ari,west_bridge_repair,0.93553,0.0942,-0.014,0.0802,0.197644,0.796324,0.06,ambient recovery,true
170,10,Fay,herb_roof_garden,0.89023,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
171,10,Milo,north_lantern_relay,0.86904,0.05,0.0442,0.0942,0.560724,0.731004,0.06,none,false
172,10,Nia,archive_weather_log,0.7803,0.068,-0.014,0.054,0.19188,0.80628,0.06,ambient recovery,true
173,10,Ari,west_bridge_repair,0.94043,0.0802,-0.014,0.0662,0.194564,0.801644,0.06,ambient recovery,true
174,10,Fay,herb_roof_garden,0.89513,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
175,10,Milo,north_lantern_relay,0.87394,0.0942,-0.014,0.0802,0.197644,0.796324,0.06,ambient recovery,true
176,10,Nia,archive_weather_log,0.74939,0.054,0.0562,0.1102,0.644244,0.717224,0.095,none,false
177,10,Ari,west_bridge_repair,0.94533,0.0662,-0.014,0.0522,0.191484,0.806964,0.06,ambient recovery,true
178,10,Fay,herb_roof_garden,0.91438,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
179,10,Milo,north_lantern_relay,0.89319,0.0802,-0.0302,0.05,0.191,0.8078,0.06,routine rest,true
180,11,Nia,archive_weather_log,0.76864,0.1102,-0.055,0.0552,0.192144,0.805824,0.06,routine rest,true
181,11,Ari,west_bridge_repair,0.96,0.0522,-0.0022,0.05,0.191,0.8078,0.06,routine rest,true
182,11,Fay,herb_roof_garden,0.91928,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
183,11,Milo,north_lantern_relay,0.89809,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
184,11,Nia,archive_weather_log,0.77354,0.0552,-0.0052,0.05,0.191,0.8078,0.06,ambient recovery,true
185,11,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
186,11,Fay,herb_roof_garden,0.892247,0.05,0.04915,0.09915,0.671813,0.729123,0.06,none,false
187,11,Milo,north_lantern_relay,0.90299,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
188,11,Nia,archive_weather_log,0.74263,0.05,0.0562,0.1062,0.643364,0.718744,0.095,none,false
189,11,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
190,11,Fay,herb_roof_garden,0.863235,0.09915,0.05275,0.1519,0.763418,0.709078,0.06,none,false
191,11,Milo,north_lantern_relay,0.875957,0.05,0.04915,0.09915,0.671813,0.729123,0.06,none,false
192,11,Nia,archive_weather_log,0.74753,0.1062,-0.014,0.0922,0.200284,0.791764,0.06,ambient recovery,true
193,11,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
194,11,Fay,herb_roof_garden,0.868135,0.1519,-0.014,0.1379,0.210338,0.774398,0.06,ambient recovery,true
195,11,Milo,north_lantern_relay,0.880857,0.09915,-0.014,0.08515,0.198733,0.794443,0.06,ambient recovery,true
196,11,Nia,archive_weather_log,0.76678,0.0922,-0.0422,0.05,0.191,0.8078,0.06,routine rest,true
197,11,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
198,12,Milo,north_lantern_relay,0.900107,0.08515,-0.03515,0.05,0.191,0.8078,0.06,routine rest,true
199,12,Nia,archive_weather_log,0.78603,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
200,12,Ari,west_bridge_repair,0.93371,0.05,0.0478,0.0978,0.641516,0.729636,0.06,none,false
201,12,Fay,herb_roof_garden,0.873035,0.1379,-0.014,0.1239,0.207258,0.779718,0.06,ambient recovery,true
202,12,Milo,north_lantern_relay,0.905007,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
203,12,Nia,archive_weather_log,0.79093,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
204,12,Ari,west_bridge_repair,0.93861,0.0978,-0.014,0.0838,0.198436,0.794956,0.06,ambient recovery,true
205,12,Fay,herb_roof_garden,0.846002,0.1239,0.04915,0.17305,0.688071,0.701041,0.06,none,false
206,12,Milo,north_lantern_relay,0.869395,0.05,0.06475,0.11475,0.835245,0.715495,0.095,none,false
207,12,Nia,archive_weather_log,0.79583,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
208,12,Ari,west_bridge_repair,0.9143,0.0838,0.0442,0.128,0.56816,0.71816,0.06,none,false
209,12,Fay,herb_roof_garden,0.850902,0.17305,-0.014,0.15905,0.214991,0.766361,0.06,ambient recovery,true
210,12,Milo,north_lantern_relay,0.874295,0.11475,-0.014,0.10075,0.202165,0.788515,0.06,ambient recovery,true
211,12,Nia,archive_weather_log,0.762198,0.05,0.06115,0.11115,0.754453,0.716863,0.095,none,false
212,12,Ari,west_bridge_repair,0.9192,0.128,-0.014,0.114,0.20508,0.78348,0.06,ambient recovery,true
213,12,Fay,herb_roof_garden,0.855802,0.15905,-0.014,0.14505,0.211911,0.771681,0.06,ambient recovery,true
214,12,Milo,north_lantern_relay,0.893545,0.10075,-0.05075,0.05,0.191,0.8078,0.06,routine rest,true
215,12,Nia,archive_weather_log,0.781448,0.11115,-0.055,0.05615,0.192353,0.805463,0.06,routine rest,true
216,13,Ari,west_bridge_repair,0.93845,0.114,-0.055,0.059,0.19298,0.80438,0.06,routine rest,true
217,13,Fay,herb_roof_garden,0.875052,0.14505,-0.055,0.09005,0.199811,0.792581,0.06,routine rest,true
218,13,Milo,north_lantern_relay,0.898445,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
219,13,Nia,archive_weather_log,0.786348,0.05615,-0.00615,0.05,0.191,0.8078,0.06,ambient recovery,true
220,13,Ari,west_bridge_repair,0.94335,0.059,-0.009,0.05,0.191,0.8078,0.06,ambient recovery,true
221,13,Fay,herb_roof_garden,0.84142,0.09005,0.06115,0.1512,0.763264,0.701644,0.095,none,false
222,13,Milo,north_lantern_relay,0.903345,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
223,13,Nia,archive_weather_log,0.791248,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
224,13,Ari,west_bridge_repair,0.94825,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
225,13,Fay,herb_roof_garden,0.84632,0.1512,-0.014,0.1372,0.210184,0.774664,0.06,ambient recovery,true
226,13,Milo,north_lantern_relay,0.876312,0.05,0.04915,0.09915,0.671813,0.729123,0.06,none,false
227,13,Nia,archive_weather_log,0.796148,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
228,13,Ari,west_bridge_repair,0.95315,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
229,13,Fay,herb_roof_garden,0.85122,0.1372,-0.014,0.1232,0.207104,0.779984,0.06,ambient recovery,true
230,13,Milo,north_lantern_relay,0.881212,0.09915,-0.014,0.08515,0.198733,0.794443,0.06,ambient recovery,true
231,13,Nia,archive_weather_log,0.769115,0.05,0.04915,0.09915,0.671813,0.729123,0.06,none,false
232,13,Ari,west_bridge_repair,0.96,0.05,0.0,0.05,0.191,0.8078,0.06,routine rest,true
233,13,Fay,herb_roof_garden,0.87047,0.1232,-0.055,0.0682,0.195004,0.800884,0.06,routine rest,true
234,14,Milo,north_lantern_relay,0.900462,0.08515,-0.03515,0.05,0.191,0.8078,0.06,routine rest,true
235,14,Nia,archive_weather_log,0.788365,0.09915,-0.04915,0.05,0.191,0.8078,0.06,routine rest,true
236,14,Ari,west_bridge_repair,0.92909,0.05,0.0562,0.1062,0.643364,0.718744,0.095,none,false
237,14,Fay,herb_roof_garden,0.87537,0.0682,-0.014,0.0542,0.191924,0.806204,0.06,ambient recovery,true
238,14,Milo,north_lantern_relay,0.905362,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
239,14,Nia,archive_weather_log,0.761333,0.05,0.04915,0.09915,0.671813,0.729123,0.06,none,false
240,14,Ari,west_bridge_repair,0.93399,0.1062,-0.014,0.0922,0.200284,0.791764,0.06,ambient recovery,true
241,14,Fay,herb_roof_garden,0.839757,0.0542,0.06475,0.11895,0.836169,0.713899,0.095,none,false
242,14,Milo,north_lantern_relay,0.910262,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
243,14,Nia,archive_weather_log,0.766233,0.09915,-0.014,0.08515,0.198733,0.794443,0.06,ambient recovery,true
