tick,day,replay_id,scene_id,includes_geometry,includes_positions,includes_sprite_layers,includes_collision_probe,includes_object_motion,includes_input,deterministic_order,replay_integrity_score
54,4,v20-replay-d04-t12,v20-scene-d04,1,1,1,1,1,1,1,0.964286
55,4,v20-replay-d04-t13,v20-scene-d04,1,0,0,1,1,1,1,0.811429
56,5,v20-replay-d05-t00,v20-scene-d05,1,0,0,1,1,1,1,0.811429
57,5,v20-replay-d05-t01,v20-scene-d05,1,0,0,0,0,1,1,0.525714
58,5,v20-replay-d05-t02,v20-scene-d05,1,0,0,1,1,1,1,0.811429
59,5,v20-replay-d05-t03,v20-scene-d05,1,0,0,1,1,1,1,0.811429
60,5,v20-replay-d05-t04,v20-scene-d05,1,1,1,1,1,1,1,1.0
61,5,v20-replay-d05-t05,v20-scene-d05,1,1,1,1,1,1,1,1.0
62,5,v20-replay-d05-t06,v20-scene-d05,1,1,1,1,0,1,1,0.857143
63,5,v20-replay-d05-t07,v20-scene-d05,1,1,1,1,1,1,1,1.0
64,5,v20-replay-d05-t08,v20-scene-d05,1,1,1,1,1,1,1,1.0
65,5,v20-replay-d05-t09,v20-scene-d05,1,1,1,1,1,1,1,1.0
66,5,v20-replay-d05-t10,v20-scene-d05,1,1,1,1,1,1,1,1.0
67,5,v20-replay-d05-t11,v20-scene-d05,1,1,1,1,1,1,1,1.0
68,5,v20-replay-d05-t12,v20-scene-d05,1,1,1,1,0,1,1,0.857143
69,5,v20-replay-d05-t13,v20-scene-d05,1,1,1,1,1,1,1,1.0
70,6,v20-replay-d06-t00,v20-scene-d06,1,1,1,1,1,1,1,1.0
71,6,v20-replay-d06-t01,v20-scene-d06,1,1,1,1,1,1,1,1.0
72,6,v20-replay-d06-t02,v20-scene-d06,1,1,1,1,1,1,1,1.0
73,6,v20-replay-d06-t03,v20-scene-d06,1,1,1,1,1,1,1,1.0
74,6,v20-replay-d06-t04,v20-scene-d06,1,1,0,1,1,1,1,0.964286
75,6,v20-replay-d06-t05,v20-scene-d06,1,1,1,1,1,1,1,1.0
76,6,v20-replay-d06-t06,v20-scene-d06,1,1,1,1,1,1,1,1.0
77,6,v20-replay-d06-t07,v20-scene-d06,1,1,1,1,0,1,1,0.821429
78,6,v20-replay-d06-t08,v20-scene-d06,1,0,0,1,1,1,1,0.821429
79,6,v20-replay-d06-t09,v20-scene-d06,1,1,1,1,1,1,1,1.0
80,6,v20-replay-d06-t10,v20-scene-d06,1,1,1,1,1,1,1,1.0
81,6,v20-replay-d06-t11,v20-scene-d06,1,1,1,1,1,1,1,1.0
82,6,v20-replay-d06-t12,v20-scene-d06,1,1,1,1,1,1,1,1.0
83,6,v20-replay-d06-t13,v20-scene-d06,1,1,1,1,1,1,1,1.0
84,7,v20-replay-d07-t00,v20-scene-d07,1,1,1,1,1,1,1,1.0
85,7,v20-replay-d07-t01,v20-scene-d07,1,1,1,1,1,1,1,0.99
86,7,v20-replay-d07-t02,v20-scene-d07,1,0,0,1,1,1,1,0.775714
87,7,v20-replay-d07-t03,v20-scene-d07,1,0,0,1,1,1,1,0.811429
88,7,v20-replay-d07-t04,v20-scene-d07,1,1,1,1,1,1,1,0.99
89,7,v20-replay-d07-t05,v20-scene-d07,1,1,1,1,1,1,1,0.99
90,7,v20-replay-d07-t06,v20-scene-d07,1,1,1,1,1,1,1,1.0
91,7,v20-replay-d07-t07,v20-scene-d07,1,1,1,1,1,1,1,1.0
92,7,v20-replay-d07-t08,v20-scene-d07,1,1,1,1,1,1,1,1.0
93,7,v20-replay-d07-t09,v20-scene-d07,1,1,1,1,0,1,1,0.857143
94,7,v20-replay-d07-t10,v20-scene-d07,0,1,1,1,1,1,1,0.857143
95,7,v20-replay-d07-t11,v20-scene-d07,1,1,1,1,1,1,1,1.0
96,7,v20-replay-d07-t12,v20-scene-d07,1,1,1,1,1,1,1,1.0
97,7,v20-replay-d07-t13,v20-scene-d07,1,1,1,1,1,1,1,1.0
98,8,v20-replay-d08-t00,v20-scene-d08,1,1,1,1,1,1,1,1.0
99,8,v20-replay-d08-t01,v20-scene-d08,1,1,1,1,0,1,1,0.857143
100,8,v20-replay-d08-t02,v20-scene-d08,1,1,1,1,1,1,1,0.964286
101,8,v20-replay-d08-t03,v20-scene-d08,1,1,1,1,1,1,1,1.0
102,8,v20-replay-d08-t04,v20-scene-d08,1,1,1,1,1,1,1,1.0
103,8,v20-replay-d08-t05,v20-scene-d08,1,1,1,1,1,1,1,1.0
104,8,v20-replay-d08-t06,v20-scene-d08,1,1,1,1,1,1,1,1.0
105,8,v20-replay-d08-t07,v20-scene-d08,1,1,1,1,1,1,1,1.0
106,8,v20-replay-d08-t08,v20-scene-d08,1,1,1,1,1,1,1,1.0
107,8,v20-replay-d08-t09,v20-scene-d08,1,1,1,1,1,1,1,1.0
108,8,v20-replay-d08-t10,v20-scene-d08,1,1,1,1,1,1,1,1.0
109,8,v20-replay-d08-t11,v20-scene-d08,1,1,1,1,1,1,1,1.0
110,8,v20-replay-d08-t12,v20-scene-d08,1,1,1,1,1,1,1,1.0
111,8,v20-replay-d08-t13,v20-scene-d08,1,1,0,1,1,1,1,0.964286
112,9,v20-replay-d09-t00,v20-scene-d09,1,1,1,1,1,1,1,1.0
113,9,v20-replay-d09-t01,v20-scene-d09,1,1,1,1,1,1,1,1.0
114,9,v20-replay-d09-t02,v20-scene-d09,1,1,1,0,0,0,1,0.642857
115,9,v20-replay-d09-t03,v20-scene-d09,1,0,0,1,1,1,1,0.811429
116,9,v20-replay-d09-t04,v20-scene-d09,1,0,0,1,1,1,1,0.811429
117,9,v20-replay-d09-t05,v20-scene-d09,1,0,0,1,1,1,1,0.811429
118,9,v20-replay-d09-t06,v20-scene-d09,1,0,0,1,1,1,1,0.811429
119,9,v20-replay-d09-t07,v20-scene-d09,1,1,1,1,1,1,1,0.99
120,9,v20-replay-d09-t08,v20-scene-d09,1,1,1,1,1,1,1,1.0
121,9,v20-replay-d09-t09,v20-scene-d09,1,1,1,1,1,1,1,1.0
122,9,v20-replay-d09-t10,v20-scene-d09,1,1,1,1,1,1,1,1.0
123,9,v20-replay-d09-t11,v20-scene-d09,1,1,1,1,1,1,1,0.964286
124,9,v20-replay-d09-t12,v20-scene-d09,1,1,1,1,0,1,1,0.857143
125,9,v20-replay-d09-t13,v20-scene-d09,1,1,1,1,1,1,1,1.0
126,10,v20-replay-d10-t00,v20-scene-d10,1,1,1,1,1,1,1,1.0
127,10,v20-replay-d10-t01,v20-scene-d10,1,1,1,1,1,1,1,1.0
128,10,v20-replay-d10-t02,v20-scene-d10,1,1,1,1,1,1,1,1.0
129,10,v20-replay-d10-t03,v20-scene-d10,1,1,0,1,1,1,1,0.964286
130,10,v20-replay-d10-t04,v20-scene-d10,1,1,1,1,0,1,1,0.857143
131,10,v20-replay-d10-t05,v20-scene-d10,1,1,1,1,1,1,1,1.0
132,10,v20-replay-d10-t06,v20-scene-d10,1,1,1,1,1,1,1,1.0
133,10,v20-replay-d10-t07,v20-scene-d10,1,1,1,1,1,1,1,1.0
134,10,v20-replay-d10-t08,v20-scene-d10,1,1,1,1,1,1,1,1.0
135,10,v20-replay-d10-t09,v20-scene-d10,1,1,1,1,1,1,1,1.0
136,10,v20-replay-d10-t10,v20-scene-d10,1,1,1,1,1,1,1,1.0
137,10,v20-replay-d10-t11,v20-scene-d10,1,1,1,1,1,1,1,1.0
138,10,v20-replay-d10-t12,v20-scene-d10,1,1,1,1,1,1,1,1.0
139,10,v20-replay-d10-t13,v20-scene-d10,1,1,1,1,1,1,1,1.0
140,11,v20-replay-d11-t00,v20-scene-d11,1,1,1,1,1,1,1,1.0
141,11,v20-replay-d11-t01,v20-scene-d11,0,1,1,1,1,1,1,0.857143
142,11,v20-replay-d11-t02,v20-scene-d11,1,1,1,1,1,1,1,1.0
143,11,v20-replay-d11-t03,v20-scene-d11,1,1,1,1,1,1,1,1.0
144,11,v20-replay-d11-t04,v20-scene-d11,1,0,0,1,1,1,1,0.811429
145,11,v20-replay-d11-t05,v20-scene-d11,1,1,1,1,1,1,1,1.0
146,11,v20-replay-d11-t06,v20-scene-d11,1,0,0,1,1,1,1,0.775714
147,11,v20-replay-d11-t07,v20-scene-d11,1,0,0,1,1,1,1,0.811429
148,11,v20-replay-d11-t08,v20-scene-d11,1,1,0,1,1,1,1,0.964286
149,11,v20-replay-d11-t09,v20-scene-d11,1,1,1,1,1,1,1,0.99
150,11,v20-replay-d11-t10,v20-scene-d11,1,1,1,1,1,1,1,1.0
151,11,v20-replay-d11-t11,v20-scene-d11,1,1,1,1,0,1,1,0.857143
152,11,v20-replay-d11-t12,v20-scene-d11,1,0,0,1,1,1,1,0.821429
153,11,v20-replay-d11-t13,v20-scene-d11,1,1,1,1,1,1,1,1.0
154,12,v20-replay-d12-t00,v20-scene-d12,1,1,1,1,1,1,1,1.0
155,12,v20-replay-d12-t01,v20-scene-d12,1,1,1,1,0,1,1,0.857143
156,12,v20-replay-d12-t02,v20-scene-d12,1,1,1,1,1,1,1,1.0
157,12,v20-replay-d12-t03,v20-scene-d12,1,1,1,1,1,1,1,1.0
158,12,v20-replay-d12-t04,v20-scene-d12,1,1,1,1,1,1,1,1.0
159,12,v20-replay-d12-t05,v20-scene-d12,1,1,1,1,1,1,1,1.0
160,12,v20-replay-d12-t06,v20-scene-d12,1,1,1,1,1,1,1,1.0
161,12,v20-replay-d12-t07,v20-scene-d12,1,1,1,1,0,1,1,0.857143
162,12,v20-replay-d12-t08,v20-scene-d12,1,1,1,1,1,1,1,1.0
163,12,v20-replay-d12-t09,v20-scene-d12,1,1,1,1,1,1,1,1.0
164,12,v20-replay-d12-t10,v20-scene-d12,1,1,1,1,1,1,1,1.0
165,12,v20-replay-d12-t11,v20-scene-d12,1,1,1,1,1,1,1,1.0
166,12,v20-replay-d12-t12,v20-scene-d12,1,1,1,1,1,1,1,1.0
167,12,v20-replay-d12-t13,v20-scene-d12,1,1,1,1,1,1,1,1.0
168,13,v20-replay-d13-t00,v20-scene-d13,1,1,1,1,1,1,1,1.0
169,13,v20-replay-d13-t01,v20-scene-d13,1,1,1,1,1,1,1,0.964286
170,13,v20-replay-d13-t02,v20-scene-d13,1,1,1,1,1,1,1,1.0
171,13,v20-replay-d13-t03,v20-scene-d13,1,1,1,1,1,1,1,1.0
172,13,v20-replay-d13-t04,v20-scene-d13,1,1,0,1,1,1,1,0.964286
173,13,v20-replay-d13-t05,v20-scene-d13,1,1,1,1,1,1,1,1.0
174,13,v20-replay-d13-t06,v20-scene-d13,1,1,1,1,1,1,1,0.99
175,13,v20-replay-d13-t07,v20-scene-d13,1,0,0,1,1,1,1,0.811429
176,13,v20-replay-d13-t08,v20-scene-d13,1,0,0,1,1,1,1,0.811429
177,13,v20-replay-d13-t09,v20-scene-d13,1,0,0,1,1,1,1,0.811429
178,13,v20-replay-d13-t10,v20-scene-d13,1,1,1,1,1,1,1,1.0
179,13,v20-replay-d13-t11,v20-scene-d13,1,1,1,1,1,1,1,0.99
180,13,v20-replay-d13-t12,v20-scene-d13,1,1,1,1,1,1,1,1.0
181,13,v20-replay-d13-t13,v20-scene-d13,1,1,1,1,1,1,1,1.0
182,14,v20-replay-d14-t00,v20-scene-d14,1,1,1,1,1,1,1,1.0
183,14,v20-replay-d14-t01,v20-scene-d14,1,1,1,1,1,1,1,1.0
184,14,v20-replay-d14-t02,v20-scene-d14,1,1,1,1,1,1,1,1.0
185,14,v20-replay-d14-t03,v20-scene-d14,1,1,0,1,1,1,1,0.964286
186,14,v20-replay-d14-t04,v20-scene-d14,1,1,1,1,0,1,1,0.857143
187,14,v20-replay-d14-t05,v20-scene-d14,1,1,1,1,1,1,1,1.0
188,14,v20-replay-d14-t06,v20-scene-d14,0,1,1,1,0,1,1,0.714286
189,14,v20-replay-d14-t07,v20-scene-d14,1,0,0,1,1,1,1,0.821429
190,14,v20-replay-d14-t08,v20-scene-d14,1,1,1,1,1,1,1,1.0
191,14,v20-replay-d14-t09,v20-scene-d14,1,1,1,1,1,1,1,1.0
192,14,v20-replay-d14-t10,v20-scene-d14,1,1,1,1,0,1,1,0.821429
193,14,v20-replay-d14-t11,v20-scene-d14,1,1,1,1,1,1,1,1.0
194,14,v20-replay-d14-t12,v20-scene-d14,1,1,1,1,1,1,1,1.0
195,14,v20-replay-d14-t13,v20-scene-d14,1,1,1,1,1,1,1,1.0
196,15,v20-replay-d15-t00,v20-scene-d15,1,1,1,1,1,1,1,1.0
197,15,v20-replay-d15-t01,v20-scene-d15,1,1,1,1,1,1,1,1.0
198,15,v20-replay-d15-t02,v20-scene-d15,1,1,1,1,1,1,1,1.0
199,15,v20-replay-d15-t03,v20-scene-d15,1,1,1,1,1,1,1,1.0
200,15,v20-replay-d15-t04,v20-scene-d15,1,1,1,1,1,1,1,1.0
201,15,v20-replay-d15-t05,v20-scene-d15,1,1,1,1,1,1,1,1.0
202,15,v20-replay-d15-t06,v20-scene-d15,1,1,1,1,1,1,1,1.0
203,15,v20-replay-d15-t07,v20-scene-d15,1,1,1,1,1,1,1,1.0
204,15,v20-replay-d15-t08,v20-scene-d15,1,1,1,1,1,1,1,0.99
205,15,v20-replay-d15-t09,v20-scene-d15,1,0,0,1,1,1,1,0.811429
206,15,v20-replay-d15-t10,v20-scene-d15,1,0,0,1,1,1,1,0.811429
207,15,v20-replay-d15-t11,v20-scene-d15,1,0,0,1,1,1,1,0.811429
208,15,v20-replay-d15-t12,v20-scene-d15,1,1,1,1,1,1,1,0.99
209,15,v20-replay-d15-t13,v20-scene-d15,1,1,1,0,0,0,1,0.642857
210,16,v20-replay-d16-t00,v20-scene-d16,1,1,1,1,1,1,1,1.0
211,16,v20-replay-d16-t01,v20-scene-d16,1,1,1,1,1,1,1,1.0
212,16,v20-replay-d16-t02,v20-scene-d16,1,1,1,1,1,1,1,1.0
213,16,v20-replay-d16-t03,v20-scene-d16,1,1,1,1,1,1,1,1.0
214,16,v20-replay-d16-t04,v20-scene-d16,1,1,1,1,1,1,1,1.0
215,16,v20-replay-d16-t05,v20-scene-d16,1,1,0,1,1,1,1,0.928571
216,16,v20-replay-d16-t06,v20-scene-d16,1,1,1,1,1,1,1,1.0
217,16,v20-replay-d16-t07,v20-scene-d16,1,1,1,1,0,1,1,0.857143
218,16,v20-replay-d16-t08,v20-scene-d16,1,1,1,1,1,1,1,1.0
219,16,v20-replay-d16-t09,v20-scene-d16,1,1,1,1,1,1,1,1.0
220,16,v20-replay-d16-t10,v20-scene-d16,1,1,1,1,1,1,1,1.0
221,16,v20-replay-d16-t11,v20-scene-d16,1,1,1,1,1,1,1,1.0
222,16,v20-replay-d16-t12,v20-scene-d16,1,1,0,1,1,1,1,0.964286
223,16,v20-replay-d16-t13,v20-scene-d16,1,1,1,1,0,1,1,0.857143
224,17,v20-replay-d17-t00,v20-scene-d17,1,1,1,1,1,1,1,1.0
225,17,v20-replay-d17-t01,v20-scene-d17,1,1,1,1,0,1,1,0.857143
226,17,v20-replay-d17-t02,v20-scene-d17,1,0,0,1,1,1,1,0.821429
227,17,v20-replay-d17-t03,v20-scene-d17,1,1,1,1,1,1,1,1.0
228,17,v20-replay-d17-t04,v20-scene-d17,1,1,1,1,1,1,1,1.0
229,17,v20-replay-d17-t05,v20-scene-d17,1,1,1,1,1,1,1,1.0
230,17,v20-replay-d17-t06,v20-scene-d17,1,1,1,1,1,1,1,1.0
231,17,v20-replay-d17-t07,v20-scene-d17,1,1,1,1,1,1,1,1.0
232,17,v20-replay-d17-t08,v20-scene-d17,1,1,1,1,1,1,1,1.0
233,17,v20-replay-d17-t09,v20-scene-d17,1,1,1,1,1,1,1,1.0
234,17,v20-replay-d17-t10,v20-scene-d17,1,0,0,1,1,1,1,0.811429
235,17,v20-replay-d17-t11,v20-scene-d17,0,1,1,1,1,1,1,0.847143
236,17,v20-replay-d17-t12,v20-scene-d17,1,0,0,1,1,1,1,0.811429
237,17,v20-replay-d17-t13,v20-scene-d17,1,0,0,1,1,1,1,0.811429
238,18,v20-replay-d18-t00,v20-scene-d18,1,1,1,1,1,1,1,0.954286
239,18,v20-replay-d18-t01,v20-scene-d18,1,1,1,1,1,1,1,1.0
240,18,v20-replay-d18-t02,v20-scene-d18,1,1,1,1,1,1,1,1.0
241,18,v20-replay-d18-t03,v20-scene-d18,1,1,1,1,1,1,1,1.0
242,18,v20-replay-d18-t04,v20-scene-d18,1,1,1,1,1,1,1,1.0
243,18,v20-replay-d18-t05,v20-scene-d18,1,1,1,1,1,1,1,1.0
244,18,v20-replay-d18-t06,v20-scene-d18,1,1,1,1,1,1,1,1.0
245,18,v20-replay-d18-t07,v20-scene-d18,1,1,1,1,1,1,1,1.0
246,18,v20-replay-d18-t08,v20-scene-d18,1,1,1,1,1,1,1,1.0
247,18,v20-replay-d18-t09,v20-scene-d18,1,1,1,1,1,1,1,1.0
248,18,v20-replay-d18-t10,v20-scene-d18,1,1,1,1,0,1,1,0.857143
249,18,v20-replay-d18-t11,v20-scene-d18,1,1,1,1,1,1,1,1.0
250,18,v20-replay-d18-t12,v20-scene-d18,1,1,1,1,1,1,1,1.0
251,18,v20-replay-d18-t13,v20-scene-d18,1,1,1,1,1,1,1,1.0
252,19,v20-replay-d19-t00,v20-scene-d19,1,1,1,1,1,1,1,1.0
253,19,v20-replay-d19-t01,v20-scene-d19,1,1,1,1,1,1,1,1.0
254,19,v20-replay-d19-t02,v20-scene-d19,1,1,1,1,0,1,1,0.857143
255,19,v20-replay-d19-t03,v20-scene-d19,1,1,1,1,1,1,1,1.0
256,19,v20-replay-d19-t04,v20-scene-d19,1,1,1,1,1,1,1,1.0
257,19,v20-replay-d19-t05,v20-scene-d19,1,1,1,1,1,1,1,1.0
258,19,v20-replay-d19-t06,v20-scene-d19,1,1,0,1,1,1,1,0.964286
259,19,v20-replay-d19-t07,v20-scene-d19,1,1,0,1,1,1,1,0.964286
260,19,v20-replay-d19-t08,v20-scene-d19,1,1,1,1,1,1,1,1.0
261,19,v20-replay-d19-t09,v20-scene-d19,1,1,1,1,1,1,1,0.964286
262,19,v20-replay-d19-t10,v20-scene-d19,1,1,1,1,0,1,1,0.857143
263,19,v20-replay-d19-t11,v20-scene-d19,1,0,0,1,1,1,1,0.821429
264,19,v20-replay-d19-t12,v20-scene-d19,1,0,0,1,1,1,1,0.811429
265,19,v20-replay-d19-t13,v20-scene-d19,1,0,0,1,1,1,1,0.811429
266,20,v20-replay-d20-t00,v20-scene-d20,1,0,0,0,0,1,1,0.525714
267,20,v20-replay-d20-t01,v20-scene-d20,1,1,1,1,1,1,1,1.0
268,20,v20-replay-d20-t02,v20-scene-d20,1,1,1,1,1,1,1,0.99
269,20,v20-replay-d20-t03,v20-scene-d20,1,1,1,1,1,1,1,1.0
270,20,v20-replay-d20-t04,v20-scene-d20,1,1,1,1,1,1,1,1.0
271,20,v20-replay-d20-t05,v20-scene-d20,1,1,1,1,1,1,1,1.0
272,20,v20-replay-d20-t06,v20-scene-d20,1,1,1,1,1,1,1,1.0
273,20,v20-replay-d20-t07,v20-scene-d20,1,1,1,1,1,1,1,1.0
274,20,v20-replay-d20-t08,v20-scene-d20,1,1,1,1,1,1,1,1.0
275,20,v20-replay-d20-t09,v20-scene-d20,1,1,1,1,1,1,1,1.0
276,20,v20-replay-d20-t10,v20-scene-d20,1,1,1,1,1,1,1,1.0
277,20,v20-replay-d20-t11,v20-scene-d20,1,1,1,1,1,1,1,1.0
278,20,v20-replay-d20-t12,v20-scene-d20,1,1,1,1,1,1,1,1.0
279,20,v20-replay-d20-t13,v20-scene-d20,1,1,1,1,0,1,1,0.857143
280,21,v20-replay-d21-t00,v20-scene-d21,1,1,1,1,1,1,1,1.0
281,21,v20-replay-d21-t01,v20-scene-d21,1,1,1,1,1,1,1,1.0
282,21,v20-replay-d21-t02,v20-scene-d21,0,1,1,1,1,1,1,0.857143
283,21,v20-replay-d21-t03,v20-scene-d21,1,1,1,1,1,1,1,1.0
284,21,v20-replay-d21-t04,v20-scene-d21,1,1,1,1,1,1,1,0.964286
285,21,v20-replay-d21-t05,v20-scene-d21,1,1,1,1,0,1,1,0.857143
286,21,v20-replay-d21-t06,v20-scene-d21,1,1,1,1,1,1,1,1.0
287,21,v20-replay-d21-t07,v20-scene-d21,1,1,1,1,1,1,1,1.0
288,21,v20-replay-d21-t08,v20-scene-d21,1,1,1,1,1,1,1,1.0
289,21,v20-replay-d21-t09,v20-scene-d21,1,1,1,1,1,1,1,1.0
290,21,v20-replay-d21-t10,v20-scene-d21,1,1,1,1,1,1,1,1.0
291,21,v20-replay-d21-t11,v20-scene-d21,1,1,1,1,1,1,1,1.0
292,21,v20-replay-d21-t12,v20-scene-d21,1,1,1,1,1,1,1,1.0
293,21,v20-replay-d21-t13,v20-scene-d21,1,1,1,1,1,1,1,1.0
294,22,v20-replay-d22-t00,v20-scene-d22,1,0,0,1,1,1,1,0.811429
295,22,v20-replay-d22-t01,v20-scene-d22,1,0,0,1,1,1,1,0.811429
296,22,v20-replay-d22-t02,v20-scene-d22,1,0,0,1,1,1,1,0.811429
297,22,v20-replay-d22-t03,v20-scene-d22,1,0,0,1,1,1,1,0.811429
298,22,v20-replay-d22-t04,v20-scene-d22,1,1,1,1,1,1,1,1.0
299,22,v20-replay-d22-t05,v20-scene-d22,1,1,1,1,0,1,1,0.857143
300,22,v20-replay-d22-t06,v20-scene-d22,1,0,0,1,1,1,1,0.821429
301,22,v20-replay-d22-t07,v20-scene-d22,1,1,0,1,1,1,1,0.964286
302,22,v20-replay-d22-t08,v20-scene-d22,1,1,1,1,1,1,1,1.0
303,22,v20-replay-d22-t09,v20-scene-d22,1,1,1,1,1,1,1,1.0
304,22,v20-replay-d22-t10,v20-scene-d22,1,1,1,1,1,1,1,1.0
305,22,v20-replay-d22-t11,v20-scene-d22,1,1,1,1,1,1,1,1.0
306,22,v20-replay-d22-t12,v20-scene-d22,1,1,1,1,1,1,1,1.0
307,22,v20-replay-d22-t13,v20-scene-d22,1,1,1,1,1,1,1,0.964286
308,23,v20-replay-d23-t00,v20-scene-d23,1,1,1,1,1,1,1,1.0
309,23,v20-replay-d23-t01,v20-scene-d23,1,1,1,1,1,1,1,1.0
310,23,v20-replay-d23-t02,v20-scene-d23,1,1,1,1,0,1,1,0.857143
311,23,v20-replay-d23-t03,v20-scene-d23,1,1,1,1,1,1,1,1.0
312,23,v20-replay-d23-t04,v20-scene-d23,1,1,1,1,1,1,1,1.0
313,23,v20-replay-d23-t05,v20-scene-d23,1,1,1,1,1,1,1,1.0
314,23,v20-replay-d23-t06,v20-scene-d23,1,1,1,1,1,1,1,1.0
315,23,v20-replay-d23-t07,v20-scene-d23,1,1,1,1,1,1,1,1.0
316,23,v20-replay-d23-t08,v20-scene-d23,1,1,1,1,0,1,1,0.857143
317,23,v20-replay-d23-t09,v20-scene-d23,1,1,1,1,1,1,1,1.0
318,23,v20-replay-d23-t10,v20-scene-d23,1,1,1,1,1,1,1,1.0
