seed,route_id,resident,source_proposal_id,materials,trade_shift,stock_before,stock_after,ordinary_resource_surface,predeclared_device
36263,36263-TRD-03,Sera,36263-PROP-04-6374,dry_resin+reed_fiber,avoid_reed_fiber,"{""ash_glass"": 3, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 4, ""reed_fiber"": 4, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 4, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}",True,False
36281,36281-TRD-01,Fay,36281-PROP-04-1067,dry_resin+ash_glass,more_dry_resin,"{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 5}",True,False
36281,36281-TRD-02,Milo,36281-PROP-05-9290,wet_wood+iron_sand,more_wet_wood,"{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",True,False
36281,36281-TRD-03,Sera,36281-PROP-06-8509,red_scrap+iron_sand,more_red_scrap,"{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}",True,False
36307,36307-TRD-01,Sera,36307-PROP-01-5399,ash_glass+dry_resin,more_ash_glass,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",True,False
36307,36307-TRD-02,Tovan,36307-PROP-05-3745,dry_resin+ash_glass,more_dry_resin,"{""ash_glass"": 3, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 1, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}",True,False
36307,36307-TRD-03,Nia,36307-PROP-06-1839,iron_sand+dry_resin,more_iron_sand,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}",True,False
36319,36319-TRD-01,Sera,36319-PROP-02-4549,red_scrap+dry_resin,more_red_scrap,"{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",True,False
36319,36319-TRD-02,Tovan,36319-PROP-03-1154,ash_glass+clay_jar,avoid_clay_jar,"{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",True,False
36319,36319-TRD-03,Nia,36319-PROP-06-9521,wet_wood+dry_resin,avoid_dry_resin,"{""ash_glass"": 0, ""clay_jar"": 1, ""dry_resin"": 3, ""iron_sand"": 1, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 0, ""clay_jar"": 1, ""dry_resin"": 1, ""iron_sand"": 1, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 5}",True,False
36343,36343-TRD-01,Sera,36343-PROP-04-5757,wet_wood+dry_resin,avoid_dry_resin,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 5}",True,False
36343,36343-TRD-02,Tovan,36343-PROP-05-8809,dry_resin+ash_glass,more_dry_resin,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 5}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 5}",True,False
36343,36343-TRD-03,Nia,36343-PROP-06-3292,wet_wood+iron_sand,more_wet_wood,"{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 5}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}",True,False
