tick,day,slot,phase,avatar_room,selected_resident,user_action,schedule_state,memory_key,debt_name,visible_consequence,save_restore_key,audit_key,all_core_loops_present,boundary_visible
18,2,0,offscreen,rain court,Tovan,inspect_memory,repair awning,v60:tovan:repair_promise:d002:s00,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d002:t00018,audit:v60:tick:00018:resident:tovan,True,True
19,2,1,consequence,fiber loft,Nia,enter,sort herbs,v60:nia:missed_greeting:d002:s01,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d002:t00019,audit:v60:tick:00019:resident:nia,True,True
20,2,2,save/restore,west hearth,Ari,talk,carry water,v60:ari:care_favor:d002:s02,care favor,state observed without history rewrite,ssrm:v60:snapshot:d002:t00020,audit:v60:tick:00020:resident:ari,True,True
21,2,3,audit replay,river gate,Fay,offer_help,dry cloaks,v60:fay:route_warning:d002:s03,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d002:t00021,audit:v60:tick:00021:resident:fay,True,True
22,2,4,arrival,arrival court,Milo,return_tool,map safe route,v60:milo:tool_loan:d002:s04,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d002:t00022,audit:v60:tick:00022:resident:milo,True,True
23,2,5,movement,tool alcove,Sera,inspect_memory,rest after rain,v60:sera:water_carry:d002:s05,water carry,state observed without history rewrite,ssrm:v60:snapshot:d002:t00023,audit:v60:tick:00023:resident:sera,True,True
24,2,6,bounded conversation,rain court,Tovan,enter,recover focus,v60:tovan:repair_promise:d002:s06,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d002:t00024,audit:v60:tick:00024:resident:tovan,True,True
25,2,7,schedule/debt,fiber loft,Nia,talk,repair awning,v60:nia:missed_greeting:d002:s07,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d002:t00025,audit:v60:tick:00025:resident:nia,True,True
26,2,8,offscreen,west hearth,Ari,offer_help,sort herbs,v60:ari:care_favor:d002:s08,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d002:t00026,audit:v60:tick:00026:resident:ari,True,True
27,2,9,consequence,river gate,Fay,return_tool,carry water,v60:fay:route_warning:d002:s09,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d002:t00027,audit:v60:tick:00027:resident:fay,True,True
28,2,10,save/restore,arrival court,Milo,inspect_memory,dry cloaks,v60:milo:tool_loan:d002:s10,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d002:t00028,audit:v60:tick:00028:resident:milo,True,True
29,2,11,audit replay,tool alcove,Sera,enter,map safe route,v60:sera:water_carry:d002:s11,water carry,state observed without history rewrite,ssrm:v60:snapshot:d002:t00029,audit:v60:tick:00029:resident:sera,True,True
30,2,12,arrival,rain court,Tovan,talk,rest after rain,v60:tovan:repair_promise:d002:s12,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d002:t00030,audit:v60:tick:00030:resident:tovan,True,True
31,2,13,movement,fiber loft,Nia,offer_help,recover focus,v60:nia:missed_greeting:d002:s13,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d002:t00031,audit:v60:tick:00031:resident:nia,True,True
32,2,14,bounded conversation,west hearth,Ari,return_tool,repair awning,v60:ari:care_favor:d002:s14,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d002:t00032,audit:v60:tick:00032:resident:ari,True,True
33,2,15,schedule/debt,river gate,Fay,inspect_memory,sort herbs,v60:fay:route_warning:d002:s15,route warning,state observed without history rewrite,ssrm:v60:snapshot:d002:t00033,audit:v60:tick:00033:resident:fay,True,True
34,2,16,offscreen,arrival court,Milo,enter,carry water,v60:milo:tool_loan:d002:s16,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d002:t00034,audit:v60:tick:00034:resident:milo,True,True
35,2,17,consequence,tool alcove,Sera,talk,dry cloaks,v60:sera:water_carry:d002:s17,water carry,state observed without history rewrite,ssrm:v60:snapshot:d002:t00035,audit:v60:tick:00035:resident:sera,True,True
36,3,0,audit replay,fiber loft,Tovan,return_tool,rest after rain,v60:tovan:missed_greeting:d003:s00,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d003:t00036,audit:v60:tick:00036:resident:tovan,True,True
37,3,1,arrival,west hearth,Nia,inspect_memory,recover focus,v60:nia:care_favor:d003:s01,care favor,state observed without history rewrite,ssrm:v60:snapshot:d003:t00037,audit:v60:tick:00037:resident:nia,True,True
38,3,2,movement,river gate,Ari,enter,repair awning,v60:ari:route_warning:d003:s02,route warning,state observed without history rewrite,ssrm:v60:snapshot:d003:t00038,audit:v60:tick:00038:resident:ari,True,True
39,3,3,bounded conversation,arrival court,Fay,talk,sort herbs,v60:fay:tool_loan:d003:s03,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d003:t00039,audit:v60:tick:00039:resident:fay,True,True
40,3,4,schedule/debt,tool alcove,Milo,offer_help,carry water,v60:milo:water_carry:d003:s04,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d003:t00040,audit:v60:tick:00040:resident:milo,True,True
41,3,5,offscreen,rain court,Sera,return_tool,dry cloaks,v60:sera:repair_promise:d003:s05,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d003:t00041,audit:v60:tick:00041:resident:sera,True,True
42,3,6,consequence,fiber loft,Tovan,inspect_memory,map safe route,v60:tovan:missed_greeting:d003:s06,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d003:t00042,audit:v60:tick:00042:resident:tovan,True,True
43,3,7,save/restore,west hearth,Nia,enter,rest after rain,v60:nia:care_favor:d003:s07,care favor,state observed without history rewrite,ssrm:v60:snapshot:d003:t00043,audit:v60:tick:00043:resident:nia,True,True
44,3,8,audit replay,river gate,Ari,talk,recover focus,v60:ari:route_warning:d003:s08,route warning,state observed without history rewrite,ssrm:v60:snapshot:d003:t00044,audit:v60:tick:00044:resident:ari,True,True
45,3,9,arrival,arrival court,Fay,offer_help,repair awning,v60:fay:tool_loan:d003:s09,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d003:t00045,audit:v60:tick:00045:resident:fay,True,True
46,3,10,movement,tool alcove,Milo,return_tool,sort herbs,v60:milo:water_carry:d003:s10,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d003:t00046,audit:v60:tick:00046:resident:milo,True,True
47,3,11,bounded conversation,rain court,Sera,inspect_memory,carry water,v60:sera:repair_promise:d003:s11,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d003:t00047,audit:v60:tick:00047:resident:sera,True,True
48,3,12,schedule/debt,fiber loft,Tovan,enter,dry cloaks,v60:tovan:missed_greeting:d003:s12,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d003:t00048,audit:v60:tick:00048:resident:tovan,True,True
49,3,13,offscreen,west hearth,Nia,talk,map safe route,v60:nia:care_favor:d003:s13,care favor,state observed without history rewrite,ssrm:v60:snapshot:d003:t00049,audit:v60:tick:00049:resident:nia,True,True
50,3,14,consequence,river gate,Ari,offer_help,rest after rain,v60:ari:route_warning:d003:s14,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d003:t00050,audit:v60:tick:00050:resident:ari,True,True
51,3,15,save/restore,arrival court,Fay,return_tool,recover focus,v60:fay:tool_loan:d003:s15,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d003:t00051,audit:v60:tick:00051:resident:fay,True,True
52,3,16,audit replay,tool alcove,Milo,inspect_memory,repair awning,v60:milo:water_carry:d003:s16,water carry,state observed without history rewrite,ssrm:v60:snapshot:d003:t00052,audit:v60:tick:00052:resident:milo,True,True
53,3,17,arrival,rain court,Sera,enter,sort herbs,v60:sera:repair_promise:d003:s17,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d003:t00053,audit:v60:tick:00053:resident:sera,True,True
54,4,0,bounded conversation,west hearth,Tovan,offer_help,dry cloaks,v60:tovan:care_favor:d004:s00,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d004:t00054,audit:v60:tick:00054:resident:tovan,True,True
55,4,1,schedule/debt,river gate,Nia,return_tool,map safe route,v60:nia:route_warning:d004:s01,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d004:t00055,audit:v60:tick:00055:resident:nia,True,True
56,4,2,offscreen,arrival court,Ari,inspect_memory,rest after rain,v60:ari:tool_loan:d004:s02,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d004:t00056,audit:v60:tick:00056:resident:ari,True,True
57,4,3,consequence,tool alcove,Fay,enter,recover focus,v60:fay:water_carry:d004:s03,water carry,state observed without history rewrite,ssrm:v60:snapshot:d004:t00057,audit:v60:tick:00057:resident:fay,True,True
58,4,4,save/restore,rain court,Milo,talk,repair awning,v60:milo:repair_promise:d004:s04,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d004:t00058,audit:v60:tick:00058:resident:milo,True,True
59,4,5,audit replay,fiber loft,Sera,offer_help,sort herbs,v60:sera:missed_greeting:d004:s05,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d004:t00059,audit:v60:tick:00059:resident:sera,True,True
60,4,6,arrival,west hearth,Tovan,return_tool,carry water,v60:tovan:care_favor:d004:s06,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d004:t00060,audit:v60:tick:00060:resident:tovan,True,True
61,4,7,movement,river gate,Nia,inspect_memory,dry cloaks,v60:nia:route_warning:d004:s07,route warning,state observed without history rewrite,ssrm:v60:snapshot:d004:t00061,audit:v60:tick:00061:resident:nia,True,True
62,4,8,bounded conversation,arrival court,Ari,enter,map safe route,v60:ari:tool_loan:d004:s08,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d004:t00062,audit:v60:tick:00062:resident:ari,True,True
63,4,9,schedule/debt,tool alcove,Fay,talk,rest after rain,v60:fay:water_carry:d004:s09,water carry,state observed without history rewrite,ssrm:v60:snapshot:d004:t00063,audit:v60:tick:00063:resident:fay,True,True
64,4,10,offscreen,rain court,Milo,offer_help,recover focus,v60:milo:repair_promise:d004:s10,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d004:t00064,audit:v60:tick:00064:resident:milo,True,True
65,4,11,consequence,fiber loft,Sera,return_tool,repair awning,v60:sera:missed_greeting:d004:s11,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d004:t00065,audit:v60:tick:00065:resident:sera,True,True
66,4,12,save/restore,west hearth,Tovan,inspect_memory,sort herbs,v60:tovan:care_favor:d004:s12,care favor,state observed without history rewrite,ssrm:v60:snapshot:d004:t00066,audit:v60:tick:00066:resident:tovan,True,True
67,4,13,audit replay,river gate,Nia,enter,carry water,v60:nia:route_warning:d004:s13,route warning,state observed without history rewrite,ssrm:v60:snapshot:d004:t00067,audit:v60:tick:00067:resident:nia,True,True
68,4,14,arrival,arrival court,Ari,talk,dry cloaks,v60:ari:tool_loan:d004:s14,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d004:t00068,audit:v60:tick:00068:resident:ari,True,True
69,4,15,movement,tool alcove,Fay,offer_help,map safe route,v60:fay:water_carry:d004:s15,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d004:t00069,audit:v60:tick:00069:resident:fay,True,True
70,4,16,bounded conversation,rain court,Milo,return_tool,rest after rain,v60:milo:repair_promise:d004:s16,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d004:t00070,audit:v60:tick:00070:resident:milo,True,True
71,4,17,schedule/debt,fiber loft,Sera,inspect_memory,recover focus,v60:sera:missed_greeting:d004:s17,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d004:t00071,audit:v60:tick:00071:resident:sera,True,True
72,5,0,consequence,river gate,Tovan,talk,sort herbs,v60:tovan:route_warning:d005:s00,route warning,state observed without history rewrite,ssrm:v60:snapshot:d005:t00072,audit:v60:tick:00072:resident:tovan,True,True
73,5,1,save/restore,arrival court,Nia,offer_help,carry water,v60:nia:tool_loan:d005:s01,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d005:t00073,audit:v60:tick:00073:resident:nia,True,True
74,5,2,audit replay,tool alcove,Ari,return_tool,dry cloaks,v60:ari:water_carry:d005:s02,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d005:t00074,audit:v60:tick:00074:resident:ari,True,True
75,5,3,arrival,rain court,Fay,inspect_memory,map safe route,v60:fay:repair_promise:d005:s03,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d005:t00075,audit:v60:tick:00075:resident:fay,True,True
76,5,4,movement,fiber loft,Milo,enter,rest after rain,v60:milo:missed_greeting:d005:s04,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d005:t00076,audit:v60:tick:00076:resident:milo,True,True
77,5,5,bounded conversation,west hearth,Sera,talk,recover focus,v60:sera:care_favor:d005:s05,care favor,state observed without history rewrite,ssrm:v60:snapshot:d005:t00077,audit:v60:tick:00077:resident:sera,True,True
78,5,6,schedule/debt,river gate,Tovan,offer_help,repair awning,v60:tovan:route_warning:d005:s06,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d005:t00078,audit:v60:tick:00078:resident:tovan,True,True
79,5,7,offscreen,arrival court,Nia,return_tool,sort herbs,v60:nia:tool_loan:d005:s07,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d005:t00079,audit:v60:tick:00079:resident:nia,True,True
80,5,8,consequence,tool alcove,Ari,inspect_memory,carry water,v60:ari:water_carry:d005:s08,water carry,state observed without history rewrite,ssrm:v60:snapshot:d005:t00080,audit:v60:tick:00080:resident:ari,True,True
81,5,9,save/restore,rain court,Fay,enter,dry cloaks,v60:fay:repair_promise:d005:s09,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d005:t00081,audit:v60:tick:00081:resident:fay,True,True
82,5,10,audit replay,fiber loft,Milo,talk,map safe route,v60:milo:missed_greeting:d005:s10,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d005:t00082,audit:v60:tick:00082:resident:milo,True,True
83,5,11,arrival,west hearth,Sera,offer_help,rest after rain,v60:sera:care_favor:d005:s11,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d005:t00083,audit:v60:tick:00083:resident:sera,True,True
84,5,12,movement,river gate,Tovan,return_tool,recover focus,v60:tovan:route_warning:d005:s12,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d005:t00084,audit:v60:tick:00084:resident:tovan,True,True
85,5,13,bounded conversation,arrival court,Nia,inspect_memory,repair awning,v60:nia:tool_loan:d005:s13,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d005:t00085,audit:v60:tick:00085:resident:nia,True,True
86,5,14,schedule/debt,tool alcove,Ari,enter,sort herbs,v60:ari:water_carry:d005:s14,water carry,state observed without history rewrite,ssrm:v60:snapshot:d005:t00086,audit:v60:tick:00086:resident:ari,True,True
87,5,15,offscreen,rain court,Fay,talk,carry water,v60:fay:repair_promise:d005:s15,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d005:t00087,audit:v60:tick:00087:resident:fay,True,True
88,5,16,consequence,fiber loft,Milo,offer_help,dry cloaks,v60:milo:missed_greeting:d005:s16,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d005:t00088,audit:v60:tick:00088:resident:milo,True,True
89,5,17,save/restore,west hearth,Sera,return_tool,map safe route,v60:sera:care_favor:d005:s17,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d005:t00089,audit:v60:tick:00089:resident:sera,True,True
90,6,0,arrival,arrival court,Tovan,enter,recover focus,v60:tovan:tool_loan:d006:s00,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d006:t00090,audit:v60:tick:00090:resident:tovan,True,True
91,6,1,movement,tool alcove,Nia,talk,repair awning,v60:nia:water_carry:d006:s01,water carry,state observed without history rewrite,ssrm:v60:snapshot:d006:t00091,audit:v60:tick:00091:resident:nia,True,True
92,6,2,bounded conversation,rain court,Ari,offer_help,sort herbs,v60:ari:repair_promise:d006:s02,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d006:t00092,audit:v60:tick:00092:resident:ari,True,True
93,6,3,schedule/debt,fiber loft,Fay,return_tool,carry water,v60:fay:missed_greeting:d006:s03,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d006:t00093,audit:v60:tick:00093:resident:fay,True,True
94,6,4,offscreen,west hearth,Milo,inspect_memory,dry cloaks,v60:milo:care_favor:d006:s04,care favor,state observed without history rewrite,ssrm:v60:snapshot:d006:t00094,audit:v60:tick:00094:resident:milo,True,True
95,6,5,consequence,river gate,Sera,enter,map safe route,v60:sera:route_warning:d006:s05,route warning,state observed without history rewrite,ssrm:v60:snapshot:d006:t00095,audit:v60:tick:00095:resident:sera,True,True
96,6,6,save/restore,arrival court,Tovan,talk,rest after rain,v60:tovan:tool_loan:d006:s06,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d006:t00096,audit:v60:tick:00096:resident:tovan,True,True
97,6,7,audit replay,tool alcove,Nia,offer_help,recover focus,v60:nia:water_carry:d006:s07,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d006:t00097,audit:v60:tick:00097:resident:nia,True,True
98,6,8,arrival,rain court,Ari,return_tool,repair awning,v60:ari:repair_promise:d006:s08,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d006:t00098,audit:v60:tick:00098:resident:ari,True,True
99,6,9,movement,fiber loft,Fay,inspect_memory,sort herbs,v60:fay:missed_greeting:d006:s09,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d006:t00099,audit:v60:tick:00099:resident:fay,True,True
100,6,10,bounded conversation,west hearth,Milo,enter,carry water,v60:milo:care_favor:d006:s10,care favor,state observed without history rewrite,ssrm:v60:snapshot:d006:t00100,audit:v60:tick:00100:resident:milo,True,True
101,6,11,schedule/debt,river gate,Sera,talk,dry cloaks,v60:sera:route_warning:d006:s11,route warning,state observed without history rewrite,ssrm:v60:snapshot:d006:t00101,audit:v60:tick:00101:resident:sera,True,True
102,6,12,offscreen,arrival court,Tovan,offer_help,map safe route,v60:tovan:tool_loan:d006:s12,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d006:t00102,audit:v60:tick:00102:resident:tovan,True,True
103,6,13,consequence,tool alcove,Nia,return_tool,rest after rain,v60:nia:water_carry:d006:s13,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d006:t00103,audit:v60:tick:00103:resident:nia,True,True
104,6,14,save/restore,rain court,Ari,inspect_memory,recover focus,v60:ari:repair_promise:d006:s14,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d006:t00104,audit:v60:tick:00104:resident:ari,True,True
105,6,15,audit replay,fiber loft,Fay,enter,repair awning,v60:fay:missed_greeting:d006:s15,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d006:t00105,audit:v60:tick:00105:resident:fay,True,True
106,6,16,arrival,west hearth,Milo,talk,sort herbs,v60:milo:care_favor:d006:s16,care favor,state observed without history rewrite,ssrm:v60:snapshot:d006:t00106,audit:v60:tick:00106:resident:milo,True,True
107,6,17,movement,river gate,Sera,offer_help,carry water,v60:sera:route_warning:d006:s17,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d006:t00107,audit:v60:tick:00107:resident:sera,True,True
108,7,0,schedule/debt,tool alcove,Tovan,inspect_memory,map safe route,v60:tovan:water_carry:d007:s00,water carry,state observed without history rewrite,ssrm:v60:snapshot:d007:t00108,audit:v60:tick:00108:resident:tovan,True,True
109,7,1,offscreen,rain court,Nia,enter,rest after rain,v60:nia:repair_promise:d007:s01,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d007:t00109,audit:v60:tick:00109:resident:nia,True,True
110,7,2,consequence,fiber loft,Ari,talk,recover focus,v60:ari:missed_greeting:d007:s02,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d007:t00110,audit:v60:tick:00110:resident:ari,True,True
111,7,3,save/restore,west hearth,Fay,offer_help,repair awning,v60:fay:care_favor:d007:s03,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d007:t00111,audit:v60:tick:00111:resident:fay,True,True
112,7,4,audit replay,river gate,Milo,return_tool,sort herbs,v60:milo:route_warning:d007:s04,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d007:t00112,audit:v60:tick:00112:resident:milo,True,True
113,7,5,arrival,arrival court,Sera,inspect_memory,carry water,v60:sera:tool_loan:d007:s05,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d007:t00113,audit:v60:tick:00113:resident:sera,True,True
114,7,6,movement,tool alcove,Tovan,enter,dry cloaks,v60:tovan:water_carry:d007:s06,water carry,state observed without history rewrite,ssrm:v60:snapshot:d007:t00114,audit:v60:tick:00114:resident:tovan,True,True
115,7,7,bounded conversation,rain court,Nia,talk,map safe route,v60:nia:repair_promise:d007:s07,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d007:t00115,audit:v60:tick:00115:resident:nia,True,True
116,7,8,schedule/debt,fiber loft,Ari,offer_help,rest after rain,v60:ari:missed_greeting:d007:s08,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d007:t00116,audit:v60:tick:00116:resident:ari,True,True
117,7,9,offscreen,west hearth,Fay,return_tool,recover focus,v60:fay:care_favor:d007:s09,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d007:t00117,audit:v60:tick:00117:resident:fay,True,True
118,7,10,consequence,river gate,Milo,inspect_memory,repair awning,v60:milo:route_warning:d007:s10,route warning,state observed without history rewrite,ssrm:v60:snapshot:d007:t00118,audit:v60:tick:00118:resident:milo,True,True
119,7,11,save/restore,arrival court,Sera,enter,sort herbs,v60:sera:tool_loan:d007:s11,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d007:t00119,audit:v60:tick:00119:resident:sera,True,True
120,7,12,audit replay,tool alcove,Tovan,talk,carry water,v60:tovan:water_carry:d007:s12,water carry,state observed without history rewrite,ssrm:v60:snapshot:d007:t00120,audit:v60:tick:00120:resident:tovan,True,True
121,7,13,arrival,rain court,Nia,offer_help,dry cloaks,v60:nia:repair_promise:d007:s13,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d007:t00121,audit:v60:tick:00121:resident:nia,True,True
122,7,14,movement,fiber loft,Ari,return_tool,map safe route,v60:ari:missed_greeting:d007:s14,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d007:t00122,audit:v60:tick:00122:resident:ari,True,True
123,7,15,bounded conversation,west hearth,Fay,inspect_memory,rest after rain,v60:fay:care_favor:d007:s15,care favor,state observed without history rewrite,ssrm:v60:snapshot:d007:t00123,audit:v60:tick:00123:resident:fay,True,True
124,7,16,schedule/debt,river gate,Milo,enter,recover focus,v60:milo:route_warning:d007:s16,route warning,state observed without history rewrite,ssrm:v60:snapshot:d007:t00124,audit:v60:tick:00124:resident:milo,True,True
125,7,17,offscreen,arrival court,Sera,talk,repair awning,v60:sera:tool_loan:d007:s17,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d007:t00125,audit:v60:tick:00125:resident:sera,True,True
126,8,0,save/restore,rain court,Tovan,return_tool,carry water,v60:tovan:repair_promise:d008:s00,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d008:t00126,audit:v60:tick:00126:resident:tovan,True,True
127,8,1,audit replay,fiber loft,Nia,inspect_memory,dry cloaks,v60:nia:missed_greeting:d008:s01,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d008:t00127,audit:v60:tick:00127:resident:nia,True,True
128,8,2,arrival,west hearth,Ari,enter,map safe route,v60:ari:care_favor:d008:s02,care favor,state observed without history rewrite,ssrm:v60:snapshot:d008:t00128,audit:v60:tick:00128:resident:ari,True,True
