seed,session_id,branch_id,household,resident,reputation_delta,reason
36307,36307-HRS-01,36307-AHB-012-2,house_0,Milo,0.04,persisted
36307,36307-HRS-01,36307-AHB-012-3,house_1,Sera,0.04,warning_persisted
36307,36307-HRS-02,36307-AHB-011-1,house_3,Ari,0.01,ritual_warning
36307,36307-HRS-02,36307-AHB-011-2,house_0,Fay,-0.03,forgotten
36307,36307-HRS-02,36307-AHB-011-3,house_1,Milo,0.01,remembered_ritual
36307,36307-HRS-02,36307-AHB-012-1,house_3,Fay,-0.03,forgotten
36307,36307-HRS-02,36307-AHB-012-2,house_0,Milo,0.01,needs_maintenance
36307,36307-HRS-02,36307-AHB-012-3,house_1,Sera,0.01,ritual_warning
36307,36307-HRS-03,36307-AHB-011-1,house_3,Ari,0.04,warning_persisted
36307,36307-HRS-03,36307-AHB-011-2,house_0,Fay,-0.03,forgotten
36307,36307-HRS-03,36307-AHB-011-3,house_1,Milo,0.01,remembered_ritual
36307,36307-HRS-03,36307-AHB-012-1,house_3,Fay,-0.03,forgotten
36307,36307-HRS-03,36307-AHB-012-2,house_0,Milo,0.01,needs_maintenance
36307,36307-HRS-03,36307-AHB-012-3,house_1,Sera,0.04,warning_persisted
36319,36319-HRS-01,36319-AHB-013-1,house_3,Milo,0.01,burdened_ritual
36319,36319-HRS-01,36319-AHB-013-2,house_0,Sera,0.01,still_disputed
36319,36319-HRS-01,36319-AHB-013-3,house_1,Tovan,0.04,persisted
36319,36319-HRS-01,36319-AHB-014-1,house_3,Sera,0.04,warning_persisted
36319,36319-HRS-01,36319-AHB-014-2,house_0,Tovan,-0.03,forgotten
36319,36319-HRS-01,36319-AHB-014-3,house_1,Nia,0.01,remembered_ritual
36319,36319-HRS-02,36319-AHB-013-1,house_3,Milo,0.01,burdened_ritual
36319,36319-HRS-02,36319-AHB-013-2,house_0,Sera,-0.03,forgotten
36319,36319-HRS-02,36319-AHB-013-3,house_1,Tovan,0.04,persisted
36319,36319-HRS-02,36319-AHB-014-1,house_3,Sera,0.01,ritual_warning
36319,36319-HRS-02,36319-AHB-014-2,house_0,Tovan,-0.03,forgotten
36319,36319-HRS-02,36319-AHB-014-3,house_1,Nia,0.01,remembered_ritual
36319,36319-HRS-03,36319-AHB-013-1,house_3,Milo,0.01,burdened_ritual
36319,36319-HRS-03,36319-AHB-013-2,house_0,Sera,-0.03,forgotten
36319,36319-HRS-03,36319-AHB-013-3,house_1,Tovan,0.04,persisted
36319,36319-HRS-03,36319-AHB-014-1,house_3,Sera,0.04,warning_persisted
36319,36319-HRS-03,36319-AHB-014-2,house_0,Tovan,-0.03,forgotten
36319,36319-HRS-03,36319-AHB-014-3,house_1,Nia,0.01,remembered_ritual
36343,36343-HRS-01,36343-AHB-015-1,house_3,Tovan,0.04,warning_persisted
36343,36343-HRS-01,36343-AHB-015-2,house_0,Nia,-0.03,forgotten
36343,36343-HRS-01,36343-AHB-015-3,house_1,Ari,0.01,remembered_ritual
36343,36343-HRS-01,36343-AHB-016-1,house_3,Nia,0.01,still_disputed
36343,36343-HRS-01,36343-AHB-016-2,house_0,Ari,0.04,persisted
36343,36343-HRS-01,36343-AHB-016-3,house_1,Fay,0.04,warning_persisted
36343,36343-HRS-02,36343-AHB-015-1,house_3,Tovan,0.01,ritual_warning
36343,36343-HRS-02,36343-AHB-015-2,house_0,Nia,-0.03,forgotten
36343,36343-HRS-02,36343-AHB-015-3,house_1,Ari,0.01,remembered_ritual
36343,36343-HRS-02,36343-AHB-016-1,house_3,Nia,-0.03,forgotten
36343,36343-HRS-02,36343-AHB-016-2,house_0,Ari,0.01,needs_maintenance
36343,36343-HRS-02,36343-AHB-016-3,house_1,Fay,0.01,ritual_warning
36343,36343-HRS-03,36343-AHB-015-1,house_3,Tovan,0.04,warning_persisted
36343,36343-HRS-03,36343-AHB-015-2,house_0,Nia,-0.03,forgotten
36343,36343-HRS-03,36343-AHB-015-3,house_1,Ari,0.01,remembered_ritual
36343,36343-HRS-03,36343-AHB-016-1,house_3,Nia,-0.03,forgotten
36343,36343-HRS-03,36343-AHB-016-2,house_0,Ari,0.01,needs_maintenance
36343,36343-HRS-03,36343-AHB-016-3,house_1,Fay,0.04,warning_persisted
