tick,day,active_agents,branch_ids,selected_branch_count,simultaneous_consequence_count,persisted_branch_count,local_storage_key,reload_token,concurrency_ok
43,6,Keth|Nari,routeline:protect:6:3|ledgerline:claim:6:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-6-43,1
44,6,Melo|Ori,marketline:protect:6:4|orchardline:claim:6:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-6-44,1
45,6,Nari|Vonn|Keth,ledgerline:protect:6:5|rainline:claim:6:0|routeline:witness:6:2,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-6-45,1
46,6,Ori|Sova,orchardline:protect:6:6|hearthline:claim:6:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-6-46,1
47,6,Vonn|Keth,rainline:protect:6:7|routeline:claim:6:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-6-47,1
48,7,Sova|Melo,hearthline:protect:7:0|marketline:claim:7:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-7-48,1
49,7,Keth|Nari,routeline:protect:7:1|ledgerline:claim:7:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-7-49,1
50,7,Melo|Ori|Sova,marketline:protect:7:2|orchardline:claim:7:5|hearthline:witness:7:7,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-7-50,1
51,7,Nari|Vonn,ledgerline:protect:7:3|rainline:claim:7:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-7-51,1
52,7,Ori|Sova,orchardline:protect:7:4|hearthline:claim:7:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-7-52,1
53,7,Vonn|Keth,rainline:protect:7:5|routeline:claim:7:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-7-53,1
54,7,Sova|Melo,hearthline:protect:7:6|marketline:claim:7:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-7-54,1
55,7,Keth|Nari|Vonn,routeline:protect:7:7|ledgerline:claim:7:2|rainline:witness:7:4,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-7-55,1
56,8,Melo|Ori,marketline:protect:8:0|orchardline:claim:8:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-8-56,1
57,8,Nari|Vonn,ledgerline:protect:8:1|rainline:claim:8:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-8-57,1
58,8,Ori|Sova,orchardline:protect:8:2|hearthline:claim:8:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-8-58,1
59,8,Vonn|Keth,rainline:protect:8:3|routeline:claim:8:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-8-59,1
60,8,Sova|Melo|Ori,hearthline:protect:8:4|marketline:claim:8:7|orchardline:witness:8:1,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-8-60,1
61,8,Keth|Nari,routeline:protect:8:5|ledgerline:claim:8:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-8-61,1
62,8,Melo|Ori,marketline:protect:8:6|orchardline:claim:8:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-8-62,1
63,8,Nari|Vonn,ledgerline:protect:8:7|rainline:claim:8:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-8-63,1
64,9,Ori|Sova,orchardline:protect:9:0|hearthline:claim:9:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-9-64,1
65,9,Vonn|Keth|Nari,rainline:protect:9:1|routeline:claim:9:4|ledgerline:witness:9:6,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-9-65,1
66,9,Sova|Melo,hearthline:protect:9:2|marketline:claim:9:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-9-66,1
67,9,Keth|Nari,routeline:protect:9:3|ledgerline:claim:9:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-9-67,1
68,9,Melo|Ori,marketline:protect:9:4|orchardline:claim:9:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-9-68,1
69,9,Nari|Vonn,ledgerline:protect:9:5|rainline:claim:9:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-9-69,1
70,9,Ori|Sova|Melo,orchardline:protect:9:6|hearthline:claim:9:1|marketline:witness:9:3,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-9-70,1
71,9,Vonn|Keth,rainline:protect:9:7|routeline:claim:9:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-9-71,1
72,10,Sova|Melo,hearthline:protect:10:0|marketline:claim:10:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-10-72,1
73,10,Keth|Nari,routeline:protect:10:1|ledgerline:claim:10:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-10-73,1
74,10,Melo|Ori,marketline:protect:10:2|orchardline:claim:10:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-10-74,1
75,10,Nari|Vonn|Keth,ledgerline:protect:10:3|rainline:claim:10:6|routeline:witness:10:0,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-10-75,1
76,10,Ori|Sova,orchardline:protect:10:4|hearthline:claim:10:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-10-76,1
77,10,Vonn|Keth,rainline:protect:10:5|routeline:claim:10:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-10-77,1
78,10,Sova|Melo,hearthline:protect:10:6|marketline:claim:10:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-10-78,1
79,10,Keth|Nari,routeline:protect:10:7|ledgerline:claim:10:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-10-79,1
80,11,Melo|Ori|Sova,marketline:protect:11:0|orchardline:claim:11:3|hearthline:witness:11:5,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-11-80,1
81,11,Nari|Vonn,ledgerline:protect:11:1|rainline:claim:11:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-11-81,1
82,11,Ori|Sova,orchardline:protect:11:2|hearthline:claim:11:5,2,2,1,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-11-82,0
83,11,Vonn|Keth,rainline:protect:11:3|routeline:claim:11:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-11-83,1
84,11,Sova|Melo,hearthline:protect:11:4|marketline:claim:11:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-11-84,1
85,11,Keth|Nari|Vonn,routeline:protect:11:5|ledgerline:claim:11:0|rainline:witness:11:2,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-11-85,1
86,11,Melo|Ori,marketline:protect:11:6|orchardline:claim:11:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-11-86,1
87,11,Nari|Vonn,ledgerline:protect:11:7|rainline:claim:11:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-11-87,1
88,12,Ori|Sova,orchardline:protect:12:0|hearthline:claim:12:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-12-88,1
89,12,Vonn|Keth,rainline:protect:12:1|routeline:claim:12:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-12-89,1
90,12,Sova|Melo|Ori,hearthline:protect:12:2|marketline:claim:12:5|orchardline:witness:12:7,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-12-90,1
91,12,Keth|Nari,routeline:protect:12:3|ledgerline:claim:12:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-12-91,1
92,12,Melo|Ori,marketline:protect:12:4|orchardline:claim:12:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-12-92,1
93,12,Nari|Vonn,ledgerline:protect:12:5|rainline:claim:12:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-12-93,1
94,12,Ori|Sova,orchardline:protect:12:6|hearthline:claim:12:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-12-94,1
95,12,Vonn|Keth|Nari,rainline:protect:12:7|routeline:claim:12:2|ledgerline:witness:12:4,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-12-95,1
96,13,Sova|Melo,hearthline:protect:13:0|marketline:claim:13:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-13-96,1
97,13,Keth|Nari,routeline:protect:13:1|ledgerline:claim:13:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-13-97,1
98,13,Melo|Ori,marketline:protect:13:2|orchardline:claim:13:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-13-98,1
99,13,Nari|Vonn,ledgerline:protect:13:3|rainline:claim:13:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-13-99,1
100,13,Ori|Sova|Melo,orchardline:protect:13:4|hearthline:claim:13:7|marketline:witness:13:1,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-13-100,1
101,13,Vonn|Keth,rainline:protect:13:5|routeline:claim:13:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-13-101,1
102,13,Sova|Melo,hearthline:protect:13:6|marketline:claim:13:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-13-102,1
103,13,Keth|Nari,routeline:protect:13:7|ledgerline:claim:13:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-13-103,1
104,14,Melo|Ori,marketline:protect:14:0|orchardline:claim:14:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-14-104,1
105,14,Nari|Vonn|Keth,ledgerline:protect:14:1|rainline:claim:14:4|routeline:witness:14:6,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-14-105,1
106,14,Ori|Sova,orchardline:protect:14:2|hearthline:claim:14:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-14-106,1
107,14,Vonn|Keth,rainline:protect:14:3|routeline:claim:14:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-14-107,1
108,14,Sova|Melo,hearthline:protect:14:4|marketline:claim:14:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-14-108,1
109,14,Keth|Nari,routeline:protect:14:5|ledgerline:claim:14:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-14-109,1
110,14,Melo|Ori|Sova,marketline:protect:14:6|orchardline:claim:14:1|hearthline:witness:14:3,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-14-110,1
111,14,Nari|Vonn,ledgerline:protect:14:7|rainline:claim:14:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-14-111,1
112,15,Ori|Sova,orchardline:protect:15:0|hearthline:claim:15:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-15-112,1
113,15,Vonn|Keth,rainline:protect:15:1|routeline:claim:15:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-15-113,1
114,15,Sova|Melo,hearthline:protect:15:2|marketline:claim:15:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-15-114,1
115,15,Keth|Nari|Vonn,routeline:protect:15:3|ledgerline:claim:15:6|rainline:witness:15:0,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-15-115,1
116,15,Melo|Ori,marketline:protect:15:4|orchardline:claim:15:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-15-116,1
117,15,Nari|Vonn,ledgerline:protect:15:5|rainline:claim:15:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-15-117,1
118,15,Ori|Sova,orchardline:protect:15:6|hearthline:claim:15:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-15-118,1
119,15,Vonn|Keth,rainline:protect:15:7|routeline:claim:15:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-15-119,1
120,16,Sova|Melo|Ori,hearthline:protect:16:0|marketline:claim:16:3|orchardline:witness:16:5,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-16-120,1
121,16,Keth|Nari,routeline:protect:16:1|ledgerline:claim:16:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-16-121,1
122,16,Melo|Ori,marketline:protect:16:2|orchardline:claim:16:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-16-122,1
123,16,Nari|Vonn,ledgerline:protect:16:3|rainline:claim:16:6,2,2,1,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-16-123,0
124,16,Ori|Sova,orchardline:protect:16:4|hearthline:claim:16:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-16-124,1
125,16,Vonn|Keth|Nari,rainline:protect:16:5|routeline:claim:16:0|ledgerline:witness:16:2,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-16-125,1
126,16,Sova|Melo,hearthline:protect:16:6|marketline:claim:16:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-16-126,1
127,16,Keth|Nari,routeline:protect:16:7|ledgerline:claim:16:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-16-127,1
128,17,Melo|Ori,marketline:protect:17:0|orchardline:claim:17:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-17-128,1
129,17,Nari|Vonn,ledgerline:protect:17:1|rainline:claim:17:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-17-129,1
130,17,Ori|Sova|Melo,orchardline:protect:17:2|hearthline:claim:17:5|marketline:witness:17:7,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-17-130,1
131,17,Vonn|Keth,rainline:protect:17:3|routeline:claim:17:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-17-131,1
132,17,Sova|Melo,hearthline:protect:17:4|marketline:claim:17:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-17-132,1
133,17,Keth|Nari,routeline:protect:17:5|ledgerline:claim:17:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-17-133,1
134,17,Melo|Ori,marketline:protect:17:6|orchardline:claim:17:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-17-134,1
135,17,Nari|Vonn|Keth,ledgerline:protect:17:7|rainline:claim:17:2|routeline:witness:17:4,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-17-135,1
136,18,Ori|Sova,orchardline:protect:18:0|hearthline:claim:18:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-18-136,1
137,18,Vonn|Keth,rainline:protect:18:1|routeline:claim:18:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-18-137,1
138,18,Sova|Melo,hearthline:protect:18:2|marketline:claim:18:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-18-138,1
139,18,Keth|Nari,routeline:protect:18:3|ledgerline:claim:18:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-18-139,1
140,18,Melo|Ori|Sova,marketline:protect:18:4|orchardline:claim:18:7|hearthline:witness:18:1,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-18-140,1
141,18,Nari|Vonn,ledgerline:protect:18:5|rainline:claim:18:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-18-141,1
142,18,Ori|Sova,orchardline:protect:18:6|hearthline:claim:18:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-18-142,1
143,18,Vonn|Keth,rainline:protect:18:7|routeline:claim:18:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-18-143,1
144,19,Sova|Melo,hearthline:protect:19:0|marketline:claim:19:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-19-144,1
145,19,Keth|Nari|Vonn,routeline:protect:19:1|ledgerline:claim:19:4|rainline:witness:19:6,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-19-145,1
146,19,Melo|Ori,marketline:protect:19:2|orchardline:claim:19:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-19-146,1
147,19,Nari|Vonn,ledgerline:protect:19:3|rainline:claim:19:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-19-147,1
148,19,Ori|Sova,orchardline:protect:19:4|hearthline:claim:19:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-19-148,1
149,19,Vonn|Keth,rainline:protect:19:5|routeline:claim:19:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-19-149,1
150,19,Sova|Melo|Ori,hearthline:protect:19:6|marketline:claim:19:1|orchardline:witness:19:3,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-19-150,1
151,19,Keth|Nari,routeline:protect:19:7|ledgerline:claim:19:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-19-151,1
152,20,Melo|Ori,marketline:protect:20:0|orchardline:claim:20:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-20-152,1
153,20,Nari|Vonn,ledgerline:protect:20:1|rainline:claim:20:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-20-153,1
154,20,Ori|Sova,orchardline:protect:20:2|hearthline:claim:20:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-20-154,1
155,20,Vonn|Keth|Nari,rainline:protect:20:3|routeline:claim:20:6|ledgerline:witness:20:0,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-20-155,1
156,20,Sova|Melo,hearthline:protect:20:4|marketline:claim:20:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-20-156,1
