tick,day,lineage,agent,energy,fatigue,hunger,thirst,cold,wetness,pain,comfort,dominant_need,recovery_action,behavior_marker,need_to_behavior_binding
14,1,Routeline,Keth,0.727552,0.299336,0.26,0.254336,0.0,0.204504,0.06,0.743515,fatigue,rest_recover or shorten route,slower gait and lower voice,True
15,2,Ledgerline,Nari,0.7674,0.27945,0.28,0.28445,0.0,0.213783,0.06,0.748353,thirst,water pause or care round,looks toward cup shelf,True
16,2,Orchardline,Ori,0.845078,0.213691,0.24,0.299691,0.0,0.23078,0.014,0.78851,thirst,water pause or care round,looks toward cup shelf,True
17,2,Rainline,Vonn,0.801461,0.323905,0.3,0.318905,0.0,0.450247,0.072,0.734003,fatigue,rest_recover or shorten route,slower gait and lower voice,True
18,2,Hearthline,Sova,0.706007,0.280494,0.26,0.252494,0.0,0.211755,0.05,0.747008,fatigue,rest_recover or shorten route,slower gait and lower voice,True
19,2,Routeline,Keth,0.725945,0.300542,0.27,0.267542,0.0,0.200967,0.06,0.740232,fatigue,rest_recover or shorten route,slower gait and lower voice,True
20,2,Marketline,Melo,0.747633,0.319276,0.27,0.269276,0.0,0.197166,0.05,0.740798,fatigue,rest_recover or shorten route,slower gait and lower voice,True
21,2,Ledgerline,Nari,0.765694,0.28073,0.29,0.29773,0.0,0.213306,0.06,0.745029,thirst,water pause or care round,looks toward cup shelf,True
22,2,Orchardline,Ori,0.829402,0.232948,0.25,0.312948,0.0,0.209452,0.014,0.778779,thirst,water pause or care round,looks toward cup shelf,True
23,2,Rainline,Vonn,0.798152,0.326386,0.31,0.333386,0.0,0.413623,0.072,0.730018,thirst,water pause or care round,looks toward cup shelf,True
24,2,Hearthline,Sova,0.690502,0.299624,0.27,0.265624,0.0,0.188191,0.05,0.737347,fatigue,rest_recover or shorten route,slower gait and lower voice,True
25,2,Routeline,Keth,0.710565,0.319576,0.28,0.280576,0.0,0.172473,0.06,0.730623,fatigue,rest_recover or shorten route,slower gait and lower voice,True
26,2,Marketline,Melo,0.746319,0.320261,0.28,0.282261,0.0,0.164195,0.05,0.737637,fatigue,rest_recover or shorten route,slower gait and lower voice,True
27,2,Ledgerline,Nari,0.750335,0.299748,0.3,0.310748,0.0,0.169794,0.06,0.735428,thirst,water pause or care round,looks toward cup shelf,True
28,2,Orchardline,Ori,0.850095,0.199928,0.235,0.325928,0.0,0.163389,0.0,0.793129,thirst,water pause or care round,looks toward cup shelf,True
29,3,Hearthline,Sova,0.689467,0.3004,0.28,0.2784,0.0,0.129339,0.05,0.7343,fatigue,rest_recover or shorten route,slower gait and lower voice,True
30,3,Routeline,Keth,0.70956,0.32033,0.29,0.29333,0.0,0.125577,0.06,0.727589,fatigue,rest_recover or shorten route,slower gait and lower voice,True
31,3,Marketline,Melo,0.731363,0.338978,0.29,0.294978,0.0,0.119476,0.05,0.728202,fatigue,rest_recover or shorten route,slower gait and lower voice,True
32,3,Ledgerline,Nari,0.749354,0.300484,0.31,0.323484,0.0,0.12262,0.06,0.732404,thirst,water pause or care round,looks toward cup shelf,True
33,3,Orchardline,Ori,0.835207,0.218594,0.245,0.338594,0.0,0.110998,0.0,0.783723,thirst,water pause or care round,looks toward cup shelf,True
34,3,Rainline,Vonn,0.795501,0.328374,0.32,0.347374,0.0,0.33129,0.072,0.726304,thirst,water pause or care round,looks toward cup shelf,True
35,3,Hearthline,Sova,0.674792,0.318906,0.29,0.290906,0.0,0.084418,0.05,0.724982,fatigue,rest_recover or shorten route,slower gait and lower voice,True
36,3,Routeline,Keth,0.694972,0.338771,0.3,0.305771,0.0,0.073513,0.06,0.718306,fatigue,rest_recover or shorten route,slower gait and lower voice,True
37,3,Marketline,Melo,0.730865,0.339351,0.3,0.307351,0.0,0.062262,0.05,0.725377,fatigue,rest_recover or shorten route,slower gait and lower voice,True
38,3,Ledgerline,Nari,0.734882,0.318838,0.32,0.335838,0.0,0.059033,0.06,0.723169,thirst,water pause or care round,looks toward cup shelf,True
39,3,Orchardline,Ori,0.856767,0.184925,0.23,0.350925,0.0,0.055049,0.0,0.795631,thirst,water pause or care round,looks toward cup shelf,True
40,3,Rainline,Vonn,0.779141,0.348144,0.33,0.361144,0.0,0.295049,0.072,0.716291,thirst,water pause or care round,looks toward cup shelf,True
41,3,Hearthline,Sova,0.674396,0.319203,0.3,0.303203,0.0,0.049546,0.05,0.722198,fatigue,rest_recover or shorten route,slower gait and lower voice,True
42,3,Routeline,Keth,0.69475,0.338938,0.31,0.317938,0.0,0.027792,0.06,0.715594,fatigue,rest_recover or shorten route,slower gait and lower voice,True
43,4,Ledgerline,Nari,0.734674,0.318995,0.33,0.347995,0.0,0.026059,0.06,0.720463,thirst,water pause or care round,looks toward cup shelf,True
44,4,Orchardline,Ori,0.842565,0.203077,0.24,0.363077,0.0,0.025293,0.0,0.786508,thirst,water pause or care round,looks toward cup shelf,True
45,4,Rainline,Vonn,0.777212,0.349591,0.34,0.374591,0.0,0.24115,0.072,0.712875,thirst,water pause or care round,looks toward cup shelf,True
46,4,Hearthline,Sova,0.660175,0.337369,0.31,0.315369,0.0,0.027589,0.05,0.713067,fatigue,rest_recover or shorten route,slower gait and lower voice,True
47,4,Routeline,Keth,0.680631,0.357026,0.32,0.330026,0.0,0.014794,0.06,0.706505,fatigue,rest_recover or shorten route,slower gait and lower voice,True
48,4,Marketline,Melo,0.730751,0.339437,0.31,0.319437,0.0,0.014272,0.05,0.72271,fatigue,rest_recover or shorten route,slower gait and lower voice,True
49,4,Ledgerline,Nari,0.72059,0.337058,0.34,0.360058,0.0,0.01052,0.06,0.711388,thirst,water pause or care round,looks toward cup shelf,True
50,4,Orchardline,Ori,0.864401,0.169199,0.225,0.375199,0.0,0.02044,0.0,0.79853,thirst,water pause or care round,looks toward cup shelf,True
51,4,Rainline,Vonn,0.761179,0.369116,0.35,0.388116,0.0,0.254109,0.072,0.702996,thirst,water pause or care round,looks toward cup shelf,True
52,4,Hearthline,Sova,0.660019,0.337486,0.32,0.327486,0.0,0.019529,0.05,0.710383,fatigue,rest_recover or shorten route,slower gait and lower voice,True
53,4,Routeline,Keth,0.680405,0.357197,0.33,0.342197,0.0,0.028344,0.06,0.703792,fatigue,rest_recover or shorten route,slower gait and lower voice,True
54,4,Marketline,Melo,0.716363,0.357728,0.32,0.331728,0.0,0.048515,0.05,0.71351,fatigue,rest_recover or shorten route,slower gait and lower voice,True
55,4,Ledgerline,Nari,0.720273,0.337295,0.35,0.372295,0.0,0.039608,0.06,0.708638,thirst,water pause or care round,looks toward cup shelf,True
56,4,Orchardline,Ori,0.850047,0.187464,0.235,0.387464,0.0,0.04421,0.0,0.789345,thirst,water pause or care round,looks toward cup shelf,True
57,5,Hearthline,Sova,0.645448,0.355914,0.33,0.339914,0.0,0.071273,0.05,0.701107,fatigue,rest_recover or shorten route,slower gait and lower voice,True
58,5,Routeline,Keth,0.66597,0.375523,0.34,0.354523,0.0,0.054332,0.06,0.694573,fatigue,rest_recover or shorten route,slower gait and lower voice,True
59,5,Marketline,Melo,0.715662,0.358253,0.33,0.344253,0.0,0.087552,0.05,0.710601,fatigue,rest_recover or shorten route,slower gait and lower voice,True
60,5,Ledgerline,Nari,0.70563,0.355777,0.36,0.384777,0.0,0.080341,0.06,0.699332,thirst,water pause or care round,looks toward cup shelf,True
61,5,Orchardline,Ori,0.871284,0.154037,0.22,0.400037,0.0,0.095399,0.0,0.80112,thirst,water pause or care round,looks toward cup shelf,True
62,5,Rainline,Vonn,0.74443,0.389177,0.36,0.402177,0.0,0.343581,0.078,0.691622,thirst,water pause or care round,looks toward cup shelf,True
63,5,Hearthline,Sova,0.644678,0.356491,0.34,0.352491,0.0,0.096275,0.05,0.69817,fatigue,rest_recover or shorten route,slower gait and lower voice,True
64,5,Routeline,Keth,0.664903,0.376323,0.35,0.367323,0.0,0.133394,0.06,0.691512,fatigue,rest_recover or shorten route,slower gait and lower voice,True
65,5,Marketline,Melo,0.700554,0.377084,0.34,0.357084,0.0,0.138549,0.05,0.701104,fatigue,rest_recover or shorten route,slower gait and lower voice,True
66,5,Ledgerline,Nari,0.704573,0.356571,0.37,0.397571,0.0,0.13217,0.06,0.696276,thirst,water pause or care round,looks toward cup shelf,True
67,5,Orchardline,Ori,0.856034,0.172974,0.23,0.412974,0.0,0.156242,0.0,0.791564,thirst,water pause or care round,looks toward cup shelf,True
68,5,Rainline,Vonn,0.741314,0.391514,0.37,0.416514,0.0,0.389472,0.078,0.687717,thirst,water pause or care round,looks toward cup shelf,True
69,5,Hearthline,Sova,0.629292,0.375531,0.35,0.365531,0.0,0.173286,0.05,0.688558,fatigue,rest_recover or shorten route,slower gait and lower voice,True
70,5,Routeline,Keth,0.649464,0.395402,0.36,0.380402,0.0,0.179807,0.06,0.681879,fatigue,rest_recover or shorten route,slower gait and lower voice,True
71,6,Ledgerline,Nari,0.689174,0.37562,0.38,0.41062,0.0,0.174841,0.06,0.686659,thirst,water pause or care round,looks toward cup shelf,True
72,6,Orchardline,Ori,0.876578,0.140067,0.215,0.426067,0.0,0.182081,0.0,0.803053,thirst,water pause or care round,looks toward cup shelf,True
73,6,Rainline,Vonn,0.723829,0.412128,0.38,0.431128,0.0,0.435642,0.084,0.67604,thirst,water pause or care round,looks toward cup shelf,True
74,6,Hearthline,Sova,0.627571,0.376822,0.36,0.378822,0.0,0.215154,0.05,0.685228,thirst,water pause or care round,looks toward cup shelf,True
75,6,Routeline,Keth,0.647738,0.396696,0.37,0.393696,0.0,0.215774,0.06,0.678547,fatigue,rest_recover or shorten route,slower gait and lower voice,True
76,6,Marketline,Melo,0.684771,0.396422,0.35,0.370422,0.0,0.222898,0.05,0.691328,fatigue,rest_recover or shorten route,slower gait and lower voice,True
77,6,Ledgerline,Nari,0.687518,0.376861,0.39,0.423861,0.0,0.206952,0.06,0.683356,thirst,water pause or care round,looks toward cup shelf,True
78,6,Orchardline,Ori,0.860842,0.159369,0.225,0.439369,0.0,0.216983,0.0,0.793297,thirst,water pause or care round,looks toward cup shelf,True
79,6,Rainline,Vonn,0.720306,0.41477,0.39,0.44577,0.0,0.440377,0.084,0.671966,thirst,water pause or care round,looks toward cup shelf,True
80,6,Hearthline,Sova,0.611747,0.39619,0.37,0.39219,0.0,0.22793,0.05,0.675436,fatigue,rest_recover or shorten route,slower gait and lower voice,True
81,6,Routeline,Keth,0.632022,0.415984,0.38,0.406984,0.0,0.214532,0.06,0.668799,fatigue,rest_recover or shorten route,slower gait and lower voice,True
82,6,Marketline,Melo,0.683093,0.39768,0.36,0.38368,0.0,0.209764,0.05,0.688016,fatigue,rest_recover or shorten route,slower gait and lower voice,True
83,6,Ledgerline,Nari,0.67174,0.396195,0.4,0.437195,0.0,0.222279,0.06,0.673583,thirst,water pause or care round,looks toward cup shelf,True
84,6,Orchardline,Ori,0.88118,0.126615,0.21,0.452615,0.0,0.207687,0.0,0.804702,thirst,water pause or care round,looks toward cup shelf,True
85,7,Hearthline,Sova,0.610203,0.397348,0.38,0.405348,0.0,0.193075,0.05,0.672179,thirst,water pause or care round,looks toward cup shelf,True
86,7,Routeline,Keth,0.630318,0.417262,0.39,0.420262,0.0,0.213017,0.06,0.665476,thirst,water pause or care round,looks toward cup shelf,True
87,7,Marketline,Melo,0.667499,0.416875,0.37,0.396875,0.0,0.199174,0.05,0.678318,fatigue,rest_recover or shorten route,slower gait and lower voice,True
88,7,Ledgerline,Nari,0.670324,0.397257,0.41,0.450257,0.0,0.177021,0.06,0.670379,thirst,water pause or care round,looks toward cup shelf,True
89,7,Orchardline,Ori,0.865788,0.145659,0.22,0.465659,0.0,0.17402,0.0,0.795088,thirst,water pause or care round,looks toward cup shelf,True
90,7,Rainline,Vonn,0.717015,0.417239,0.4,0.460239,0.0,0.411449,0.084,0.667989,thirst,water pause or care round,looks toward cup shelf,True
91,7,Hearthline,Sova,0.594868,0.416349,0.39,0.418349,0.0,0.166833,0.05,0.662588,thirst,water pause or care round,looks toward cup shelf,True
92,7,Routeline,Keth,0.615132,0.436151,0.4,0.433151,0.0,0.148252,0.06,0.655947,fatigue,rest_recover or shorten route,slower gait and lower voice,True
93,7,Marketline,Melo,0.666322,0.417759,0.38,0.409759,0.0,0.14719,0.05,0.675213,fatigue,rest_recover or shorten route,slower gait and lower voice,True
94,7,Ledgerline,Nari,0.655112,0.416166,0.42,0.463166,0.0,0.151447,0.06,0.660839,thirst,water pause or care round,looks toward cup shelf,True
95,7,Orchardline,Ori,0.886663,0.112503,0.205,0.478503,0.0,0.140679,0.0,0.806713,thirst,water pause or care round,looks toward cup shelf,True
96,7,Rainline,Vonn,0.700172,0.437371,0.41,0.474371,0.0,0.35537,0.09,0.656576,thirst,water pause or care round,looks toward cup shelf,True
97,7,Hearthline,Sova,0.593837,0.417123,0.4,0.431123,0.0,0.128918,0.05,0.659543,thirst,water pause or care round,looks toward cup shelf,True
98,7,Routeline,Keth,0.614157,0.436882,0.41,0.445882,0.0,0.121855,0.06,0.652925,thirst,water pause or care round,looks toward cup shelf,True
99,8,Ledgerline,Nari,0.654401,0.4167,0.43,0.4757,0.0,0.08896,0.06,0.657925,thirst,water pause or care round,looks toward cup shelf,True
100,8,Orchardline,Ori,0.872,0.131,0.215,0.491,0.0,0.082866,0.0,0.7974,thirst,water pause or care round,looks toward cup shelf,True
101,8,Rainline,Vonn,0.697765,0.439176,0.42,0.488176,0.0,0.30087,0.09,0.652963,thirst,water pause or care round,looks toward cup shelf,True
102,8,Hearthline,Sova,0.579341,0.435495,0.41,0.443495,0.0,0.062007,0.05,0.650298,thirst,water pause or care round,looks toward cup shelf,True
103,8,Routeline,Keth,0.599717,0.455212,0.42,0.458212,0.0,0.054966,0.06,0.643703,thirst,water pause or care round,looks toward cup shelf,True
104,8,Marketline,Melo,0.665833,0.418125,0.39,0.422125,0.0,0.061146,0.05,0.672391,thirst,water pause or care round,looks toward cup shelf,True
105,8,Ledgerline,Nari,0.640078,0.434942,0.44,0.487942,0.0,0.04034,0.06,0.648752,thirst,water pause or care round,looks toward cup shelf,True
106,8,Orchardline,Ori,0.893778,0.097166,0.2,0.503166,0.0,0.027672,0.0,0.809399,thirst,water pause or care round,looks toward cup shelf,True
107,8,Rainline,Vonn,0.681685,0.458736,0.43,0.501736,0.0,0.259992,0.09,0.643065,thirst,water pause or care round,looks toward cup shelf,True
108,8,Hearthline,Sova,0.579102,0.435673,0.42,0.455673,0.0,0.029785,0.05,0.64758,thirst,water pause or care round,looks toward cup shelf,True
109,8,Routeline,Keth,0.599484,0.455387,0.43,0.470387,0.0,0.029106,0.06,0.640987,thirst,water pause or care round,looks toward cup shelf,True
110,8,Marketline,Melo,0.651595,0.436304,0.4,0.434304,0.0,0.029697,0.05,0.663253,fatigue,rest_recover or shorten route,slower gait and lower voice,True
111,8,Ledgerline,Nari,0.639883,0.435088,0.45,0.500088,0.0,0.024355,0.06,0.646052,thirst,water pause or care round,looks toward cup shelf,True
112,8,Orchardline,Ori,0.879636,0.115273,0.21,0.515273,0.0,0.017814,0.0,0.8003,thirst,water pause or care round,looks toward cup shelf,True
113,9,Hearthline,Sova,0.56497,0.453772,0.43,0.467772,0.0,0.016528,0.05,0.638485,thirst,water pause or care round,looks toward cup shelf,True
114,9,Routeline,Keth,0.585209,0.473593,0.44,0.482593,0.0,0.034416,0.06,0.631834,thirst,water pause or care round,looks toward cup shelf,True
115,9,Marketline,Melo,0.651451,0.436411,0.41,0.446411,0.0,0.017954,0.05,0.660574,thirst,water pause or care round,looks toward cup shelf,True
116,9,Ledgerline,Nari,0.625721,0.453209,0.46,0.512209,0.0,0.020299,0.06,0.636945,thirst,water pause or care round,looks toward cup shelf,True
117,9,Orchardline,Ori,0.9013,0.081525,0.195,0.527525,0.0,0.04198,0.0,0.812251,thirst,water pause or care round,looks toward cup shelf,True
118,9,Rainline,Vonn,0.665635,0.478274,0.44,0.515274,0.0,0.256247,0.09,0.633179,thirst,water pause or care round,looks toward cup shelf,True
119,9,Hearthline,Sova,0.564734,0.45395,0.44,0.47995,0.0,0.029565,0.05,0.635768,thirst,water pause or care round,looks toward cup shelf,True
120,9,Routeline,Keth,0.584741,0.473944,0.45,0.494944,0.0,0.058494,0.06,0.629021,thirst,water pause or care round,looks toward cup shelf,True
121,9,Marketline,Melo,0.637138,0.454647,0.42,0.458647,0.0,0.039224,0.05,0.651404,thirst,water pause or care round,looks toward cup shelf,True
122,9,Ledgerline,Nari,0.625244,0.453567,0.47,0.524567,0.0,0.059638,0.06,0.634128,thirst,water pause or care round,looks toward cup shelf,True
123,9,Orchardline,Ori,0.886839,0.099871,0.205,0.539871,0.0,0.057607,0.0,0.803021,thirst,water pause or care round,looks toward cup shelf,True
124,9,Rainline,Vonn,0.663272,0.480046,0.45,0.529046,0.0,0.295376,0.09,0.629585,thirst,water pause or care round,looks toward cup shelf,True
125,9,Hearthline,Sova,0.550032,0.472476,0.45,0.492476,0.0,0.087725,0.05,0.626438,thirst,water pause or care round,looks toward cup shelf,True
126,9,Routeline,Keth,0.570108,0.492419,0.46,0.507419,0.0,0.079085,0.06,0.61972,thirst,water pause or care round,looks toward cup shelf,True
127,10,Ledgerline,Nari,0.610436,0.472173,0.48,0.537173,0.0,0.100901,0.06,0.624755,thirst,water pause or care round,looks toward cup shelf,True
128,10,Orchardline,Ori,0.907899,0.066576,0.19,0.552576,0.0,0.117529,0.0,0.814723,thirst,water pause or care round,looks toward cup shelf,True
129,10,Rainline,Vonn,0.646414,0.50019,0.46,0.54319,0.0,0.357241,0.096,0.618166,thirst,water pause or care round,looks toward cup shelf,True
130,10,Hearthline,Sova,0.548838,0.473372,0.46,0.505372,0.0,0.149255,0.05,0.623326,thirst,water pause or care round,looks toward cup shelf,True
131,10,Routeline,Keth,0.568935,0.493299,0.47,0.520299,0.0,0.146692,0.06,0.616616,thirst,water pause or care round,looks toward cup shelf,True
132,10,Marketline,Melo,0.621828,0.473629,0.43,0.471629,0.0,0.163682,0.05,0.641824,fatigue,rest_recover or shorten route,slower gait and lower voice,True
133,10,Ledgerline,Nari,0.609203,0.473098,0.49,0.550098,0.0,0.154178,0.06,0.621626,thirst,water pause or care round,looks toward cup shelf,True
134,10,Orchardline,Ori,0.892457,0.085658,0.2,0.565658,0.0,0.180306,0.0,0.805088,thirst,water pause or care round,looks toward cup shelf,True
135,10,Rainline,Vonn,0.643119,0.502661,0.47,0.557661,0.0,0.411839,0.096,0.614187,thirst,water pause or care round,looks toward cup shelf,True
136,10,Hearthline,Sova,0.533284,0.492537,0.47,0.518537,0.0,0.194191,0.05,0.613645,thirst,water pause or care round,looks toward cup shelf,True
137,10,Routeline,Keth,0.553306,0.51252,0.48,0.53352,0.0,0.203602,0.06,0.606904,thirst,water pause or care round,looks toward cup shelf,True
138,10,Marketline,Melo,0.620319,0.474761,0.44,0.484761,0.0,0.188708,0.05,0.638581,thirst,water pause or care round,looks toward cup shelf,True
139,10,Ledgerline,Nari,0.593698,0.492227,0.5,0.563227,0.0,0.188181,0.06,0.611965,thirst,water pause or care round,looks toward cup shelf,True
140,10,Orchardline,Ori,0.91287,0.052848,0.185,0.578848,0.0,0.198357,0.0,0.816524,thirst,water pause or care round,looks toward cup shelf,True
141,11,Hearthline,Sova,0.531473,0.493895,0.48,0.531895,0.0,0.226403,0.05,0.610278,thirst,water pause or care round,looks toward cup shelf,True
142,11,Routeline,Keth,0.551452,0.513911,0.49,0.546911,0.0,0.231746,0.06,0.603519,thirst,water pause or care round,looks toward cup shelf,True
143,11,Marketline,Melo,0.604628,0.494029,0.45,0.498029,0.0,0.21132,0.05,0.628844,thirst,water pause or care round,looks toward cup shelf,True
144,11,Ledgerline,Nari,0.591874,0.493595,0.51,0.576595,0.0,0.227997,0.06,0.608593,thirst,water pause or care round,looks toward cup shelf,True
145,11,Orchardline,Ori,0.897148,0.072139,0.195,0.592139,0.0,0.21517,0.0,0.806774,thirst,water pause or care round,looks toward cup shelf,True
146,11,Rainline,Vonn,0.639471,0.505397,0.48,0.572397,0.0,0.456064,0.096,0.610062,thirst,water pause or care round,looks toward cup shelf,True
147,11,Hearthline,Sova,0.51564,0.51327,0.49,0.54527,0.0,0.229062,0.05,0.600482,thirst,water pause or care round,looks toward cup shelf,True
148,11,Routeline,Keth,0.535762,0.533179,0.5,0.560179,0.0,0.2113,0.06,0.593782,thirst,water pause or care round,looks toward cup shelf,True
149,11,Marketline,Melo,0.602851,0.495362,0.46,0.511362,0.0,0.222134,0.05,0.625491,thirst,water pause or care round,looks toward cup shelf,True
150,11,Ledgerline,Nari,0.576316,0.512763,0.52,0.589763,0.0,0.194685,0.06,0.59891,thirst,water pause or care round,looks toward cup shelf,True
151,11,Orchardline,Ori,0.917619,0.039286,0.18,0.605286,0.0,0.191219,0.0,0.818233,thirst,water pause or care round,looks toward cup shelf,True
152,11,Rainline,Vonn,0.622047,0.525965,0.49,0.586965,0.0,0.428012,0.102,0.598409,thirst,water pause or care round,looks toward cup shelf,True
153,11,Hearthline,Sova,0.514226,0.514331,0.5,0.558331,0.0,0.17684,0.05,0.597278,thirst,water pause or care round,looks toward cup shelf,True
154,11,Routeline,Keth,0.534377,0.534217,0.51,0.573217,0.0,0.173027,0.06,0.590591,thirst,water pause or care round,looks toward cup shelf,True
155,12,Ledgerline,Nari,0.574902,0.513824,0.53,0.602824,0.0,0.176795,0.06,0.595707,thirst,water pause or care round,looks toward cup shelf,True
156,12,Orchardline,Ori,0.902217,0.058337,0.19,0.618337,0.0,0.175159,0.0,0.808615,thirst,water pause or care round,looks toward cup shelf,True
157,12,Rainline,Vonn,0.618987,0.52826,0.5,0.60126,0.0,0.382472,0.102,0.594527,thirst,water pause or care round,looks toward cup shelf,True
158,12,Hearthline,Sova,0.499159,0.533131,0.51,0.571131,0.0,0.133352,0.05,0.587798,thirst,water pause or care round,looks toward cup shelf,True
159,12,Routeline,Keth,0.519267,0.55305,0.52,0.58605,0.0,0.138781,0.06,0.581093,thirst,water pause or care round,looks toward cup shelf,True
160,12,Marketline,Melo,0.601732,0.496201,0.47,0.524201,0.0,0.139845,0.05,0.62241,thirst,water pause or care round,looks toward cup shelf,True
161,12,Ledgerline,Nari,0.559959,0.532531,0.54,0.615531,0.0,0.117896,0.06,0.586278,thirst,water pause or care round,looks toward cup shelf,True
162,12,Orchardline,Ori,0.923355,0.024984,0.175,0.630984,0.0,0.107787,0.0,0.820349,thirst,water pause or care round,looks toward cup shelf,True
163,12,Rainline,Vonn,0.602364,0.548227,0.51,0.615227,0.0,0.327888,0.108,0.583205,thirst,water pause or care round,looks toward cup shelf,True
164,12,Hearthline,Sova,0.498442,0.533668,0.52,0.583668,0.0,0.089579,0.05,0.584882,thirst,water pause or care round,looks toward cup shelf,True
165,12,Routeline,Keth,0.518719,0.553461,0.53,0.598461,0.0,0.06849,0.06,0.578247,thirst,water pause or care round,looks toward cup shelf,True
166,12,Marketline,Melo,0.587108,0.514669,0.48,0.536669,0.0,0.07801,0.05,0.613112,thirst,water pause or care round,looks toward cup shelf,True
167,12,Ledgerline,Nari,0.559487,0.532885,0.55,0.627885,0.0,0.05894,0.06,0.583463,thirst,water pause or care round,looks toward cup shelf,True
168,12,Orchardline,Ori,0.908911,0.043317,0.185,0.643317,0.0,0.055503,0.0,0.811126,thirst,water pause or care round,looks toward cup shelf,True
169,13,Hearthline,Sova,0.483972,0.552021,0.53,0.596021,0.0,0.058838,0.05,0.575648,thirst,water pause or care round,looks toward cup shelf,True
170,13,Routeline,Keth,0.504393,0.571705,0.54,0.610705,0.0,0.040789,0.06,0.569072,thirst,water pause or care round,looks toward cup shelf,True
171,13,Marketline,Melo,0.586851,0.514862,0.49,0.548862,0.0,0.032099,0.05,0.610386,thirst,water pause or care round,looks toward cup shelf,True
172,13,Ledgerline,Nari,0.545273,0.551045,0.56,0.640045,0.0,0.026694,0.06,0.574335,thirst,water pause or care round,looks toward cup shelf,True
173,13,Orchardline,Ori,0.930802,0.009399,0.17,0.655399,0.0,0.013628,0.0,0.823171,thirst,water pause or care round,looks toward cup shelf,True
174,13,Rainline,Vonn,0.586374,0.56772,0.52,0.62872,0.0,0.248722,0.108,0.573344,thirst,water pause or care round,looks toward cup shelf,True
175,13,Hearthline,Sova,0.483731,0.552202,0.54,0.608202,0.0,0.030041,0.05,0.572929,thirst,water pause or care round,looks toward cup shelf,True
176,13,Routeline,Keth,0.504325,0.571757,0.55,0.622757,0.0,0.008544,0.06,0.566424,thirst,water pause or care round,looks toward cup shelf,True
177,13,Marketline,Melo,0.572606,0.533046,0.5,0.561046,0.0,0.030662,0.05,0.601245,thirst,water pause or care round,looks toward cup shelf,True
178,13,Ledgerline,Nari,0.545131,0.551152,0.57,0.652152,0.0,0.01777,0.06,0.571657,thirst,water pause or care round,looks toward cup shelf,True
179,13,Orchardline,Ori,0.916622,0.027534,0.18,0.667534,0.0,0.022553,0.0,0.814056,thirst,water pause or care round,looks toward cup shelf,True
180,13,Rainline,Vonn,0.584312,0.569266,0.53,0.642266,0.0,0.257694,0.108,0.569874,thirst,water pause or care round,looks toward cup shelf,True
181,13,Hearthline,Sova,0.469637,0.570272,0.55,0.620272,0.0,0.011746,0.05,0.56385,thirst,water pause or care round,looks toward cup shelf,True
182,13,Routeline,Keth,0.490124,0.589907,0.56,0.634907,0.0,0.025086,0.06,0.557301,thirst,water pause or care round,looks toward cup shelf,True
183,14,Ledgerline,Nari,0.530777,0.569418,0.58,0.664418,0.0,0.044347,0.06,0.56247,thirst,water pause or care round,looks toward cup shelf,True
184,14,Orchardline,Ori,0.93828,0.0,0.165,0.67979,0.0,0.042656,0.0,0.824515,thirst,water pause or care round,looks toward cup shelf,True
