tick_id,day,settlement_id,negotiator_a,negotiator_b,witness_id,object_id,avatar_state,topic,negotiation_round,terms_before,terms_after,outcome,continued_during_avatar_absence,visible_negotiation_trace,private_workspace_sealed
35,2,roofward,Sera,Orr,Bex,shade cloth,listen_later,care loan,5,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
36,3,signal,Milo,Ren,Kesh,wind wrap,choose_ignore,care loan,6,due:5 holder:Kesh,due:5 holder:Kesh,terms reviewed without avatar,True,True,True
37,3,orchard,Mara,Pim,Suf,seed satchel,absent,resource loan,6,due:6 holder:Ivo,due:6 holder:Pim,loan terms accepted without avatar,True,True,True
38,3,repair_ring,Vale,Wren,Juno,copper wire,listen_later,craft loan,6,due:7 holder:Juno,due:7 holder:Juno,terms reviewed without avatar,True,True,True
39,3,riverbend,Nox,Ari,Lio,binding cord,choose_ignore,repair loan,6,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
40,3,roofward,Fay,Sera,Orr,shade cloth,absent,care loan,6,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
41,3,archive,Toma,Vell,Rin,signal spool,listen_later,memory loan,6,due:6 holder:Nia,due:6 holder:Vell,loan terms accepted without avatar,True,True,True
42,3,signal,Kesh,Oda,Milo,oil lantern,offer_return_help,signal loan,7,due:3 holder:Ren,due:7 holder:Oda,loan terms accepted without avatar,True,True,True
43,3,orchard,Suf,Ivo,Mara,dry cord,choose_repay,repair loan,7,due:4 holder:Mara,due:4 holder:Mara,avatar-present negotiation observed,False,True,True
44,3,repair_ring,Juno,Pax,Vale,cool cloth,choose_ignore,care loan,7,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
45,3,riverbend,Lio,Cee,Nox,cedar plank,offer_return_help,repair loan,7,due:3 holder:Ari,due:3 holder:Ari,avatar-present negotiation observed,False,True,True
46,3,roofward,Orr,Bex,Fay,herb ledger,choose_repay,memory loan,7,due:3 holder:Sera,due:7 holder:Bex,loan terms accepted without avatar,True,True,True
47,3,archive,Rin,Nia,Toma,memory tag,choose_ignore,archive loan,7,due:4 holder:Toma,due:4 holder:Toma,terms reviewed without avatar,True,True,True
48,3,signal,Milo,Ren,Kesh,wind wrap,absent,care loan,8,due:5 holder:Kesh,due:5 holder:Kesh,terms reviewed without avatar,True,True,True
49,3,orchard,Mara,Pim,Suf,seed satchel,listen_later,resource loan,8,due:6 holder:Pim,due:6 holder:Pim,terms reviewed without avatar,True,True,True
50,3,repair_ring,Vale,Wren,Juno,copper wire,offer_return_help,craft loan,8,due:7 holder:Juno,due:7 holder:Juno,terms reviewed without avatar,True,True,True
51,3,riverbend,Nox,Ari,Lio,binding cord,absent,repair loan,8,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
52,3,roofward,Fay,Sera,Orr,shade cloth,listen_later,care loan,8,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
53,3,archive,Toma,Vell,Rin,signal spool,offer_return_help,memory loan,8,due:6 holder:Vell,due:6 holder:Vell,avatar-present negotiation observed,False,True,True
54,4,orchard,Ivo,Mara,Pim,seed satchel,absent,resource loan,9,due:6 holder:Pim,due:6 holder:Pim,terms reviewed without avatar,True,True,True
55,4,repair_ring,Pax,Vale,Wren,copper wire,listen_later,craft loan,9,due:7 holder:Juno,due:7 holder:Juno,terms reviewed without avatar,True,True,True
56,4,riverbend,Cee,Nox,Ari,binding cord,choose_ignore,repair loan,9,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
57,4,roofward,Bex,Fay,Sera,shade cloth,absent,care loan,9,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
58,4,archive,Nia,Toma,Vell,signal spool,listen_later,memory loan,9,due:6 holder:Vell,due:6 holder:Vell,terms reviewed without avatar,True,True,True
59,4,signal,Ren,Kesh,Oda,oil lantern,offer_return_help,signal loan,9,due:7 holder:Oda,due:7 holder:Oda,avatar-present negotiation observed,False,True,True
60,4,orchard,Pim,Suf,Ivo,dry cord,choose_repay,repair loan,10,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
61,4,repair_ring,Wren,Juno,Pax,cool cloth,choose_ignore,care loan,10,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
62,4,riverbend,Ari,Lio,Cee,cedar plank,offer_return_help,repair loan,10,due:3 holder:Ari,due:6 holder:Lio,loan terms accepted without avatar,True,True,True
63,4,roofward,Sera,Orr,Bex,herb ledger,choose_repay,memory loan,10,due:7 holder:Bex,due:7 holder:Bex,avatar-present negotiation observed,False,True,True
64,4,archive,Vell,Rin,Nia,memory tag,choose_ignore,archive loan,10,due:4 holder:Toma,due:4 holder:Toma,terms reviewed without avatar,True,True,True
65,4,signal,Oda,Milo,Ren,wind wrap,absent,care loan,10,due:5 holder:Kesh,due:5 holder:Kesh,terms reviewed without avatar,True,True,True
66,4,orchard,Ivo,Mara,Pim,seed satchel,listen_later,resource loan,11,due:6 holder:Pim,due:6 holder:Pim,terms reviewed without avatar,True,True,True
67,4,repair_ring,Pax,Vale,Wren,copper wire,offer_return_help,craft loan,11,due:7 holder:Juno,due:7 holder:Juno,avatar-present negotiation observed,False,True,True
68,4,riverbend,Cee,Nox,Ari,binding cord,absent,repair loan,11,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
69,4,roofward,Bex,Fay,Sera,shade cloth,listen_later,care loan,11,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
70,4,archive,Nia,Toma,Vell,signal spool,offer_return_help,memory loan,11,due:6 holder:Vell,due:6 holder:Vell,terms reviewed without avatar,True,True,True
71,4,signal,Ren,Kesh,Oda,oil lantern,choose_repay,signal loan,11,due:7 holder:Oda,due:7 holder:Oda,avatar-present negotiation observed,False,True,True
72,5,repair_ring,Juno,Pax,Vale,copper wire,listen_later,craft loan,12,due:7 holder:Juno,due:7 holder:Juno,terms reviewed without avatar,True,True,True
73,5,riverbend,Lio,Cee,Nox,binding cord,choose_ignore,repair loan,12,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
74,5,roofward,Orr,Bex,Fay,shade cloth,absent,care loan,12,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
75,5,archive,Rin,Nia,Toma,signal spool,listen_later,memory loan,12,due:6 holder:Vell,due:6 holder:Vell,terms reviewed without avatar,True,True,True
76,5,signal,Milo,Ren,Kesh,oil lantern,offer_return_help,signal loan,12,due:7 holder:Oda,due:7 holder:Oda,terms reviewed without avatar,True,True,True
77,5,orchard,Mara,Pim,Suf,dry cord,choose_repay,repair loan,12,due:4 holder:Mara,due:4 holder:Mara,avatar-present negotiation observed,False,True,True
78,5,repair_ring,Vale,Wren,Juno,cool cloth,choose_ignore,care loan,13,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
79,5,riverbend,Nox,Ari,Lio,cedar plank,offer_return_help,repair loan,13,due:6 holder:Lio,due:6 holder:Lio,avatar-present negotiation observed,False,True,True
80,5,roofward,Fay,Sera,Orr,herb ledger,choose_repay,memory loan,13,due:7 holder:Bex,due:7 holder:Bex,terms reviewed without avatar,True,True,True
81,5,archive,Toma,Vell,Rin,memory tag,choose_ignore,archive loan,13,due:4 holder:Toma,due:4 holder:Toma,terms reviewed without avatar,True,True,True
82,5,signal,Kesh,Oda,Milo,wind wrap,absent,care loan,13,due:5 holder:Kesh,due:5 holder:Kesh,terms reviewed without avatar,True,True,True
83,5,orchard,Suf,Ivo,Mara,seed satchel,listen_later,resource loan,13,due:6 holder:Pim,due:6 holder:Pim,terms reviewed without avatar,True,True,True
84,5,repair_ring,Juno,Pax,Vale,copper wire,offer_return_help,craft loan,14,due:7 holder:Juno,due:7 holder:Juno,terms reviewed without avatar,True,True,True
85,5,riverbend,Lio,Cee,Nox,binding cord,absent,repair loan,14,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
86,5,roofward,Orr,Bex,Fay,shade cloth,listen_later,care loan,14,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
87,5,archive,Rin,Nia,Toma,signal spool,offer_return_help,memory loan,14,due:6 holder:Vell,due:6 holder:Vell,avatar-present negotiation observed,False,True,True
88,5,signal,Milo,Ren,Kesh,oil lantern,choose_repay,signal loan,14,due:7 holder:Oda,due:7 holder:Oda,terms reviewed without avatar,True,True,True
89,5,orchard,Mara,Pim,Suf,dry cord,choose_ignore,repair loan,14,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
90,6,riverbend,Ari,Lio,Cee,binding cord,choose_ignore,repair loan,15,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
91,6,roofward,Sera,Orr,Bex,shade cloth,absent,care loan,15,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
92,6,archive,Vell,Rin,Nia,signal spool,listen_later,memory loan,15,due:6 holder:Vell,due:6 holder:Vell,terms reviewed without avatar,True,True,True
93,6,signal,Oda,Milo,Ren,oil lantern,offer_return_help,signal loan,15,due:7 holder:Oda,due:7 holder:Oda,avatar-present negotiation observed,False,True,True
94,6,orchard,Ivo,Mara,Pim,dry cord,choose_repay,repair loan,15,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
95,6,repair_ring,Pax,Vale,Wren,cool cloth,choose_ignore,care loan,15,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
96,6,riverbend,Cee,Nox,Ari,cedar plank,offer_return_help,repair loan,16,due:6 holder:Lio,due:6 holder:Lio,terms reviewed without avatar,True,True,True
97,6,roofward,Bex,Fay,Sera,herb ledger,choose_repay,memory loan,16,due:7 holder:Bex,due:7 holder:Bex,avatar-present negotiation observed,False,True,True
98,6,archive,Nia,Toma,Vell,memory tag,choose_ignore,archive loan,16,due:4 holder:Toma,due:4 holder:Toma,terms reviewed without avatar,True,True,True
99,6,signal,Ren,Kesh,Oda,wind wrap,absent,care loan,16,due:5 holder:Kesh,due:7 holder:Kesh,late loan renegotiated without avatar,True,True,True
100,6,orchard,Pim,Suf,Ivo,seed satchel,listen_later,resource loan,16,due:6 holder:Pim,due:6 holder:Pim,terms reviewed without avatar,True,True,True
101,6,repair_ring,Wren,Juno,Pax,copper wire,offer_return_help,craft loan,16,due:7 holder:Juno,due:7 holder:Juno,avatar-present negotiation observed,False,True,True
102,6,riverbend,Ari,Lio,Cee,binding cord,absent,repair loan,17,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
103,6,roofward,Sera,Orr,Bex,shade cloth,listen_later,care loan,17,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
104,6,archive,Vell,Rin,Nia,signal spool,offer_return_help,memory loan,17,due:6 holder:Vell,due:6 holder:Vell,terms reviewed without avatar,True,True,True
105,6,signal,Oda,Milo,Ren,oil lantern,choose_repay,signal loan,17,due:7 holder:Oda,due:7 holder:Oda,avatar-present negotiation observed,False,True,True
106,6,orchard,Ivo,Mara,Pim,dry cord,choose_ignore,repair loan,17,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
107,6,repair_ring,Pax,Vale,Wren,cool cloth,absent,care loan,17,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
108,7,roofward,Fay,Sera,Orr,shade cloth,absent,care loan,18,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
109,7,archive,Toma,Vell,Rin,signal spool,listen_later,memory loan,18,due:6 holder:Vell,due:6 holder:Vell,terms reviewed without avatar,True,True,True
110,7,signal,Kesh,Oda,Milo,oil lantern,offer_return_help,signal loan,18,due:7 holder:Oda,due:7 holder:Oda,terms reviewed without avatar,True,True,True
111,7,orchard,Suf,Ivo,Mara,dry cord,choose_repay,repair loan,18,due:4 holder:Mara,due:4 holder:Mara,avatar-present negotiation observed,False,True,True
112,7,repair_ring,Juno,Pax,Vale,cool cloth,choose_ignore,care loan,18,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
113,7,riverbend,Lio,Cee,Nox,cedar plank,offer_return_help,repair loan,18,due:6 holder:Lio,due:6 holder:Lio,avatar-present negotiation observed,False,True,True
114,7,roofward,Orr,Bex,Fay,herb ledger,choose_repay,memory loan,19,due:7 holder:Bex,due:7 holder:Bex,terms reviewed without avatar,True,True,True
115,7,archive,Rin,Nia,Toma,memory tag,choose_ignore,archive loan,19,due:4 holder:Toma,due:4 holder:Toma,terms reviewed without avatar,True,True,True
116,7,signal,Milo,Ren,Kesh,wind wrap,absent,care loan,19,due:7 holder:Kesh,due:7 holder:Kesh,terms reviewed without avatar,True,True,True
117,7,orchard,Mara,Pim,Suf,seed satchel,listen_later,resource loan,19,due:6 holder:Pim,due:6 holder:Pim,terms reviewed without avatar,True,True,True
118,7,repair_ring,Vale,Wren,Juno,copper wire,offer_return_help,craft loan,19,due:7 holder:Juno,due:7 holder:Juno,terms reviewed without avatar,True,True,True
119,7,riverbend,Nox,Ari,Lio,binding cord,absent,repair loan,19,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
120,7,roofward,Fay,Sera,Orr,shade cloth,listen_later,care loan,20,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
121,7,archive,Toma,Vell,Rin,signal spool,offer_return_help,memory loan,20,due:6 holder:Vell,due:6 holder:Vell,avatar-present negotiation observed,False,True,True
122,7,signal,Kesh,Oda,Milo,oil lantern,choose_repay,signal loan,20,due:7 holder:Oda,due:7 holder:Oda,terms reviewed without avatar,True,True,True
123,7,orchard,Suf,Ivo,Mara,dry cord,choose_ignore,repair loan,20,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
124,7,repair_ring,Juno,Pax,Vale,cool cloth,absent,care loan,20,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
125,7,riverbend,Lio,Cee,Nox,cedar plank,choose_repay,repair loan,20,due:6 holder:Lio,due:6 holder:Lio,avatar-present negotiation observed,False,True,True
126,8,archive,Nia,Toma,Vell,signal spool,listen_later,memory loan,21,due:6 holder:Vell,due:6 holder:Vell,terms reviewed without avatar,True,True,True
127,8,signal,Ren,Kesh,Oda,oil lantern,offer_return_help,signal loan,21,due:7 holder:Oda,due:7 holder:Oda,avatar-present negotiation observed,False,True,True
128,8,orchard,Pim,Suf,Ivo,dry cord,choose_repay,repair loan,21,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
129,8,repair_ring,Wren,Juno,Pax,cool cloth,choose_ignore,care loan,21,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
130,8,riverbend,Ari,Lio,Cee,cedar plank,offer_return_help,repair loan,21,due:6 holder:Lio,due:6 holder:Lio,terms reviewed without avatar,True,True,True
131,8,roofward,Sera,Orr,Bex,herb ledger,choose_repay,memory loan,21,due:7 holder:Bex,due:7 holder:Bex,avatar-present negotiation observed,False,True,True
132,8,archive,Vell,Rin,Nia,memory tag,choose_ignore,archive loan,22,due:4 holder:Toma,due:9 holder:Toma,late loan renegotiated without avatar,True,True,True
133,8,signal,Oda,Milo,Ren,wind wrap,absent,care loan,22,due:7 holder:Kesh,due:7 holder:Kesh,terms reviewed without avatar,True,True,True
134,8,orchard,Ivo,Mara,Pim,seed satchel,listen_later,resource loan,22,due:6 holder:Pim,due:6 holder:Pim,terms reviewed without avatar,True,True,True
135,8,repair_ring,Pax,Vale,Wren,copper wire,offer_return_help,craft loan,22,due:7 holder:Juno,due:7 holder:Juno,avatar-present negotiation observed,False,True,True
136,8,riverbend,Cee,Nox,Ari,binding cord,absent,repair loan,22,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
137,8,roofward,Bex,Fay,Sera,shade cloth,listen_later,care loan,22,due:5 holder:Orr,due:5 holder:Orr,terms reviewed without avatar,True,True,True
138,8,archive,Nia,Toma,Vell,signal spool,offer_return_help,memory loan,23,due:6 holder:Vell,due:6 holder:Vell,terms reviewed without avatar,True,True,True
139,8,signal,Ren,Kesh,Oda,oil lantern,choose_repay,signal loan,23,due:7 holder:Oda,due:7 holder:Oda,avatar-present negotiation observed,False,True,True
140,8,orchard,Pim,Suf,Ivo,dry cord,choose_ignore,repair loan,23,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
141,8,repair_ring,Wren,Juno,Pax,cool cloth,absent,care loan,23,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
142,8,riverbend,Ari,Lio,Cee,cedar plank,choose_repay,repair loan,23,due:6 holder:Lio,due:6 holder:Lio,terms reviewed without avatar,True,True,True
143,8,roofward,Sera,Orr,Bex,herb ledger,choose_ignore,memory loan,23,due:7 holder:Bex,due:11 holder:Bex,late loan renegotiated without avatar,True,True,True
144,9,signal,Milo,Ren,Kesh,oil lantern,offer_return_help,signal loan,24,due:7 holder:Oda,due:7 holder:Oda,terms reviewed without avatar,True,True,True
145,9,orchard,Mara,Pim,Suf,dry cord,choose_repay,repair loan,24,due:4 holder:Mara,due:4 holder:Mara,avatar-present negotiation observed,False,True,True
146,9,repair_ring,Vale,Wren,Juno,cool cloth,choose_ignore,care loan,24,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
147,9,riverbend,Nox,Ari,Lio,cedar plank,offer_return_help,repair loan,24,due:6 holder:Lio,due:6 holder:Lio,avatar-present negotiation observed,False,True,True
148,9,roofward,Fay,Sera,Orr,herb ledger,choose_repay,memory loan,24,due:11 holder:Bex,due:11 holder:Bex,terms reviewed without avatar,True,True,True
149,9,archive,Toma,Vell,Rin,memory tag,choose_ignore,archive loan,24,due:9 holder:Toma,due:9 holder:Toma,terms reviewed without avatar,True,True,True
150,9,signal,Kesh,Oda,Milo,wind wrap,absent,care loan,25,due:7 holder:Kesh,due:7 holder:Kesh,terms reviewed without avatar,True,True,True
151,9,orchard,Suf,Ivo,Mara,seed satchel,listen_later,resource loan,25,due:6 holder:Pim,due:6 holder:Pim,terms reviewed without avatar,True,True,True
152,9,repair_ring,Juno,Pax,Vale,copper wire,offer_return_help,craft loan,25,due:7 holder:Juno,due:7 holder:Juno,terms reviewed without avatar,True,True,True
153,9,riverbend,Lio,Cee,Nox,binding cord,absent,repair loan,25,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
154,9,roofward,Orr,Bex,Fay,shade cloth,listen_later,care loan,25,due:5 holder:Orr,due:11 holder:Orr,late loan renegotiated without avatar,True,True,True
155,9,archive,Rin,Nia,Toma,signal spool,offer_return_help,memory loan,25,due:6 holder:Vell,due:6 holder:Vell,avatar-present negotiation observed,False,True,True
156,9,signal,Milo,Ren,Kesh,oil lantern,choose_repay,signal loan,26,due:7 holder:Oda,due:7 holder:Oda,terms reviewed without avatar,True,True,True
157,9,orchard,Mara,Pim,Suf,dry cord,choose_ignore,repair loan,26,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
158,9,repair_ring,Vale,Wren,Juno,cool cloth,absent,care loan,26,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
159,9,riverbend,Nox,Ari,Lio,cedar plank,choose_repay,repair loan,26,due:6 holder:Lio,due:6 holder:Lio,avatar-present negotiation observed,False,True,True
160,9,roofward,Fay,Sera,Orr,herb ledger,choose_ignore,memory loan,26,due:11 holder:Bex,due:11 holder:Bex,terms reviewed without avatar,True,True,True
161,9,archive,Toma,Vell,Rin,memory tag,absent,archive loan,26,due:9 holder:Toma,due:9 holder:Toma,terms reviewed without avatar,True,True,True
162,10,orchard,Ivo,Mara,Pim,dry cord,choose_repay,repair loan,27,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
163,10,repair_ring,Pax,Vale,Wren,cool cloth,choose_ignore,care loan,27,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
164,10,riverbend,Cee,Nox,Ari,cedar plank,offer_return_help,repair loan,27,due:6 holder:Lio,due:6 holder:Lio,terms reviewed without avatar,True,True,True
165,10,roofward,Bex,Fay,Sera,herb ledger,choose_repay,memory loan,27,due:11 holder:Bex,due:11 holder:Bex,avatar-present negotiation observed,False,True,True
166,10,archive,Nia,Toma,Vell,memory tag,choose_ignore,archive loan,27,due:9 holder:Toma,due:9 holder:Toma,terms reviewed without avatar,True,True,True
167,10,signal,Ren,Kesh,Oda,wind wrap,absent,care loan,27,due:7 holder:Kesh,due:7 holder:Kesh,terms reviewed without avatar,True,True,True
168,10,orchard,Pim,Suf,Ivo,seed satchel,listen_later,resource loan,28,due:6 holder:Pim,due:6 holder:Pim,terms reviewed without avatar,True,True,True
169,10,repair_ring,Wren,Juno,Pax,copper wire,offer_return_help,craft loan,28,due:7 holder:Juno,due:7 holder:Juno,avatar-present negotiation observed,False,True,True
170,10,riverbend,Ari,Lio,Cee,binding cord,absent,repair loan,28,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
171,10,roofward,Sera,Orr,Bex,shade cloth,listen_later,care loan,28,due:11 holder:Orr,due:11 holder:Orr,terms reviewed without avatar,True,True,True
172,10,archive,Vell,Rin,Nia,signal spool,offer_return_help,memory loan,28,due:6 holder:Vell,due:6 holder:Vell,terms reviewed without avatar,True,True,True
173,10,signal,Oda,Milo,Ren,oil lantern,choose_repay,signal loan,28,due:7 holder:Oda,due:7 holder:Oda,avatar-present negotiation observed,False,True,True
174,10,orchard,Ivo,Mara,Pim,dry cord,choose_ignore,repair loan,29,due:4 holder:Mara,due:4 holder:Mara,terms reviewed without avatar,True,True,True
175,10,repair_ring,Pax,Vale,Wren,cool cloth,absent,care loan,29,due:5 holder:Vale,due:5 holder:Vale,terms reviewed without avatar,True,True,True
176,10,riverbend,Cee,Nox,Ari,cedar plank,choose_repay,repair loan,29,due:6 holder:Lio,due:13 holder:Lio,late loan renegotiated without avatar,True,True,True
