tick_id,day,settlement_id,resident_id,location,schedule_role,energy,fatigue,hunger,thirst,temperature,wetness,pain,comfort,safety,breath_rate,movement_effort,rest_debt,injury_degradation,dominant_need,visible_body_marker,frequency_hz,flower_phase,private_workspace_sealed,bounded_need_update
19,2,cinder_garden,Pax,shade tent,seed sorter,0.678,0.23184,0.224,0.2,0.615,0.0,0.04127,0.722697,0.705,13.74602,0.036743,0.165253,0.020164,safety,turns toward shelter route,13.794703,0.220844,True,True
20,2,lichen_bridge,Rin,rest alcove,signal keeper,0.666,0.20448,0.222,0.2,0.475,0.1996,0.045384,0.686351,0.645,13.737102,0.046809,0.164977,0.020177,safety,turns toward shelter route,12.620693,0.214389,True,True
21,2,orchid_engine,Eli,engine ring,meal runner,0.644,0.24912,0.22,0.206,0.558,0.356,0.045276,0.658456,0.63,14.242856,0.055935,0.165564,0.026175,safety,turns toward shelter route,15.331965,0.244533,True,True
22,2,moss_ward,Ari,rain gate,cook,0.68,0.2232,0.224,0.2,0.3868,0.3188,0.046025,0.664552,0.66,13.868149,0.037204,0.165098,0.020176,safety,turns toward shelter route,10.718353,0.204878,True,True
23,2,glass_harbor,Oren,net room,salt washer,0.668,0.19584,0.222,0.2,0.319,0.352,0.049314,0.65829,0.64,13.694286,0.043928,0.164821,0.026187,safety,turns toward shelter route,11.959911,0.223122,True,True
24,2,cinder_garden,Vale,shade tent,ash sweeper,0.666,0.24048,0.22,0.2,0.627,0.0,0.00087,0.729641,0.705,13.59002,0.042016,0.165409,2e-06,safety,turns toward shelter route,13.559876,0.255567,True,True
25,2,lichen_bridge,Sol,rest alcove,meal marker,0.654,0.24912,0.224,0.2,0.406,0.2068,0.046131,0.684695,0.645,14.187987,0.052966,0.165564,0.020179,safety,turns toward shelter route,12.613858,0.249111,True,True
26,2,orchid_engine,Bea,engine ring,valve listener,0.68,0.1172,0.222,0.206,0.579,0.32,0.04491,0.664754,0.63,12.92146,0.037208,0.093826,0.026174,safety,turns toward shelter route,14.604326,0.279256,True,True
27,2,moss_ward,Fay,rain gate,path watcher,0.668,0.23184,0.22,0.2,0.358,0.4608,0.047407,0.639251,0.66,13.962841,0.046069,0.165253,0.020179,wetness,shakes cloak and avoids puddles,10.566254,0.2396,True,True
28,2,glass_harbor,Puck,net room,lamp guard,0.656,0.24048,0.224,0.2,0.319,0.352,0.005026,0.665136,0.64,13.874956,0.04913,0.165409,1e-05,safety,turns toward shelter route,11.863905,0.257844,True,True
29,2,cinder_garden,Wren,shade tent,shade caller,0.654,0.21312,0.222,0.2,0.621,0.0,0.04133,0.722927,0.705,13.55918,0.048744,0.165132,0.020164,safety,turns toward shelter route,14.478632,0.290289,True,True
30,2,lichen_bridge,Kio,rest alcove,bridge caller,0.69,0.2232,0.22,0.2,0.3878,0.2068,0.003176,0.692048,0.645,13.671058,0.034193,0.165098,6e-06,safety,turns toward shelter route,12.233313,0.283833,True,True
31,2,orchid_engine,Cai,engine ring,gear washer,0.668,0.23184,0.224,0.206,0.579,0.4064,0.045889,0.648806,0.63,14.073735,0.044954,0.165253,0.026176,wetness,shakes cloak and avoids puddles,14.882849,0.313978,True,True
32,2,moss_ward,Milo,rain gate,blanket keeper,0.698,0.21024,0.213,0.19,0.388,0.3808,0.044566,0.654765,0.67,13.689798,0.050418,0.162523,0.020089,wetness,shakes cloak and avoids puddles,10.269518,0.274322,True,True
33,2,glass_harbor,Sera,net room,tea maker,0.692,0.21456,0.209,0.19,0.4252,0.1648,0.042466,0.694461,0.7,13.600398,0.05206,0.162575,0.020085,safety,turns toward shelter route,11.563343,0.292567,True,True
34,2,cinder_garden,Juno,shade tent,ember tender,0.69,0.1932,0.22,0.2,0.627,0.0,0.04139,0.723158,0.745,13.20034,0.030745,0.164738,0.020164,safety,turns toward shelter route,14.154876,0.325011,True,True
35,2,lichen_bridge,Luma,rest alcove,rope weaver,0.678,0.23184,0.224,0.2,0.406,0.2068,0.045514,0.684794,0.645,14.011486,0.040955,0.165253,0.020176,safety,turns toward shelter route,13.302307,0.318556,True,True
36,3,moss_ward,Ari,dry loft,cook,0.66,0.1748,0.233,0.21,0.3818,0.2888,0.049917,0.668429,0.665,13.387503,0.036675,0.077195,0.020276,safety,turns toward shelter route,9.762472,0.3021,True,True
37,3,glass_harbor,Oren,quiet bunk,salt washer,0.632,0.22176,0.233,0.21,0.279,0.422,0.0553,0.643592,0.61,14.109402,0.045435,0.167482,0.026298,wetness,shakes cloak and avoids puddles,11.356858,0.320344,True,True
38,3,cinder_garden,Vale,ember bed,ash sweeper,0.624,0.24072,0.233,0.21,0.632,0.0,0.00179,0.728114,0.655,13.79794,0.042032,0.168297,5e-06,safety,turns toward shelter route,14.008675,0.352789,True,True
39,3,lichen_bridge,Sol,signal post,meal marker,0.606,0.28368,0.233,0.21,0.426,0.1668,0.048606,0.690599,0.665,14.468434,0.052211,0.168968,0.020276,safety,turns toward shelter route,13.113017,0.346333,True,True
40,3,orchid_engine,Bea,gear wash,valve listener,0.65,0.1388,0.233,0.216,0.489,0.34,0.00323,0.666683,0.59,13.04738,0.036858,0.095491,6e-06,safety,turns toward shelter route,15.042511,0.376478,True,True
41,3,moss_ward,Fay,dry loft,path watcher,0.642,0.22176,0.233,0.21,0.341,0.4356,0.052882,0.641531,0.665,13.87489,0.045664,0.147914,0.020284,wetness,shakes cloak and avoids puddles,10.909469,0.336822,True,True
42,3,glass_harbor,Puck,quiet bunk,lamp guard,0.614,0.27072,0.233,0.14,0.267,0.4388,0.011266,0.647613,0.61,14.334798,0.050979,0.168657,3.3e-05,wetness,shakes cloak and avoids puddles,11.278938,0.355067,True,True
43,3,cinder_garden,Wren,ember bed,shade caller,0.606,0.24768,0.233,0.21,0.686,0.0,0.04279,0.721554,0.655,14.11354,0.04877,0.168104,0.020249,safety,turns toward shelter route,13.928182,0.387511,True,True
44,3,lichen_bridge,Kio,signal post,bridge caller,0.66,0.1388,0.233,0.21,0.4166,0.1668,0.005745,0.697457,0.665,12.762469,0.033439,0.096763,1.8e-05,safety,turns toward shelter route,12.248491,0.381056,True,True
45,3,orchid_engine,Cai,gear wash,gear washer,0.632,0.25776,0.233,0.216,0.462,0.4336,0.050138,0.64233,0.59,14.518428,0.045574,0.168346,0.026277,wetness,shakes cloak and avoids puddles,15.429556,0.4112,True,True
46,3,moss_ward,Milo,dry loft,blanket keeper,0.666,0.24048,0.154,0.2,0.371,0.358,0.04912,0.665401,0.675,13.999522,0.050044,0.145409,0.020187,wetness,shakes cloak and avoids puddles,10.775012,0.371544,True,True
47,3,glass_harbor,Sera,quiet bunk,tea maker,0.644,0.21312,0.222,0.2,0.3676,0.2348,0.046069,0.679905,0.67,13.727613,0.053525,0.165132,0.020177,safety,turns toward shelter route,11.984215,0.389789,True,True
48,3,cinder_garden,Juno,ember bed,ember tender,0.66,0.2148,0.159,0.21,0.692,0.0,0.04291,0.730414,0.695,13.62546,0.030772,0.167315,0.02025,safety,turns toward shelter route,13.551798,0.422233,True,True
49,3,lichen_bridge,Luma,signal post,rope weaver,0.642,0.25776,0.235,0.21,0.426,0.1668,0.047989,0.690458,0.665,14.205533,0.0402,0.168346,0.020272,safety,turns toward shelter route,12.626301,0.415778,True,True
50,3,orchid_engine,Dax,gear wash,orchid keeper,0.656,0.24048,0.226,0.2,0.452,0.2936,0.045069,0.669001,0.65,14.075213,0.048683,0.165409,0.020174,safety,turns toward shelter route,15.07999,0.445922,True,True
51,3,moss_ward,Tala,dry loft,water carrier,0.654,0.21312,0.218,0.2,0.439,0.2092,0.044264,0.685282,0.715,13.536782,0.052981,0.145132,0.020172,safety,turns toward shelter route,10.41124,0.406267,True,True
52,3,glass_harbor,Nia,quiet bunk,net mender,0.65,0.1688,0.231,0.21,0.366,0.3824,0.051519,0.651565,0.61,13.557115,0.038575,0.127123,0.026283,safety,turns toward shelter route,11.703824,0.424511,True,True
53,3,cinder_garden,Pax,ember bed,seed sorter,0.642,0.25776,0.237,0.21,0.686,0.0,0.04273,0.721083,0.655,14.21398,0.036769,0.168346,0.020249,safety,turns toward shelter route,14.729089,0.456956,True,True
54,4,orchid_engine,Bea,sleep cot,valve listener,0.63,0.1604,0.242,0.232,0.694,0.26,0.00685,0.679604,0.585,13.3051,0.035323,0.077416,2e-05,safety,turns toward shelter route,14.384191,0.4737,True,True
55,4,moss_ward,Fay,warm hearth,path watcher,0.606,0.24768,0.244,0.22,0.291,0.5956,0.060136,0.61043,0.635,14.297618,0.048994,0.150886,0.020405,wetness,shakes cloak and avoids puddles,10.308928,0.434044,True,True
56,4,glass_harbor,Puck,salt steps,lamp guard,0.572,0.26496,0.246,0.15,0.347,0.3988,0.016387,0.652614,0.63,14.227921,0.050271,0.171837,6.5e-05,wetness,shakes cloak and avoids puddles,11.619233,0.452289,True,True
57,4,cinder_garden,Wren,ash path,shade caller,0.558,0.28224,0.242,0.22,0.566,0.01,0.04313,0.718799,0.625,14.58118,0.048976,0.171491,0.020336,safety,turns toward shelter route,14.489114,0.484733,True,True
58,4,lichen_bridge,Kio,lichen wall,bridge caller,0.63,0.1604,0.244,0.22,0.3366,0.2568,0.009833,0.679463,0.585,13.322999,0.035313,0.098688,0.006038,safety,turns toward shelter route,12.830098,0.478278,True,True
59,4,orchid_engine,Cai,sleep cot,gear washer,0.606,0.24768,0.246,0.232,0.607,0.3536,0.053637,0.65479,0.585,14.458621,0.044037,0.151318,0.026384,safety,turns toward shelter route,15.782058,0.508422,True,True
60,4,moss_ward,Milo,warm hearth,blanket keeper,0.624,0.27072,0.163,0.21,0.306,0.5056,0.055505,0.636911,0.645,14.460231,0.053111,0.148657,0.020298,wetness,shakes cloak and avoids puddles,10.190331,0.468767,True,True
61,4,glass_harbor,Sera,salt steps,tea maker,0.596,0.24768,0.233,0.21,0.3876,0.1948,0.049151,0.685472,0.69,14.011707,0.052781,0.168104,0.020275,safety,turns toward shelter route,11.344577,0.487011,True,True
62,4,cinder_garden,Juno,ash path,ember tender,0.63,0.2064,0.172,0.22,0.536,0.0136,0.000149,0.733428,0.665,13.404893,0.030275,0.169792,0.0,safety,turns toward shelter route,13.852543,0.519456,True,True
63,4,lichen_bridge,Luma,lichen wall,rope weaver,0.606,0.28368,0.244,0.22,0.244,0.3054,0.053392,0.663745,0.585,14.817152,0.043069,0.17175,0.026379,temperature,seeks warmer or cooler edge,13.228094,0.513,True,True
64,4,orchid_engine,Dax,sleep cot,orchid keeper,0.624,0.20072,0.237,0.216,0.63,0.2136,0.047678,0.681844,0.645,13.713266,0.04713,0.077817,0.020269,safety,turns toward shelter route,15.309932,0.543144,True,True
65,4,moss_ward,Tala,warm hearth,water carrier,0.606,0.21168,0.231,0.21,0.367,0.4268,0.049408,0.643911,0.685,13.673248,0.057425,0.147672,0.020271,wetness,shakes cloak and avoids puddles,10.835165,0.503489,True,True
66,4,glass_harbor,Nia,salt steps,net mender,0.62,0.1904,0.24,0.22,0.392,0.3424,0.004219,0.665433,0.63,13.409315,0.036924,0.129408,8e-06,safety,turns toward shelter route,10.911682,0.521733,True,True
67,4,cinder_garden,Pax,ash path,seed sorter,0.606,0.28368,0.248,0.22,0.53,0.0136,0.042939,0.717462,0.625,14.594433,0.037045,0.17175,0.020335,safety,turns toward shelter route,14.114596,0.554178,True,True
68,4,lichen_bridge,Rin,lichen wall,signal keeper,0.624,0.23472,0.165,0.21,0.29,0.2896,0.0502,0.6764,0.565,14.388402,0.048696,0.167793,0.026277,safety,turns toward shelter route,12.858907,0.547722,True,True
69,4,orchid_engine,Eli,sleep cot,meal runner,0.606,0.24768,0.229,0.222,0.676,0.2832,0.048902,0.67008,0.625,14.27021,0.054544,0.148536,0.026273,safety,turns toward shelter route,15.339883,0.577867,True,True
70,4,moss_ward,Ari,warm hearth,cook,0.63,0.1604,0.244,0.22,0.3048,0.5136,0.016378,0.632192,0.635,13.162268,0.040567,0.07912,0.004309,wetness,shakes cloak and avoids puddles,10.437056,0.538211,True,True
71,4,glass_harbor,Oren,salt steps,salt washer,0.596,0.24768,0.246,0.22,0.287,0.3988,0.061021,0.645473,0.63,14.322925,0.045074,0.170454,0.02642,wetness,shakes cloak and avoids puddles,12.207279,0.556456,True,True
72,5,lichen_bridge,Kio,rope bridge,bridge caller,0.6,0.182,0.183,0.23,0.2866,0.4168,0.015702,0.657224,0.555,13.69421,0.038619,0.100872,0.006069,safety,turns toward shelter route,12.209229,0.5755,True,True
73,5,orchid_engine,Cai,orchid bay,gear washer,0.57,0.2736,0.257,0.242,0.627,0.3136,0.057016,0.66031,0.605,14.658094,0.043298,0.154602,0.026498,safety,turns toward shelter route,15.107843,0.605644,True,True
74,5,moss_ward,Milo,moss lane,blanket keeper,0.582,0.19496,0.176,0.22,0.326,0.4656,0.06137,0.641793,0.665,13.65782,0.052417,0.080997,0.020421,wetness,shakes cloak and avoids puddles,10.2472,0.565989,True,True
75,5,glass_harbor,Sera,steam alcove,tea maker,0.558,0.28224,0.242,0.22,0.3726,0.2648,0.052944,0.671365,0.685,14.400062,0.054249,0.171491,0.020381,safety,turns toward shelter route,11.879345,0.584233,True,True
76,5,cinder_garden,Juno,cool basin,ember tender,0.6,0.228,0.183,0.236,0.716,0.0,0.001909,0.734455,0.625,13.791453,0.030034,0.172528,4e-06,safety,turns toward shelter route,14.376739,0.616678,True,True
77,5,lichen_bridge,Luma,rope bridge,rope weaver,0.57,0.2736,0.257,0.23,0.18,0.523,0.061176,0.621952,0.555,14.883056,0.047561,0.175034,0.026501,wetness,shakes cloak and avoids puddles,13.62208,0.610222,True,True
78,5,orchid_engine,Dax,orchid bay,orchid keeper,0.582,0.23096,0.246,0.226,0.656,0.1736,0.002549,0.695364,0.665,13.664893,0.045518,0.080589,5e-06,safety,turns toward shelter route,14.557254,0.640367,True,True
79,5,moss_ward,Tala,moss lane,water carrier,0.558,0.24624,0.242,0.22,0.387,0.3868,0.054032,0.649231,0.705,13.966594,0.056709,0.150627,0.020379,wetness,shakes cloak and avoids puddles,10.198581,0.600711,True,True
80,5,glass_harbor,Nia,steam alcove,net mender,0.6,0.176,0.253,0.16,0.362,0.4556,0.009644,0.642809,0.625,13.317864,0.039286,0.13152,2.8e-05,wetness,shakes cloak and avoids puddles,11.250415,0.618956,True,True
81,5,cinder_garden,Pax,cool basin,seed sorter,0.57,0.3096,0.257,0.236,0.686,0.0,0.044399,0.718776,0.585,15.022393,0.036799,0.175466,0.020424,safety,turns toward shelter route,14.655782,0.6514,True,True
82,5,lichen_bridge,Rin,rope bridge,signal keeper,0.582,0.19496,0.176,0.22,0.225,0.5072,0.057408,0.634939,0.535,14.154048,0.053177,0.100133,0.026392,wetness,shakes cloak and avoids puddles,13.130955,0.644944,True,True
83,5,orchid_engine,Eli,orchid bay,meal runner,0.558,0.24624,0.242,0.232,0.696,0.2432,0.052407,0.675339,0.645,14.196843,0.053807,0.151491,0.026378,safety,turns toward shelter route,15.694563,0.675089,True,True
84,5,moss_ward,Ari,moss lane,cook,0.6,0.182,0.183,0.23,0.3308,0.4736,0.022259,0.645951,0.655,13.333553,0.039873,0.081304,0.004353,wetness,shakes cloak and avoids puddles,9.750212,0.635433,True,True
85,5,glass_harbor,Oren,steam alcove,salt washer,0.57,0.2736,0.257,0.23,0.257,0.4976,0.067832,0.625459,0.625,14.64299,0.047173,0.173738,0.026556,wetness,shakes cloak and avoids puddles,11.572859,0.653678,True,True
86,5,cinder_garden,Vale,cool basin,ash sweeper,0.582,0.27096,0.246,0.226,0.767,0.0,0.00406,0.72637,0.685,13.99396,0.042073,0.171549,1.3e-05,temperature,seeks warmer or cooler edge,14.096646,0.686122,True,True
87,5,lichen_bridge,Sol,rope bridge,meal marker,0.558,0.28224,0.242,0.22,0.2924,0.433,0.054546,0.640833,0.635,14.609674,0.057642,0.172355,0.020385,wetness,shakes cloak and avoids puddles,13.158517,0.679667,True,True
88,5,orchid_engine,Bea,orchid bay,valve listener,0.6,0.146,0.253,0.202,0.753,0.22,0.01074,0.685042,0.605,13.10444,0.034593,0.079168,4.2e-05,safety,turns toward shelter route,15.066885,0.709811,True,True
89,5,moss_ward,Fay,moss lane,path watcher,0.57,0.2736,0.257,0.23,0.296,0.6132,0.067482,0.604707,0.655,14.520892,0.049479,0.15417,0.02054,wetness,shakes cloak and avoids puddles,11.162566,0.670156,True,True
90,6,cinder_garden,Juno,seed shelf,ember tender,0.57,0.2496,0.192,0.246,0.736,0.0,0.003869,0.733241,0.715,13.659213,0.03007,0.175523,1.2e-05,safety,turns toward shelter route,13.589732,0.7139,True,True
91,6,lichen_bridge,Luma,meal room,rope weaver,0.534,0.29952,0.268,0.24,0.18,0.633,0.06984,0.599626,0.505,15.39424,0.049917,0.178628,0.026641,wetness,shakes cloak and avoids puddles,13.05073,0.707444,True,True
92,6,orchid_engine,Dax,meal shelf,orchid keeper,0.54,0.2252,0.259,0.236,0.571,0.2736,0.005048,0.675584,0.635,13.742286,0.047563,0.083291,1.5e-05,safety,turns toward shelter route,14.958358,0.737589,True,True
93,6,moss_ward,Tala,tool nook,water carrier,0.51,0.2808,0.251,0.23,0.357,0.4668,0.059597,0.633041,0.695,14.385581,0.058409,0.153997,0.020498,wetness,shakes cloak and avoids puddles,10.743458,0.697933,True,True
94,6,glass_harbor,Nia,lamp pier,net mender,0.57,0.1976,0.264,0.17,0.292,0.6356,0.017209,0.608059,0.565,13.819253,0.043022,0.133891,0.006062,wetness,shakes cloak and avoids puddles,11.812505,0.716178,True,True
95,6,cinder_garden,Pax,seed shelf,seed sorter,0.534,0.29952,0.27,0.246,0.706,0.0,0.046059,0.717131,0.605,14.851553,0.036829,0.17906,0.020516,safety,turns toward shelter route,14.971643,0.748622,True,True
96,6,lichen_bridge,Rin,meal room,signal keeper,0.54,0.2252,0.185,0.23,0.18,0.6436,0.066157,0.608087,0.485,14.708941,0.056063,0.102835,0.026525,wetness,shakes cloak and avoids puddles,12.577354,0.742167,True,True
97,6,orchid_engine,Eli,meal shelf,meal runner,0.51,0.2808,0.253,0.242,0.644,0.3792,0.056481,0.649067,0.615,14.686885,0.056601,0.154861,0.026491,safety,turns toward shelter route,15.122888,0.772311,True,True
98,6,moss_ward,Ari,tool nook,cook,0.57,0.1676,0.196,0.24,0.2918,0.5028,0.028763,0.638274,0.645,13.268579,0.040574,0.083315,0.004411,wetness,shakes cloak and avoids puddles,10.097683,0.732656,True,True
99,6,glass_harbor,Oren,lamp pier,salt washer,0.534,0.29952,0.266,0.24,0.18,0.7424,0.077371,0.578969,0.565,15.199425,0.052241,0.177332,0.03271,wetness,shakes cloak and avoids puddles,12.156441,0.7509,True,True
100,6,cinder_garden,Vale,seed shelf,ash sweeper,0.54,0.3012,0.257,0.236,0.793,0.0,0.00253,0.725475,0.705,14.20718,0.042046,0.175163,5e-06,temperature,seeks warmer or cooler edge,14.570293,0.783344,True,True
101,6,lichen_bridge,Sol,meal room,meal marker,0.51,0.2808,0.255,0.23,0.18,0.5694,0.062701,0.613596,0.585,14.844205,0.060517,0.175725,0.02051,wetness,shakes cloak and avoids puddles,13.614804,0.776889,True,True
102,6,orchid_engine,Bea,meal shelf,valve listener,0.57,0.0976,0.262,0.212,0.701,0.356,0.015198,0.658948,0.575,12.767188,0.037394,0.010339,7.2e-05,safety,turns toward shelter route,14.158324,0.807033,True,True
103,6,moss_ward,Fay,tool nook,path watcher,0.534,0.29952,0.268,0.24,0.257,0.7124,0.076011,0.584346,0.645,14.871267,0.051616,0.157764,0.020692,wetness,shakes cloak and avoids puddles,10.538149,0.767378,True,True
104,6,glass_harbor,Puck,lamp pier,lamp guard,0.53,0.2252,0.259,0.16,0.18,0.6868,0.025481,0.597939,0.57,14.124887,0.056195,0.104539,0.006116,wetness,shakes cloak and avoids puddles,11.554617,0.785622,True,True
105,6,cinder_garden,Wren,seed shelf,shade caller,0.51,0.2808,0.251,0.23,0.622,0.0,0.04395,0.719568,0.645,14.4917,0.048791,0.174861,0.020423,safety,turns toward shelter route,14.458477,0.818067,True,True
106,6,lichen_bridge,Kio,meal room,bridge caller,0.57,0.1736,0.194,0.24,0.18,0.6108,0.008486,0.622318,0.505,13.766918,0.042369,0.102955,1.7e-05,wetness,shakes cloak and avoids puddles,12.986755,0.811611,True,True
107,6,orchid_engine,Cai,meal shelf,gear washer,0.534,0.29952,0.27,0.252,0.575,0.4496,0.060962,0.633818,0.575,15.060974,0.046089,0.158196,0.02662,wetness,shakes cloak and avoids puddles,16.020752,0.841756,True,True
108,7,glass_harbor,Nia,net room,net mender,0.54,0.1492,0.273,0.18,0.252,0.6556,0.025334,0.602259,0.545,13.464002,0.043568,0.065682,0.006113,wetness,shakes cloak and avoids puddles,10.898005,0.8134,True,True
109,7,cinder_garden,Pax,shade tent,seed sorter,0.508,0.32544,0.281,0.256,0.761,0.0,0.048269,0.715637,0.57,15.264013,0.036869,0.182965,0.020612,safety,turns toward shelter route,14.367713,0.845844,True,True
110,7,lichen_bridge,Rin,rest alcove,signal keeper,0.508,0.22544,0.128,0.24,0.185,0.6136,0.074616,0.619154,0.46,14.862094,0.055615,0.10554,0.026674,wetness,shakes cloak and avoids puddles,13.00808,0.839389,True,True
111,7,orchid_engine,Eli,engine ring,meal runner,0.462,0.31536,0.262,0.258,0.714,0.5192,0.062374,0.622024,0.555,15.307846,0.059507,0.158645,0.032615,wetness,shakes cloak and avoids puddles,15.734417,0.869533,True,True
112,7,moss_ward,Ari,rain gate,cook,0.54,0.1192,0.207,0.25,0.1818,0.7028,0.037968,0.599661,0.595,13.039806,0.044739,0.014746,0.004487,wetness,shakes cloak and avoids puddles,10.36492,0.829878,True,True
113,7,glass_harbor,Oren,net room,salt washer,0.498,0.28944,0.279,0.25,0.18,0.7672,0.087108,0.571567,0.545,15.23705,0.052912,0.180805,0.032884,wetness,shakes cloak and avoids puddles,12.541095,0.848122,True,True
114,7,cinder_garden,Vale,shade tent,ash sweeper,0.508,0.33144,0.266,0.246,0.809,0.0,0.00522,0.724145,0.67,14.66572,0.042094,0.17914,1.6e-05,temperature,seeks warmer or cooler edge,13.984896,0.880567,True,True
115,7,lichen_bridge,Sol,rest alcove,meal marker,0.472,0.31536,0.266,0.24,0.185,0.5442,0.070604,0.615727,0.56,15.337226,0.060155,0.179509,0.020651,wetness,shakes cloak and avoids puddles,13.044112,0.874111,True,True
116,7,orchid_engine,Bea,engine ring,valve listener,0.54,0.0832,0.275,0.228,0.792,0.5464,0.006891,0.624625,0.515,12.813347,0.041052,0.011338,0.006014,wetness,shakes cloak and avoids puddles,14.542469,0.904256,True,True
117,7,moss_ward,Fay,rain gate,path watcher,0.498,0.32544,0.277,0.25,0.18,0.88,0.086651,0.551576,0.595,15.394307,0.05516,0.161669,0.020865,wetness,shakes cloak and avoids puddles,11.11071,0.8646,True,True
118,7,glass_harbor,Puck,net room,lamp guard,0.488,0.25544,0.27,0.1,0.18,0.7116,0.034774,0.590848,0.55,14.563044,0.056858,0.107604,0.006186,wetness,shakes cloak and avoids puddles,12.102493,0.882844,True,True
119,7,cinder_garden,Wren,shade tent,shade caller,0.472,0.27936,0.264,0.24,0.683,0.0,0.04538,0.717959,0.61,14.62588,0.048817,0.178213,0.020514,safety,turns toward shelter route,14.881648,0.915289,True,True
