sensory_tick_id,tick_index,place,visual,sound,smell,temperature_c,wetness,pain_risk,comfort,vibration_hz,body_state
sense_001,1,threshold,"threshold marks, avatar path, agent body posture, flower phase vesica","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.212,0.1224,"warm alcove, dry route marker, or step-back consent space",2.24936,energy=0.933; wetness=0.212; pain=0.122
sense_012,12,threshold,"threshold marks, avatar path, agent body posture, flower phase square","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.344,0.1488,"warm alcove, dry route marker, or step-back consent space",2.66632,energy=0.874; wetness=0.344; pain=0.149
sense_013,13,threshold,"threshold marks, avatar path, agent body posture, flower phase pentad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.2,0.12,"warm alcove, dry route marker, or step-back consent space",2.816,energy=0.867; wetness=0.200; pain=0.120
sense_014,14,market,"market marks, avatar path, agent body posture, flower phase hexad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.172,0.1544,"warm alcove, dry route marker, or step-back consent space",2.99816,energy=0.860; wetness=0.172; pain=0.154
sense_015,15,market,"market marks, avatar path, agent body posture, flower phase flower","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.184,0.1568,"warm alcove, dry route marker, or step-back consent space",3.19152,energy=0.852; wetness=0.184; pain=0.157
sense_016,16,market,"market marks, avatar path, agent body posture, flower phase fruit","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.196,0.1592,"warm alcove, dry route marker, or step-back consent space",3.38488,energy=0.855; wetness=0.196; pain=0.159
sense_017,17,market,"market marks, avatar path, agent body posture, flower phase return","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.208,0.1616,"warm alcove, dry route marker, or step-back consent space",3.57824,energy=0.848; wetness=0.208; pain=0.162
sense_018,18,threshold,"threshold marks, avatar path, agent body posture, flower phase seed","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.26,0.172,"warm alcove, dry route marker, or step-back consent space",2.0728,energy=0.841; wetness=0.260; pain=0.172
sense_019,19,threshold,"threshold marks, avatar path, agent body posture, flower phase vesica","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.272,0.1744,"warm alcove, dry route marker, or step-back consent space",2.26616,energy=0.841; wetness=0.272; pain=0.174
sense_020,20,market,"market marks, avatar path, agent body posture, flower phase triad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.244,0.1688,"warm alcove, dry route marker, or step-back consent space",2.44832,energy=0.834; wetness=0.244; pain=0.169
sense_021,21,market,"market marks, avatar path, agent body posture, flower phase square","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.256,0.1712,"warm alcove, dry route marker, or step-back consent space",2.64168,energy=0.827; wetness=0.256; pain=0.171
sense_022,22,market,"market marks, avatar path, agent body posture, flower phase pentad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.268,0.1736,"warm alcove, dry route marker, or step-back consent space",2.83504,energy=0.830; wetness=0.268; pain=0.174
sense_023,23,market,"market marks, avatar path, agent body posture, flower phase hexad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.28,0.176,"warm alcove, dry route marker, or step-back consent space",3.0284,energy=0.822; wetness=0.280; pain=0.176
sense_024,24,market,"market marks, avatar path, agent body posture, flower phase flower","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.292,0.1784,"warm alcove, dry route marker, or step-back consent space",3.22176,energy=0.822; wetness=0.292; pain=0.178
sense_025,25,market,"market marks, avatar path, agent body posture, flower phase fruit","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.304,0.1808,"warm alcove, dry route marker, or step-back consent space",3.41512,energy=0.815; wetness=0.304; pain=0.181
sense_026,26,market,"market marks, avatar path, agent body posture, flower phase return","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.16,0.152,"warm alcove, dry route marker, or step-back consent space",3.5648,energy=0.808; wetness=0.160; pain=0.152
sense_027,27,market,"market marks, avatar path, agent body posture, flower phase seed","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.172,0.1544,"warm alcove, dry route marker, or step-back consent space",2.04816,energy=0.801; wetness=0.172; pain=0.154
sense_028,28,market,"market marks, avatar path, agent body posture, flower phase vesica","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.184,0.1568,"warm alcove, dry route marker, or step-back consent space",2.24152,energy=0.804; wetness=0.184; pain=0.157
sense_029,29,market,"market marks, avatar path, agent body posture, flower phase triad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.196,0.1592,"warm alcove, dry route marker, or step-back consent space",2.43488,energy=0.797; wetness=0.196; pain=0.159
sense_030,30,market,"market marks, avatar path, agent body posture, flower phase square","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.208,0.1616,"warm alcove, dry route marker, or step-back consent space",2.62824,energy=0.789; wetness=0.208; pain=0.162
sense_031,31,market,"market marks, avatar path, agent body posture, flower phase pentad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.22,0.164,"warm alcove, dry route marker, or step-back consent space",2.8216,energy=0.789; wetness=0.220; pain=0.164
sense_032,32,market,"market marks, avatar path, agent body posture, flower phase hexad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.232,0.1664,"warm alcove, dry route marker, or step-back consent space",3.01496,energy=0.782; wetness=0.232; pain=0.166
sense_033,33,market,"market marks, avatar path, agent body posture, flower phase flower","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.244,0.1688,"warm alcove, dry route marker, or step-back consent space",3.20832,energy=0.775; wetness=0.244; pain=0.169
sense_034,34,market,"market marks, avatar path, agent body posture, flower phase fruit","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.256,0.1712,"warm alcove, dry route marker, or step-back consent space",3.40168,energy=0.778; wetness=0.256; pain=0.171
sense_035,35,market,"market marks, avatar path, agent body posture, flower phase return","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.268,0.1736,"warm alcove, dry route marker, or step-back consent space",3.59504,energy=0.771; wetness=0.268; pain=0.174
sense_036,36,market,"market marks, avatar path, agent body posture, flower phase seed","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.28,0.176,"warm alcove, dry route marker, or step-back consent space",2.0784,energy=0.756; wetness=0.280; pain=0.176
sense_037,37,market,"market marks, avatar path, agent body posture, flower phase vesica","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.292,0.1784,"warm alcove, dry route marker, or step-back consent space",2.27176,energy=0.749; wetness=0.292; pain=0.178
sense_038,38,market,"market marks, avatar path, agent body posture, flower phase triad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.304,0.1808,"warm alcove, dry route marker, or step-back consent space",2.46512,energy=0.742; wetness=0.304; pain=0.181
sense_039,39,market,"market marks, avatar path, agent body posture, flower phase square","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.16,0.152,"warm alcove, dry route marker, or step-back consent space",2.6148,energy=0.735; wetness=0.160; pain=0.152
sense_040,40,market,"market marks, avatar path, agent body posture, flower phase pentad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.172,0.1544,"warm alcove, dry route marker, or step-back consent space",2.80816,energy=0.738; wetness=0.172; pain=0.154
sense_041,41,market,"market marks, avatar path, agent body posture, flower phase hexad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.184,0.1568,"warm alcove, dry route marker, or step-back consent space",3.00152,energy=0.731; wetness=0.184; pain=0.157
sense_042,42,market,"market marks, avatar path, agent body posture, flower phase flower","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.196,0.1592,"warm alcove, dry route marker, or step-back consent space",3.19488,energy=0.723; wetness=0.196; pain=0.159
sense_043,43,market,"market marks, avatar path, agent body posture, flower phase fruit","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.208,0.1616,"warm alcove, dry route marker, or step-back consent space",3.38824,energy=0.723; wetness=0.208; pain=0.162
sense_044,44,market,"market marks, avatar path, agent body posture, flower phase return","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.22,0.164,"warm alcove, dry route marker, or step-back consent space",3.5816,energy=0.716; wetness=0.220; pain=0.164
sense_045,45,market,"market marks, avatar path, agent body posture, flower phase seed","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.232,0.1664,"warm alcove, dry route marker, or step-back consent space",2.06496,energy=0.709; wetness=0.232; pain=0.166
sense_046,46,market,"market marks, avatar path, agent body posture, flower phase vesica","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.244,0.1688,"warm alcove, dry route marker, or step-back consent space",2.25832,energy=0.712; wetness=0.244; pain=0.169
sense_047,47,market,"market marks, avatar path, agent body posture, flower phase triad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.256,0.1712,"warm alcove, dry route marker, or step-back consent space",2.45168,energy=0.705; wetness=0.256; pain=0.171
sense_048,48,market,"market marks, avatar path, agent body posture, flower phase square","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.268,0.1736,"warm alcove, dry route marker, or step-back consent space",2.64504,energy=0.705; wetness=0.268; pain=0.174
sense_049,49,market,"market marks, avatar path, agent body posture, flower phase pentad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.28,0.176,"warm alcove, dry route marker, or step-back consent space",2.8384,energy=0.698; wetness=0.280; pain=0.176
sense_050,50,market,"market marks, avatar path, agent body posture, flower phase hexad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.292,0.1784,"warm alcove, dry route marker, or step-back consent space",3.03176,energy=0.690; wetness=0.292; pain=0.178
sense_051,51,market,"market marks, avatar path, agent body posture, flower phase flower","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.304,0.1808,"warm alcove, dry route marker, or step-back consent space",3.22512,energy=0.683; wetness=0.304; pain=0.181
sense_052,52,market,"market marks, avatar path, agent body posture, flower phase fruit","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.16,0.152,"warm alcove, dry route marker, or step-back consent space",3.3748,energy=0.686; wetness=0.160; pain=0.152
sense_053,53,market,"market marks, avatar path, agent body posture, flower phase return","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.172,0.1544,"warm alcove, dry route marker, or step-back consent space",3.56816,energy=0.679; wetness=0.172; pain=0.154
sense_054,54,market,"market marks, avatar path, agent body posture, flower phase seed","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.184,0.1568,"warm alcove, dry route marker, or step-back consent space",2.05152,energy=0.672; wetness=0.184; pain=0.157
sense_055,55,market,"market marks, avatar path, agent body posture, flower phase vesica","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.196,0.1592,"warm alcove, dry route marker, or step-back consent space",2.24488,energy=0.672; wetness=0.196; pain=0.159
sense_056,56,market,"market marks, avatar path, agent body posture, flower phase triad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.208,0.1616,"warm alcove, dry route marker, or step-back consent space",2.43824,energy=0.665; wetness=0.208; pain=0.162
sense_057,57,market,"market marks, avatar path, agent body posture, flower phase square","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.22,0.164,"warm alcove, dry route marker, or step-back consent space",2.6316,energy=0.657; wetness=0.220; pain=0.164
sense_058,58,market,"market marks, avatar path, agent body posture, flower phase pentad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.232,0.1664,"warm alcove, dry route marker, or step-back consent space",2.82496,energy=0.660; wetness=0.232; pain=0.166
sense_059,59,market,"market marks, avatar path, agent body posture, flower phase hexad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.244,0.1688,"warm alcove, dry route marker, or step-back consent space",3.01832,energy=0.653; wetness=0.244; pain=0.169
sense_060,60,market,"market marks, avatar path, agent body posture, flower phase flower","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.256,0.1712,"warm alcove, dry route marker, or step-back consent space",3.21168,energy=0.639; wetness=0.256; pain=0.171
sense_061,61,market,"market marks, avatar path, agent body posture, flower phase fruit","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.268,0.1736,"warm alcove, dry route marker, or step-back consent space",3.40504,energy=0.632; wetness=0.268; pain=0.174
sense_062,62,market,"market marks, avatar path, agent body posture, flower phase return","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.28,0.176,"warm alcove, dry route marker, or step-back consent space",3.5984,energy=0.624; wetness=0.280; pain=0.176
sense_063,63,market,"market marks, avatar path, agent body posture, flower phase seed","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.292,0.1784,"warm alcove, dry route marker, or step-back consent space",2.08176,energy=0.617; wetness=0.292; pain=0.178
sense_064,64,market,"market marks, avatar path, agent body posture, flower phase vesica","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.304,0.1808,"warm alcove, dry route marker, or step-back consent space",2.27512,energy=0.620; wetness=0.304; pain=0.181
sense_065,65,market,"market marks, avatar path, agent body posture, flower phase triad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.16,0.152,"warm alcove, dry route marker, or step-back consent space",2.4248,energy=0.613; wetness=0.160; pain=0.152
sense_066,66,market,"market marks, avatar path, agent body posture, flower phase square","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.172,0.1544,"warm alcove, dry route marker, or step-back consent space",2.61816,energy=0.606; wetness=0.172; pain=0.154
sense_067,67,market,"market marks, avatar path, agent body posture, flower phase pentad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.184,0.1568,"warm alcove, dry route marker, or step-back consent space",2.81152,energy=0.606; wetness=0.184; pain=0.157
sense_068,68,market,"market marks, avatar path, agent body posture, flower phase hexad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.196,0.1592,"warm alcove, dry route marker, or step-back consent space",3.00488,energy=0.599; wetness=0.196; pain=0.159
sense_069,69,market,"market marks, avatar path, agent body posture, flower phase flower","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.208,0.1616,"warm alcove, dry route marker, or step-back consent space",3.19824,energy=0.591; wetness=0.208; pain=0.162
sense_070,70,market,"market marks, avatar path, agent body posture, flower phase fruit","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.22,0.164,"warm alcove, dry route marker, or step-back consent space",3.3916,energy=0.594; wetness=0.220; pain=0.164
sense_071,71,market,"market marks, avatar path, agent body posture, flower phase return","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.232,0.1664,"warm alcove, dry route marker, or step-back consent space",3.58496,energy=0.587; wetness=0.232; pain=0.166
sense_072,72,market,"market marks, avatar path, agent body posture, flower phase seed","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.244,0.1688,"warm alcove, dry route marker, or step-back consent space",2.06832,energy=0.573; wetness=0.244; pain=0.169
