tick_id,day,settlement_id,resident_id,avatar_action,consequence_type,trust_delta,respect_delta,access_delta,memory_written,persistent_key,visible_next_visit_effect,no_endless_distress
36,4,riverbend,Ari,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Ari,resident approaches sooner on next visit,True
37,4,roofward,Sera,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Sera,resident shares a more specific local word,True
38,4,archive,Nia,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Nia,resident approaches sooner on next visit,True
39,4,signal,Ren,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.signal.Ren,resident keeps more distance on next visit,True
40,4,orchard,Ivo,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.orchard.Ivo,resident recognizes the avatar,True
41,4,repair_ring,Pax,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.repair_ring.Pax,resident shares a more specific local word,True
42,4,riverbend,Ari,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.riverbend.Ari,resident keeps more distance on next visit,True
43,4,roofward,Sera,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.roofward.Sera,resident recognizes the avatar,True
44,4,archive,Nia,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Nia,resident shares a more specific local word,True
45,4,signal,Ren,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Ren,resident approaches sooner on next visit,True
46,4,orchard,Ivo,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Ivo,resident shares a more specific local word,True
47,4,repair_ring,Pax,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Pax,resident approaches sooner on next visit,True
48,5,riverbend,Lio,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.riverbend.Lio,resident recognizes the avatar,True
49,5,roofward,Fay,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Fay,resident shares a more specific local word,True
50,5,archive,Toma,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.archive.Toma,resident keeps more distance on next visit,True
51,5,signal,Milo,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Milo,resident approaches sooner on next visit,True
52,5,orchard,Mara,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Mara,resident shares a more specific local word,True
53,5,repair_ring,Juno,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Juno,resident approaches sooner on next visit,True
54,5,riverbend,Lio,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Lio,resident approaches sooner on next visit,True
55,5,roofward,Fay,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Fay,resident shares a more specific local word,True
56,5,archive,Toma,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Toma,resident approaches sooner on next visit,True
57,5,signal,Milo,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.signal.Milo,resident recognizes the avatar,True
58,5,orchard,Mara,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Mara,resident shares a more specific local word,True
59,5,repair_ring,Juno,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.repair_ring.Juno,resident keeps more distance on next visit,True
60,6,roofward,Fay,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Fay,resident shares a more specific local word,True
61,6,archive,Toma,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.archive.Toma,resident keeps more distance on next visit,True
62,6,signal,Milo,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Milo,resident approaches sooner on next visit,True
63,6,orchard,Mara,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Mara,resident shares a more specific local word,True
64,6,repair_ring,Juno,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Juno,resident approaches sooner on next visit,True
65,6,riverbend,Lio,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Lio,resident approaches sooner on next visit,True
66,6,roofward,Fay,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Fay,resident shares a more specific local word,True
67,6,archive,Toma,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Toma,resident approaches sooner on next visit,True
68,6,signal,Milo,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.signal.Milo,resident recognizes the avatar,True
69,6,orchard,Mara,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Mara,resident shares a more specific local word,True
70,6,repair_ring,Juno,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.repair_ring.Juno,resident keeps more distance on next visit,True
71,6,riverbend,Lio,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.riverbend.Lio,resident recognizes the avatar,True
72,7,roofward,Sera,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.roofward.Sera,resident approaches sooner on next visit,True
73,7,archive,Nia,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.archive.Nia,resident keeps more distance on next visit,True
74,7,signal,Ren,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.signal.Ren,resident recognizes the avatar,True
75,7,orchard,Ivo,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Ivo,resident shares a more specific local word,True
76,7,repair_ring,Pax,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Pax,resident approaches sooner on next visit,True
77,7,riverbend,Ari,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.riverbend.Ari,resident recognizes the avatar,True
78,7,roofward,Sera,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Sera,resident shares a more specific local word,True
79,7,archive,Nia,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Nia,resident approaches sooner on next visit,True
80,7,signal,Ren,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Ren,resident shares a more specific local word,True
81,7,orchard,Ivo,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Ivo,resident approaches sooner on next visit,True
82,7,repair_ring,Pax,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.repair_ring.Pax,resident keeps more distance on next visit,True
83,7,riverbend,Ari,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Ari,resident shares a more specific local word,True
84,8,roofward,Fay,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.roofward.Fay,resident keeps more distance on next visit,True
85,8,archive,Toma,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Toma,resident approaches sooner on next visit,True
86,8,signal,Milo,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Milo,resident shares a more specific local word,True
87,8,orchard,Mara,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Mara,resident approaches sooner on next visit,True
88,8,repair_ring,Juno,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.repair_ring.Juno,resident recognizes the avatar,True
89,8,riverbend,Lio,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Lio,resident shares a more specific local word,True
90,8,roofward,Fay,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.roofward.Fay,resident approaches sooner on next visit,True
91,8,archive,Toma,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.archive.Toma,resident recognizes the avatar,True
92,8,signal,Milo,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Milo,resident shares a more specific local word,True
93,8,orchard,Mara,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.orchard.Mara,resident keeps more distance on next visit,True
94,8,repair_ring,Juno,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Juno,resident approaches sooner on next visit,True
95,8,riverbend,Lio,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Lio,resident shares a more specific local word,True
96,9,roofward,Sera,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.roofward.Sera,resident keeps more distance on next visit,True
97,9,archive,Nia,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.archive.Nia,resident recognizes the avatar,True
98,9,signal,Ren,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Ren,resident shares a more specific local word,True
99,9,orchard,Ivo,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Ivo,resident approaches sooner on next visit,True
100,9,repair_ring,Pax,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.repair_ring.Pax,resident shares a more specific local word,True
101,9,riverbend,Ari,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Ari,resident shares a more specific local word,True
102,9,roofward,Sera,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.roofward.Sera,resident approaches sooner on next visit,True
103,9,archive,Nia,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Nia,resident shares a more specific local word,True
104,9,signal,Ren,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Ren,resident approaches sooner on next visit,True
105,9,orchard,Ivo,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.orchard.Ivo,resident keeps more distance on next visit,True
106,9,repair_ring,Pax,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.repair_ring.Pax,resident recognizes the avatar,True
107,9,riverbend,Ari,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Ari,resident approaches sooner on next visit,True
108,10,roofward,Fay,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.roofward.Fay,resident approaches sooner on next visit,True
109,10,archive,Toma,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Toma,resident shares a more specific local word,True
110,10,signal,Milo,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Milo,resident approaches sooner on next visit,True
111,10,orchard,Mara,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.orchard.Mara,resident recognizes the avatar,True
112,10,repair_ring,Juno,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.repair_ring.Juno,resident shares a more specific local word,True
113,10,riverbend,Lio,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Lio,resident approaches sooner on next visit,True
114,10,roofward,Fay,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.roofward.Fay,resident recognizes the avatar,True
115,10,archive,Toma,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Toma,resident shares a more specific local word,True
116,10,signal,Milo,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.signal.Milo,resident keeps more distance on next visit,True
117,10,orchard,Mara,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Mara,resident approaches sooner on next visit,True
118,10,repair_ring,Juno,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.repair_ring.Juno,resident shares a more specific local word,True
119,10,riverbend,Lio,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.riverbend.Lio,resident keeps more distance on next visit,True
120,11,roofward,Sera,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.roofward.Sera,resident recognizes the avatar,True
121,11,archive,Nia,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Nia,resident shares a more specific local word,True
122,11,signal,Ren,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Ren,resident approaches sooner on next visit,True
123,11,orchard,Ivo,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Ivo,resident shares a more specific local word,True
124,11,repair_ring,Pax,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Pax,resident approaches sooner on next visit,True
125,11,riverbend,Ari,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Ari,resident approaches sooner on next visit,True
126,11,roofward,Sera,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Sera,resident shares a more specific local word,True
127,11,archive,Nia,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Nia,resident approaches sooner on next visit,True
128,11,signal,Ren,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.signal.Ren,resident keeps more distance on next visit,True
129,11,orchard,Ivo,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.orchard.Ivo,resident recognizes the avatar,True
130,11,repair_ring,Pax,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.repair_ring.Pax,resident shares a more specific local word,True
131,11,riverbend,Ari,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.riverbend.Ari,resident keeps more distance on next visit,True
132,12,archive,Nia,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Nia,resident shares a more specific local word,True
133,12,signal,Ren,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Ren,resident approaches sooner on next visit,True
134,12,orchard,Ivo,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Ivo,resident shares a more specific local word,True
135,12,repair_ring,Pax,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Pax,resident approaches sooner on next visit,True
136,12,riverbend,Ari,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Ari,resident approaches sooner on next visit,True
137,12,roofward,Sera,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Sera,resident shares a more specific local word,True
138,12,archive,Nia,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Nia,resident approaches sooner on next visit,True
139,12,signal,Ren,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.signal.Ren,resident keeps more distance on next visit,True
140,12,orchard,Ivo,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.orchard.Ivo,resident recognizes the avatar,True
141,12,repair_ring,Pax,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.repair_ring.Pax,resident shares a more specific local word,True
142,12,riverbend,Ari,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.riverbend.Ari,resident keeps more distance on next visit,True
143,12,roofward,Sera,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.roofward.Sera,resident recognizes the avatar,True
144,13,archive,Toma,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Toma,resident approaches sooner on next visit,True
145,13,signal,Milo,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.signal.Milo,resident recognizes the avatar,True
146,13,orchard,Mara,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Mara,resident shares a more specific local word,True
147,13,repair_ring,Juno,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.repair_ring.Juno,resident keeps more distance on next visit,True
148,13,riverbend,Lio,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.riverbend.Lio,resident recognizes the avatar,True
149,13,roofward,Fay,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Fay,resident shares a more specific local word,True
150,13,archive,Toma,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.archive.Toma,resident keeps more distance on next visit,True
151,13,signal,Milo,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Milo,resident approaches sooner on next visit,True
152,13,orchard,Mara,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Mara,resident shares a more specific local word,True
153,13,repair_ring,Juno,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Juno,resident approaches sooner on next visit,True
154,13,riverbend,Lio,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Lio,resident approaches sooner on next visit,True
155,13,roofward,Fay,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Fay,resident shares a more specific local word,True
156,14,archive,Nia,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Nia,resident approaches sooner on next visit,True
157,14,signal,Ren,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Ren,resident shares a more specific local word,True
158,14,orchard,Ivo,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Ivo,resident approaches sooner on next visit,True
159,14,repair_ring,Pax,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.repair_ring.Pax,resident keeps more distance on next visit,True
160,14,riverbend,Ari,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Ari,resident shares a more specific local word,True
161,14,roofward,Sera,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.roofward.Sera,resident approaches sooner on next visit,True
162,14,archive,Nia,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.archive.Nia,resident keeps more distance on next visit,True
163,14,signal,Ren,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.signal.Ren,resident recognizes the avatar,True
164,14,orchard,Ivo,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.orchard.Ivo,resident shares a more specific local word,True
165,14,repair_ring,Pax,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Pax,resident approaches sooner on next visit,True
166,14,riverbend,Ari,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.riverbend.Ari,resident recognizes the avatar,True
167,14,roofward,Sera,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.roofward.Sera,resident shares a more specific local word,True
168,15,archive,Toma,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.archive.Toma,resident recognizes the avatar,True
169,15,signal,Milo,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Milo,resident shares a more specific local word,True
170,15,orchard,Mara,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.orchard.Mara,resident keeps more distance on next visit,True
171,15,repair_ring,Juno,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Juno,resident approaches sooner on next visit,True
172,15,riverbend,Lio,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Lio,resident shares a more specific local word,True
173,15,roofward,Fay,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.roofward.Fay,resident keeps more distance on next visit,True
174,15,archive,Toma,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Toma,resident approaches sooner on next visit,True
175,15,signal,Milo,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Milo,resident shares a more specific local word,True
176,15,orchard,Mara,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Mara,resident approaches sooner on next visit,True
177,15,repair_ring,Juno,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.repair_ring.Juno,resident recognizes the avatar,True
178,15,riverbend,Lio,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Lio,resident shares a more specific local word,True
179,15,roofward,Fay,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.roofward.Fay,resident approaches sooner on next visit,True
180,16,archive,Nia,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Nia,resident shares a more specific local word,True
181,16,signal,Ren,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Ren,resident approaches sooner on next visit,True
182,16,orchard,Ivo,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.orchard.Ivo,resident keeps more distance on next visit,True
183,16,repair_ring,Pax,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.repair_ring.Pax,resident recognizes the avatar,True
184,16,riverbend,Ari,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Ari,resident approaches sooner on next visit,True
185,16,roofward,Sera,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.roofward.Sera,resident keeps more distance on next visit,True
186,16,archive,Nia,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.archive.Nia,resident recognizes the avatar,True
187,16,signal,Ren,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Ren,resident shares a more specific local word,True
188,16,orchard,Ivo,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Ivo,resident approaches sooner on next visit,True
