tick_id,day,project_id,owner,sight_cue,sound_cue,body_cue,material_cue,weather_cue,sensory_bound_to_project
121,7,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,paper ledger,dusk chill,true
122,7,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,quiet rain,true
123,7,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,cold floor,true
124,7,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,clear air,true
125,7,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,dry wind,true
126,8,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,planks ledger,dusk chill,true
127,8,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,quiet rain,true
128,8,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
129,8,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,clear air,true
130,8,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dry wind,true
131,8,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,warm light,true
132,8,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dusk chill,true
133,8,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,quiet rain,true
134,8,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,cold floor,true
135,8,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,clear air,true
136,8,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,glass ledger,dry wind,true
137,8,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,thread ledger,warm light,true
138,8,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dusk chill,true
139,8,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,water ledger,quiet rain,true
140,8,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
141,8,archive_weather_log,Nia,stacked materials,agent call,steady posture,ink ledger,clear air,true
142,8,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,resin ledger,dry wind,true
143,8,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,warm light,true
144,9,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,quiet rain,true
145,9,west_bridge_repair,Ari,idle project card,tool scrape,steady posture,resin ledger,cold floor,true
146,9,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,clear air,true
147,9,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dry wind,true
148,9,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,warm light,true
149,9,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dusk chill,true
150,9,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,seed ledger,quiet rain,true
151,9,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,cold floor,true
152,9,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,clear air,true
153,9,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dry wind,true
154,9,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,warm light,true
155,9,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,wire ledger,dusk chill,true
156,9,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,quiet rain,true
157,9,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,resin ledger,cold floor,true
158,9,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,clear air,true
159,9,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dry wind,true
160,9,archive_weather_log,Nia,idle project card,quiet rest,resting posture,paper ledger,warm light,true
161,9,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,rope ledger,dusk chill,true
162,10,herb_roof_garden,Fay,idle project card,tool scrape,steady posture,water ledger,cold floor,true
163,10,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,clear air,true
164,10,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,dry wind,true
165,10,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,planks ledger,warm light,true
166,10,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,dusk chill,true
167,10,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,quiet rain,true
168,10,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,cold floor,true
169,10,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,clear air,true
170,10,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,dry wind,true
171,10,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,oil ledger,warm light,true
172,10,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,dusk chill,true
173,10,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,quiet rain,true
174,10,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,cold floor,true
175,10,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,clear air,true
176,10,archive_weather_log,Nia,stacked materials,agent call,steady posture,thread ledger,dry wind,true
177,10,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,warm light,true
178,10,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,dusk chill,true
179,10,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,oil ledger,quiet rain,true
180,11,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,clear air,true
181,11,west_bridge_repair,Ari,idle project card,tool scrape,steady posture,resin ledger,dry wind,true
182,11,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,warm light,true
183,11,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,dusk chill,true
184,11,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,quiet rain,true
185,11,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,cold floor,true
186,11,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,water ledger,clear air,true
187,11,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dry wind,true
188,11,archive_weather_log,Nia,stacked materials,agent call,steady posture,thread ledger,warm light,true
189,11,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dusk chill,true
190,11,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,quiet rain,true
191,11,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,oil ledger,cold floor,true
192,11,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,clear air,true
193,11,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dry wind,true
194,11,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,warm light,true
195,11,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,dusk chill,true
196,11,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,quiet rain,true
197,11,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,rope ledger,cold floor,true
198,12,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,dry wind,true
199,12,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,warm light,true
200,12,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,rope ledger,dusk chill,true
201,12,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,quiet rain,true
202,12,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
203,12,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,clear air,true
204,12,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dry wind,true
205,12,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,warm light,true
206,12,north_lantern_relay,Milo,stacked materials,agent call,steady posture,oil ledger,dusk chill,true
207,12,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,quiet rain,true
208,12,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,resin ledger,cold floor,true
209,12,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,clear air,true
210,12,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,dry wind,true
211,12,archive_weather_log,Nia,stacked materials,agent call,steady posture,thread ledger,warm light,true
212,12,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dusk chill,true
213,12,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,quiet rain,true
214,12,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,wire ledger,cold floor,true
215,12,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,clear air,true
216,13,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,planks ledger,warm light,true
217,13,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,dusk chill,true
218,13,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,quiet rain,true
219,13,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,cold floor,true
220,13,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,clear air,true
221,13,herb_roof_garden,Fay,stacked materials,agent call,steady posture,seed ledger,dry wind,true
222,13,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,warm light,true
223,13,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,dusk chill,true
224,13,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,quiet rain,true
225,13,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,cold floor,true
226,13,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,wire ledger,clear air,true
227,13,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,dry wind,true
228,13,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,warm light,true
229,13,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,dusk chill,true
230,13,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,quiet rain,true
231,13,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,paper ledger,cold floor,true
232,13,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,resin ledger,clear air,true
233,13,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,seed ledger,dry wind,true
234,14,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,dusk chill,true
235,14,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,quiet rain,true
236,14,west_bridge_repair,Ari,stacked materials,agent call,steady posture,rope ledger,cold floor,true
237,14,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,clear air,true
238,14,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dry wind,true
239,14,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,ink ledger,warm light,true
240,14,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dusk chill,true
241,14,herb_roof_garden,Fay,blocked marker,agent call,steady posture,low stock tag,quiet rain,true
242,14,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,cold floor,true
243,14,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,clear air,true
244,14,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dry wind,true
245,14,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,warm light,true
246,14,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,dusk chill,true
247,14,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,thread ledger,quiet rain,true
248,14,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,cold floor,true
249,14,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,clear air,true
250,14,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,wire ledger,dry wind,true
251,14,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,warm light,true
252,15,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,quiet rain,true
253,15,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,wire ledger,cold floor,true
254,15,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,clear air,true
255,15,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,planks ledger,dry wind,true
256,15,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,warm light,true
257,15,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,oil ledger,dusk chill,true
258,15,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,quiet rain,true
259,15,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,rope ledger,cold floor,true
260,15,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,clear air,true
261,15,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,glass ledger,dry wind,true
262,15,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,warm light,true
263,15,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dusk chill,true
264,15,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,quiet rain,true
265,15,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
266,15,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,ink ledger,clear air,true
267,15,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dry wind,true
268,15,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,warm light,true
269,15,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,oil ledger,dusk chill,true
270,16,archive_weather_log,Nia,idle project card,quiet rest,resting posture,paper ledger,cold floor,true
271,16,west_bridge_repair,Ari,idle project card,tool scrape,steady posture,rope ledger,clear air,true
272,16,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,dry wind,true
273,16,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,warm light,true
274,16,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,dusk chill,true
275,16,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,quiet rain,true
276,16,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,water ledger,cold floor,true
277,16,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,clear air,true
278,16,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,dry wind,true
279,16,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,warm light,true
280,16,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,dusk chill,true
281,16,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,oil ledger,quiet rain,true
282,16,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,cold floor,true
283,16,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,clear air,true
284,16,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,dry wind,true
285,16,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,glass ledger,warm light,true
286,16,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,dusk chill,true
287,16,west_bridge_repair,Ari,idle project card,tool scrape,steady posture,planks ledger,quiet rain,true
288,17,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,clear air,true
289,17,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,oil ledger,dry wind,true
290,17,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,ink ledger,warm light,true
291,17,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,resin ledger,dusk chill,true
292,17,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,quiet rain,true
293,17,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,cold floor,true
294,17,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,clear air,true
295,17,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dry wind,true
296,17,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,warm light,true
297,17,north_lantern_relay,Milo,blocked marker,agent call,steady posture,low stock tag,dusk chill,true
298,17,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,quiet rain,true
299,17,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,cold floor,true
300,17,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,clear air,true
301,17,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dry wind,true
302,17,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,ink ledger,warm light,true
303,17,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dusk chill,true
304,17,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,quiet rain,true
305,17,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,cold floor,true
306,18,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,resin ledger,dry wind,true
