tick,day,resident,room,sound_level,smell_strength,temperature_c,wetness,light_level,pain_signal,fatigue_signal,overlay_intensity,sensory_frequency_hz,flower_phase,overlay_visible
19,2,Tovan,west hearth,0.729989,0.374047,18.298,0.336372,0.582513,0.054128,0.264454,0.390251,3.202,leaf,True
20,2,Nia,rain court,0.729458,0.357636,18.561,0.821372,0.643127,0.054837,0.290925,0.482893,3.572,bud,True
21,2,Ari,tool alcove,0.72752,0.341288,18.823,0.346206,0.7,0.05554,0.317395,0.414658,3.942,bloom,True
22,2,Fay,fiber loft,0.724182,0.325049,19.082,0.350867,0.751404,0.056237,0.343866,0.425267,4.312,fruit,True
23,2,Milo,glasshouse,0.719464,0.308964,19.338,0.355349,0.795776,0.056929,0.370336,0.43447,4.682,compost,True
24,2,Sera,river gate,0.713387,0.293078,19.591,0.839646,0.831769,0.057614,0.396807,0.52205,5.052,seed,True
25,2,Tovan,west hearth,0.705983,0.277437,19.84,0.363752,0.858289,0.218294,0.423278,0.474505,5.422,root,True
26,2,Nia,rain court,0.69729,0.262083,20.085,0.847661,0.874531,0.058966,0.449748,0.531713,5.792,stem,True
27,2,Ari,tool alcove,0.68735,0.247061,20.324,0.371367,0.88,0.059632,0.476219,0.453605,2.832,leaf,True
28,2,Fay,fiber loft,0.676214,0.232412,20.559,0.374867,0.874531,0.06029,0.502689,0.453501,3.202,bud,True
29,2,Milo,glasshouse,0.663939,0.218177,20.788,0.378155,0.858289,0.060942,0.52916,0.451444,3.572,bloom,True
30,2,Sera,river gate,0.650585,0.204397,21.011,0.861226,0.831769,0.061585,0.55563,0.527532,3.942,fruit,True
31,2,Tovan,west hearth,0.636221,0.191111,21.227,0.384076,0.795776,0.062221,0.582101,0.441918,4.312,compost,True
32,2,Nia,rain court,0.620918,0.178354,21.437,0.866702,0.751404,0.222849,0.608572,0.541466,4.682,seed,True
33,2,Ari,tool alcove,0.604754,0.166164,21.639,0.3891,0.7,0.063469,0.635042,0.426421,5.052,root,True
34,2,Fay,fiber loft,0.58781,0.154574,21.834,0.391266,0.643127,0.06408,0.661513,0.417062,5.422,stem,True
35,2,Milo,glasshouse,0.570172,0.143618,22.02,0.393198,0.582513,0.064682,0.687983,0.407028,5.792,leaf,True
36,3,Sera,west hearth,0.551929,0.133325,18.298,0.394892,0.52,0.065276,0.235495,0.316819,2.873,leaf,True
37,3,Tovan,rain court,0.533172,0.123725,18.561,0.876347,0.582513,0.06586,0.261965,0.407264,3.243,bud,True
38,3,Nia,tool alcove,0.513995,0.114845,18.823,0.397561,0.643127,0.226435,0.288436,0.364067,3.613,bloom,True
39,3,Ari,fiber loft,0.494496,0.10671,19.082,0.398532,0.7,0.067001,0.314906,0.346941,3.983,fruit,True
40,3,Fay,glasshouse,0.474774,0.099341,19.338,0.399259,0.751404,0.067557,0.341377,0.355618,4.353,compost,True
41,3,Milo,river gate,0.454926,0.092762,19.591,0.87974,0.795776,0.068103,0.367847,0.443192,4.723,seed,True
42,3,Sera,west hearth,0.435053,0.086988,19.84,0.399975,0.831769,0.068638,0.394318,0.369457,5.093,root,True
43,3,Tovan,rain court,0.415256,0.082038,20.085,0.879963,0.858289,0.069164,0.420789,0.45425,5.463,stem,True
44,3,Nia,tool alcove,0.395633,0.077924,20.324,0.399706,0.874531,0.069679,0.447259,0.377455,5.833,leaf,True
45,3,Ari,fiber loft,0.376285,0.074659,20.559,0.399202,0.88,0.230183,0.47373,0.405676,2.873,bud,True
46,3,Fay,glasshouse,0.357308,0.072251,20.788,0.398453,0.874531,0.070676,0.5002,0.378903,3.243,bloom,True
47,3,Milo,river gate,0.338799,0.070708,21.011,0.87746,0.858289,0.071158,0.526671,0.457181,3.613,fruit,True
48,3,Sera,west hearth,0.320849,0.070033,21.227,0.396224,0.831769,0.071629,0.553142,0.373941,3.983,compost,True
49,3,Tovan,rain court,0.30355,0.070229,21.437,0.874746,0.795776,0.072089,0.579612,0.449334,4.353,seed,True
50,3,Nia,tool alcove,0.28699,0.071294,21.639,0.39303,0.751404,0.072537,0.606083,0.363556,4.723,root,True
51,3,Ari,fiber loft,0.27125,0.073227,21.834,0.391076,0.7,0.072973,0.632553,0.356847,5.093,stem,True
52,3,Fay,glasshouse,0.256412,0.076021,22.02,0.388888,0.643127,0.233397,0.659024,0.376145,5.463,leaf,True
53,3,Milo,river gate,0.242548,0.079668,22.199,0.86647,0.582513,0.073809,0.685495,0.421751,5.833,bud,True
54,4,Sera,rain court,0.229731,0.08416,18.561,0.863823,0.52,0.074209,0.232069,0.333999,2.914,bud,True
55,4,Tovan,tool alcove,0.218023,0.089482,18.823,0.380952,0.582513,0.074597,0.25854,0.267351,3.284,bloom,True
56,4,Nia,fiber loft,0.207484,0.095619,19.082,0.377861,0.643127,0.074972,0.28501,0.280679,3.654,fruit,True
57,4,Ari,glasshouse,0.198166,0.102556,19.338,0.374554,0.7,0.075335,0.311481,0.293682,4.024,compost,True
58,4,Fay,river gate,0.190118,0.110271,19.591,0.851035,0.751404,0.235685,0.337952,0.412744,4.394,seed,True
59,4,Milo,west hearth,0.18338,0.118745,19.84,0.367309,0.795776,0.076021,0.364422,0.317609,4.764,root,True
60,4,Sera,rain court,0.177985,0.127951,20.085,0.843382,0.831769,0.076345,0.390893,0.408054,5.134,stem,True
61,4,Tovan,tool alcove,0.17396,0.137866,20.324,0.359258,0.858289,0.076656,0.417363,0.337232,5.504,leaf,True
62,4,Nia,fiber loft,0.171327,0.148461,20.559,0.354944,0.874531,0.076954,0.443834,0.345008,5.874,bud,True
63,4,Ari,glasshouse,0.170097,0.159706,20.788,0.350445,0.88,0.077238,0.470304,0.351298,2.914,bloom,True
64,4,Fay,river gate,0.170279,0.171569,21.011,0.825768,0.874531,0.077509,0.496775,0.436072,3.284,fruit,True
65,4,Milo,west hearth,0.171869,0.184018,21.227,0.340918,0.858289,0.237766,0.523246,0.386018,3.654,compost,True
66,4,Sera,rain court,0.174861,0.197017,21.437,0.815903,0.831769,0.07801,0.549716,0.441213,4.024,seed,True
67,4,Tovan,tool alcove,0.17924,0.210531,21.639,0.330729,0.795776,0.078239,0.576187,0.361784,4.394,root,True
68,4,Nia,fiber loft,0.184982,0.22452,21.834,0.325404,0.751404,0.078455,0.602657,0.361237,4.764,stem,True
69,4,Ari,glasshouse,0.192061,0.238945,22.02,0.319934,0.7,0.078658,0.629128,0.359788,5.134,leaf,True
70,4,Fay,river gate,0.200438,0.253767,22.199,0.794328,0.643127,0.078846,0.655599,0.437684,5.504,bud,True
71,4,Milo,west hearth,0.210074,0.268944,22.368,0.308592,0.582513,0.07902,0.682069,0.355202,5.874,bloom,True
72,5,Sera,tool alcove,0.220918,0.284432,18.823,0.302736,0.52,0.07918,0.227765,0.272505,2.955,bloom,True
73,5,Tovan,fiber loft,0.232917,0.300189,19.082,0.296766,0.582513,0.079326,0.254236,0.290991,3.325,fruit,True
74,5,Nia,glasshouse,0.246009,0.316169,19.338,0.29069,0.643127,0.079458,0.280706,0.30936,3.695,compost,True
75,5,Ari,river gate,0.26013,0.332329,19.591,0.764519,0.7,0.079576,0.307177,0.407288,4.065,seed,True
76,5,Fay,west hearth,0.275207,0.348623,19.84,0.278258,0.751404,0.079679,0.333647,0.34447,4.435,root,True
77,5,Milo,rain court,0.291165,0.365005,20.085,0.751918,0.795776,0.079768,0.360118,0.440625,4.805,stem,True
78,5,Sera,tool alcove,0.307923,0.381429,20.324,0.265507,0.831769,0.239842,0.386589,0.402177,5.175,leaf,True
79,5,Tovan,fiber loft,0.325397,0.39785,20.559,0.259034,0.858289,0.079903,0.413059,0.388922,5.545,bud,True
80,5,Nia,glasshouse,0.343499,0.41422,20.788,0.252507,0.874531,0.079948,0.43953,0.400706,5.915,bloom,True
81,5,Ari,river gate,0.362138,0.430493,21.011,0.725936,0.88,0.07998,0.466,0.490758,2.955,fruit,True
82,5,Fay,west hearth,0.381219,0.446626,21.227,0.239329,0.874531,0.079997,0.492471,0.419029,3.325,compost,True
83,5,Milo,rain court,0.400647,0.462571,21.437,0.712696,0.858289,0.079999,0.518941,0.505524,3.695,seed,True
84,5,Sera,tool alcove,0.420324,0.478284,21.639,0.226046,0.831769,0.079987,0.545412,0.430304,4.065,root,True
85,5,Tovan,fiber loft,0.44015,0.493721,21.834,0.219387,0.795776,0.239961,0.571883,0.460146,4.435,stem,True
86,5,Nia,glasshouse,0.460026,0.508838,22.02,0.212729,0.751404,0.07992,0.598353,0.435212,4.805,leaf,True
87,5,Ari,river gate,0.479851,0.523594,22.199,0.686081,0.7,0.079865,0.624824,0.515702,5.175,bud,True
88,5,Fay,west hearth,0.499526,0.537947,22.368,0.199452,0.643127,0.079795,0.651294,0.43519,5.545,bloom,True
89,5,Milo,rain court,0.518951,0.551856,22.529,0.672851,0.582513,0.079711,0.677765,0.513941,5.915,fruit,True
90,6,Sera,fiber loft,0.538029,0.565282,19.082,0.186287,0.52,0.079613,0.222655,0.351978,2.996,fruit,True
91,6,Tovan,glasshouse,0.556664,0.578189,19.338,0.179769,0.582513,0.2395,0.249125,0.397627,3.366,compost,True
92,6,Nia,river gate,0.574761,0.590538,19.591,0.653307,0.643127,0.079374,0.275596,0.46945,3.736,seed,True
93,6,Ari,west hearth,0.592229,0.602296,19.84,0.166908,0.7,0.079233,0.302067,0.407122,4.106,root,True
94,6,Fay,rain court,0.60898,0.61343,20.085,0.640582,0.751404,0.079077,0.328537,0.503669,4.476,stem,True
95,6,Milo,tool alcove,0.624931,0.623909,20.324,0.154338,0.795776,0.078908,0.355008,0.438812,4.846,leaf,True
96,6,Sera,fiber loft,0.64,0.633702,20.559,0.148183,0.831769,0.078725,0.381478,0.45231,5.216,bud,True
97,6,Tovan,glasshouse,0.654111,0.642783,20.788,0.142127,0.858289,0.078527,0.407949,0.463964,5.586,bloom,True
98,6,Nia,river gate,0.667194,0.651126,21.011,0.616177,0.874531,0.238316,0.43442,0.580294,5.956,fruit,True
99,6,Ari,west hearth,0.679183,0.658708,21.227,0.130342,0.88,0.078091,0.46089,0.481202,2.996,compost,True
100,6,Fay,rain court,0.690017,0.665507,21.437,0.604629,0.874531,0.077852,0.487361,0.566649,3.366,seed,True
101,6,Milo,tool alcove,0.699641,0.671504,21.639,0.119048,0.858289,0.077599,0.513831,0.489985,3.736,root,True
102,6,Sera,fiber loft,0.708008,0.676682,21.834,0.113604,0.831769,0.077333,0.540302,0.491283,4.106,stem,True
103,6,Tovan,glasshouse,0.715074,0.681027,22.02,0.108306,0.795776,0.077054,0.566772,0.490668,4.476,leaf,True
104,6,Nia,river gate,0.720805,0.684527,22.199,0.583161,0.751404,0.076761,0.593243,0.568317,4.846,bud,True
105,6,Ari,west hearth,0.725171,0.687172,22.368,0.098176,0.7,0.236455,0.619714,0.511115,5.216,bloom,True
106,6,Fay,rain court,0.728151,0.688954,22.529,0.573358,0.643127,0.076135,0.646184,0.559318,5.586,fruit,True
107,6,Milo,tool alcove,0.729729,0.689868,22.68,0.088713,0.582513,0.075803,0.672655,0.473213,5.956,compost,True
108,7,Sera,glasshouse,0.729898,0.689912,19.338,0.084247,0.52,0.075458,0.216825,0.386057,2.75,compost,True
109,7,Tovan,river gate,0.728656,0.689086,19.591,0.559968,0.582513,0.075099,0.243295,0.47977,3.12,seed,True
110,7,Nia,west hearth,0.72601,0.687392,19.84,0.07588,0.643127,0.074729,0.269766,0.412817,3.49,root,True
111,7,Ari,rain court,0.721973,0.684834,20.085,0.551989,0.7,0.234345,0.296237,0.531563,3.86,stem,True
112,7,Fay,tool alcove,0.716566,0.681421,20.324,0.068302,0.751404,0.073949,0.322707,0.435725,4.23,leaf,True
113,7,Milo,fiber loft,0.709816,0.67716,20.559,0.064821,0.795776,0.073541,0.349178,0.445049,4.6,bud,True
114,7,Sera,glasshouse,0.701756,0.672066,20.788,0.061553,0.831769,0.073121,0.375648,0.452652,4.97,bloom,True
115,7,Tovan,river gate,0.692428,0.666151,21.011,0.538502,0.858289,0.072689,0.402119,0.538363,5.34,fruit,True
116,7,Nia,west hearth,0.681879,0.659433,21.227,0.055673,0.874531,0.072245,0.428589,0.462058,5.71,compost,True
117,7,Ari,rain court,0.670161,0.651929,21.437,0.533068,0.88,0.07179,0.45506,0.543668,2.75,seed,True
118,7,Fay,tool alcove,0.657333,0.643663,21.639,0.050691,0.874531,0.231323,0.481531,0.489845,3.12,root,True
119,7,Milo,fiber loft,0.643461,0.634655,21.834,0.048546,0.858289,0.070845,0.508001,0.460633,3.49,stem,True
120,7,Sera,glasshouse,0.628614,0.624933,22.02,0.046636,0.831769,0.070355,0.534472,0.45613,3.86,leaf,True
121,7,Tovan,river gate,0.612867,0.614522,22.199,0.524964,0.795776,0.069855,0.560942,0.529821,4.23,bud,True
122,7,Nia,west hearth,0.596299,0.603454,22.368,0.043531,0.751404,0.069344,0.587413,0.441907,4.6,bloom,True
123,7,Ari,rain court,0.578995,0.591757,22.529,0.522339,0.7,0.068822,0.613884,0.512633,4.97,fruit,True
124,7,Fay,tool alcove,0.56104,0.579466,22.68,0.041391,0.643127,0.06829,0.640354,0.422278,5.34,compost,True
125,7,Milo,fiber loft,0.542525,0.566615,22.822,0.040687,0.582513,0.227747,0.666825,0.437819,5.71,seed,True
126,8,Sera,river gate,0.523545,0.553239,19.591,0.520228,0.52,0.067195,0.210373,0.399097,2.791,seed,True
127,8,Tovan,west hearth,0.504194,0.539377,19.84,0.040016,0.582513,0.066633,0.236844,0.328263,3.161,root,True
128,8,Nia,rain court,0.484569,0.525068,20.085,0.52005,0.643127,0.066061,0.263314,0.417032,3.531,stem,True
129,8,Ari,tool alcove,0.464771,0.510351,20.324,0.040331,0.7,0.06548,0.289785,0.34512,3.901,leaf,True
130,8,Fay,fiber loft,0.444898,0.495268,20.559,0.040857,0.751404,0.064889,0.316256,0.352262,4.271,bud,True
131,8,Milo,glasshouse,0.425051,0.479861,20.788,0.041628,0.795776,0.22429,0.342726,0.384889,4.641,bloom,True
132,8,Sera,river gate,0.40533,0.464174,21.011,0.522644,0.831769,0.063682,0.369197,0.442799,5.011,fruit,True
133,8,Tovan,west hearth,0.385833,0.448251,21.227,0.043902,0.858289,0.063065,0.395667,0.365835,5.381,compost,True
134,8,Nia,rain court,0.36666,0.432135,21.437,0.525402,0.874531,0.06244,0.422138,0.447218,5.751,seed,True
135,8,Ari,tool alcove,0.347907,0.415874,21.639,0.04714,0.88,0.061807,0.448609,0.366889,2.791,root,True
136,8,Fay,fiber loft,0.329668,0.399511,21.834,0.049116,0.874531,0.061166,0.475079,0.364845,3.161,stem,True
137,8,Milo,glasshouse,0.312036,0.383094,22.02,0.051325,0.858289,0.060517,0.50155,0.361135,3.531,leaf,True
138,8,Sera,river gate,0.295099,0.366668,22.199,0.533765,0.831769,0.219861,0.52802,0.46253,3.901,bud,True
139,8,Tovan,west hearth,0.278942,0.35028,22.368,0.056432,0.795776,0.059198,0.554491,0.349187,4.271,bloom,True
140,8,Nia,rain court,0.263648,0.333975,22.529,0.539323,0.751404,0.058528,0.580961,0.421306,4.641,fruit,True
141,8,Ari,tool alcove,0.249292,0.317799,22.68,0.062435,0.7,0.057851,0.607432,0.332468,5.011,compost,True
142,8,Fay,fiber loft,0.235948,0.301798,22.822,0.065762,0.643127,0.057167,0.633903,0.322951,5.381,seed,True
143,8,Milo,glasshouse,0.223682,0.286017,22.953,0.0693,0.582513,0.056478,0.660373,0.313061,5.751,root,True
144,9,Sera,west hearth,0.212557,0.2705,19.84,0.073044,0.52,0.215783,0.203409,0.249215,2.832,root,True
145,9,Tovan,rain court,0.202628,0.25529,20.085,0.55699,0.582513,0.055081,0.22988,0.31373,3.202,stem,True
146,9,Nia,tool alcove,0.193945,0.24043,20.324,0.081131,0.643127,0.054375,0.25635,0.244893,3.572,leaf,True
147,9,Ari,fiber loft,0.186553,0.225962,20.559,0.085463,0.7,0.053663,0.282821,0.255744,3.942,bud,True
148,9,Fay,glasshouse,0.180489,0.211927,20.788,0.089978,0.751404,0.052946,0.309291,0.266006,4.312,bloom,True
149,9,Milo,river gate,0.175782,0.198364,21.011,0.574672,0.795776,0.052225,0.335762,0.35543,4.682,fruit,True
150,9,Sera,west hearth,0.172457,0.185311,21.227,0.099537,0.831769,0.051499,0.362233,0.283801,5.052,compost,True
151,9,Tovan,rain court,0.170531,0.172805,21.437,0.584567,0.858289,0.210769,0.388703,0.397611,5.422,seed,True
152,9,Nia,tool alcove,0.170012,0.16088,21.639,0.109755,0.874531,0.050035,0.415174,0.296731,5.792,root,True
153,9,Ari,fiber loft,0.170905,0.149571,21.834,0.115094,0.88,0.049298,0.441644,0.301085,2.832,stem,True
154,9,Fay,glasshouse,0.173204,0.138909,22.02,0.120576,0.874531,0.048557,0.468115,0.303982,3.202,leaf,True
155,9,Milo,river gate,0.176898,0.128924,22.199,0.606195,0.858289,0.047813,0.494586,0.385451,3.572,bud,True
156,9,Sera,west hearth,0.181968,0.119645,22.368,0.131942,0.831769,0.047066,0.521056,0.305574,3.942,bloom,True
157,9,Tovan,rain court,0.188388,0.111096,22.529,0.61781,0.795776,0.046317,0.547527,0.384486,4.312,fruit,True
158,9,Nia,tool alcove,0.196127,0.103303,22.68,0.14379,0.751404,0.205566,0.573997,0.329031,4.682,compost,True
159,9,Ari,fiber loft,0.205145,0.096286,22.822,0.149874,0.7,0.044812,0.600468,0.299431,5.052,seed,True
160,9,Fay,glasshouse,0.215396,0.090067,22.953,0.156054,0.643127,0.044057,0.626939,0.29594,5.422,root,True
161,9,Milo,river gate,0.22683,0.084661,23.075,0.642322,0.582513,0.0433,0.653409,0.372173,5.792,stem,True
162,10,Sera,rain court,0.239388,0.080085,20.085,0.648669,0.52,0.042542,0.19605,0.287789,2.873,stem,True
163,10,Tovan,tool alcove,0.253008,0.076352,20.324,0.175086,0.582513,0.041783,0.222521,0.22521,3.243,leaf,True
164,10,Nia,fiber loft,0.26762,0.073471,20.559,0.181565,0.643127,0.201024,0.248991,0.2693,3.613,bud,True
165,10,Ari,glasshouse,0.283151,0.071451,20.788,0.188096,0.7,0.040264,0.275462,0.259737,3.983,bloom,True
166,10,Fay,river gate,0.299523,0.070297,21.011,0.674671,0.751404,0.039504,0.301932,0.356222,4.353,fruit,True
167,10,Milo,west hearth,0.316654,0.070013,21.227,0.201281,0.795776,0.038744,0.328403,0.291812,4.723,compost,True
168,10,Sera,rain court,0.334456,0.0706,21.437,0.687916,0.831769,0.037985,0.354873,0.386266,5.093,seed,True
169,10,Tovan,tool alcove,0.35284,0.072056,21.639,0.214567,0.858289,0.037226,0.381344,0.319387,5.463,root,True
170,10,Nia,fiber loft,0.371714,0.074376,21.834,0.221227,0.874531,0.036468,0.407815,0.331022,5.833,stem,True
171,10,Ari,glasshouse,0.390982,0.077555,22.02,0.227884,0.88,0.195712,0.434285,0.367736,2.873,leaf,True
172,10,Fay,river gate,0.410548,0.081583,22.199,0.714531,0.874531,0.034957,0.460756,0.429484,3.243,bud,True
173,10,Milo,west hearth,0.430312,0.086449,22.368,0.241158,0.858289,0.034204,0.487226,0.356273,3.613,bloom,True
174,10,Sera,rain court,0.450176,0.09214,22.529,0.727755,0.831769,0.033453,0.513697,0.441498,3.983,fruit,True
175,10,Tovan,tool alcove,0.470039,0.098638,22.68,0.254315,0.795776,0.032705,0.540168,0.365274,4.353,compost,True
176,10,Nia,fiber loft,0.489801,0.105928,22.822,0.260828,0.751404,0.031959,0.566638,0.36776,4.723,seed,True
177,10,Ari,glasshouse,0.509362,0.113986,22.953,0.267285,0.7,0.031216,0.593109,0.36916,5.093,root,True
178,10,Fay,river gate,0.528624,0.122792,23.075,0.753677,0.643127,0.190476,0.619579,0.476379,5.463,stem,True
179,10,Milo,west hearth,0.547491,0.13232,23.187,0.279996,0.582513,0.02974,0.64605,0.369685,5.833,leaf,True
180,11,Sera,tool alcove,0.565865,0.142544,20.324,0.286233,0.52,0.029007,0.18842,0.288678,2.914,leaf,True
181,11,Tovan,fiber loft,0.583656,0.153435,20.559,0.292379,0.582513,0.028278,0.21489,0.309192,3.284,bud,True
182,11,Nia,glasshouse,0.600774,0.164962,20.788,0.298426,0.643127,0.027554,0.241361,0.329367,3.654,bloom,True
183,11,Ari,river gate,0.617131,0.177093,21.011,0.784365,0.7,0.026834,0.267832,0.428876,4.024,fruit,True
184,11,Fay,west hearth,0.632647,0.189793,21.227,0.310189,0.751404,0.186119,0.294302,0.394076,4.394,compost,True
185,11,Milo,rain court,0.647242,0.203028,21.437,0.79589,0.795776,0.025408,0.320773,0.464686,4.764,seed,True
186,11,Sera,tool alcove,0.660844,0.21676,21.639,0.321459,0.831769,0.024703,0.347243,0.400463,5.134,root,True
187,11,Tovan,fiber loft,0.673383,0.23095,21.834,0.32689,0.858289,0.024004,0.373714,0.414538,5.504,stem,True
188,11,Nia,glasshouse,0.684796,0.245559,22.02,0.332174,0.874531,0.02331,0.400185,0.426759,5.874,leaf,True
189,11,Ari,river gate,0.695026,0.260545,22.199,0.817305,0.88,0.022623,0.426655,0.517026,2.914,bud,True
190,11,Fay,west hearth,0.704022,0.275867,22.368,0.342275,0.874531,0.021941,0.453126,0.445294,3.284,bloom,True
191,11,Milo,rain court,0.711737,0.291481,22.529,0.827078,0.858289,0.181267,0.479596,0.558241,3.654,fruit,True
192,11,Sera,tool alcove,0.718134,0.307344,22.68,0.351706,0.831769,0.020598,0.506067,0.455937,4.024,compost,True
193,11,Tovan,fiber loft,0.72318,0.323411,22.822,0.356155,0.795776,0.019937,0.532538,0.458499,4.394,seed,True
194,11,Nia,glasshouse,0.726849,0.339637,22.953,0.360417,0.751404,0.019284,0.559008,0.459433,4.764,root,True
195,11,Ari,river gate,0.729123,0.355976,23.075,0.844487,0.7,0.018637,0.585479,0.53895,5.134,stem,True
196,11,Fay,west hearth,0.729991,0.372383,23.187,0.368359,0.643127,0.017999,0.611949,0.457301,5.504,leaf,True
197,11,Milo,rain court,0.729447,0.388811,23.288,0.852028,0.582513,0.017368,0.63842,0.534765,5.874,bud,True
198,12,Sera,fiber loft,0.727496,0.405214,20.559,0.375489,0.52,0.016745,0.180648,0.370932,2.955,bud,True
199,12,Tovan,glasshouse,0.724147,0.421547,20.788,0.378737,0.582513,0.016131,0.207118,0.388365,3.325,bloom,True
200,12,Nia,river gate,0.719416,0.437762,21.011,0.861767,0.643127,0.015526,0.233589,0.485198,3.695,fruit,True
201,12,Ari,west hearth,0.713327,0.453816,21.227,0.384577,0.7,0.014929,0.26006,0.421118,4.065,compost,True
202,12,Fay,rain court,0.705912,0.469662,21.437,0.867161,0.751404,0.014341,0.28653,0.515835,4.435,seed,True
203,12,Milo,tool alcove,0.697207,0.485257,21.639,0.389516,0.795776,0.013763,0.313001,0.449087,4.805,root,True
204,12,Sera,fiber loft,0.687256,0.500556,21.834,0.391639,0.831769,0.173194,0.339471,0.487314,5.175,stem,True
205,12,Tovan,glasshouse,0.67611,0.515516,22.02,0.393528,0.858289,0.012635,0.365942,0.470337,5.545,leaf,True
206,12,Nia,river gate,0.663825,0.530096,22.199,0.875178,0.874531,0.012086,0.392412,0.558021,5.915,bud,True
207,12,Ari,west hearth,0.650462,0.544254,22.368,0.396589,0.88,0.011546,0.418883,0.483622,2.955,bloom,True
208,12,Fay,rain court,0.636089,0.557951,22.529,0.877758,0.874531,0.011017,0.445354,0.567117,3.325,fruit,True
209,12,Milo,tool alcove,0.620778,0.571148,22.68,0.398684,0.858289,0.010499,0.471824,0.488537,3.695,compost,True
210,12,Sera,fiber loft,0.604607,0.583809,22.822,0.399366,0.831769,0.009991,0.498295,0.487973,4.065,seed,True
211,12,Tovan,glasshouse,0.587657,0.595897,22.953,0.399801,0.795776,0.169494,0.524765,0.512232,4.435,root,True
212,12,Nia,river gate,0.570013,0.607378,23.075,0.879991,0.751404,0.009008,0.551236,0.561505,4.805,stem,True
213,12,Ari,west hearth,0.551765,0.618222,23.187,0.399934,0.7,0.008533,0.577707,0.476027,5.175,leaf,True
214,12,Fay,rain court,0.533003,0.628396,23.288,0.879631,0.643127,0.008069,0.604177,0.549401,5.545,bud,True
215,12,Milo,tool alcove,0.513824,0.637872,23.378,0.399082,0.582513,0.007617,0.630648,0.461926,5.915,bloom,True
216,13,Sera,glasshouse,0.494322,0.646625,20.788,0.398288,0.52,0.007177,0.172865,0.373213,2.996,bloom,True
217,13,Tovan,river gate,0.474598,0.654628,21.011,0.87725,0.582513,0.166749,0.199335,0.492512,3.366,fruit,True
218,13,Nia,west hearth,0.454749,0.661861,21.227,0.395969,0.643127,0.006332,0.225806,0.397974,3.736,compost,True
219,13,Ari,rain court,0.434877,0.668301,21.437,0.874448,0.7,0.005928,0.252276,0.489305,4.106,seed,True
220,13,Fay,tool alcove,0.415081,0.673933,21.639,0.392687,0.751404,0.005536,0.278747,0.419565,4.476,root,True
221,13,Milo,fiber loft,0.395461,0.678738,21.834,0.390691,0.795776,0.005157,0.305218,0.428507,4.846,stem,True
222,13,Sera,glasshouse,0.376115,0.682705,22.02,0.38846,0.831769,0.00479,0.331688,0.435921,5.216,leaf,True
223,13,Tovan,river gate,0.357142,0.685822,22.199,0.865999,0.858289,0.004435,0.358159,0.521641,5.586,bud,True
224,13,Nia,west hearth,0.338637,0.688079,22.368,0.383311,0.874531,0.164094,0.384629,0.472214,5.956,bloom,True
