tick_id,day,settlement_id,object_id,object_use,owner_id,lender_id,borrower_id,witness_id,loan_start_day,due_day,consent_state,custody_before,custody_after,loan_status,debt_before,debt_after,multi_day_terms_visible,protocol_valid
176,10,riverbend,cedar plank,repair,Ari,Ari,Nox,Ari,10,14,granted,Nox,Nox,loan active,0.152,0.17,True,True
178,10,archive,memory tag,archive,Vell,Vell,Toma,Vell,10,12,granted,Toma,Toma,loan active,0.17,0.188,True,True
180,11,repair_ring,cool cloth,care,Wren,Wren,Pax,Vale,11,13,granted,Wren,Pax,loan active,0.188,0.206,True,True
181,11,riverbend,cedar plank,repair,Ari,Ari,Cee,Nox,11,14,granted,Nox,Cee,loan active,0.116,0.134,True,True
182,11,roofward,herb ledger,memory,Sera,Sera,Bex,Fay,11,15,deferred,Sera,Sera,deferred with terms,0.17,0.17,True,True
184,11,signal,wind wrap,care,Oda,Oda,Ren,Kesh,11,13,granted,Oda,Ren,loan active,0.224,0.242,True,True
185,11,orchard,seed satchel,resource,Ivo,Ivo,Pim,Suf,11,14,granted,Ivo,Pim,loan active,0.098,0.116,True,True
186,11,repair_ring,copper wire,craft,Pax,Pax,Wren,Juno,11,15,granted,Pax,Wren,loan active,0.206,0.224,True,True
188,11,roofward,shade cloth,care,Bex,Bex,Sera,Orr,11,13,granted,Orr,Sera,loan active,0.224,0.242,True,True
190,11,signal,oil lantern,signal,Ren,Ren,Oda,Milo,11,15,granted,Ren,Oda,loan active,0.17,0.188,True,True
192,11,repair_ring,cool cloth,care,Wren,Wren,Pax,Vale,11,13,granted,Pax,Pax,loan active,0.206,0.224,True,True
194,11,roofward,herb ledger,memory,Sera,Sera,Bex,Fay,11,15,granted,Sera,Bex,loan active,0.17,0.188,True,True
195,11,archive,memory tag,archive,Vell,Vell,Nia,Toma,11,16,granted,Toma,Nia,loan active,0.08,0.098,True,True
196,11,signal,wind wrap,care,Oda,Oda,Ren,Kesh,11,13,deferred,Ren,Ren,deferred with terms,0.242,0.242,True,True
198,12,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,12,14,granted,Cee,Lio,loan active,0.224,0.242,True,True
200,12,archive,memory tag,archive,Vell,Vell,Rin,Nia,12,16,granted,Nia,Rin,loan active,0.188,0.206,True,True
202,12,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,12,14,granted,Pim,Mara,loan active,0.224,0.242,True,True
204,12,riverbend,binding cord,repair,Cee,Cee,Nox,Ari,12,16,granted,Lio,Nox,loan active,0.17,0.188,True,True
205,12,roofward,shade cloth,care,Bex,Bex,Fay,Sera,12,17,granted,Sera,Fay,loan active,0.116,0.134,True,True
206,12,archive,signal spool,memory,Nia,Nia,Toma,Vell,12,14,granted,Rin,Toma,loan active,0.188,0.206,True,True
208,12,orchard,dry cord,repair,Pim,Pim,Suf,Ivo,12,16,granted,Mara,Suf,loan active,0.17,0.188,True,True
209,12,repair_ring,cool cloth,care,Wren,Wren,Juno,Pax,12,17,granted,Pax,Juno,loan active,0.098,0.116,True,True
210,12,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,12,14,deferred,Lio,Lio,deferred with terms,0.242,0.242,True,True
212,12,archive,memory tag,archive,Vell,Vell,Rin,Nia,12,16,granted,Rin,Rin,loan active,0.206,0.224,True,True
214,12,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,12,14,granted,Mara,Mara,loan active,0.242,0.26,True,True
216,13,roofward,herb ledger,memory,Sera,Sera,Sera,Orr,13,15,granted,Bex,Sera,loan active,0.242,0.26,True,True
218,13,signal,wind wrap,care,Oda,Oda,Oda,Milo,13,17,granted,Ren,Oda,loan active,0.188,0.206,True,True
219,13,orchard,seed satchel,resource,Ivo,Ivo,Ivo,Mara,13,18,granted,Mara,Ivo,loan active,0.134,0.152,True,True
220,13,repair_ring,copper wire,craft,Pax,Pax,Pax,Vale,13,15,granted,Wren,Pax,loan active,0.224,0.242,True,True
222,13,roofward,shade cloth,care,Bex,Bex,Bex,Fay,13,17,granted,Fay,Bex,loan active,0.188,0.206,True,True
224,13,signal,oil lantern,signal,Ren,Ren,Ren,Kesh,13,15,deferred,Oda,Oda,deferred with terms,0.242,0.242,True,True
226,13,repair_ring,cool cloth,care,Wren,Wren,Wren,Juno,13,17,granted,Juno,Wren,loan active,0.224,0.242,True,True
228,13,roofward,herb ledger,memory,Sera,Sera,Sera,Orr,13,15,granted,Sera,Sera,loan active,0.26,0.278,True,True
229,13,archive,memory tag,archive,Vell,Vell,Vell,Rin,13,16,granted,Rin,Vell,loan active,0.098,0.116,True,True
230,13,signal,wind wrap,care,Oda,Oda,Oda,Milo,13,17,granted,Oda,Oda,loan active,0.206,0.224,True,True
232,13,repair_ring,copper wire,craft,Pax,Pax,Pax,Vale,13,15,granted,Pax,Pax,loan active,0.242,0.26,True,True
234,14,archive,memory tag,archive,Vell,Vell,Toma,Vell,14,16,granted,Vell,Toma,loan active,0.206,0.224,True,True
236,14,orchard,seed satchel,resource,Ivo,Ivo,Suf,Ivo,14,18,granted,Ivo,Suf,loan active,0.188,0.206,True,True
238,14,riverbend,binding cord,repair,Cee,Cee,Lio,Cee,14,16,deferred,Nox,Nox,deferred with terms,0.242,0.242,True,True
239,14,roofward,shade cloth,care,Bex,Bex,Orr,Bex,14,17,granted,Bex,Orr,loan active,0.116,0.134,True,True
240,14,archive,signal spool,memory,Nia,Nia,Rin,Nia,14,18,granted,Toma,Rin,loan active,0.224,0.242,True,True
242,14,orchard,dry cord,repair,Pim,Pim,Mara,Pim,14,16,granted,Suf,Mara,loan active,0.26,0.278,True,True
243,14,repair_ring,cool cloth,care,Wren,Wren,Vale,Wren,14,17,granted,Wren,Vale,loan active,0.098,0.116,True,True
244,14,riverbend,cedar plank,repair,Ari,Ari,Nox,Ari,14,18,granted,Lio,Nox,loan active,0.188,0.206,True,True
246,14,archive,memory tag,archive,Vell,Vell,Toma,Vell,14,16,granted,Toma,Toma,loan active,0.224,0.242,True,True
248,14,orchard,seed satchel,resource,Ivo,Ivo,Suf,Ivo,14,18,granted,Suf,Suf,loan active,0.206,0.224,True,True
250,14,riverbend,binding cord,repair,Cee,Cee,Lio,Cee,14,16,granted,Nox,Lio,loan active,0.242,0.26,True,True
252,15,signal,wind wrap,care,Oda,Oda,Ren,Kesh,15,17,deferred,Oda,Oda,deferred with terms,0.242,0.242,True,True
253,15,orchard,seed satchel,resource,Ivo,Ivo,Pim,Suf,15,18,granted,Suf,Pim,loan active,0.116,0.134,True,True
254,15,repair_ring,copper wire,craft,Pax,Pax,Wren,Juno,15,19,granted,Pax,Wren,loan active,0.242,0.26,True,True
256,15,roofward,shade cloth,care,Bex,Bex,Sera,Orr,15,17,granted,Orr,Sera,loan active,0.278,0.296,True,True
258,15,signal,oil lantern,signal,Ren,Ren,Oda,Milo,15,19,granted,Oda,Oda,loan active,0.224,0.242,True,True
260,15,repair_ring,cool cloth,care,Wren,Wren,Pax,Vale,15,17,granted,Vale,Pax,loan active,0.26,0.278,True,True
262,15,roofward,herb ledger,memory,Sera,Sera,Bex,Fay,15,19,granted,Sera,Bex,loan active,0.206,0.224,True,True
263,15,archive,memory tag,archive,Vell,Vell,Nia,Toma,15,20,granted,Toma,Nia,loan active,0.098,0.116,True,True
264,15,signal,wind wrap,care,Oda,Oda,Ren,Kesh,15,17,granted,Oda,Ren,loan active,0.242,0.26,True,True
266,15,repair_ring,copper wire,craft,Pax,Pax,Wren,Juno,15,19,deferred,Wren,Wren,deferred with terms,0.26,0.26,True,True
268,15,roofward,shade cloth,care,Bex,Bex,Sera,Orr,15,17,granted,Sera,Sera,loan active,0.296,0.314,True,True
270,16,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,16,18,granted,Pim,Mara,loan active,0.278,0.296,True,True
272,16,riverbend,binding cord,repair,Cee,Cee,Nox,Ari,16,20,granted,Lio,Nox,loan active,0.206,0.224,True,True
273,16,roofward,shade cloth,care,Bex,Bex,Fay,Sera,16,21,deferred,Sera,Sera,deferred with terms,0.134,0.134,True,True
274,16,archive,signal spool,memory,Nia,Nia,Toma,Vell,16,18,granted,Rin,Toma,loan active,0.242,0.26,True,True
276,16,orchard,dry cord,repair,Pim,Pim,Suf,Ivo,16,20,granted,Mara,Suf,loan active,0.224,0.242,True,True
277,16,repair_ring,cool cloth,care,Wren,Wren,Juno,Pax,16,21,granted,Pax,Juno,loan active,0.116,0.134,True,True
278,16,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,16,18,granted,Nox,Lio,loan active,0.26,0.278,True,True
280,16,archive,memory tag,archive,Vell,Vell,Rin,Nia,16,20,deferred,Nia,Nia,deferred with terms,0.242,0.242,True,True
282,16,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,16,18,granted,Mara,Mara,loan active,0.296,0.314,True,True
284,16,riverbend,binding cord,repair,Cee,Cee,Nox,Ari,16,20,granted,Nox,Nox,loan active,0.224,0.242,True,True
286,16,archive,signal spool,memory,Nia,Nia,Toma,Vell,16,18,granted,Toma,Toma,loan active,0.26,0.278,True,True
287,16,signal,oil lantern,signal,Ren,Ren,Kesh,Oda,16,19,deferred,Oda,Oda,deferred with terms,0.116,0.116,True,True
288,17,repair_ring,copper wire,craft,Pax,Pax,Pax,Vale,17,19,granted,Wren,Pax,loan active,0.278,0.296,True,True
290,17,roofward,shade cloth,care,Bex,Bex,Bex,Fay,17,21,granted,Sera,Bex,loan active,0.224,0.242,True,True
292,17,signal,oil lantern,signal,Ren,Ren,Ren,Kesh,17,19,granted,Oda,Ren,loan active,0.26,0.278,True,True
294,17,repair_ring,cool cloth,care,Wren,Wren,Wren,Juno,17,21,deferred,Juno,Juno,deferred with terms,0.26,0.26,True,True
296,17,roofward,herb ledger,memory,Sera,Sera,Sera,Orr,17,19,granted,Bex,Sera,loan active,0.314,0.332,True,True
297,17,archive,memory tag,archive,Vell,Vell,Vell,Rin,17,20,granted,Nia,Vell,loan active,0.116,0.134,True,True
298,17,signal,wind wrap,care,Oda,Oda,Oda,Milo,17,21,granted,Ren,Oda,loan active,0.242,0.26,True,True
300,17,repair_ring,copper wire,craft,Pax,Pax,Pax,Vale,17,19,granted,Pax,Pax,loan active,0.296,0.314,True,True
302,17,roofward,shade cloth,care,Bex,Bex,Bex,Fay,17,21,granted,Bex,Bex,loan active,0.242,0.26,True,True
304,17,signal,oil lantern,signal,Ren,Ren,Ren,Kesh,17,19,granted,Ren,Ren,loan active,0.278,0.296,True,True
306,18,riverbend,binding cord,repair,Cee,Cee,Lio,Cee,18,20,granted,Nox,Lio,loan active,0.278,0.296,True,True
307,18,roofward,shade cloth,care,Bex,Bex,Orr,Bex,18,21,granted,Bex,Orr,loan active,0.134,0.152,True,True
308,18,archive,signal spool,memory,Nia,Nia,Rin,Nia,18,22,refused,Toma,Toma,refused without transfer,0.242,0.242,True,True
310,18,orchard,dry cord,repair,Pim,Pim,Mara,Pim,18,20,granted,Suf,Mara,loan active,0.314,0.332,True,True
311,18,repair_ring,cool cloth,care,Wren,Wren,Vale,Wren,18,21,granted,Juno,Vale,loan active,0.116,0.134,True,True
312,18,riverbend,cedar plank,repair,Ari,Ari,Nox,Ari,18,22,granted,Lio,Nox,loan active,0.242,0.26,True,True
314,18,archive,memory tag,archive,Vell,Vell,Toma,Vell,18,20,granted,Vell,Toma,loan active,0.278,0.296,True,True
316,18,orchard,seed satchel,resource,Ivo,Ivo,Suf,Ivo,18,22,granted,Mara,Suf,loan active,0.242,0.26,True,True
318,18,riverbend,binding cord,repair,Cee,Cee,Lio,Cee,18,20,granted,Lio,Lio,loan active,0.296,0.314,True,True
320,18,archive,signal spool,memory,Nia,Nia,Rin,Nia,18,22,granted,Toma,Rin,loan active,0.242,0.26,True,True
321,18,signal,oil lantern,signal,Ren,Ren,Milo,Ren,18,23,granted,Ren,Milo,loan active,0.116,0.134,True,True
322,18,orchard,dry cord,repair,Pim,Pim,Mara,Pim,18,20,deferred,Mara,Mara,deferred with terms,0.332,0.332,True,True
324,19,roofward,shade cloth,care,Bex,Bex,Sera,Orr,19,21,granted,Orr,Sera,loan active,0.332,0.35,True,True
326,19,signal,oil lantern,signal,Ren,Ren,Oda,Milo,19,23,granted,Milo,Oda,loan active,0.26,0.278,True,True
328,19,repair_ring,cool cloth,care,Wren,Wren,Pax,Vale,19,21,granted,Vale,Pax,loan active,0.314,0.332,True,True
330,19,roofward,herb ledger,memory,Sera,Sera,Bex,Fay,19,23,granted,Sera,Bex,loan active,0.26,0.278,True,True
331,19,archive,memory tag,archive,Vell,Vell,Nia,Toma,19,24,granted,Toma,Nia,loan active,0.116,0.134,True,True
332,19,signal,wind wrap,care,Oda,Oda,Ren,Kesh,19,21,granted,Oda,Ren,loan active,0.296,0.314,True,True
334,19,repair_ring,copper wire,craft,Pax,Pax,Wren,Juno,19,23,granted,Pax,Wren,loan active,0.26,0.278,True,True
336,19,roofward,shade cloth,care,Bex,Bex,Sera,Orr,19,21,deferred,Sera,Sera,deferred with terms,0.35,0.35,True,True
338,19,signal,oil lantern,signal,Ren,Ren,Oda,Milo,19,23,granted,Oda,Oda,loan active,0.278,0.296,True,True
